date,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossProfit,quarterlyRepurchaseOfCapitalStock,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOperatingIncome,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyNetOtherInvestingChanges,quarterlyDilutedEPS,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyChangeInInventory,quarterlyOtherNonCashItems,quarterlyChangeInAccountPayable,quarterlyCashDividendsPaid,quarterlyPurchaseOfBusiness,quarterlyRetainedEarnings,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyCurrentDeferredRevenue,quarterlyStockholdersEquity,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGoodwill,quarterlyRepaymentOfDebt,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncome,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyOtherCurrentLiabilities,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyBasicEPS,quarterlyBasicAverageShares,quarterlyOtherIncomeExpense,quarterlyNetPPE,quarterlyInventory,quarterlyTaxProvision,quarterlyCommonStockIssuance,quarterlyLongTermDebt,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherShortTermInvestments,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyOtherIntangibleAssets,quarterlyDilutedAverageShares,quarterlyCashAndCashEquivalents,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyPurchaseOfInvestment,quarterlyFreeCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyNetOtherFinancingCharges,quarterlyInterestExpense,quarterlySaleOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyChangesInAccountReceivables,quarterlyResearchAndDevelopment
2016-12-31,1860839000.0,753780000,,-257874000.0,582918000.0,19255819000.0,463716000,214991000,,2497743000,23087776000.0,,-750211000,,-1161156000,1614697000,,-35421000,135617000.0,1034452000,14569000.0,0.0,,1657125000.0,290064000,-677534000,514766000.0,10143494000.0,1559096000.0,215410000,15425945000.0,45445000.0,-1753202000,3829874000.0,8029506000.0,0.0,-6852495000.0,948116000.0,-439817000,873000.0,4159624000.0,336179000.0,-343441000.0,-459688000,1075290000,-439817000,,,-862695000.0,16235281000.0,1313143000.0,-237717000,0.0,12399223000.0,-453910000.0,2080615000.0,1622171000.0,1743963000,165030000.0,174143000.0,,1614697000.0,2068607000,0.0,29399313000.0,21369807000.0,48743000.0,615602000,3695312000.0,1589924000.0,98023000,268578000.0,,-439817000,373535000,-89417000.0,
2017-03-31,1854243000.0,687364000,,114125000.0,531997000.0,18830144000.0,464281000,178700000,1673221000.0,2253908000,23205485000.0,92015000.0,-191814000,0.38607,-1257213000,1005344000,6601000.0,1222364000,57482000.0,190026000,-31894000.0,8514000.0,,466737000.0,223083000,593861000,423306000.0,10601369000.0,1673221000.0,203603000,15637252000.0,,-942693000,3192892000.0,8106774000.0,0.0,-7052003000.0,945092000.0,450147000,1713000.0,4231117000.0,174902000.0,172144000.0,-153036000,500643000,450147000,0.38647,1091993000.0,313068000.0,16153482000.0,1253428000.0,143714000,8514000.0,12566468000.0,-609353000.0,3063318000.0,1628501000.0,1566544000,130052000.0,209528000.0,1093084000.0,1005344000.0,1614697000,0.0,29431513000.0,21324739000.0,-912363000.0,347607000,4068662000.0,1319528000.0,96954000,262775000.0,,450147000,365728000,-9660000.0,
2017-06-30,1854600000.0,1016506000,,-124958000.0,614587000.0,18236876000.0,804314000,171456000,,2529870000,23415661000.0,,-244605000,0.17027,12621000,1001883000,,1224544000,-85839000.0,231127000,117796000.0,-379253000.0,,663781000.0,212192000,130401000,205405000.0,10827492000.0,1548263000.0,215109000,14627863000.0,45445000.0,-585756000,3609013000.0,7665278000.0,0.0,-7243406000.0,919111000.0,198544000,5716000.0,4333285000.0,229793000.0,-814525000.0,-225100000,747483000,198544000,0.17046,364358877.0,4004000.0,16172255000.0,1336768000.0,-68143000,0.0,11629717000.0,-3461000.0,2628886000.0,1891698000.0,1513364000,177470000.0,163332000.0,364358877.0,1001883000.0,1005344000,0.0,29064368000.0,21399090000.0,482326000.0,522383000,3630769000.0,1990847000.0,65379000,761528000.0,,198544000,332615000,-188625000.0,
2017-09-30,1854962000.0,1043738000,,226821000.0,641537000.0,17837297000.0,799801000,-104536000,,2594692000,23629797000.0,,-126469000,0.68676,-70217000,1439776000,,1727592000,-83547000.0,229139000,-2488000.0,-2000.0,,1476480000.0,243937000,1078989000,167048000.0,11606074000.0,1775084000.0,222697000,14423079000.0,45445000.0,-1573377000,3414218000.0,7995362000.0,0.0,-7434377000.0,850064000.0,800876000,5706000.0,4360020000.0,157331000.0,-256030000.0,-240679000,795464000,800876000,0.68759,1164758068.0,595165000.0,16195420000.0,1408791000.0,278113000,0.0,11332144000.0,437893000.0,2410173000.0,1862202000.0,1550954000,194926000.0,158756000.0,1166165764.0,1439776000.0,1001883000,0.0,29443371000.0,21448009000.0,296931000.0,554785000,3849949000.0,1780789000.0,-15129000,299776000.0,,800876000,348827000,-57808000.0,
2017-12-31,3322561000.0,1323714000,,13457000.0,610476000.0,16901428000.0,1212839000,-209731000,1789960000.0,3142320000,23782726000.0,,-264786000,,306475000,1076833000,,1115649000,188268000.0,70201000,-20178000.0,-199827000.0,0.0,2927760000.0,110875000,435814000,92545000.0,11621554000.0,1789960000.0,292245000,13193065000.0,45445000.0,-1431910000,3708363000.0,6796875000.0,0.0,-7571498000.0,854094000.0,357866000,6764000.0,4662510000.0,106974000.0,-1595813000.0,-249119000,906404000,357866000,,,-443443000.0,16211228000.0,1207961000.0,77948000,0.0,10061735000.0,-362943000.0,1631505000.0,2303810000.0,1818606000,196467000.0,142981000.0,,1076833000.0,1439776000,0.0,28522982000.0,21726107000.0,133106000.0,657285000,2708338000.0,2110435000.0,-107509000,324227000.0,,357866000,355608000,-406366000.0,
2018-03-31,3308324000.0,1412933000,,65450000.0,691182000.0,17610024000.0,1143244000,-122531000,1857237000.0,2998859000,24299952000.0,,-170241000,0.74421,-357396000,2000336000,,1558328000,-88286000.0,169306000,-10903000.0,8514000.0,-309872000.0,829802000.0,269689000,976353000,91991000.0,12457541000.0,1857237000.0,260194000,14539210000.0,238957000.0,-2134630000,3070814000.0,7883658000.0,291746000.0,-7884404000.0,474930000.0,813127000,6712000.0,4758789000.0,332028000.0,363002000.0,-142283000,906695000,813127000,0.74421,1092604000.0,63738000.0,16415548000.0,1321436000.0,163226000,8514000.0,11199054000.0,923503000.0,1391669000.0,2389398000.0,1585926000,154829000.0,136070000.0,1092604000.0,2000336000.0,1076833000,0.0,30076337000.0,22192679000.0,,764412000,3392005000.0,1428282000.0,13036000,197037000.0,,813127000,384938000,-14239000.0,
2018-06-30,5673993000.0,1525221000,,-1175249000.0,904233000.0,24833090000.0,1170518000,46811000,682040000.0,3203795000,24738696000.0,,-289095000,-1.69097,-3720765000,3624737000,,-2203173000,-177958000.0,171031000,2576000.0,,15404000.0,-994562000.0,354703000,-2799124000,64508000.0,10702919000.0,682040000.0,344158000,20728856000.0,249556000.0,-1079938000,4104234000.0,12778865000.0,,-8089811000.0,944212000.0,-1849557000,6643000.0,4818235000.0,603081000.0,3539507000.0,-465140000,1644207000,-1848971000,-1.69097,1093784000.0,-3648340000.0,16648885000.0,1477406000.0,-950153000,0.0,16252964000.0,1624401000.0,4402785000.0,2325251000.0,1678574000,204016000.0,140068000.0,1093784000.0,3624737000.0,2000336000,0.0,35544543000.0,22765678000.0,,1179067000,8027522000.0,1688926000.0,-185469000,221019000.0,,-1849557000,374932000,59661000.0,
2018-09-30,5697265000.0,2042447000,,-218646000.0,1264112000.0,30918734000.0,1728854000,-715995000,466255000.0,4005524000,25192593000.0,,-336756000,-0.09854,-7390872000,1705762000,,2283133000,-29240000.0,180396000,30048000.0,0.0,-5000.0,-1088650000.0,313593000,-228979000,56788000.0,10632103000.0,466255000.0,349961000,25207743000.0,158334000.0,-259360000,5710991000.0,18323540000.0,,-8160411000.0,889261000.0,-107780000,10633000.0,5131958000.0,1944042000.0,4341156000.0,-298619000,1145579000,-107608000,-0.09854,1093784000.0,5155000.0,17032182000.0,1545585000.0,-121371000,0.0,22035035000.0,-1918975000.0,11264567000.0,2761578000.0,1963077000,240797000.0,188551000.0,1093784000.0,1705762000.0,3624737000,0.0,41565974000.0,23242434000.0,,846960000,12970329000.0,1763585000.0,-1161283000,2096710000.0,,-107780000,415402000,-435364000.0,
2018-12-31,2995929000.0,1540444000,,587361000.0,632565000.0,41906709000.0,962287000,-541828000,,3235198000,25402515000.0,,-273422000,,-10493679000,4387453000,,-2503868000,-317203000.0,434044000,-20248000.0,0.0,0.0,2992590000.0,578157000,2217048000,75159000.0,12012007000.0,1038133000.0,430332000,35848031000.0,158334000.0,-264649000,6058678000.0,30798892000.0,169175000.0,-8382254000.0,983327000.0,1463903000,14338000.0,5095192000.0,1440797000.0,11791384000.0,-352661000,1474369000,1463266000,,,-3352161000.0,17020261000.0,1853104000.0,753782000,0.0,32298196000.0,2681691000.0,21098565000.0,2537058000.0,1694754000,234192000.0,181506000.0,,4387453000.0,1705762000,0.0,53932644000.0,23133752000.0,,1121708000,25486018000.0,3421088000.0,-336789000,-5108867000.0,,1463903000,387951000,203916000.0,
2019-03-31,6383671000.0,974106000,,-651448000.0,4049078000.0,78954499000.0,195230000,-1567764000,,5698999000,45908781000.0,,-934661000,-0.93686,-5897788000,3095885000,,141892000,-942669000.0,876094000,75087000.0,-68000.0,-26013757000.0,2463487000.0,778876000,-1751331000,63709000.0,20231137000.0,803241000.0,772068000,64739362000.0,,-3853778000,14215137000.0,20320466000.0,321781000.0,,1314850000.0,-1226803000,404243000.0,10297194000.0,1631736000.0,3890714000.0,-705882000,744336000,-1229132000,-0.93686,1309487000.0,-1103079000.0,45908781000.0,8044651000.0,-522199000,,53341845000.0,-1291568000.0,3687230000.0,3507439000.0,4724893000,303419000.0,18465253000.0,1309487000.0,3095885000.0,4387453000,0.0,99307851000.0,78987385000.0,21756512000.0,38454000,6783115000.0,7422784000.0,72731000,992804000.0,21756512000.0,-1226803000,891433000,331901000.0,
2019-06-30,8713792000.0,1442963000,,199949000.0,3986488000.0,78582465000.0,867074000,783321000,,6665082000,67159264000.0,,-701955000,,-1067356000,4104641000,,3009997000,-265885000.0,751701000,-441206000.0,-601663000.0,1000.0,2582061000.0,575889000,962126000,87665000.0,20313134000.0,599184000.0,735012000,67161733000.0,,-8120320000,11420732000.0,20404946000.0,345516000.0,-21168642000.0,1235873000.0,700548000,403080000.0,10648038000.0,1490871000.0,-247180000.0,-441907000,2423064000,699848000,,,1031637000.0,45990622000.0,7365938000.0,262278000,,55786677000.0,1008756000.0,3692806000.0,2895714000.0,5222119000,370853000.0,18212469000.0,,4104641000.0,3095885000,0.0,99011945000.0,78606999000.0,-21756781000.0,1981157000,7797447000.0,4693057000.0,-78439000,1086192000.0,76774000.0,700548000,951760000,735765000.0,
2019-09-30,8768073000.0,1613495000,,-2194257000.0,3325724000.0,82310817000.0,981637000,1646619000,,6599909000,67626829000.0,,-613075000,-2.56504,-2539971000,3714646000,,-3313469000,864625000.0,4148955000,-360409000.0,-4000.0,-34640000.0,-865663000.0,631858000,-5495963000,31925000.0,16919691000.0,589148000.0,747990000,71129935000.0,,-700721000,11180882000.0,18821378000.0,279096000.0,-21766049000.0,1178100000.0,-3460810000,456716000.0,10821311000.0,1482190000.0,-1125996000.0,-487095000,3185141000,-3460235000,-2.56504,1349222624.0,-5527259000.0,45860780000.0,6258364000.0,-2035728000,,58929307000.0,-389995000.0,4897585000.0,2058731000.0,4986414000,439615000.0,17968738000.0,1349222624.0,3714646000.0,4104641000,0.0,99347076000.0,80525698000.0,4000.0,2698046000,8612231000.0,5091236000.0,-516110000,1058484000.0,-1405165000.0,-3460810000,1142915000,947628000.0,
