date,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCashItems,quarterlyPurchaseOfInvestment,quarterlyCashDividendsPaid,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyDepreciationAndAmortization,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,quarterlyFreeCashFlow,quarterlyIncomeTaxPayable,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyGoodwill,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyBasicEPS,quarterlyNetOtherInvestingChanges,quarterlyBasicAverageShares,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNetPPE,quarterlyOtherIncomeExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyCashAndCashEquivalents,quarterlyTaxProvision,quarterlyOperatingExpense,quarterlyCurrentDebt,quarterlyOtherIntangibleAssets,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyOperatingCashFlow,quarterlyPretaxIncome,quarterlyCapitalExpenditure,quarterlyPurchaseOfBusiness,quarterlyTotalAssets,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedEPS,quarterlyOtherCurrentLiabilities,quarterlySaleOfInvestment,quarterlyDilutedAverageShares,quarterlyRepurchaseOfCapitalStock,quarterlyTotalNonCurrentAssets,quarterlyChangesInAccountReceivables,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyBeginningCashPosition,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyInvestmentsAndAdvances,quarterlyGainsLossesNotAffectingRetainedEarnings
1995-07-31,7900000.0,300000.0,-600000.0,-500000.0,18700000,,0.0,-15800000.0,5900000.0,174800000.0,2200000.0,500000.0,,125700000.0,-1800000.0,,51100000.0,87600000.0,253000000,424000000.0,12800000,-1200000.0,7800000.0,1300000.0,58100000.0,,199500000.0,,87200000.0,,53500000.0,,7900000,7900000.0,188100000.0,34800000.0,0.15,0.0,52666667.0,,-116800000.0,11700000.0,307200000.0,1500000.0,27800000.0,28500000.0,11700000.0,4800000.0,40700000.0,26400000.0,,1600000.0,0.0,4600000.0,5200000.0,1000000.0,16800000.0,12700000.0,-18600000.0,,362900000.0,6200000.0,0.15,20500000.0,3400000.0,52666667.0,,311800000.0,,,40700000.0,5500000.0,,,,,
1995-10-31,8800000.0,-200000.0,-2700000.0,-700000.0,20000000,,0.0,-20600000.0,6100000.0,177500000.0,-5200000.0,500000.0,,133900000.0,-7900000.0,,49800000.0,91700000.0,243200000,441100000.0,13900000,-1800000.0,10100000.0,1600000.0,55900000.0,,187800000.0,,85800000.0,,55400000.0,,8800000,8800000.0,196500000.0,35400000.0,0.17,0.0,51764706.0,,-122200000.0,6800000.0,318900000.0,1400000.0,28300000.0,30300000.0,6800000.0,5300000.0,41500000.0,34700000.0,,1100000.0,-100000.0,5300000.0,5700000.0,300000.0,10000000.0,14100000.0,-17900000.0,,374000000.0,-4800000.0,0.17,18400000.0,0.0,51764706.0,,324200000.0,,,38600000.0,0.0,,,,,
1996-01-31,6800000.0,0.0,-7000000.0,-600000.0,17500000,,0.0,-17100000.0,6300000.0,183400000.0,-9400000.0,500000.0,,140100000.0,-7400000.0,,56700000.0,69300000.0,221600000,452500000.0,11200000,500000.0,15400000.0,1500000.0,83800000.0,,170200000.0,,114100000.0,,51400000.0,,6800000,6800000.0,202800000.0,33900000.0,0.13,0.0,52307692.0,,-128200000.0,8800000.0,324300000.0,1300000.0,28800000.0,29900000.0,8800000.0,4200000.0,40200000.0,22200000.0,,1500000.0,0.0,5200000.0,14900000.0,100000.0,4300000.0,11000000.0,-11700000.0,,386200000.0,2000000.0,0.13,18700000.0,1600000.0,52307692.0,,329500000.0,,,28400000.0,0.0,,,,,
1996-04-30,3200000.0,1800000.0,-7000000.0,-700000.0,12000000,,0.0,-18200000.0,6400000.0,198600000.0,-1000000.0,6500000.0,,142600000.0,4700000.0,,70000000.0,82900000.0,237000000,460900000.0,5600000,-2600000.0,22200000.0,1700000.0,81200000.0,,190600000.0,,115700000.0,,46400000.0,,3200000,3200000.0,206200000.0,34400000.0,,0.0,,,-132600000.0,12700000.0,328300000.0,1300000.0,32800000.0,32400000.0,12700000.0,1900000.0,40800000.0,29700000.0,,1600000.0,100000.0,6500000.0,5100000.0,800000.0,16900000.0,5100000.0,-12200000.0,,404800000.0,3800000.0,,17000000.0,1000000.0,,,334800000.0,,,36200000.0,0.0,,,,,
1996-07-31,8900000.0,-100000.0,-2500000.0,-700000.0,20800000,,0.0,-20300000.0,6400000.0,196900000.0,5900000.0,2000000.0,,150800000.0,3500000.0,,63900000.0,81100000.0,287000000,480400000.0,14400000,-1600000.0,20900000.0,1900000.0,79100000.0,,228800000.0,,115800000.0,,58200000.0,,8900000,8900000.0,214400000.0,37400000.0,0.17,0.0,52352941.0,,-138900000.0,5900000.0,341500000.0,1400000.0,34800000.0,34100000.0,5900000.0,5400000.0,43800000.0,22900000.0,,1500000.0,100000.0,5900000.0,-9500000.0,,23100000.0,14300000.0,-19600000.0,,411300000.0,-6700000.0,0.17,19900000.0,1800000.0,52352941.0,,347400000.0,,,38300000.0,12700000.0,,,,,
1996-10-31,8900000.0,500000.0,-5000000.0,-600000.0,20900000,,0.0,-19000000.0,6600000.0,203100000.0,-2600000.0,2000000.0,,159100000.0,-3700000.0,,66400000.0,87400000.0,286300000,498900000.0,14300000,-2700000.0,20900000.0,1900000.0,77000000.0,,226600000.0,,115700000.0,,59700000.0,,8900000,8900000.0,222700000.0,38800000.0,0.17,0.0,52352941.0,,-145100000.0,5300000.0,353800000.0,1400000.0,36800000.0,36700000.0,5300000.0,5400000.0,45400000.0,28600000.0,,1300000.0,-100000.0,5600000.0,2900000.0,,15400000.0,14300000.0,-19100000.0,,425800000.0,-700000.0,0.17,19600000.0,5100000.0,52352941.0,,359400000.0,,,39200000.0,0.0,,,,,
1997-01-31,5500000.0,600000.0,-2200000.0,-700000.0,16000000,,0.0,-4300000.0,6900000.0,196200000.0,-8400000.0,2000000.0,,164000000.0,-7800000.0,,57400000.0,80600000.0,272100000,512500000.0,9100000,-1900000.0,10700000.0,1900000.0,74900000.0,,218400000.0,,115600000.0,,53700000.0,,5500000,5500000.0,227600000.0,37700000.0,0.1,0.0,55000000.0,,-151400000.0,5300000.0,361100000.0,1200000.0,38800000.0,38600000.0,5300000.0,3300000.0,44600000.0,29100000.0,,1500000.0,100000.0,5300000.0,-2300000.0,,6600000.0,8800000.0,-14400000.0,,423800000.0,0.0,0.1,19800000.0,12300000.0,55000000.0,,366400000.0,,,31700000.0,0.0,,,,,
1997-04-30,3700000.0,200000.0,-2100000.0,-600000.0,13300000,,0.0,-14600000.0,7000000.0,195100000.0,11100000.0,600000.0,,167000000.0,9000000.0,,54700000.0,73800000.0,263700000,525600000.0,6300000,2100000.0,12400000.0,2000000.0,79700000.0,,212500000.0,,121300000.0,,51200000.0,,3700000,3700000.0,231900000.0,37900000.0,,0.0,,,-158100000.0,3100000.0,367500000.0,1200000.0,39600000.0,36500000.0,3100000.0,2200000.0,44900000.0,14600000.0,,1700000.0,100000.0,4800000.0,-10200000.0,,22600000.0,5900000.0,-13600000.0,,427000000.0,-2200000.0,,22000000.0,1100000.0,,,372300000.0,,,37200000.0,0.0,,,,,
1997-07-31,10500000.0,900000.0,-3600000.0,-700000.0,24000000,,0.0,-20100000.0,7200000.0,203200000.0,7700000.0,1800000.0,,176900000.0,5900000.0,,58000000.0,80800000.0,320700000,546500000.0,16800000,-1500000.0,9900000.0,2200000.0,78900000.0,,254300000.0,,122400000.0,,66400000.0,,10500000,10500000.0,242000000.0,42400000.0,0.2,100000.0,52500000.0,,-164700000.0,7200000.0,381800000.0,1400000.0,41300000.0,38000000.0,7200000.0,6300000.0,49600000.0,11900000.0,,1300000.0,100000.0,5400000.0,-3900000.0,200000.0,28100000.0,16800000.0,-22200000.0,,445200000.0,4100000.0,0.2,27200000.0,5600000.0,52500000.0,,387200000.0,,,41700000.0,3100000.0,,,,,
1997-10-31,10800000.0,900000.0,-1200000.0,-700000.0,24700000,,0.0,-27300000.0,7400000.0,210100000.0,-1200000.0,1700000.0,,186900000.0,-8500000.0,,53300000.0,88300000.0,317400000,572600000.0,17300000,-900000.0,7200000.0,2200000.0,76500000.0,,249200000.0,,121800000.0,,68200000.0,,10800000,10800000.0,252200000.0,43500000.0,0.21,-100000.0,51428571.0,,-170700000.0,4200000.0,401900000.0,1300000.0,43100000.0,38900000.0,4200000.0,6500000.0,50900000.0,19700000.0,,1400000.0,-200000.0,7100000.0,4700000.0,200000.0,19600000.0,17300000.0,-28100000.0,,462300000.0,-3000000.0,0.2,27300000.0,2100000.0,54000000.0,,409000000.0,,,41300000.0,0.0,,,,,
1998-01-31,7400000.0,1000000.0,-1700000.0,-800000.0,19900000,,0.0,-18700000.0,7800000.0,214800000.0,-11500000.0,1800000.0,,193500000.0,-12200000.0,,54400000.0,86900000.0,276900000,589400000.0,12100000,200000.0,6900000.0,2400000.0,80700000.0,,213800000.0,,127900000.0,,63100000.0,,7400000,7400000.0,258900000.0,43200000.0,0.14,0.0,52857143.0,,-177500000.0,6000000.0,411900000.0,1200000.0,44800000.0,38700000.0,6000000.0,4400000.0,51000000.0,30200000.0,,1500000.0,100000.0,7400000.0,14000000.0,100000.0,6500000.0,11800000.0,-18700000.0,,473700000.0,1800000.0,0.14,23400000.0,1700000.0,52857143.0,,419300000.0,,,33300000.0,0.0,,,,,
1998-04-30,4800000.0,200000.0,-1000000.0,-800000.0,16100000,,0.0,-16300000.0,8000000.0,216600000.0,11300000.0,100000.0,,197500000.0,8100000.0,,52500000.0,90000000.0,271900000,605000000.0,8100000,-500000.0,6800000.0,2500000.0,79100000.0,,213200000.0,,126600000.0,,58700000.0,,4800000,4800000.0,263400000.0,42600000.0,,100000.0,,,-185100000.0,4000000.0,419900000.0,1200000.0,45000000.0,39200000.0,4000000.0,2900000.0,50600000.0,22100000.0,,1700000.0,0.0,7600000.0,-10100000.0,400000.0,24400000.0,7700000.0,-16300000.0,,480000000.0,-2000000.0,,24200000.0,900000.0,,,427500000.0,,,43700000.0,0.0,,,,,
1998-07-31,12500000.0,200000.0,-1300000.0,-800000.0,28300000,,0.0,-25600000.0,8100000.0,224900000.0,100000.0,1500000.0,,209200000.0,-3100000.0,,55100000.0,98000000.0,332400000,629600000.0,20200000,-1200000.0,6700000.0,2700000.0,77700000.0,,258400000.0,,126900000.0,,74000000.0,,12500000,12500000.0,275200000.0,45700000.0,0.24,-100000.0,52083333.0,,-192500000.0,5000000.0,437100000.0,1500000.0,46500000.0,40400000.0,5000000.0,7500000.0,53800000.0,32200000.0,,1700000.0,100000.0,7900000.0,4100000.0,100000.0,22400000.0,20000000.0,-25500000.0,,500100000.0,900000.0,0.24,23800000.0,1300000.0,52083333.0,,445000000.0,,,42000000.0,4000000.0,,,,,
1998-10-31,12600000.0,-100000.0,0.0,-800000.0,28900000,,0.0,-29300000.0,8400000.0,241000000.0,1900000.0,1500000.0,,221000000.0,-5600000.0,,63300000.0,113900000.0,322400000,658900000.0,20500000,-2100000.0,6800000.0,2700000.0,76400000.0,,245400000.0,,127100000.0,,77000000.0,,12600000,12600000.0,287800000.0,48100000.0,0.24,600000.0,52500000.0,,-200700000.0,10700000.0,458200000.0,1400000.0,48000000.0,42500000.0,10700000.0,7600000.0,56500000.0,40500000.0,,1600000.0,-200000.0,7300000.0,10800000.0,800000.0,24300000.0,20200000.0,-29900000.0,,528800000.0,5800000.0,0.24,25700000.0,500000.0,52500000.0,,465500000.0,,,47700000.0,0.0,,,,,
1999-01-31,8900000.0,2000000.0,0.0,-800000.0,23400000,,0.0,-17100000.0,8700000.0,243700000.0,-4500000.0,1500000.0,,229100000.0,-3200000.0,,65100000.0,117600000.0,291600000,675700000.0,14700000,-1300000.0,7900000.0,2800000.0,73800000.0,,218900000.0,,126100000.0,,72700000.0,,8900000,8900000.0,296000000.0,49300000.0,0.17,-100000.0,52352941.0,,-204400000.0,10700000.0,471300000.0,1500000.0,49500000.0,43800000.0,10700000.0,5300000.0,58000000.0,47100000.0,,1900000.0,100000.0,3300000.0,500000.0,100000.0,16600000.0,14200000.0,-19800000.0,,539700000.0,-100000.0,0.17,28400000.0,2800000.0,52352941.0,,474600000.0,,,42100000.0,0.0,,,,,
1999-04-30,6200000.0,500000.0,-14200000.0,-800000.0,19500000,,0.0,-33500000.0,8700000.0,261000000.0,-6300000.0,2000000.0,,234500000.0,-11400000.0,,70200000.0,83800000.0,304700000,696900000.0,10800000,-3400000.0,14300000.0,3000000.0,122500000.0,,239100000.0,,177200000.0,,65600000.0,,6200000,6200000.0,301900000.0,46100000.0,,100000.0,,,-212400000.0,5900000.0,484500000.0,1000000.0,51700000.0,47200000.0,5900000.0,3700000.0,54800000.0,16800000.0,,1900000.0,0.0,8200000.0,17600000.0,100000.0,11100000.0,9900000.0,-22500000.0,,562900000.0,-4700000.0,,22800000.0,3100000.0,,,492700000.0,,,44200000.0,0.0,,,,,
1999-07-31,14700000.0,400000.0,-2700000.0,-800000.0,32900000,,9300000.0,-28300000.0,9100000.0,274000000.0,12200000.0,1800000.0,11600000.0,248400000.0,11000000.0,,81200000.0,96300000.0,387200000,723000000.0,23800000,-4200000.0,5600000.0,3100000.0,121200000.0,,302700000.0,,177700000.0,,84500000.0,,14700000,14700000.0,315900000.0,51600000.0,0.28,0.0,52500000.0,,-220700000.0,20900000.0,502300000.0,1500000.0,53400000.0,51400000.0,9300000.0,8700000.0,60700000.0,12200000.0,,2000000.0,0.0,6400000.0,-6500000.0,200000.0,38200000.0,23400000.0,-27200000.0,,589900000.0,3400000.0,0.28,28900000.0,1600000.0,52500000.0,,508700000.0,,67500000.0,55200000.0,5900000.0,,,,,
1999-10-31,12700000.0,1100000.0,0.0,-800000.0,30100000,,13500000.0,-25200000.0,9400000.0,282100000.0,-5900000.0,1700000.0,9600000.0,260300000.0,-8200000.0,,84400000.0,103900000.0,412800000,748200000.0,20700000,-600000.0,5600000.0,3300000.0,119700000.0,,327800000.0,,178200000.0,,85000000.0,,12700000,12700000.0,327900000.0,54900000.0,0.24,-100000.0,52916667.0,,-229100000.0,23100000.0,519100000.0,1400000.0,55200000.0,52000000.0,13500000.0,7500000.0,64300000.0,24800000.0,,2000000.0,0.0,6500000.0,10500000.0,100000.0,18900000.0,20200000.0,-27100000.0,,610000000.0,4200000.0,0.24,24800000.0,2000000.0,52916667.0,,525600000.0,,67600000.0,54300000.0,9300000.0,,,,,
2000-01-31,5200000.0,300000.0,0.0,-800000.0,19100000,,18100000.0,-27100000.0,9700000.0,315600000.0,-11100000.0,1800000.0,12600000.0,264700000.0,-23300000.0,,95400000.0,140600000.0,402000000,776900000.0,9400000,-2300000.0,6700000.0,3400000.0,114700000.0,,326800000.0,,175000000.0,,75200000.0,,5200000,5200000.0,319600000.0,56100000.0,0.1,100000.0,52000000.0,,-238500000.0,30700000.0,538400000.0,1200000.0,56900000.0,54300000.0,18100000.0,3100000.0,65800000.0,69300000.0,,2400000.0,100000.0,1400000.0,25800000.0,0.0,5900000.0,8300000.0,-29200000.0,,635200000.0,4600000.0,0.1,21200000.0,2000000.0,52000000.0,,539800000.0,,54900000.0,50100000.0,13500000.0,,,,,
2000-04-30,6948000.0,1164000.0,-46000.0,-746000.0,22809000,,15917000.0,-14752000.0,10008000.0,314803000.0,27162000.0,700000.0,7925000.0,270832000.0,26646000.0,,75061000.0,140651000.0,446195000,792849000.0,12801000,12941000.0,5745000.0,3606000.0,112896000.0,,365530000.0,,174152000.0,,80665000.0,,6948000,6948000.0,308762000.0,57856000.0,,0.0,,,-245858000.0,23842000.0,546991000.0,1068000.0,57650000.0,41363000.0,15917000.0,4067000.0,67864000.0,55653000.0,,2854000.0,-100000.0,1513000.0,-33448000.0,84000.0,45982000.0,11015000.0,-19336000.0,,623565000.0,-2218000.0,,24039000.0,4630000.0,,-17170000.0,548504000.0,,37930000.0,60959000.0,18100000.0,,,,,
2000-07-31,15725000.0,-110000.0,-34190000.0,-741000.0,38082000,,17034000.0,-57906000.0,10071000.0,357985000.0,-495000.0,1500000.0,27104000.0,285816000.0,-1762000.0,,104386000.0,103645000.0,530036000,820608000.0,28011000,-8367000.0,6241000.0,3757000.0,191433000.0,,428062000.0,4277000.0,254340000.0,,101974000.0,,15725000,15725000.0,323822000.0,63892000.0,0.32,0.0,49140625.0,,-255496000.0,44138000.0,565112000.0,1145000.0,59150000.0,49730000.0,17034000.0,9315000.0,73963000.0,10113000.0,,2971000.0,0.0,12309000.0,32332000.0,76000.0,26691000.0,25040000.0,-28453000.0,,681807000.0,1117000.0,0.32,34989000.0,4737000.0,49140625.0,,577421000.0,,38006000.0,58543000.0,15917000.0,,,,,
2000-10-31,13828000.0,831000.0,0.0,-990000.0,35229000,,18418000.0,-18377000.0,10321000.0,359293000.0,-7400000.0,1500000.0,30361000.0,298654000.0,703000.0,,114544000.0,104814000.0,496689000,837562000.0,24908000,-5680000.0,6200000.0,3908000.0,189921000.0,,396570000.0,4155000.0,254479000.0,,100119000.0,,13828000,13828000.0,336792000.0,64890000.0,0.28,0.0,49385714.0,,-265042000.0,48779000.0,572520000.0,981000.0,60650000.0,55410000.0,18418000.0,8190000.0,75211000.0,13165000.0,,2890000.0,0.0,9021000.0,681000.0,132000.0,19080000.0,22018000.0,-18377000.0,,696085000.0,1384000.0,0.28,32134000.0,0.0,49385714.0,,581541000.0,,38138000.0,59515000.0,17034000.0,,,,,
2001-01-31,3983000.0,492000.0,0.0,-989000.0,19934000,,5267000.0,-10718000.0,10473000.0,350751000.0,-23373000.0,1500000.0,29630000.0,301648000.0,-25824000.0,,108485000.0,99696000.0,437836000,855993000.0,9461000,-5105000.0,8146000.0,4059000.0,184846000.0,,352903000.0,4927000.0,251055000.0,,84933000.0,,3983000,3983000.0,339908000.0,64999000.0,0.08,0.0,49787500.0,,-275280000.0,34897000.0,580713000.0,832000.0,62150000.0,60515000.0,5267000.0,2361000.0,75472000.0,23597000.0,,3117000.0,0.0,1461000.0,4492000.0,123000.0,-6925000.0,6344000.0,-18899000.0,,690659000.0,-13151000.0,0.08,24623000.0,8181000.0,49787500.0,,582174000.0,,38260000.0,51476000.0,18418000.0,,,,,
2001-04-30,1465000.0,1171000.0,0.0,-990000.0,15830000,,22958000.0,-4658000.0,10627000.0,353008000.0,24387000.0,1500000.0,18225000.0,302123000.0,23323000.0,,106893000.0,102041000.0,462918000,869777000.0,5203000,8743000.0,0.0,4210000.0,183107000.0,24824000.0,383293000.0,5190000.0,250967000.0,,79625000.0,,1465000,1465000.0,340476000.0,63795000.0,,0.0,,,-284483000.0,41183000.0,585294000.0,809000.0,63650000.0,51772000.0,22958000.0,718000.0,74422000.0,9482000.0,,5574000.0,0.0,1297000.0,-16801000.0,43000.0,39150000.0,2183000.0,-15827000.0,,693484000.0,17691000.0,,0.0,11169000.0,,,586591000.0,,38353000.0,67735000.0,5267000.0,,,,,
2001-07-31,12708000.0,433000.0,,-990000.0,34146000,,15419000.0,-25245000.0,10807000.0,360619000.0,-8637000.0,1500000.0,13666000.0,313841000.0,-12910000.0,,107321000.0,109202000.0,579799000,899021000.0,23339000,-12659000.0,0.0,4252000.0,182015000.0,25360000.0,473877000.0,7538000.0,251417000.0,,105922000.0,,12708000,12708000.0,352264000.0,71776000.0,0.26,0.0,48876923.0,,-294738000.0,29085000.0,604283000.0,876000.0,65150000.0,64431000.0,15419000.0,7528000.0,82583000.0,12754000.0,,3103000.0,0.0,1279000.0,895000.0,70000.0,16811000.0,20236000.0,-29721000.0,,712883000.0,-7539000.0,0.26,3265000.0,4476000.0,48876923.0,,605562000.0,,38423000.0,67823000.0,22958000.0,,,,,
2001-10-31,12392000.0,352000.0,,-990000.0,33830000,,13636000.0,-16567000.0,11074000.0,349462000.0,-4974000.0,1500000.0,5827000.0,325243000.0,-3955000.0,,94733000.0,97913000.0,558450000,922781000.0,22756000,517000.0,0.0,4295000.0,180604000.0,25667000.0,452379000.0,5168000.0,251549000.0,,106071000.0,,12392000,12392000.0,363856000.0,72241000.0,0.25,0.0,49568000.0,,-305457000.0,19463000.0,617324000.0,796000.0,66650000.0,63914000.0,13636000.0,7340000.0,83315000.0,9405000.0,,3024000.0,0.0,1261000.0,-5560000.0,190000.0,20344000.0,19732000.0,-24299000.0,,713318000.0,-1783000.0,0.25,1615000.0,7732000.0,49568000.0,,618585000.0,,38613000.0,61226000.0,15419000.0,,,,,
2002-01-31,2269000.0,738000.0,,-991000.0,17408000,,2066000.0,-14608000.0,11315000.0,341399000.0,-11710000.0,1500000.0,11000.0,326521000.0,-16150000.0,,80128000.0,93330000.0,453507000,940621000.0,6093000,-1401000.0,0.0,4338000.0,175581000.0,25087000.0,365248000.0,4255000.0,248069000.0,,88259000.0,,2269000,2269000.0,365728000.0,70851000.0,0.05,0.0,45380000.0,,-314865000.0,2077000.0,625756000.0,725000.0,68150000.0,65315000.0,2066000.0,1344000.0,82166000.0,13751000.0,,3205000.0,0.0,1243000.0,-1074000.0,594000.0,4112000.0,3613000.0,-20262000.0,,707127000.0,-11570000.0,0.05,0.0,5654000.0,45380000.0,,626999000.0,,39207000.0,54492000.0,13636000.0,,,,,
2002-04-30,4376000.0,1188000.0,,-1240000.0,24296000,,18946000.0,-23287000.0,11506000.0,366036000.0,17117000.0,7636000.0,10000.0,329657000.0,18536000.0,,97619000.0,112073000.0,466879000,961580000.0,12790000,4817000.0,0.0,4380000.0,173797000.0,27238000.0,370055000.0,5127000.0,253963000.0,,96824000.0,,4376000,4376000.0,369219000.0,72528000.0,,0.0,,,-324936000.0,18956000.0,636644000.0,662000.0,75786000.0,60498000.0,18946000.0,2593000.0,84034000.0,14923000.0,,4300000.0,0.0,992000.0,-1656000.0,197000.0,41823000.0,6969000.0,-23287000.0,,735255000.0,16880000.0,,0.0,0.0,,,637636000.0,,39562000.0,69912000.0,2066000.0,,,,,
2002-07-31,12191000.0,,,-1240000.0,34399000,,23868000.0,-17553000.0,11635000.0,363778000.0,4654000.0,2000000.0,10000.0,340608000.0,12927000.0,,101057000.0,109063000.0,551205000,977293000.0,22764000,-7218000.0,0.0,4398000.0,172531000.0,28203000.0,443909000.0,5366000.0,254715000.0,,107296000.0,,12191000,12191000.0,380181000.0,72897000.0,0.25,0.0,48764000.0,,-335364000.0,23878000.0,641929000.0,708000.0,77786000.0,67716000.0,23868000.0,7222000.0,84532000.0,9662000.0,,3351000.0,0.0,973000.0,-8005000.0,11000.0,30480000.0,19413000.0,-17553000.0,,743959000.0,4922000.0,0.25,4114000.0,,48764000.0,,642902000.0,,39573000.0,67084000.0,18946000.0,,,,,
2002-10-31,13445000.0,,,-1241000.0,36347000,,28727000.0,-16642000.0,11760000.0,360206000.0,-3140000.0,2000000.0,,352812000.0,7413000.0,,105923000.0,104717000.0,549129000,991418000.0,24587000,1233000.0,0.0,4416000.0,171287000.0,28783000.0,438731000.0,6381000.0,255489000.0,,110398000.0,,13445000,13445000.0,392583000.0,74051000.0,0.27,10000.0,49796296.0,,-345506000.0,28727000.0,645912000.0,649000.0,79786000.0,66483000.0,28727000.0,7963000.0,85811000.0,9666000.0,,3179000.0,0.0,954000.0,-2564000.0,198000.0,24065000.0,21408000.0,-16652000.0,,752789000.0,4859000.0,0.27,2894000.0,,49796296.0,,646866000.0,,39771000.0,63374000.0,23868000.0,,,,,
2003-01-31,6967000.0,,,-1241000.0,26285000,,15876000.0,-15604000.0,11921000.0,350426000.0,-17019000.0,2000000.0,,358538000.0,-8884000.0,,98977000.0,98028000.0,512537000,1005792000.0,14364000,-5590000.0,0.0,4434000.0,166178000.0,28633000.0,414520000.0,4855000.0,252398000.0,,98017000.0,,6967000,6967000.0,398414000.0,71732000.0,0.14,0.0,49764286.0,,-356863000.0,15876000.0,648929000.0,589000.0,81786000.0,72073000.0,15876000.0,4127000.0,83653000.0,12045000.0,,3270000.0,0.0,934000.0,-3967000.0,5000.0,6720000.0,11094000.0,-15604000.0,,748840000.0,-12851000.0,0.14,0.0,0.0,49764286.0,,649863000.0,,39876000.0,57350000.0,28727000.0,,,,,
2003-04-30,6933000.0,419000.0,,-1241000.0,26254000,,40544000.0,-12927000.0,11983000.0,371087000.0,18229000.0,5085000.0,,364230000.0,29722000.0,,116874000.0,117338000.0,545186000,1025766000.0,14271000,9064000.0,0.0,4484000.0,162394000.0,32561000.0,446811000.0,5742000.0,253749000.0,,98375000.0,,6933000,6933000.0,404238000.0,72121000.0,,0.0,,,-368123000.0,40544000.0,657643000.0,505000.0,86871000.0,63009000.0,40544000.0,4108000.0,84104000.0,19897000.0,,3468000.0,0.0,808000.0,-5054000.0,132000.0,42649000.0,11041000.0,-12927000.0,,775325000.0,24668000.0,,0.0,0.0,,,658451000.0,,40008000.0,64880000.0,15876000.0,,,,,
2003-07-31,13827000.0,102000.0,,-1242000.0,37184000,,52662000.0,-16828000.0,12165000.0,380967000.0,1304000.0,2750000.0,,376815000.0,12282000.0,,135913000.0,136885000.0,609874000,1041560000.0,25019000,-9365000.0,0.0,4905000.0,149556000.0,30545000.0,495540000.0,5793000.0,244082000.0,,114334000.0,,13827000,13827000.0,418040000.0,77150000.0,0.28,0.0,49382143.0,,-379593000.0,52662000.0,661967000.0,503000.0,89621000.0,72374000.0,52662000.0,7947000.0,89315000.0,31219000.0,,3245000.0,0.0,1127000.0,-1586000.0,1217000.0,30532000.0,21774000.0,-18250000.0,,799007000.0,12118000.0,0.28,2323000.0,,49382143.0,,663094000.0,,41225000.0,72798000.0,40544000.0,,,,,
2003-10-31,15770000.0,171000.0,,-1743000.0,40209000,,57758000.0,-21510000.0,12317000.0,376752000.0,-594000.0,2750000.0,,390842000.0,7969000.0,,136525000.0,130782000.0,611407000,1061346000.0,27892000,4091000.0,0.0,5078000.0,148521000.0,30637000.0,493634000.0,5213000.0,245970000.0,,117773000.0,,15770000,15770000.0,432528000.0,77564000.0,0.32,0.0,49281250.0,,-389720000.0,57758000.0,671626000.0,463000.0,92371000.0,68283000.0,57758000.0,9066000.0,89881000.0,30194000.0,,3056000.0,0.0,1129000.0,-3967000.0,461000.0,30573000.0,24836000.0,-22604000.0,,809280000.0,5096000.0,0.32,1360000.0,,49281250.0,,672755000.0,,41686000.0,68591000.0,52662000.0,,,,,
