date,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyDilutedEPS,quarterlyCurrentDeferredRevenue,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyRepaymentOfDebt,quarterlySaleOfInvestment,quarterlyOtherCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyBasicAverageShares,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyAccumulatedDepreciation,quarterlyOtherNonCashItems,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyPurchaseOfBusiness,quarterlyRepurchaseOfCapitalStock,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyResearchAndDevelopment,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyFreeCashFlow,quarterlyOtherShortTermInvestments,quarterlyCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAccruedExpenses,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyLongTermDebt,quarterlyBasicEPS,quarterlyOtherNonCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyDepreciationAndAmortization,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,quarterlyNetOtherFinancingCharges,quarterlyInterestExpense,quarterlyInvestingCashFlow,quarterlyGrossProfit,quarterlyOtherIncomeExpense,quarterlyEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyChangeInAccountPayable,quarterlyNetIncome,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDilutedAverageShares,quarterlyCashDividendsPaid,quarterlyOtherIntangibleAssets,quarterlyDeferredIncomeTax,quarterlyGoodwill,quarterlyChangeInInventory,quarterlyAccountsReceivable,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyIncomeTaxPayable,quarterlyInventory
2005-06-30,2432443000,157980000.0,-762000.0,110755000,0.74,,17422000.0,17422000.0,47193000,59665000.0,,-6150000.0,20311000.0,3497000.0,773000.0,-224255000,-13511000,72981333.0,,7564000,171877000,61122000,-895435000.0,-29655000,-594000,76942000,5810590000.0,,,28807000.0,,,,,4915155000.0,103244000,,,,14918000.0,-147313000,,,,34266000.0,5114706000,,2439249000.0,0.75,,6262000,28854000,42122000,,,-50334000,32379000.0,-64025000,,,2877000.0,54736000,4544000.0,56911000,41672000.0,,2662042000,73967568.0,-53900000.0,,,,,,,,
2005-09-30,2490876000,18674000.0,-6673000.0,112274000,1.3,,58374000.0,58374000.0,-1755000,125877000.0,,-5037000.0,18308000.0,2877000.0,775000.0,-128259000,-84443000,73449242.0,,-6258000,169992000,57718000,-902116000.0,-66247000,-523000,67628000,5794396000.0,,,73549000.0,,0.0,,,4892280000.0,98723000,,,,9961000.0,-60631000,,,,28146000.0,5133101000,,2399361000.0,1.32,,5857000,25824000,41005000,,,-315000,31787000.0,16292000,,,2268000.0,96953000,3544000.0,99128000,41064000.0,,2622761000,74579231.0,-54181000.0,,,,,,,,
2005-12-31,2541663000,104400000.0,15145000.0,114055000,,,54372000.0,54372000.0,-486000,111569000.0,,-4470000.0,62852000.0,2268000.0,777000.0,-272737000,-91132000,,,33464000,174977000,60922000,-938297000.0,-79536000,3757000,94242000,5884085000.0,,,115788000.0,,,,,4945788000.0,104507000,,,,5399000.0,-178495000,,,,82564000.0,5165060000,,2366564000.0,,,6483000,29747000,43585000,,,-35515000,31089000.0,647000,,,6106000.0,94554000,1587000.0,96729000,41942000.0,,2603933000,,-54356000.0,,,,,,,,
2006-03-31,2624535000,320936000.0,3668000.0,111516000,1.49,,85635000.0,85635000.0,-5546000,,,-3929000.0,33035000.0,6138000.0,783000.0,-235803000,-109282000,73619737.0,,-15644000,173807000,62291000,-964001000.0,-29677000,49763000,73912000,5892577000.0,,,168470000.0,,,,,4928576000.0,101910000,,,,12500000.0,-161891000,,,,27845000.0,5169452000,,2299384000.0,1.52,,6283000,46888000,5156000,,,-66932000,28664000.0,85133000,,13166000.0,55901000.0,111902000,-11490000.0,114077000,41207000.0,,2539406000,75102013.0,-54454000.0,,,,,,,,
2006-06-30,2641048000,251617000.0,-5793000.0,116253000,0.9,,43349000.0,43349000.0,-2137000,,,-3285000.0,44474000.0,55901000.0,784000.0,-388773000,-17027000,74498901.0,,55338000,180675000,64422000,-1018627000.0,-17258000,-43089000,111094000,6073870000.0,,,178187000.0,,,,,5055243000.0,105660000,,,,3151000.0,-277679000,,,,34482000.0,5272440000,,2340051000.0,0.91,,6479000,37906000,3045000,,,5792000,26595000.0,-137156000,,,12780000.0,67794000,33462000.0,69969000,50671000.0,,2625909000,75326667.0,-60088000.0,,,,,,,,
2006-09-30,2635421000,-533297000.0,-858000.0,116613000,0.57,,186882000.0,186882000.0,-9495000,,,-3799000.0,53761000.0,12780000.0,786000.0,126578000,275975000,73967241.0,,-42212000,187667000,71054000,-1058148000.0,-59805000,174505000,64584000,6252142000.0,,,162905000.0,,,,,5193994000.0,192579000,,,,7112000.0,191162000,,,,26183000.0,5591197000,,487025000.0,0.58,,5633000,45076000,121525000,,,18986000,26937000.0,-166054000,,1010000.0,186882000.0,42901000,-20248000.0,45076000,49054000.0,,2944884000,75264912.0,-60144000.0,,,,,,,,
2006-12-31,2631438000,356634000.0,-58000.0,121774000,,,145556000.0,145556000.0,-2347000,,,-3579000.0,59232000.0,186882000.0,787000.0,-334339000,12614000,,,27754000,193800000,72026000,-1099834000.0,-17943000,-178327000,102353000,6577891000.0,,,151714000.0,,165741000.0,,,5478057000.0,115291000,,,,3788000.0,-231986000,,,,37236000.0,5813186000,,672508000.0,,,6372000,49276000,43265000,,,318517000,28851000.0,-293294000,,-304000.0,8567000.0,47102000,13935000.0,49277000,42724000.0,,3171208000,,-60272000.0,,,,,,,,
2007-03-31,3161207000,-388000.0,11469000.0,126318000,0.56,,396678000.0,356435000.0,-18191000,,,-3407000.0,58844000.0,8567000.0,836000.0,-292005000,533946000,77798246.0,,3014000,196706000,70388000,-1148518000.0,21000,347868000,99188000,6903609000.0,,,63965000.0,,,,,5755091000.0,120021000,,,,612744000.0,-192817000,40243000.0,,,29229000.0,6424049000,,654723000.0,0.57,,6780000,46520000,49633000,2153184000.0,,-18456000,23878000.0,-285266000,,1090000.0,356435000.0,44345000,-9962000.0,46520000,40243000.0,,3240892000,79187500.0,-60342000.0,,,,,,,,
2007-06-30,3149792000,592308000.0,-5246000.0,128108000,0.61,,396745000.0,358188000.0,-5408000,,,-2669000.0,102634000.0,356435000.0,837000.0,-860648000,-53334000,78833871.0,,738000,201936000,73828000,-1181799000.0,3657000,-218441000,102078000,7171941000.0,,,43319000.0,,,,,5990142000.0,120460000,,,,4355000.0,-758570000,38557000.0,,,187702000.0,6542810000,,761387000.0,0.62,,6642000,50513000,46632000,2153289000.0,,12096000,22662000.0,-267185000,,,137770000.0,48877000,7491000.0,51052000,38557000.0,,3368135000,80126230.0,-69785000.0,,,,,,,,
2007-09-30,3100312000,312492000.0,-11144000.0,132930000,1.58,,310971000.0,234451000.0,-3189000,,,-3056000.0,97634000.0,137770000.0,827000.0,-556206000,-55873000,79121250.0,,-14194000,208124000,75194000,-1212453000.0,-71290000,-98669000,92377000,7393831000.0,,,27448000.0,,,,,6181378000.0,124286000,,,,2140000.0,-463829000,76520000.0,,,200857000.0,6632699000,,1051102000.0,1.6,,6645000,49677000,49092000,2003394000.0,,94338000,25129000.0,-135173000,,,39042000.0,126594000,2171000.0,128769000,46195000.0,,3509235000,80122785.0,-69856000.0,,,,,,,,
2007-12-31,3026654000,-817915000.0,6265000.0,-100709000,,,21222000.0,21222000.0,-468000,,0.0,-3366000.0,91580000.0,39042000.0,813000.0,582428000,-58379000,,,70534000,212386000,70393000,-1259558000.0,69197000,-17820000,162182000,7556740000.0,435999000.0,210393000.0,2499000.0,,,-143096000.0,,6297182000.0,117571000,,,0.0,1790000.0,729335000,57990000.0,,3250679000.0,276510000.0,6736484000,6526091000.0,3208202000.0,,42477000.0,8427000,103291000,36368000,1893499000.0,-10257000.0,-100046000,,-121623000,,57039000.0,21222000.0,129645000,59048000.0,131820000,57990000.0,29542000.0,3686678000,,-71059000.0,,,,,,,,
2008-03-31,2971691000,56020000.0,-26916000.0,137031000,0.6,,458984000.0,398510000.0,-53607000,,,-3602000.0,115631000.0,21166000.0,810000.0,-210173000,386522000,77125000.0,,-167584000,211838000,74807000,-1267010000.0,89919000,249154000,19577000,7724681000.0,,,-40677000.0,,,-42159000.0,,6457671000.0,123599000,,,,1457000.0,-190596000,60474000.0,,,190132000.0,7120103000,,1834961000.0,0.6,,8119000,46730000,48792000,1843605000.0,,-106000,28005000.0,-156945000,,,270320000.0,46275000,-56876000.0,48450000,60474000.0,,4128760000,77125000.0,-67760000.0,,,,,,,,
2008-06-30,3037551000,-59959000.0,2651000.0,138935000,1.61,,114329000.0,114329000.0,-568188000,,,13286000.0,75380000.0,270320000.0,810000.0,-228740000,-335833000,76753951.0,,84228000,214222000,75287000,-1280602000.0,-76810000,-262091000,119548000,7811182000.0,,,,,,0.0,,6530580000.0,134223000,,,,2013000.0,-109192000,,,,229203000.0,6921776000,,,1.63,,9383000,49384000,58936000,3423925000.0,,-5302000,,-45806000,,0.0,7347000.0,125159000,13930000.0,127334000,63435000.0,,3864952000,77578617.0,-70956000.0,,,,,,,,
2008-09-30,3210639000,-22298000.0,,30351000,2.98,,286679000.0,286679000.0,-142622000,,0.0,178311000.0,61756000.0,7347000.0,811000.0,-226178000,-67358000,76879070.0,,38815000,218492000,103715000,-1301648000.0,-13593000,71685000,127857000,7828678000.0,3795815000.0,319542000.0,,,,0.0,,6527030000.0,153112000,,,0.0,3363000.0,-98321000,,84426000.0,68054000.0,235825000.0,7091197000,6771655000.0,,3.01,68054000.0,9318000,48177000,40769000,3402255000.0,,5408000,28364000.0,11186000,134066000.0,1190000.0,79019000.0,231406000,,233581000,56364000.0,0.0,3863869000,77653020.0,-71007000.0,,,,,,,,
2008-12-31,2916396000,-4720000.0,,10088000,,,65706000.0,65706000.0,87425000,127912000.0,0.0,-2932000.0,64257000.0,79019000.0,771000.0,-237236000,-58442000,,,26267000,220353000,61139000,-1352744000.0,9912000,-13313000,119873000,8002487000.0,532944000.0,259305000.0,-21942000.0,,,-100000000.0,,6649743000.0,112303000,,,0.0,600000.0,-117363000,,149126000.0,3715060000.0,260478000.0,7173374000,6914069000.0,3674457000.0,,40603000.0,15960000,-25522000,50955000,,,-111247000,29256000.0,-74744000,71227000.0,4566000.0,65706000.0,-1806000,,2123000,55025000.0,29935000.0,4248004000,,-69469000.0,,,,,,,,
2009-03-31,3041363000,0.0,,81590000,0.59,,288846000.0,288846000.0,-102680000,26913000.0,0.0,-43510000.0,57068000.0,65706000.0,799000.0,-156594000,63489000,78752744.0,,-8168000,219483000,72748000,-1405309000.0,4591000,24629000,90821000,8143692000.0,4225798000.0,288846000.0,,,,,,6738383000.0,125388000,,,44118000.0,35000.0,-65773000,,65145000.0,6281000.0,251971000.0,7273442000,6984596000.0,,0.6,,7247000,47048000,52640000,3801311000.0,,0,29157000.0,-129681000,154338000.0,3457000.0,90335000.0,47425000,,47101000,56231000.0,0.0,4232079000,79792281.0,-68866000.0,,,,,,,,
2009-06-30,2990709000,-702000.0,,79858000,0.22,,483923000.0,483923000.0,-255267000,20500000.0,0.0,-97860000.0,55263000.0,90335000.0,799000.0,-166174000,172922000,79662223.0,,5507000,222144000,77106000,-1458917000.0,2645000,125453000,98907000,8280442000.0,426999000.0,483923000.0,,,,,,6821525000.0,130843000,,,39436000.0,1079000.0,-67267000,,65180000.0,4156610000.0,260954000.0,7574318000,7090395000.0,4149888000.0,0.22,6722000.0,5390000,16723000,53737000,4149888000.0,,-7929000,37385000.0,-146376000,156964000.0,-22998000.0,215788000.0,17674000,,16723000,65094000.0,0.0,4576887000,80042294.0,-71101000.0,,,,,,,,
2009-09-30,3082570000,67576000.0,,60710000,0.72,,777456000.0,777456000.0,-228768000,,312710000.0,-109857000.0,49621000.0,215788000.0,814000.0,-141677000,308946000,80132409.0,,-6624000,222051000,73773000,-1482256000.0,3073000,338575000,83250000,8338510000.0,2779016000.0,1090166000.0,,,,0.0,,6856254000.0,128733000,,,426460000.0,101328000.0,-58427000,,87568000.0,2084834000.0,267107000.0,7946420000,6856254000.0,2080295000.0,0.72,4539000.0,5750000,30299000,55316000,2352556000.0,,507727000,41208000.0,-53621000,134483000.0,-2266000.0,554335000.0,58154000,,58154000,63583000.0,0.0,4863850000,80609277.0,-71341000.0,,,,,,,,
2009-12-31,3050127000,-80761000.0,,86081000,,,105691000.0,105691000.0,-471078000,,0.0,-1067000.0,49623000.0,554335000.0,815000.0,-122398000,-549642000,,,21092000,193741000,26603000,-1477772000.0,4778000,-447901000,105622000,8311259000.0,386764000.0,316367000.0,-149988000.0,,,0.0,,6833487000.0,83196000,,,0.0,6418000.0,-16776000,,81057000.0,4020714000.0,264368000.0,7457605000,7141238000.0,3974872000.0,,45842000.0,10360000,-14843000,56593000,,,-512523000,42487000.0,-3881000,112684000.0,1041000.0,105691000.0,32394000,,32394000,74570000.0,23646000.0,4407478000,,-72459000.0,,,,,,,,
2010-03-31,3135649000,0.0,,66534000,0.88,,123297000.0,123297000.0,-26465000,4315000.0,0.0,-525000.0,48368000.0,105691000.0,827000.0,-121693000,-15234000,81897566.0,,-13985000,215587000,62394000,-1533579000.0,4472000,17606000,68883000,8403597000.0,382322000.0,330633000.0,-152324000.0,,,,,6870018000.0,118489000,,505000.0,0.0,83896000.0,-52810000,,86659000.0,3983439000.0,258471000.0,7508134000,7177501000.0,3949907000.0,0.89,33532000.0,9934000,20080000,56095000,,,0,42541000.0,-36043000,128928000.0,227000.0,123297000.0,72523000,,72523000,72999000.0,307483000.0,4365761000,82310670.0,-72665000.0,,,,,,,,
2010-06-30,3334909000,0.0,,63010000,0.61,,373721000.0,373721000.0,-1465000,19690000.0,21787000.0,-1202000.0,43443000.0,123297000.0,851000.0,-123877000,145518000,83517908.0,,13486000,220468000,69888000,-1590901000.0,2845000,250424000,102841000,8432759000.0,378424000.0,583775000.0,-179929000.0,,,,,6841858000.0,127367000,,443000.0,0.0,222921000.0,-21036000,,87570000.0,3982130000.0,259037000.0,7704844000,7121069000.0,3948534000.0,0.61,33596000.0,5088000,28893000,57479000,,,-2218000,41458000.0,2065000,132898000.0,463000.0,373721000.0,51125000,,51125000,71467000.0,279211000.0,4360554000,84245105.0,-73720000.0,,,,,,,,
2010-09-30,3303831000,-24000000.0,,67430000,0.29,,229111000.0,229111000.0,-1503000,8935000.0,0.0,-1515000.0,37706000.0,373721000.0,853000.0,-106798000,-62896000,84968804.0,,-23975000,227583000,68666000,-1650905000.0,3163000,-144610000,62655000,8574975000.0,3947890000.0,407141000.0,-232770000.0,,,,26212000.0,6924070000.0,127294000,,737000.0,0.0,15440000.0,-44143000,,91487000.0,412051000.0,264252000.0,7674402000,7267261000.0,3947890000.0,0.29,44596000.0,8065000,24079000,58753000,3947890000.0,,-931000,,-144369000,136096000.0,-325000.0,229111000.0,24654000,,24654000,93770000.0,343191000.0,4359941000,85768696.0,-75902000.0,,,,,,,,
2010-12-31,3310618000,24000000.0,,67486000,,,306426000.0,306426000.0,-129470000,9389000.0,0.0,-1175000.0,34433000.0,229111000.0,859000.0,-109867000,100177000,,,8120000,231892000,71342000,-1705566000.0,3181000,77315000,97727000,8661211000.0,389948000.0,479769000.0,-282743000.0,,,,,6955645000.0,131957000,,,0.0,59108000.0,-12140000,,93064000.0,4101687000.0,278839000.0,7821488000,7341719000.0,4101687000.0,,14262000.0,6871000,24791000,60615000,,-52062000.0,-3436000,,-120589000,138828000.0,398000.0,306426000.0,27027000,,27027000,121537000.0,22289000.0,4491635000,,-76025000.0,,,,,,,,
2011-03-31,3416584000,0.0,,68591000,0.35,,291800000.0,291800000.0,-30119000,,0.0,-1259000.0,32697000.0,306426000.0,873000.0,-118336000,36842000,86168732.0,,-21944000,235808000,74305000,-1767133000.0,3551000,-14626000,73215000,8770557000.0,381681000.0,476932000.0,-332401000.0,,,,30537000.0,7003424000.0,136107000,,,0.0,150157000.0,-45121000,,92912000.0,4072567000.0,271043000.0,7881762000,7404830000.0,4037183000.0,0.35,35384000.0,7292000,30537000,61299000,,,-6577000,44271000.0,-124683000,142896000.0,503000.0,291800000.0,30341000,,30341000,120255000.0,23109000.0,4454248000,86997530.0,-76619000.0,,,,,,,,
2011-06-30,3479163000,-612000.0,,72392000,0.49,,360234000.0,360234000.0,-1844000,,24326000.0,-20595000.0,33821000.0,291800000.0,887000.0,-209826000,33985000,86746992.0,,29425000,244859000,82409000,-1787021000.0,3196000,-1696000,132664000,8974453000.0,3986157000.0,360234000.0,-368412000.0,,,,35608000.0,7187432000.0,145303000,,1353000.0,0.0,113977000.0,-77162000,,90058000.0,470570000.0,320303000.0,7942742000,7582508000.0,3986157000.0,0.5,37289000.0,8145000,35608000,62920000,3986157000.0,,6325000,45855000.0,-168345000,154801000.0,-946000.0,290104000.0,43373000,,43373000,118627000.0,395076000.0,4456727000,87597981.0,-77903000.0,,,,,,,,
2011-09-30,4156262000,15803000.0,,70310000,0.49,,690049000.0,690049000.0,-200585000,,0.0,-80866000.0,36204000.0,290104000.0,950000.0,-197827000,488048000,91388357.0,,-20601000,251077000,88176000,-1825094000.0,3531000,400727000,89133000,9082551000.0,2155859000.0,759027000.0,-409477000.0,,,,46485000.0,7257457000.0,150438000,,633000.0,0.0,773496000.0,-108694000,,92591000.0,2169692000.0,258893000.0,8488657000,7729630000.0,1629234000.0,0.49,417462000.0,7415000,46485000,62736000,2155859000.0,,-5744000,,-176454000,158486000.0,2279000.0,690049000.0,44824000,,44824000,131314000.0,472173000.0,4325551000,92340368.0,-79119000.0,,,,,,,,
2011-12-31,4394741000,-46125000.0,,69442000,,,616890000.0,616890000.0,-157518000,,0.0,-87020000.0,36775000.0,690049000.0,952000.0,-162579000,-232642000,,,9472000,241091000,83887000,-1863466000.0,2800000,-71922000,134379000,9288496000.0,403881000.0,690329000.0,-171648000.0,,,,49471000.0,7425030000.0,147201000,,,0.0,12205000.0,-28200000,,87762000.0,3669554000.0,282153000.0,8482390000,7792061000.0,3669554000.0,,7063000.0,7847000,49471000,63314000,,12462000.0,-9115000,,26341000,153329000.0,-333000.0,616890000.0,323085000,,323085000,144561000.0,23597000.0,4073435000,,-84784000.0,,,,,,,,
2012-03-31,4390270000,0.0,,74386000,0.6,,248242000.0,248242000.0,-231438000,,0.0,-76012000.0,43789000.0,616853000.0,953000.0,-154970000,-307611000,95274494.0,,-18873000,252454000,89318000,-1900698000.0,3459000,-368611000,105340000,9400092000.0,1930386000.0,321136000.0,-208304000.0,,-7442000.0,,56688000.0,7499394000.0,152309000,,239000.0,0.0,8956000.0,-49630000,,88750000.0,1913206000.0,254963000.0,8241059000,7919923000.0,1449929000.0,0.61,429235000.0,11156000,56688000,63312000,1930386000.0,,-130000,33626000.0,-166340000,163704000.0,996000.0,248242000.0,57758000,,57758000,151565000.0,420529000.0,3843592000,95653779.0,-84999000.0,,,,,,,,
2012-06-30,4582240000,14024000.0,,75591000,1.63,,358263000.0,358263000.0,-51583000,,0.0,-103809000.0,43357000.0,248242000.0,966000.0,-230473000,19304000,95308163.0,,-12161000,258805000,91460000,-1947431000.0,3849000,110021000,117128000,9553603000.0,1912316000.0,431954000.0,-145921000.0,,,,60620000.0,7606172000.0,156335000,,901000.0,0.0,166726000.0,-113345000,,91754000.0,1910173000.0,283368000.0,8412045000,7980091000.0,1450048000.0,1.64,460125000.0,9815000,60620000,65019000,1912316000.0,,7000,,-26411000,167051000.0,2353000.0,358263000.0,156909000,,156909000,144924000.0,373919000.0,3822489000,95992825.0,-92496000.0,,,,,,,,
2012-09-30,4720875000,24781000.0,,76560000,0.89,,664133000.0,664133000.0,-57564000,,0.0,-110787000.0,51194000.0,358263000.0,977000.0,-302871000,443146000,97044603.0,,13256000,271904000,100985000,-2013104000.0,5362000,305870000,152705000,9891752000.0,1908872000.0,713984000.0,-153811000.0,,,,86747000.0,7878648000.0,166983000,,608000.0,0.0,150971000.0,-150166000,,94359000.0,2331616000.0,246682000.0,8968566000,8254582000.0,1899208000.0,0.89,432408000.0,9954000,86747000,65998000,1908872000.0,,-6621000,,-289981000,177545000.0,19747000.0,664133000.0,86844000,,86844000,139405000.0,375934000.0,4240488000,97546569.0,-93640000.0,,,,,,,,
2012-12-31,6833591000,2293000.0,,73270000,1.19,38626000.0,2733618000.0,2733618000.0,-150429000,,0.0,-108007000.0,53677000.0,664133000.0,1144000.0,-249332000,2044493000,102401254.0,38626000.0,17983000,271303000,105836000,-2034364000.0,2464000,2069485000,165646000,10001095000.0,706000.0,2808399000.0,-142329000.0,,,,68237000.0,7966731000.0,171403000,,9601000.0,706000.0,2103537000.0,827432000,50033000.0,92197000.0,4318578000.0,257250000.0,11160078000,8351679000.0,3851033000.0,1.19,421892000.0,7703000,68237000,61697000,1905235000.0,8006000.0,-67528000,,-140654000,179106000.0,-1482000.0,2733618000.0,122356000,,122356000,129352000.0,336560000.0,4319284000,102863336.0,-94437000.0,,,,,,,,
2013-03-31,8651685000,-360000.0,,119868000,0.63,46755000.0,458753000.0,458753000.0,-1607243000,0.0,0.0,-106616000.0,53317000.0,2733618000.0,1294000.0,-3616000,-1717969000,119680510.0,46755000.0,-36648000,312131000,86344000,-2143581000.0,-1604000,-2286162000,81388000,16157761000.0,0.0,568419000.0,-206667000.0,,-749275000.0,,-11468000.0,14014180000.0,196173000,,40059000.0,0.0,253000.0,77772000,,105919000.0,6528476000.0,340908000.0,15187364000,14618945000.0,5928289000.0,0.63,532663000.0,10039000,-11468000,109829000,4082328000.0,-2978000.0,-88000,38174000.0,-649581000,206212000.0,-59638000.0,447456000.0,75427000,,75427000,371983000.0,604765000.0,6528476000,120111128.0,-110891000.0,,,,,,,,
2013-06-30,8556560000,31667000.0,,207451000,0.28,48225000.0,59431000.0,59431000.0,-278887000,,0.0,-105042000.0,84984000.0,447456000.0,1294000.0,-1091000,-287363000,129179471.0,48225000.0,-12954000,389234000,50785000,-2326132000.0,-6786000,-336309000,185823000,16442378000.0,487364000.0,233058000.0,-308938000.0,,,,2052000.0,14116246000.0,246891000,,3768000.0,0.0,2352000.0,184732000,,130998000.0,6409177000.0,263924000.0,14972940000,14739882000.0,5853319000.0,0.28,488119000.0,11345000,2052000,195451000,3865206000.0,,-85662000,,-234769000,258236000.0,-5564000.0,111147000.0,36218000,,36218000,365521000.0,623636000.0,6409177000,129595399.0,-138376000.0,,,,,,,,
2013-09-30,8454830000,-183000.0,,170560000,-0.08,47020000.0,112910000.0,112910000.0,-3269000,,0.0,-50094000.0,84027000.0,111147000.0,1294000.0,-13106000,109712000,129208839.0,47020000.0,-14657000,393127000,83282000,-2445294000.0,-7441000,1763000,202712000,16454071000.0,8275000.0,239207000.0,-458229000.0,,,,-14106000.0,14008777000.0,243964000,,2176000.0,8275000.0,269000.0,189606000,,139285000.0,6663502000.0,278109000.0,15133810000,14894603000.0,6097632000.0,-0.08,500595000.0,9878000,-14106000,152557000,2245191000.0,,-6897000,,-310661000,253842000.0,-53443000.0,112910000.0,-10715000,,-10715000,347386000.0,621249000.0,6671777000,129620138.0,-138391000.0,,,,,,,,
2013-12-31,8599727000,3655000.0,,113117000,1.95,45485000.0,281541000.0,281541000.0,-320948000,,0.0,-48631000.0,94472000.0,112910000.0,1294000.0,-8802000,-99784000,129225745.0,45485000.0,41110000,394169000,142515000,-2503902000.0,-7116000,168631000,254578000,16773620000.0,874000.0,406694000.0,-345254000.0,,,,88209000.0,14269718000.0,247321000,,991000.0,874000.0,1829000.0,245776000,26672000.0,138537000.0,6727542000.0,286398000.0,15328143000,14921449000.0,6145391000.0,1.95,519346000.0,8311000,88209000,102378000,2594709000.0,,-5991000,,13837000,255632000.0,-9676000.0,281541000.0,252212000,,252212000,353866000.0,269374000.0,6728416000,129611467.0,-138392000.0,,,,,,,,
2014-03-31,8607071000,-339000.0,,115603000,1.09,46493000.0,386190000.0,386190000.0,-3832000,,0.0,-47058000.0,94133000.0,281541000.0,1296000.0,-23009000,108696000,129288771.0,46493000.0,12835000,400075000,142424000,-2608172000.0,-7256000,104649000,220317000,17060533000.0,518875000.0,504085000.0,-353029000.0,,0.0,,103420000.0,14452361000.0,248791000,,,0.0,7234000.0,197308000,,142048000.0,6963168000.0,274433000.0,15570239000,15066154000.0,6381798000.0,1.09,518875000.0,9236000,103420000,106367000,,,-6313000,42533000.0,-224364000,258027000.0,3529000.0,386190000.0,141739000,,141739000,353510000.0,260283000.0,6963168000,129629557.0,-138393000.0,,,,,,,,
2014-06-30,8821532000,23476000.0,,120615000,1.21,48942000.0,425741000.0,425741000.0,-170936000,,0.0,-45620000.0,96021000.0,386190000.0,1311000.0,-2795000,-62505000,130065698.0,48942000.0,-30183000,413806000,150830000,-2695462000.0,-5679000,39737000,189394000,17205231000.0,0.0,548664000.0,-347592000.0,,,,172197000.0,14509769000.0,261225000,,2017000.0,0.0,207736000.0,186599000,,142361000.0,6836419000.0,268385000.0,15657951000,15109287000.0,6254874000.0,1.22,516519000.0,10220000,172197000,110395000,,,-2088000,,-87152000,271445000.0,65089000.0,425741000.0,158086000,,158086000,318640000.0,280878000.0,6836419000,130248321.0,-150217000.0,,,,,,,,
2014-09-30,9045282000,2074000.0,,123126000,1.83,49425000.0,440028000.0,440028000.0,-3950000,,0.0,-44074000.0,98095000.0,425741000.0,1320000.0,-13296000,-32452000,131529503.0,49425000.0,6397000,430525000,158270000,-2799679000.0,-7118000,14287000,231718000,17443354000.0,1590000.0,565296000.0,-256162000.0,,,,241001000.0,14643675000.0,270106000,,406000.0,1590000.0,125121000.0,218422000,,149129000.0,6834306000.0,279297000.0,15881178000,15315882000.0,6241768000.0,1.83,530517000.0,11290000,241001000,111836000,,,-1601000,,-184979000,281396000.0,129107000.0,440028000.0,241100000,,241100000,304795000.0,286788000.0,6835896000,131905995.0,-152022000.0,,,,,,,,
2014-12-31,9046405000,3937000.0,,124799000,1.08,49502000.0,509460000.0,509460000.0,-4141000,,0.0,-42515000.0,101946000.0,440028000.0,1320000.0,-13725000,144485000,132119949.0,49502000.0,14524000,440656000,164573000,-2891254000.0,-7070000,69432000,245212000,17784819000.0,907000.0,634702000.0,-267085000.0,9332000.0,,,151862000.0,14893565000.0,278657000,,,907000.0,6043000.0,231487000,,151284000.0,7129411000.0,286139000.0,16176723000,15542021000.0,6525852000.0,1.08,541292000.0,10715000,142530000,114084000,,,-4406000,,-320265000,289372000.0,35276000.0,509460000.0,142642000,,142642000,298315000.0,307966000.0,7130318000,132677639.0,-153011000.0,,,,,,,,
