date,quarterlyDilutedAverageShares,quarterlyCurrentLiabilities,quarterlyCashDividendsPaid,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCashItems,quarterlyCurrentAssets,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDepreciationAndAmortization,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyBasicEPS,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyCostOfRevenue,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyStockholdersEquity,quarterlyInvestmentsAndAdvances,quarterlyChangeInInventory,quarterlyLongTermDebt,quarterlyOtherIncomeExpense,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyInventory,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyNetPPE,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyChangesInAccountReceivables,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentDebt,quarterlyOtherNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyNetOtherFinancingCharges,quarterlySaleOfInvestment,quarterlyOperatingCashFlow,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyDeferredIncomeTax,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyDilutedEPS,quarterlyResearchAndDevelopment,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue
2010-09-30,117328000.0,23655000,0.0,5186000,336000.0,221206000,96407000,43777000.0,34336000.0,0.0,-4611000,67432000,4172000.0,500717000,19484000,279511000,19484000,19484000,0.17,6129000.0,0,10417000.0,,0.0,,4777000.0,433285000,,-3846000.0,,11268000.0,160645000,2237000,27059000.0,23919000.0,11208000,,37379000.0,160645000,185417000,-79250000.0,,0,145599000,279511000,,4975000.0,24459000.0,-4046000.0,,115819000.0,-15832000,825000,,0,,0.0,17925000.0,11221000,7253000.0,358761000.0,,15046000,-5348000,11918000,12711000.0,428000.0,1069000.0,-1586000.0,825000.0,24772000.0,16948000.0,4840000.0,0.17,,,
2010-12-31,,18194000,-4057000.0,6318000,417000.0,232764000,116524000,51192000.0,60791000.0,,14152000,69386000,5652000.0,528383000,20117000,295619000,20117000,20117000,,8408000.0,0,18394000.0,,0.0,,5749000.0,458997000,,1450000.0,,-486000.0,146334000,-49302000,25225000.0,42397000.0,13751000,,42784000.0,146334000,198654000,-84639000.0,,0,160645000,295619000,,8490000.0,28607000.0,,,,-19850000,359000,,0,,0.0,-14062000.0,34002000,3373000.0,380258000.0,,-14311000,-970000,14393000,28646000.0,428000.0,-960000.0,6180000.0,4416000.0,52320000.0,34298000.0,3208000.0,,,,
2011-03-31,118143000.0,24465000,,5135000,444000.0,249973000,117301000,35511000.0,54376000.0,-7989000.0,18869000,59976000,5725000.0,528922000,17857000,278949000,17857000,17857000,0.15,8328000.0,0,21984000.0,,-5530000.0,,4100000.0,468946000,,710000.0,,-995000.0,156032000,-23581000,24284000.0,32392000.0,7147000,,27183000.0,156032000,214239000,-89596000.0,,0,146334000,278949000,,6650000.0,24507000.0,-2562000.0,148000.0,116532000.0,-10506000,3194000,,0,,0.0,,29375000,2699000.0,368545000.0,,9698000,1883000,15484000,25245000.0,448000.0,-3432000.0,-600000.0,3194000.0,58207000.0,30380000.0,2700000.0,0.15,,,
2011-06-30,117996000.0,21200000,,7191000,1017000.0,261938000,132795000,36960000.0,56864000.0,-13486000.0,11919000,58160000,5979000.0,550457000,15494000,288519000,15494000,15494000,0.13,8347000.0,0,22281000.0,,-4195000.0,,4792000.0,492297000,,-558000.0,,-932000.0,149208000,-33075000,25145000.0,34583000.0,9352000,,28613000.0,149208000,219779000,-95865000.0,,0,156032000,288519000,,9050000.0,24544000.0,-4821000.0,149000.0,116843000.0,-15839000,-1632000,,0,,-5834000.0,,27758000,3463000.0,384384000.0,,-6824000,20000,17270000,25231000.0,467000.0,-4302000.0,1100000.0,4202000.0,70571000.0,30672000.0,4525000.0,0.13,,,
2011-09-30,116594000.0,28652000,-3438000.0,18513000,781000.0,279670000,129951000,40093000.0,128481000.0,0.0,-25614000,68745000,14903000.0,577316000,45476000,297646000,45476000,45476000,0.4,8340000.0,0,52159000.0,,0.0,,5663000.0,508571000,,-6080000.0,,10475000.0,160645000,-66166000,31764000.0,76322000.0,24326000,,31753000.0,153551000,222532000,-101935000.0,,0,160682000,297646000,,17722000.0,63198000.0,-10943000.0,336000.0,114874000.0,-81260000,9783000,,0,,0.0,14062000.0,55646000,5313000.0,399581000.0,,-37000,-4559000,14671000,51996000.0,388000.0,-1489000.0,-3378000.0,13221000.0,68981000.0,78437000.0,12319000.0,0.39,,,
2011-12-31,,23512000,-8280000.0,5402000,823000.0,274642000,151245000,42162000.0,71133000.0,5215000.0,1778000,65674000,6880000.0,599224000,21294000,324582000,21294000,21294000,,7154000.0,0,26772000.0,,16191000.0,,6147000.0,533550000,,-1157000.0,,1077000.0,169471000,-14091000,33220000.0,44361000.0,8638000,,35008000.0,169471000,233158000,-110198000.0,,0,153551000,324582000,,15844000.0,37138000.0,-5650000.0,151000.0,,-35497000,-7064000,,0,,0.0,,37275000,6125000.0,434780000.0,,15920000,5007000,17024000,35723000.0,363000.0,-1080000.0,3610000.0,1216000.0,63687000.0,44169000.0,3260000.0,,,,
2012-03-31,120355000.0,31720000,,5498000,189000.0,310181000,168780000,48898000.0,70256000.0,,19868000,80618000,7778000.0,642074000,29470000,331893000,29470000,29470000,0.25,7204000.0,0,26228000.0,,-28000.0,,7124000.0,561456000,,-2490000.0,,1700000.0,212286000,-3495000,36784000.0,44028000.0,6981000,,41694000.0,212286000,263721000,-119101000.0,,0,169471000,331893000,,9992000.0,39462000.0,-6286000.0,133000.0,118940000.0,-16214000,9143000,,0,,0.0,,36082000,0.0,450994000.0,,42815000,-8846000,19390000,37047000.0,395000.0,-1252000.0,6686000.0,9143000.0,51435000.0,47373000.0,2567000.0,0.24,,,
2012-06-30,120676000.0,23276000,-11950000.0,4555000,61000.0,337148000,193449000,50337000.0,80889000.0,-1626000.0,33814000,73613000,12679000.0,666163000,24684000,329015000,24684000,24684000,0.21,6629000.0,0,33059000.0,,-739000.0,,7040000.0,592550000,,-1038000.0,,2475000.0,236198000,-12614000,38165000.0,47830000.0,7383000,8635000.0,43708000.0,236198000,288800000,-132228000.0,,0,212286000,329015000,,14019000.0,38703000.0,-4803000.0,134000.0,119636000.0,-10249000,-6592000,,0,,0.0,0.0,44063000,5045000.0,461243000.0,0.0,23912000,2202000,18001000,40447000.0,230000.0,-1660000.0,2014000.0,5358000.0,52602000.0,51516000.0,1361000.0,0.2,,,
2012-09-30,120915000.0,39897000,0.0,6126000,-190000.0,378457000,207283000,49964000.0,71281000.0,,20806000,89861000,12106000.0,706736000,25895000,328279000,25895000,25895000,0.22,6371000.0,0,31120000.0,,0.0,,7697000.0,616875000,,-5492000.0,,2899000.0,287042000,4288000,46343000.0,40161000.0,6855000,6326000.0,43593000.0,287042000,321884000,-147059000.0,,0,236198000,328279000,0.0,10920000.0,36815000.0,-4915000.0,121000.0,120062000.0,-14095000,9931000,,0,,0.0,18383000.0,34901000,6371000.0,475338000.0,0.0,50844000,-3321000,21267000,33306000.0,197000.0,-1970000.0,-115000.0,9931000.0,34842000.0,49042000.0,2830000.0,0.21,,,
2012-12-31,,40371000,-12073000.0,5634000,-258000.0,418068000,245178000,53013000.0,106946000.0,,52353000,93384000,18115000.0,753856000,37906000,335788000,37906000,37906000,,714000.0,0,46850000.0,,-26000.0,3800000.0,671000.0,660472000,,3365000.0,,-1612000.0,306056000,-41099000,42046000.0,60096000.0,7082000,,38365000.0,306056000,365168000,-165359000.0,,0,287042000,334730000,,14037000.0,51943000.0,,148000.0,,-16818000,-8327000,,1058000,,0.0,,69171000,15497000.0,500089000.0,,19014000,15648000,15820000,53014000.0,0.0,-1064000.0,-5228000.0,3746000.0,59112000.0,70206000.0,876000.0,,,,
2013-03-31,126938000.0,44669000,,7051000,371000.0,540841000,258420000,51839000.0,86272000.0,,19054000,96508000,12935000.0,880365000,25989000,339524000,25989000,25989000,0.21,738000.0,0,36716000.0,,-207000.0,,8320000.0,783857000,,-379000.0,,-3355000.0,373274000,33544000,39657000.0,49556000.0,7839000,-2751000.0,37130000.0,373274000,490108000,-176144000.0,,0,306056000,338309000,,12809000.0,38798000.0,-4845000.0,247000.0,126675000.0,-13903000,167000,,1215000,,0.0,47654000.0,32957000,10388000.0,514453000.0,,67218000,-7450000,21534000,41717000.0,0.0,-2668000.0,-1235000.0,167000.0,116834000.0,51980000.0,-785000.0,0.2,,,
2013-06-30,127634000.0,28362000,-12749000.0,6250000,714000.0,533835000,265459000,49723000.0,78273000.0,,-2076000,78085000,16462000.0,872652000,8828000,338817000,8828000,8828000,0.07,600000.0,0,41107000.0,,-99000.0,,9533000.0,794567000,,-2963000.0,,-10869000.0,466412000,95784000,42144000.0,37166000.0,7634000,-87000.0,34990000.0,466412000,466896000,-192257000.0,,0,373274000,337003000,,10241000.0,19069000.0,-5841000.0,229000.0,127518000.0,-15233000,-14558000,,1814000,,0.0,111116000.0,13157000,5905000.0,529260000.0,-2624000.0,93138000,-20616000,22457000,29532000.0,0.0,0.0,-2140000.0,815000.0,484000.0,35760000.0,1205000.0,0.07,,,
2013-09-30,127752000.0,42923000,0.0,7595000,128000.0,503028000,261938000,46923000.0,63811000.0,-3688000.0,12631000,89846000,15845000.0,907041000,9249000,404013000,9249000,9249000,0.07,569000.0,0,39407000.0,,-4458000.0,,10565000.0,817195000,,-1384000.0,,-498000.0,429970000,-65875000,41907000.0,24404000.0,9700000,3415000.0,32565000.0,429970000,437102000,-206574000.0,,0,466412000,401687000,-44663000.0,5761000.0,15010000.0,-4815000.0,212000.0,127445000.0,-13066000,3901000,,2326000,,0.0,0.0,25697000,3612000.0,608261000.0,0.0,-36442000,-665000,26541000,14704000.0,0.0,-289000.0,-2425000.0,3901000.0,7132000.0,31067000.0,3524000.0,0.07,,,
2013-12-31,,25270000,-12770000.0,3910000,454000.0,478033000,256664000,60811000.0,53831000.0,,-2408000,86081000,11247000.0,898028000,-5274000,419995000,-5274000,-5274000,,690000.0,0,37609000.0,,-385000.0,3458000.0,700000.0,811947000,,1928000.0,,-2976000.0,409663000,-21984000,37972000.0,16222000.0,7192000,1506000.0,38715000.0,409663000,419793000,-216179000.0,,0,429970000,417299000,0.0,11901000.0,6627000.0,-5855000.0,224000.0,,-17495000,-12770000,,2696000,,0.0,-4104000.0,15087000,1783000.0,633478000.0,0.0,-20307000,2349000,20029000,9030000.0,0.0,-1093000.0,6150000.0,0.0,10130000.0,18098000.0,-740000.0,,,,
2014-03-31,127499000.0,36072000,,3300000,-17000.0,477155000,244846000,63358000.0,41511000.0,-2072000.0,-3678000,99430000,11384000.0,898014000,2746000,420859000,2746000,2746000,0.02,702000.0,0,31235000.0,,-1100000.0,,12799000.0,798584000,,-5238000.0,,-1194000.0,400040000,-13280000,44458000.0,10276000.0,4735000,-2680000.0,40915000.0,400040000,411288000,-229499000.0,,0,409663000,417485000,,1974000.0,4720000.0,-2315000.0,346000.0,127483000.0,-10943000,-3233000,,3374000,,0.0,835000.0,7265000,946000.0,646984000.0,-3233000.0,-9623000,-8674000,22390000,5541000.0,0.0,-1593000.0,2200000.0,0.0,11248000.0,16450000.0,-784000.0,0.02,,,
2014-06-30,127359000.0,25910000,-12736000.0,6134000,815000.0,466400000,245579000,63889000.0,43843000.0,,-5063000,89799000,9738000.0,889539000,733000,423139000,733000,733000,0.01,672000.0,0,32309000.0,,0.0,,16668000.0,799740000,,-5817000.0,,119000.0,392470000,-4897000,49712000.0,11534000.0,7599000,6804000.0,41465000.0,392470000,393854000,-225782000.0,,0,400040000,418406000,,3757000.0,4490000.0,-6929000.0,352000.0,127357000.0,-14761000,-12736000,,4733000,,0.0,9864000.0,9698000,0.0,644188000.0,0.0,-7570000,-3514000,25910000,3935000.0,0.0,-1650000.0,550000.0,0.0,1384000.0,14580000.0,1784000.0,0.01,,,
2014-09-30,127357000.0,43735000,0.0,3890000,539000.0,466622000,230605000,63076000.0,38523000.0,-1011000.0,-15368000,106811000,10709000.0,891578000,-2238000,424956000,-2238000,-2238000,-0.02,539000.0,0,34232000.0,,0.0,,15444000.0,784767000,,-5609000.0,,-2519000.0,375167000,-16087000,57324000.0,4291000.0,5872000,11084000.0,41145000.0,375167000,376895000,-234873000.0,,0,392470000,419642000,0.0,-1429000.0,-3667000.0,-14346000.0,350000.0,127357000.0,-15342000,0,,5314000,,0.0,0.0,-26000,0.0,654515000.0,0.0,-17303000,-9930000,30999000,-1581000.0,0.0,-2299000.0,-320000.0,0.0,1728000.0,7392000.0,19000.0,-0.02,,,
2014-12-31,,33389000,-12735000.0,3053000,553000.0,444878000,227238000,62788000.0,46061000.0,-1578000.0,-1220000,96177000,11138000.0,879511000,-3367000,434633000,-3367000,-3367000,,671000.0,0,39879000.0,,50000.0,2813000.0,4802000.0,783334000,,-1093000.0,,-5261000.0,353293000,-22782000,55358000.0,6182000.0,4329000,6407000.0,39815000.0,353293000,360286000,-243574000.0,,0,375167000,428772000,0.0,164000.0,-3203000.0,-3923000.0,345000.0,,-17039000,-12736000,,5861000,,0.0,-4792000.0,15819000,0.0,672346000.0,-1000.0,-21874000,4001000,29577000,1853000.0,225000.0,-841000.0,-1330000.0,0.0,6993000.0,8280000.0,117000.0,,,,
2015-03-31,127357000.0,32241000,,4556000,465000.0,437756000,229453000,63177000.0,44728000.0,,-15059000,95418000,8954000.0,881854000,2215000,444098000,2215000,2215000,0.02,503000.0,0,38390000.0,,0.0,,12402000.0,786436000,,-702000.0,,4696000.0,351441000,-2992000,55115000.0,6338000.0,6289000,-2135000.0,40115000.0,351441000,351603000,,,0,353293000,437459000,,2777000.0,4992000.0,-2552000.0,360000.0,127357000.0,-17499000,0,,6639000,,,7047000.0,2440000,,437459000.0,0.0,-1852000,-4933000,32241000,49000.0,0.0,-510000.0,300000.0,,162000.0,14306000.0,1118000.0,0.02,,,
2015-06-30,264939446.0,241091000,-2818000.0,4987000,-1103000.0,389025000,-1031793000,556198000.0,72139000.0,,-19868000,797289000,26646000.0,1958771000,-379542000,1569746000,-379542000,-379542000,-1.43,1083000.0,164016000,77699000.0,0.0,-504000.0,,14393000.0,1161482000,23075000.0,-2902000.0,309329000.0,-419712000.0,129725000,-41173000,72962000.0,-5560000.0,5645000,19163000.0,232132000.0,129725000,129725000,-568470000.0,-2139000.0,0,91084000,1406442000,,-56717000.0,-436259000.0,-1130000.0,5462000.0,264939446.0,-40669000,78691000,6185000.0,123327000,16902000.0,0.0,0.0,20801000,209000.0,1974912000.0,,38641000,13219000,65270000,-11205000.0,21208000.0,-295000.0,-57083000.0,83280000.0,,-404151000.0,4289000.0,-1.43,,,
2015-09-30,253133000.0,103600000,0.0,7300000,-1300000.0,515400000,-1051200000,639100000.0,103600000.0,-3900000.0,-57400000,742700000,31700000.0,2526200000,-33400000,2010800000,-33400000,-33400000,-0.13,2200000.0,8600000,110000000.0,0.0,0.0,,39400000.0,1783500000,,-1900000.0,312100000.0,-15600000.0,313600000,196400000,132600000.0,-6400000.0,10000000,-9700000.0,290200000.0,313600000,320800000,-593700000.0,-1700000.0,0,129700000,1852000000,,-4700000.0,-38100000.0,-4500000.0,6100000.0,253133000.0,-48800000,-21700000,6000000.0,158800000,,-20000000.0,,-8600000,,2445700000.0,,183900000,-14700000,97600000,-16400000.0,0.0,-3800000.0,-4700000.0,0.0,7200000.0,-300000.0,1200000.0,-0.13,,,
2015-12-31,,99900000,-2600000.0,7700000,20300000.0,483200000,-1114300000,638100000.0,115700000.0,-400000.0,-4700000,738000000,37500000.0,2462200000,-60500000,1979000000,-60500000,-60500000,,1800000.0,8800000,139900000.0,0.0,0.0,4700000.0,44000000.0,1724200000,,800000.0,315000000.0,-33700000.0,282900000,-38900000,126100000.0,-24200000.0,14000000,6400000.0,284100000.0,282900000,289600000,-643100000.0,-2000000.0,0,313600000,1859200000,,-17200000.0,-77700000.0,-9200000.0,6800000.0,,-38500000,-25400000,5300000.0,119800000,,0.0,,33800000,,2502300000.0,,-30700000,-1000000,83400000,-38200000.0,4100000.0,-4400000.0,-17200000.0,3600000.0,6700000.0,-33400000.0,1200000.0,,,,
2016-03-31,263071000.0,112100000,0.0,6400000,4700000.0,480000000,-1107200000,618700000.0,104300000.0,,-9500000,730800000,28400000.0,2490900000,9700000,2010900000,9700000,9700000,0.04,1900000.0,13600000,99500000.0,,-2600000.0,19700000.0,50000000.0,1760100000,,-5900000.0,314000000.0,-700000.0,273800000,-35200000,133300000.0,4800000.0,7100000,-5500000.0,265100000.0,273800000,282600000,-673000000.0,-2400000.0,0,282900000,1893800000,,-18200000.0,-8500000.0,-4100000.0,6000000.0,262397000.0,-33300000,1400000,5300000.0,117100000,,-1200000.0,,23800000,,2566800000.0,,-9100000,-3800000,80800000,-2300000.0,500000.0,-2300000.0,-18200000.0,5000000.0,8800000.0,25900000.0,2500000.0,0.04,,,
2016-06-30,264464000.0,103600000,-2600000.0,10000000,6100000.0,472300000,-1119000000,618500000.0,120100000.0,,-1600000,722100000,31700000.0,2493600000,-11800000,2021300000,-11800000,-11800000,-0.04,1800000.0,13900000,106000000.0,,-600000.0,16800000.0,5200000.0,1771500000,,-3400000.0,311600000.0,-6100000.0,273400000,-39100000,129500000.0,14100000.0,11200000,-1100000.0,267000000.0,273400000,284900000,-700000000.0,-1500000.0,0,273800000,1903500000,0.0,3200000.0,-8600000.0,3900000.0,6000000.0,264464000.0,-38500000,2400000,5300000.0,117800000,,-12200000.0,,36900000,,2603500000.0,,-400000,-3400000,74100000,2900000.0,4400000.0,300000.0,3200000.0,15400000.0,11500000.0,29100000.0,5900000.0,-0.04,,,
2016-09-30,271447000.0,111300000,0.0,4600000,5400000.0,478900000,-1117000000,621200000.0,125600000.0,,-500000,732500000,27800000.0,2512200000,4800000,2033300000,4800000,4800000,0.02,1100000.0,13400000,102200000.0,,-600000.0,21000000.0,6500000.0,1779700000,,-8600000.0,302500000.0,5700000.0,273900000,-37800000,135700000.0,23400000.0,6200000,-1600000.0,279100000.0,273900000,287000000,-730500000.0,-2000000.0,0,273400000,1912400000,0.0,12900000.0,17700000.0,-1200000.0,5600000.0,266969000.0,-37200000,2100000,5100000.0,120900000,,0.0,,36700000,,2642900000.0,,500000,-9400000,74700000,17200000.0,4300000.0,1100000.0,12900000.0,0.0,13100000.0,51100000.0,900000.0,0.02,,,
2016-12-31,,99600000,-2700000.0,5500000,4200000.0,454500000,-1137600000,633200000.0,132200000.0,,800000,732800000,31100000.0,2492200000,-20600000,2037700000,-20600000,-20600000,,1300000.0,11600000,121600000.0,,1000000.0,12900000.0,5900000.0,1759400000,,1800000.0,301300000.0,-5900000.0,252200000,-39400000,131700000.0,10600000.0,7100000,700000.0,291000000.0,252200000,266300000,-759900000.0,-3800000.0,0,273900000,1918200000,0.0,12400000.0,-8200000.0,-4300000.0,6400000.0,,-37500000,-18700000,3600000.0,119500000,,0.0,,38300000,1500000.0,2678100000.0,,-21700000,4300000,75600000,3500000.0,2400000.0,400000.0,12400000.0,0.0,14100000.0,29300000.0,900000.0,,,,
2017-03-31,289450000.0,408000000,,7500000,4200000.0,698800000,-1140500000,334200000.0,121000000.0,,-13500000,742200000,28400000.0,2748500000,100000,2049700000,100000,100000,0.000351,1300000.0,11300000,110100000.0,,0.0,20300000.0,55500000.0,2006300000,,-3100000.0,2900000.0,3900000.0,479200000,-33600000,136800000.0,10900000.0,8700000,-7600000.0,289900000.0,479200000,495200000,-784800000.0,-1400000.0,0,252200000,1934200000,0.0,1800000.0,1900000.0,-3500000.0,5600000.0,284748000.0,-33600000,240000000,301300000.0,115500000,,239100000.0,,20100000,1400000.0,2719000000.0,,227000000,-14100000,76700000,2200000.0,1500000.0,4000000.0,1800000.0,0.0,16000000.0,35900000.0,3800000.0,0.000345,,,
2017-06-30,302762000.0,88200000,-3000000.0,3800000,600000.0,345900000,-1138100000,320600000.0,131300000.0,,-6800000,408800000,27900000.0,2423600000,2400000,2077700000,2400000,2400000,0.01,1200000.0,17900000,109500000.0,,3600000.0,6900000.0,44900000.0,2014800000,,800000.0,2300000.0,-22700000.0,133700000,-54600000,132700000.0,21800000.0,6000000,-300000.0,276400000.0,133700000,150400000,-811000000.0,-328200000.0,0,479200000,1958400000,,-9800000.0,-7400000.0,9000000.0,1000000.0,299189000.0,-58200000,-342900000,2900000.0,119300000,,-12200000.0,,51400000,3900000.0,2769400000.0,,-345500000,6300000,70200000,15800000.0,600000.0,7700000.0,-9800000.0,0.0,16700000.0,21500000.0,200000.0,0.01,,,
2017-09-30,303888000.0,96400000,0.0,4700000,-300000.0,370800000,-1112300000,312800000.0,128800000.0,,5200000,409200000,28200000.0,2462600000,28800000,2091800000,28800000,28800000,0.1,900000.0,24600000,100600000.0,,0.0,9000000.0,2200000.0,2053400000,,-12400000.0,1700000.0,2000000.0,149000000,-38200000,142700000.0,28200000.0,7300000,-900000.0,268800000.0,149000000,167700000,-839000000.0,-1100000.0,0,133700000,1971100000,,-6700000.0,22100000.0,8300000.0,1100000.0,300448000.0,-38200000,9100000,2600000.0,120700000,,-2100000.0,,43400000,4800000.0,2810100000.0,,15300000,-7900000,73500000,20900000.0,300000.0,10500000.0,-6700000.0,11700000.0,18700000.0,51400000.0,1100000.0,0.09,,,
2017-12-31,337178000.0,106700000,-3000000.0,5700000,-200000.0,446700000,-1117000000,525900000.0,161700000.0,,9400000,632600000,41100000.0,3313800000,-4700000,2867100000,-4700000,-4700000,-0.01,1000000.0,14400000,136600000.0,,0.0,4500000.0,3200000.0,2681200000,,-1200000.0,3300000.0,-10100000.0,200800000,7000000,161200000.0,25100000.0,8000000,-3300000.0,477000000.0,200800000,236600000,-875300000.0,-900000.0,0,149000000,2753400000,46200000.0,10300000.0,5600000.0,200000.0,1400000.0,337178000.0,-39200000,-3800000,4200000.0,113700000,,0.0,,48600000,5700000.0,3628700000.0,,51800000,-4100000,87300000,17100000.0,100000.0,13000000.0,10300000.0,0.0,35800000.0,48100000.0,1100000.0,-0.01,,,
2018-03-31,392413000.0,115100000,,6000000,2000000.0,456200000,-1107800000,532500000.0,173100000.0,,7300000,647600000,42100000.0,3327500000,600000,2871300000,600000,600000,0.001541,3600000.0,16600000,144700000.0,,,4200000.0,35600000.0,2679900000,,-1200000.0,,-2000000.0,231800000,-26600000,160800000.0,28400000.0,9900000,-4200000.0,483900000.0,231800000,243200000,-918600000.0,-1200000.0,0,200800000,2758600000,,15000000.0,15600000.0,7400000.0,900000.0,389254000.0,-51500000,-500000,,112700000,,-1200000.0,24900000.0,58800000,15200000.0,3677200000.0,,31000000,-3800000,96000000,18500000.0,100000.0,100000.0,15000000.0,,11400000.0,58600000.0,1600000.0,0.001529,,,
2018-06-30,389602000.0,119400000,-3900000.0,7100000,-900000.0,441200000,-1116700000,543100000.0,168900000.0,,9100000,662500000,42400000.0,3329400000,-8900000,2888200000,-8900000,-8900000,-0.02,2800000.0,12200000,150000000.0,,,,31600000.0,2666900000,,,,-100000.0,235100000,-53400000,153300000.0,18900000.0,9300000,,494400000.0,235100000,244100000,,-1000000.0,0,231800000,2781000000,,17500000.0,8600000.0,,900000.0,389602000.0,-53400000,-4500000,,107200000,,,0.0,62500000,10700000.0,,,3300000,7800000,108700000,9600000.0,,-6400000.0,17500000.0,,9000000.0,51900000.0,2500000.0,-0.02,,,
2018-09-30,394546000.0,128800000,0.0,6100000,400000.0,429300000,-1113400000,533000000.0,146700000.0,,-9900000,661800000,40000000.0,3333400000,7200000,2904100000,7200000,7200000,0.02,2200000.0,17600000,137600000.0,,,,31400000.0,2671600000,,,,1100000.0,224800000,-55100000,149900000.0,9100000.0,8500000,,484500000.0,224800000,230400000,,-1000000.0,0,235100000,2798700000,,-6500000.0,700000.0,,1000000.0,389854000.0,-55100000,-1200000,,105400000,,-800000.0,0.0,45200000,9500000.0,,,-10300000,3600000,115400000,600000.0,,-7400000.0,-6500000.0,0.0,5600000.0,41700000.0,1200000.0,0.02,,,
2018-12-31,390540000.0,124900000,-3900000.0,4800000,7000000.0,380000000,-1184900000,538000000.0,163100000.0,,-14100000,662900000,42100000.0,3265200000,-71500000,2885200000,-71500000,-71500000,-0.18,1600000.0,15500000,207100000.0,,,1600000.0,2300000.0,2602300000,,,,-11800000.0,206000000,-61500000,110200000.0,-44000000.0,7300000,,491500000.0,206000000,213800000,-1033100000.0,-900000.0,0,224800000,2813300000,,8200000.0,-63300000.0,,200000.0,390540000.0,-61500000,-2600000,,71900000,,0.0,0.0,47400000,6200000.0,3846400000.0,,-18800000,-5400000,118700000,-51300000.0,5300000.0,-9200000.0,8200000.0,0.0,7800000.0,-21000000.0,1300000.0,-0.18,,,
2019-03-31,394196000.0,111400000,-3900000.0,8800000,-1400000.0,363400000,-1158200000,537900000.0,156100000.0,,-10900000,649300000,39400000.0,3262500000,16800000,2899100000,16800000,16800000,0.04,3100000.0,18100000,127000000.0,,,,37500000.0,2613200000,,,,2400000.0,180600000,-53300000,117000000.0,29100000.0,10400000,,489100000.0,180600000,190800000,,-1100000.0,0,206000000,2826100000,,3800000.0,20600000.0,,500000.0,389735000.0,-53300000,-15000000,,73000000,,,0.0,42400000,6800000.0,,-10600000.0,-25400000,-19300000,104600000,18700000.0,,-3000000.0,3800000.0,,10200000.0,60500000.0,3300000.0,0.04,,,
2019-06-30,392974000.0,129000000,-3900000.0,7300000,-1300000.0,374800000,-1137600000,533400000.0,168100000.0,,1200000,662400000,41300000.0,3298500000,23600000,2923700000,23600000,23600000,0.06,3100000.0,15000000,131100000.0,,-1100000.0,,36300000.0,2636100000,,,,-400000.0,183200000,-72200000,124500000.0,37000000.0,8800000,,486000000.0,183200000,199000000,,-700000.0,0,180600000,2850500000,,3500000.0,27100000.0,,700000.0,389218000.0,-71100000,2100000,,73200000,,,0.0,72300000,13100000.0,,-800000.0,2600000,2600000,115900000,28200000.0,,-5000000.0,3500000.0,7500000.0,15800000.0,69100000.0,2700000.0,0.06,,,
2019-09-30,394355000.0,123600000,-3900000.0,6200000,600000.0,377500000,-1123800000,550100000.0,172900000.0,,1600000,673700000,40100000.0,3331100000,17700000,2953600000,17700000,17700000,0.05,3100000.0,15800000,127300000.0,,-500000.0,,35400000.0,2657400000,,,,800000.0,185600000,-66800000,123800000.0,45600000.0,8100000,,501400000.0,185600000,202500000,,-800000.0,0,183200000,2880900000,,19700000.0,37400000.0,,900000.0,390593000.0,-66300000,1700000,,72700000,,,0.0,67900000,16500000.0,,0.0,2400000,-11900000,107100000,37500000.0,,-5500000.0,19700000.0,0.0,16900000.0,78400000.0,1700000.0,0.04,,,
