date,quarterlyInvestingCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyEbitda,quarterlySellingGeneralAndAdministration,quarterlyCashDividendsPaid,quarterlyAccountsPayable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlySaleOfInvestment,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentAssets,quarterlyTotalAssets,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,quarterlyChangesInAccountReceivables,quarterlyAccountsReceivable,quarterlyDilutedEPS,quarterlyCurrentAccruedExpenses,quarterlyNetIncomeContinuousOperations,quarterlyCostOfRevenue,quarterlyTotalNonCurrentAssets,quarterlyLongTermDebt,quarterlyDilutedAverageShares,quarterlyGrossProfit,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyBasicAverageShares,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOperatingExpense,quarterlyOtherIncomeExpense,quarterlyCapitalStock,quarterlyNetOtherFinancingCharges,quarterlyOtherIntangibleAssets,quarterlyInterestExpense,quarterlyStockholdersEquity,quarterlyNetIncome,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBeginningCashPosition,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyPurchaseOfBusiness,quarterlyOperatingIncome,quarterlyRepurchaseOfCapitalStock,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyTotalRevenue,quarterlyIncomeTaxPayable,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyOtherCurrentLiabilities,quarterlyPretaxIncome,quarterlyOtherShortTermInvestments,quarterlyBasicEPS,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,quarterlyResearchAndDevelopment,quarterlyInvestmentsAndAdvances,quarterlyInventory,quarterlyNonCurrentDeferredRevenue
2016-09-30,-71255000,127577000,164787000,252726000,77814000,,,2653131000.0,8622000,52179000,-133000.0,-518934000.0,26266000.0,4685051000.0,0,2632178000.0,11429000,229939000.0,0.74,1831000.0,127577000,169665000,4220750000.0,2272111000.0,171785900.0,328416000,48847000,3209621000.0,121092000.0,168874129.0,0.0,,355459000.0,-36339000,305694000.0,129994000,2124000,137000.0,12720000,1069089000.0,28150000,1475430000.0,127577000,164787000.0,6899000.0,168244000.0,196402000,54061000.0,-31615000,85186000,-7856000,-83343000,-37185000,-43405000,198422000,-66170000,464301000.0,556490000.0,,498081000,,10526000,1527000,0.0,0.0,172396000,3457000.0,0.76,355867000.0,2643678000.0,44819000,,,,,,
2016-12-31,-86126000,109248000,135100000,239065000,77192000,,90400000.0,2677200000.0,95000,50509000,-142000.0,-650800000.0,16200000.0,4631200000.0,1120000,2578100000.0,-38308000,216400000.0,,92700000.0,107457000,192992000,4130300000.0,2273100000.0,,313131000,24499000,3298800000.0,125900000.0,,100000000.0,-485300000.0,330800000.0,-57930000,322200000.0,127661000,3086000,100000.0,10076000,1010800000.0,28383000,1332400000.0,109248000,135100000.0,100000000.0,138500000.0,164787000,60500000.0,-29639000,82429000,16533000,-98221000,-25682000,-24495000,185470000,-144267000,500900000.0,621600000.0,865600000.0,506123000,,9292000,1001000,0.0,0.0,160173000,3400000.0,,380300000.0,2752900000.0,52716000,,,,,,
2017-03-31,-107400000,108800000,155000000,245700000,75900000,,162100000.0,2690700000.0,100000,56100000,-100000.0,-616900000.0,28200000.0,4748700000.0,-9800000,2653300000.0,-31000000,298700000.0,0.64,,108800000,182900000,4234900000.0,2274200000.0,170150862.0,319700000,286800000,3363100000.0,160800000.0,166442991.0,-100000000.0,,501600000.0,-31100000,329400000.0,132000000,1900000,100000.0,-500000,1027200000.0,28400000,1385600000.0,108800000,155000000.0,6600000.0,158600000.0,135100000,80300000.0,19900000,317900000,-700000,145300000,-192300000,-76300000,187700000,-99300000,513800000.0,672400000.0,,502600000,2100000.0,6500000,1100000,,0.0,161200000,3600000.0,0.65,377800000.0,2861700000.0,52400000,,,,,,
2017-06-30,-87300000,121000000,140700000,254100000,78800000,,,2695600000.0,200000,55700000,-100000.0,-526400000.0,20800000.0,4898700000.0,-2700000,2733800000.0,37300000,266400000.0,0.72,,121000000,193700000,4375900000.0,2274700000.0,168314296.0,329500000,70500000,3432800000.0,170200000.0,164922237.0,,,449000000.0,-41400000,337500000.0,134500000,3400000,100000.0,-8600000,1052000000.0,28500000,1465900000.0,121000000,140700000.0,120000000.0,144300000.0,155000000,81500000.0,-14300000,111900000,600000,-75300000,-40500000,-46000000,195000000,-166800000,522800000.0,737200000.0,,523200000,,8900000,1000000,,0.0,169900000,3600000.0,0.73,403500000.0,2982700000.0,48900000,,,,,,
2017-09-30,-629200000,120700000,142000000,272300000,80900000,,,2752500000.0,100000,61200000,-5100000.0,-443300000.0,36500000.0,5628200000.0,12500000,3188800000.0,-2300000,285800000.0,0.72,,120700000,198500000,5083500000.0,2275700000.0,167957058.0,350600000,121000000,3955600000.0,183800000.0,164577575.0,,,390000000.0,-41300000,384100000.0,142200000,2600000,100000.0,-1400000,1256200000.0,30300000,1672600000.0,120700000,142000000.0,595000000.0,145700000.0,140700000,89600000.0,1300000,162300000,-4000000,-25900000,467100000,-582900000,208400000,-10100000,544700000.0,1203100000.0,,549100000,,8800000,1000000,,0.0,180700000,3700000.0,0.73,437800000.0,3103400000.0,60000000,,,,,,
2017-12-31,-281600000,204600000,142300000,275700000,87200000,,68900000.0,2757300000.0,0,64400000,5000000.0,-412300000.0,16200000.0,6020300000.0,-48800000,3368700000.0,-49500000,291400000.0,,156500000.0,204600000,208700000,5422700000.0,2276800000.0,,361600000,81700000,4094900000.0,214500000.0,,,-584700000.0,384700000.0,-69700000,337800000.0,151600000,1300000,100000.0,-700000,1345300000.0,32100000,1925400000.0,204600000,142300000.0,715000000.0,146100000.0,142000000,135100000.0,300000,151400000,-69500000,-57600000,128200000,-209700000,210000000,-100000,597600000.0,1337600000.0,1063000000.0,570300000,3100000.0,7600000,1100000,,0.0,179200000,3800000.0,,478300000.0,3308000000.0,-25400000,,,,,,
2018-03-31,-68500000,133000000,149800000,268800000,91800000,,223800000.0,2504500000.0,100000,73700000,-100000.0,-309300000.0,70200000.0,6246900000.0,-3100000,3454200000.0,-74700000,424100000.0,0.79,,133000000,221200000,5538300000.0,2028300000.0,168992535.0,360000000,283800000,4062600000.0,221900000.0,165043047.0,-235000000.0,,586600000.0,-43200000,356500000.0,165500000,600000,100000.0,-500000,1356600000.0,32800000,2184300000.0,133000000,149800000.0,729500000.0,153600000.0,142300000,106900000.0,7500000,327000000,-600000,109600000,-254200000,-22200000,194500000,-36200000,708600000.0,1558100000.0,,581200000,6800000.0,8800000,1000000,,,162300000,3800000.0,0.81,489000000.0,3476900000.0,29300000,,,,,,
2018-06-30,-101500000,153500000,132000000,290500000,93000000,0.0,216400000.0,2499700000.0,100000,73600000,0.0,-474200000.0,58000000.0,6039600000.0,0,3372700000.0,71900000,347800000.0,0.91,,153500000,222400000,5414500000.0,2029200000.0,168651202.0,378900000,151200000,3966000000.0,234700000.0,165015642.0,0.0,,513000000.0,-56100000,349600000.0,166600000,4600000,100000.0,-9200000,1289500000.0,31900000,2073600000.0,153500000,132000000.0,729700000.0,135800000.0,149800000,105900000.0,-17800000,207300000,-500000,-32700000,-122900000,-45500000,212300000,-143200000,625100000.0,1466300000.0,,601300000,,11000000,1100000,,,185000000,3800000.0,0.93,501900000.0,3630400000.0,31500000,,,,,,
2018-09-30,66200000,166000000,147600000,297900000,95700000,0.0,243700000.0,2490700000.0,121400000,72700000,0.0,-509600000.0,46600000.0,5851100000.0,500000,3339000000.0,18500000,324200000.0,0.99,,166000000,219200000,5258300000.0,2030100000.0,168200766.0,379500000,171400000,3709900000.0,130100000.0,164829250.0,-195000000.0,,433200000.0,-55200000,341600000.0,168400000,14100000,100000.0,-1300000,1255300000.0,32400000,2141200000.0,166000000,147600000.0,534800000.0,151600000.0,132000000,104200000.0,15600000,226600000,-7600000,-4700000,-271400000,-500000,211100000,-102800000,593700000.0,1219200000.0,,598700000,0.0,10300000,1000000,,,192800000,4000000.0,1.01,518500000.0,3796400000.0,26800000,,,,,,
2018-12-31,-161600000,146200000,139500000,288200000,97700000,,77200000.0,2505100000.0,300000,76000000,0.0,-591900000.0,50700000.0,5900300000.0,0,3361500000.0,-33100000,299700000.0,,173700000.0,146200000,224000000,5255800000.0,2031000000.0,,389900000,96900000,3829700000.0,99500000.0,,130000000.0,-710600000.0,383100000.0,-76500000,350600000.0,173700000,-4000000,100000.0,-7500000,1227800000.0,32600000,2070600000.0,146200000,139500000.0,665000000.0,139500000.0,147600000,104000000.0,-8100000,173400000,27000000,-87300000,-21300000,-85400000,216200000,-156400000,644500000.0,1324600000.0,1266500000.0,613900000,5200000.0,8400000,1100000,,12600000.0,179600000,,,555900000.0,3942600000.0,33400000,,,,,,
2019-03-31,-120300000,134400000,179500000,281800000,111400000,-40900000.0,236300000.0,3112200000.0,100000,79800000,-100000.0,-532300000.0,51000000.0,6341100000.0,-6000000,3431700000.0,-81600000,438600000.0,0.81,,134400000,231400000,5606200000.0,2425900000.0,166544945.0,393600000,320900000,4170600000.0,116800000.0,163528343.0,-495000000.0,,602100000.0,-45200000,354200000.0,191200000,-400000,100000.0,-5000000,1249000000.0,31900000,2170500000.0,134400000,179500000.0,170000000.0,179500000.0,139500000,84200000.0,40000000,366100000,3300000,137700000,-206400000,-69100000,202400000,-75000000,734900000.0,1058400000.0,797300000.0,625000000,2500000.0,9200000,500000,,37000000.0,170100000,,0.82,797300000.0,4036000000.0,35700000,,,,,,
2019-06-30,-47800000,150400000,153300000,297100000,112300000,-41000000.0,236700000.0,3102500000.0,500000,79300000,0.0,-592200000.0,26600000.0,6234000000.0,-1400000,3400700000.0,-8100000,442600000.0,0.9,,150400000,242700000,5523700000.0,2426700000.0,166697276.0,409900000,153400000,4023300000.0,120900000.0,163743835.0,-100000000.0,,559900000.0,-46900000,351000000.0,191600000,-500000,100000.0,-9500000,1193900000.0,30500000,2210700000.0,150400000,153300000.0,70000000.0,153300000.0,179500000,83700000.0,-26200000,200300000,-3300000,-47400000,-179800000,0,218300000,-50000000,710300000.0,920800000.0,797100000.0,652600000,4200000.0,18400000,1000000,,,187300000,,0.92,797100000.0,4145300000.0,36900000,,,,,,
2019-09-30,-106400000,32900000,311800000,149300000,255000000,-40800000.0,362800000.0,3251800000.0,0,79100000,,-678400000.0,18500000.0,6289100000.0,-800000,3367000000.0,35200000,405500000.0,0.2,,32900000,242900000,5458100000.0,2647600000.0,166779618.0,409800000,152900000,4225400000.0,130600000.0,163580563.0,-60000000.0,,460400000.0,-60700000,322200000.0,334100000,-5500000,100000.0,-8100000,1141200000.0,31300000,2063700000.0,32900000,311800000.0,10000000.0,311800000.0,153300000,48900000.0,158500000,213600000,-27400000,110700000,51400000,-44900000,75700000,-75000000,831000000.0,973600000.0,808600000.0,652700000,4800000.0,8800000,1600000,,81300000.0,38900000,,0.2,808600000.0,4136600000.0,6000000,,,,,,
