date,quarterlyChangeInAccountPayable,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyGrossProfit,quarterlyNonCurrentDeferredRevenue,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,quarterlyBasicEPS,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyIncomeTaxPayable,quarterlyBasicAverageShares,quarterlyChangeInInventory,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPretaxIncome,quarterlyStockholdersEquity,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyPurchaseOfBusiness,quarterlyGoodwill,quarterlyCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,quarterlyDilutedAverageShares,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyResearchAndDevelopment,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyTaxProvision,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyNetPPE,quarterlyDilutedEPS,quarterlyOtherIncomeExpense,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyOperatingExpense,quarterlyChangeInCashSupplementalAsReported,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyFreeCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlySaleOfInvestment,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyTotalNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyChangesInAccountReceivables,quarterlyInvestmentsAndAdvances,quarterlyOtherShortTermInvestments
2006-09-30,,-117000.0,12020000.0,38978000,68703000,,18143000.0,256808000,232911000,,428164000.0,26426000,,,8699000.0,1746000.0,,-6936000.0,33103000,83718000,-12049000,-3099000,481726000.0,135817000,26622000,478689000,381234000,22465000,0,,132084000.0,120991000,5777000,,-303988000.0,71190000,,440000.0,9579000,-9244000,876000.0,18089000.0,37471000,-12052000,17089000,17089000,9533000,6248000.0,149172000,124176000,,629000,,58379000,0.0,42277000,16780000,164208000,117254000.0,66877000.0,66938000,106000.0,25419000,17089000,735497000,83718000,,83718000,15136000,,1188000,354263000,71737000,6677000.0,,,
2006-12-31,,2061000.0,-13600000.0,41183000,68504000,,21298000.0,266809000,226248000,0.26,450179000.0,26444000,,68224000.0,-10799000.0,-803000.0,,-1859000.0,34693000,43383000,-39882000,-3415000,496198000.0,128388000,26652000,497969000,370959000,26380000,0,,157037000.0,138421000,12544000,,-309623000.0,70254000,70078000.0,1926000.0,9918000,-15096000,559000.0,13954000.0,13754000,-5423000,17887000,17887000,8765000,9059000.0,171641000,140556000,0.255,777000,,49075000,2976000.0,42060000,-40335000,157744000,119925000.0,71160000.0,83718000,106000.0,8331000,17887000,764778000,43383000,,43383000,23102000,,1192000,393819000,70093000,8249000.0,,,
2007-03-31,,220000.0,-22375000.0,52361000,80126000,,19753000.0,269033000,256298000,0.295,465422000.0,31403000,,68504000.0,-14196000.0,-819000.0,,-5010000.0,40592000,38276000,-7661000,-3777000,512684000.0,127646000,31410000,517805000,403102000,30593000,0,,133160000.0,141387000,16684000,,-316910000.0,70441000,70362000.0,1743000.0,6624000,-5212000,4599000.0,15946000.0,6510000,-7635000,20262000,20262000,11148000,9566000.0,186428000,148512000,0.29,703000,,47639000,0.0,48723000,-5107000,176172000,137034000.0,67614000.0,43383000,106000.0,-1125000,20262000,786838000,38276000,,38276000,21412000,,1133000,383736000,80987000,9189000.0,,,
2007-06-30,,2966000.0,4550000.0,45796000,82971000,,22994000.0,261313000,269026000,0.35,474695000.0,36669000,,68714000.0,-1873000.0,-4105000.0,,-1019000.0,45778000,68472000,-9570000,-3777000,532880000.0,128115000,37140000,547950000,426220000,27345000,0,,133347000.0,133198000,8591000,,-324095000.0,70693000,70676000.0,5115000.0,6701000,1712000,3454000.0,17011000.0,36442000,-9609000,23974000,23974000,13166000,10908000.0,188185000,150600000,0.34,1124000,,46514000,0.0,46302000,30196000,186055000,134914000.0,67147000.0,38276000,106000.0,26833000,23974000,809263000,68472000,,68472000,20255000,,1156000,383043000,79074000,9109000.0,,,
2007-09-30,,7226000.0,11635000.0,57668000,81915000,,27762000.0,285336000,290765000,,488083000.0,34920000,,,18276000.0,36000.0,,-43064000.0,41297000,71635000,-9935000,-3778000,565136000.0,122342000,36786000,544431000,438605000,26972000,0,,141215000.0,162994000,8429000,,-329085000.0,57404000,,1004000.0,6681000,-47900000,-756000.0,18383000.0,61012000,-9317000,36034000,36034000,752000,19788000.0,172500000,158998000,,871000,,45150000,0.0,46995000,3163000,208850000,152826000.0,83890000.0,68472000,106000.0,51695000,36034000,829767000,71635000,,71635000,21436000,,1046000,391162000,73018000,6377000.0,,,
2007-12-31,,646000.0,-25033000.0,53601000,81233000,,30922000.0,254309000,272063000,0.375,493943000.0,37732000,,67884000.0,-17947000.0,-3829000.0,,-4777000.0,47029000,61142000,-6305000,-3726000,579033000.0,119052000,38488000,567514000,432722000,25980000,0,,141391000.0,135257000,8601000,,-334906000.0,63992000,70038000.0,5258000.0,7148000,-11000000,4160000.0,15626000.0,6373000,-6572000,25325000,25325000,13163000,20696000.0,191638000,159037000,0.36,1132000,,34364000,0.0,43501000,-10493000,190830000,140669000.0,61200000.0,71635000,106000.0,-199000,25325000,821823000,61142000,,61142000,20456000,,956000,389101000,71331000,9297000.0,,,
2008-03-31,,3113000.0,-19819000.0,60944000,95376000,,41910000.0,289727000,305753000,0.44,505802000.0,43218000,,67603000.0,-14655000.0,-560000.0,,-33924000.0,52222000,60242000,-9498000,-4067000,604680000.0,126494000,43648000,574103000,468639000,31667000,0,,142884000.0,163233000,12120000,,-341477000.0,66274000,69473000.0,1700000.0,9081000,-15934000,1699000.0,18781000.0,22818000,-9365000,29714000,29714000,13934000,26087000.0,210369000,164325000,0.43,996000,,34133000,0.0,52158000,-900000,210377000,162140000.0,62627000.0,61142000,106000.0,13453000,29714000,863830000,60242000,,60242000,39662000,,986000,395191000,70273000,9004000.0,,,
2008-06-30,,4139000.0,12150000.0,61340000,97892000,,40557000.0,281161000,329847000,0.48,511985000.0,48810000,,67245000.0,-5364000.0,-1479000.0,,0.0,57684000,80976000,-7851000,-4036000,633058000.0,129766000,49096000,606672000,493647000,28434000,0,,142843000.0,151395000,7569000,,-346854000.0,66797000,69183000.0,2185000.0,12908000,-26991000,1790000.0,18994000.0,56160000,-8580000,32414000,32414000,16682000,28961000.0,214983000,165131000,0.47,843000,,34008000,0.0,49082000,20734000,231955000,166571000.0,77288000.0,60242000,106000.0,47580000,32414000,887833000,80976000,,80976000,12767000,,1027000,394186000,68589000,8874000.0,,,
2008-09-30,,3062000.0,-900000.0,65427000,100707000,,25602000.0,297389000,350541000,,504300000.0,49805000,,,1305000.0,-4695000.0,,-1100000.0,58080000,109833000,-12255000,-4043000,663442000.0,128545000,50678000,629628000,538055000,29318000,0,,139577000.0,168844000,16649000,,-335649000.0,67695000,,5908000.0,8420000,5021000,1791000.0,20013000.0,40003000,-12999000,34427000,34427000,16251000,27513000.0,208317000,168651000,,1088000,,33337000,2235000.0,50902000,28857000,249834000,178128000.0,85591000.0,80976000,106000.0,27004000,34427000,927017000,109833000,,109833000,15591000,,865000,388962000,66106000,8275000.0,,,
2008-12-31,,3670000.0,-41011000.0,64017000,100458000,,19036000.0,776069000,344744000,0.4,526479000.0,44086000,,67726000.0,-13332000.0,1798000.0,,,58091000,97520000,-377364000,-4068000,686438000.0,581832000,38119000,648367000,657697000,32460000,0,,325726000.0,194237000,21710000,,-336875000.0,70166000,69166000.0,-2856000.0,13535000,360597000,760000.0,19084000.0,5470000,-8505000,27064000,27064000,11055000,96576000.0,296422000,189604000,0.39,-92000,,415090000,1076000.0,56372000,-12313000,244286000,195227000.0,110097000.0,109833000,106000.0,-3035000,27064000,1424436000,97520000,,97520000,19047000,,6537000,766739000,232748000,14005000.0,,,
2009-03-31,,3140000.0,8491000.0,71724000,99122000,,2468000.0,786285000,334661000,0.27,520408000.0,46178000,5735000.0,67754000.0,333000.0,1208000.0,,,45867000,126873000,-6867000,-4068000,700844000.0,573968000,24807000,653422000,688323000,29093000,0,,325424000.0,212317000,21315000,,-339797000.0,67097000,68762000.0,-1322000.0,13378000,-7514000,128000.0,18796000.0,46356000,-6849000,18474000,18474000,6333000,93921000.0,290625000,180611000,0.27,-14885000,,412950000,0.0,52944000,29353000,235539000,204774000.0,115949000.0,97520000,106000.0,39507000,18474000,1439707000,126873000,,126873000,18909000,,6707000,751384000,227682000,14353000.0,,,
2009-06-30,,9967000.0,9325000.0,82154000,99099000,,16183000.0,1067809000,386193000,0.37,559172000.0,26693000,0.0,67805000.0,35344000.0,1206000.0,1191000.0,,55287000,67556000,-379190000,-4073000,721768000.0,782501000,26693000,690079000,701991000,33182000,0,-380779000.0,469566000.0,285308000,20675000,-104878000.0,-344651000.0,80678000,68950000.0,3148000.0,15534000,255248000,758000.0,20676000.0,63332000,-2561000,24997000,24997000,1696000,94845000.0,340631000,214521000,0.36,605000,,606978000,0.0,72406000,-59317000,287094000,233650000.0,117228000.0,126873000,106000.0,60771000,24997000,1757888000,67556000,,67556000,85926000,,10886000,1055897000,350985000,17708000.0,6744000.0,,
2009-09-30,,456000.0,63461000.0,81108000,102351000,,9908000.0,987184000,364527000,,542877000.0,31662000,8084000.0,,30241000.0,-1171000.0,1163000.0,,60174000,100863000,49291000,-4080000,741505000.0,725106000,32793000,709238000,696244000,33947000,0,24000.0,442802000.0,262078000,21701000,-126256000.0,-333992000.0,112287000,,2417000.0,12518000,-120391000,2985000.0,19980000.0,103494000,-11032000,23817000,23817000,8976000,86048000.0,302339000,208885000,,-787000,,526771000,0.0,70689000,33307000,262176000,209626000.0,127317000.0,67556000,106000.0,92462000,23817000,1696422000,100863000,,100863000,45569000,,9499000,1000178000,327773000,17882000.0,21640000.0,,
2009-12-31,,9014000.0,8396000.0,75354000,99756000,,7556000.0,885787000,339308000,0.33,541962000.0,39631000,7400000.0,68361000.0,6196000.0,2323000.0,2540000.0,,58677000,76620000,-33914000,-4102000,759759000.0,687488000,31490000,728778000,626206000,32835000,0,-25000000.0,442973000.0,198299000,24284000,-78199000.0,-337073000.0,105649000,69710000.0,288000.0,14204000,-50594000,809000.0,18314000.0,61269000,-8980000,22446000,22356000,9044000,85684000.0,295179000,204889000,0.32,8141000,,496155000,0.0,60125000,-24243000,239552000,178382000.0,86996000.0,100863000,106000.0,52289000,22356000,1616753000,76620000,,76620000,28549000,,8251000,990547000,318498000,18936000.0,30820000.0,,
2010-03-31,,-1486000.0,21901000.0,91446000,105036000,,,854881000,349352000,0.35,536113000.0,43022000,6055000.0,68436000.0,2134000.0,1160000.0,1343000.0,,62200000,72560000,-4316000,-4105000,779722000.0,634908000,35818000,741120000,633859000,34130000,660000,0.0,437928000.0,219973000,22612000,-63085000.0,-339214000.0,106641000,69876000.0,253000.0,13082000,-63986000,846000.0,19698000.0,64712000,-5156000,24176000,24068000,11642000,83130000.0,291600000,196899000,0.34,7204000,,445137000,0.0,62014000,-4060000,244316000,195837000.0,103950000.0,76620000,106000.0,59556000,24068000,1598338000,72560000,,72560000,18522000,,7324000,964479000,309322000,19058000.0,-20303000.0,,
2010-06-30,,-2393000.0,-12449000.0,93622000,106401000,,-17073000.0,828556000,356367000,0.46,532620000.0,44904000,4847000.0,68489000.0,-1983000.0,300000.0,1303000.0,,63462000,78708000,-4676000,-4764000,807358000.0,617428000,38052000,749032000,634088000,31394000,-392000,0.0,436144000.0,211128000,22245000,-48861000.0,-345123000.0,101186000,69987000.0,-7073000.0,12467000,-23089000,1054000.0,21419000.0,35628000,-4698000,31865000,31745000,6187000,81068000.0,289655000,187497000,0.45,6852000,,435174000,0.0,61497000,6148000,249966000,195453000.0,94171000.0,72560000,106000.0,30930000,31745000,1577588000,78708000,,78708000,18488000,,6949000,943500000,300133000,18461000.0,-3175000.0,,
2010-09-30,,11223000.0,-38134000.0,107468000,124321000,,6342000.0,860039000,412003000,,564136000.0,54403000,5453000.0,,-451000.0,-1930000.0,1500000.0,-2130000.0,75537000,105579000,-9226000,-4114000,835919000.0,597474000,49515000,803194000,719142000,37521000,44000,0.0,438594000.0,262565000,18157000,-22255000.0,-370612000.0,83975000,,3527000.0,11201000,8684000,-710000.0,23129000.0,22963000,-9270000,32675000,32675000,16840000,88249000.0,295034000,193524000,,-20406000,,425250000,0.0,69918000,26871000,287682000,248513000.0,109052000.0,78708000,106000.0,13693000,32675000,1663233000,105579000,,105579000,40592000,,6861000,944091000,292149000,19161000.0,-48030000.0,,
2010-12-31,,3133000.0,-37397000.0,94054000,103898000,,4109000.0,791902000,365075000,0.33,569043000.0,38951000,5845000.0,68811000.0,-31514000.0,22399000.0,2304000.0,-6837000.0,56873000,61308000,-10211000,-4136000,854182000.0,587190000,31475000,818031000,679853000,32666000,2000,0.0,438099000.0,204712000,23966000,-58864000.0,-377243000.0,21501000,70181000.0,2230000.0,10349000,-39819000,1095000.0,23738000.0,7177000,-10213000,22399000,22399000,9076000,88052000.0,325964000,191800000,0.32,-1098000,6691000.0,412656000,0.0,64947000,-44271000,261177000,222241000.0,71285000.0,105579000,106000.0,-3036000,22399000,1609933000,61308000,,61308000,18473000,,6501000,930080000,283504000,18897000.0,24256000.0,,
2011-03-31,,557000.0,-40008000.0,104507000,126346000,,13949000.0,823629000,418866000,0.47,584115000.0,52701000,6991000.0,68752000.0,-28369000.0,1803000.0,1809000.0,0.0,71298000,60819000,-9893000,-4812000,881460000.0,587315000,46487000,857187000,748754000,38445000,18000,0.0,439554000.0,236314000,24933000,-1983000.0,-388982000.0,87105000,70107000.0,6000.0,15742000,-5062000,213000.0,27050000.0,12999000,-9911000,32090000,32090000,14397000,89530000.0,357780000,195133000,0.46,6214000,12280000.0,410680000,0.0,73645000,-489000,292520000,256379000.0,87960000.0,61308000,106000.0,3088000,32090000,1680816000,60819000,,60819000,19040000,,6299000,932062000,275332000,18512000.0,-31968000.0,,
2011-06-30,,-4701000.0,-26018000.0,100769000,134026000,,21433000.0,864202000,438467000,0.52,602038000.0,57099000,5501000.0,68793000.0,-17506000.0,912000.0,1257000.0,0.0,77106000,72598000,-51450000,-4816000,912700000.0,588170000,50855000,898298000,799599000,38470000,10000,-47161000.0,465832000.0,276032000,26381000,-58811000.0,-401996000.0,91053000,70166000.0,345000.0,15820000,35379000,770000.0,29273000.0,26624000,-12516000,36056000,36056000,14799000,88367000.0,387768000,200042000,0.51,6244000,7242000.0,408750000,0.0,76927000,11779000,304441000,265420000.0,100528000.0,60819000,106000.0,14108000,36056000,1762500000,72598000,,72598000,60036000,,6361000,962901000,279228000,19890000.0,-4210000.0,,
2011-09-30,,-9310000.0,16834000.0,123453000,149279000,,3626000.0,862337000,489294000,0.61,613438000.0,64779000,5440000.0,68830000.0,746000.0,243000.0,1220000.0,0.0,83082000,74539000,-15586000,-4817000,949573000.0,581480000,58750000,919097000,817793000,39322000,29000,0.0,462282000.0,280857000,23359000,-81500000.0,-406713000.0,88694000,70062000.0,977000.0,15271000,-46477000,404000.0,35572000.0,67823000,-15615000,41690000,41690000,17060000,85911000.0,381555000,206725000,0.6,6029000,8160000.0,406875000,0.0,84500000,1941000,340015000,297614000.0,120259000.0,72598000,106000.0,52208000,41690000,1781434000,74539000,0.0,74539000,18374000,,6238000,963641000,268897000,18094000.0,-37471000.0,,
2011-12-31,,917000.0,-47441000.0,106418000,123486000,,-3751000.0,798163000,407896000,0.41,621383000.0,46358000,7828000.0,68919000.0,-29436000.0,28416000.0,3647000.0,-4663000.0,64911000,50380000,-17194000,-4823000,973166000.0,578713000,40176000,938200000,782960000,38570000,60000,,460945000.0,219450000,28430000,-77447000.0,-414077000.0,87390000,70393000.0,1691000.0,14566000,-8210000,2211000.0,30794000.0,2328000,-17254000,28416000,28416000,11760000,86323000.0,408479000,207306000,0.4,6182000,5151000.0,405000000,0.0,77128000,-24159000,284410000,251995000.0,70593000.0,74539000,106000.0,-14926000,28416000,1736363000,50380000,,50380000,17651000,,6308000,953403000,260097000,18427000.0,43739000.0,,
2012-03-31,,-2608000.0,-43671000.0,118815000,146301000,,6602000.0,828330000,468793000,0.56,635734000.0,60506000,3251000.0,69077000.0,-5785000.0,38752000.0,1644000.0,-9649000.0,78397000,56329000,-13114000,-5520000,1006398000.0,572460000,54038000,988010000,862957000,40788000,-60000,,462659000.0,255870000,34726000,-46003000.0,-421237000.0,88961000,70624000.0,-196000.0,15942000,8093000,2907000.0,37445000.0,9898000,-13269000,38751000,38751000,15287000,80374000.0,416622000,214497000,0.55,6468000,5870000.0,403125000,0.0,85795000,5949000,322492000,308395000.0,79654000.0,50380000,106000.0,-3371000,38751000,1816340000,56329000,,56329000,40103000,,6552000,953383000,252370000,17807000.0,-54991000.0,,
2012-06-30,,1782000.0,2385000.0,120893000,130790000,,-8093000.0,813578000,460241000,0.41,637650000.0,44054000,3394000.0,68922000.0,-11697000.0,28302000.0,1389000.0,-17569000.0,61955000,39903000,-13685000,-5512000,1029188000.0,577386000,37708000,980659000,852239000,39627000,231000,,460509000.0,236192000,40689000,-73179000.0,-423504000.0,90589000,70319000.0,98000.0,15750000,-51772000,636000.0,38958000.0,51427000,-13701000,28302000,28302000,9406000,85547000.0,423994000,214146000,0.4,6346000,7881000.0,401250000,0.0,86736000,-16426000,329451000,300661000.0,39444000.0,56329000,106000.0,37726000,28302000,1794237000,39903000,,39903000,12549000,,6611000,941998000,243493000,17636000.0,3249000.0,,
2012-09-30,,-3821000.0,21536000.0,124914000,161707000,,-11723000.0,851849000,528697000,,665491000.0,70770000,14141000.0,,28216000.0,-95296000.0,1948000.0,-12229000.0,87164000,61829000,-20624000,-5496000,1069811000.0,571981000,65885000,1008115000,903477000,45528000,52000,0.0,461374000.0,279868000,41271000,-24327000.0,-599484000.0,14041000,,212000.0,15916000,-38572000,532000.0,36077000.0,80460000,-20676000,46119000,46119000,19766000,78163000.0,398229000,66007000,,-17416000,7232000.0,384375000,0.0,90937000,21926000,366990000,354386000.0,49001000.0,39903000,106000.0,59784000,46119000,1859964000,61829000,0.0,61829000,7829000,,6532000,956487000,404061000,14747000.0,-51058000.0,,
2012-12-31,-63756000.0,-2058000.0,-4669000.0,112183000,118766000,,-6397000.0,1009187000,408339000,0.4,706582000.0,44663000,16863000.0,68461000.0,-15543000.0,1350000.0,3438000.0,0.0,62934000,69456000,-228743000,-5474000,1091705000.0,641603000,38537000,1039630000,897987000,36418000,11000,-198860000.0,544393000.0,367584000,35702000,-17204000.0,-441085000.0,36963000,69713000.0,2088000.0,25130000,195286000,876000.0,30018000.0,39974000,-29894000,27368000,27368000,11169000,76217000.0,445672000,265497000,0.39,262000,10863000.0,450000000,42638000.0,74103000,7627000,289573000,307377000.0,76100000.0,61829000,106000.0,10080000,27368000,2048817000,69456000,,69456000,140000000,,6456000,1150830000,307143000,17941000.0,71423000.0,,
2013-03-31,47047000.0,-1354000.0,-7476000.0,143500000,137413000,,-16003000.0,1036385000,485513000,0.62,704218000.0,56394000,13707000.0,68737000.0,-9083000.0,-368000.0,1941000.0,-17144000.0,77304000,54658000,-16981000,-5492000,1128659000.0,658014000,50336000,1068181000,935902000,37206000,309000,0.0,547987000.0,378371000,38647000,-60000000.0,-433305000.0,55011000,69935000.0,2309000.0,43846000,-49598000,5657000.0,34000000.0,53013000,-17290000,42446000,42446000,7890000,76173000.0,451730000,270913000,0.61,890000,7848000.0,450000000,18932000.0,81019000,-14798000,348100000,351374000.0,76890000.0,69456000,106000.0,35723000,42446000,2104566000,54658000,,54658000,105086000,,7017000,1168664000,297215000,19951000.0,-45714000.0,,
2013-06-30,389000.0,3376000.0,-7149000.0,141402000,134277000,,-13822000.0,1058148000,483759000,0.35,726225000.0,42274000,6433000.0,68323000.0,4462000.0,42000.0,1976000.0,-28610000.0,60548000,60972000,-31297000,-5455000,1146867000.0,657950000,35497000,1063200000,941453000,46747000,34000,0.0,548725000.0,400198000,37612000,-27000000.0,-435483000.0,50937000,69430000.0,358000.0,43919000,-2801000,906000.0,35487000.0,40030000,-31331000,23663000,23663000,11834000,81666000.0,447712000,290742000,0.34,-122000,6187000.0,450000000,18479000.0,92003000,6314000,349482000,356038000.0,79621000.0,54658000,106000.0,8699000,23663000,2121348000,60972000,,60972000,135144000,,6723000,1179895000,287513000,18328000.0,-1125000.0,,
2013-09-30,32382000.0,8384000.0,9032000.0,145307000,169249000,,15115000.0,1063139000,558365000,,794749000.0,81048000,7848000.0,,18679000.0,43000.0,2059000.0,0.0,99721000,48556000,-63021000,-5445000,1193887000.0,650043000,75201000,1142545000,957113000,47726000,64000,0.0,551624000.0,413096000,38650000,-117155000.0,-444701000.0,55554000,,-745000.0,47198000,-40414000,931000.0,30745000.0,89575000,-63085000,52465000,52465000,22736000,104533000.0,431744000,350048000,,592000,6304000.0,450000000,23977000.0,88201000,-12416000,389116000,389937000.0,120080000.0,60972000,106000.0,26490000,52465000,2205684000,48556000,,48556000,100000000,,6507000,1248571000,285775000,18013000.0,-34358000.0,,
2013-12-31,-53274000.0,-413000.0,-1263000.0,133906000,113576000,,20087000.0,1070041000,429042000,0.35,832474000.0,38340000,9053000.0,67724000.0,-20645000.0,3614000.0,3894000.0,-43616000.0,58122000,54590000,-37109000,-5448000,1211822000.0,797573000,32944000,1130132000,910277000,37328000,40000,0.0,562516000.0,272468000,41886000,-371094000.0,-456885000.0,69141000,69021000.0,-1017000.0,55788000,-1959000,4122000.0,29424000.0,44433000,-37149000,23383000,23383000,9561000,105178000.0,453408000,375589000,0.34,607000,6047000.0,584000000,23827000.0,75236000,6034000,315466000,315297000.0,78648000.0,48556000,106000.0,7284000,23383000,2200173000,54590000,,54590000,10000000,,6062000,1289896000,280529000,19116000.0,73226000.0,,
2014-03-31,29390000.0,-1893000.0,16845000.0,154372000,142439000,,19751000.0,1108642000,482467000,0.67,868590000.0,62694000,13726000.0,66633000.0,-7053000.0,553000.0,2436000.0,-56039000.0,82660000,56665000,-31297000,-5306000,1251314000.0,790731000,56756000,1129798000,929251000,35283000,114000,0.0,562617000.0,317911000,43514000,-79975000.0,-467540000.0,62895000,67905000.0,1883000.0,56211000,-46435000,2025000.0,35805000.0,80211000,-31411000,44798000,44798000,11958000,105427000.0,458733000,401050000,0.66,190000,5930000.0,584000000,23622000.0,79745000,2075000,340028000,271440000.0,87013000.0,54590000,106000.0,48800000,44798000,2238440000,56665000,,56665000,21000000,,6185000,1309189000,271887000,19719000.0,-13818000.0,,
2014-06-30,17450000.0,-3443000.0,-4095000.0,179420000,151713000,,19991000.0,1189076000,524284000,0.7,912048000.0,67898000,14107000.0,65845000.0,-11162000.0,1934000.0,2409000.0,-41833000.0,87285000,95842000,-35866000,-5267000,1292048000.0,864497000,62468000,1133997000,986199000,40468000,104000,0.0,562691000.0,324579000,47971000,-40000000.0,-475574000.0,59179000,67147000.0,475000.0,57009000,15608000,2233000.0,34990000.0,59246000,-35970000,46001000,46001000,16467000,102909000.0,469036000,436474000,0.69,469000,4879000.0,665000000,14607000.0,83815000,39177000,372571000,279579000.0,101574000.0,56665000,106000.0,23276000,46001000,2323073000,95842000,,95842000,0,,5972000,1336874000,263490000,18845000.0,-2257000.0,,
2014-09-30,30502000.0,-955000.0,16749000.0,160683000,167673000,,-3533000.0,1236258000,565447000,0.79,977960000.0,79545000,6130000.0,65528000.0,11072000.0,1389000.0,2502000.0,0.0,99334000,115287000,-101557000,-5242000,1338468000.0,896242000,75076000,1160944000,1008644000,42260000,1019000,0.0,559724000.0,340016000,47207000,-30000000.0,-464681000.0,43953000,66979000.0,1113000.0,54491000,42263000,1392000.0,37786000.0,84193000,-102576000,51662000,51662000,23414000,85031000.0,451944000,513279000,0.77,34000,6108000.0,710000000,16432000.0,88128000,19445000,397774000,291584000.0,139348000.0,95842000,106000.0,-18383000,51662000,2397202000,115287000,,115287000,0,,4585000,1388558000,254772000,19673000.0,-26271000.0,,
2014-12-31,-56248000.0,3676000.0,-32429000.0,176580000,143886000,,-15133000.0,1192207000,487646000,0.67,1031365000.0,62439000,10225000.0,65322000.0,-22110000.0,4287000.0,4809000.0,-32118000.0,81594000,58462000,-46531000,-5250000,1377002000.0,888518000,57072000,1162452000,920430000,39843000,90000,,557959000.0,303689000,43538000,-115000000.0,-465092000.0,42111000,66739000.0,522000.0,56571000,-45455000,1391000.0,34029000.0,37856000,-46621000,43784000,43784000,13288000,88754000.0,467700000,566273000,0.66,455000,9276000.0,700000000,11880000.0,81447000,-56825000,343760000,248436000.0,83987000.0,115287000,106000.0,-8765000,43784000,2354659000,58462000,,58462000,0,,5949000,1434229000,246859000,18573000.0,43891000.0,,
2015-03-31,62479000.0,-48000.0,19968000.0,237915000,137620000,,-36268000.0,1269059000,493222000,0.67,1093006000.0,61615000,9583000.0,65159000.0,-13975000.0,2867000.0,3081000.0,0.0,81596000,80761000,-60526000,-6502000,1414355000.0,896770000,57591000,1195589000,973073000,38450000,2255000,,556500000.0,372289000,43822000,-137000000.0,-460368000.0,36952000,66540000.0,214000.0,56346000,7781000,1069000.0,30328000.0,84684000,-62781000,43855000,43855000,13736000,89423000.0,475957000,632638000,0.66,1084000,9454000.0,713000000,9633000.0,76005000,22299000,355602000,280905000.0,93426000.0,58462000,106000.0,21903000,43855000,2464648000,80761000,,80761000,0,,5329000,1491575000,239515000,18676000.0,-17474000.0,,
2015-06-30,-48099000.0,-2005000.0,-15212000.0,188280000,143389000,,-29302000.0,1384465000,494810000,0.68,1159029000.0,63305000,8483000.0,64781000.0,-8545000.0,-238000.0,3196000.0,-125000000.0,82141000,87384000,-81322000,-6533000,1451575000.0,1069768000,57559000,1127271000,969374000,39305000,141000,,558439000.0,314697000,47003000,-449610000.0,-470693000.0,38395000,66227000.0,1075000.0,52664000,40378000,5476000.0,33555000.0,44780000,-81463000,43753000,43753000,13806000,99227000.0,485903000,688336000,0.66,112000,10040000.0,875000000,8417000.0,80084000,6623000,351421000,266422000.0,87067000.0,80761000,106000.0,-36683000,43753000,2511736000,87384000,,87384000,3186000,,6077000,1542362000,232617000,18505000.0,38928000.0,,
2015-09-30,43295000.0,13881000.0,36142000.0,173287000,159690000,,-51458000.0,1386861000,562625000,0.79,1243599000.0,76505000,6555000.0,63484000.0,35806000.0,380000.0,3169000.0,-42000.0,95717000,82202000,-95704000,-6361000,1495274000.0,1048639000,68727000,1153104000,947476000,39397000,43000,,556977000.0,338222000,43791000,-155000000.0,-487499000.0,41768000,64732000.0,2789000.0,44886000,-28149000,464000.0,36573000.0,120109000,-95747000,50060000,50060000,18667000,82449000.0,447664000,756100000,0.77,-489000,10004000.0,850000000,6651000.0,83185000,-5182000,402935000,323137000.0,128077000.0,87384000,106000.0,24362000,50060000,2539965000,82202000,,82202000,2430000,,7509000,1592489000,225138000,19481000.0,-50500000.0,,
