date,quarterlyAccountsPayable,quarterlyNonCurrentDeferredRevenue,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyEndCashPosition,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestingCashFlow,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyEbitda,quarterlyRetainedEarnings,quarterlyStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAssets,quarterlyGoodwill,quarterlyOperatingExpense,quarterlyCashDividendsPaid,quarterlyAccountsReceivable,quarterlyBasicAverageShares,quarterlyCostOfRevenue,quarterlyBasicEPS,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherNonCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyNetOtherInvestingChanges,quarterlyOtherCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyDilutedAverageShares,quarterlyOtherNonCurrentAssets,quarterlyCapitalExpenditure,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyInventory,quarterlyInvestmentsAndAdvances,quarterlyAccumulatedDepreciation,quarterlyChangeInCashSupplementalAsReported,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyTaxProvision,quarterlyNetPPE,quarterlyOtherShortTermInvestments,quarterlyCommonStockIssuance,quarterlyOtherCurrentLiabilities,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyFreeCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlySaleOfInvestment,quarterlyPurchaseOfInvestment,quarterlyDilutedEPS,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyOtherNonCashItems,quarterlyOtherIncomeExpense,quarterlyStockBasedCompensation,quarterlyChangeInWorkingCapital,quarterlyRepurchaseOfCapitalStock,quarterlyResearchAndDevelopment,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyDepreciationAndAmortization,quarterlyChangeInInventory,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangesInAccountReceivables,quarterlyOperatingCashFlow,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyChangeInAccountPayable
2016-06-30,1970506581.9,77431503.69,533215069.97,1648826245.18,3408235910.54,585879619.34,20948846768.3,-116414184.53,602036698.85,4997487348.24,604713275.45,4126550002.97,12947114480.35,15951359420.06,8075031128.74,,52664549.37,-286102367.68,392781215.72,,1062946625.84,,15722649922.72,11137993.65,77431503.69,61005174.57,-367244376.28,-1215371.11,652367773.3,-125489.26,,107392500.0,-146212789.84,350000000.0,151018050.26,334598741.72,362237046.48,2439386975.34,,,828265945.3,,453695225.19,91458178.71,602036698.85,,,1090844210.68,2579969965.24,3058060000.0,23829425753.14,26499516191.61,174539587.08,334598741.72,34574547320.35,,,,3487865129.52,3487865129.52,,,,,,,,,,,,,,,,,
2016-09-30,1920492078.98,76887240.06,522245085.08,1729144840.8,3410137889.49,591841505.81,20585946396.93,-41085747.23,612779551.91,4545038346.0,540277935.09,4479178466.11,13301576700.18,16040908050.93,8214672178.21,,69596420.73,-334298832.38,452890907.07,3058356142.0,1137303334.99,0.1153,15812649922.72,11230888.15,76887240.06,64592282.2,-470000000.0,9255248.48,682644714.01,-20000.0,3058356142.0,107392500.0,-72634609.82,974050425.51,109685447.24,352628463.14,363154900.08,2444375217.06,,,1901978.95,0.0,430592487.85,67437587.77,612779551.91,,,981291971.87,3408235910.54,3058060000.0,23761440993.51,26363356758.47,672336920.87,352628463.14,34578028936.68,22293614.11,,0.1153,3489799420.49,3489799420.49,,,,,,,,,,,,,,,,,
2016-12-31,3428247160.63,77587903.45,254898372.76,3243579258.05,3892878367.13,416220411.71,22495344820.88,-335436985.35,647528160.92,7179343923.15,323704470.98,3980145261.22,13324201245.23,15316000897.73,8677027956.47,,161322038.95,-227763299.29,669116089.83,,2827358846.34,,15086579124.1,11693870.18,77587903.45,123805451.96,-593610326.18,-58860584.64,833409278.78,88141495.47,,0.0,-218693524.84,500000000.0,218823775.32,19099496.25,46548487.46,2358350933.1,,-1419651000.0,482740477.64,21805.0,104880695.66,58332208.2,647528160.92,85954.16,,1527323254.07,3410137889.49,3058060000.0,25058695209.8,27702349524.18,484673083.84,19099496.25,36379377480.65,7911977.55,,,3961342906.95,3961428861.11,,,,,,,,,,,,,,,,,
2017-03-31,2656603225.45,75683258.99,546603937.59,1540463533.87,3166865483.07,621388591.59,21669572068.52,-548130204.99,709372214.35,6153893670.57,565398249.87,4258561435.39,13607142865.32,15515678397.95,7995368535.92,,74784654.0,-191771381.46,463941284.74,3059518397.0,919074942.28,0.091,15287545608.45,12309530.51,75683258.99,64169337.77,-494000000.0,16533582.71,844712738.26,-59254.94,3059518397.0,0.0,-554958056.49,500000000.0,188927366.87,278416174.17,296508405.03,2413352527.48,,,-726012884.06,,376470883.0,79962477.97,709372214.35,5780.36,,1220885238.24,3892878367.13,3058060000.0,24874563046.46,27844468332.96,-426433776.19,278416174.17,35839836868.88,208204.54,-10024008.66,0.091,3235362512.88,3235368293.24,,,,,,,,,,,,,,,,,
2017-06-30,2550017798.44,73778614.53,559205269.42,1881106855.78,4430250541.37,633899893.5,22446077031.56,-72215228.58,714086219.98,7975188973.64,611366577.6,4227931349.63,13575197258.37,14470888057.92,8838359503.34,,74694624.08,-348443547.38,417870663.17,,1247206962.28,,14245301232.17,11668211.22,73778614.53,67515315.71,-212244376.28,2296278.52,586085875.14,20483347.21,,0.0,-80288843.56,800000000.0,203491511.61,305756514.24,323373389.87,2360202049.47,,,1263385058.3,,407875065.99,84501676.12,714086219.98,,,2748433380.85,3166865483.07,3058060000.0,24688764314.73,27792274383.92,795516019.77,305756514.24,36630633887.26,5743552.27,-18.81,,4505643150.51,4505643150.51,,,,,,,,,,,,,,,,,
2017-09-30,2318475960.18,76587855.68,643887188.28,2362871106.4,4233725837.77,726788009.98,22254645970.06,-367487237.68,818093424.33,7542948670.99,656015645.31,4557154078.27,13903855147.97,14711697299.07,8880161511.66,,82900821.7,-400639015.18,479114845.31,3058119599.0,1636083096.42,0.1081,14483301232.17,11668211.22,76587855.68,75267161.25,-210000000.0,34700796.53,642505935.36,472631.0,3058119599.0,0.0,-404249495.11,850000000.0,200071788.63,330582728.64,358807908.56,2376160245.65,,,-196524703.6,,455943856.68,97135948.12,818093424.33,,0.0,2539440521.04,4430250541.37,3058060000.0,24502810148.46,27915450710.2,88719462.95,330582728.64,36795612221.86,2057847.38,0.0,0.1081,4315579759.84,4315579759.84,,,,,,,,,,,,,,,,,
2017-12-31,1513537400.89,74467762.92,73351008.0,2199922704.81,2719252638.77,196104417.82,20000004539.52,-585185643.7,525650487.32,5621810415.89,286388846.6,4086922221.7,13894072610.55,14378194123.63,6045751801.49,,122753409.82,-226626648.65,205247254.0,,2003818286.99,,14147096917.9,13361484.56,3127958.25,124518953.32,-1261104314.27,-195920877.86,711175537.57,172040971.51,,0.0,-556933926.82,450000000.0,228370738.47,-26318742.63,-9754399.22,1854514629.64,,,-1514473199.0,,58018108.13,67772507.35,525650487.32,,174240000.0,2134434433.22,4233725837.77,3058060000.0,25006898880.06,28238965645.32,-274145411.97,-26318742.63,34284717446.81,167623508.98,0.0,,2801146683.18,2801146683.18,,,,,,,,,,,,,,,,,
2018-03-31,1255851391.73,72432177.19,673627385.18,1481480256.39,3306710470.28,737356023.81,20120139936.51,-403232512.37,511588361.29,4117888504.11,693440926.71,4484115401.99,14292492688.68,16002251432.4,6622488877.12,,63728638.63,-205563418.15,192019657.35,3057684221.0,744124232.58,0.1299,15773096917.9,13454379.06,3127958.25,60592499.91,-1620000000.0,-11976898.75,701100254.53,49000000.0,3057684221.0,,-316255763.62,1070000000.0,188300125.63,397193180.29,410005573.76,1786421820.6,,,587457831.51,,505140801.08,95135227.32,511588361.29,,49000000.0,525839578.26,2719252638.77,3058060000.0,24937435225.78,28243434431.04,244997998.41,397193180.29,34865923308.16,,-75000000.0,0.1299,3403637363.54,3403637363.54,,,,,,,,,,,,,,,,,
2018-06-30,1315144178.17,72618039.96,527592113.86,1348306358.39,2603930200.82,596372210.39,20059094928.68,-611681064.7,502888011.55,4003909630.67,560960187.79,4434819227.36,14285843597.01,16055185298.01,6472011637.28,,68780096.53,-277153996.94,192258903.71,,751934148.0,,15717667537.47,20635341.4,104124379.18,64596195.7,-424933949.96,21714319.02,1380758908.34,7513040.0,,302055793.55,-130856414.8,720000000.0,200343299.35,256509825.37,275080402.21,1821343087.82,,,-702780269.46,,360616888.44,85536486.23,502888011.55,,,679890779.15,3306710470.28,3058060000.0,24869256616.99,28289558543.82,345328081.52,256509825.37,34761570181.1,,-510000000.0,,2644449039.64,2644449039.64,,,,,,,,,,,,,,,,,
2018-09-30,1308543283.43,74007190.73,503507950.53,1493199151.69,3599153881.76,580447021.66,20549974960.96,-116105514.13,490518486.78,4518797474.47,542403971.41,4693189160.01,14548152239.7,16031177486.49,7529371925.59,,76939071.13,-446599516.62,198500711.46,3057632339.0,912752130.03,0.0845,15692210540.19,21409462.26,103410293.31,78537632.96,-162803661.28,17097812.0,1326709835.94,0.43,3057632339.0,326497414.87,-137530193.52,1200000000.0,189812406.25,258369932.65,271730681.44,1855662188.03,,,995223680.94,,352591565.16,80860883.72,490518486.78,,,969549439.07,2603930200.82,3058060000.0,24701528588.43,27980082875.52,709873454.31,258369932.65,35509454801.11,4314929.39,0.0,0.0845,3639705750.35,3639705750.35,,,,,,,,,,,,,,,,,
2018-12-31,1738460056.2,74113818.85,203209915.12,1646031782.06,3657420378.1,333766314.76,21319417586.34,-150271730.86,524300464.24,5361343897.37,205806854.09,4171508493.63,14491606044.28,15958073688.97,7507898848.08,,130556399.64,-227981453.91,191338016.53,,1312265467.3,,15382673384.64,22581009.17,477065476.31,126833361.88,-481158063.55,28331505.91,1354714583.21,33257276.74,,344182276.57,-195928990.11,1150000000.0,219268194.68,-62870460.26,-56014612.49,1830519348.88,,,58266496.34,,-13461340.59,42553271.9,524300464.24,,,1113342144.9,3599153881.76,3058060000.0,24937828084.18,28695917944.14,538854933.85,-62870460.26,36203816792.22,16354771.32,0.0,,3673678378.1,3673678378.1,,,,,,,,,,,,,,,,,
2019-03-31,1283276491.68,71824268.42,703029945.41,1495258344.95,3794511169.01,777081647.25,21312755000.29,-255551468.46,666701862.53,4712998800.38,715503000.29,4600543262.35,14927305549.61,16599756199.91,7666004024.47,,74051701.84,-172333970.26,202504326.39,3057981245.0,718176697.7,0.1403,15400445495.36,23819602.55,944734075.98,71526559.54,-601707889.28,23420620.44,1363647549.48,271201.09,3057981245.0,353488167.98,-279051072.49,770000000.0,175039468.11,429034768.72,441873605.76,1906171069.99,,,137090790.91,,540463532.18,98589926.42,666701862.53,,,1487928214.32,3657420378.1,3058060000.0,24802236369.84,28988412283.42,280061845.33,429034768.72,36654416307.89,,,0.1403,3810769169.01,3810769169.01,,,,,,,,,,,,,,,,,
2019-06-30,1458121371.16,69902427.55,686275620.77,1586040169.86,4571078639.02,768449540.34,21701908313.55,813250081.84,680478314.48,5285398618.89,721369828.54,4696383390.19,15021984682.75,16416509694.66,8869608614.16,,82173919.57,-447655026.91,301066098.57,,817590629.52,,14957063169.68,23236310.14,1244262957.71,78126750.46,-324306229.56,980100928.54,1441269048.68,-15480738.43,,386181024.35,-249459865.57,620000000.0,193870902.25,401646127.84,427925629.34,2025143011.24,,,776567470.01,,527498926.29,99573296.95,680478314.48,,,2016114963.74,3794511169.01,3058060000.0,24892304496.36,28775727714.66,279554260.65,401646127.84,37645336328.82,,,,4645116913.35,4645116913.35,,,,,,,,,,,,,,,,,
2019-09-30,1383387819.34,69959854.51,523672451.68,1597806525.61,3901026201.15,606741719.36,21359743610.41,-380262616.58,702655878.75,4989016494.13,537254719.52,4982951228.2,15312209503.7,16370727116.28,8596226207.87,,83069267.68,-282229487.17,327021046.44,3058354728.0,991064806.25,0.0937,14706429664.53,23972683.32,1317514288.68,84622030.91,-833926541.7,-61117360.48,1530923954.59,320220.23,3058354728.0,462325580.74,-321521554.54,500000000.0,155743609.34,286567838.01,298639384.25,2068839648.79,,,-670052437.87,,381511110.18,82871725.93,702655878.75,69488416.32,,1929834630.2,4571078639.02,3058060000.0,24937415252.91,28990369950.51,44524432.76,286567838.01,37586596158.38,1622427.2,-38456.14,0.0937,3954779859.52,4024268275.84,,,,,,,,,,,,,,,,,
