date,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossProfit,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyTotalRevenue,quarterlyCashDividendsPaid,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyDilutedEPS,quarterlyPretaxIncome,quarterlyRetainedEarnings,quarterlyCurrentLiabilities,quarterlyDilutedAverageShares,quarterlyStockholdersEquity,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyCommonStockIssuance,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyCapitalExpenditure,quarterlyOtherIncomeExpense,quarterlyOtherCurrentLiabilities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyNetPPE,quarterlyLongTermDebt,quarterlyTaxProvision,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyOperatingExpense,quarterlyChangeInCashSupplementalAsReported,quarterlyAccountsReceivable,quarterlyCapitalStock,quarterlyFreeCashFlow,quarterlyBeginningCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyPurchaseOfInvestment,quarterlyCashAndCashEquivalents,quarterlyTotalNonCurrentAssets,quarterlyCurrentDebt,quarterlyOtherIntangibleAssets,quarterlyInterestExpense,quarterlyBasicEPS,quarterlyDepreciationAndAmortization,quarterlyBasicAverageShares,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables,quarterlyIncomeTaxPayable,quarterlyInvestmentsAndAdvances,quarterlyInventory,quarterlySaleOfInvestment,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
2007-12-31,1176593000,59912000,4456000.0,-3064000,-4290000.0,97875000,49725000,1256571000.0,247730000,,-2753000.0,,10298000,-53544000,-46291000.0,73124000,980879000,,37446000.0,524481000,195714000,,775145000,,170865000,25083000,811049000.0,-1700000,,0.0,-391241000.0,38053000,4108000,1749000,40757000,10791000.0,49004000,22754000.0,22754000.0,-28128000,-109000,8835000,223308000.0,44074000.0,865330000,719518000,14692000,69578000.0,149855000,48150000,-2791000,123882000.0,670000.0,20876000,13089000,22754000.0,1981958000,10298000,,10298000,1811093000,13315000.0,93957000,8600000,,23399000,,,,,,,,,,,
2008-03-31,1207662000,51194000,7989000.0,5220000,-12842000.0,101168000,50798000,1261557000.0,250300000,,1127000.0,,9505000,-56659000,-31527000.0,74507000,1017228000,0.151111,38094000.0,547599000,190434000,153274394.0,764572000,,156762000,27090000,824929000.0,-525000,,0.0,-391241000.0,45517000,-5337000,-8727000,41602000,5124000.0,64593000,23118000.0,23118000.0,-24108000,-69000,5239000,227197000.0,44343000.0,870316000,744514000,14976000,76185000.0,149132000,50370000,-793000,116193000.0,664000.0,40485000,10298000,23118000.0,2002985000,9505000,,9505000,1846223000,13473000.0,109376000,9319000,0.155556,23709000,150276145.0,,,,,,,,,,
2008-06-30,1186013000,63311000,5780000.0,3171000,-5502000.0,107171000,55590000,1264276000.0,267033000,,1630000.0,,10645000,-24523000,0.0,80139000,976566000,0.173333,43208000.0,573833000,209447000,152646401.0,803214000,,172633000,27065000,824969000.0,-263000,,0.0,-391241000.0,36817000,1469000,-39671000,41866000,2419000.0,65334000,26234000.0,26234000.0,-24215000,-106000,9157000,238649000.0,46764000.0,873035000,701100000,16974000,76734000.0,159862000,51581000,1140000,127112000.0,665000.0,41119000,9505000,26234000.0,2020599000,10645000,,10645000,1847966000,13481000.0,108096000,8920000,0.173333,24549000,149554028.0,,,,,,,,,,
2008-09-30,1117975000,65405000,11781000.0,-2523000,-6279000.0,108154000,56695000,1274118000.0,272702000,,15000.0,,366124000,-32981000,0.0,81084000,919869000,0.182222,43692000.0,602106000,198106000,154197011.0,1239818000,,533646000,27009000,825370000.0,-161000,,0.0,-391241000.0,34116000,934000,323726000,42186000,403591000.0,64734000,28273000.0,28273000.0,-31213000,-509000,0,250527000.0,44012000.0,882877000,635226000,15419000,81299000.0,164548000,51459000,355479000,125729000.0,797000.0,33521000,10645000,28273000.0,2390773000,366124000,,366124000,1857127000,7390000.0,106694000,8742000,0.186667,23419000,150520007.0,,,,,,,,,,
2008-12-31,1345245000,65537000,6352000.0,12549000,-23937000.0,105035000,49273000,1457511000.0,259568000,,1464000.0,,265264000,-353484000,0.0,75025000,1129781000,,38961000.0,630037000,215464000,,1254727000,,429211000,29950000,836930000.0,-612000,,0.0,-473387000.0,47509000,-4500000,176876000,43931000,1885000.0,75748000,27931000.0,27931000.0,-33960000,-578000,4315000,251514000.0,45694000.0,984124000,830758000,11030000,95220000.0,154533000,55762000,-100860000,118456000.0,798000.0,41788000,366124000,27931000.0,2600640000,265264000,,265264000,2171429000,4698000.0,306444000,11843000,,25752000,,,,,,,,,,,
2009-03-31,1387228000,60634000,7649000.0,8843000,-27269000.0,107972000,48141000,,262675000,0.0,352000.0,2162000.0,335758000,-35889000,0.0,75980000,1169983000,0.12,36415000.0,644891000,217245000,181707617.0,1280934000,-5298000.0,490464000,32515000,839203000.0,327000,-44414000.0,0.0,,54893000,115000,35834000,44577000,,70549000,22312000.0,21978000.0,-29412000,-501000,0,259885000.0,44296000.0,991098000,855205000,14103000,99984000.0,154703000,59831000,70494000,116543000.0,800000.0,41137000,265264000,21978000.0,2669164000,335758000,-1506000.0,335758000,2178700000,12331000.0,303822000,12249000,0.12,27316000,179917735.0,,,,,,,,,,
2009-06-30,1420993000,77544000,15209000.0,-1568000,-14373000.0,127143000,59418000,,302830000,0.0,560000.0,2468000.0,16999000,-401540000,0.0,92971000,1190453000,0.168889,47398000.0,675329000,230540000,181875037.0,1327253000,-381814000.0,201323000,36142000,877518000.0,4070000,-63415000.0,0.0,,47795000,-18000,2282000,44734000,,80499000,30682000.0,30438000.0,-23281000,171000,0,282429000.0,48976000.0,1272851000,860229000,16716000,93835000.0,175687000,67725000,-318759000,140838000.0,801000.0,57218000,335758000,30438000.0,2749492000,16999000,-515000.0,16999000,2548169000,10185000.0,353066000,12307000,0.168889,33265000,180149946.0,,,,,,,,,,
2009-09-30,1477669000,87349000,5747000.0,12399000,-15470000.0,135550000,64761000,,315990000,0.0,-1281000.0,2341000.0,10021000,-67497000,-40168000.0,100671000,1226647000,0.191111,53515000.0,709479000,251022000,179605386.0,1326304000,-34972000.0,201938000,35753000,907723000.0,-7298000,-67266000.0,0.0,,48458000,599000,-30780000,46146000,,91299000,34263000.0,34150000.0,-31596000,879000,0,294467000.0,48912000.0,1292207000,883722000,19252000,107713000.0,180440000,70789000,-6978000,140652000.0,787000.0,59703000,16999000,34150000.0,2806846000,10021000,,10021000,2604908000,7048000.0,358832000,12259000,0.191111,34897000,177385464.0,,,,,,,,,,
2009-12-31,1463412000,86669000,9619000.0,-8728000,-4892000.0,128312000,58861000,1889068000.0,309897000,0.0,-119000.0,2371000.0,9639000,-43307000,-22456000.0,85673000,1218499000,,38049000.0,732738000,244913000,,1353805000,2067000.0,199854000,33615000,906710000.0,-2125000,-227069000.0,0.0,-580676000.0,350945000,3358000,-18467000,51189000,0.0,61392000,23554000.0,23259000.0,-43962000,-8606000,0,,50138000.0,1308392000,867554000,14495000,93380000.0,181585000,69451000,-382000,138972000.0,786000.0,17430000,10021000,23259000.0,2820448000,9639000,,9639000,2620594000,14726000.0,354303000,12344000,,35280000,,,,,,,,,,,
2010-03-31,1448477000,68776000,5935000.0,8268000,-5275000.0,130550000,59606000,,307540000,,-133000.0,2940000.0,14346000,-28499000,-49796000.0,94968000,1216415000,0.155556,47677000.0,760312000,232062000,177021153.0,1338056000,-1819000.0,190752000,35658000,907715000.0,-728000,-64594000.0,0.0,,350600000,2478000,-46960000,-260542000,,80166000,27814000.0,27574000.0,-26754000,-78000,0,310099000.0,51587000.0,1291197000,865815000,19863000,98583000.0,176990000,70944000,4707000,136725000.0,776000.0,53412000,9639000,27574000.0,2790004000,14346000,-379000.0,14346000,2599252000,13116000.0,350783000,12262000,0.155556,35029000,174840498.0,,,,,,,,,,
2010-06-30,1438224000,75296000,1802000.0,-11446000,-7936000.0,143131000,69351000,,330477000,,742000.0,2685000.0,10070000,-21694000,-33869000.0,96676000,1205043000,0.173333,50452000.0,790711000,233181000,176224126.0,1348996000,-2030000.0,207714000,36353000,907789000.0,767000,-246438000.0,0.0,,47429000,3945000,-42540000,48091000,,59958000,30637000.0,30400000.0,-23741000,-9903000,0,310706000.0,54244000.0,1279569000,846908000,19815000,91774000.0,187346000,73780000,-4276000,153639000.0,773000.0,36217000,14346000,30400000.0,2790928000,10070000,,10070000,2583214000,11867000.0,347765000,9161000,0.173333,37063000,174365550.0,,,,,,,,,,
2010-09-30,1451179000,80471000,8188000.0,13812000,-7114000.0,152147000,75685000,,345785000,,714000.0,2863000.0,13556000,-50615000,-32620000.0,115377000,1200453000,0.235556,67901000.0,831697000,250726000,175168280.0,1368905000,-13542000.0,214564000,38455000,910286000.0,5747000,-73688000.0,0.0,,49460000,2512000,-48073000,51060000,,102174000,41257000.0,40986000.0,-35626000,1500000,0,319870000.0,53598000.0,1303463000,831123000,26644000,103065000.0,193638000,76462000,3486000,155082000.0,767000.0,66548000,10070000,40986000.0,2824063000,13556000,-2269000.0,13556000,2609499000,13592000.0,344690000,9419000,0.235556,38057000,173391491.0,,,,,,,,,,
2010-12-31,1545566000,85252000,10506000.0,1499000,-3095000.0,144442000,67741000,2027491000.0,335955000,,443000.0,2843000.0,9873000,-113416000,-50035000.0,106045000,1292029000,,59446000.0,858887000,253537000,,1366149000,-63619000.0,215561000,39395000,927852000.0,-1619000,-82940000.0,0.0,-690015000.0,47637000,-5499000,23635000,53620000,,86098000,36435000.0,36145000.0,-48708000,860000,0,334414000.0,54157000.0,1337476000,909978000,23011000,99075000.0,191513000,76701000,-3683000,152156000.0,1139000.0,37390000,13556000,36145000.0,2915984000,9873000,530000.0,9873000,2700423000,15053000.0,381475000,9292000,,37307000,,,,,,,,,,,
2011-03-31,1501316000,66753000,20068000.0,-7235000,482000.0,144402000,68550000,,331468000,-8515000.0,363000.0,2996000.0,11093000,-16771000,-20613000.0,106117000,1268717000,0.213333,60270000.0,886911000,232599000,171601956.0,1377239000,-914000.0,206357000,38838000,928632000.0,3671000,-91690000.0,0.0,,47658000,-4006000,-70387000,51618000,,88378000,36793000.0,36539000.0,-19528000,419000,0,348777000.0,54408000.0,1318704000,872282000,23477000,96380000.0,187066000,75852000,1220000,149485000.0,1136000.0,68850000,9873000,36539000.0,2882403000,11093000,,11093000,2676046000,15058000.0,377092000,8833000,0.213333,37014000,170278899.0,,,,,,,,,,
2011-06-30,1813998000,82293000,3038000.0,8979000,-1428000.0,168312000,84531000,,390184000,-8526000.0,359000.0,2966000.0,16951000,-244254000,-21768000.0,127308000,1550894000,0.26,73609000.0,922798000,263104000,171463065.0,1395642000,-215148000.0,236605000,41169000,1104823000.0,-2072000,-196430000.0,0.0,,50018000,-601000,148514000,54815000,,101598000,44605000.0,44413000.0,-27034000,22000,0,364900000.0,61720000.0,1361804000,1135976000,29004000,105920000.0,221872000,83781000,5858000,174974000.0,1130000.0,74564000,11093000,44413000.0,3213888000,16951000,,16951000,2977283000,13171000.0,455841000,11087000,0.26,42611000,170264502.0,,,,,,,,,,
2011-09-30,1911884000,86017000,13854000.0,157000,-3312000.0,175401000,90348000,,403962000,-8456000.0,374000.0,2944000.0,36560000,-67215000,-42687000.0,132553000,1628845000,0.273333,76518000.0,960671000,283039000,169789326.0,1395574000,-31900000.0,270958000,41047000,1107647000.0,2174000,-56543000.0,0.0,,72845000,-3418000,-20924000,57299000,,107748000,46584000.0,46329000.0,-37489000,-1933000,0,381500000.0,62788000.0,1421626000,1174500000,29934000,117473000.0,228561000,85053000,19609000,185037000.0,1119000.0,70259000,16951000,46329000.0,3312005000,36560000,,36560000,3041047000,16761000.0,454475000,12029000,0.273333,44006000,168491115.0,,,,,,,,,,
2011-12-31,1928318000,95097000,14029000.0,-9697000,-3480000.0,159671000,75289000,2265940000.0,379752000,-10069000.0,417000.0,2973000.0,12643000,-72265000,-31749000.0,118772000,1644216000,,62731000.0,988560000,284102000,,1394910000,-10390000.0,249258000,40913000,1116888000.0,-4002000,-77436000.0,0.0,-815471000.0,74324000,-47000,-42098000,61809000,,90446000,38188000.0,37958000.0,-57873000,-108000,0,397134000.0,64694000.0,1450469000,1172758000,24543000,76063000.0,220081000,84382000,-23917000,176277000.0,1109000.0,32573000,36560000,37958000.0,3328005000,12643000,,12643000,3078747000,18068000.0,449581000,12572000,,43469000,,,,,,,,,,,
2012-03-31,1630638000,76980000,12101000.0,8016000,-3182000.0,159749000,65771000,,376430000,-10010000.0,500000.0,7596000.0,8169000,-167969000,0.0,108679000,1365427000,0.18,53590000.0,1009853000,265211000,173814691.0,1791188000,-138908000.0,228427000,51174000,1176029000.0,-1861000,-474544000.0,0.0,,81057000,-6522000,62914000,61740000,369460000.0,100581000,31439000.0,31303000.0,-27953000,-29000,0,401196000.0,68375000.0,1456851000,883174000,22151000,102749000.0,216681000,93978000,-4474000,173088000.0,1234000.0,72628000,12643000,31303000.0,3426644000,8169000,,8169000,3198217000,17107000.0,503597000,12285000,0.18,42804000,172782201.0,,,,,,,,,,
2012-06-30,1756422000,87476000,528000.0,11621000,-5866000.0,172304000,81494000,,410731000,-11112000.0,513000.0,3225000.0,136145000,-54444000,-5233000.0,127820000,1467619000,0.226667,69928000.0,1041157000,288803000,186041425.0,1818417000,-11314000.0,370731000,44747000,1182101000.0,-4382000,-56007000.0,0.0,,84449000,-168000,78061000,66381000,124000.0,104359000,42515000.0,42415000.0,-39492000,98000,0,405646000.0,70222000.0,1460756000,977524000,27413000,114218000.0,238427000,90810000,127976000,185460000.0,1232000.0,64867000,8169000,42415000.0,3579756000,136145000,,136145000,3209025000,16887000.0,499787000,11829000,0.226667,46063000,185200335.0,,,,,,,,,,
2012-09-30,1822001000,105883000,5822000.0,12742000,-6080000.0,182411000,85854000,,425654000,-11060000.0,1293000.0,3215000.0,103532000,-111239000,-13364000.0,138552000,1488973000,0.266667,78023000.0,1079482000,333028000,185498383.0,1846673000,-73034000.0,362761000,47977000,1183363000.0,6842000,-17901000.0,0.0,,90040000,-903000,-43173000,69947000,0.0,121799000,49620000.0,49385000.0,-43550000,3785000,25958000,422487000.0,68694000.0,1561415000,976446000,28403000,119579000.0,243243000,96557000,-32613000,196617000.0,1228000.0,78249000,136145000,49385000.0,3673827000,103532000,,103532000,3311066000,12914000.0,496341000,11949000,0.266667,48579000,184546888.0,,,,,,,,,,
2012-12-31,3192896000,130260000,11238000.0,-18258000,-6165000.0,190796000,81104000,3421223000.0,448803000,-12283000.0,3084000.0,3253000.0,23212000,-1400195000,0.0,136674000,2775324000,0.193333,63562000.0,1103188000,417572000,185531436.0,1878157000,-1356613000.0,362486000,53555000,1636557000.0,-1060000,-60562000.0,0.0,-963617000.0,105475000,-13281000,1230287000,77469000,0.0,89588000,36086000.0,35989000.0,-42522000,-711000,49018000,464882000.0,69930000.0,2457606000,2204967000,27476000,121829000.0,258007000,109692000,-80320000,235762000.0,0.0,47066000,103532000,35989000.0,5076026000,23212000,,23212000,4713540000,46535000.0,541908000,16974000,0.193333,56138000,184444704.0,,,,,,,,,,
2013-03-31,3075130000,118237000,16524000.0,13455000,-4967000.0,197929000,86591000,,449892000,-12310000.0,2038000.0,3594000.0,14280000,-19108000,,145742000,2672983000,0.226667,68643000.0,1132434000,402147000,185857393.0,1909774000,0.0,303090000,53251000,1637339000.0,-203000,-134083000.0,0.0,,104376000,-3633000,-122782000,77877000,0.0,132958000,41680000.0,41556000.0,-36905000,1064000,49136000,472436000.0,68850000.0,2436035000,2096171000,26963000,118193000.0,251963000,111338000,-8932000,219915000.0,0.0,96053000,23212000,41556000.0,4989803000,14280000,,14280000,4686713000,47731000.0,535462000,19012000,0.226667,58087000,185071198.0,,,,,,,,,,
2013-06-30,3051618000,120503000,-1534000.0,-412000,-3288000.0,220897000,96519000,,489381000,-12344000.0,12813000.0,3852000.0,16212000,-49213000,,152345000,2608237000,0.233333,72440000.0,1164057000,443381000,186120634.0,1947984000,-1181000.0,332741000,52903000,1638160000.0,2604000,-122649000.0,0.0,,107000000,-3923000,-71420000,78493000,0.0,122565000,43995000.0,43967000.0,-50636000,-5151000,56856000,480853000.0,71049000.0,2427985000,2020384000,28445000,127177000.0,268484000,124378000,1932000,240557000.0,0.0,71929000,14280000,43967000.0,5004528000,16212000,,16212000,4671787000,67796000.0,527149000,18928000,0.24,60977000,185416453.0,,,,,,,,,,
2013-09-30,2987294000,115404000,9421000.0,-559000,-2947000.0,229505000,114491000,,503646000,-12351000.0,-3790000.0,3822000.0,19281000,-52456000,0.0,178539000,2617925000,0.326667,98554000.0,1212412000,369369000,186419499.0,2002219000,-850000.0,329480000,53536000,1637541000.0,1725000,-161584000.0,0.0,,108828000,-20041000,-74356000,81706000,0.0,129881000,60913000.0,60706000.0,-53331000,1974000,30722000,483433000.0,68644000.0,2424716000,2025664000,37641000,134951000.0,274141000,115014000,3069000,238842000.0,0.0,76550000,16212000,60706000.0,4994647000,19281000,,19281000,4665167000,19648000.0,521204000,17911000,0.326667,62074000,185515404.0,,,,,,,,,,
2013-12-31,3016045000,105394000,14269000.0,-24479000,-1869000.0,215646000,99973000,3596114000.0,485877000,-14208000.0,-8039000.0,4129000.0,13591000,-130238000,0.0,161738000,2671027000,,81284000.0,1247630000,345018000,,2043082000,-62125000.0,328505000,52947000,1675154000.0,889000,-75244000.0,0.0,-1145465000.0,101745000,-251000,25891000,82073000,0.0,98657000,49417000.0,49426000.0,-69002000,-961000,30840000,501692000.0,71917000.0,2450649000,2067590000,31867000,108787000.0,270231000,115673000,-5690000,234001000.0,0.0,29655000,19281000,49426000.0,5064252000,13591000,,13591000,4735747000,17841000.0,527871000,17728000,,62726000,,,,,,,,,,,
2014-03-31,2958212000,95179000,9844000.0,22450000,-1764000.0,218649000,100448000,,481710000,-14242000.0,1918000.0,4169000.0,15854000,-62527000,,162619000,2617745000,0.26,83155000.0,1282403000,340467000,187071145.0,2081047000,-27215000.0,309517000,55647000,1674310000.0,-563000,-129101000.0,0.0,,109094000,-2488000,-80167000,84198000,,144957000,49223000.0,49015000.0,-35592000,-383000,32370000,503786000.0,71834000.0,2454902000,2004865000,33932000,124484000.0,263061000,118201000,2263000,228504000.0,0.0,109365000,13591000,49015000.0,5044221000,15854000,,15854000,4734704000,16600000.0,521294000,16910000,0.266667,62554000,185944501.0,,,,,,,,,,
2014-06-30,2925616000,115623000,-2730000.0,6948000,-2480000.0,237743000,117392000,,524693000,-14254000.0,1868000.0,5275000.0,21404000,-45468000,,183202000,2551938000,0.333333,103437000.0,1330813000,373678000,187272526.0,2138423000,-2381000.0,348686000,56526000,1675726000.0,5000000,-130581000.0,0.0,,111566000,1817000,-83706000,83605000,,134724000,62900000.0,62664000.0,-48087000,1985000,32406000,509110000.0,77927000.0,2446043000,1931262000,40537000,131216000.0,286950000,120351000,5550000,254858000.0,0.0,86637000,15854000,62664000.0,5069236000,21404000,,21404000,4720550000,16506000.0,515176000,15940000,0.333333,63824000,186345858.0,,,,,,,,,,
2014-09-30,2899234000,113303000,-2542000.0,-3724000,-1940000.0,248702000,125011000,,546551000,-14274000.0,1862000.0,4445000.0,13327000,-85449000,,181322000,2513158000,0.32,99807000.0,1376623000,386076000,187154971.0,2189232000,-19635000.0,360519000,57991000,1687915000.0,-650000,-135079000.0,0.0,,110911000,-22000,-57573000,84449000,,134945000,60284000.0,60084000.0,-65164000,-9389000,32417000,513654000.0,78440000.0,2450067000,1888593000,39523000,146019000.0,297849000,123691000,-8077000,262346000.0,0.0,69781000,21404000,60084000.0,5093864000,13327000,,13327000,4733345000,15897000.0,510914000,15815000,0.32,65700000,186513739.0,,,,,,,,,,
2014-12-31,3016290000,120717000,26459000.0,-24416000,-5593000.0,235685000,110508000,3927171000.0,526213000,-16136000.0,-3155000.0,4557000.0,14353000,-169964000,,181137000,2655979000,0.326667,99263000.0,1421249000,360311000,187220458.0,2228185000,-76950000.0,366144000,59311000,1693789000.0,263000,-131148000.0,0.0,-1332966000.0,141428000,-24089000,40396000,85898000,,130594000,60921000.0,60762000.0,-92434000,4763000,21637000,538635000.0,80915000.0,2594205000,1975916000,38342000,120947000.0,290528000,125177000,1026000,259969000.0,0.0,38160000,13327000,60762000.0,5250031000,14353000,,14353000,4883887000,16095000.0,509995000,16008000,0.326667,65866000,186482673.0,,,,,,,,,,
2015-03-31,3030991000,108000000,17753000.0,21461000,-8268000.0,224977000,102527000,,506100000,-16156000.0,3869000.0,4821000.0,15734000,-132174000,-18366000.0,165951000,2673883000,0.28,85948000.0,1456917000,357108000,186551502.0,2242813000,-90849000.0,336475000,58144000,1721759000.0,381000,-249624000.0,0.0,,146408000,-7895000,-29016000,79330000,,162571000,52081000.0,51824000.0,-41706000,-882000,23962000,543621000.0,83678000.0,2597232000,1983854000,33867000,125080000.0,281123000,122450000,1381000,250431000.0,0.0,120865000,14353000,51824000.0,5279574000,15734000,,15734000,4943099000,16388000.0,544778000,15697000,0.28,64306000,186013030.0,,,,,,,,,,
2015-06-30,3011080000,129836000,-3028000.0,28758000,-7597000.0,233875000,109708000,,531312000,-16047000.0,2325000.0,4759000.0,15624000,-59566000,-22945000.0,177019000,2623820000,0.306667,94794000.0,1498230000,387260000,186528093.0,2267339000,-875000.0,342416000,57264000,1722324000.0,1773000,-131602000.0,0.0,,148151000,33000,-97190000,83209000,,156646000,57641000.0,57360000.0,-60464000,408000,23986000,545186000.0,84563000.0,2598865000,1930483000,37153000,132509000.0,297437000,124167000,-110000,256139000.0,0.0,96182000,15734000,57360000.0,5284471000,15624000,,15624000,4942055000,16366000.0,537657000,15322000,0.306667,66902000,186118776.0,,,,,,,,,,
2015-09-30,3061036000,138718000,-2096000.0,8762000,-13172000.0,247028000,118661000,,547938000,-16043000.0,2189000.0,4853000.0,23553000,-85257000,-49854000.0,185486000,2646367000,0.333333,100551000.0,1543526000,414669000,185466301.0,2262206000,-20366000.0,361685000,59799000,1731756000.0,1318000,-560214000.0,0.0,,153303000,-3473000,-50921000,82166000,,144107000,61544000.0,61339000.0,-66209000,-1743000,25981000,546210000.0,82902000.0,2619182000,1946854000,39007000,150921000.0,300910000,128367000,7929000,255976000.0,0.0,77898000,15624000,61339000.0,5329498000,23553000,,23553000,4967813000,16147000.0,534709000,16367000,0.333333,68568000,184904853.0,,,,,,,,,,
2015-12-31,3130014000,115206000,-145083000.0,-48424000,-12171000.0,233998000,102064000,4278729000.0,531937000,-17744000.0,-21133000.0,5885000.0,10974000,-193537000,0.0,172300000,2751740000,0.28,85792000.0,1259495000,378274000,184712254.0,1985200000,-118427000.0,362427000,62276000,1422825000.0,-4656000,-487755000.0,0.0,-1540441000.0,152120000,-2142000,67283000,86964000,,113675000,52388000.0,52061000.0,-70454000,578000,22217000,452493000.0,90349000.0,2738288000,2147127000,33404000,136018000.0,297939000,131934000,-12579000,255192000.0,0.0,43221000,23553000,52061000.0,5121798000,10974000,,10974000,4759371000,14484000.0,511294000,16850000,0.28,69658000,183943261.0,,,,,,,,,,
2016-03-31,3039040000,111259000,17473000.0,30641000,-14947000.0,227488000,90979000,,514680000,-17791000.0,1898000.0,5299000.0,9263000,-59042000,,159792000,2671511000,0.24,74017000.0,1286546000,367529000,185175876.0,2009576000,-3555000.0,321153000,67682000,1424591000.0,1088000,-197024000.0,0.0,,151116000,-7419000,-107385000,86358000,,164716000,45017000.0,44842000.0,-56575000,222000,20407000,454344000.0,90487000.0,2718194000,2066051000,29000000,131580000.0,287192000,136509000,-1711000,236746000.0,0.0,108141000,10974000,44842000.0,5055371000,9263000,,9263000,4734218000,13796000.0,505075000,17184000,0.246667,68591000,184167435.0,,,,,,,,,,
2016-06-30,5535831000,243215000,7890000.0,-60923000,-1673000.0,311377000,63495000,,727639000,-17794000.0,1700000.0,21106000.0,55624000,1136000,,161899000,4851189000,0.133333,42985000.0,1296241000,684642000,210880732.0,5550734000,56759000.0,734068000,152737000,4299463000.0,-111000,-3263981000.0,0.0,,351936000,-15968000,-49482000,111453000,,94930000,27720000.0,27489000.0,-55512000,-25000,21920000,737946000.0,134257000.0,4788084000,3761307000,15265000,269334000.0,416262000,247882000,46361000,502833000.0,0.0,39418000,9263000,27489000.0,11093552000,55624000,,55624000,10359484000,15916000.0,1160484000,20485000,0.133333,98429000,210305335.0,,,,,,,,,,
2016-09-30,5566327000,247295000,10605000.0,10689000,-13024000.0,448612000,166348000,,1084922000,-25416000.0,3975000.0,9071000.0,119335000,-95141000,,311675000,4877077000,0.333333,131366000.0,1359442000,689250000,263650138.0,5614115000,-66907000.0,784633000,129576000,4351170000.0,-1126000,-151758000.0,0.0,,356409000,-8539000,-120073000,114486000,6905000.0,279185000,88881000.0,88617000.0,-92847000,-7361000,24338000,858697000.0,130724000.0,4773096000,3661971000,42485000,266906000.0,636310000,282264000,63711000,498291000.0,0.0,186338000,55624000,88617000.0,11187693000,119335000,,119335000,10403060000,19987000.0,1164308000,27621000,0.34,152687000,263005450.0,,,,,,,,,,
2016-12-31,5538225000,251253000,6330000.0,-15581000,-43001000.0,430674000,162202000,6633606000.0,1048622000,-31546000.0,4186000.0,9296000.0,154382000,-143348000,,284620000,4846048000,0.326667,112997000.0,1413488000,692177000,263894715.0,5647515000,62340000.0,832569000,124267000,4390261000.0,-160000,-101281000.0,6339000.0,-1895551000.0,361447000,-4206000,-77929000,165059000,4529000.0,256481000,85703000.0,85592000.0,-139789000,-21787000,24836000,867841000.0,134081000.0,4738055000,3616760000,27294000,269402000.0,617948000,268472000,35089000,485138000.0,0.0,116692000,119335000,85592000.0,11193102000,154382000,,154382000,10360533000,12605000.0,1067158000,27418000,0.326667,144205000,263097300.0,,,,,,,,,,
2017-03-31,5816200000,247676000,-26528000.0,-10844000,-25415000.0,447886000,168085000,,1091266000,-31707000.0,15613000.0,12989000.0,268469000,-412859000,,178030000,5091078000,0.053333,-1851000.0,1395271000,725122000,263903223.0,5645724000,-344265000.0,877343000,129051000,4529645000.0,22611000,-170374000.0,14585000.0,,331803000,-18953000,239414000,242813000,2369000.0,287477000,15020000.0,14874000.0,-91205000,-140805000,35360000,812648000.0,139017000.0,4721669000,3946178000,-16871000,260603000.0,643380000,279801000,114114000,486413000.0,0.0,196272000,154382000,14874000.0,11469432000,268469000,,268469000,10592089000,42466000.0,1097962000,29131000,0.053333,150750000,263061945.0,,,,,,,,,,
