date,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyBeginningCashPosition,quarterlyOperatingExpense,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlyBasicEPS,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyCurrentDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyInterestExpense,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyDilutedAverageShares,quarterlyOperatingCashFlow,quarterlyTotalRevenue,quarterlyIncomeTaxPayable,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyTaxProvision,quarterlyStockBasedCompensation,quarterlyOtherShortTermInvestments,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyFreeCashFlow,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyGoodwill,quarterlyDilutedEPS,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyDepreciationAndAmortization,quarterlyChangeInAccountPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,quarterlyGrossProfit,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyBasicAverageShares,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlyOtherIncomeExpense,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyCashDividendsPaid,quarterlyAccountsReceivable,quarterlyNonCurrentDeferredRevenue,quarterlyCommonStockIssuance,quarterlyCurrentDeferredRevenue,quarterlyResearchAndDevelopment
1991-10-31,,45400000.0,,57400000.0,0.0,115400000.0,,583400000,,5400000.0,-302000000.0,,4300000.0,172100000.0,172100000.0,400000.0,,,,,,,,0.0,760600000,,,,533800000.0,55700000,231800000.0,196000000.0,20800000.0,,,,,63600000,,73100000.0,570700000.0,0.0,546400000,107500000.0,200300000,,,856800000,36600000,310400000.0,22500000.0,,,,273400000.0,33200000.0,,,171100000,36600000,36600000,,0.0,0.0,176400000.0,27800000.0,22800000.0,,2000000.0,,589500000.0,,,,,,
1992-01-31,,45200000.0,,27700000.0,0.0,119400000.0,,593400000,0.0275,5100000.0,-309500000.0,,4300000.0,185400000.0,185400000.0,800000.0,,,,,,,618181818.0,0.0,628500000,,,,537300000.0,26500000,227800000.0,181100000.0,10700000.0,,,,,34900000,,71400000.0,577900000.0,0.0,541500000,111000000.0,185400000,,0.0275,850200000,17000000,308700000.0,21400000.0,,,,256800000.0,35700000.0,,,145900000,17000000,17000000,618181818.0,0.0,0.0,199700000.0,25900000.0,24100000.0,,2000000.0,,482600000.0,,,,,,
1992-04-30,,43600000.0,,33200000.0,0.0,127500000.0,,601900000,0.0325,5700000.0,-317000000.0,,1000000.0,195400000.0,195400000.0,800000.0,,,71200000.0,,,,615384615.0,56500000.0,672300000,,,,540800000.0,31600000,223800000.0,109800000.0,13200000.0,,,,,41000000,,70400000.0,590600000.0,47300000.0,549100000,118100000.0,182000000,,0.0325,854300000,20000000,305200000.0,22700000.0,,,,252400000.0,37800000.0,,,159100000,20000000,20000000,615384615.0,-13200000.0,0.0,199500000.0,23700000.0,24000000.0,,2400000.0,,513200000.0,,,,,,
1992-07-31,,41100000.0,,21200000.0,0.0,127200000.0,-1100000.0,612000000,0.0275,5100000.0,-322200000.0,,200000.0,169300000.0,169300000.0,800000.0,,,74000000.0,-1800000.0,-23800000.0,,585454545.0,2800000.0,671200000,,-5900000.0,-22700000.0,541400000.0,20200000,219200000.0,107600000.0,5100000.0,,,,,28700000,-26100000.0,53600000.0,598100000.0,-3100000.0,548600000,118700000.0,181800000,,0.0275,847400000,16100000,298800000.0,24200000.0,,6700000.0,,235400000.0,38500000.0,,900000.0,147400000,16100000,16100000,585454545.0,-6200000.0,0.0,220700000.0,21800000.0,7600000.0,,1700000.0,,523800000.0,-6900000.0,,,,,
1992-10-31,,40700000.0,,69000000.0,0.0,136000000.0,-4100000.0,644300000,,7900000.0,-327500000.0,,200000.0,225500000.0,225500000.0,1500000.0,,,82700000.0,-4100000.0,26000000.0,,,72900000.0,841700000,,-7800000.0,-6700000.0,543900000.0,68200000,216400000.0,125000000.0,27000000.0,,,,,77000000,56200000.0,60800000.0,629400000.0,65100000.0,609100000,127200000.0,207900000,,,913000000,42000000,303900000.0,37300000.0,,8800000.0,,268700000.0,46800000.0,,100000.0,204200000,42000000,42000000,,-10000000.0,0.0,185900000.0,15900000.0,7600000.0,,2300000.0,,637500000.0,-6800000.0,,,,,
1993-01-31,,41500000.0,,30300000.0,225500000.0,128000000.0,-3500000.0,654800000,0.0325,7300000.0,-321900000.0,,,225000000.0,225000000.0,300000.0,,,80000000.0,-1000000.0,-8700000.0,,593846154.0,16800000.0,682100000,,-6700000.0,-7400000.0,537800000.0,28500000,215900000.0,105800000.0,11000000.0,,,-100000.0,-6900000.0,35800000,-600000.0,50800000.0,632700000.0,10100000.0,584900000,120700000.0,185800000,,0.0325,891400000,19300000,306500000.0,28400000.0,,7300000.0,,236600000.0,49100000.0,,-300000.0,156500000,19300000,19300000,593846154.0,-10000000.0,0.0,198200000.0,14800000.0,7600000.0,-11700000.0,2100000.0,,525600000.0,,,,,,
1993-04-30,,41100000.0,,34400000.0,0.0,128700000.0,3600000.0,663100000,0.035,7500000.0,-328800000.0,,,211100000.0,211100000.0,400000.0,,,74700000.0,-1100000.0,-17100000.0,,617142857.0,11900000.0,676700000,,-19100000.0,-13400000.0,555400000.0,33100000,226600000.0,105800000.0,12800000.0,,,,,41500000,-13800000.0,51600000.0,644800000.0,-7200000.0,584700000,120800000.0,180500000,,0.035,895200000,21600000,310500000.0,30200000.0,,8400000.0,,232100000.0,42800000.0,,-5000000.0,161800000,21600000,21600000,617142857.0,-12300000.0,0.0,215000000.0,13800000.0,7600000.0,-16900000.0,1700000.0,,514900000.0,,,,,,
1993-07-31,,73200000.0,,31200000.0,0.0,131100000.0,-200000.0,673800000,0.0325,25000000.0,-334800000.0,,,154100000.0,154100000.0,300000.0,,,84700000.0,-1000000.0,-22300000.0,,587692308.0,3800000.0,677800000,,-57000000.0,-8600000.0,577200000.0,29900000,242400000.0,121000000.0,12100000.0,,,,,38000000,-57000000.0,52200000.0,655500000.0,-53200000.0,577100000,123200000.0,205700000,,0.0325,931700000,19100000,354600000.0,31900000.0,,8100000.0,,257900000.0,39000000.0,,0.0,161000000,19100000,19100000,587692308.0,-52300000.0,0.0,226100000.0,12800000.0,7500000.0,-10600000.0,1600000.0,,516800000.0,-8500000.0,,,,,
1993-10-31,,72500000.0,,65200000.0,0.0,135400000.0,-20700000.0,570900000,,35700000.0,-340300000.0,,,157600000.0,157600000.0,500000.0,,,98400000.0,-600000.0,18800000.0,,,67300000.0,817400000,,-10700000.0,-10300000.0,585300000.0,64000000,245000000.0,128700000.0,24400000.0,,,0.0,,72400000,3400000.0,295600000.0,551500000.0,56600000.0,619900000,127000000.0,227100000,,,1093600000,-86700000,473700000.0,281700000.0,,8400000.0,,522700000.0,156200000.0,,-100000.0,199400000,-86700000,40800000,,-53500000.0,0.0,208100000.0,8200000.0,5700000.0,16500000.0,1700000.0,,618000000.0,-8400000.0,,,,,
1994-01-31,,71800000.0,,33400000.0,157600000.0,135300000.0,0.0,580700000,0.035,35400000.0,-346700000.0,,,172700000.0,172700000.0,600000.0,,1400000.0,87000000.0,-1400000.0,8500000.0,,588571429.0,36100000.0,716200000,,-13100000.0,-9600000.0,596600000.0,32100000,249900000.0,126800000.0,12800000.0,,,-200000.0,,40700000,15200000.0,298100000.0,561600000.0,23000000.0,614500000,126700000.0,213800000,,0.035,1092600000,20600000,478100000.0,292400000.0,,8600000.0,,511900000.0,156400000.0,,-1100000.0,167400000,20600000,20600000,588571429.0,-11400000.0,0.0,221700000.0,,5700000.0,-13300000.0,1900000.0,,548800000.0,-8500000.0,,,,,
