date,quarterlyBasicEPS,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyTotalAssets,quarterlyAccountsReceivable,quarterlyBasicAverageShares,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyFreeCashFlow,quarterlyOtherShortTermInvestments,quarterlyCapitalExpenditure,quarterlyInterestExpense,quarterlyCommonStockIssuance,quarterlyResearchAndDevelopment,quarterlyNetOtherFinancingCharges,quarterlyTotalNonCurrentAssets,quarterlyCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCashItems,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentLiabilities,quarterlyPretaxIncome,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,quarterlyTaxProvision,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyCapitalStock,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyCurrentDebt,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlyDilutedEPS,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyPurchaseOfBusiness,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGrossPPE,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyRepaymentOfDebt,quarterlyOperatingExpense,quarterlyDilutedAverageShares,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyStockholdersEquity,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyGrossProfit,quarterlyNetOtherInvestingChanges,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyInvestmentsAndAdvances,quarterlyRepurchaseOfCapitalStock,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyIncomeTaxPayable
2017-03-31,-2.04,7166239000.0,248536000.0,25053726000.0,440349000.0,162129000.0,613377000,4525880000.0,-842383000,,-772572000,99346000,400175000.0,322040000,153672000,18025837000.0,7027889000.0,-1232153000.0,554759000.0,-69811000,1598749000,109831000,4006593000.0,4006593000.0,6245439000.0,-371903000,-330277000,388608000.0,25278000,16555136000.0,-3343187000.0,376602000,,161000.0,104045000,103717000,1003311000.0,3393216000,2075333000.0,-2.04,-583479000,0.0,-20769000.0,91541000,,-257549000,2696270000,-262780000,955078000.0,-109147000.0,19256932000.0,16555136000.0,1457892000.0,,-799248000,925495000,162129000.0,-926943000,4006593000,4987719000.0,1460367000.0,2028324000,13011493000.0,,-18098000,2220336000.0,667946000,-45224000.0,-397181000,40984000.0,-330277000,603455000,,,,,
2017-06-30,-2.04,7127094000.0,342824000.0,26043705000.0,453539000.0,165212000.0,-970669000,4752562000.0,-1358084000,,-1157912000,108441000,0.0,369774000,482859000,19684261000.0,6359444000.0,-1453547000.0,568431000.0,-200172000,428767000,177135000,3035924000.0,3035924000.0,6546355000.0,-385780000,-336397000,380847000.0,15647000,18218554000.0,-3679584000.0,389171000,,163000.0,111832000,116042000,816533000.0,4006593000,2359316000.0,-2.04,-537676000,0.0,10961000.0,-14498000,0.0,-240916000,2789557000,-481093000,1035579000.0,0.0,19828967000.0,18218554000.0,1516938000.0,,-814895000,907531000,165212000.0,-1215216000,3035924000,5105752000.0,1510744000.0,2122942000,13282612000.0,,-41208000,2438111000.0,666615000,-57304000.0,-401427000,43766000.0,-336397000,537757000,,,,,
2017-09-30,-3.7,9584554000.0,543336000.0,28107074000.0,607734000.0,167294000.0,494106000,4793050000.0,-1545289000,,-1244727000,117109000,0.0,331622000,122058000,21038341000.0,7068733000.0,-1704132000.0,640393000.0,-300562000,2101506000,107092000,3530030000.0,3530030000.0,6468940000.0,-671448000,-619376000,372238000.0,-285000,19516596000.0,-4298960000.0,400624000,,168000.0,-153715000,112653000,424224000.0,3035924000,2385778000.0,-3.7,702185000,0.0,21250000.0,-182686000,0.0,-535480000,2984675000,-249768000,1082870000.0,0.0,22332357000.0,19516596000.0,1637818000.0,,-1063295000,984620000,167294000.0,-1314932000,3530030000,4711480000.0,1477784000.0,2535535000,15863417000.0,,-24390000,2471382000.0,449140000,-70205000.0,-671163000,45236000.0,-619376000,652998000,,,,,
2017-12-31,-4.01,9456912000.0,787333000.0,28655372000.0,515381000.0,168314000.0,-162116000,4752192000.0,-396252000,,-906143000,146363000,0.0,354637000,46072000,22084852000.0,6570520000.0,-1943904000.0,714845000.0,509891000,285842000,179706000,3367914000.0,3367914000.0,7636147000.0,-779901000,-675350000,361502000.0,-9094000,20491616000.0,-4974299000.0,469606000,,169000.0,-163932000,134348000,858026000.0,3530030000,2390250000.0,-4.01,240120000,0.0,33348000.0,81008000,0.0,-598141000,3288249000,497038000,1177799000.0,-5376000.0,23420784000.0,20491616000.0,1869172000.0,,-1586350000,1036927000,168314000.0,-961876000,3367914000,4237242000.0,1731366000.0,2849463000,15784637000.0,,-41677000,2263537000.0,438786000,-50357000.0,-770807000,60237000.0,-675350000,682290000,,,,,
2018-03-31,-4.19,8763728000.0,629112000.0,27271429000.0,652848000.0,169146000.0,-745251000,3318686000.0,-1127013000,,-728637000,149546000,0.0,367096000,111859000,20887509000.0,6383920000.0,-2276921000.0,849319000.0,-398376000,371660000,153805000,2665673000.0,2665673000.0,8650359000.0,-779022000,-709551000,346428000.0,5605000,19180724000.0,-5051292000.0,416233000,,170000.0,-213243000,141639000,1998030000.0,3964959000,2603498000.0,-4.19,-322081000,,82921000.0,-169142000,,-596974000,3408751000,-325426000,818250000.0,0.0,21956858000.0,19180724000.0,1521288000.0,,-1512767000,1053500000,169146000.0,-728637000,3219708000,4450695000.0,1898431000.0,2952225000,13306499000.0,,-37716000,2565826000.0,456526000,,-784627000,61284000.0,-709551000,686404000,,,,,
2018-06-30,-4.22,9513390000.0,674255000.0,27910000000.0,569874000.0,169997000.0,-436470000,3192315000.0,-806877000,,-677213000,163582000,244196000.0,386129000,153783000,21210203000.0,6699797000.0,-2538165000.0,819246000.0,-129664000,398622000,97432000,2236424000.0,2236424000.0,9141362000.0,-728999000,-717539000,300406000.0,13707000,19591426000.0,-5768831000.0,485255000,,170000.0,-80162000,197344000,2103185000.0,3219708000,3030493000.0,-4.22,-733475000,,18545000.0,70633000,,-517958000,4002231000,-166989000,795820000.0,-5604000.0,23182423000.0,19591426000.0,1518450000.0,,-1022149000,1136888000,169997000.0,-682817000,2783238000,3906421000.0,1814979000.0,3383301000,14041061000.0,,-52523000,3324643000.0,618930000,,-742706000,64284000.0,-717539000,750759000,,,,,
2018-09-30,1.82,9672613000.0,604949000.0,29262713000.0,1155001000.0,170893000.0,739728000,3011081000.0,831516000,,-559765000,175220000,0.0,350848000,139168000,21342222000.0,7920491000.0,-2893379000.0,828654000.0,1391281000,-84218000,77737000,2967504000.0,2967504000.0,9775324000.0,271320000,311516000,291476000.0,16647000,19733969000.0,-5457315000.0,502825000,,171000.0,949365000,204728000,2106538000.0,2783238000,3596984000.0,1.75,-55055000,,8271000.0,-587594000,,442941000,6824413000,351318000,950126000.0,-1200000.0,23960408000.0,19733969000.0,1476758000.0,,-338328000,1080724000,170893000.0,-560965000,3522966000,4508838000.0,1990095000.0,5300748000,14185084000.0,,-3308000,3314127000.0,1523665000,,254673000,65226000.0,311516000,729876000,,,,,
2018-12-31,0.81,9403672000.0,502840000.0,29739614000.0,949022000.0,172026000.0,753422000,3039329000.0,880660000,,-353901000,174723000,0.0,356297000,94785000,21433306000.0,8306308000.0,-3194616000.0,969876000.0,1234561000,-112309000,123385000,3685618000.0,3685618000.0,9992136000.0,231956000,139483000,282492000.0,21878000,19691231000.0,-5317832000.0,496737000,,173000.0,903416000,205313000,2567699000.0,3522966000,3404451000.0,0.78,87347000,,-8218000.0,189371000,,419151000,7225873000,199048000,990873000.0,-11108000.0,23981974000.0,19691231000.0,1422893000.0,,-184099000,1023749000,179026000.0,-365009000,4276388000,4923243000.0,2094253000.0,5782973000,13989838000.0,,-19820000,3113446000.0,1442900000,,210078000,68159000.0,139483000,667452000,,,,,
2019-03-31,-4.1,9787950000.0,480225000.0,28912524000.0,1046945000.0,172989000.0,-1593590000,2686525000.0,-944799000,,-305193000,157453000,,340174000,31928000,21234702000.0,7677822000.0,-3469145000.0,1155546000.0,-639606000,-653019000,28185000,2198169000.0,2198169000.0,9242800000.0,-644772000,-702135000,273568000.0,22873000,19318095000.0,-5923305000.0,467577000,,174000.0,-19742000,208378000,1705711000.0,4276388000,3248827000.0,-4.1,-809152000,,-35019000.0,-99640000,,-478360000,4541464000,-676101000,1157343000.0,-650000.0,23444902000.0,19318095000.0,1531086000.0,,-551056000,1044103000,172989000.0,-305843000,2682798000,4605596000.0,2276951000.0,3975721000,14202102000.0,,-17721000,3836850000.0,565743000,,-667645000,74312000.0,-702135000,703929000,,,,,
2019-06-30,-2.31,11234401000.0,526758000.0,31872597000.0,1147100000.0,176654000.0,2765495000,2716920000.0,590399000,,-273207000,171979000,848232000.0,323898000,-3825000,21690645000.0,10181952000.0,-3856316000.0,1208525000.0,863606000,2142841000,177285000,4954740000.0,4954740000.0,9588773000.0,-369831000,-408334000,327358000.0,19431000,19600979000.0,-6331639000.0,578572000,,179000.0,380720000,209863000,1791085000.0,2682798000,3133587000.0,-2.31,456724000,,-5605000.0,-68672000,,-50113000,6349676000,287148000,1182042000.0,,25302363000.0,19600979000.0,1514400000.0,,-1890970000,971159000,176654000.0,-241545000,5448293000,5715393000.0,2622943000.0,5428630000,15713590000.0,,-158101000,3382358000.0,921046000,,-389262000,153475000.0,-408334000,647261000,,,,,
2019-09-30,0.8,11313000000.0,441000000.0,32795000000.0,1128000000.0,179000000.0,377095000,447000000.0,346400000,,-409600000,185000000,-232000.0,334000000,-318000,21855000000.0,10940000000.0,-4194000000.0,1075000000.0,756000000,118178000,86285000,5338000000.0,5338000000.0,10146000000.0,176000000,143000000,351000000.0,26000000,19845000000.0,-6188000000.0,530851000,,0.0,891851000,198759000,2030000000.0,5448293000,3468000000.0,0.78,-132572000,,-120000000.0,18312000,,261000000,6303000000,-191047000,1140000000.0,,25913000000.0,24039000000.0,1710000000.0,,-2063774000,930000000,184000000.0,-485612000,5826000000,6040000000.0,2497000000.0,5112000000,15767000000.0,,85000000,3581000000.0,1191000000,,150000000,186000000.0,143000000,596000000,,,,,
