date,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyOtherShortTermInvestments,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyInvestmentsAndAdvances,quarterlyDilutedAverageShares,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInventory,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherIncomeExpense,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyDepreciationAndAmortization,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyNetOtherFinancingCharges,quarterlyBasicEPS,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyOtherIntangibleAssets,quarterlyOtherNonCurrentAssets,quarterlyChangeInInventory,quarterlyBasicAverageShares,quarterlyOtherCurrentAssets,quarterlyChangesInAccountReceivables,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlySaleOfInvestment,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyGrossProfit,quarterlyAccountsPayable,quarterlyChangeInAccountPayable,quarterlyOperatingExpense,quarterlyNetOtherInvestingChanges,quarterlyCurrentDeferredRevenue,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyTaxProvision,quarterlyRepaymentOfDebt,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyEbitda,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyStockBasedCompensation,quarterlyDilutedEPS,quarterlyOperatingIncome,quarterlyResearchAndDevelopment,quarterlyRetainedEarnings,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyIncomeTaxPayable,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyDeferredIncomeTax,quarterlyGoodwill,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashDividendsPaid,quarterlyNonCurrentDeferredRevenue
2008-06-30,2033871.0,2945717,10031693,32578172,,1208143.0,2666419.0,276618.0,-1451335,474385.0,,11830943.0,2508256.0,,-1750622,-1750622,3047459.0,-1750622,18509474,-266160,348572.0,18509474,18786092,-2409.0,,72804.0,43518.0,-0.12,11335162,-1474776,3522911.0,34709,,11830943.0,1093968,,,,,7109.0,19960809,4982963.0,2325242,,9861494,0.0,2275000.0,21243010,1696796,,,,6474073,-4529959,-1636086.0,,,-0.12,-4878531,8164698,-243122653,,1827111.0,18290622,22546479,8826906,,4982963,-1211025,25850,-11816549,-263751.0,,,,,
2008-09-30,2015124.0,3405943,9854965,29514946,,1684540.0,4076586.0,279528.0,-4428261,495002.0,,11858519.0,2510126.0,,-6046993,-6046993,-168975.0,-6046993,14081213,-182842,346302.0,14081213,14360741,-2910.0,,73672.0,0.0,-0.479999,13176184,-4407472,3542520.0,34709,,11858519.0,1222654,,,,,7116.0,18509474,5170663.0,3258153,,11108828,0.0,2243750.0,16338762,3173942,,,,6277736,-5591863,2821771.0,0.0,,-0.479999,-5938165,7934886,-249169646,,84822.0,18908322,19659981,10666058,,5170663,-4227540,-17879,-12630586,-179932.0,,,,,
2008-12-31,2000789.0,1703740,8491471,25535828,,1305829.0,4971495.0,282062.0,-2888975,515621.0,,,2516410.0,,-1140534,-1140534,1717277.0,-1140534,11192238,-437416,425552.0,11192238,11474300,-2534.0,,73877.0,0.0,,9803986,-2909597,3267778.0,34709,,,0,,,,,7110.0,14081213,5479912.0,2014130,,8373639,0.0,2190000.0,15731842,2943530,,,,5188984,-2468175,-1651625.0,37287.0,,,-2893727,5430109,-250310180,,-2124732.0,18108355,17044357,7287576,,5479912,-2474715,23156,-12919371,-434882.0,,,,,
2009-03-31,2511000.0,7139000,8238000,37017000,0.0,964000.0,3126000.0,285000.0,13531000,0.0,,13459860.0,2511000.0,,-927000,-927000,2622000.0,-927000,24723000,-299000,367000.0,24723000,25008000,-3000.0,,75000.0,0.0,-0.06,14127000,-1911000,3269000.0,35000,,13459860.0,645000,,,,,9000.0,11192000,3150000.0,1279000,,6715000,0.0,2159000.0,22890000,2220000,,-19000.0,,4934000,-3198000,520000.0,15464000.0,520000.0,-0.06,-3565000,4495000,-251237000,0.0,819000.0,18141000,28779000,11616000,,3150000,-1615000,15445000,-13207000,-296000.0,,,,,
2009-06-30,2541000.0,21604000,8288000,32617000,0.0,974000.0,3360000.0,168000.0,-4686000,0.0,,14277361.0,2541000.0,,-19668000,-19668000,-14572000.0,-19668000,20037000,-284000,356000.0,20037000,20205000,,,76000.0,-43000.0,-1.379997,28829000,-4791000,3452000.0,78000,,14277361.0,764000,,,,,9000.0,24723000,2945000.0,1506000,,8010000,0.0,2128000.0,3788000,2206000,,-18000.0,,4758000,-4709000,561000.0,49000.0,561000.0,-1.379997,-5065000,5804000,-270905000,0.0,-204000.0,18250000,24329000,26288000,,2945000,-4390000,-12000,-13492000,-401000.0,,,,,
2009-09-30,1950000.0,35486000,8176000,65123000,0.0,1098000.0,5671000.0,169000.0,30231000,610000.0,,15876865.0,2560000.0,,-8090000,-8090000,-5039000.0,-8090000,50268000,-331000,357000.0,50268000,50437000,,127000.0,76000.0,43000.0,-0.479999,45619000,-2068000,3580000.0,2494000,,15876865.0,839000,,,,-1000.0,11000.0,20037000,6349000.0,4303000,,9273000,0.0,2096000.0,19504000,1800000,,-12000.0,,2102000,-2924000,5039000.0,32269000.0,511000.0,-0.479999,-2924000,7473000,-278994000,0.0,316000.0,15837000,56947000,43059000,,6349000,-1738000,32300000,-13735000,-330000.0,,,,,
2009-12-31,1924000.0,27699000,8717000,60027000,0.0,922000.0,2085000.0,171000.0,-1993000,966000.0,,,2890000.0,,3525000,3525000,,3525000,48275000,-969000,299000.0,48275000,48446000,,312000.0,77000.0,0.0,,36397000,-2024000,3759000.0,2492000,,,779000,,,,-2000.0,11000.0,50268000,5141000.0,1381000,,9095000,0.0,3428000.0,23630000,2470000,,-25000.0,,2466000,-3655000,-7791000.0,58000.0,782000.0,,-3954000,6625000,-275469000,0.0,2002000.0,16492000,51310000,33507000,,5141000,-1057000,33000,-14026000,-967000.0,,,,,
2010-03-31,3011000.0,20598000,8676000,52825000,0.0,495000.0,1648000.0,172000.0,-6837000,0.0,,18404870.0,3011000.0,,-584000,-584000,7109000.0,-584000,41438000,-505000,347000.0,41438000,41610000,-1000.0,,78000.0,0.0,-0.06,29352000,-6816000,3832000.0,111000,,18404870.0,891000,334000.0,,,,11000.0,48275000,1205000.0,1761000,85000.0,8940000,0.0,3409000.0,23473000,2844000,,-20000.0,,4733000,-7388000,426000.0,0.0,426000.0,-0.06,-7735000,6096000,-276053000,,419000.0,18871000,44149000,26341000,,1205000,-6312000,-20000,-14138000,-504000.0,,,,,
2010-06-30,1883000.0,29617000,8735000,48667000,0.0,1837000.0,2153000.0,,-4696000,1075000.0,,18397203.0,2958000.0,,-16656000,-16656000,-9040000.0,-16656000,36742000,-460000,351000.0,36742000,36742000,1000.0,,79000.0,0.0,-0.899998,40226000,-4694000,4068000.0,111000,,18397203.0,1037000,,,,,11000.0,41438000,3997000.0,2369000,,11664000,-3000.0,3366000.0,8441000,4733000,,-19000.0,,4556000,-7316000,1605000.0,19000.0,1605000.0,-0.899998,-7667000,6931000,-292709000,,1376000.0,18949000,39932000,37268000,,3997000,-4236000,0,-14393000,-458000.0,,,,,
2010-09-30,1863000.0,33182000,8546000,50860000,0.0,2223000.0,5241000.0,,-775000,1069000.0,,18627870.0,2932000.0,,-7293000,-7293000,-3578000.0,-7293000,35967000,-489000,355000.0,35967000,35967000,-5000.0,,80000.0,0.0,-0.419999,46697000,-3260000,4301000.0,111000,,18627870.0,1106000,,,,,11000.0,36742000,8702000.0,4945000,,12499000,0.0,3335000.0,4163000,3440000,,-19000.0,,4134000,-3442000,509000.0,2506000.0,509000.0,-0.419999,-3797000,9059000,-300002000,3000.0,5157000.0,18812000,42314000,43765000,,8702000,-2773000,2487000,-14678000,-487000.0,,,,,
2010-12-31,1842000.0,39146000,8138000,45976000,0.0,2015000.0,3224000.0,,-2378000,1094000.0,,,2936000.0,,-7644000,-7644000,-5993000.0,-7644000,33589000,-507000,410000.0,33589000,33589000,-2000.0,,81000.0,0.0,,48793000,-2393000,3980000.0,123000,,,1025000,,,,0.0,11000.0,35967000,15517000.0,1311000,,17257000,0.0,3304000.0,-2817000,3365000,,-19000.0,,4035000,-1330000,644000.0,36000.0,629000.0,,-1740000,13892000,-307646000,0.0,-7302000.0,18998000,37838000,45857000,,15517000,-1888000,17000,-14963000,-505000.0,,,,,
2011-03-31,1821000.0,31262000,8536000,47031000,0.0,2088000.0,13576000.0,,-10306000,1070000.0,,20214207.0,2891000.0,,1833000,1833000,7274000.0,1833000,23283000,-336000,239000.0,23283000,23283000,0.0,,82000.0,0.0,0.12,46111000,-10402000,4074000.0,386000,,18747037.0,15212000,-11226000.0,,,0.0,11000.0,33589000,14296000.0,6484000,5191000.0,19827000,0.0,3304000.0,920000,5026000,,-20000.0,,4076000,-5531000,1145000.0,116000.0,1145000.0,0.12,-5531000,14801000,-305813000,0.0,-6035000.0,19226000,38495000,43220000,,14296000,-10066000,96000,-15150000,-336000.0,,,,,
2011-06-30,1800000.0,20025000,8910000,74933000,0.0,2551000.0,10892000.0,,30905000,1046000.0,,23152712.0,2846000.0,,1279000,1279000,11253000.0,1279000,54188000,-865000,251000.0,54188000,54188000,,,83000.0,0.0,0.06,39784000,-1307000,4459000.0,123000,,22348378.0,11835000,3640000.0,,,,14000.0,23283000,11585000.0,10975000,4906000.0,21710000,0.0,3304000.0,35149000,3960000,,-20000.0,,4328000,-10125000,717000.0,32232000.0,717000.0,0.06,-10125000,17750000,-304534000,0.0,8546000.0,19666000,66023000,36938000,,11585000,-442000,32212000,-15338000,-865000.0,,,,,
2011-09-30,1778000.0,12994000,9138000,61083000,0.0,2250000.0,4267000.0,,-7832000,1022000.0,,22623045.0,2800000.0,,-4020000,-4020000,7052000.0,-4020000,46356000,-320000,273000.0,46356000,46356000,,,84000.0,0.0,-0.18,29331000,-7843000,4698000.0,139000,,22623045.0,5589000,6230000.0,,,,13000.0,54188000,7524000.0,7899000,-3772000.0,18795000,0.0,3304000.0,31752000,3185000,,-21000.0,,4301000,-11271000,-11072000.0,32000.0,592000.0,-0.18,-11271000,15610000,-308554000,,2458000.0,19843000,51945000,26531000,,7524000,-7523000,11000,-15542000,-320000.0,,,,,
2011-12-31,1757000.0,5572000,9184000,54368000,0.0,2244000.0,3633000.0,,-6452000,993000.0,,,2750000.0,,-1410000,-1410000,7443000.0,-1410000,39904000,-784000,537000.0,39904000,39904000,0.0,,85000.0,0.0,,23351000,-6432000,4764000.0,155000,,,1647000,293000.0,,,,13000.0,46356000,13585000.0,9396000,1671000.0,22585000,0.0,3304000.0,31017000,3884000,,-20000.0,,4265000,-8463000,-6535000.0,0.0,675000.0,,-9000000,18701000,-309964000,,1964000.0,20030000,45184000,20601000,,13585000,-5648000,-20000,-15765000,-784000.0,,,,,
2012-03-31,1735000.0,16486000,9015000,46647000,0.0,1852000.0,5135000.0,,-9331000,967000.0,,22623878.0,2702000.0,,-17704000,-17704000,-10926000.0,-17704000,30573000,-262000,353000.0,30573000,30573000,,,86000.0,0.0,-0.779998,32625000,-9311000,4704000.0,206000,,22623878.0,1924000,-1830000.0,,,,13000.0,39904000,11212000.0,8195000,-1567000.0,18086000,0.0,3304000.0,14022000,3281000,,-21000.0,,4105000,-6521000,-17704000.0,1000.0,708000.0,-0.779998,-6874000,14805000,-327668000,,7529000.0,20087000,37632000,29923000,,11212000,-9049000,-20000,-15982000,-262000.0,,,,,
2012-06-30,1713000.0,2991000,8869000,42101000,0.0,1936000.0,7180000.0,,-6082000,757000.0,,22658135.0,2470000.0,,8038000,8038000,13488000.0,8038000,24491000,-379000,362000.0,24491000,24491000,,,87000.0,0.0,0.359999,19601000,-6061000,4740000.0,231000,,22624135.0,1561000,-1707000.0,,,,2000.0,30573000,11207000.0,8813000,615000.0,16764000,0.0,3304000.0,22500000,2915000,,-21000.0,,3898000,-5195000,8038000.0,0.0,440000.0,0.349799,-5557000,13849000,-319630000,,-14580000.0,20106000,33232000,17131000,,11207000,-5682000,-21000,-16208000,-379000.0,,,,,
2012-09-30,1690000.0,45294000,10923000,53082000,0.0,2180000.0,2474000.0,,13496000,758000.0,,22824000.0,2448000.0,,-49554000,-49554000,-42716000.0,-49554000,37987000,-81000,375000.0,37987000,37987000,,,88000.0,0.0,-2.17,57648000,-7886000,4837000.0,2425000,,22824000.0,4172000,2375000.0,,,,2000.0,24491000,7574000.0,4334000,-4468000.0,14479000,0.0,3304000.0,-4566000,3565000,,-22000.0,,3661000,-6905000,-49554000.0,21404000.0,692000.0,-2.17,-6905000,10914000,-369184000,0.0,40623000.0,20105000,42159000,55200000,,7574000,-7805000,21382000,-16444000,-81000.0,,,,,
2012-12-31,1668000.0,65220000,11085000,204993000,0.0,2741000.0,4713000.0,,149674000,760000.0,,,2428000.0,,-62067000,-62067000,-51784000.0,-62067000,187661000,-423000,435000.0,187661000,187661000,0.0,,89000.0,0.0,,81314000,-7581000,4913000.0,2775000,,,1534000,-2425000.0,,,0.0,3000.0,37987000,7336000.0,7532000,3702000.0,17703000,0.0,3304000.0,123679000,4869000,,-21000.0,,3397000,-9932000,1238000.0,157276000.0,1238000.0,,-10367000,12834000,-431251000,0.0,-38877000.0,20105000,193908000,78886000,,7336000,-7158000,157255000,-16708000,-423000.0,,,,,
2013-03-31,1645000.0,91092000,16746000,193340000,0.0,1520000.0,5652000.0,,-19742000,755000.0,7250000.0,31813000.0,2400000.0,,-42084000,-42084000,-26906000.0,-42084000,167919000,-7720000,451000.0,167919000,167919000,-7250000.0,,90000.0,0.0,-1.32,106059000,-15463000,4883000.0,1525000,,31813000.0,3023000,-1178000.0,,,0.0,3000.0,187661000,4474000.0,7073000,,19889000,0.0,3884000.0,87281000,6127000,,-22000.0,-42084000.0,3088000,-14964000,1671000.0,2993000.0,1671000.0,-1.32,-15415000,13762000,-473335000,0.0,-2133000.0,20112000,176594000,103659000,,4474000,-14993000,2971000,-17024000,-470000.0,,,,,
2013-06-30,1622000.0,79131000,10727000,183633000,0.0,1986000.0,3788000.0,,-11734000,757000.0,557000.0,31984000.0,2379000.0,,-19051000,-19051000,-1945000.0,-19051000,156185000,-1453000,260000.0,156185000,156185000,-557000.0,,90000.0,-178000.0,-0.6,94812000,-12898000,5186000.0,1625000,,31984000.0,5683000,1727000.0,,,0.0,3000.0,167919000,2951000.0,6727000,,20038000,0.0,4499000.0,88821000,7054000,,-23000.0,-19051000.0,3359000,-16827000,2318000.0,1922000.0,2318000.0,-0.6,-17087000,12984000,-492386000,0.0,2388000.0,20532000,172906000,92433000,,2951000,-12002000,1721000,-17173000,-896000.0,,,,,
2013-09-30,1599000.0,36009000,14057000,304479000,0.0,2909000.0,6721000.0,,117459000,4795000.0,557000.0,33943000.0,6394000.0,,-42030000,-42030000,-17160000.0,-42030000,273644000,-1677000,287000.0,273644000,273644000,0.0,,91000.0,0.0,-1.24,57495000,-21555000,5231000.0,25000,,33943000.0,2807000,-1069000.0,,,0.0,4000.0,156185000,4168000.0,8129000,,29101000,0.0,3963000.0,246984000,8014000,,-22000.0,-42030000.0,8244000,-24646000,3487000.0,139036000.0,3487000.0,-1.24,-24933000,21087000,-534416000,0.0,1092000.0,25589000,290422000,51101000,,4168000,-19878000,139014000,-17345000,-1677000.0,,,,,
2013-12-31,1576000.0,9894000,20763000,291569000,0.0,5047000.0,3530000.0,,-16679000,0.0,647000.0,37596000.0,8411000.0,,-8820000,-8820000,23984000.0,-8820000,256965000,-822000,279000.0,256965000,256965000,-90000.0,,92000.0,-48000.0,-0.23,44377000,-18554000,5042000.0,25000,,37596000.0,3061000,3321000.0,,,0.0,4000.0,273644000,2626000.0,17634000,,35475000,-7897000.0,3299000.0,247192000,10399000,,-22000.0,-8820000.0,15049000,-32849000,3651000.0,2035000.0,3651000.0,-0.23,-32849000,25076000,-543236000,0.0,10922000.0,32377000,270806000,35966000,,2626000,-17822000,1965000,-17328000,-732000.0,,,,,
2014-03-31,1551000.0,10300000,26019000,275389000,0.0,13729000.0,7849000.0,176091000.0,-207864000,0.0,647000.0,37821000.0,8669000.0,,-28273000,-28273000,-3251000.0,-28273000,49101000,-182289000,523000.0,49101000,225192000,-176669000.0,,94000.0,0.0,-0.75,46427000,-33885000,5217000.0,25000,,37821000.0,9079000,-10337000.0,-59000.0,,0.0,4000.0,256965000,6088000.0,7721000,,31209000,0.0,3303000.0,228962000,10303000,,-23000.0,-28273000.0,20130000,-24598000,4861000.0,2713000.0,4342000.0,-0.75,-25121000,20906000,-571509000,0.0,-8633000.0,37233000,249370000,37758000,,6088000,-28265000,2690000,-17103000,-5620000.0,,,,,
2014-06-30,1525000.0,10857000,32638000,337309000,0.0,9907000.0,5226000.0,176785000.0,53653000,0.0,647000.0,39862000.0,7984000.0,,-33874000,-33874000,-3784000.0,-33874000,102754000,-2877000,960000.0,102754000,279539000,-49947000.0,,96000.0,0.0,-0.85,37388000,-44353000,5387000.0,6441000,,39862000.0,15906000,-10620000.0,-35000.0,,51919000.0,4000.0,49101000,2583000.0,1309000,,32854000,3250000.0,3303000.0,299921000,12213000,,-24000.0,-33874000.0,20163000,-29311000,6195000.0,96058000.0,5587000.0,-0.85,-30271000,20641000,-605383000,,-16615000.0,38108000,304671000,29404000,,2583000,-39504000,96034000,-17945000,-4849000.0,,,,,
2014-09-30,3763000.0,1061000,49243000,319058000,0.0,9602000.0,3362000.0,183718000.0,-50455000,0.0,647000.0,41066000.0,10128000.0,,-29226000,-29226000,4256000.0,-29226000,52299000,-20541000,1049000.0,52299000,236017000,-45573000.0,,2512000.0,0.0,-0.71,32854000,-48219000,5689000.0,5729000,,41066000.0,26436000,21125000.0,-55000.0,,37930000.0,4000.0,102754000,1059000.0,967000,,34734000,0.0,3362000.0,286204000,12882000,,-23000.0,-29226000.0,37178000,-32626000,1083000.0,5430000.0,4649000.0,-0.71,-33675000,21852000,-634609000,,-8258000.0,56043000,269815000,22726000,,1059000,-35321000,5407000,-18865000,-12898000.0,,,,,
2014-12-31,3738000.0,1185000,47237000,295033000,0.0,11196000.0,2416000.0,136793000.0,21252000,0.0,,41304000.0,10513000.0,,-44416000,-44416000,0.0,-44416000,73551000,46677000,1158000.0,73551000,210344000,-2179000.0,,2590000.0,0.0,-1.08,47380000,-28907000,5891000.0,2845000,,41304000.0,1571000,946000.0,-95000.0,,52314000.0,4000.0,52299000,27000.0,12408000,,44749000,4000000.0,3318000.0,247653000,13917000,,-24000.0,-44416000.0,38501000,-44722000,-19000.0,48000.0,5767000.0,-1.08,-44722000,30832000,-679025000,,11370000.0,58397000,247796000,36867000,,27000,-25449000,24000,-19896000,-3458000.0,,,,,
2015-03-31,1450000.0,1256000,49659000,242708000,0.0,12017000.0,2416000.0,91787000.0,885000,0.0,783000.0,41324000.0,8043000.0,,-61559000,-61559000,0.0,-61559000,74436000,43827000,1280000.0,74436000,166223000,0.0,,4930000.0,0.0,-1.49,41949000,-44271000,5842000.0,6058000,,41324000.0,443000,0.0,-17000.0,,44750000.0,4000.0,73551000,0.0,9318000,,61862000,0.0,3363000.0,200759000,22697000,,-25000.0,-61559000.0,37759000,-61862000,14471000.0,431000.0,14156000.0,-1.49,-61862000,39165000,-740584000,,2329000.0,58796000,193049000,33906000,,0,-43348000,406000,-21037000,-923000.0,,,,,
2015-06-30,20652000.0,1372000,49316000,231710000,0.0,10229000.0,2416000.0,87349000.0,-4898000,0.0,,41357000.0,27372000.0,,-41851000,-41851000,0.0,-41851000,69538000,3383000,1291000.0,69538000,156887000,-49631000.0,,5008000.0,540000.0,-1.01,66334000,-29417000,6024000.0,6096000,,41357000.0,455000,0.0,-19000.0,,53900000.0,4000.0,74436000,0.0,14095000,,42107000,0.0,3303000.0,165376000,11289000,,-24000.0,-41851000.0,37196000,-40816000,6228000.0,,5930000.0,-1.01,-42107000,29180000,-782435000,,5800000.0,59389000,182394000,38962000,,0,-28531000,20250000,-22193000,-886000.0,,,,,
2015-09-30,17397000.0,1283000,62643000,184751000,0.0,13499000.0,2733000.0,44090000.0,-13719000,0.0,,41565000.0,23848000.0,,-51939000,-51939000,0.0,-51939000,55819000,31019000,1312000.0,55819000,99909000,-10696000.0,,5889000.0,0.0,-1.25,61515000,-47803000,6116000.0,19148000,,41565000.0,634000,-317000.0,-1000.0,,43204000.0,4000.0,69538000,0.0,7431000,,51763000,0.0,3303000.0,123236000,13280000,,-2524000.0,-51939000.0,37379000,-50451000,5875000.0,4233000.0,5683000.0,-1.25,-51763000,36673000,-834374000,,-1610000.0,60747000,122108000,37667000,,0,-46314000,1576000,-23368000,-1489000.0,,,,,
2015-12-31,14969000.0,1275000,49239000,273782000,0.0,20864000.0,3977000.0,112187000.0,24485000,0.0,11478000.0,44882000.0,21141000.0,,-64681000,-64681000,0.0,-64681000,80304000,-69819000,1364000.0,80304000,192491000,-112369000.0,,8429000.0,0.0,-1.44,83435000,-32807000,6642000.0,5253000,,44882000.0,1201000,-1244000.0,-111000.0,,44085000.0,5000.0,55819000,1253000.0,20234000,,65705000,0.0,3303000.0,190347000,24329000,,-25000.0,-64681000.0,37344000,-64452000,6195000.0,125601000.0,6348000.0,-1.44,-64452000,41376000,-899055000,,25466000.0,61938000,224543000,62294000,,1253000,-31272000,125576000,-24594000,-1535000.0,,,,,
2016-03-31,13373000.0,1303000,52638000,213364000,,19724000.0,3990000.0,91155000.0,-42303000,0.0,,45697000.0,19242000.0,,-59770000,-59770000,0.0,-59770000,38001000,19422000,1397000.0,38001000,129156000,,,7604000.0,0.0,-1.31,74402000,-62266000,6728000.0,1024000,,45697000.0,1071000,-13000.0,-5000.0,,21000000.0,5000.0,80304000,,18673000,,59702000,0.0,3303000.0,138962000,17906000,,-2525000.0,-59770000.0,36982000,-58305000,7077000.0,,6835000.0,-1.31,-59702000,38826000,-958825000,,-9407000.0,62808000,160726000,55160000,,0,-60688000,-1037000,-25826000,-1578000.0,,,,,
2016-06-30,10111000.0,1324000,50874000,204068000,,29497000.0,3982000.0,11396000.0,73818000,0.0,11478000.0,46157000.0,15678000.0,,-62301000,-62301000,0.0,-62301000,111819000,78935000,1476000.0,111819000,123215000,,,10106000.0,0.0,-1.35,82609000,-44061000,6991000.0,1026000,,46157000.0,1105000,8000.0,1000.0,,79712000.0,5000.0,38001000,,17133000,,62100000,0.0,3303000.0,121459000,17752000,,-26000.0,-62301000.0,36158000,-62100000,6982000.0,,6830000.0,-1.35,-62100000,44348000,-1021126000,,10550000.0,63306000,153194000,66930000,,0,-43284000,38167000,-27148000,-777000.0,,,,,
2016-09-30,8491000.0,1300000,52566000,487310000,,21890000.0,3986000.0,0.0,283321000,0.0,11479000.0,48254000.0,13753000.0,2921000.0,-56742000,-56742000,0.0,-56742000,395140000,10224000,1074000.0,395140000,395140000,0.0,,10107000.0,364951000.0,-1.18,78686000,-61780000,8111000.0,1026000,,48254000.0,1556000,-4000.0,0.0,,11389000.0,5000.0,111819000,,20684000,,56533000,0.0,3303000.0,408624000,22184000,,-2525000.0,-56742000.0,35620000,-56533000,9507000.0,,9428000.0,-1.18,-56533000,34349000,-1077868000,,-14979000.0,64046000,434744000,64933000,,0,-60615000,333712000,-28426000,-1165000.0,,,,,
2016-12-31,6042000.0,1305000,50628000,424104000,130000.0,22268000.0,5228000.0,195425000.0,-272720000,0.0,,54619000.0,11991000.0,12813000.0,-88452000,-88452000,0.0,-88452000,122420000,-198774000,1664000.0,122420000,317845000,-195427000.0,,10108000.0,0.0,-1.62,87413000,-84579000,8076000.0,1026000,-9892000.0,54619000.0,914000,-1242000.0,-120000.0,,-1000.0,5000.0,395140000,5291000.0,29690000,,93686000,0.0,3303000.0,336691000,22937000,,-2527000.0,-88452000.0,37801000,-88395000,762000.0,-149000.0,6869000.0,-1.62,-88395000,70749000,-1166320000,,-1931000.0,68147000,373476000,75422000,,5421000,-81233000,7287000,-30346000,-3346000.0,,,,,
2017-03-31,2343000.0,1377000,54226000,511533000,252000.0,25105000.0,12278000.0,115590000.0,152303000,0.0,,56012000.0,7762000.0,30445000.0,84090000,84090000,125000000.0,84090000,274859000,209985000,1637000.0,274723000,391097000,,,11346000.0,0.0,1.53,82391000,-63598000,7684000.0,1026000,-17632000.0,54850000.0,956000,-7050000.0,-55000.0,,90695000.0,5000.0,122556000,16090000.0,27446000,,55335000,125000000.0,3303000.0,429142000,26216000,2000000.0,-2543000.0,86090000.0,38412000,-39245000,5694000.0,,5712000.0,1.5,-39245000,29119000,-1082230000,,-24794000.0,69900000,457307000,74629000,,16342000,-57888000,206000,-31488000,-5710000.0,,,,,
2017-06-30,0.0,1340000,59554000,450139000,534000.0,29280000.0,17791000.0,132598000.0,-106375000,0.0,,54976000.0,6407000.0,41754000.0,-63046000,-63046000,-2839000.0,-63046000,168484000,-20054000,1772000.0,168348000,301730000,,,11217000.0,0.0,-1.15,72367000,-88374000,7795000.0,1026000,-11309000.0,54976000.0,1140000,-5513000.0,-38000.0,,83521000.0,6000.0,274859000,34477000.0,10921000,,94977000,0.0,3303000.0,377772000,36069000,-109000.0,-2511000.0,-63155000.0,39393000,-60500000,10340000.0,,10465000.0,-1.15,-60500000,58908000,-1145276000,,-34332000.0,72440000,390585000,65960000,,35011000,-85147000,-1174000,-33047000,-3227000.0,,,,,
2017-09-30,26550000.0,1366000,64673000,800281000,3078000.0,37604000.0,24751000.0,0.0,449283000,0.0,,61528000.0,32655000.0,64693000.0,-47734000,-47734000,-25588000.0,-47734000,617767000,124949000,2559000.0,617630000,618414000,0.0,,4732000.0,0.0,-0.78,103125000,-65658000,14029000.0,1146000,-22939000.0,61528000.0,1022000,-6960000.0,-12000.0,,132704000.0,6000.0,168484000,42876000.0,5317000,,63195000,0.0,3303000.0,697156000,28176000,2011000.0,-33035000.0,-45723000.0,38872000,-19539000,6921000.0,353959000.0,6922000.0,-0.78,-20319000,34239000,-1193010000,,-19837000.0,73549000,735608000,70470000,3493000.0,45954000,-57903000,382237000,-34677000,-7755000.0,,,,,
2017-12-31,424876000.0,1392000,79320000,1307964000,3546000.0,68982000.0,29468000.0,479369000.0,-17940000,0.0,9980000.0,64277000.0,430415000.0,83605000.0,-23998000,-23998000,1739000.0,-23998000,599827000,-493695000,2124000.0,599691000,1079060000,-489172000.0,,6175000.0,-66055000.0,-0.37,518747000,-35581000,14355000.0,21809000,-18912000.0,64277000.0,36511000,-4717000.0,-379000.0,,0.0,6000.0,617767000,53731000.0,8467000,,76878000,0.0,3316000.0,789217000,32221000,-1842000.0,-16665000.0,-25840000.0,43156000,-22931000,6622000.0,0.0,7366000.0,-0.37,-23147000,44441000,-1217008000,,-18498000.0,61178000,1228644000,88332000,943000.0,57277000,-31058000,506813000,-18022000,-4523000.0,,,,,
