date,quarterlySaleOfInvestment,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyRepurchaseOfCapitalStock,quarterlyBasicAverageShares,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyStockBasedCompensation,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyEbitda,quarterlyChangeInAccountPayable,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyOperatingExpense,quarterlyGrossProfit,quarterlyChangeInInventory,quarterlyOtherNonCashItems,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyDilutedEPS,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyNetPPE,quarterlyTotalRevenue,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingIncome,quarterlyCapitalExpenditure,quarterlyAccumulatedDepreciation,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyOperatingCashFlow,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherCurrentLiabilities,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyCostOfRevenue,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyDepreciationAndAmortization,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyPurchaseOfInvestment,quarterlyChangesInAccountReceivables,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyBasicEPS,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,quarterlyFreeCashFlow,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyNetOtherFinancingCharges,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyInvestmentsAndAdvances,quarterlyOtherShortTermInvestments,quarterlyCashDividendsPaid
1999-05-31,,,1997500000.0,-53500000.0,150512821.0,23600000.0,,,103400000.0,714600000.0,,1326500000.0,0.0,135300000,,5800000.0,-61000000.0,335600000.0,439900000.0,-95700000.0,-7800000.0,1236900000.0,977600000.0,304600000.0,,926400000.0,0.39,,93100000.0,34400000.0,1197800000.0,1581700000.0,970200000,-45200000.0,104300000,-61000000.0,-415800000.0,-600000.0,80700000.0,105600000.0,58700000,58700000,263000000.0,,,150512821.0,2100000.0,530300000.0,,845700000.0,,-100000.0,1091500000.0,5800000.0,5800000.0,31000000.0,,6300000.0,,,11100000.0,,0.39,98500000.0,1904000000.0,58700000,313400000.0,44600000.0,1993600000.0,3230500000.0,-100000.0,,,,,,
1999-08-31,,,2089100000.0,-103600000.0,,-20200000.0,,,63600000.0,757400000.0,,1323800000.0,0.0,212600000,,5900000.0,-102200000.0,461600000.0,633400000.0,-39500000.0,-1000000.0,1225100000.0,1000600000.0,420800000.0,,960400000.0,,,156300000.0,57600000.0,1296500000.0,1638500000.0,1392700000,-58800000.0,171800000,-102200000.0,-450600000.0,200000.0,72100000.0,161200000.0,98700000,98700000,243200000.0,,,,2200000.0,759300000.0,,888300000.0,,-100000.0,1129700000.0,5900000.0,5900000.0,40800000.0,1500000.0,5800000.0,,,15400000.0,,,83900000.0,1961000000.0,98700000,337300000.0,59000000.0,2059700000.0,3284800000.0,500000.0,,,,,,
1999-11-30,,,2159100000.0,-151900000.0,140000000.0,-60900000.0,,1225500000.0,55400000.0,730500000.0,,1225500000.0,0.0,135800000,,6700000.0,-65300000.0,345900000.0,451600000.0,-51100000.0,900000.0,1276100000.0,990900000.0,315800000.0,,1150100000.0,0.4,,91100000.0,35100000.0,,1675700000.0,1006500000,39900000.0,105700000,-65300000.0,-483400000.0,800000.0,67500000.0,26100000.0,56000000,56000000,260400000.0,,,140000000.0,1200000.0,554900000.0,,1082600000.0,,0.0,1180800000.0,6700000.0,6700000.0,30100000.0,,5900000.0,,,14600000.0,,0.4,79500000.0,2141000000.0,56000000,335200000.0,-39200000.0,2090400000.0,3366500000.0,-3600000.0,,,,,,
2000-02-29,,,2200600000.0,-67400000.0,139642857.0,-3000000.0,,1200200000.0,58000000.0,691200000.0,,1200200000.0,-4000000.0,111000000,,6800000.0,-55400000.0,339300000.0,419400000.0,33400000.0,9300000.0,1231100000.0,1002400000.0,308400000.0,,1141700000.0,0.28,,63600000.0,24500000.0,,1699900000.0,924200000,-20700000.0,80100000,-60700000.0,-500700000.0,100000.0,67500000.0,76300000.0,39100000,39100000,263100000.0,,,139642857.0,3300000.0,504800000.0,,1074200000.0,,0.0,1147400000.0,6800000.0,6800000.0,30900000.0,,6700000.0,,,16500000.0,48100000.0,0.28,80100000.0,2144100000.0,39100000,333200000.0,15600000.0,2113200000.0,3344300000.0,3700000.0,,,,,,
2000-05-31,,,2248057000.0,-157208000.0,134424000.0,11372000.0,,1145572000.0,50330000.0,659019000.0,,1145572000.0,-113000.0,159809000,,6821000.0,-53157000.0,356359000.0,483043000.0,14211000.0,2397000.0,1208339000.0,919170000.0,323234000.0,,1278067000.0,0.5,,109265000.0,42000000.0,,1720274000.0,1059415000,-60960000.0,126684000,-54144000.0,-527783000.0,3000.0,62656000.0,114120000.0,67265000,67265000,260151000.0,,,134424000.0,3177000.0,576372000.0,,1215411000.0,,0.0,1133182000.0,6821000.0,6821000.0,33081000.0,,6800000.0,,,17419000.0,,0.5,82984000.0,2197237000.0,67265000,331212000.0,59976000.0,2134470000.0,3342809000.0,-100000.0,,,,,,
2000-08-31,,,2320376000.0,-263417000.0,,127710000.0,,-4468000.0,49426000.0,788825000.0,,992179000.0,-350000.0,232294000,,6969000.0,-68492000.0,453593000.0,653168000.0,24204000.0,,1186780000.0,1034544000.0,420874000.0,,1306495000.0,,,171220000.0,66000000.0,1564118000.0,1758440000.0,1492645000,-227800000.0,199575000,-69513000.0,-561936000.0,148000.0,56558000.0,296440000.0,105220000,105220000,245719000.0,,,,-2222000.0,839477000.0,,1249937000.0,,0.0,1108978000.0,6969000.0,6969000.0,32719000.0,1543000.0,6821000.0,,,28355000.0,,,63504000.0,2341039000.0,105220000,324494000.0,226927000.0,2146438000.0,3333218000.0,10610000.0,,,,,,
2000-11-30,,,2339830000.0,-154640000.0,116717000.0,-56673000.0,,,0.0,791611000.0,,895851000.0,-18469000.0,141232000,,7041000.0,-34018000.0,365261000.0,476029000.0,-71021000.0,,1256358000.0,1047374000.0,334797000.0,,1466483000.0,0.46,,87788000.0,34000000.0,1617906000.0,1749414000.0,1063566000,6511000.0,110768000,-55048000.0,-590416000.0,72000.0,58105000.0,27579000.0,53788000,53788000,34259000.0,221504000.0,24772000.0,117050000.0,1543000.0,587537000.0,324470000.0,1408378000.0,,0.0,1179999000.0,7041000.0,7041000.0,30464000.0,,6969000.0,,,22980000.0,,0.46,31346000.0,2513857000.0,53788000,,-27469000.0,2153350000.0,3409708000.0,1167000.0,,,,,,
2001-02-28,,,2371747000.0,-50072000.0,113908000.0,-96572000.0,,,0.0,659284000.0,,878573000.0,4226000.0,108059000,,7110000.0,-31556000.0,350832000.0,428112000.0,20838000.0,,1238392000.0,937163000.0,320053000.0,,1575389000.0,0.28,,51736000.0,20000000.0,1649642000.0,1756108000.0,973999000,65682000.0,77280000,-38023000.0,-615639000.0,69000.0,55344000.0,-34057000.0,31736000,31736000,53217000.0,224662000.0,22984000.0,114496000.0,3006000.0,545887000.0,322446000.0,1520045000.0,,0.0,1159161000.0,7110000.0,7110000.0,30779000.0,,7041000.0,,,25544000.0,,0.28,22844000.0,2512552000.0,31736000,,-72080000.0,2152733000.0,3391125000.0,1081000.0,,,,,,
2001-05-31,,,2414098000.0,-56878000.0,112364000.0,118684000.0,,,0.0,782007000.0,,889646000.0,9091000.0,158317000,,7188000.0,-33530000.0,385163000.0,513029000.0,-55781000.0,,1293616000.0,1111821000.0,354712000.0,,1445699000.0,0.56,,104025000.0,40500000.0,1713167000.0,1770310000.0,1139957000,-179052000.0,127866000,-44234000.0,-643788000.0,78000.0,52970000.0,212660000.0,63525000,63525000,89018000.0,240796000.0,22581000.0,113037000.0,3579000.0,626928000.0,320424000.0,1392729000.0,,0.0,1214942000.0,7188000.0,7188000.0,30451000.0,,7110000.0,,,23841000.0,,0.57,11319000.0,2557520000.0,63525000,,168426000.0,2153550000.0,3447166000.0,1563000.0,,,,,,
2001-08-31,,,2372311000.0,-104507000.0,,63303000.0,,-7219000.0,40768000.0,945666000.0,,866213000.0,7704000.0,238105000,,7286000.0,-23039000.0,397653000.0,596119000.0,-58200000.0,,1328511000.0,1266654000.0,489347000.0,,1299645000.0,,,43477000.0,17000000.0,825196000.0,1710443000.0,1640663000,-229618000.0,198466000,-31991000.0,-661868000.0,98000.0,74243000.0,252755000.0,26477000,26477000,28835000.0,292153000.0,19135000.0,,40282000.0,1044544000.0,305390000.0,1225402000.0,,0.0,1242896000.0,7286000.0,7286000.0,39639000.0,1195000.0,7188000.0,,,28300000.0,,,7575000.0,2566299000.0,26477000,,220764000.0,2104001000.0,3432512000.0,-748000.0,,,,,,
2001-11-30,,,2386253000.0,-69447000.0,107984000.0,-114968000.0,,910268000.0,0.0,894928000.0,,910268000.0,474000.0,183673000,,7285000.0,-14728000.0,360632000.0,516136000.0,-82541000.0,,1416383000.0,1241770000.0,360632000.0,,1352814000.0,0.76,,136077000.0,52000000.0,,1698124000.0,1176052000,7565000.0,155504000,-16211000.0,-688129000.0,-1000.0,72172000.0,7162000.0,84077000,84077000,48324000.0,298518000.0,31110000.0,110605000.0,21938000.0,659916000.0,305390000.0,1280642000.0,,0.0,1325437000.0,7285000.0,7285000.0,28169000.0,,7286000.0,,,19427000.0,,0.78,4362000.0,2594584000.0,84077000,,-9049000.0,2088469000.0,3504852000.0,-166000.0,,,,,,
2002-02-28,,,2392543000.0,-99764000.0,106846000.0,24064000.0,,891600000.0,0.0,838092000.0,,891600000.0,276000.0,149073000,,7228000.0,4813000.0,353751000.0,474900000.0,16555000.0,,1350012000.0,1206581000.0,353751000.0,,1323267000.0,0.58,,102871000.0,39100000.0,,1682335000.0,1081311000,-117874000.0,121149000,-24411000.0,-710208000.0,-28000.0,71325000.0,113033000.0,63771000,63771000,67707000.0,300782000.0,17959000.0,109797000.0,8131000.0,606411000.0,305390000.0,1251942000.0,,0.0,1273420000.0,7228000.0,7228000.0,27924000.0,,7285000.0,,,18278000.0,,0.6,3860000.0,2529848000.0,63771000,,88622000.0,2071436000.0,3421448000.0,2459000.0,,,,,,
2002-05-31,,,2427756000.0,-243231000.0,103961000.0,148825000.0,,774915000.0,37288000.0,932106000.0,,774915000.0,1161000.0,208837000,,7242000.0,-34580000.0,359551000.0,541984000.0,-17768000.0,9081000.0,1371977000.0,1348016000.0,359551000.0,,1321316000.0,0.96,,165014000.0,62700000.0,,1691593000.0,1224810000,-234067000.0,182433000,-41223000.0,-736163000.0,14000.0,70182000.0,268661000.0,102314000,102314000,99618000.0,316292000.0,22500000.0,106644000.0,12188000.0,682826000.0,305390000.0,1251134000.0,,0.0,1291189000.0,7242000.0,7242000.0,26404000.0,,7228000.0,,,17419000.0,,0.98,3861000.0,2669332000.0,102314000,,227438000.0,2072270000.0,3444247000.0,-2216000.0,,,,,,
2002-08-31,,,2432130000.0,-286541000.0,,64125000.0,,-11603000.0,0.0,1145533000.0,,689127000.0,0.0,347680000,,6498000.0,-20016000.0,530445000.0,842367000.0,-84396000.0,,1450128000.0,1533571000.0,530445000.0,,1255093000.0,,,287186000.0,109200000.0,974141000.0,1661728000.0,1843337000,-330992000.0,311922000,-35394000.0,-770402000.0,-773000.0,60576000.0,350235000.0,177986000,177986000,43438000.0,344600000.0,23782000.0,,13419000.0,1000970000.0,305390000.0,1194517000.0,,0.0,1375584000.0,6498000.0,6498000.0,35758000.0,1100000.0,7242000.0,,,24736000.0,,,241000.0,2788664000.0,177986000,,314841000.0,2027663000.0,3477791000.0,-4891000.0,,,,,,
2002-11-30,,,2458096000.0,-78523000.0,98808000.0,-184691000.0,,753842000.0,0.0,1120748000.0,,753842000.0,0.0,213919000,,6530000.0,-26834000.0,361064000.0,549390000.0,-109115000.0,,1565845000.0,1485123000.0,361064000.0,,1373548000.0,1.04,,169221000.0,64310000.0,,1663684000.0,1218635000,62762000.0,188326000,-30465000.0,-794412000.0,32000.0,60456000.0,-35896000.0,104911000,104911000,59468000.0,304907000.0,28899000.0,101206000.0,21886000.0,669245000.0,305390000.0,1313092000.0,,0.0,1484699000.0,6530000.0,6530000.0,25593000.0,,6498000.0,,,19105000.0,,1.06,15142000.0,2858671000.0,104911000,,-66361000.0,2046668000.0,3612513000.0,824000.0,,,,,,
2003-02-28,,,2464495000.0,-80972000.0,98446000.0,6329000.0,,747774000.0,0.0,1048077000.0,,747774000.0,0.0,172741000,,6559000.0,-26706000.0,348501000.0,495999000.0,-5473000.0,,1577914000.0,1469797000.0,348501000.0,,1397011000.0,0.79,,127865000.0,48590000.0,,1662567000.0,1120696000,-60330000.0,147498000,-31367000.0,-801928000.0,29000.0,57469000.0,87065000.0,79275000,79275000,99140000.0,322580000.0,29274000.0,100393000.0,881000.0,624697000.0,305390000.0,1339542000.0,,0.0,1490172000.0,6559000.0,6559000.0,25243000.0,,6530000.0,,,19633000.0,,0.81,12105000.0,2866808000.0,79275000,,55698000.0,2036668000.0,3614582000.0,-6689000.0,,,,,,
2003-05-31,,,2497063000.0,-285063000.0,94666000.0,93611000.0,,601618000.0,0.0,1090158000.0,,601618000.0,0.0,246573000,,6638000.0,-33254000.0,376940000.0,598823000.0,-7471000.0,2021000.0,1605303000.0,1570879000.0,376940000.0,,1475351000.0,1.3,,202530000.0,76553000.0,,1671917000.0,1288445000,-193441000.0,221883000,-36968000.0,-825146000.0,79000.0,55384000.0,226774000.0,125977000,125977000,164664000.0,316057000.0,44780000.0,96811000.0,8360000.0,689622000.0,305390000.0,1419967000.0,,0.0,1497643000.0,6638000.0,6638000.0,24690000.0,,6559000.0,,,19353000.0,,1.33,3790000.0,3046230000.0,125977000,,189806000.0,2042545000.0,3647848000.0,2837000.0,,,,,,
2003-08-31,,,2573160000.0,-446537000.0,,52551000.0,,-37297000.0,0.0,1321905000.0,,373758000.0,0.0,394312000,,6742000.0,-81005000.0,510707000.0,870797000.0,-13673000.0,,1584994000.0,1675566000.0,510707000.0,,1631142000.0,,,333391000.0,125950000.0,869739000.0,1715753000.0,1829347000,-339203000.0,360090000,-83442000.0,-857407000.0,104000.0,84297000.0,420312000.0,207441000,207441000,39978000.0,313683000.0,43746000.0,,14176000.0,958550000.0,294348000.0,1546845000.0,,0.0,1511316000.0,6742000.0,6742000.0,34222000.0,1007000.0,6638000.0,,,26699000.0,,,59828000.0,3306708000.0,207441000,,336870000.0,2095472000.0,3680466000.0,-11192000.0,,,,,,
2003-11-30,,,2600207000.0,-60445000.0,88741000.0,-16025000.0,,473271000.0,0.0,1346909000.0,,473271000.0,0.0,239055000,,6664000.0,-29018000.0,397985000.0,613090000.0,-8257000.0,,1632385000.0,1710119000.0,397986000.0,,1536885000.0,1.35,,194845000.0,73100000.0,,1719386000.0,1282040000,-100730000.0,215105000,-29356000.0,-880821000.0,-78000.0,83540000.0,129670000.0,121745000,121745000,80469000.0,282741000.0,64962000.0,90422000.0,19196000.0,668950000.0,294348000.0,1453345000.0,,0.0,1519573000.0,6664000.0,6664000.0,23950000.0,,6742000.0,,,20260000.0,,1.37,20303000.0,3247004000.0,121745000,,100314000.0,2087890000.0,3720275000.0,34019000.0,,,,,,
2004-02-29,,,2600663000.0,-337218000.0,86618000.0,-54072000.0,,233877000.0,0.0,1216404000.0,,233877000.0,0.0,195905000,,6711000.0,-39441000.0,395785000.0,564311000.0,32095000.0,,1600354000.0,1597837000.0,395785000.0,,1870002000.0,1.04,,146604000.0,54950000.0,,1735505000.0,1159236000,-860000.0,168526000,-40122000.0,-865158000.0,47000.0,83057000.0,40348000.0,91654000,91654000,95717000.0,285716000.0,77282000.0,88028000.0,3254000.0,594925000.0,,1786945000.0,,0.0,1487478000.0,6711000.0,6711000.0,27379000.0,,6664000.0,,,21922000.0,,1.06,315758000.0,3467839000.0,91654000,,226000.0,2101362000.0,3701716000.0,-496000.0,,,,,,
2004-05-31,,,2638236000.0,-132640000.0,83897000.0,-23306000.0,,-966407000.0,0.0,1240154000.0,,260141000.0,-11424000.0,276278000,,6758000.0,-53441000.0,424866000.0,676187000.0,-57149000.0,,1643453000.0,1652747000.0,424866000.0,,1875668000.0,1.68,,229411000.0,86000000.0,1226548000.0,1752474000.0,1360022000,-116186000.0,251321000,-42700000.0,-885762000.0,47000.0,76751000.0,169674000.0,143411000,143411000,145194000.0,267399000.0,84316000.0,85202000.0,1870000.0,683835000.0,300998000.0,1798917000.0,,0.0,1517071000.0,6758000.0,6758000.0,24957000.0,,6711000.0,,,21910000.0,,1.71,57674000.0,3528415000.0,143411000,,126974000.0,2145103000.0,3788556000.0,2612000.0,,,,,,
2004-08-31,,,2709137000.0,-317799000.0,,27716000.0,,-15653000.0,0.0,1429128000.0,,171393000.0,0.0,398590000,,76852000.0,-71821000.0,539236000.0,902991000.0,-86228000.0,,1755757000.0,1818115000.0,539236000.0,,1923057000.0,,,335043000.0,125650000.0,580147000.0,1790089000.0,1835727000,-243132000.0,363755000,-72692000.0,-919048000.0,-16266000.0,48079000.0,298687000.0,209393000,209393000,72096000.0,310880000.0,68372000.0,,9232000.0,932736000.0,,1869250000.0,5728000.0,0.0,1561479000.0,76852000.0,76852000.0,34835000.0,894000.0,6758000.0,,,28712000.0,,,65704000.0,3741172000.0,209393000,301015000.0,225995000.0,2156808000.0,3912565000.0,-4898000.0,,,,,,
2004-11-30,,,2767860000.0,-30000000.0,79711000.0,-41641000.0,-48000.0,-425282000.0,0.0,1490583000.0,,277388000.0,0.0,242556000,,63881000.0,-61984000.0,404488000.0,620801000.0,-71601000.0,,1840244000.0,1869643000.0,404488000.0,,1873019000.0,1.52,,194523000.0,72000000.0,702670000.0,1823972000.0,1286203000,-63904000.0,216313000,-58807000.0,-943888000.0,-12971000.0,47963000.0,112917000.0,122523000,122523000,79396000.0,289994000.0,73312000.0,80748000.0,10362000.0,665402000.0,,1824775000.0,281000.0,0.0,1629312000.0,63881000.0,63881000.0,26243000.0,,76852000.0,,,21790000.0,,1.54,52987000.0,3742662000.0,122523000,302847000.0,54110000.0,2179806000.0,4020050000.0,-466000.0,,,,,,
2005-02-28,,,2821081000.0,0.0,79692000.0,-169172000.0,,-412032000.0,0.0,1286780000.0,,384731000.0,0.0,195011000,,80139000.0,-57912000.0,433652000.0,582371000.0,32151000.0,,1847054000.0,1645420000.0,433652000.0,,2029286000.0,1.16,,125074000.0,30981000.0,796763000.0,1837260000.0,1204055000,85921000.0,148719000,-59971000.0,-983821000.0,16258000.0,127786000.0,-11751000.0,94093000,94093000,75783000.0,273189000.0,104578000.0,80860000.0,8055000.0,621684000.0,,1901500000.0,,0.0,1591996000.0,80139000.0,80139000.0,46292000.0,,63881000.0,,,23645000.0,,1.18,72354000.0,3674706000.0,94093000,302769000.0,-71722000.0,2212383000.0,4059437000.0,466000.0,,,,,,
2005-05-31,,,2889077000.0,-278558000.0,78521000.0,147147000.0,,-645805000.0,0.0,1429675000.0,,298746000.0,0.0,285425000,,77378000.0,-66480000.0,413641000.0,673103000.0,-58388000.0,,1911738000.0,1816585000.0,413641000.0,,2053171000.0,1.86,,235239000.0,87450000.0,944551000.0,1880218000.0,1338387000,-238626000.0,259462000,-68161000.0,-1008859000.0,-2761000.0,138646000.0,302345000.0,147789000,147789000,133754000.0,253156000.0,120121000.0,79494000.0,26795000.0,665284000.0,,1914525000.0,,0.0,1639190000.0,77378000.0,77378000.0,25963000.0,,80139000.0,,,24223000.0,,1.88,48744000.0,3869756000.0,147789000,302725000.0,234184000.0,2256764000.0,4168502000.0,-563000.0,,,,,,
2005-08-31,,,2978637000.0,-118294000.0,,-32201000.0,22262000.0,-36581000.0,72526000.0,1539776000.0,,391007000.0,0.0,390612000,,74810000.0,-96395000.0,565103000.0,916273000.0,-26728000.0,,1929459000.0,1811159000.0,565103000.0,,2043091000.0,,,318389000.0,111771000.0,370276000.0,1937615000.0,1882237000,-150745000.0,351170000,-96539000.0,-1041022000.0,-2568000.0,181241000.0,244572000.0,206615000,206615000,4753000.0,255672000.0,118263000.0,,19335000.0,965964000.0,,1861850000.0,,3000.0,1663860000.0,74810000.0,74810000.0,39442000.0,811000.0,77378000.0,,,32784000.0,,,42567000.0,3854250000.0,206615000,302699000.0,148033000.0,2315798000.0,4245257000.0,214000.0,,,,,,
2005-11-30,,,3037067000.0,-9787000.0,76588000.0,-18970000.0,-2658000.0,36632000.0,124604000.0,1514571000.0,,521282000.0,0.0,236471000,,81378000.0,-57889000.0,450236000.0,655529000.0,-17155000.0,,2000758000.0,1844868000.0,450236000.0,,1973681000.0,1.48,,181554000.0,67180000.0,484650000.0,1965632000.0,1338076000,-63206000.0,205293000,-58457000.0,-1071435000.0,6568000.0,183906000.0,127663000.0,114374000,114374000,63525000.0,257856000.0,113761000.0,77152000.0,15248000.0,682547000.0,,1789775000.0,,0.0,1681015000.0,81378000.0,81378000.0,31178000.0,,74810000.0,,,23739000.0,,1.49,38751000.0,3818549000.0,114374000,302645000.0,69206000.0,2339073000.0,4339831000.0,2733000.0,,,,,,
2006-02-28,,,3083909000.0,0.0,76784000.0,-57480000.0,-4162000.0,59486000.0,106672000.0,1427672000.0,,641158000.0,-20667000.0,210207000,,81372000.0,-77641000.0,437845000.0,616190000.0,-41666000.0,,2034992000.0,1794801000.0,437845000.0,,1965894000.0,1.25,,154012000.0,56990000.0,581672000.0,1992415000.0,1253815000,6150000.0,178345000,-57405000.0,-1091494000.0,-6000.0,186594000.0,71485000.0,97022000,97022000,89941000.0,267160000.0,124267000.0,77474000.0,11939000.0,637625000.0,,1779300000.0,,0.0,1722681000.0,81372000.0,81372000.0,31862000.0,,81378000.0,,,24333000.0,,1.26,35014000.0,3760695000.0,97022000,302645000.0,14080000.0,2366861000.0,4401853000.0,4011000.0,,,,,,
2006-05-31,16455000.0,,3139579000.0,-228324000.0,75909000.0,67180000.0,-1869000.0,568545000.0,101121000.0,1442132000.0,,568545000.0,86000.0,285776000,,83968000.0,-60972000.0,450872000.0,704041000.0,-30006000.0,,2040376000.0,1865729000.0,450872000.0,,2008645000.0,1.89,,228248000.0,83820000.0,,2021692000.0,1417433000,-173575000.0,253169000,-66306000.0,-1117887000.0,2596000.0,183520000.0,237143000.0,144428000,144428000,150482000.0,257584000.0,102600000.0,76583000.0,8063000.0,713392000.0,302645000.0,1825125000.0,,0.0,1752687000.0,83968000.0,83968000.0,32607000.0,,81372000.0,-12664000.0,,24921000.0,,1.9,34957000.0,3874374000.0,144428000,,170837000.0,2402543000.0,4442919000.0,186000.0,,,,,,
2006-08-31,24002000.0,,3183808000.0,-339955000.0,,78650000.0,44995000.0,-15500000.0,100356000.0,1699667000.0,,469528000.0,0.0,418495000,,91558000.0,-71821000.0,589643000.0,962761000.0,-93963000.0,,2118927000.0,2054568000.0,589643000.0,,2002210000.0,,,338223000.0,124771000.0,559208000.0,2051308000.0,1939030000,-307045000.0,373118000,-81412000.0,-1132500000.0,7590000.0,145053000.0,386456000.0,213452000,213452000,24378000.0,280419000.0,80363000.0,,3003000.0,976269000.0,302645000.0,1857157000.0,,0.0,1846650000.0,91558000.0,91558000.0,45377000.0,772000.0,83968000.0,-21800000.0,,37148000.0,,,32783000.0,4056778000.0,213452000,,305044000.0,2407379000.0,4526306000.0,-2800000.0,,,,,,
2006-11-30,8790000.0,,3262683000.0,-90767000.0,71082000.0,-45591000.0,-802000.0,537838000.0,126755000.0,1649633000.0,,537838000.0,0.0,258959000,,73359000.0,-70896000.0,462299000.0,685295000.0,-36698000.0,-1496000.0,2157294000.0,2047289000.0,462299000.0,,2026558000.0,1.73,,195903000.0,72014000.0,,2096377000.0,1393069000,-59266000.0,222996000,-52198000.0,-1166306000.0,-18199000.0,167637000.0,111963000.0,123889000,123889000,345593000.0,,73832000.0,71813000.0,26109000.0,707774000.0,302645000.0,1858921000.0,,0.0,1883348000.0,73359000.0,73359000.0,35963000.0,,91558000.0,-27770000.0,,27093000.0,,1.74,31140000.0,4073847000.0,123889000,,59765000.0,2454391000.0,4611685000.0,-808000.0,,,,,,
2007-02-28,34408000.0,,3307703000.0,-128891000.0,70476000.0,30304000.0,587000.0,543590000.0,123522000.0,1662989000.0,,543590000.0,0.0,225429000,,86062000.0,-47510000.0,450289000.0,639212000.0,-27501000.0,-1915000.0,2180348000.0,2080379000.0,450289000.0,,2022537000.0,1.45,,162105000.0,59089000.0,,2110937000.0,1300357000,-108285000.0,188923000,-50064000.0,-1196766000.0,12703000.0,168233000.0,168498000.0,103016000,103016000,366749000.0,,59915000.0,71227000.0,21302000.0,661145000.0,302645000.0,1854304000.0,,0.0,1910849000.0,86062000.0,86062000.0,36506000.0,,73359000.0,-31710000.0,,26818000.0,,1.46,30619000.0,4102916000.0,103016000,,118434000.0,2466158000.0,4646506000.0,2804000.0,,,,,,
2007-05-31,33711000.0,,3311123000.0,-244806000.0,69142000.0,15191000.0,-2347000.0,459356000.0,116228000.0,1686814000.0,,459355000.0,0.0,302318000,,82573000.0,-49183000.0,470422000.0,735399000.0,-68389000.0,1914000.0,2230781000.0,2160150000.0,470422000.0,,2102993000.0,2.17,,237862000.0,86271000.0,,2134272000.0,1473671000,-157997000.0,264977000,-55498000.0,-1176851000.0,-3489000.0,164051000.0,203691000.0,151591000,151591000,420372000.0,,52742000.0,69901000.0,4158000.0,738272000.0,302645000.0,1938942000.0,,0.0,1979238000.0,82573000.0,82573000.0,37341000.0,,86062000.0,-29358000.0,,27115000.0,,2.19,27455000.0,4263143000.0,151591000,,148193000.0,2491717000.0,4722498000.0,-1749000.0,,,,,,
2007-08-31,10012000.0,,3395545000.0,-297423000.0,,63618000.0,27406000.0,-9550000.0,116495000.0,1870668000.0,,403200000.0,0.0,429690000,,86654000.0,-61126000.0,625974000.0,1004344000.0,-28192000.0,3436000.0,2270455000.0,2285894000.0,625974000.0,,2115615000.0,,,340279000.0,123104000.0,546049000.0,2177842000.0,2002707000,-295835000.0,378370000,-66714000.0,-1217703000.0,4081000.0,179997000.0,361042000.0,217175000,217175000,184717000.0,132342000.0,59876000.0,,7383000.0,998363000.0,302645000.0,1935618000.0,,0.0,2007430000.0,86654000.0,86654000.0,51320000.0,713000.0,82573000.0,-5777000.0,,40910000.0,16015000.0,,32436000.0,4401509000.0,217175000,,294328000.0,2534254000.0,4804709000.0,8365000.0,,,,,,
