date,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetPPE,quarterlyTaxProvision,quarterlyOtherIncomeExpense,quarterlyCurrentDebt,quarterlyCashAndCashEquivalents,quarterlyCommonStockIssuance,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,quarterlyBasicEPS,quarterlyOtherNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyNetOtherFinancingCharges,quarterlyResearchAndDevelopment,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyTotalAssets,quarterlyOtherCurrentLiabilities,quarterlyTotalNonCurrentAssets,quarterlyOtherShortTermInvestments,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,quarterlyDilutedAverageShares,quarterlyDilutedEPS,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyDepreciationAndAmortization,quarterlyEbitda,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyRetainedEarnings,quarterlyTotalRevenue,quarterlyIncomeTaxPayable,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyOtherCurrentAssets,quarterlyBasicAverageShares,quarterlyLongTermDebt,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyOtherNonCurrentLiabilities,quarterlyAccountsReceivable,quarterlyChangeInAccountPayable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGrossProfit,quarterlyInvestmentsAndAdvances,quarterlyOperatingExpense,quarterlyCurrentDeferredRevenue,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyGoodwill,quarterlyChangeInInventory,quarterlyInventory,quarterlyCashDividendsPaid
2008-06-30,-31921000.0,,405000.0,21286000,4318000.0,0.0,,102500000,2359000.0,167384000,,0.28,32475000.0,23872000.0,,9753000.0,0.0,3141000,7754000,-1233000,2359000,329503000,4372000.0,142281000,64884000.0,,7794000,,4614000.0,1754000,,295176000.0,94706000,19508000.0,0.28,5435000,102500000,-2286000,-2643000.0,,2202000.0,4334000,12844000,-1768000.0,-2449000.0,,34327000,6521000,,53478000,,33922000,187222000,8510000,53207000.0,0.0,19311000.0,,16435000.0,18341000,0.0,12570000.0,,405000.0,35137000,,26627000,11361000.0,22220000,-3024000.0,295176000,5435000,5435000,62942000.0,,,
2008-09-30,-31921000.0,,338000.0,19296000,5586000.0,0.0,,139150000,3456000.0,182955000,,0.34,31845000.0,20639000.0,,12231000.0,0.0,3122000,14545000,-810000,3456000,334916000,3905000.0,134629000,43805000.0,,36650000,,18055000.0,1384000,,300665000.0,102500000,19604000.0,0.34,6645000,139150000,19461000,2216000.0,,2248000.0,4253000,15533000,-612000.0,2011000.0,,34251000,13735000,,53757000,,33913000,200287000,11280000,51217000.0,0.0,19393000.0,,18444000.0,17613000,0.0,12113000.0,,338000.0,36144000,,24864000,10180000.0,20506000,0.0,300665000,6645000,6645000,60143000.0,,,
2008-12-31,-38175000.0,,132000.0,16876000,6049000.0,0.0,,159982000,-69000.0,195250000,,,1544000.0,16421000.0,,13550000.0,5317000.0,3082000,10527000,-424000,5248000,334384000,0.0,121901000,35268000.0,,20832000,,10108000.0,1636000,197000.0,-13796000.0,139150000,,,7501000,159982000,6762000,-2922000.0,,-2597000.0,3932000,16700000,3608000.0,-1540000.0,,30963000,10103000,-16963000.0,52929000,1907000.0,29136000,212483000,12768000,55051000.0,0.0,,,14971000.0,17733000,1695000.0,12294000.0,,1827000.0,35196000,29340000.0,22428000,10622000.0,18189000,0.0,303421000,7501000,7501000,54328000.0,,,
2009-03-31,,,1848000.0,15801000,5077000.0,0.0,,170624000,,204132000,,0.31,1470000.0,14646000.0,,11183000.0,0.0,3178000,9321000,-1037000,-134000,341982000,963000.0,118437000,33508000.0,-215000.0,10642000,-3484000.0,2629000.0,1976000,,,159982000,19562000.0,0.31,6106000,170624000,1592000,,1587000.0,1502000.0,3676000,14417000,-3584000.0,34000.0,,30817000,8284000,,51370000,,28969000,223545000,10741000,,0.0,19468000.0,,16270000.0,16894000,0.0,14236000.0,,1848000.0,34476000,29340000.0,23735000,9760000.0,19611000,0.0,311165000,6106000,6106000,53911000.0,,,
2009-06-30,,,1766000.0,15274000,3897000.0,0.0,,183361000,,213643000,,0.24,1598000.0,14898000.0,,8513000.0,0.0,3065000,9556000,-2045000,65000,353908000,0.0,122461000,30282000.0,-140000.0,12737000,1115000.0,4106000.0,1806000,,,170624000,19638000.0,0.24,4616000,183361000,2061000,,1539000.0,1824000.0,3458000,11649000,-1473000.0,-408000.0,,29219000,7511000,,50064000,0.0,27453000,231447000,8191000,,0.0,19479000.0,,16572000.0,16744000,0.0,12106000.0,,1766000.0,33320000,30110000.0,25129000,9075000.0,21322000,0.0,324689000,4616000,4616000,57394000.0,,,
2009-09-30,,,1707000.0,16579000,2889000.0,0.0,,200738000,,223991000,,0.22,0.0,22607000.0,,7214000.0,0.0,3454000,12937000,-2753000,575000,392335000,0.0,147725000,23253000.0,-146000.0,17377000,93000.0,7316000.0,4555000,,,183361000,20084000.0,0.22,4325000,200738000,4171000,,2041000.0,894000.0,3608000,10559000,3480000.0,-1411000.0,,41088000,10184000,,53590000,856000.0,39381000,244610000,6951000,,0.0,19868000.0,,19757000.0,19149000,0.0,13811000.0,,1707000.0,34441000,29939000.0,27490000,14213000.0,23194000,0.0,351247000,4325000,4325000,70218000.0,,,
2009-12-31,-39709000.0,,0.0,19162000,2532000.0,0.0,,205786000,,225974000,,,2597000.0,23390000.0,-2815000.0,6178000.0,403000.0,4245000,7755000,-4709000,1666000,404579000,0.0,157172000,20188000.0,-171000.0,5048000,666000.0,3108000.0,3667000,206000.0,-7565000.0,200738000,,,3646000,205786000,-4416000,0.0,1293000.0,555000.0,3934000,9886000,-627000.0,-643000.0,,45573000,3046000,1730000.0,54635000,0.0,43747000,247407000,5952000,58871000.0,0.0,,,23863000.0,20927000,1826000.0,12855000.0,158000.0,1826000.0,33708000,29724000.0,27756000,14840000.0,22629000,0.0,359006000,3646000,3646000,80321000.0,,,
2010-03-31,,,,60684000,2451000.0,0.0,,170206000,,188906000,,0.14,2119000.0,21607000.0,,5340000.0,329000.0,4197000,6640000,-43946000,273000,407864000,0.0,195284000,18700000.0,-851000.0,-35580000,-633000.0,1676000.0,3208000,,,205786000,20602000.0,0.14,2889000,170206000,-42270000,,2007000.0,562000.0,3648000,8750000,-1955000.0,-182000.0,,45505000,-37306000,,55093000,,43660000,212580000,5102000,,0.0,20249000.0,,23686000.0,21200000,,12746000.0,-1406000.0,1845000.0,33893000,29549000.0,28791000,16766000.0,23904000,0.0,362359000,2889000,2889000,78975000.0,,,
2010-06-30,,,,61083000,1436000.0,0.0,,188290000,,200577000,,0.16,2173000.0,20516000.0,,4687000.0,11000.0,4123000,14059000,-2620000,249000,415475000,0.0,196078000,12287000.0,-161000.0,18084000,1770000.0,6465000.0,3268000,,,170206000,20624000.0,0.16,3251000,188290000,3845000,,1939000.0,456000.0,3306000,7797000,7207000.0,-2089000.0,,47771000,11439000,,55838000,,45908000,219397000,4491000,,0.0,20278000.0,,27722000.0,20360000,,10554000.0,4124000.0,1863000.0,35478000,29449000.0,30987000,14918000.0,26332000,0.0,367704000,3251000,3251000,78973000.0,,,
2010-09-30,,,,64973000,2909000.0,0.0,,195358000,,202623000,,0.17,3017000.0,19965000.0,,6291000.0,378000.0,4249000,6396000,-6546000,2018000,427899000,0.0,201422000,7265000.0,-201000.0,7068000,-3266000.0,5081000.0,1893000,,,188290000,20688000.0,0.16,3382000,195358000,-1465000,,1781000.0,-699000.0,3307000,9442000,-2288000.0,20000.0,,51621000,-150000,,57144000,,49739000,226477000,6135000,,0.0,20328000.0,,31595000.0,20762000,,13673000.0,1907000.0,1882000.0,36382000,29349000.0,30247000,16251000.0,25458000,0.0,376278000,3382000,3382000,80134000.0,,,
2010-12-31,-34759000.0,,1450000.0,69921000,3425000.0,0.0,,206405000,,210127000,,,0.0,18774000.0,,7192000.0,4228000.0,4781000,12174000,-4246000,-498000,439648000,0.0,200475000,3722000.0,-1691000.0,11047000,353000.0,3632000.0,3123000,208000.0,-8706000.0,195358000,,,3767000,206405000,-614000,,2579000.0,1826000.0,3388000,10435000,-1857000.0,3926000.0,,58146000,7928000,15019000.0,58185000,,54926000,239173000,7047000,104680000.0,0.0,,,30876000.0,21277000,1770000.0,13094000.0,2065000.0,3220000.0,36908000,29189000.0,29861000,16895000.0,24537000,0.0,381502000,3767000,3767000,79602000.0,,,
2011-03-31,,,0.0,36886000,2766000.0,0.0,,292252000,,295909000,,0.22,2679000.0,17898000.0,,7298000.0,595000.0,5268000,7686000,-5772000,275000,506479000,0.0,179717000,3657000.0,-1476000.0,85847000,-3649000.0,33000.0,3351000,,,206405000,20965000.0,0.22,4532000,292252000,77814000,,2064000.0,552000.0,3432000,10528000,-2764000.0,465000.0,50441000.0,117081000,1914000,,59618000,14831000.0,64843000,326762000,7096000,,0.0,20531000.0,,25293000.0,22566000,1797000.0,16240000.0,-2954000.0,52238000.0,37052000,29114000.0,29956000,21368000.0,24145000,0.0,389398000,4532000,4532000,80488000.0,,,
2011-06-30,,,0.0,37146000,1450000.0,0.0,,547617000,,551222000,,0.12,2649000.0,17457000.0,,4087000.0,652000.0,5135000,7598000,-4115000,251659000,757856000,0.0,179234000,3605000.0,-301000.0,255365000,2565000.0,200000.0,4127000,,,292252000,22426000.0,0.12,2637000,547617000,-3915000,,2201000.0,330000.0,3208000,7117000,5325000.0,-5451000.0,49968000.0,111992000,3483000,,62127000,7156000.0,60216000,578622000,3909000,,0.0,22011000.0,,28944000.0,22412000,1808000.0,13336000.0,5616000.0,51776000.0,39715000,29014000.0,35806000,19989000.0,30125000,0.0,645864000,2637000,2637000,80466000.0,,,
2011-09-30,,,0.0,36780000,887000.0,0.0,,550740000,0.0,554310000,,0.09,2487000.0,16387000.0,,3198000.0,186000.0,5017000,4423000,-2285000,433000,764753000,0.0,175372000,3570000.0,-195000.0,3123000,-5780000.0,582000.0,4367000,,,547617000,25317000.0,0.09,2311000,550740000,-1703000,,1845000.0,-261000.0,3003000,6007000,-3790000.0,461000.0,48665000.0,115063000,2138000,,63829000,7974000.0,64606000,589381000,3004000,,0.0,24973000.0,,30741000.0,21175000,1792000.0,18909000.0,1501000.0,50457000.0,42654000,28414000.0,39650000,21524000.0,34098000,0.0,649690000,2311000,2311000,79849000.0,,,
2011-12-31,-38759000.0,,,37571000,2810000.0,0.0,,545280000,0.0,548795000,,,3159000.0,20530000.0,,7986000.0,1108000.0,4617000,5978000,-2841000,2413000,771035000,0.0,187852000,3515000.0,-335000.0,-5460000,2291000.0,4096000.0,6010000,254000.0,-8568000.0,550740000,,,5176000,545280000,-13830000,,1993000.0,-1200000.0,3209000,10971000,10002000.0,-12579000.0,47925000.0,111858000,3137000,29675000.0,66164000,978000.0,61782000,583183000,7762000,76330000.0,0.0,,,29456000.0,22014000,2151000.0,16589000.0,-133000.0,50076000.0,44150000,24584000.0,36388000,25338000.0,31158000,-15085000.0,659177000,5176000,5176000,91784000.0,,,
2012-03-31,,,,38584000,3720000.0,0.0,,549096000,,551381000,,0.2,0.0,19537000.0,,8852000.0,340000.0,5015000,6381000,-3012000,-814000,773751000,0.0,188843000,2285000.0,-1611000.0,3816000,-87000.0,1245000.0,4171000,,,545280000,25528000.0,0.2,5132000,549096000,-1767000,,2187000.0,358000.0,3320000,11922000,-6826000.0,2675000.0,47142000.0,107046000,3369000,,68629000,2614000.0,57743000,584908000,8602000,,0.0,25128000.0,,24646000.0,24334000,2161000.0,16352000.0,-7579000.0,49303000.0,44295000,24534000.0,35693000,26312000.0,30044000,0.0,666705000,5132000,5132000,92624000.0,,,
2012-06-30,,,41339000.0,43225000,5628000.0,0.0,10938000.0,103338000,,104158000,,-0.25,2178000.0,185992000.0,,-1082000.0,-11886000.0,7977000,24197000,-3105000,164873000,1141287000,0.0,981678000,820000.0,-629000.0,-445758000,-1242000.0,9223000.0,6307000,,,549096000,26465000.0,-0.25,-6710000,103338000,-634811000,,2741000.0,617000.0,8184000,8171000,12573000.0,5855000.0,46439000.0,338695000,21092000,,85223000,0.0,85261000,159609000,-13000,,0.0,26465000.0,161875000.0,18781000.0,28172000,926000.0,19523000.0,3863000.0,253434000.0,57051000,24976000.0,57064000,31666000.0,45507000,-640929000.0,802592000,-6710000,-6710000,717212000.0,,,
2012-09-30,,-2188000.0,38142000.0,42962000,404000.0,0.0,13125000.0,129462000,0.0,130279000,,0.25,2160000.0,178205000.0,,7183000.0,-57000.0,9722000,25980000,-2885000,-1187000,1154659000,0.0,970326000,817000.0,-1577000.0,26124000,-2283000.0,4152000.0,3718000,,,103338000,27673000.0,0.24,6779000,129462000,1267000,,3739000.0,528000.0,10695000,19641000,121000.0,3298000.0,46335000.0,338808000,23095000,,96001000,0.0,93028000,184333000,8946000,,2953000.0,27243000.0,157500000.0,19608000.0,30882000,977000.0,21397000.0,1648000.0,245780000.0,65119000,21561000.0,56173000,35322000.0,41627000,0.0,815851000,6779000,6779000,718080000.0,,,
2012-12-31,-44744000.0,0.0,34071000.0,46308000,3467000.0,-4569000.0,17500000.0,156027000,0.0,156064000,1810000.0,0.17,6622000.0,170632000.0,,8181000.0,255000.0,10042000,29568000,-5832000,2069000,1165139000,2523000.0,965576000,37000.0,-387000.0,26565000,4907000.0,745000.0,6234000,283000.0,-6518000.0,129462000,27724000.0,0.17,4714000,156027000,-5087000,,3615000.0,486000.0,10553000,20984000,8297000.0,1815000.0,46114000.0,338796000,23736000,39590000.0,100083000,0.0,101638000,199563000,23512000,91052000.0,2934000.0,27295000.0,153125000.0,42833000.0,31478000,1030000.0,16392000.0,3895000.0,237158000.0,68605000,21662000.0,45093000,35071000.0,44089000,0.0,826343000,4714000,4714000,718078000.0,,,
2013-03-31,,-4375000.0,36359000.0,48653000,-1839000.0,-4125000.0,17500000.0,167394000,,167394000,1755000.0,-0.09,5924000.0,163672000.0,,-4249000.0,5961000.0,12102000,10708000,-4643000,5249000,1183858000,2523000.0,958393000,0.0,-3144000.0,11367000,-8380000.0,83000.0,3923000,,,156027000,27428000.0,-0.09,-2410000,167394000,-4560000,,17326000.0,747000.0,10166000,7672000,-480000.0,-7657000.0,47535000.0,333207000,6065000,,104033000,,97719000,225465000,1527000,,2885000.0,27428000.0,148750000.0,37119000.0,33606000,28178000.0,24420000.0,3587000.0,235488000.0,70427000,21675000.0,68900000,39177000.0,56798000,0.0,850651000,-2410000,-2410000,716569000.0,,,
2013-06-30,,-4375000.0,35417000.0,49693000,5315000.0,-3894000.0,19688000.0,190101000,,190101000,1758000.0,0.3,5223000.0,157126000.0,,13608000.0,2445000.0,11488000,30859000,-4269000,-3888000,1197018000,0.0,952320000,0.0,-4060000.0,22707000,-1105000.0,-5000.0,4450000,,,167394000,28168000.0,0.29,8293000,190101000,-4274000,,7156000.0,766000.0,10049000,25415000,4780000.0,1538000.0,47218000.0,330422000,26590000,,108999000,,102735000,244698000,19177000,,2820000.0,27636000.0,142187000.0,42008000.0,32101000,2865000.0,24808000.0,7281000.0,227687000.0,76898000,21675000.0,57721000,36589000.0,46233000,0.0,866596000,8293000,8293000,716580000.0,,,
2013-09-30,,-4375000.0,35482000.0,55703000,7034000.0,-3680000.0,21875000.0,222938000,,222938000,1736000.0,0.4,4543000.0,150800000.0,0.0,18086000.0,5655000.0,11562000,31261000,-6419000,7858000,1230374000,0.0,952804000,0.0,-359000.0,32837000,1180000.0,9000.0,6347000,,,190101000,28349000.0,0.39,11052000,222938000,-6410000,,7788000.0,760000.0,10022000,29844000,6847000.0,-329000.0,49630000.0,331055000,24842000,,112301000,,107403000,277570000,23450000,,2740000.0,27758000.0,135625000.0,41754000.0,31724000,2915000.0,22960000.0,6545000.0,223652000.0,80577000,21675000.0,57127000,37427000.0,45565000,0.0,899319000,11052000,11052000,718039000.0,,,
2013-12-31,-43000000.0,-4375000.0,34582000.0,57719000,7293000.0,-3484000.0,24063000.0,255953000,,255953000,1694000.0,0.46,3893000.0,144472000.0,0.0,20092000.0,4180000.0,11605000,35470000,-3711000,1186000,1256982000,0.0,948516000,0.0,-906000.0,33015000,1698000.0,-11000.0,4939000,288000.0,-5530000.0,222938000,28438000.0,0.45,12799000,255953000,-3722000,,9279000.0,741000.0,9821000,31607000,12700000.0,-6292000.0,49114000.0,329120000,31759000,69324000.0,115610000,2362000.0,111553000,308466000,25183000,100719000.0,2649000.0,27857000.0,129062000.0,43304000.0,31754000,4809000.0,20761000.0,-21295000.0,217567000.0,83856000,21990000.0,58673000,36885000.0,47068000,0.0,927862000,12799000,12799000,718587000.0,,,
2014-03-31,,-4375000.0,31390000.0,57338000,5923000.0,-3299000.0,26250000.0,223443000,,223443000,1615000.0,0.34,3729000.0,137168000.0,,15663000.0,22085000.0,12351000,-6555000,-4149000,-21844000,1244796000,0.0,941045000,,-42555000.0,-32510000,-12499000.0,0.0,3943000,,,255953000,28840000.0,0.34,9740000,223443000,-4149000,,7879000.0,710000.0,9851000,27129000,-18435000.0,5090000.0,49008000.0,315003000,-10704000,,119076000,0.0,107276000,303751000,20440000,,2547000.0,28273000.0,122500000.0,38634000.0,33643000,4829000.0,32286000.0,-5991000.0,207727000.0,85433000,22168000.0,64993000,38449000.0,52642000,0.0,929793000,9740000,9740000,718824000.0,,,
2014-06-30,,-303750000.0,28116000.0,64640000,4969000.0,-9036000.0,20000000.0,444857000,,444857000,3753000.0,0.28,11594000.0,274200000.0,,13218000.0,-6579000.0,15143000,49889000,-7288000,762377000,2046394000,0.0,1515380000,,-7200000.0,221414000,2141000.0,550000.0,7543000,,,223443000,29486000.0,0.28,8249000,444857000,-590956000,,6380000.0,845000.0,20670000,37641000,18742000.0,-2657000.0,49901000.0,575153000,42601000,,147708000,0.0,117286000,531014000,25945000,,3362000.0,29061000.0,375000000.0,49777000.0,39481000,4850000.0,39661000.0,17069000.0,457867000.0,108227000,21639000.0,82282000,39966000.0,67139000,-584218000.0,1471241000,8249000,8249000,1141187000.0,,,
2014-09-30,,-5000000.0,26532000.0,70675000,7871000.0,-8361000.0,20000000.0,486195000,0.0,486195000,2698000.0,0.41,10694000.0,257177000.0,0.0,20828000.0,1348000.0,14227000,52702000,-9428000,-2285000,2064341000,0.0,1501589000,,-243000.0,41338000,-1217000.0,600000.0,7604000,,,444857000,32075000.0,0.4,12957000,486195000,-8828000,,6647000.0,904000.0,20212000,43738000,14491000.0,-3669000.0,50354000.0,571968000,43274000,,153056000,0.0,120201000,562752000,31841000,,3358000.0,31742000.0,370000000.0,51763000.0,40932000,4881000.0,39051000.0,13634000.0,451767000.0,112124000,21081000.0,80283000,40834000.0,66056000,0.0,1492373000,12957000,12957000,1139917000.0,,,
2014-12-31,-48944000.0,-5000000.0,30349000.0,73753000,7281000.0,-7736000.0,20000000.0,527012000,0.0,527012000,2415000.0,0.44,9864000.0,241622000.0,0.0,21204000.0,239000.0,13705000,47873000,-6579000,-4735000,2083682000,0.0,1483871000,,-557000.0,40817000,-778000.0,4525000.0,8608000,323000.0,-6384000.0,486195000,32142000.0,0.43,13923000,527012000,-2054000,,7361000.0,853000.0,19639000,43258000,4438000.0,-130000.0,50794000.0,570136000,41294000,114193000.0,156096000,0.0,119290000,599811000,31084000,122697000.0,3335000.0,31761000.0,365000000.0,50156000.0,42923000,4703000.0,38694000.0,-18634000.0,450846000.0,113173000,17151000.0,82089000,40526000.0,68384000,0.0,1513546000,13923000,13923000,1138805000.0,,,
2015-03-31,,-5000000.0,33539000.0,79123000,571000.0,-7142000.0,20000000.0,541771000,,541771000,2343000.0,-0.19,9052000.0,226699000.0,,-5556000.0,2095000.0,15148000,30169000,-11744000,-4053000,2099701000,0.0,1471997000,,-5203000.0,14759000,-8640000.0,650000.0,6599000,,,527012000,31831000.0,-0.19,-6127000,541771000,-11094000,,7442000.0,827000.0,17813000,14600000,5463000.0,3886000.0,50610000.0,584743000,18425000,,159020000,,135858000,627704000,3635000,,3320000.0,31831000.0,360000000.0,67450000.0,45396000,4736000.0,45699000.0,13231000.0,448885000.0,113624000,16669000.0,109989000,41809000.0,94841000,0.0,1514958000,-6127000,-6127000,1137707000.0,,,
2015-06-30,,-5000000.0,14069000.0,85442000,-7380000.0,-6965000.0,20000000.0,351781000,,351781000,2354000.0,-0.47,8245000.0,263831000.0,,-22346000.0,5457000.0,16844000,-3213000,-6186000,-9064000,2073947000,0.0,1623599000,,-10170000.0,-189990000,-6010000.0,700000.0,6778000,,,541771000,31991000.0,-0.47,-14966000,351781000,-178153000,,8415000.0,829000.0,18674000,-1318000,5594000.0,-19670000.0,52632000.0,567794000,-9399000,,170657000,,141318000,450348000,-13164000,,3298000.0,31991000.0,355000000.0,72832000.0,44634000,4775000.0,54382000.0,12581000.0,426476000.0,126023000,16049000.0,139187000,41708000.0,122343000,-172667000.0,1506153000,-14966000,-14966000,1246789000.0,,,
2015-09-30,,-5000000.0,11262000.0,87627000,2610000.0,-7153000.0,20000000.0,375509000,0.0,375509000,2363000.0,-0.17,7437000.0,250813000.0,-4809000.0,-2752000.0,418000.0,17048000,42760000,-10023000,-4379000,2090736000,0.0,1614262000,,-443000.0,23728000,1371000.0,550000.0,14210000,,,351781000,31980000.0,-0.17,-5362000,375509000,-14282000,,9312000.0,830000.0,22520000,22131000,11856000.0,2082000.0,51797000.0,580778000,32737000,,189078000,11702000.0,162918000,476474000,6722000,,3276000.0,31980000.0,350000000.0,69469000.0,53728000,4801000.0,51066000.0,4273000.0,417860000.0,135350000,15507000.0,128628000,47537000.0,111580000,0.0,1509958000,-5362000,-5362000,1249945000.0,,,
2015-12-31,-56226000.0,-5000000.0,4585000.0,88311000,10245000.0,-6671000.0,16746000.0,421818000,,421818000,2351000.0,0.72,2650000.0,238318000.0,-4865000.0,33235000.0,558000.0,16720000,61529000,-7108000,-3008000,2079571000,0.0,1606838000,,-620000.0,46309000,9280000.0,0.0,9673000,325000.0,-7594000.0,375509000,32284000.0,0.71,22990000,421818000,-11973000,,9368000.0,825000.0,19525000,55111000,-724000.0,7910000.0,50867000.0,535791000,54421000,110728000.0,193009000,,135281000,472733000,42193000,144537000.0,0.0,31999000.0,338366000.0,62514000.0,45127000,6692000.0,40276000.0,-20147000.0,400510000.0,147882000,15507000.0,105689000,46348000.0,88969000,0.0,1543780000,22990000,22990000,1252945000.0,,,
2016-03-31,,-5000000.0,6074000.0,85962000,11155000.0,-6223000.0,16777000.0,461720000,,462812000,2509000.0,0.52,2404000.0,226392000.0,-490000.0,27876000.0,430000.0,17635000,47926000,-3794000,-8225000,2106013000,0.0,1586076000,1092000.0,-4835000.0,39902000,-9295000.0,4700000.0,6654000,,,421818000,32382000.0,0.52,16721000,461720000,416000,,8331000.0,811000.0,17521000,47906000,1048000.0,1706000.0,50238000.0,540537000,44132000,,199739000,8232000.0,143342000,519937000,36524000,,0.0,32085000.0,334146000.0,64677000.0,42900000,6737000.0,47315000.0,8412000.0,397195000.0,156839000,9944000.0,120315000,47002000.0,102680000,0.0,1565476000,16721000,16721000,1252484000.0,,,
2016-06-30,,-15000000.0,7533000.0,86508000,10247000.0,-5829000.0,11812000.0,464151000,,465281000,2455000.0,0.48,2579000.0,218501000.0,-10305000.0,25823000.0,3900000.0,19547000,34438000,-3600000,-17575000,2107234000,0.0,1583015000,1130000.0,-9132000.0,2431000,-1573000.0,0.0,14038000,,,461720000,32448000.0,0.48,15576000,464151000,-13905000,,9339000.0,799000.0,17440000,45718000,-9474000.0,1768000.0,49215000.0,521293000,30838000,,206869000,,132830000,524219000,33948000,,0.0,32186000.0,324910000.0,60917000.0,42679000,6805000.0,45890000.0,-3456000.0,388463000.0,164190000,9906000.0,130242000,46063000.0,110695000,0.0,1585941000,15576000,15576000,1256940000.0,,,
2016-09-30,,0.0,9185000.0,85366000,14241000.0,-5550000.0,21825000.0,522099000,,523270000,2498000.0,0.72,2248000.0,207113000.0,352000.0,37442000.0,398000.0,19357000,61368000,-4298000,746000,2152587000,0.0,1569144000,1171000.0,-606000.0,57948000,-2940000.0,0.0,9861000,,,464151000,32440000.0,0.72,23201000,522099000,-3946000,,9311000.0,797000.0,18080000,58020000,6943000.0,2080000.0,48539000.0,533889000,57070000,,212711000,9079000.0,153459000,583443000,45146000,,0.0,32186000.0,315694000.0,65695000.0,42222000,7012000.0,47461000.0,7908000.0,380430000.0,170489000,9911000.0,125343000,46999000.0,105986000,0.0,1618698000,23201000,23201000,1256353000.0,,,
2016-12-31,-75117000.0,0.0,18386000.0,87568000,15948000.0,-5129000.0,31866000.0,567223000,,567223000,2554000.0,0.92,1948000.0,195965000.0,0.0,45521000.0,-30000.0,19861000,52212000,-7074000,-811000,2185063000,0.0,1557572000,,-1851000.0,45124000,-2236000.0,1250000.0,11478000,326000.0,-13039000.0,522099000,32473000.0,0.91,29573000,567223000,-5824000,,9368000.0,820000.0,17124000,65199000,-15734000.0,10081000.0,50304000.0,530850000,45138000,195799000.0,218311000,3814000.0,154946000,627491000,29287000,162685000.0,0.0,32213000.0,306473000.0,64895000.0,46013000,741000.0,48537000.0,-14384000.0,375904000.0,172298000,9952000.0,143011000,42893000.0,100419000,0.0,1654213000,29573000,29573000,1254866000.0,,,
2017-03-31,,-35000000.0,19521000.0,85504000,13275000.0,0.0,6961000.0,572472000,,572472000,2686000.0,0.69,2101000.0,191472000.0,-13673000.0,35405000.0,0.0,22374000,64557000,-6146000,-39547000,2195155000,0.0,1560992000,,-5781000.0,5249000,-2760000.0,0.0,16947000,,,567223000,32563000.0,0.68,22130000,572472000,-19819000,,9357000.0,772000.0,17298000,55389000,11109000.0,2091000.0,49884000.0,511393000,58411000,,226553000,14559000.0,144091000,634163000,37662000,,0.0,32276000.0,297150000.0,59325000.0,51346000,747000.0,49557000.0,11588000.0,367302000.0,175207000,9952000.0,137545000,46299000.0,110397000,0.0,1683762000,22130000,22130000,1263484000.0,,,
2017-06-30,,0.0,20218000.0,85779000,3611000.0,0.0,21945000.0,564638000,,564638000,2693000.0,0.68,2099000.0,198097000.0,-31395000.0,25795000.0,0.0,23144000,30806000,-6528000,-1226000,2220019000,0.0,1584032000,,-7675000.0,-7834000,-2417000.0,0.0,16694000,,,572472000,32739000.0,0.68,22184000,564638000,-37923000,,10103000.0,715000.0,15860000,44348000,-19948000.0,1343000.0,48531000.0,503284000,24278000,,237153000,0.0,150901000,635987000,27883000,,0.0,32406000.0,282881000.0,63561000.0,55273000,753000.0,51512000.0,-10983000.0,352383000.0,181880000,9952000.0,153997000,48701000.0,126283000,0.0,1716735000,22184000,22184000,1280271000.0,,,
