date,quarterlyCommonStockIssuance,quarterlyInterestExpense,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentDebt,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetOtherFinancingCharges,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedAverageShares,quarterlyTaxProvision,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyResearchAndDevelopment,quarterlyOtherShortTermInvestments,quarterlyChangesInAccountReceivables,quarterlyOtherIntangibleAssets,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyBasicEPS,quarterlyFreeCashFlow,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlySaleOfInvestment,quarterlyDepreciationAndAmortization,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyPurchaseOfInvestment,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestingCashFlow,quarterlyChangeInAccountPayable,quarterlyEndCashPosition,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyAccountsReceivable,quarterlyStockholdersEquity,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyOperatingExpense,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlyCurrentDeferredRevenue,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncome,quarterlyDilutedEPS,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyOtherCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRepaymentOfDebt
2008-07-31,9524000.0,,-53514000,9524000,,-352908000.0,35404000,88956000.0,0,432279000,-3289000.0,,80957000,-84165000,555417000.0,-25671000,,-146600000,599478000,0,212910000,938087000.0,,145148000.0,3960049000,1145830000,-0.22,27443000,719143000,1657230000,264705000.0,46306000,438892000,-966000.0,625000.0,803308000,,-109086000,-389055000.0,-155392000,892676000,-120929000,149917000,1297134000,-174646000,,719143000,555417000.0,17599000.0,0.0,952386000.0,1135016000,2814219000,,,-25639000.0,,161713000,2050086000,679416000.0,2662915000,742759000,685301000.0,365800000.0,3218000.0,305309000,,-11990000,10823000.0,73162000.0,-120929000,-0.22,92399000,-120929000,0.0,162118000,
2008-10-31,26749000.0,,-109008000,-272991000,,-355011000.0,37193000,85007000.0,0,523988000,-13578000.0,,43003000,-257890000,564536000.0,-745000,,61003000,609674000,0,212360000,843635000.0,,155646000.0,3648898000,1168799000,0.11,-66005000,461253000,1304888000,320639000.0,49304000,387252000,-3970000.0,629000.0,719143000,,114438000,-239283000.0,65134000,897655000,61748000,367843000,1161823000,-27902000,,461253000,543807000.0,54519000.0,-299740000.0,964685000.0,1004465000,2480099000,,,-3979000.0,,-117343000,2111834000,607834000.0,2487075000,529812000,613182000.0,366286000.0,-250000.0,302709000,,-92015000,4031000.0,72351000.0,61748000,0.11,90349000,61748000,0.0,157358000,
2009-01-31,6817000.0,,-42975000,7632000,,-382955000.0,40026000,,815000,537834000,-20424000.0,,-19845000,-43565000,,-22710000,,-170375000,625798000,0,211779000,837702000.0,,147101000.0,3350727000,1182769000,,-62820000,417688000,1255390000,95499000.0,48055000,218864000,3865000.0,629000.0,461253000,,-108498000,-81966000.0,-156553000,481140000,-147665000,141666000,956075000,-31352000,,417688000,,60389000.0,0.0,1008753000.0,778591000,2167958000,,,-24845000.0,,64783000,1964169000,318435000.0,2394652000,339474000,559727000.0,369844000.0,-1910000.0,298219000,,-12141000,,151850000.0,-147665000,,86440000,-147665000,0.0,177484000,
2009-04-30,39660000.0,,-20777000,-38637000,,,44677000,,0,327259000,20000.0,,142128000,94586000,542307000.0,-23483000,,-224821000,601053000,0,301797000,825873000.0,14171000.0,142446000.0,3178704000,1158020000,-0.37,121351000,512274000,1338147000,226960000.0,50658000,226114000,4931000.0,636000.0,417688000,169848000.0,-180307000,-215088000.0,-230965000,664231000,-201338000,189696000,859828000,-8905000,7250000.0,512274000,542307000.0,1474000.0,-78075000.0,,702172000,2020684000,,,-15378000.0,,144547000,1762831000,304393000.0,2318876000,474535000,476058000.0,369844000.0,0.0,420661000,,211233000,,132305000.0,-201338000,-0.37,118864000,-201338000,0.0,157656000,-222000.0
2009-07-31,7432000.0,,-17656000,7551000,,,42068000,,0,279216000,-2773000.0,,135117000,11511000,546639000.0,-1799000,,-107101000,582914000,0,192855000,942320000.0,-47929000.0,135678000.0,3298409000,1130504000,-0.19,117461000,523785000,1466105000,200739000.0,49322000,275978000,8670000.0,638000.0,512274000,25376000.0,-110107000,-315022000.0,-110107000,776520000,-105302000,156723000,1051000000,-131157000,49236000.0,523785000,546639000.0,979000.0,0.0,,891321000,2167905000,,,-12653000.0,,170328000,1657529000,351960000.0,2247409000,619797000,615343000.0,369844000.0,782000.0,266830000,,45331000,,134619000.0,-105302000,-0.19,73975000,-105302000,1466105000.0,159679000,119000.0
2009-10-31,45100000.0,,-16593000,44885000,,,42901000,106406000.0,-215000,277643000,2362000.0,,141317000,90705000,574381000.0,2630000,,110207000,565296000,198133000,197948000,1019589000.0,-45991000.0,127817000.0,3463574000,1105858000,0.2,124724000,614490000,1634079000,196596000.0,48770000,321530000,9645000.0,646000.0,523785000,22982000.0,107845000,-274500000.0,107845000,903206000,107577000,391783000,1039939000,-95497000,40102000.0,614490000,551283000.0,2017000.0,0.0,,888806000,2357716000,,,2258000.0,,-42287000,1765106000,397820000.0,2423635000,511423000,567276000.0,369844000.0,-1000000.0,283938000,,1165000,15109000.0,126373000.0,107577000,0.19,85990000,107577000,1634079000.0,151133000,
2010-01-31,45837000.0,,-22575000,47260000,,-516625000.0,20866000,17739000.0,1423000,330674000,2691000.0,6630000.0,69245000,-167269000,,8345000,0.0,139421000,571858000,29950000,216251000,1281006000.0,23008000.0,120458000.0,3585918000,1105088000,,46670000,447221000,1728227000,128139000.0,47914000,344527000,12172000.0,653000.0,614490000,24620000.0,202167000,-389338000.0,134282000,982488000,131076000,438721000,920778000,-283774000,22778000.0,447221000,,-3434000.0,78075000.0,1088483000.0,784378000,2480830000,,,4626000.0,,-136173000,1896182000,374963000.0,2665140000,543767000,390277000.0,369844000.0,0.0,304439000,,-53073000,19624000.0,94211000.0,131076000,,88188000,131076000,0.0,136400000,
2010-04-30,63062000.0,,-17080000,62780000,,,41867000,,0,388139000,3332000.0,,-5397000,41000,590997000.0,13131000,,150725000,548916000,0,218105000,1317634000.0,-155011000.0,115423000.0,3803030000,1076050000,0.24,-22477000,447262000,1764896000,186701000.0,47147000,362740000,10872000.0,663000.0,447221000,25177000.0,147393000,-226963000.0,147393000,1001813000,137594000,456377000,942385000,-57342000,16822000.0,447262000,567183000.0,1974000.0,,,765293000,2726980000,,,14398000.0,,-231687000,2033776000,529663000.0,2860645000,545436000,402553000.0,369844000.0,0.0,308984000,,-56816000,,152994000.0,137594000,0.23,90879000,137594000,1764896000.0,177092000,-282000.0
2010-07-31,14790000.0,,-37644000,14498000,,,44367000,,0,434227000,1355000.0,,34344000,-70259000,572764000.0,-28086000,,-169047000,542216000,0,210635000,1395497000.0,133818000.0,118879000.0,3731268000,1075306000,-0.25,-3300000,377003000,1772500000,448731000.0,46573000,280041000,11234000.0,665000.0,447262000,24631000.0,-175207000,-528663000.0,-175207000,811208000,-140961000,134292000,970754000,-119101000,-84308000.0,377003000,572764000.0,3916000.0,,,819139000,2655962000,,,-29642000.0,,129827000,1892815000,395934000.0,2760514000,676916000,539098000.0,369844000.0,-1525000.0,309499000,,-45962000,,127881000.0,-140961000,-0.25,98864000,-140961000,1772500000.0,151615000,-292000.0
2010-10-31,26279000.0,,-21823000,25978000,,,39719000,,0,377812000,-4418000.0,,212177000,74171000,582648000.0,18723000,,103585000,585672000,0,204527000,1536046000.0,-3374000.0,112642000.0,3915579000,1107877000,0.15,190354000,451174000,1987220000,295667000.0,46876000,324770000,12667000.0,671000.0,377003000,25177000.0,103783000,-437697000.0,103783000,843912000,84862000,392062000,1017699000,-163984000,45618000.0,451174000,577323000.0,-508000.0,,,816489000,2807702000,,8680000.0,15072000.0,,40698000,1977677000,399502000.0,2897880000,451850000,491719000.0,369844000.0,-131000.0,288279000,,56032000,33500000.0,177851000.0,84862000,0.15,83752000,84862000,1987220000.0,201210000,-301000.0
2011-01-31,73145000.0,,-21343000,88765000,,-625082000.0,10819000,46129000.0,15620000,345525000,4794000.0,8792000.0,434673000,214187000,,14255000,,185906000,568857000,71300000,215563000,1825202000.0,50908000.0,288745000.0,4495246000,1268296000,,413330000,665361000,2490563000,238976000.0,46393000,286138000,10272000.0,677000.0,451174000,25368000.0,244720000,-526377000.0,179778000,886376000,171651000,426359000,1313784000,-309251000,-47918000.0,665361000,,-3810000.0,,1193939000.0,942682000,3226950000,,,-2474000.0,163000000.0,212861000,2149328000,348770000.0,3181462000,460017000,331804000.0,369844000.0,-507000.0,246581000,,32618000,248864000.0,138584000.0,171651000,,145018000,171651000,0.0,371102000,
2011-04-30,85286000.0,,-31195000,98578000,,,38010000,54544000.0,13644000,380964000,-3690000.0,,172200000,18272000,613474000.0,21266000,,156485000,553366000,0,231524000,2042908000.0,5820000.0,278761000.0,4736744000,1239981000,0.23,141005000,683633000,2726541000,206946000.0,47764000,346295000,11121000.0,688000.0,665361000,31739000.0,154862000,-427874000.0,154862000,962039000,135219000,484503000,1288936000,-252506000,53740000.0,683633000,594802000.0,2195000.0,,,981166000,3496763000,,,8415000.0,98583000.0,-39488000,2284547000,343202000.0,3447808000,477536000,634871000.0,369844000.0,-383000.0,329641000,,-35183000,,284813000.0,135219000,0.22,98117000,135219000,2726541000.0,307770000,-352000.0
2011-07-31,39499000.0,,-23323000,40178000,,,93512000,29029000.0,1058000,361911000,-1749000.0,,82021000,-151019000,613934000.0,25974000,,177547000,550896000,0,247721000,1941882000.0,-63331000.0,358136000.0,4913614000,1596057000,0.25,58698000,532614000,2474496000,384296000.0,52159000,297813000,14434000.0,691000.0,683633000,35949000.0,174030000,-283800000.0,174030000,1016517000,151573000,525284000,1224145000,-273218000,-62106000.0,532614000,601340000.0,8501000.0,,,960299000,3317557000,,,11667000.0,32699000.0,-166451000,2436120000,419944000.0,3689469000,491233000,662486000.0,593513000.0,-1507000.0,351254000,,33014000,,241353000.0,151573000,0.25,103533000,151573000,2474496000.0,263846000,-379000.0
2011-10-31,51705000.0,,-39035000,78930000,,,46323000,,27682000,319602000,3341000.0,,244417000,34202000,613560000.0,26514000,0.0,204787000,551757000,0,256498000,2181538000.0,48677000.0,342839000.0,5089043000,1588972000,0.29,205382000,566816000,2748354000,362566000.0,52387000,307943000,8997000.0,698000.0,532614000,33230000.0,197090000,-612676000.0,197090000,1066180000,178273000,556717000,1115593000,-289145000,17584000.0,566816000,607063000.0,2993000.0,,,886684000,3500071000,,,-5840000.0,,11056000,2614393000,371261000.0,3973450000,509463000,578741000.0,648053000.0,0.0,359627000,,41917000,,206960000.0,178273000,0.29,103129000,178273000,2748354000.0,228909000,-457000.0
2012-01-31,19367000.0,,-45182000,19037000,,-596456000.0,120332000,133288000.0,10409000,340297000,1136000.0,10382000.0,410518000,101060000,618599000.0,8552000,0.0,124577000,560072000,35439000,266862000,2461700000.0,35070000.0,326136000.0,5552928000,1647570000,0.19,365336000,667876000,3129576000,356935000.0,51895000,335072000,10614000.0,700000.0,566816000,35436000.0,122317000,-640548000.0,122317000,953194000,116025000,490013000,1407204000,-328495000,26490000.0,667876000,611432000.0,5406000.0,,1156528000.0,929958000,3905358000,,,4814000.0,200370000.0,197032000,2730418000,336143000.0,4145724000,463181000,594886000.0,641030000.0,300000.0,367696000,,-20864000,270649000.0,455807000.0,116025000,0.19,100834000,116025000,19465000.0,477246000,-10739000.0
2012-04-30,37361000.0,,-28923000,45521000,,,118085000,133004000.0,8675000,342707000,-929000.0,,-9208000,-298741000,623786000.0,16658000,,77095000,553541000,27679000,283902000,2761677000.0,-75369000.0,363395000.0,5708167000,1676051000,0.1,-38131000,369135000,3130812000,507875000.0,54491000,395578000,10447000.0,707000.0,667876000,35569000.0,72826000,-814222000.0,72826000,924877000,60437000,463364000,1420739000,-335054000,33516000.0,369135000,615780000.0,5451000.0,,,947404000,4032116000,,,3630000.0,134338000.0,-160111000,2790855000,411155000.0,4287428000,461513000,551826000.0,641030000.0,216000.0,390538000,,-2191000,272367000.0,452505000.0,60437000,0.1,106636000,60437000,16624000.0,473335000,-515000.0
2012-07-31,5317000.0,,-61944000,14300000,,,116006000,143165000.0,9479000,387185000,269000.0,,200886000,130483000,623143000.0,26162000,,145208000,574056000,30802000,281193000,2778482000.0,-33849000.0,346938000.0,5891881000,1678030000,0.19,138942000,499618000,3278100000,410981000.0,56195000,417250000,11159000.0,713000.0,369135000,32255000.0,139623000,-433442000.0,139623000,1044270000,119046000,540719000,1438216000,-84703000,32130000.0,499618000,618996000.0,27045000.0,,,1021960000,4213851000,,,10161000.0,68172000.0,-34337000,2909901000,445312000.0,4453665000,503551000,604710000.0,641030000.0,-298000.0,401096000,,-44643000,273182000.0,396019000.0,119046000,0.19,119903000,119046000,19249000.0,416256000,-496000.0
2012-10-31,20103000.0,,-44684000,27084000,,,111499000,172058000.0,7492000,428983000,-3290000.0,,181485000,25770000,628845000.0,44548000,0.0,253628000,566540000,37065000,284180000,2909384000.0,210000.0,331248000.0,6075144000,1650317000,0.34,136801000,525388000,3434772000,343311000.0,57148000,390265000,10860000.0,719000.0,499618000,33069000.0,252217000,-481643000.0,252217000,1204110000,209080000,636658000,1352298000,-182799000,-16547000.0,525388000,622352000.0,7482000.0,,,991359000,4424827000,,,28893000.0,2190000.0,-146695000,3118981000,444944000.0,4722846000,567452000,601094000.0,641030000.0,217000.0,384441000,,-41544000,269003000.0,341312000.0,209080000,0.33,100261000,209080000,32746000.0,360939000,-511000.0
2013-01-31,2154000.0,,-47758000,-102175000,,-712638000.0,107481000,192950000.0,43064000,419686000,1136000.0,10030000.0,451009000,207398000,622018000.0,12135000,0.0,186108000,576144000,35160000,298007000,2995097000.0,-9932000.0,312332000.0,6412245000,1636987000,0.28,403251000,732786000,3727883000,555243000.0,58401000,356428000,9981000.0,720000.0,525388000,35769000.0,183573000,-649138000.0,183573000,1106902000,173973000,585602000,1584542000,-141436000,-38214000.0,732786000,620169000.0,7933000.0,,1288782000.0,976223000,4775258000,,,-10824000.0,236152000.0,228821000,3246088000,454252000.0,4827703000,521300000,619795000.0,641030000.0,217000.0,402029000,,9429000,273605000.0,589321000.0,173973000,0.28,104022000,173973000,35265000.0,608319000,-527000.0
2013-04-30,22996000.0,,-65667000,-116227000,,,107125000,192487000.0,7620000,377597000,205000.0,,175650000,-171363000,619302000.0,10171000,0.0,88062000,588023000,34337000,327161000,3151928000.0,108476000.0,336733000.0,6279527000,1672911000,0.13,109983000,561423000,3713351000,378281000.0,59744000,328259000,10293000.0,725000.0,732786000,33397000.0,82781000,-541950000.0,82781000,954739000,77891000,518568000,1455343000,-230786000,-53101000.0,561423000,616872000.0,4988000.0,-100000000.0,,925577000,4606616000,-46267000.0,,-3063000.0,170068000.0,12813000,3277713000,346998000.0,4824184000,436171000,597318000.0,641030000.0,-1450000.0,435787000,,41510000,269569000.0,511433000.0,77891000,0.13,108626000,77891000,23036000.0,529766000,-576000.0
2013-07-31,8307000.0,,-84986000,-778389000,,,104486000,197039000.0,7240000,378280000,2421000.0,,96469000,29898000,592006000.0,15372000,,111820000,578948000,40315000,331738000,2344572000.0,-71205000.0,322520000.0,5569592000,1646984000,0.16,11483000,591321000,2935893000,1191068000.0,61840000,310271000,5897000.0,726000.0,561423000,32395000.0,105534000,-394264000.0,105534000,977238000,96448000,545538000,1397419000,711818000,16649000.0,591321000,585345000.0,3879000.0,-750000000.0,,935791000,3922608000,-43343000.0,,2452000.0,104011000.0,-93305000,3330815000,418123000.0,4172173000,431700000,625520000.0,641030000.0,0.0,440004000,,-6788000,267252000.0,443943000.0,96448000,0.16,108266000,96448000,36678000.0,461628000,-593000.0
2013-10-31,33446000.0,,-38159000,-4179000,,,102346000,204364000.0,4603000,380319000,-3526000.0,,162315000,-29237000,588752000.0,22750000,,141484000,595418000,55424000,340294000,2470870000.0,-29465000.0,320589000.0,5711373000,1661532000,0.2,124156000,562084000,3032954000,353188000.0,62726000,333283000,5862000.0,732000.0,591321000,34299000.0,140988000,-484257000.0,140988000,1053967000,118734000,584415000,1390726000,-187373000,-1924000.0,562084000,580870000.0,2444000.0,0.0,,985927000,4049841000,-43397000.0,,8525000.0,38255000.0,-58030000,3406154000,447631000.0,4320647000,469552000,652644000.0,643179000.0,-1000000.0,443427000,,-2544000,282658000.0,387784000.0,118734000,0.2,103133000,118734000,40823000.0,404799000,
2014-01-31,5421000.0,7935000.0,-66374000,1288387000,,-700080000.0,104252000,157953000.0,-165762000,387765000,5743000.0,,400712000,589503000,577356000.0,21971000,0.0,168888000,582740000,30590000,336641000,3520223000.0,21046000.0,296012000.0,7250894000,1626183000,0.26,334338000,1151587000,4671810000,589430000.0,54838000,324391000,4877000.0,732000.0,562084000,36204000.0,176823000,-1644933000.0,166924000,1144218000,146917000,619242000,2794496000,-1099596000,17994000.0,1151587000,568483000.0,17007000.0,-37304000.0,1282820000.0,945496000,5624711000,-48329000.0,,7516000.0,172199000.0,150759000,3504742000,426357000.0,4456398000,524976000,621105000.0,643179000.0,-2500000.0,452318000,1356375000.0,-7527000,282405000.0,475125000.0,146917000,0.25,115677000,146917000,0.0,1849000000,
2014-04-30,80232000.0,11471000.0,-29068000,-463122000,,,99354000,175236000.0,4086000,393280000,17684000.0,,151022000,-642422000,570422000.0,26766000,,163282000,570802000,25299000,334263000,3838652000.0,28077000.0,277530000.0,6864663000,1590865000,0.24,121954000,509165000,4347817000,678957000.0,55083000,309008000,6364000.0,743000.0,1151587000,35521000.0,174753000,-1001073000.0,151359000,1102787000,136516000,604202000,2697678000,-330322000,-14880000.0,509165000,559092000.0,14182000.0,-500000000.0,,897945000,5273798000,-46731000.0,,21464000.0,106169000.0,-90676000,3594527000,396438000.0,4166985000,498585000,588937000.0,643179000.0,0.0,452843000,1363276000.0,-5679000,275711000.0,419774000.0,136516000,0.24,118580000,136516000,0.0,1799733000,-709000.0
2014-07-31,17988000.0,11526000.0,-22527000,-27401000,,,95430000,192702000.0,2757000,387434000,-3857000.0,,96282000,5927000,570572000.0,26649000,,154625000,556911000,26700000,337124000,3870962000.0,-73824000.0,260613000.0,6933719000,1556133000,0.23,73755000,515092000,4386054000,641604000.0,55607000,261627000,4378000.0,744000.0,509165000,38415000.0,166151000,-681781000.0,163179000,1102824000,127976000,618974000,2628933000,-62954000,-48768000.0,515092000,558223000.0,13816000.0,0.0,,868729000,5377586000,-47432000.0,,16849000.0,40063000.0,-156124000,3675071000,469625000.0,4304786000,483850000,607102000.0,643179000.0,-250000.0,455795000,1370249000.0,6187000,277033000.0,374113000.0,127976000,0.22,118671000,127976000,0.0,1760204000,-714000.0
2014-10-31,31471000.0,11542000.0,-39741000,-320437000,,,93679000,210388000.0,4901000,408081000,-125000.0,,215623000,-120409000,558201000.0,36103000,,209070000,566601000,32126000,340085000,3846114000.0,-92982000.0,241301000.0,6885869000,1544760000,0.32,175882000,394683000,4240797000,467621000.0,55480000,328097000,9761000.0,752000.0,515092000,41435000.0,220612000,-443225000.0,213315000,1225382000,172967000,676698000,2681276000,-15595000,73475000.0,394683000,547789000.0,12229000.0,-310000000.0,,933907000,5341109000,-46072000.0,,23768000.0,0.0,-82183000,3801966000,563400000.0,4204593000,548684000,605810000.0,643179000.0,-250000.0,463383000,1377259000.0,-20383000,258635000.0,355133000.0,172967000,0.31,123298000,172967000,0.0,1747369000,-737000.0
2015-01-31,23781000.0,11594000.0,-31045000,-22581000,,-621975000.0,90896000,232307000.0,4212000,482893000,188000.0,,442729000,101971000,556573000.0,34731000,0.0,227859000,557282000,167999000,348253000,4126685000.0,89405000.0,221714000.0,7201368000,1488071000,0.35,411684000,496654000,4623339000,448598000.0,53955000,293223000,7844000.0,754000.0,394683000,42470000.0,239453000,-735730000.0,231136000,1250514000,193128000,699603000,2783386000,-318177000,-36722000.0,496654000,544170000.0,11839000.0,-3600000.0,1179257000.0,896030000,5713297000,-46217000.0,,20488000.0,107838000.0,126456000,3948877000,473637000.0,4417982000,550911000,602807000.0,618179000.0,0.0,468467000,1384342000.0,-75109000,292735000.0,488928000.0,193128000,0.35,120214000,193128000,0.0,1887356000,-757000.0
2015-04-30,50000000.0,12000000.0,-30000000,-44000000,,,89000000,254000000.0,6000000,438000000,-1000000.0,,246000000,-33000000,568000000.0,38000000,,172000000,547000000,148000000,339000000,4328000000.0,18000000.0,205000000.0,7291000000,1459000000,0.24,216000000,464000000,4792000000,1063000000.0,54000000,222000000,8000000.0,1000000.0,497000000,45000000.0,184000000,-1267000000.0,176000000,1151000000,134000000,653000000,2735000000,-235000000,-67000000.0,464000000,549000000.0,14000000.0,-53000000.0,,883000000,5832000000,-46000000.0,,28000000.0,42000000.0,-20000000,4037000000,455000000.0,4556000000,498000000,661000000.0,618000000.0,-1000000.0,477000000,1391000000.0,45000000,377000000.0,448000000.0,134000000,0.24,138000000,134000000,0.0,1852000000,-1000000.0
2015-07-31,14000000.0,12000000.0,-24000000,-439000000,,,66000000,292000000.0,0,441000000,-90000000.0,,163000000,-29000000,556000000.0,46000000,,72000000,497000000,146000000,320000000,4070000000.0,-59000000.0,190000000.0,6979000000,1371000000,0.05,139000000,435000000,4505000000,839000000.0,49000000,277000000,1000000.0,1000000.0,464000000,48000000.0,84000000,-594000000.0,165000000,1153000000,26000000,634000000,2794000000,247000000,54000000.0,435000000,541000000.0,43000000.0,-399000000.0,,936000000,5608000000,-53000000.0,,37000000.0,1000000.0,-40000000,4010000000,514000000.0,4185000000,519000000,659000000.0,618000000.0,24000000.0,469000000,1399000000.0,-3000000,321000000.0,447000000.0,26000000,0.05,149000000,26000000,0.0,1858000000,-1000000.0
2015-10-31,35000000.0,12000000.0,-17000000,-20000000,,,73000000,325000000.0,-1000000,425000000,-5000000.0,,255000000,36000000,565000000.0,-1000000,,245000000,477000000,168000000,329000000,4257000000.0,-22000000.0,172000000.0,7174000000,1340000000,0.45,238000000,471000000,4728000000,621000000.0,48000000,295000000,2000000.0,1000000.0,435000000,52000000.0,257000000,-808000000.0,253000000,1305000000,246000000,734000000,2709000000,-199000000,20000000.0,471000000,542000000.0,18000000.0,0.0,,855000000,5834000000,-53000000.0,,42000000.0,1000000.0,-148000000,4204000000,536000000.0,4465000000,571000000,560000000.0,618000000.0,0.0,481000000,1406000000.0,17000000,229000000.0,437000000.0,246000000,0.44,152000000,246000000,0.0,1854000000,-1000000.0
2016-01-31,21000000.0,12000000.0,-15000000,-173000000,1500000000.0,-634000000.0,67000000,301000000.0,2000000,418000000,-32000000.0,,511000000,125000000,593000000.0,46000000,,253000000,466000000,179000000,344000000,4441000000.0,31000000.0,166000000.0,7370000000,1317000000,0.38,496000000,596000000,5037000000,615000000.0,46000000,296000000,-4000000.0,1000000.0,471000000,59000000.0,265000000,-808000000.0,286000000,1401000000,207000000,791000000,2901000000,-213000000,-18000000.0,596000000,539000000.0,18000000.0,-135000000.0,1100000000.0,2438000000,6053000000,-61000000.0,,27000000.0,44000000.0,157000000,4350000000,505000000.0,4469000000,610000000,642000000.0,618000000.0,-5000000.0,505000000,87000000.0,7000000,322000000.0,453000000.0,207000000,0.35,161000000,207000000,5037000000.0,463000000,0.0
2016-04-30,20000000.0,12000000.0,-55000000,-534000000,1500000000.0,,66000000,333000000.0,9000000,394000000,-5000000.0,,309000000,-49000000,597000000.0,45000000,,241000000,479000000,158000000,346000000,4207000000.0,-17000000.0,155000000.0,7108000000,1318000000,0.36,254000000,547000000,4754000000,704000000.0,45000000,320000000,1000000.0,1000000.0,596000000,53000000.0,253000000,-469000000.0,246000000,1305000000,196000000,751000000,2912000000,176000000,32000000.0,547000000,537000000.0,12000000.0,-500000000.0,,2456000000,5790000000,-62000000.0,9000000.0,33000000.0,1000000.0,-18000000,4484000000,523000000.0,4196000000,554000000,636000000.0,618000000.0,-4000000.0,505000000,79000000.0,23000000,350000000.0,447000000.0,196000000,0.33,159000000,196000000,4754000000.0,456000000,-1000000.0
2016-07-31,20000000.0,12000000.0,-32000000,-36000000,1500000000.0,,64000000,372000000.0,16000000,521000000,-2000000.0,,184000000,-121000000,631000000.0,64000000,,317000000,485000000,165000000,350000000,4453000000.0,-121000000.0,138000000.0,7461000000,1305000000,0.47,152000000,426000000,4879000000,703000000.0,47000000,423000000,4000000.0,1000000.0,547000000,58000000.0,329000000,-946000000.0,319000000,1428000000,253000000,826000000,2981000000,-269000000,99000000.0,426000000,534000000.0,9000000.0,-9000000.0,,2479000000,6156000000,-62000000.0,6000000.0,41000000.0,1000000.0,-207000000,4675000000,644000000.0,4480000000,602000000,556000000.0,618000000.0,0.0,507000000,72000000.0,-127000000,251000000.0,494000000.0,253000000,0.4,157000000,253000000,4879000000.0,502000000,-1000000.0
2016-10-31,,16000000.0,-38000000,1383000000,1056000000.0,,64000000,88000000.0,-30000000,679000000,-16000000.0,,458000000,1514000000,653000000.0,79000000,,621000000,503000000,191000000,373000000,4731000000.0,-190000000.0,120000000.0,9612000000,1305000000,1.01,420000000,1940000000,6671000000,544000000.0,48000000,523000000,-4000000.0,1000000.0,426000000,65000000.0,637000000,-834000000.0,639000000,2004000000,542000000,1183000000,4288000000,-327000000,87000000.0,1940000000,538000000.0,7000000.0,0.0,,2086000000,8307000000,-61000000.0,9000000.0,72000000.0,2000000.0,-339000000,5529000000,833000000.0,5324000000,821000000,507000000.0,618000000.0,1000000.0,544000000,1982000000.0,-157000000,170000000.0,213000000.0,542000000,0.83,171000000,542000000,6671000000.0,2202000000,-445000000.0
2017-01-31,,18000000.0,-51000000,-522000000,827000000.0,-670000000.0,62000000,141000000.0,-10000000,794000000,-6000000.0,,721000000,-174000000,660000000.0,71000000,,726000000,521000000,211000000,394000000,5032000000.0,7000000.0,104000000.0,9841000000,1305000000,1.18,670000000,1766000000,6798000000,564000000.0,47000000,485000000,-16000000.0,1000000.0,1940000000,71000000.0,744000000,-885000000.0,733000000,2173000000,655000000,1303000000,4079000000,-373000000,-34000000.0,1766000000,553000000.0,8000000.0,-230000000.0,1191000000.0,1819000000,8536000000,-76000000.0,,51000000.0,4000000.0,-115000000,6108000000,826000000.0,5762000000,870000000,507000000.0,618000000.0,-2000000.0,570000000,1983000000.0,-114000000,85000000.0,271000000.0,655000000,0.99,176000000,655000000,6798000000.0,2260000000,-226000000.0
