date,quarterlyDilutedAverageShares,quarterlyPurchaseOfBusiness,quarterlyOtherIntangibleAssets,quarterlyPretaxIncome,quarterlyOperatingExpense,quarterlyBeginningCashPosition,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyCashAndCashEquivalents,quarterlyNetOtherInvestingChanges,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,quarterlyInvestmentsAndAdvances,quarterlyRepaymentOfDebt,quarterlyCurrentDeferredRevenue,quarterlyStockholdersEquity,quarterlyNetIncome,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyRepurchaseOfCapitalStock,quarterlyStockBasedCompensation,quarterlyTotalRevenue,quarterlyTaxProvision,quarterlyNetPPE,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyOperatingIncome,quarterlyCapitalExpenditure,quarterlyDilutedEPS,quarterlyOperatingCashFlow,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyDepreciationAndAmortization,quarterlyOtherNonCashItems,quarterlyEbitda,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyEndCashPosition,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyInvestingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlySellingGeneralAndAdministration,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyGrossProfit,quarterlyChangeInAccountPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyNetOtherFinancingCharges,quarterlyAccountsPayable,quarterlyBasicAverageShares,quarterlyPurchaseOfInvestment,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyInterestExpense,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashDividendsPaid,quarterlyCurrentDebt,quarterlyLongTermDebt
2016-12-31,,0.0,24828000.0,43507000,225913000,647513000,1085525000.0,173000.0,709003000.0,0.0,-4483000,106887000.0,-18468000,0.0,224983000.0,0.0,645342000.0,837681000.0,25166000,207721000.0,13588000.0,31416000,390007000.0,45589000,0.0,2569000.0,14262000.0,61490000,-35828000.0,32081000,362830000,18341000,137249000.0,-41639000,-70472000.0,46026000,-16863000,,101037000,829440000.0,1538716000.0,472820000.0,37620000.0,376522000.0,13624000,-2202000,59650000,14553000.0,312998000.0,709003000,113778000.0,90891000,2092000,25166000,180324000,121990000,,271939000,1623000,-765000.0,-8380000,56732000.0,,-103035000,-70663000,601225000.0,25166000,2139941000.0,16867000.0,1302260000.0,84174000,,,,,,
2017-03-31,178278000.0,,22535000.0,8104000,244172000,709003000,1198672000.0,175000.0,823249000.0,0.0,-128000,104978000.0,-3545000,0.0,242333000.0,,677114000.0,898249000.0,10717000,231216000.0,14129000.0,69766000,420937000.0,51195000,0.0,29515000.0,18619000.0,114246000,0.0,33331000,340576000,-2613000,155476000.0,15822000,-75740000.0,5840000,-13526000,0.06,129749000,856585000.0,1616082000.0,512549000.0,48337000.0,375423000.0,13493000,1469000,19333000,14553000.0,270111000.0,823249000,116653000.0,90564000,-31325000,10717000,192977000,115207000,0.06,250012000,-8287000,-489000.0,-13693000,48689000.0,174489000.0,-133006000,42437000,651301000.0,10717000,2267383000.0,17218000.0,1369134000.0,116223000,,,,,,
2017-06-30,179701000.0,,20328000.0,32906000,239407000,823249000,1207324000.0,175000.0,853137000.0,0.0,1333000,86439000.0,13297000,0.0,257622000.0,,706672000.0,922139000.0,23033000,320352000.0,15184000.0,71938000,454799000.0,51159000,0.0,12317000.0,16516000.0,29888000,-33154000.0,35091000,363469000,9873000,238513000.0,-33039000,-81839000.0,28410000,-86362000,0.13,144771000,885519000.0,1604634000.0,553033000.0,42345000.0,354187000.0,13999000,236000,42409000,14553000.0,274476000.0,853137000,121492000.0,95652000,-81844000,23033000,188248000,141975000,0.13,267817000,-11593000,-523000.0,-12202000,42171000.0,175741000.0,-137457000,-4535000,756057000.0,23033000,2360691000.0,18012000.0,1438552000.0,58409000,,,,,,
2017-09-30,178973000.0,0.0,18291000.0,37906000,246872000,853137000,1275755000.0,175000.0,905794000.0,0.0,344000,73595000.0,7935000,0.0,247875000.0,0.0,734313000.0,902225000.0,26610000,327874000.0,15862000.0,85558000,484644000.0,53486000,0.0,20004000.0,9778000.0,52657000,-90802000.0,34307000,374217000,11296000,239891000.0,-80772000,-87983000.0,33696000,-21753000,0.15,162343000,910639000.0,1650651000.0,582415000.0,-9587000.0,369961000.0,13716000,1474000,47412000,14553000.0,257999000.0,905794000,115921000.0,93649000,-28914000,26610000,193386000,81945000,0.15,280568000,3343000,-416000.0,-9974000,44543000.0,175519000.0,-89106000,13545000,744628000.0,26610000,2395279000.0,19297000.0,1493054000.0,140590000,,,,,,
2017-12-31,171530000.0,0.0,16255000.0,45078000,269051000,905794000,1251277000.0,168000.0,811004000.0,0.0,-1181000,77291000.0,-8264000,0.0,98022000.0,0.0,793820000.0,589377000.0,-28961000,340550000.0,21435000.0,136763000,542494000.0,54774000,0.0,14033000.0,8609000.0,-94790000,-322377000.0,34454000,416668000,74039000,245395000.0,-317612000,-95155000.0,42198000,-13671000,-0.17,157542000,1027223000.0,1716820000.0,641316000.0,-319580000.0,440273000.0,14268000,601000,56466000,14553000.0,348185000.0,811004000,141959000.0,105419000,65280000,-28961000,214277000,388553000,-0.17,311249000,29627000,-847000.0,-9268000,70009000.0,171530000.0,-309602000,-89902000,541096000.0,-28961000,2257916000.0,19939000.0,1668539000.0,143871000,,,,,,
2018-03-31,171800000.0,,14500000.0,36700000,269400000,811000000,1303900000.0,200000.0,835600000.0,,-200000,80000000.0,-7300000,,82500000.0,,817100000.0,693500000.0,41600000,346700000.0,19000000.0,27200000,579300000.0,59100000,,45100000.0,13400000.0,24600000,-115500000.0,36500000,399000000,-4900000,245100000.0,-89600000,-101600000.0,32400000,-11600000,0.24,139700000,1029700000.0,1735800000.0,677500000.0,-262600000.0,468300000.0,13200000,21100000,45600000,14600000.0,313100000.0,835600000,137900000.0,97200000,-25500000,41600000,210300000,121000000,0.25,301800000,-13600000,-2000000.0,-19200000,55700000.0,167700000.0,-134900000,48900000,664900000.0,41600000,2400700000.0,20800000.0,1707200000.0,128100000,,,,,,
2018-06-30,173500000.0,,21400000.0,51500000,277500000,835600000,1433700000.0,200000.0,972100000.0,,-5000000,78200000.0,-3500000,,65300000.0,,849500000.0,780200000.0,49300000,363500000.0,21700000.0,16200000,621300000.0,61200000,,11600000.0,12200000.0,136500000,-1600000.0,40600000,441300000,2200000,256000000.0,-12800000,-107500000.0,50700000,-11600000,0.28,142300000,1085200000.0,1884800000.0,710300000.0,-214700000.0,461600000.0,13600000,22500000,64300000,25100000.0,333600000.0,972100000,150300000.0,113100000,7000000,49300000,216300000,152000000,0.29,328200000,4500000,-1400000.0,-13300000,63700000.0,168600000.0,-127400000,-20000000,690900000.0,49300000,2575700000.0,20600000.0,1795500000.0,130700000,,,,,,
2018-09-30,175700000.0,0.0,18100000.0,70600000,279500000,972100000,1634200000.0,200000.0,1169300000.0,,900000,80800000.0,-8200000,,38600000.0,0.0,876200000.0,891600000.0,58700000,379600000.0,23000000.0,39800000,668200000.0,58700000,,24900000.0,11100000.0,197200000,0.0,43200000,453900000,11900000,265400000.0,9400000,-114200000.0,62800000,-18200000,0.33,176700000,1111900000.0,2078100000.0,760000000.0,-156000000.0,464900000.0,14200000,21000000,77000000,25700000.0,324400000.0,1169300000,146100000.0,111600000,11100000,58700000,220800000,172200000,0.35,342300000,4200000,-1000000.0,-15500000,66600000.0,169800000.0,-142900000,9100000,685400000.0,58700000,2763500000.0,20200000.0,1871900000.0,158500000,,,,,,
2018-12-31,175800000.0,-15700000.0,22100000.0,92100000,293400000,1169300000,1649600000.0,200000.0,1112400000.0,,-2300000,90000000.0,-14400000,,67000000.0,-600000.0,965900000.0,1010200000.0,182600000,382200000.0,28200000.0,-84500000,720900000.0,65500000,,4900000.0,13000000.0,-56900000,-94700000.0,42600000,507000000,-90500000,271400000.0,-109600000,-110800000.0,85100000,-11600000,1.04,180200000,1256400000.0,2220900000.0,811400000.0,-57500000.0,537200000.0,14700000,25400000,99800000,38200000.0,444500000.0,1112400000,175900000.0,128500000,-127500000,182600000,227900000,176400000,1.07,378500000,19500000,-800000.0,-19200000,86400000.0,170400000.0,-276600000,-120000000,857100000.0,182600000,3078000000.0,20800000.0,2067800000.0,168600000,,,,,,
2019-03-31,174800000.0,,19100000.0,60300000,309000000,1112400000,1801800000.0,200000.0,1216900000.0,,-500000,88400000.0,-2600000,,50200000.0,,991100000.0,1058100000.0,58800000,391000000.0,24300000.0,59500000,774700000.0,68600000,,34600000.0,37900000.0,104500000,-60400000.0,43000000,472600000,1500000,272000000.0,-57800000,-119000000.0,50600000,-10200000,0.34,201300000,1254300000.0,2313300000.0,893300000.0,-50000000.0,584900000.0,15700000,25400000,50600000,38200000.0,381000000.0,1216900000,169700000.0,113000000,-39000000,58800000,240400000,235700000,0.35,359600000,-18000000,-200000.0,-32000000,69200000.0,170200000.0,-264500000,63600000,892400000.0,58800000,3205700000.0,59700000.0,2147600000.0,191100000,,,,,,
2019-06-30,175100000.0,,16200000.0,85800000,318200000,1216900000,1830200000.0,200000.0,1022100000.0,,-400000,85700000.0,-2900000,,149500000.0,,1031500000.0,1122300000.0,72700000,406200000.0,15000000.0,38000000,835000000.0,67400000,,5000000.0,36100000.0,-194800000,-33800000.0,45000000,521700000,13100000,284700000.0,-53300000,-121500000.0,75200000,-17300000,0.42,195100000,1293700000.0,2360700000.0,953400000.0,-9000000.0,808100000.0,15200000,26100000,90400000,38200000.0,403100000.0,1022100000,174800000.0,128300000,-336600000,72700000,250800000,164300000,0.42,393400000,3400000,900000.0,-24500000,72400000.0,171100000.0,-483600000,-22100000,1008700000.0,72700000,3369400000.0,57200000.0,2247100000.0,177800000,,,,,,
2019-09-30,174800000.0,0.0,14000000.0,105400000,323400000,1022100000,1940300000.0,200000.0,1175500000.0,,-6000000,99200000.0,-19700000,,204200000.0,0.0,1063600000.0,1200400000.0,79800000,434600000.0,11600000.0,53700000,882000000.0,69900000,,2200000.0,38200000.0,153400000,-23400000.0,42400000,547500000,25600000,305500000.0,-40700000,-129100000.0,100000000,-17500000,0.46,221200000,1341900000.0,2466200000.0,1003300000.0,46500000.0,764800000.0,15000000,32000000,115000000,38200000.0,384100000.0,1175500000,180800000.0,124100000,-27100000,79800000,253500000,314700000,0.47,423400000,8400000,1100000.0,-19500000,85900000.0,171300000.0,-324300000,19000000,1079400000.0,79800000,3545600000.0,56400000.0,2345200000.0,203700000,,,,,,
