date,quarterlyBasicEPS,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyStockholdersEquity,quarterlyPretaxIncome,quarterlyNetOtherInvestingChanges,quarterlyPurchaseOfBusiness,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyOtherIntangibleAssets,quarterlyChangesInAccountReceivables,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyResearchAndDevelopment,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyTotalRevenue,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyTaxProvision,quarterlyNetPPE,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyFreeCashFlow,quarterlyGoodwill,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentAssets,quarterlyDilutedEPS,quarterlyChangeInAccountPayable,quarterlyOtherNonCurrentAssets,quarterlyGrossProfit,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyChangeInInventory,quarterlyBasicAverageShares,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyLongTermDebt,quarterlyCurrentDeferredRevenue,quarterlyOperatingExpense,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,quarterlySaleOfInvestment,quarterlyInvestmentsAndAdvances,quarterlyOtherShortTermInvestments,quarterlyIncomeTaxPayable,quarterlyCashDividendsPaid
2007-12-31,,75385000,448000.0,581286000,86584000,0,,36023000,,-239421000.0,81222000,81222000,11570000,6026000,100020000.0,,28888000.0,-40727000,127109000,-35526000,42617000.0,25889000,,9687000.0,532841000,-22719000,59131000,92423000,489026000.0,23310000,249605000,5837000,42438000.0,-2394000.0,,102560000,-70364000.0,10137000,649155000,652236000,36412000,440767000.0,149316000,447773000,683209000,1678214000,63274000,162583000,995005000,,,139484000,270602000,4350000.0,1096928000,63274000,63274000,2132000,,101500000,173725000,187000,385072000,52703000.0,178179000,81222000,-19854000,203801000.0,354596000.0,262239000,,,,,,,
2008-03-31,1.09,81222000,448000.0,559008000,48367000,0,,48638000,,-239421000.0,80684000,80684000,19694000,5849000,99802000.0,,-451000.0,-38537000,106175000,-17863000,72211000.0,24254000,35993750.0,1219000.0,438955000,-7379000,8231000,55891000,495680000.0,10088000,256259000,-538000,49295000.0,2307000.0,,65600000,-98611000.0,9709000,751732000,-754598000,852000,447931000.0,138602000,427628000,709971000,1738368000,38279000,172505000,1028397000,1.06,,157245000,221152000,219000.0,1179360000,38279000,38279000,-14270000,35119322.0,107372000,199872000,-1675000,471855000,78758000.0,165261000,80684000,5097000,165920000.0,342867000.0,217803000,,,,,,,
2008-06-30,1.42,80684000,448000.0,548719000,66015000,-304000,,45007000,,-239421000.0,85524000,85524000,14701000,6028000,98745000.0,,-5804000.0,21071000,107229000,-60065000,66952000.0,26704000,35320765.0,1236000.0,515605000,-12831000,76558000,72543000,510866000.0,17164000,271445000,4840000,64240000.0,2087000.0,,82900000,-57614000.0,10357000,746421000,737619000,63727000,445739000.0,157097000,453432000,725932000,1748572000,48851000,172438000,1022640000,1.38,,139631000,259011000,460000.0,1199853000,48851000,48851000,-6905000,34471397.0,105472000,204482000,-500000,468511000,75885000.0,186468000,85524000,-12963000,183586000.0,348274000.0,256594000,,,,,,,
2008-09-30,1.56,85524000,448000.0,510597000,66496000,0,,43359000,,-239421000.0,111039000,111039000,24048000,6846000,97310000.0,,-1702000.0,13335000,107059000,-31548000,41492000.0,26553000,34727806.0,864000.0,509097000,-17250000,76079000,73787000,507057000.0,13772000,267636000,25515000,69332000.0,1985000.0,,83715000,-69071000.0,9928000,760855000,789605000,58829000,437558000.0,145612000,472314000,732154000,1743766000,52724000,162528000,1011612000,1.52,,141092000,248680000,-2765000.0,1233169000,52724000,52724000,1652000,33856574.0,102695000,194271000,-445000,495632000,65318000.0,174893000,111039000,-17017000,199020000.0,340481000.0,260417000,,,,,,,
2008-12-31,,111039000,448000.0,503247000,85191000,0,,37809000,,-259607000.0,78073000,78073000,12492000,6667000,96295000.0,,12094000.0,-22290000,111442000,-69671000,-31861000.0,24771000,,1909000.0,509687000,-23548000,62896000,98219000,544615000.0,22267000,285008000,-32966000,44507000.0,710000.0,,107765000,-4375000.0,9546000,731684000,848489000,39348000,424426000.0,138495000,427598000,670865000,1662529000,62924000,179048000,991664000,,,92977000,264238000,346000.0,1159282000,62924000,62924000,19125000,,111048000,170613000,-6361000,441588000,51665000.0,166019000,78073000,-23817000,199274000.0,348614000.0,245449000,,,,,,,
2009-03-31,1.01,78073000,448000.0,520623000,35033000,0,-170000.0,0,-32142000.0,,130770000,130770000,9700000,5241000,95665000.0,45366000.0,-3862000.0,-7703000,77976000,28728000,-54933000.0,21570000,33996251.0,,374079000,-12452000,34871000,49634000,,1154000,274754000,52697000,0.0,2863000.0,2901000.0,50006000,0.0,9732000,740529000,880357000,22419000,419518000.0,114035000,360644000,651899000,1621796000,33879000,168380000,969897000,1.0,-30197000.0,93332000,187922000,-282000.0,1101173000,33879000,33879000,5504000,33631219.0,104496000,158212000,9360000,467653000,67063000.0,138288000,130770000,-10754000,153853000.0,288893000.0,186157000,,,,,,,
2009-06-30,0.82,130770000,448000.0,591288000,37987000,0,0.0,0,-185191000.0,,119726000,119726000,6006000,6760000,95019000.0,12247000.0,-6935000.0,40289000,84553000,-76326000,-16564000.0,22075000,34192595.0,0.0,407442000,-11568000,74023000,58857000,,10256000,290908000,-11044000,0.0,2984000.0,2631000.0,54865000,0.0,10118000,681351000,907040000,62455000,430229000.0,122488000,384970000,643595000,1657609000,27731000,282887000,1014014000,0.81,4277000.0,197858000,206234000,-2497000.0,1066321000,27731000,27731000,7106000,33690179.0,110189000,157849000,-14110000,398464000,70354000.0,147377000,119726000,-11519000,294411000.0,286296000.0,201208000,,,,,,,
2009-09-30,1.23,119726000,448000.0,651384000,56910000,0,0.0,0,-106615000.0,,113948000,113948000,10652000,6974000,94413000.0,8094000.0,-4976000.0,29971000,92010000,-74516000,-2690000.0,22309000,34413656.0,,435650000,-12626000,79581000,69961000,,15365000,303219000,-10129000,0.0,-97000.0,2735000.0,74694000,0.0,10810000,604889000,946920000,66955000,431590000.0,129686000,424422000,648516000,1680695000,41545000,175285000,1032179000,1.21,6064000.0,109943000,225193000,468000.0,1029311000,41545000,41545000,-2292000,33728931.0,110819000,164761000,6077000,318785000,70071000.0,155232000,113948000,-12564000,191705000.0,284965000.0,210457000,,,,,,,
2009-12-31,,113948000,448000.0,711138000,94832000,0,-14450000.0,0,-98864000.0,-288717000.0,85031000,85031000,89968000,6142000,105284000.0,-28636000.0,19539000.0,-57185000,103160000,-35329000,-16209000.0,23731000,,,511682000,-23395000,44130000,1342877000,605051000.0,25394000,316334000,-24566000,0.0,-52000.0,3100000.0,111792000,-5988000.0,10818000,512974000,1009995000,20735000,440950000.0,138968000,494675000,646107000,1718787000,69438000,189593000,1072680000,,10440000.0,114424000,269988000,1164000.0,1007649000,69438000,69438000,-2501000,,119791000,168042000,3205000,203590000,63292000.0,-1072889000,85031000,-37743000,188266000.0,312998000.0,241694000,,,,,,,
2010-03-31,1.12,85031000,448000.0,711817000,51174000,0,-12528000.0,0,-19199000.0,,85883000,85883000,92766000,5254000,108205000.0,3949000.0,-1806000.0,-4520000,100927000,-20413000,-31689000.0,22465000,34533067.0,,416651000,-10461000,44494000,56812000,,13306000,310631000,852000,0.0,3044000.0,3015000.0,67256000,-29181000.0,10828000,504666000,1045479000,34033000,442528000.0,135014000,498921000,649769000,1715404000,37868000,300796000,1065635000,1.1,-2134000.0,204271000,217926000,1111000.0,1003587000,37868000,37868000,-11023000,33757175.0,117117000,177047000,-384000,203870000,85392000.0,161114000,85883000,-22952000,305228000.0,304121000.0,198725000,,,,,,,
2010-06-30,1.53,85883000,448000.0,717192000,69386000,0,-29000.0,0,-27859000.0,,111591000,111591000,90837000,4711000,106825000.0,-14646000.0,-2728000.0,14266000,110971000,-38732000,-45773000.0,23105000,34395487.0,,468549000,-9342000,74764000,76353000,,18039000,302606000,25708000,0.0,3094000.0,2994000.0,84680000,-43613000.0,10583000,499629000,1092977000,65422000,439270000.0,143602000,528973000,690863000,1745794000,51347000,295382000,1054931000,1.49,11615000.0,206230000,246625000,-1931000.0,1028602000,51347000,51347000,-12610000,33536105.0,115581000,185173000,-2256000,204247000,86473000.0,170272000,111591000,-9306000,327165000.0,310071000.0,221924000,,,,,,,
2010-09-30,1.87,111591000,448000.0,755543000,76862000,0,0.0,0,-5057000.0,,142884000,142884000,89350000,4792000,106351000.0,-6704000.0,-2858000.0,12959000,121339000,-39354000,-245000.0,24992000,34027191.0,,490213000,-18761000,86012000,82220000,,14781000,334803000,31293000,0.0,3059000.0,3042000.0,93117000,-76000000.0,11463000,546060000,1153015000,67251000,448332000.0,145303000,606024000,786729000,1907627000,62081000,300194000,1120898000,1.82,5627000.0,231412000,256055000,-2711000.0,1152084000,62081000,62081000,-17981000,33171017.0,119863000,215316000,-566000,245866000,93783000.0,173835000,142884000,-18706000,395335000.0,331954000.0,234158000,,,,,,,
2010-12-31,,142884000,448000.0,771584000,110091000,9642000,-507000.0,0,-277421000.0,-318342000.0,447577000,447577000,10902000,5300000,104372000.0,-37624000.0,11450000.0,-42027000,138105000,266422000,8201000.0,26466000,,,592765000,-35379000,63009000,121088000,682814000.0,29239000,364472000,304693000,0.0,3353000.0,3334000.0,127045000,-91204000.0,11654000,969293000,1223130000,27630000,434699000.0,164807000,542186000,1144895000,2283063000,80852000,174469000,1138168000,,16588000.0,138629000,316590000,5958000.0,1511479000,80852000,80852000,1197000,,124523000,217104000,917000,670301000,86746000.0,195502000,447577000,-26051000,239151000.0,368936000.0,276175000,,,,,,,
2011-03-31,1.45,447577000,448000.0,788977000,63278000,-902000,-14532000.0,0,-11488000.0,,388102000,388102000,22583000,5711000,113223000.0,14604000.0,-6593000.0,-45528000,134257000,-34560000,27117000.0,26351000,33291632.0,,498766000,-17559000,6524000,70156000,,16451000,380743000,-59475000,0.0,-27000.0,3187000.0,79994000,-57179000.0,11005000,985456000,1267325000,-11035000,444181000.0,161378000,524413000,1117197000,2298846000,46827000,180959000,1181649000,1.41,-6457000.0,146501000,261507000,2260000.0,1509869000,46827000,46827000,-22238000,32290595.0,126664000,247190000,171000,677833000,103380000.0,191351000,388102000,-32945000,195112000.0,365578000.0,237259000,,,,,,,
2011-06-30,1.88,388102000,448000.0,838405000,81337000,20000,-931000.0,0,-92712000.0,,328763000,328763000,12626000,5692000,113686000.0,-10483000.0,-1465000.0,17047000,151499000,-125795000,64255000.0,29605000,33013887.0,,561088000,-22958000,87029000,90207000,,21149000,416872000,-59339000,0.0,106527000.0,2535000.0,91354000,-57000000.0,11796000,936879000,1325007000,64071000,447599000.0,172054000,565995000,1098169000,2341279000,60188000,315520000,1243110000,1.82,13331000.0,264953000,296191000,2738000.0,1502874000,60188000,60188000,-11390000,31997850.0,129907000,268154000,-3178000,621359000,107247000.0,205984000,328763000,-21615000,401870000.0,382089000.0,264897000,,,,,,,
2011-09-30,2.15,328763000,448000.0,819409000,87058000,-21000,-19199000.0,0,-66526000.0,,262473000,262473000,31143000,5893000,123907000.0,-22508000.0,-1695000.0,2573000,167919000,-105970000,24597000.0,30068000,32664482.0,,601114000,-23989000,84111000,93722000,,18862000,408156000,-66290000,0.0,71250000.0,3113000.0,106262000,-57000000.0,13311000,858745000,1391781000,60122000,452158000.0,185832000,617283000,1053146000,2295437000,68196000,308191000,1242291000,2.09,17337000.0,258070000,314417000,-6600000.0,1476028000,68196000,68196000,-4690000,31760270.0,130354000,265351000,-771000,550554000,103169000.0,220695000,262473000,-43109000,418221000.0,398402000.0,286697000,,,,,,,
2011-12-31,,262473000,448000.0,781137000,117504000,0,-711000.0,0,-476968000.0,-340745000.0,235601000,235601000,28300000,5930000,121410000.0,-35577000.0,12345000.0,-13928000,168109000,-94144000,-86938000.0,30115000,,,648360000,-33994000,103216000,124230000,750752000.0,23222000,410007000,-26872000,0.0,94332000.0,3435000.0,136819000,-33399000.0,13385000,812493000,1476550000,69222000,447743000.0,184368000,609844000,1018863000,2203474000,94282000,209945000,1184611000,,3340000.0,86552000,346159000,3036000.0,1422337000,94282000,94282000,18037000,,125833000,241421000,-796000,476715000,99584000.0,221929000,235601000,-34622000,240260000.0,425147000.0,302201000,,,,,,,
2012-03-31,1.66,235601000,448000.0,806973000,69308000,0,0.0,0,-49480000.0,,156192000,156192000,28817000,5823000,120454000.0,41057000.0,-2061000.0,-46352000,131984000,-83770000,-66147000.0,28667000,32386924.0,,535400000,-18529000,20797000,75595000,,16981000,425746000,-79409000,0.0,53209000.0,3303000.0,88105000,-63721000.0,12974000,781051000,1523075000,2268000,451678000.0,167641000,525419000,905582000,2113443000,52327000,213210000,1207861000,1.62,-38231000.0,93901000,277102000,112000.0,1306470000,52327000,52327000,8300000,31531915.0,122983000,238176000,-152000,444858000,99706000.0,201507000,156192000,-18442000,190323000.0,389118000.0,258298000,,,,,,,
2012-06-30,1.97,156192000,448000.0,774974000,81726000,0,-1541000.0,60250000,-96132000.0,,134766000,134766000,27075000,5706000,118439000.0,-17412000.0,-2697000.0,15594000,129988000,-84734000,-90882000.0,27966000,32038928.0,,570283000,-24704000,91252000,95700000,,20022000,427666000,-21426000,0.0,-51951000.0,2651000.0,92789000,-72045000.0,13688000,757650000,1584074000,66548000,446280000.0,169985000,523002000,860976000,2055626000,61704000,325920000,1194650000,1.93,504000.0,202265000,299008000,-315000.0,1280652000,61704000,61704000,13532000,31267660.0,120664000,217231000,-7402000,431730000,95691000.0,203308000,134766000,-26179000,365939000.0,397238000.0,271275000,,,,,,,
2012-09-30,2.34,134766000,448000.0,798244000,95605000,0,-557000.0,58880000,-380868000.0,,105374000,105374000,36570000,5568000,118431000.0,-3459000.0,-2131000.0,17258000,129982000,-113593000,-74107000.0,27896000,31599081.0,,578553000,-21059000,103929000,104025000,,23422000,445024000,-29392000,0.0,75577000.0,3270000.0,114560000,-72084000.0,13387000,707923000,1653715000,82870000,451016000.0,171021000,555238000,838363000,2061405000,72183000,328863000,1223042000,2.28,-1130000.0,208571000,308157000,-79000.0,1263161000,72183000,72183000,6372000,30846062.0,121863000,214893000,-3384000,379060000,84769000.0,204132000,105374000,-21425000,388686000.0,406570000.0,270396000,,,,,,,
2012-12-31,3.43,105374000,448000.0,827219000,135962000,0,0.0,126889000,-175603000.0,-380005000.0,101702000,101702000,41600000,5667000,117564000.0,-28946000.0,12309000.0,-15116000,142362000,-84300000,-97461000.0,28001000,31271377.0,,657292000,-31296000,111726000,147822000,849426000.0,31329000,469421000,-3672000,0.0,4034000.0,3961000.0,156358000,-70822000.0,14729000,727504000,1749451000,80430000,452351000.0,175379000,562677000,864920000,2117400000,104633000,380373000,1252480000,3.35,10976000.0,213144000,356788000,8314000.0,1290181000,104633000,104633000,18627000,30532491.0,139487000,198939000,-6193000,347131000,71435000.0,208966000,101702000,-31214000,378715000.0,437390000.0,300504000,,,,,,,
2013-03-31,1.73,101702000,448000.0,800222000,69136000,0,,125505000,-89334000.0,,93209000,93209000,17959000,5400000,115489000.0,20650000.0,-3354000.0,-42096000,116678000,-12833000,-114576000.0,27700000,31101979.0,,524353000,-19018000,23672000,80311000,,16592000,466165000,-8493000,0.0,2831000.0,2805000.0,88539000,-72300000.0,14003000,792089000,1798295000,4654000,445709000.0,166120000,478295000,828938000,2070606000,52544000,370176000,1241668000,1.69,-25352000.0,214305000,279253000,-227000.0,1270384000,52544000,52544000,-5017000,30299569.0,137846000,199574000,-5775000,421913000,82418000.0,198942000,93209000,-18982000,343658000.0,410650000.0,245100000,,,,,,,
2013-06-30,2.29,93209000,448000.0,811102000,90873000,0,-213000.0,133840000,-46996000.0,,120217000,120217000,17931000,5543000,114496000.0,-8067000.0,-2333000.0,6692000,122755000,-45331000,-108741000.0,29003000,30849934.0,,578680000,-17763000,90960000,100599000,,21811000,474050000,27008000,0.0,3429000.0,3047000.0,110789000,-72544000.0,14373000,813309000,1863514000,73197000,447166000.0,173434000,509026000,875376000,2133437000,69062000,369582000,1258061000,2.24,5546000.0,222349000,308843000,-424000.0,1322335000,69062000,69062000,-3141000,30119889.0,138233000,203288000,-4183000,443727000,85142000.0,208244000,120217000,-17897000,368340000.0,418031000.0,269837000,,,,,,,
2013-09-30,2.49,120217000,448000.0,847642000,97796000,0,0.0,134767000,-232682000.0,,92222000,92222000,16019000,5557000,114012000.0,21258000.0,-2120000.0,32235000,120665000,-131451000,-80535000.0,29046000,30579954.0,,591686000,-20219000,122783000,109406000,,23470000,497277000,-27995000,0.0,3136000.0,3136000.0,118605000,-72569000.0,15252000,757399000,1935087000,102564000,452099000.0,173446000,538975000,848875000,2144016000,74326000,372528000,1295141000,2.43,-4008000.0,231753000,318573000,-634000.0,1296374000,74326000,74326000,-11192000,29818218.0,139549000,219178000,-6053000,384871000,81896000.0,209167000,92222000,-20126000,402291000.0,402708000.0,273113000,,,,,,,
2013-12-31,3.72,92222000,448000.0,935052000,144904000,0,-2448000.0,124996000,-162033000.0,-418712000.0,111874000,111874000,17067000,6211000,114418000.0,-62836000.0,16623000.0,-36408000,145993000,-61501000,-35036000.0,30597000,30366603.0,,684253000,-25349000,108513000,158037000,933150000.0,34742000,514438000,19652000,0.0,3742000.0,3651000.0,166791000,-77563000.0,15676000,653579000,2037420000,83164000,455842000.0,179788000,564188000,913987000,2152819000,110162000,257619000,1238832000,3.63,24109000.0,154134000,375357000,386000.0,1217767000,110162000,110162000,10866000,29596949.0,64449000,210414000,-6922000,395960000,83083000.0,217320000,111874000,-27794000,401128000.0,466703000.0,308896000,,,,,,,
2014-03-31,1.98,111874000,448000.0,923604000,76384000,0,-391000.0,124720000,-93229000.0,,115804000,115804000,16255000,5666000,112919000.0,41500000.0,-695000.0,-28768000,119128000,-22138000,-33183000.0,29497000,30088245.0,,550621000,-16716000,42845000,83859000,,18333000,517686000,3930000,0.0,3238000.0,3201000.0,97564000,-82498000.0,15514000,702338000,2091943000,26129000,456942000.0,172191000,509195000,890105000,2135137000,58051000,252756000,1245032000,1.93,-26550000.0,157485000,292641000,4260000.0,1211533000,58051000,58051000,-13543000,29370232.0,63122000,224420000,-1809000,449582000,98564000.0,208782000,115804000,-16918000,373812000.0,425161000.0,257980000,,,,,,,
2014-06-30,2.55,115804000,448000.0,907714000,97398000,0,-2864000.0,123433000,-163382000.0,,111012000,111012000,121306000,5956000,114257000.0,-1533000.0,-2747000.0,22855000,140105000,-89913000,-35573000.0,32125000,29750815.0,,608834000,-20404000,108132000,105665000,,23376000,521884000,-4792000,0.0,3339000.0,3302000.0,119091000,-101480000.0,15737000,595325000,2162428000,87728000,457759000.0,183103000,640381000,886388000,2143420000,74022000,249961000,1257032000,2.49,21092000.0,163132000,328176000,5228000.0,1235706000,74022000,74022000,-190000,29074695.0,61740000,224448000,-2311000,345364000,97782000.0,222511000,111012000,-23161000,378970000.0,427495000.0,280658000,,,,,,,
2014-09-30,2.96,111012000,448000.0,848940000,111836000,0,-130000.0,115987000,-181918000.0,,126311000,126311000,120025000,5991000,111214000.0,3346000.0,-2660000.0,26716000,129172000,-86232000,-76029000.0,30352000,29408614.0,,629100000,-24288000,127261000,119502000,,26840000,512091000,15299000,0.0,3306000.0,3281000.0,133620000,-112498000.0,15793000,607631000,2243022000,102973000,449539000.0,186499000,650884000,872912000,2107455000,84996000,242624000,1234543000,2.89,-7722000.0,161699000,343551000,212000.0,1258515000,84996000,84996000,-4291000,28732152.0,64751000,219714000,-1675000,365007000,93014000.0,224049000,126311000,-24281000,401687000.0,410900000.0,285549000,,,,,,,
2014-12-31,4.27,126311000,448000.0,719595000,159386000,0,-2399000.0,123988000,-147338000.0,-423310000.0,85263000,85263000,116164000,6924000,112784000.0,-35821000.0,19135000.0,-26232000,145896000,-149825000,-212949000.0,31323000,29045269.0,,697428000,-27980000,140674000,168660000,934772000.0,38214000,511462000,-41048000,0.0,3939000.0,3827000.0,182068000,-117524000.0,15758000,610625000,2357334000,112694000,444085000.0,186789000,678890000,849430000,2009110000,121172000,274835000,1159680000,4.17,19478000.0,91349000,394382000,-7820000.0,1289515000,121172000,121172000,8722000,28398579.0,56727000,204531000,-2350000,335790000,82219000.0,225722000,85263000,-30084000,416830000.0,435648000.0,303046000,,,,,,,
2015-03-31,2.24,85263000,448000.0,666128000,82963000,-8384000,-200000.0,138443000,-77486000.0,,75359000,75359000,114693000,6725000,110476000.0,38179000.0,-1670000.0,-21653000,131667000,-40248000,-219205000.0,28461000,28762935.0,,535701000,-18539000,58596000,89778000,,19912000,510518000,-9904000,0.0,3480000.0,3496000.0,105517000,-123745000.0,15829000,671834000,2415802000,40057000,437704000.0,173038000,637703000,814850000,1975665000,63051000,262655000,1160815000,2.19,-13927000.0,102117000,298805000,441000.0,1309537000,63051000,63051000,-17703000,28115220.0,60636000,218663000,-90000,409179000,98369000.0,209027000,75359000,-27081000,391343000.0,382385000.0,236896000,,,,,,,
2015-06-30,2.79,75359000,448000.0,654251000,102047000,-4427000,-100000.0,137676000,-236437000.0,,149309000,149309000,23353000,6942000,109656000.0,-16415000.0,-1011000.0,9899000,138589000,-9536000,-197425000.0,29794000,28460336.0,,582057000,-17384000,105189000,110676000,,24490000,522195000,73950000,0.0,3590000.0,3485000.0,124980000,-123728000.0,15991000,863158000,2488992000,87805000,442482000.0,174808000,579540000,912664000,2096949000,77557000,258017000,1184285000,2.73,6334000.0,109952000,322912000,-17000.0,1442698000,77557000,77557000,-956000,27843905.0,55198000,223275000,-1687000,605141000,98113000.0,212236000,149309000,-21826000,417598000.0,402404000.0,259145000,,,,,,,
2015-09-30,3.23,149309000,448000.0,586352000,116923000,7248000,-10669000.0,128934000,-60968000.0,,123299000,123299000,21061000,7029000,114355000.0,4359000.0,-564000.0,18354000,136565000,-124080000,-238038000.0,29711000,28113287.0,,604154000,-20833000,126041000,126505000,,28062000,513568000,-26010000,0.0,3443000.0,3367000.0,140039000,-123750000.0,16087000,873779000,2576218000,105208000,448342000.0,175546000,593415000,868315000,2053546000,88861000,272048000,1185231000,3.16,2238000.0,108966000,339529000,-10000.0,1467194000,88861000,88861000,-8355000,27547734.0,63883000,225542000,-2553000,601731000,88547000.0,213024000,123299000,-24100000,435789000.0,390540000.0,264625000,,,,,,,
2015-12-31,,123299000,448000.0,580457000,161491000,148000,-2810000.0,70642000,-219586000.0,-436995000.0,98887000,98887000,14488000,6755000,115252000.0,-24498000.0,10503000.0,-5297000,142075000,-133168000,-266649000.0,31110000,,,673535000,-25750000,137042000,174197000,954224000.0,38140000,517229000,-24412000,0.0,-10000.0,3875000.0,184377000,-123743000.0,16131000,842901000,2692317000,111292000,446284000.0,177418000,595127000,862815000,2018485000,123351000,194552000,1155670000,,7053000.0,54032000,390747000,10577000.0,1438028000,123351000,123351000,8229000,,71365000,214383000,-5951000,576984000,88829000.0,216550000,98887000,-27744000,127645000.0,411420000.0,282788000,,,,,,,
2016-03-31,2.44,98887000,448000.0,543333000,86413000,2128000,-4329000.0,141485000,-124467000.0,,110595000,110595000,17381000,6580000,115990000.0,28610000.0,-3304000.0,-40990000,120536000,-8465000,-259817000.0,28973000,27421019.0,,539674000,-14348000,35700000,93589000,,20739000,521496000,11708000,0.0,3579000.0,3656000.0,109539000,-125000000.0,16546000,947148000,2756453000,21352000,448183000.0,168921000,544792000,866699000,2035273000,65674000,265276000,1168574000,2.4,-21905000.0,82905000,299907000,5680000.0,1491940000,65674000,65674000,-10267000,26931293.0,64089000,227323000,-596000,681872000,102771000.0,206318000,110595000,-16414000,406875000.0,387296000.0,239767000,,,,,,,
2016-06-30,2.99,110595000,448000.0,491962000,103172000,-1053000,0.0,143636000,-145217000.0,,114646000,114646000,20945000,6872000,114002000.0,-23421000.0,-5548000.0,18425000,131888000,-94219000,-282775000.0,30701000,27143284.0,,608286000,-14510000,115525000,120422000,,23584000,514312000,4051000,0.0,11758000.0,3593000.0,126693000,-124997000.0,16649000,978677000,2834772000,101015000,444278000.0,187798000,591108000,900260000,2061747000,79588000,285414000,1161487000,2.93,13232000.0,88895000,347576000,4792000.0,1569785000,79588000,79588000,-9762000,26631015.0,78034000,234006000,-10378000,693263000,117906000.0,227154000,114646000,-15480000,438275000.0,407972000.0,260710000,,,,,,,
2016-09-30,3.84,114646000,448000.0,500517000,133324000,956000,-105352000.0,145377000,-186229000.0,,146133000,146133000,21779000,7167000,169117000.0,-468000.0,-2226000.0,24613000,129650000,18438000,-266403000.0,30139000,26888810.0,,650598000,-22376000,138922000,142588000,,31992000,527477000,31487000,0.0,3719000.0,3612000.0,157989000,-124997000.0,17498000,1099614000,2934167000,116546000,482144000.0,187680000,620849000,946102000,2220980000,101332000,273592000,1274878000,3.77,-3311000.0,96140000,369494000,6014000.0,1720463000,101332000,101332000,172000,26375468.0,65341000,239985000,-2097000,826022000,113340000.0,226906000,146133000,-126629000,469420000.0,414607000.0,281104000,,,,,,,
2016-12-31,5.27,146133000,448000.0,434943000,181284000,1428000,-1700000.0,61075000,-138265000.0,-459470000.0,158674000,158674000,18974000,7407000,167055000.0,-56872000.0,12956000.0,-20009000,146593000,-61679000,-354998000.0,30155000,26631269.0,,709699000,-72723000,152931000,190346000,1023177000.0,43508000,563707000,12541000,0.0,4620000.0,4445000.0,206793000,-124998000.0,18102000,1144319000,3065708000,80208000,476378000.0,188223000,587515000,896784000,2166777000,137776000,269263000,1269993000,5.17,21617000.0,62853000,418610000,514000.0,1731834000,137776000,137776000,7426000,26139024.0,64306000,222047000,-1655000,875056000,100330000.0,228264000,158674000,-72933000,421948000.0,454988000.0,291089000,,,,,,,
2017-03-31,3.57,158674000,448000.0,439852000,113848000,312000,0.0,66184000,-409881000.0,,164893000,164893000,19476000,7741000,165476000.0,23289000.0,-1470000.0,-41826000,137827000,-53945000,-331120000.0,31392000,26586061.0,,594567000,-21015000,67599000,117291000,,21382000,572058000,6219000,0.0,3812000.0,3822000.0,139600000,-124997000.0,18011000,1202750000,3157257000,46584000,478652000.0,184172000,561162000,912865000,2203764000,92466000,258539000,1290899000,3.48,-10614000.0,74713000,342900000,0.0,1763912000,92466000,92466000,-15795000,25932112.0,56852000,242375000,4298000,944211000,132930000.0,225609000,164893000,-10700000,403859000.0,439413000.0,251667000,,,,,,,
