date,quarterlyCommonStockIssuance,quarterlyInterestExpense,quarterlyCapitalExpenditure,quarterlyOtherNonCurrentAssets,quarterlyDilutedEPS,quarterlyCurrentDebt,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestmentsAndAdvances,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyNetOtherFinancingCharges,quarterlyOperatingCashFlow,quarterlyOtherCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyPurchaseOfBusiness,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,quarterlyBasicAverageShares,quarterlyDepreciationAndAmortization,quarterlyOtherIntangibleAssets,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyBasicEPS,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyEbitda,quarterlyPurchaseOfInvestment,quarterlyStockBasedCompensation,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyEndCashPosition,quarterlyOtherNonCashItems,quarterlyCashDividendsPaid,quarterlyGrossPPE,quarterlyRepurchaseOfCapitalStock,quarterlyDeferredIncomeTax,quarterlyRetainedEarnings,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyChangeInWorkingCapital,quarterlyDilutedAverageShares,quarterlyNonCurrentDeferredRevenue,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyStockholdersEquity,quarterlyOperatingExpense,quarterlyCurrentDeferredRevenue,quarterlyNetIncome,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyChangeInInventory,quarterlySaleOfInvestment,quarterlyIncomeTaxPayable,quarterlyChangeInAccountPayable,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables
2008-12-31,14863000.0,12231000.0,-25137000,0.0,,81904000.0,-38685000,,-15031000,,0.0,63505000,17511000,-632318000,2437000,-3970000,,1685394000,34998000,,38368000,,19572000,,2118209000,2039431000,,13638000.0,13638000.0,65913000.0,0,11201000,-10608000.0,149375000,62260000,81832000,,,38968000,-22383000,82922000,1234979000,13638000,-40739000.0,-52165000.0,2317712000,,-3970000.0,-456856000,165328000,78778000,6754000,,,,66453000,65140000.0,354037000.0,883230000,20662000,,38968000,872662000.0,98869000.0,1090000,38968000,98120000.0,0.0,-52010000,,1069651000.0,,,,,,
2009-03-31,31653000.0,11054000.0,-33011000,0.0,0.21,82207000.0,-3997000,,-1256000,,0.0,41155000,0,-720033000,-13814000,1032000,,1699928000,29313000,,8144000,136344000.0,19395000,,2123529000,2054128000,0.21,0.0,0.0,,0,13638000,-14400000.0,158034000,41623000,59762000,,213000.0,28281000,-50972000,71978000,1235818000,-176000,-1411000.0,-52843000.0,2419961000,,1032000.0,-481749000,144277000,69401000,-7986000,139777000.0,,,86056000,69401000.0,,887711000,30355000,,28281000,973842000.0,98600000.0,10918000,28281000,0.0,0.0,-17961000,-1679000.0,1091541000.0,,,,,,
2009-06-30,190335000.0,12302000.0,-34138000,0.0,0.24,16022000.0,276284000,,0,,0.0,49244000,0,-739327000,-8687000,1483000,,2003457000,37656000,,15106000,147487000.0,20247000,,2454714000,2374167000,0.25,0.0,0.0,,0,-176000,-5727000.0,185467000,49958000,70205000,,168000.0,36173000,-334215000,85271000,1388617000,-8863000,5628000.0,-55511000.0,2742784000,,1483000.0,-503078000,70875000,80547000,-10676000,150893000.0,,,100196000,80547000.0,,1066097000,35313000,,36173000,1207231000.0,102933000.0,12408000,36173000,0.0,0.0,-3771000,-76711000.0,1317742000.0,,,,,,
2009-09-30,38022000.0,13729000.0,-23679000,0.0,0.29,7290000.0,-15917000,,-2186000,14873000.0,0.0,62212000,0,-755178000,12991000,2428000,,2011278000,47124000,,38533000,154404000.0,16965000,,2480540000,2383065000,0.29,4128000.0,4128000.0,,1614338000,-8863000,-6723000.0,211858000,63039000,77818000,,198000.0,44696000,-33304000,91473000,1391526000,4128000,-366000.0,-59858000.0,2766456000,,,-518601000,64682000,97475000,-3809000,157826000.0,,,120385000,78474000.0,,1089014000,28434000,,44696000,1213989000.0,103893000.0,11132000,44696000,0.0,0.0,-305931000,-1741000.0,1326844000.0,,,,,,
2009-12-31,-117389000.0,14809000.0,-53002000,0.0,,194063000.0,37090000,,-595000,13493000.0,-60985000.0,72004000,0,-758038000,49799000,-8795000,,2051422000,44133000,,19002000,,13215000,91369000.0,2581125000,2430461000,,,53927000.0,,1660795000,4128000,-4341000.0,256437000,59537000,72157000,,-115000.0,52928000,-59295000,89540000,1451753000,53927000,-7920000.0,,2809460000,,,-527082000,272676000,150664000,18765000,,,,166897000,83244000.0,287670000.0,1129372000,30003000,,52928000,1077726000.0,95870000.0,16909000,52928000,0.0,53927000.0,-6293000,-201773000.0,1179077000.0,,,,,,
2010-03-31,41838000.0,15125000.0,-19000000,0.0,0.31,190379000.0,-9493000,,-1750000,21350000.0,0.0,67330000,0,-774181000,36592000,-2009000,,2048774000,49064000,,48330000,161809000.0,17255000,91683000.0,2620186000,2428127000,0.32,,90519000.0,,1719120000,53927000,-4129000.0,294656000,65939000,81444000,,163000.0,51073000,-21245000,93232000,1444033000,90519000,-452000.0,-62363000.0,2822955000,,-2009000.0,-538838000,266738000,192059000,254000,165150000.0,,,201424000,80190000.0,287670000.0,1176153000,27293000,,51073000,1077869000.0,93921000.0,9395000,51073000,0.0,90519000.0,-2245000,-1806000.0,1177295000.0,,,,,,
2010-06-30,14060000.0,14885000.0,-25097000,0.0,0.25,92035000.0,-137703000,,-1750000,28948000.0,0.0,68111000,0,-776926000,-94796000,4408000,,2030225000,45584000,,43014000,163225000.0,16925000,90273000.0,2514744000,2408168000,0.25,,0.0,,1740102000,90519000,-6775000.0,391782000,62219000,77394000,,67000.0,41176000,-25204000,90804000,1342813000,-4277000,-143000.0,-63553000.0,2807151000,,4409000.0,-561396000,177383000,106576000,3851000,166249000.0,,,300978000,77628000.0,287670000.0,1171931000,28585000,,41176000,1059252000.0,97452000.0,12249000,41176000,0.0,0.0,-107000,-101838000.0,1165430000.0,,,,,,
2010-09-30,0.0,14608000.0,-36673000,0.0,0.26,104487000.0,-25456000,,-1784000,25651000.0,-104000.0,65712000,0,-791898000,6299000,-1900000,0.0,2051778000,41043000,,29039000,163997000.0,16232000,89782000.0,2532365000,2429230000,0.26,,2022000.0,,1752298000,-4277000,-12213000.0,272137000,57435000,71883000,,92000.0,42943000,-33957000,85048000,1374730000,2022000,798000.0,-63900000.0,2843676000,,-1900000.0,-582450000,193352000,103135000,6167000,166889000.0,,,187089000,75462000.0,287670000.0,1157635000,27613000,,42943000,1070646000.0,94797000.0,11569000,42943000,0.0,2022000.0,2716000,-1873000.0,1181378000.0,,,,,,
2010-12-31,30369000.0,15550000.0,-117952000,0.0,,7981000.0,176790000,,-1784000,26099000.0,287393000.0,53968000,0,-806962000,123375000,-5492000,0.0,2172450000,46016000,,-63984000,,16479000,89318000.0,2806408000,2549438000,,,125397000.0,99228000.0,1782804000,2022000,-7111000.0,296527000,63350000,78045000,,127000.0,51508000,-107383000,90647000,1626248000,125397000,-5758000.0,-64258000.0,2979412000,,,-595533000,128903000,256970000,-9304000,,,,205880000,105474000.0,287670000.0,1180160000,27297000,,51508000,1397692000.0,91006000.0,10873000,51508000,0.0,125397000.0,10569000,-51906000.0,1497345000.0,,,,,,
2011-03-31,0.0,22577000.0,-207578000,2491000.0,0.25,10139000.0,224490000,189341000.0,0,30430000.0,-2277000.0,74478000,4795000,-803925000,91390000,13520000,,2370059000,53822000,,-133100000,169968000.0,15104000,244428000.0,3153346000,2806319000,0.25,216787000.0,216787000.0,114574000.0,0,125397000,-4577000.0,394293000,67766000,91503000,,3978000.0,42492000,-207578000,82492000,2121410000,216787000,13157000.0,-21694000.0,3173984000,-43422000.0,,-762004000,151231000,347027000,-1451000,169968000.0,,,311801000,96914000.0,,1031936000,14726000,,42492000,1585542000.0,83952000.0,14646000,42492000,4872000.0,2896000.0,0,-1942000.0,1970179000.0,,,,,,
2011-06-30,0.0,22282000.0,-90617000,3353000.0,0.29,10450000.0,-142599000,162753000.0,0,17202000.0,-671000.0,50367000,1747000,-819800000,-182190000,15245000,,2449263000,60636000,,-40250000,165665517.0,16071000,244253000.0,3055670000,2859622000,0.29,34597000.0,34597000.0,77490000.0,0,216787000,-4577000.0,511497000,82382000,98989000,,3911000.0,48043000,-89958000,94501000,2035536000,34597000,12585000.0,0.0,3269063000,-65223000.0,,-779232000,111458000,196048000,-31446000,165665517.0,399000.0,,416996000,141068000.0,,1020134000,12119000,,48043000,1504759000.0,100083000.0,12781000,48043000,7114000.0,3181000.0,659000,-81976000.0,1924078000.0,,,,,,
2011-09-30,0.0,30046000.0,-82519000,15756000.0,0.18,235752000.0,-40512000,160231000.0,0,18426000.0,-776000.0,87957000,4787000,-837693000,-35074000,10305000,,2596157000,41011000,,5438000,167338889.0,18671000,244079000.0,3172492000,3018613000,0.18,0.0,0.0,84341000.0,0,34597000,-4577000.0,302900000,67622000,89728000,,3051000.0,30121000,-82519000,82611000,2184228000,-477000,34597000.0,0.0,3433850000,-65349000.0,,-814484000,346675000,153879000,-2838000,167338889.0,872000.0,,220289000,132285000.0,,988264000,14989000,,30121000,1013697000.0,110154000.0,13765000,30121000,298071000.0,3168000.0,0,-2013000.0,1837553000.0,,,,,,
2011-12-31,0.0,21478000.0,-98993000,10814000.0,,324603000.0,24345000,161002000.0,0,22783000.0,-471000.0,74284000,4725000,-856420000,-199000,-200000,,2745982000,43301000,,-24709000,,20373000,21234000.0,3339202000,3163509000,,0.0,0.0,166646000.0,1811734000,-477000,-15196000.0,468021000,63338000,85152000,,,45010000,-98828000,85123000,2377585000,-676000,373000.0,0.0,3602402000,-65414000.0,,-834921000,517802000,175693000,16986000,,2185000.0,,382898000,148267000.0,222670000.0,961617000,21785000,,45010000,1301426000.0,106915000.0,18791000,45010000,14060000.0,4643000.0,165000,-2270000.0,1859783000.0,,,,,,
2012-03-31,,23518000.0,-87234000,8073000.0,0.19,58070000.0,24823000,159827000.0,-172000,2451000.0,25210000.0,65334000,4593000,-878498000,2923000,10870000,,2774742000,43078000,,-21900000,168300000.0,22512000,248730000.0,3351933000,3193137000,0.19,2247000.0,2247000.0,116174000.0,1841235000,-676000,-15196000.0,475262000,66502000,89108000,,,32552000,-87234000,106210000,2393971000,2247000,10398000.0,-65562000.0,3653240000,,10870000.0,-868077000,200811000,158796000,-12429000,168300000.0,2367000.0,,369052000,150770000.0,,957962000,39708000,,32552000,1629741000.0,117840000.0,17577000,32552000,5633000.0,3328000.0,0,-2722000.0,2193160000.0,,,,,,
2012-06-30,0.0,37880000.0,-136600000,5579000.0,0.28,9963000.0,99700000,158116000.0,0,102227000.0,-2300000.0,24100000,29768000,-918426000,800000,27178000,0.0,4827773000,108156000,0.0,-112500000,285300000.0,54200000,675453000.0,8081853000,7649671000,0.28,2981000.0,2981000.0,251640000.0,0,2200000,-15196000.0,923280000,134861000,200236000,0.0,2700000.0,80368000,-123000000,161181000,3811300000,3000000,25400000.0,-42300000.0,5746199000,,27700000.0,-903922000,330221000,432182000,-65100000,286000000.0,2411000.0,,762099000,289204000.0,1982026000.0,4265446000,26320000,,80368000,2353012000.0,559401000.0,25782000,80408000,0.0,0.0,4700000,-57300000.0,3481079000.0,,,,,,
2012-09-30,0.0,39973000.0,-143300000,3983000.0,0.11,11319000.0,30200000,158580000.0,-26418000,140719000.0,0.0,130900000,21785000,-958017000,22400000,10162000,0.0,4914846000,40861000,0.0,-12400000,289200000.0,53200000,660211000.0,8203827000,7721664000,0.11,25391000.0,25391000.0,308182000.0,0,3000000,-15196000.0,815347000,100390000,134034000,0.0,5300000.0,30555000,-138700000,128769000,3951308000,25400000,32200000.0,-50800000.0,5872863000,0.0,9300000.0,-990658000,380504000,482163000,-600000,289200000.0,2943000.0,,686578000,294168000.0,1983934000.0,4247268000,28379000,,30555000,2433165000.0,568656000.0,28379000,30699000,0.0,21885000.0,4600000,-800000.0,3570804000.0,,,,,,
2012-12-31,-151131000.0,21129000.0,-188986000,3080000.0,,11652000.0,59613000,161205000.0,-14980000,108096000.0,-2277000.0,139500000,15932000,-997761000,1945000,27129000,,5014542000,109478000,,-49486000,,49499000,647065000.0,8276499000,7801847000,,27336000.0,27336000.0,301936000.0,0,25391000,-26123000.0,1265635000,160233000,178735000,,5408000.0,81369000,-197168000,163314000,4001067000,27336000,32910000.0,100674000.0,6012303000,,27909000.0,-1027678000,411910000,474652000,-31736000,,3099000.0,42804000.0,1102321000,321178000.0,1975612000.0,4270257000,3081000,,81369000,2542742000.0,584489000.0,3081000,81293000,0.0,7528000.0,-8182000,-491000.0,3589157000.0,,,,,,
2013-03-31,345200000.0,27900000.0,-137100000,0.0,0.3,12100000.0,-44400000,163600000.0,-40800000,95200000.0,-14800000.0,229000000,7300000,-1035000000,19100000,30200000,-4800000.0,5109800000,121000000,0.0,91900000,295900000.0,43100000,,8391600000,7880100000,0.3,46400000.0,46400000.0,407900000.0,0,27300000,-26100000.0,1285700000,163300000,206400000,-4800000.0,9100000.0,90300000,-165500000,195900000,3747500000,46400000,50900000.0,-52100000.0,6144800000,,26000000.0,-1058400000,468700000,511500000,20900000,296700000.0,4100000.0,,1089800000,368400000.0,,4638700000,32600000,,90300000,2218300000.0,606800000.0,32600000,90500000,0.0,1500000.0,-23600000,-325300000.0,3278800000.0,,,,,,
2013-06-30,0.0,23900000.0,-222700000,0.0,0.3,261400000.0,49500000,164700000.0,-21400000,107200000.0,-2200000.0,140200000,10500000,-1070600000,-36600000,31400000,-3300000.0,5277000000,125600000,0.0,-82500000,308300000.0,34800000,,8544900000,8047400000,0.3,9800000.0,9800000.0,408000000.0,0,46400000,-26100000.0,1175000000,145100000,179900000,-3300000.0,5700000.0,93900000,-226300000,171300000,3857500000,9800000,24600000.0,-54200000.0,6347600000,,23100000.0,-1089500000,721700000,497500000,-3700000,308300000.0,4300000.0,,1003700000,375600000.0,,4682100000,26200000,,93900000,2073500000.0,640900000.0,26200000,93800000,0.0,4900000.0,-300000,-176600000.0,3135800000.0,,,,,,
2013-09-30,0.0,22600000.0,-244800000,0.0,0.22,261800000.0,117800000,164900000.0,-40800000,143900000.0,-100000.0,87300000,11900000,-1112900000,5700000,40000000,-2400000.0,5482800000,111400000,0.0,-157500000,310800000.0,48600000,,8802500000,8242400000,0.22,15500000.0,15500000.0,433600000.0,244400000,9800000,-26100000.0,1300200000,154000000,202600000,-2400000.0,8200000.0,71900000,-199400000,183800000,3848200000,15500000,35800000.0,-53800000.0,6595700000,-7500000.0,33800000.0,-1146700000,751000000,560100000,-101400000,311700000.0,4400000.0,,1116400000,395500000.0,,4949100000,29800000,,71900000,2000100000.0,675200000.0,29800000,71800000,0.0,5200000.0,47800000,-115900000.0,3097200000.0,,,,,,
2013-12-31,-200000.0,22600000.0,-275400000,0.0,,262000000.0,110100000,165000000.0,-54000000,159000000.0,-11900000.0,194500000,13000000,-1142000000,35800000,41400000,-2500000.0,5750000000,136000000,0.0,-80900000,,44500000,598000000.0,9142000000,8494000000,,51000000.0,51000000.0,359000000.0,391000000,15500000,-8000000.0,1301300000,192600000,237100000,-2500000.0,11000000.0,94900000,-268800000,236000000,3971000000,51000000,56700000.0,-60900000.0,6892000000,,22100000.0,-1189000000,818000000,648000000,9200000,,,102000000.0,1065300000,419000000.0,1966000000.0,5166000000,43400000,,94900000,2013000000.0,699000000.0,43400000,94900000,0.0,4000000.0,9100000,-31200000.0,3153000000.0,,,,,,
2014-03-31,0.0,24000000.0,-287000000,0.0,0.41,262000000.0,134000000,165000000.0,-57000000,135000000.0,-8000000.0,261000000,16000000,-1181000000,102000000,56000000,-2000000.0,6041000000,203000000,0.0,-26000000,319000000.0,54000000,2551000000.0,9498000000,8769000000,0.44,153000000.0,153000000.0,460000000.0,636000000,51000000,-8000000.0,1759000000,262000000,316000000,-2000000.0,10000000.0,147000000,-293000000,300000000,3875000000,153000000,61000000.0,-62000000.0,7222000000,250000000.0,56000000.0,-1182000000,809000000,729000000,-7000000,340000000.0,,,1459000000,432000000.0,,5618000000,38000000,,147000000,1881000000.0,717000000.0,37000000,147000000,0.0,9000000.0,-6000000,-50000000.0,3066000000.0,,,,,,
2014-06-30,0.0,27000000.0,-298000000,0.0,0.21,4000000.0,286000000,162000000.0,-55000000,193000000.0,-5000000.0,155000000,15000000,-1207000000,134000000,51000000,-3000000.0,6278000000,128000000,0.0,-143000000,323000000.0,53000000,2532000000.0,9892000000,8983000000,0.21,287000000.0,287000000.0,442000000.0,636000000,153000000,-8000000.0,1606000000,182000000,235000000,-3000000.0,11000000.0,77000000,-307000000,218000000,4167000000,287000000,50000000.0,-65000000.0,7485000000,,51000000.0,-1252000000,538000000,909000000,-57000000,325000000.0,31000000.0,,1388000000,422000000.0,,5720000000,36000000,,77000000,2417000000.0,748000000.0,35000000,77000000,0.0,7000000.0,7000000,-247000000.0,3629000000.0,,,,,,
2014-09-30,0.0,19000000.0,-344000000,0.0,0.2,4000000.0,185000000,136000000.0,-22000000,202000000.0,-4000000.0,188000000,9000000,-1244000000,42000000,21000000,-2000000.0,6591000000,116000000,0.0,-156000000,327000000.0,54000000,2519000000.0,10215000000,9258000000,0.2,329000000.0,329000000.0,468000000.0,882000000,287000000,-8000000.0,1445000000,139000000,193000000,-2000000.0,24000000.0,75000000,-331000000,209000000,4172000000,329000000,30000000.0,-69000000.0,7835000000,,21000000.0,-1328000000,572000000,957000000,-13000000,329000000.0,30000000.0,,1236000000,421000000.0,,6043000000,70000000,,75000000,2367000000.0,736000000.0,56000000,75000000,0.0,5000000.0,28000000,-3000000.0,3600000000.0,,,,,,
2014-12-31,0.0,20000000.0,-483000000,0.0,,4000000.0,434000000,153000000.0,30000000,137000000.0,-4000000.0,196000000,44000000,-1289000000,-276000000,39000000,-458000000.0,7560000000,123000000,0.0,-287000000,,65000000,751000000.0,11262000000,10574000000,,53000000.0,53000000.0,444000000.0,880000000,329000000,-20000000.0,1259000000,95000000,160000000,-1000000.0,-6000000.0,84000000,-906000000,125000000,4926000000,53000000,-39000000.0,-73000000.0,8849000000,,39000000.0,-1400000000,705000000,688000000,44000000,,44000000.0,106000000.0,1134000000,429000000.0,2090000000.0,6336000000,30000000,,84000000,2857000000.0,793000000.0,28000000,84000000,0.0,51000000.0,49000000,-4000000.0,4221000000.0,,,,,,
2015-03-31,,22000000.0,-498000000,0.0,0.32,4000000.0,347000000,152000000.0,5000000,107000000.0,-2000000.0,120000000,32000000,-1331000000,-11000000,45000000,-19000000.0,8098000000,167000000,0.0,-378000000,339000000.0,57000000,2839000000.0,11738000000,11108000000,0.32,42000000.0,42000000.0,529000000.0,879000000,53000000,-11000000.0,1154000000,164000000,221000000,-19000000.0,13000000.0,120000000,-478000000,212000000,5334000000,42000000,2000000.0,-72000000.0,9429000000,,45000000.0,-1438000000,619000000,630000000,-32000000,340000000.0,45000000.0,,942000000,443000000.0,,6404000000,48000000,,120000000,3272000000.0,829000000.0,49000000,120000000,0.0,38000000.0,52000000,-461000000.0,4715000000.0,,,,,,
2015-06-30,,22000000.0,-387000000,10000000.0,0.09,5000000.0,412000000,150000000.0,-23000000,90000000.0,-14000000.0,209000000,20000000,-1370000000,162000000,93000000,-5000000.0,8388000000,139000000,0.0,-178000000,342000000.0,58000000,2832000000.0,12167000000,11400000000,0.09,204000000.0,204000000.0,502000000.0,1100000000,42000000,-13000000.0,1213000000,165000000,223000000,-5000000.0,8000000.0,43000000,-459000000,200000000,5566000000,204000000,23000000.0,-69000000.0,9758000000,,93000000.0,-1560000000,579000000,767000000,23000000,343000000.0,47000000.0,,1013000000,453000000.0,,6601000000,35000000,,43000000,3534000000.0,898000000.0,37000000,43000000,0.0,20000000.0,-49000000,-462000000.0,4987000000.0,,,,,,
2015-09-30,,39000000.0,-478000000,11000000.0,0.29,149000000.0,130000000,148000000.0,-3000000,105000000.0,-1000000.0,187000000,18000000,-1423000000,-160000000,30000000,-1000000.0,8835000000,145000000,0.0,-291000000,345000000.0,69000000,2835000000.0,12497000000,11855000000,0.29,44000000.0,44000000.0,550000000.0,1100000000,204000000,-5000000.0,1026000000,150000000,219000000,-1000000.0,0.0,113000000,-477000000,196000000,5731000000,44000000,37000000.0,-76000000.0,10258000000,,30000000.0,-1619000000,770000000,642000000,-18000000,345000000.0,51000000.0,,830000000,482000000.0,,6766000000,46000000,,113000000,3498000000.0,920000000.0,29000000,113000000,0.0,11000000.0,16000000,-1000000.0,4961000000.0,,,,,,
2015-12-31,,20000000.0,-448000000,11000000.0,,5000000.0,183000000,145000000.0,-6000000,120000000.0,-19000000.0,285000000,10000000,-1474000000,-16000000,31000000,-2000000.0,9254000000,163000000,0.0,-163000000,,79000000,725000000.0,12936000000,12260000000,,28000000.0,28000000.0,373000000.0,1100000000,44000000,3000000.0,1242000000,172000000,251000000,-2000000.0,4000000.0,79000000,-484000000,224000000,5512000000,28000000,-15000000.0,-77000000.0,10728000000,,31000000.0,-1670000000,639000000,676000000,16000000,,84000000.0,194000000.0,1018000000,493000000.0,2097000000.0,7424000000,52000000,,130000000,3318000000.0,965000000.0,42000000,130000000,0.0,14000000.0,-11000000,-337000000.0,4873000000.0,,,,,,
2016-03-31,345000000.0,21000000.0,-375000000,45000000.0,0.23,6000000.0,390000000,144000000.0,-39000000,85000000.0,-23000000.0,271000000,22000000,-1527000000,218000000,38000000,-2000000.0,9615000000,139000000,0.0,-104000000,376000000.0,67000000,2812000000.0,13448000000,12645000000,0.23,246000000.0,246000000.0,513000000.0,1266000000,28000000,-10000000.0,1017000000,180000000,247000000,-2000000.0,13000000.0,102000000,-443000000,238000000,5508000000,246000000,17000000.0,-78000000.0,11142000000,,38000000.0,-1754000000,599000000,803000000,34000000,376000000.0,85000000.0,,779000000,459000000.0,,7940000000,58000000,,102000000,3292000000.0,980000000.0,58000000,102000000,0.0,13000000.0,-48000000,-25000000.0,4909000000.0,,,,,,
2016-06-30,0.0,24000000.0,-380000000,71000000.0,0.25,6000000.0,485000000,141000000.0,-60000000,113000000.0,-7000000.0,273000000,39000000,-1586000000,-226000000,45000000,-566000000.0,10513000000,158000000,0.0,-107000000,389000000.0,71000000,2849000000.0,14145000000,13605000000,0.25,20000000.0,20000000.0,502000000.0,1510000000,246000000,-9000000.0,1027000000,221000000,292000000,0.0,12000000.0,113000000,-984000000,270000000,5925000000,20000000,46000000.0,-81000000.0,12099000000,,45000000.0,-1844000000,611000000,540000000,-5000000,390000000.0,84000000.0,,757000000,392000000.0,,8220000000,49000000,,113000000,3614000000.0,1006000000.0,46000000,113000000,0.0,15000000.0,-18000000,-2000000.0,5314000000.0,,,,,,
2016-09-30,0.0,29000000.0,-537000000,11000000.0,0.25,6000000.0,112000000,137000000.0,-31000000,157000000.0,-3000000.0,247000000,36000000,-1643000000,20000000,48000000,0.0,10976000000,168000000,0.0,-290000000,392000000.0,77000000,2843000000.0,14606000000,13999000000,0.25,40000000.0,40000000.0,650000000.0,1510000000,20000000,-8000000.0,970000000,202000000,279000000,0.0,11000000.0,120000000,-339000000,246000000,6349000000,40000000,36000000.0,-94000000.0,12619000000,,48000000.0,-1932000000,755000000,607000000,-26000000,393000000.0,84000000.0,,724000000,397000000.0,,8257000000,44000000,,120000000,3818000000.0,1068000000.0,42000000,120000000,0.0,13000000.0,212000000,-299000000.0,5594000000.0,,,,,,
2016-12-31,0.0,28000000.0,-453000000,11000000.0,,6000000.0,229000000,134000000.0,-84000000,181000000.0,0.0,286000000,65000000,-1708000000,-5000000,58000000,0.0,11331000000,189000000,0.0,-167000000,,78000000,737000000.0,15017000000,14341000000,,35000000.0,35000000.0,475000000.0,1509000000,40000000,-11000000.0,1251000000,275000000,353000000,0.0,10000000.0,59000000,-520000000,318000000,6721000000,35000000,29000000.0,-98000000.0,13039000000,,58000000.0,-2010000000,785000000,676000000,-39000000,,86000000.0,170000000.0,933000000,435000000.0,2097000000.0,8296000000,43000000,,131000000,4145000000.0,1111000000.0,49000000,131000000,0.0,9000000.0,-47000000,-5000000.0,5936000000.0,,,,,,
2017-03-31,0.0,27000000.0,-709000000,11000000.0,0.49,6000000.0,244000000,131000000.0,-14000000,123000000.0,-5000000.0,326000000,10000000,-1776000000,1000000,79000000,0.0,12002000000,294000000,0.0,-383000000,398000000.0,84000000,2826000000.0,15625000000,14997000000,0.49,36000000.0,36000000.0,774000000.0,1509000000,35000000,-12000000.0,1485000000,311000000,395000000,0.0,17000000.0,215000000,-569000000,368000000,7198000000,36000000,2000000.0,-98000000.0,13778000000,,79000000.0,-2005000000,858000000,628000000,9000000,400000000.0,88000000.0,,1117000000,463000000.0,,8427000000,57000000,,215000000,4477000000.0,1175000000.0,60000000,215000000,0.0,6000000.0,163000000,-351000000.0,6340000000.0,,,,,,
2017-06-30,0.0,28000000.0,-475000000,11000000.0,0.26,6000000.0,217000000,129000000.0,-25000000,100000000.0,0.0,362000000,24000000,-1844000000,17000000,56000000,-1000000.0,12402000000,180000000,0.0,-113000000,401000000.0,85000000,2815000000.0,15931000000,15383000000,0.26,53000000.0,53000000.0,666000000.0,1508000000,36000000,-16000000.0,1166000000,208000000,293000000,-1000000.0,25000000.0,124000000,-562000000,271000000,7488000000,53000000,32000000.0,-184000000.0,14246000000,,56000000.0,-2105000000,772000000,548000000,43000000,403000000.0,112000000.0,,895000000,386000000.0,,8443000000,63000000,,124000000,4809000000.0,1215000000.0,63000000,124000000,0.0,9000000.0,-64000000,-6000000.0,6716000000.0,,,,,,
2017-09-30,0.0,49000000.0,-341000000,11000000.0,0.22,6000000.0,93000000,126000000.0,-109000000,146000000.0,-12000000.0,302000000,47000000,-1927000000,-22000000,48000000,0.0,12671000000,155000000,0.0,-39000000,403000000.0,94000000,2803000000.0,16265000000,15645000000,0.22,31000000.0,31000000.0,670000000.0,1508000000,53000000,-21000000.0,1041000000,267000000,361000000,0.0,11000000.0,107000000,-417000000,331000000,7933000000,31000000,61000000.0,-224000000.0,14598000000,,48000000.0,-2222000000,792000000,620000000,-29000000,404000000.0,136000000.0,,710000000,437000000.0,,8332000000,64000000,,107000000,5138000000.0,1274000000.0,49000000,107000000,0.0,6000000.0,-68000000,-458000000.0,7141000000.0,,,,,,
2017-12-31,0.0,67000000.0,-314000000,13000000.0,,256000000.0,1551000000,6229000000.0,20000000,168000000.0,-6000000.0,523000000,79000000,-2030000000,290000000,-41000000,-1344000000.0,13546000000,404000000,0.0,209000000,,119000000,843000000.0,25566000000,24544000000,,321000000.0,321000000.0,465000000.0,2424000000,31000000,-7000000.0,1716000000,387000000,506000000,-6000000.0,20000000.0,359000000,-1784000000,467000000,11717000000,321000000,52000000.0,-275000000.0,15576000000,,-41000000.0,-2075000000,1142000000,1022000000,-41000000,,136000000.0,248000000.0,1249000000,177000000.0,3871000000.0,13789000000,80000000,,445000000,7300000000.0,2376000000.0,64000000,445000000,129000000.0,4000000.0,-116000000,-464000000.0,10575000000.0,,,,,,
