date,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetPPE,quarterlyOtherIncomeExpense,quarterlyOtherCurrentLiabilities,quarterlyTaxProvision,quarterlyInventory,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCommonStockIssuance,quarterlyCostOfRevenue,quarterlyOtherShortTermInvestments,quarterlyChangeInCashSupplementalAsReported,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyOtherIntangibleAssets,quarterlyFreeCashFlow,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyPurchaseOfInvestment,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyBasicEPS,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyDepreciationAndAmortization,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInWorkingCapital,quarterlyBasicAverageShares,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyChangeInAccountPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossProfit,quarterlyTotalRevenue,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyChangeInInventory,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyCashDividendsPaid,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyDilutedEPS,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyOperatingExpense,quarterlyRetainedEarnings,quarterlyCurrentLiabilities,quarterlyDilutedAverageShares,quarterlyCurrentDeferredRevenue,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyResearchAndDevelopment,quarterlyInvestmentsAndAdvances,quarterlyNonCurrentDeferredRevenue
1995-03-31,350600000.0,1700000.0,27700000.0,-22200000.0,-6400000.0,18400000.0,18400000,105200000.0,,251200000.0,1400000.0,137000000.0,11500000.0,102000000.0,,,,119900000.0,,-6800000.0,,98300000.0,42900000.0,5500000.0,1049800000.0,18400000.0,644700000.0,,,,91500000.0,91500000.0,0.07,2600000.0,42400000.0,18700000.0,568100000.0,-9200000.0,262857143.0,78500000.0,-300000.0,,,189700000.0,309600000,,561500000.0,31100000,-28000000.0,0.0,-2600000.0,,100000.0,-8500000.0,,49800000,310200000.0,0.07,,29900000.0,158600000.0,267800000.0,257900000.0,262857143.0,,405100000.0,139900000.0,481700000.0,-6100000.0,,,-310300000.0,37000000.0,205000000.0,,,
1995-06-30,365800000.0,-2400000.0,24500000.0,-26900000.0,-70600000.0,25800000.0,25800000,130200000.0,,263300000.0,3200000.0,138900000.0,15200000.0,108900000.0,,,,129100000.0,,-71100000.0,,0.0,43000000.0,-2400000.0,1015900000.0,25800000.0,672100000.0,,,,20300000.0,20300000.0,0.095,2400000.0,49200000.0,20200000.0,597300000.0,-19800000.0,271578947.0,71900000.0,-100000.0,,,204300000.0,333400000,,576300000.0,40400000,-25100000.0,0.0,-5100000.0,,-200000.0,-8500000.0,,60600000,337300000.0,0.095,,41000000.0,163900000.0,285600000.0,260000000.0,271578947.0,,343800000.0,143700000.0,418600000.0,1300000.0,,,-313000000.0,35900000.0,207100000.0,,,
1995-09-30,357800000.0,-200000.0,60400000.0,-25400000.0,-27900000.0,29900000.0,29900000,104000000.0,,270600000.0,2000000.0,147800000.0,18000000.0,108400000.0,,,,139300000.0,,7300000.0,,0.0,42500000.0,35000000.0,1027400000.0,29900000.0,670900000.0,,,,27700000.0,27700000.0,0.115,3400000.0,55000000.0,17300000.0,593900000.0,7800000.0,260000000.0,74800000.0,2000000.0,,,209200000.0,348500000,,591300000.0,49300000,-25100000.0,0.0,-400000.0,,200000.0,-8000000.0,-400000.0,66600000,316300000.0,0.115,,47900000.0,159900000.0,309500000.0,277600000.0,260000000.0,,356500000.0,142600000.0,433500000.0,-100000.0,,,-320700000.0,33600000.0,212300000.0,,,
1995-12-31,359100000.0,-3600000.0,53900000.0,-35400000.0,-11700000.0,25100000.0,25100000,89400000.0,,292900000.0,1200000.0,157000000.0,15000000.0,106100000.0,,,,138800000.0,,-2900000.0,,0.0,50800000.0,18500000.0,1060900000.0,25100000.0,702800000.0,,,,24700000.0,24700000.0,,3000000.0,71600000.0,19900000.0,604200000.0,11300000.0,,81900000.0,-2400000.0,,,210600000.0,349400000,,619900000.0,42000000,-45300000.0,0.0,4000000.0,,100000.0,-8100000.0,-300000.0,61900000,293700000.0,,,40100000.0,168600000.0,325700000.0,310500000.0,,,358100000.0,148700000.0,456700000.0,-14500000.0,,,-327000000.0,28900000.0,204300000.0,,,
1996-03-31,360300000.0,4400000.0,34700000.0,-25600000.0,23600000.0,19600000.0,19600000,163800000.0,,302400000.0,1500000.0,159700000.0,12200000.0,123100000.0,,,,131000000.0,,-6700000.0,,24700000.0,76800000.0,9100000.0,1126900000.0,19600000.0,739500000.0,,,,18000000.0,18000000.0,0.075,3400000.0,55000000.0,21600000.0,671800000.0,-6200000.0,261333333.0,84800000.0,-100000.0,,,202700000.0,333700000,,634400000.0,33800000,-65100000.0,0.0,-11700000.0,,,-9100000.0,-11100000.0,55400000,372300000.0,0.075,,31800000.0,168900000.0,336500000.0,299500000.0,261333333.0,,387400000.0,147300000.0,455100000.0,-40100000.0,,,-332000000.0,51900000.0,208500000.0,,,
1996-06-30,345700000.0,6500000.0,45100000.0,-26900000.0,-5600000.0,27600000.0,27600000,163900000.0,,309800000.0,3200000.0,158400000.0,16300000.0,120300000.0,,,,148900000.0,,13700000.0,,0.0,78000000.0,18200000.0,1134300000.0,27600000.0,733500000.0,,,,31700000.0,31700000.0,0.11,4600000.0,56600000.0,22000000.0,669800000.0,-7400000.0,250909091.0,80600000.0,-500000.0,,,224300000.0,373200000,,651500000.0,45300000,-25500000.0,0.0,2500000.0,,,-9000000.0,-5300000.0,67300000,374200000.0,0.11,,43900000.0,179000000.0,355400000.0,295600000.0,250909091.0,,400800000.0,157000000.0,464500000.0,500000.0,,,-341700000.0,47600000.0,210300000.0,,,
1996-09-30,357300000.0,-2700000.0,96900000.0,-29500000.0,-45200000.0,35500000.0,35500000,163800000.0,,322800000.0,5100000.0,201600000.0,22300000.0,114700000.0,,,,152600000.0,,20000000.0,,0.0,98100000.0,67400000.0,1181300000.0,35500000.0,778200000.0,,,,51700000.0,51700000.0,0.14,3600000.0,26000000.0,22600000.0,685800000.0,40900000.0,253571429.0,83000000.0,0.0,,,239500000.0,392100000,,672900000.0,56400000,-31800000.0,0.0,8300000.0,,,-9000000.0,-2900000.0,79000000,375200000.0,0.14,,57800000.0,183100000.0,384200000.0,310600000.0,253571429.0,,403100000.0,160500000.0,495500000.0,-2700000.0,,,-350100000.0,33200000.0,211400000.0,,,
1996-12-31,343700000.0,8900000.0,77600000.0,-29500000.0,-17300000.0,30400000.0,30400000,148700000.0,,332300000.0,3300000.0,196400000.0,20000000.0,122200000.0,,,,152900000.0,,17600000.0,,0.0,96900000.0,48100000.0,1208400000.0,30400000.0,772900000.0,,,,69300000.0,69300000.0,,2800000.0,27600000.0,23300000.0,688400000.0,27300000.0,,103800000.0,-6300000.0,,,238100000.0,391000000,,688500000.0,50000000,-42200000.0,0.0,-6000000.0,,200000.0,-9000000.0,-3500000.0,73300000,360600000.0,,,50400000.0,188100000.0,404400000.0,327800000.0,,,435500000.0,164800000.0,520000000.0,-14100000.0,,,-356200000.0,39000000.0,211900000.0,,,
1997-03-31,306800000.0,15000000.0,26700000.0,-25100000.0,-1200000.0,26200000.0,26200000,148400000.0,,335200000.0,2300000.0,191100000.0,16600000.0,131100000.0,,,,141100000.0,,-5800000.0,,69300000.0,100000000.0,1600000.0,1179800000.0,26200000.0,742000000.0,,,,63500000.0,63500000.0,0.1,3000000.0,30200000.0,24700000.0,668200000.0,-36000000.0,262000000.0,97900000.0,,,,232600000.0,373700000,,702300000.0,43300000,-30800000.0,0.0,-7600000.0,,100000.0,-10400000.0,-8800000.0,68000000,349000000.0,0.1,,42800000.0,189300000.0,420300000.0,319200000.0,262000000.0,,437800000.0,164600000.0,511600000.0,-6300000.0,,,-367100000.0,37800000.0,200600000.0,,,
1997-06-30,306700000.0,4000000.0,53800000.0,-29300000.0,-11700000.0,32900000.0,32900000,149200000.0,,343000000.0,3500000.0,193100000.0,20400000.0,130200000.0,,,,157900000.0,,7100000.0,,0.0,103000000.0,24500000.0,1208400000.0,32900000.0,752700000.0,,,,70600000.0,70600000.0,0.13,3100000.0,29600000.0,25400000.0,676400000.0,-2500000.0,253076923.0,100600000.0,,,,253900000.0,411800000,,720900000.0,52800000,-35600000.0,0.0,1300000.0,,-200000.0,-10300000.0,-5300000.0,78200000,353100000.0,0.125,,53300000.0,201100000.0,443000000.0,323300000.0,263200000.0,,455700000.0,175700000.0,532000000.0,-6900000.0,,,-377900000.0,37300000.0,203900000.0,,,
1997-09-30,323800000.0,8500000.0,69000000.0,-28800000.0,1500000.0,40500000.0,40500000,148900000.0,,347400000.0,3700000.0,214400000.0,26600000.0,132800000.0,,,,163200000.0,,-3600000.0,,0.0,124300000.0,40200000.0,1263500000.0,40500000.0,795500000.0,,,,67000000.0,67000000.0,0.16,3400000.0,52000000.0,25000000.0,728500000.0,4100000.0,253125000.0,105800000.0,-200000.0,,,269700000.0,432900000,,734400000.0,66800000,-73600000.0,0.0,-3400000.0,,,-10400000.0,-20300000.0,91800000,356300000.0,0.155,,67100000.0,202900000.0,477000000.0,372200000.0,261290323.0,,468000000.0,177900000.0,535000000.0,-46200000.0,,,-387000000.0,37600000.0,207400000.0,,,
1997-12-31,294100000.0,-1200000.0,85600000.0,-38500000.0,46500000.0,34400000.0,34400000,259400000.0,,395600000.0,3900000.0,224900000.0,21700000.0,154800000.0,,,,159000000.0,,-5800000.0,,0.0,217100000.0,47100000.0,1416300000.0,34400000.0,906800000.0,,,,61200000.0,61200000.0,,3200000.0,48900000.0,25800000.0,864600000.0,20200000.0,,130700000.0,-1500000.0,,,263000000.0,422000000,,795600000.0,55600000,-136700000.0,61200000.0,-4700000.0,,,-10400000.0,-26400000.0,81400000,460100000.0,,,56100000.0,207400000.0,495000000.0,404500000.0,,,509500000.0,181600000.0,551700000.0,-99000000.0,,,-400000000.0,47500000.0,200700000.0,,,
1998-03-31,292100000.0,2900000.0,39600000.0,-52800000.0,-29200000.0,30600000.0,30600000,248000000.0,,385500000.0,2600000.0,214800000.0,20300000.0,153800000.0,,,,167100000.0,,-42500000.0,,61200000.0,221200000.0,-13200000.0,1387700000.0,30600000.0,898800000.0,,,,18600000.0,18600000.0,0.12,5400000.0,57600000.0,28800000.0,842300000.0,-19600000.0,255000000.0,118100000.0,600000.0,,,269300000.0,436400000,,812100000.0,53800000,-52100000.0,0.0,-4400000.0,,100000.0,-12300000.0,-19000000.0,82600000,451800000.0,0.115,,50900000.0,215500000.0,513300000.0,390500000.0,266086957.0,,488900000.0,186700000.0,545400000.0,-200000.0,,,-426600000.0,73800000.0,203800000.0,,,
1998-06-30,288100000.0,400000.0,31100000.0,-15400000.0,15700000.0,37700000.0,37700000,240400000.0,,396500000.0,3800000.0,207300000.0,24500000.0,153300000.0,,,,180400000.0,,8600000.0,,0.0,214900000.0,15700000.0,1398800000.0,37700000.0,899500000.0,,,,27200000.0,27200000.0,0.145,5400000.0,88800000.0,29700000.0,831700000.0,-7700000.0,260000000.0,116700000.0,-900000.0,,,288100000.0,468500000,,833400000.0,63800000,-37400000.0,0.0,3800000.0,,0.0,-12200000.0,-7300000.0,93500000,418900000.0,0.14,,62200000.0,224300000.0,538800000.0,412800000.0,269285714.0,,499300000.0,194600000.0,567100000.0,-27700000.0,,,-436900000.0,71000000.0,178500000.0,,,
1998-09-30,519200000.0,4000000.0,98300000.0,-69100000.0,-55000000.0,85000000.0,47000000,192000000.0,,406300000.0,4700000.0,218500000.0,31800000.0,159600000.0,,,,193500000.0,,15100000.0,,0.0,,29200000.0,1446100000.0,85000000.0,925500000.0,,0.0,,42400000.0,42400000.0,0.325,5100000.0,104400000.0,30900000.0,790900000.0,22700000.0,261538462.0,121400000.0,-200000.0,,,306500000.0,500000000,,857500000.0,79100000,-27000000.0,0.0,-6400000.0,,,-12200000.0,-18200000.0,110000000,346600000.0,0.32,,78800000.0,227400000.0,655400000.0,444300000.0,265625000.0,,520600000.0,196500000.0,655200000.0,27700000.0,,,-451200000.0,57900000.0,154600000.0,,,
1998-12-31,381700000.0,-1600000.0,66600000.0,-50500000.0,-36400000.0,39200000.0,39200000,227000000.0,,420200000.0,5000000.0,207200000.0,25200000.0,165600000.0,,,,188200000.0,,-13900000.0,,0.0,165600000.0,16100000.0,1471000000.0,39200000.0,967500000.0,,,,28400000.0,28400000.0,,5800000.0,68000000.0,32600000.0,780500000.0,8800000.0,,124600000.0,-1500000.0,,,295100000.0,483300000,,875000000.0,65200000,-45300000.0,28500000.0,-4700000.0,,,-12300000.0,-8500000.0,97800000,380700000.0,,,64400000.0,229900000.0,638500000.0,399800000.0,,,503500000.0,197300000.0,690500000.0,4900000.0,,,-454800000.0,62800000.0,153700000.0,,,
1999-03-31,561300000.0,6200000.0,45200000.0,-63500000.0,15200000.0,35000000.0,35000000,247800000.0,,419700000.0,2100000.0,220300000.0,23600000.0,165500000.0,,,,187700000.0,,-3000000.0,,28400000.0,,-18300000.0,1519000000.0,35000000.0,981000000.0,,,,25400000.0,25400000.0,0.135,5800000.0,78300000.0,32700000.0,830100000.0,-21500000.0,259259259.0,123000000.0,-1600000.0,,,301600000.0,489300000,,885300000.0,62300000,-62900000.0,0.0,-200000.0,,,-13600000.0,-9700000.0,95000000,408500000.0,0.13,,58600000.0,239300000.0,673500000.0,421600000.0,269230769.0,,538000000.0,206600000.0,688900000.0,-100000.0,,,-465600000.0,65100000.0,160700000.0,,,
1999-06-30,548400000.0,4300000.0,56600000.0,-39600000.0,-22400000.0,43400000.0,43400000,237600000.0,,431500000.0,4800000.0,206500000.0,26900000.0,171000000.0,,,,201800000.0,,4500000.0,,0.0,,17000000.0,1534700000.0,43400000.0,979900000.0,,,,29900000.0,29900000.0,0.165,6200000.0,91700000.0,32900000.0,826000000.0,-32100000.0,263030303.0,128700000.0,900000.0,,,318600000.0,520400000,,914300000.0,71800000,-30100000.0,0.0,-4600000.0,,,-13600000.0,-11700000.0,104700000,399100000.0,0.16,,70300000.0,246800000.0,688400000.0,426900000.0,271250000.0,,554800000.0,213900000.0,708700000.0,0.0,,,-482800000.0,53200000.0,161500000.0,,,
1999-09-30,299000000.0,1300000.0,97200000.0,-39100000.0,-62900000.0,55000000.0,55000000,184300000.0,,439800000.0,5600000.0,240700000.0,33600000.0,169400000.0,,,,212300000.0,,-3400000.0,,0.0,259700000.0,58100000.0,1583000000.0,55000000.0,998500000.0,,,,26500000.0,26500000.0,0.21,4900000.0,102900000.0,35300000.0,836900000.0,9900000.0,261904762.0,136100000.0,-300000.0,,15000000.0,342200000.0,554500000,,941600000.0,87900000,-37600000.0,26500000.0,1800000.0,,200000.0,-13600000.0,-10300000.0,123200000,357200000.0,0.205,,88600000.0,254300000.0,731100000.0,479700000.0,268292683.0,,584500000.0,219000000.0,746100000.0,100000.0,,,-501800000.0,52200000.0,172900000.0,,,
1999-12-31,310800000.0,1400000.0,94500000.0,-49400000.0,-29000000.0,42400000.0,42400000,169000000.0,,448100000.0,5800000.0,235900000.0,25700000.0,176400000.0,,,,201200000.0,,21200000.0,145600000.0,26500000.0,249700000.0,45100000.0,1585900000.0,42400000.0,1008600000.0,,,,47700000.0,47700000.0,,5900000.0,112100000.0,33600000.0,823900000.0,27700000.0,,122700000.0,-2900000.0,,-73100000.0,314600000.0,515800000,,957200000.0,68200000,-43900000.0,47700000.0,-5900000.0,,-200000.0,-13500000.0,-10700000.0,101800000,353200000.0,,,68100000.0,246400000.0,756600000.0,470700000.0,,,577300000.0,212800000.0,762000000.0,-1300000.0,,,-509100000.0,53400000.0,184200000.0,,,
2000-03-31,305224000.0,3435000.0,47229000.0,-32923000.0,14000.0,42612000.0,42612000,171382000.0,,451900000.0,2891000.0,237307000.0,27603000.0,184175000.0,,,,200085000.0,,-24984000.0,146097000.0,47748000.0,299609000.0,14306000.0,1632754000.0,42612000.0,1056733000.0,,,,22764000.0,22764000.0,0.165,5357000.0,139990000.0,36399000.0,844466000.0,-28766000.0,257888000.0,118502000.0,-187000.0,,-81232000.0,326175000.0,526260000,,970880000.0,72681000,-72739000.0,22764000.0,-3757000.0,,,-15526000.0,-8306000.0,109080000,348667000.0,0.16,,70215000.0,253494000.0,783634000.0,495799000.0,266660000.0,,576021000.0,217095000.0,788288000.0,0.0,,,-518980000.0,57625000.0,177285000.0,,,
2000-06-30,589466000.0,7113000.0,88907000.0,-38791000.0,-36708000.0,48409000.0,48409000,161802000.0,,470765000.0,5106000.0,244822000.0,30092000.0,172811000.0,,,,223309000.0,,7368000.0,146638000.0,22764000.0,,50116000.0,1646473000.0,48409000.0,1060231000.0,,,,30132000.0,30132000.0,0.19,5245000.0,189179000.0,36073000.0,895810000.0,-2579000.0,256692000.0,127931000.0,-2242000.0,,-82771000.0,347402000.0,570711000,,1002749000.0,78640000,-44751000.0,30132000.0,-959000.0,,,-15555000.0,-79743000.0,114713000,333878000.0,0.18,,78501000.0,268762000.0,816650000.0,561932000.0,265980000.0,,586242000.0,232689000.0,750663000.0,-62000.0,,,-531984000.0,57754000.0,172076000.0,,,
2000-09-30,596855000.0,6621000.0,99907000.0,-38489000.0,-19904000.0,60338000.0,60338000,161717000.0,,482916000.0,5370000.0,260993000.0,36232000.0,183487000.0,,,,229513000.0,,14943000.0,147043000.0,30132000.0,,61418000.0,1724379000.0,60338000.0,1079771000.0,,,,45075000.0,45075000.0,0.235,6528000.0,234310000.0,37438000.0,979167000.0,9181000.0,254224000.0,139434000.0,-2160000.0,,-88036000.0,371153000.0,600666000,,1032074000.0,97728000,-66025000.0,45075000.0,-8711000.0,,,-15420000.0,-55246000.0,135166000,344430000.0,0.23,,96570000.0,273425000.0,861696000.0,634737000.0,262334000.0,,644608000.0,235987000.0,745212000.0,62000.0,,,-549158000.0,57946000.0,182713000.0,,,
2000-12-31,611803000.0,13453000.0,79443000.0,-39806000.0,-58637000.0,54768000.0,57196000,234377000.0,,501640000.0,26885000.0,249014000.0,35568000.0,168220000.0,,326937000.0,,224563000.0,,-1110000.0,,45075000.0,,39637000.0,1714011000.0,54768000.0,1113443000.0,,,,43965000.0,43965000.0,,7475000.0,136592000.0,38526000.0,957004000.0,19917000.0,,146428000.0,-7015000.0,,,342113000.0,566676000,,1010740000.0,73354000,-19202000.0,43965000.0,-9158000.0,,,-15143000.0,-43221000.0,111880000,424970000.0,,,92764000.0,268759000.0,757007000.0,532034000.0,,,600568000.0,230233000.0,757007000.0,0.0,,,-509100000.0,61446000.0,190593000.0,,,
2001-03-31,620817000.0,4964000.0,54047000.0,-36163000.0,-16289000.0,44414000.0,44414000,237191000.0,,506965000.0,2340000.0,268998000.0,28639000.0,172221000.0,,358925000.0,,265230000.0,,-5277000.0,148862000.0,43965000.0,,17884000.0,1761952000.0,44414000.0,1127782000.0,,,,38688000.0,38688000.0,0.175,6668000.0,138937000.0,40104000.0,967582000.0,-27617000.0,253924000.0,123921000.0,-295000.0,,-88799000.0,315677000.0,580907000,,1060869000.0,77381000,-43101000.0,38688000.0,-7052000.0,,,-16647000.0,-10213000.0,117485000,435726000.0,0.17,,70713000.0,238296000.0,927795000.0,531856000.0,261258000.0,,634170000.0,238296000.0,794370000.0,0.0,,,-553904000.0,13750000.0,198535000.0,,,
2001-06-30,604105000.0,-4964000.0,74392000.0,-44846000.0,-15286000.0,48193000.0,48193000,245888000.0,,518870000.0,4694000.0,262388000.0,29737000.0,172956000.0,,364246000.0,,274816000.0,,14457000.0,149156000.0,38688000.0,,29546000.0,1777770000.0,48193000.0,1122975000.0,,,,53145000.0,53145000.0,0.19,6816000.0,134971000.0,40955000.0,961084000.0,-24372000.0,254666000.0,129359000.0,50000.0,,-104598000.0,320992000.0,595808000,,1072774000.0,80052000,-44444000.0,53145000.0,-711000.0,,,-16598000.0,-4182000.0,121007000,434366000.0,0.185,,73428000.0,240940000.0,959373000.0,526718000.0,260136000.0,,654795000.0,240940000.0,816686000.0,2000.0,,,-553904000.0,14890000.0,188478000.0,,,
2001-09-30,630443000.0,0.0,107210000.0,-37525000.0,-28903000.0,57261000.0,57261000,246706000.0,,523465000.0,5487000.0,280568000.0,35279000.0,171700000.0,,382720000.0,6093000.0,280748000.0,,36700000.0,149674000.0,53145000.0,,69685000.0,1859917000.0,57261000.0,1153908000.0,,,,89845000.0,89845000.0,0.225,7010000.0,133143000.0,41073000.0,997350000.0,11977000.0,255350000.0,136136000.0,2454000.0,,-93406000.0,335483000.0,616231000,,1077369000.0,94063000,-41898000.0,89845000.0,1371000.0,,,-16575000.0,-17457000.0,135136000,447503000.0,0.22,,87106000.0,241420000.0,1000014000.0,549847000.0,259618000.0,,706009000.0,241420000.0,862567000.0,-407000.0,,,-553904000.0,12153000.0,200797000.0,,,
2001-12-31,175218000.0,18381000.0,128832000.0,-39403000.0,317991000.0,38302000.0,38302000,512280000.0,,644323000.0,2488000.0,394787000.0,23753000.0,279785000.0,,514074000.0,,268837000.0,,-48052000.0,149734000.0,89845000.0,775876000.0,89429000.0,2525000000.0,38302000.0,1595417000.0,,,,41793000.0,41793000.0,,7940000.0,233393000.0,40858000.0,1644648000.0,50127000.0,,199772000.0,-5159000.0,,-99299000.0,292940000.0,561777000,,1459635000.0,66117000,-495271000.0,41793000.0,-1622000.0,,,-16636000.0,-312000.0,106975000,816696000.0,,,58498000.0,226823000.0,1021049000.0,827952000.0,,,929583000.0,225433000.0,880352000.0,405000.0,,,-815312000.0,40150000.0,304416000.0,,,
2002-03-31,192587000.0,16983000.0,86828000.0,-46081000.0,-35182000.0,38923000.0,37041000,505916000.0,,636058000.0,-12296000.0,425118000.0,25370000.0,278298000.0,,539350000.0,,395945000.0,,-11561000.0,150779000.0,41793000.0,769312000.0,40747000.0,2545206000.0,38923000.0,1597957000.0,,,,30232000.0,30232000.0,0.15,10512000.0,211009000.0,54371000.0,1634838000.0,-7459000.0,256812000.0,194698000.0,-654000.0,,-120287000.0,390164000.0,786109000,,1451370000.0,72923000,-65382000.0,30232000.0,-1946000.0,,,-17265000.0,-764000.0,127294000,804013000.0,0.15,,62411000.0,317241000.0,1042570000.0,830825000.0,260360000.0,,947249000.0,304945000.0,910368000.0,-775000.0,,,-815312000.0,44682000.0,298097000.0,,,
2002-06-30,197425000.0,5662000.0,133389000.0,-52412000.0,-60346000.0,51661000.0,51661000,525251000.0,,650062000.0,-11818000.0,470418000.0,35008000.0,288043000.0,,554781000.0,,413425000.0,,20560000.0,151101000.0,30232000.0,808076000.0,80977000.0,2651634000.0,51661000.0,1655563000.0,,,,50792000.0,50792000.0,0.2,11955000.0,174555000.0,51931000.0,1679653000.0,29827000.0,257810000.0,195159000.0,-1848000.0,,-97149000.0,425805000.0,839230000,,1465374000.0,98624000,-50755000.0,50792000.0,-93000.0,,,-17397000.0,-1348000.0,150555000,839521000.0,0.2,,86669000.0,327181000.0,1072828000.0,840132000.0,261226000.0,,996071000.0,315363000.0,971981000.0,-776000.0,,,-815312000.0,44263000.0,314270000.0,,,
2002-09-30,202566000.0,-22645000.0,147743000.0,-46966000.0,-56676000.0,72082000.0,72082000,539636000.0,,657820000.0,-2109000.0,504607000.0,47826000.0,296295000.0,,571406000.0,,434195000.0,,44670000.0,151453000.0,50792000.0,832569000.0,100777000.0,2765582000.0,72082000.0,1692955000.0,,,,95462000.0,95462000.0,0.28,10988000.0,132350000.0,54281000.0,1712893000.0,21988000.0,258574000.0,205391000.0,-701000.0,,-75325000.0,460671000.0,894866000,,1473132000.0,130896000,-47220000.0,95462000.0,-3286000.0,,,-17446000.0,-6892000.0,185177000,870545000.0,0.275,,119908000.0,329775000.0,1127440000.0,842348000.0,261222000.0,,1072627000.0,327666000.0,1052689000.0,-599000.0,,,-815312000.0,49365000.0,330909000.0,,,
2002-12-31,261060000.0,-1746000.0,55366000.0,-67298000.0,8460000.0,51106000.0,51106000,539743000.0,,680265000.0,-10808000.0,500586000.0,31877000.0,291506000.0,,553154000.0,22534000.0,444032000.0,,-46257000.0,151950000.0,95462000.0,884370000.0,-11932000.0,2878429000.0,51106000.0,1862492000.0,,,,49205000.0,49205000.0,,10440000.0,160099000.0,62845000.0,1778678000.0,-114286000.0,,205665000.0,53126000.0,,-77818000.0,439348000.0,883380000,,1618331000.0,93423000,-109927000.0,49205000.0,1758000.0,,,-17475000.0,110000.0,156268000,912328000.0,,,82983000.0,345925000.0,1159663000.0,866350000.0,,,1015937000.0,335117000.0,1099751000.0,2150000.0,,,-938066000.0,50925000.0,372585000.0,,,
2003-03-31,291698000.0,-118000.0,65335000.0,-56401000.0,4496000.0,55318000.0,55318000,569296000.0,,694729000.0,197000.0,513130000.0,35513000.0,311077000.0,,594433000.0,32085000.0,430482000.0,,7349000.0,152852000.0,49205000.0,939109000.0,8934000.0,3025172000.0,55318000.0,1925536000.0,,,,56554000.0,56554000.0,0.21,10703000.0,164234000.0,62504000.0,1827240000.0,-51490000.0,260448000.0,207303000.0,-1718000.0,,-44089000.0,445370000.0,875852000,,1632795000.0,101534000,-69195000.0,56554000.0,-12593000.0,,,-18838000.0,-9008000.0,164038000,942573000.0,0.21,,90831000.0,343836000.0,1196078000.0,884667000.0,263636000.0,,1099636000.0,344033000.0,1197932000.0,-622000.0,,,-938066000.0,62296000.0,373277000.0,,,
2003-06-30,281995000.0,38000.0,155134000.0,-41203000.0,-130061000.0,67155000.0,67155000,601981000.0,,708136000.0,147000.0,550610000.0,42458000.0,325986000.0,,644294000.0,82369000.0,466734000.0,,-25982000.0,309569000.0,56554000.0,210535000.0,113931000.0,3120935000.0,67155000.0,1980974000.0,,,,30572000.0,30572000.0,0.26,11752000.0,97506000.0,51265000.0,1868584000.0,35246000.0,261246000.0,222168000.0,1193000.0,,-6395000.0,480001000.0,946735000,,1646202000.0,121365000,-46844000.0,30572000.0,-779000.0,,,-18902000.0,-120524000.0,172630000,998300000.0,0.25,,109613000.0,358636000.0,1244330000.0,870284000.0,264553000.0,,1139961000.0,358783000.0,1252351000.0,-1103000.0,780308000.0,,-938066000.0,60243000.0,396319000.0,,,
2003-09-30,272770000.0,-49000.0,178413000.0,-51045000.0,-103924000.0,87439000.0,87439000,573963000.0,,693355000.0,9653000.0,584498000.0,56843000.0,313668000.0,,649841000.0,5071000.0,478163000.0,,36390000.0,309860000.0,30572000.0,942834000.0,127368000.0,3064847000.0,87439000.0,1908959000.0,,,,66962000.0,66962000.0,0.34,12051000.0,75375000.0,59738000.0,1833003000.0,37802000.0,258694000.0,209528000.0,2579000.0,,-32278000.0,504603000.0,982766000,,1631421000.0,145456000,-36840000.0,66962000.0,4691000.0,,,-18903000.0,-69415000.0,205194000,963602000.0,0.33,,144282000.0,359147000.0,1313041000.0,869401000.0,261609000.0,,1155888000.0,357923000.0,1231844000.0,-4187000.0,,,-938066000.0,51492000.0,389639000.0,,,
