date,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalNonCurrentAssets,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyGoodwill,quarterlyNetIncomeCommonStockholders,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyPurchaseOfInvestment,quarterlyOperatingExpense,quarterlyCurrentDebt,quarterlyDilutedEPS,quarterlyInterestExpense,quarterlyOtherIntangibleAssets,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherCurrentAssets,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyChangesInAccountReceivables,quarterlyChangeInAccountPayable,quarterlyAccountsPayable,quarterlyDilutedAverageShares,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyTaxProvision,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyNonCurrentDeferredRevenue,quarterlyPretaxIncome,quarterlyBasicEPS,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyBasicAverageShares,quarterlyOperatingCashFlow,quarterlyTotalRevenue,quarterlyCapitalExpenditure,quarterlyCurrentAssets,quarterlyPurchaseOfBusiness,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyIncomeTaxPayable,quarterlyChangeInInventory,quarterlyResearchAndDevelopment,quarterlyCurrentDeferredRevenue,quarterlyInventory
2016-03-31,8703251000,132363000.0,4563664000,0.0,109837000,8376364000.0,47171000.0,21181000.0,,84956000,4785927000.0,281546000.0,60202000,57439000,31338000,680043000.0,57439000,88935000.0,1843000.0,267064000.0,267064000.0,-2567000.0,115790000,,0.54,48395000.0,1357701000.0,267064000,94195000,-102239000,-5611000,281331000.0,108219000,5171761000,0.0,,,,,281844000.0,106405453.0,223069000.0,-111353000.0,157227000,105000.0,3398004000,-4009000,525000.0,-184835000,-414623000.0,5016525000.0,-35688000,9814000.0,194078000,-3027000.0,-6799000.0,-786217000,,60727000.0,0.54,-102111000,,,105939161.0,113072000,270240000,-4853000.0,326887000.0,-5000.0,385834000.0,5431148000.0,107279000,,,,,
2016-06-30,8682571000,128466000.0,4641928000,0.0,-93759000,8181250000.0,31615000.0,21994000.0,,67180000,4844058000.0,286775000.0,34889000,51661000,26827000,640588000.0,51661000,72699000.0,-18819000.0,173305000.0,173305000.0,-12300000.0,93408000,,0.48,46752000.0,1304795000.0,173305000,-308823000,-103683000,-3053000,309340000.0,122639000,5219571000,0.0,,,,,270602000.0,106530036.0,185651000.0,-145412000.0,267064000,105000.0,3332263000,11120000,-8217000.0,-201533000,-420420000.0,4892894000.0,6167000,4001000.0,140604000,-14522000.0,-12175000.0,-839162000,,26672000.0,0.48,95751000,,,106310362.0,123142000,217266000,-503000.0,501321000.0,-14862000.0,375513000.0,5313314000.0,92243000,,,,,
2016-09-30,8468285000,125790000.0,4391820000,0.0,36178000,8084481000.0,34298000.0,21903000.0,,63866000,4590682000.0,294690000.0,63176000,110943000,24931000,640305000.0,110943000,72107000.0,7463000.0,209483000.0,209483000.0,0.0,87733000,,1.03,44349000.0,1260904000.0,209483000,186644000,-104587000,-6642000,294150000.0,122725000,4956204000,0.0,,,,,258977000.0,107468029.0,190949000.0,-170750000.0,173305000,106000.0,3383851000,20266000,3154000.0,-757657000,-455613000.0,4848038000.0,4660000,4355000.0,174545000,-1545000.0,-18050000.0,-834868000,,66330000.0,1.03,-275793000,65203000.0,,107221668.0,125319000,225247000,-2594000.0,383804000.0,-15408000.0,365522000.0,5303651000.0,103216000,,,,,
2016-12-31,8453954000,122203000.0,4440814000,0.0,-54001000,7972615000.0,41026000.0,5005000.0,,63691000,4654807000.0,298893000.0,45222000,47704000,31412000,635920000.0,47704000,90825000.0,3294000.0,155482000.0,155482000.0,-257641000.0,94087000,,0.44,43913000.0,1247569000.0,155482000,-241822000,-106146000,4448000,304774000.0,155288000,5028814000,0.0,,,,,266917000.0,107715965.0,187754000.0,-204263000.0,209483000,106000.0,3301667000,-232720000,7826000.0,-292790000,-484437000.0,4801400000.0,-744000,3052000.0,159636000,-2350000.0,32456000.0,-893827000,,53048000.0,0.44,39349000,-30000.0,,107487181.0,156238000,228780000,-950000.0,481339000.0,-141000.0,374007000.0,5285837000.0,93667000,,,,,
2017-03-31,8197828000,119914000.0,4173352000,0.0,-2648000,7929466000.0,44325000.0,4828000.0,,76356000,4377606000.0,312140000.0,59815000,57484000,28054000,636871000.0,57484000,83375000.0,16217000.0,152834000.0,152834000.0,-22835000.0,90484000,,0.53,41957000.0,1241899000.0,152834000,199586000,-106751000,50710000,275188000.0,110648000,4741176000,0.0,,,,,255754000.0,107764279.0,174734000.0,-198968000.0,155482000,107000.0,3256013000,188348000,-1305000.0,-1567655000,-521835000.0,4769785000.0,-13659000,6910000.0,176823000,-5550000.0,-15999000.0,-945515000,,58510000.0,0.53,-314413000,,,107562484.0,112067000,219059000,-1419000.0,268362000.0,0.0,363570000.0,5291620000.0,84250000,,,,,
2017-06-30,8317249000,118736000.0,4264664000,0.0,18753000,7988929000.0,32119000.0,4847000.0,,77575000,4470958000.0,330540000.0,63666000,64318000,24305000,640761000.0,64318000,86593000.0,6094000.0,171587000.0,171587000.0,21545000.0,87154000,,0.59,42235000.0,1855130000.0,171587000,-17736000,-107366000,5145000,263923000.0,131671000,4861011000,0.0,,,,,281415000.0,107783204.0,189409000.0,-196937000.0,152834000,107000.0,3237627000,-18081000,2448000.0,-253571000,-552409000.0,4806469000.0,-17263000,3104000.0,185924000,-1383000.0,5838000.0,-989384000,,66114000.0,0.6,-103015000,,,107668218.0,135194000,221528000,-3523000.0,328320000.0,-1290000.0,390053000.0,5358878000.0,102255000,,,,,
2017-09-30,8334411000,116980000.0,4314838000,0.0,-1817000,8003710000.0,22626000.0,5358000.0,,78577000,4519364000.0,327598000.0,64397000,80278000,27077000,643321000.0,80278000,86581000.0,10393000.0,169770000.0,169770000.0,-1000.0,91182000,,0.74,41182000.0,1859175000.0,169770000,-6545000,-108272000,-8470000,272216000.0,128390000,4884462000,0.0,,,,,255911000.0,108143694.0,188128000.0,-182870000.0,171587000,107000.0,3228576000,-48747000,1760000.0,-197496000,-593937000.0,4835302000.0,-20503000,4635000.0,185916000,-1234000.0,1938000.0,-1017901000,,66157000.0,0.74,-132300000,969000.0,,108019292.0,134616000,210754000,-6226000.0,330701000.0,-1000.0,365098000.0,5429239000.0,96946000,,,,,
2017-12-31,8231402000,113957000.0,4265267000,0.0,-7458000,7968186000.0,21199000.0,4089000.0,,83958000,4447198000.0,341457000.0,63327000,75209000,23972000,643960000.0,75209000,67009000.0,15228000.0,162312000.0,162312000.0,-123492000.0,87454000,,,40401000.0,1868817000.0,162312000,50597000,-108793000,-3663000,260289000.0,130243000,4820017000,0.0,,,,,263053000.0,,175762000.0,-189355000.0,169770000,107000.0,3192261000,46417000,-192000.0,-197238000,-1329613000.0,4127652000.0,-18508000,4268000.0,187494000,-11846000.0,8605000.0,-1052064000,,63135000.0,,-193622000,-9000.0,,,134193000,196961000,-3950000.0,263216000.0,0.0,372819000.0,5457265000.0,88308000,,,,,
2018-03-31,8287871000,111801000.0,4389131000,,5707000,8011678000.0,21422000.0,4507000.0,,77292000,4560919000.0,358068000.0,61334000,65274000,28834000,645736000.0,65274000,59022000.0,7772000.0,171331000.0,171331000.0,,94754000,,0.6,38074000.0,1888358000.0,215383000,-40145000,-109407000,-22834000,266581000.0,99587000,4918366000,,,,,,247138000.0,108211936.0,180388000.0,-193091000.0,209676000,107000.0,3149034000,27427000,-6002000.0,-838102000,,,-16147000,8219000.0,170698000,-12155000.0,-24618000.0,-1097415000,,55332000.0,0.6,-60167000,,,108057940.0,102946000,201810000,-3359000.0,276193000.0,-715000.0,357447000.0,,85634000,,,,,
2018-06-30,8266700000,107542000.0,4401058000,,-51565000,8070328000.0,20178000.0,1735000.0,,78228000,4598436000.0,363622000.0,67512000,75681000,21995000,642060000.0,75681000,88871000.0,20452000.0,122430000.0,122430000.0,,86332000,,0.7,41311000.0,1872885000.0,163818000,-171302000,-109785000,-8368000,275506000.0,129079000,4954696000,,,,,,245288000.0,108234934.0,180965000.0,-211395000.0,215383000,107000.0,3099904000,-3827000,6262000.0,-180039000,,,-16529000,3698000.0,193313000,3196000.0,-2054000.0,-1132182000,,73774000.0,0.7,1834000,,,108059394.0,125968000,201143000,,196372000.0,0.0,356260000.0,,94633000,,,,,
2018-09-30,8518988000,105898000.0,4663784000,,50982000,8156071000.0,19974000.0,1706000.0,,82868000,4869915000.0,366306000.0,81230000,77348000,21465000,641734000.0,77348000,98933000.0,25565000.0,176612000.0,176612000.0,,89290000,,0.71,41740000.0,1837995000.0,214800000,-250097000,-110360000,-5310000,293475000.0,140705000,5247279000,,,,,,265676000.0,108283666.0,189410000.0,-217896000.0,163818000,107000.0,3061723000,2824000,2715000.0,-110683000,,,-11681000,2475000.0,208553000,3836000.0,-13369000.0,-1165914000,,83945000.0,0.71,163195000,,,108073969.0,140845000,209384000,-140000.0,362917000.0,0.0,377364000.0,,100120000,,,,,
2018-12-31,14183039000,225128000.0,6378691000,,209263000,13890553000.0,31350000.0,1425000.0,,110910000,6776934000.0,329248000.0,195278000,193263000,23577000,920944000.0,193263000,173115000.0,138817000.0,217644000.0,217644000.0,,116898000,,1.33,57250000.0,2935425000.0,424063000,195412000,-110879000,-5142000,711507000.0,139795000,7352984000,,,,,,403896000.0,145716583.0,242045000.0,-219230000.0,214800000,165000.0,6824278000,-7105000,11436000.0,-1287688000,,,-17291000,3902000.0,357285000,-1156000.0,3973000.0,-1143992000,,206714000.0,1.33,-129154000,287544000.0,,145480858.0,139407000,273395000,-17070000.0,292486000.0,-19146000.0,576050000.0,,125147000,,,,,
2019-03-31,14155902000,217506000.0,6123488000,,-118384000,13843743000.0,37545000.0,997000.0,,131325000,6508288000.0,320066000.0,68796000,68494000,27652000,918673000.0,68494000,167294000.0,7233000.0,243325000.0,243325000.0,,140031000,,0.41,61313000.0,3023900000.0,305679000,-154163000,-171408000,-13974000,584855000.0,142846000,7138173000,,,,,,452920000.0,167434740.0,260778000.0,-215420000.0,424063000,170000.0,7011297000,16835000,-2129000.0,-368391000,,,-16292000,4165000.0,259305000,-1829000.0,-51479000.0,-1256754000,,66667000.0,0.41,-104717000,303831000.0,,167234121.0,142846000,298323000,-2594000.0,312159000.0,-2594000.0,629885000.0,,120747000,,,,,
2019-06-30,14192007000,213279000.0,6177011000,,-44068000,13807864000.0,38527000.0,1218000.0,,133150000,6559131000.0,317159000.0,66121000,66038000,26315000,920218000.0,66021000,168841000.0,2222000.0,202279000.0,202279000.0,,139947000,,0.38,59719000.0,3056784000.0,261611000,-153192000,-176041000,-2407000,580270000.0,185314000,7201213000,,,,,,463417000.0,171490625.0,266684000.0,-223554000.0,305679000,171000.0,6984405000,5286000,3119000.0,-689732000,,,-20015000,4936000.0,262109000,-295000.0,-9271000.0,-1368457000,,69240000.0,0.39,-76934000,88303000.0,,171304112.0,185314000,305211000,,384143000.0,0.0,642082000.0,,126737000,,,,,
2019-09-30,14083639000,207655000.0,6097189000,,127118000,13564984000.0,39321000.0,853000.0,,142986000,6467880000.0,315641000.0,41835000,41339000,23720000,930864000.0,41339000,163036000.0,-40829000.0,331687000.0,331687000.0,,133237000,,0.24,58626000.0,3023541000.0,388729000,-113903000,-177545000,-1014000,590124000.0,249325000,7119217000,,,,,,470540000.0,172486506.0,278684000.0,-247712000.0,261611000,172000.0,6958106000,-14041000,4157000.0,-906704000,,,-18643000,4747000.0,247604000,-1039000.0,23509000.0,-1506795000,,45992000.0,0.24,921000,131397000.0,,172235066.0,249325000,318005000,,518655000.0,-1000.0,651337000.0,,145447000,,,,,
