date,quarterlyGoodwill,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyTotalNonCurrentAssets,quarterlyLongTermDebt,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlyDilutedAverageShares,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyChangeInAccountPayable,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCurrentAssets,quarterlyGrossProfit,quarterlyCurrentDeferredRevenue,quarterlyOtherIncomeExpense,quarterlyOperatingExpense,quarterlyBasicEPS,quarterlyChangesInAccountReceivables,quarterlyStockholdersEquity,quarterlyDilutedEPS,quarterlyNetOtherInvestingChanges,quarterlyOtherIntangibleAssets,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyRepaymentOfDebt,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyOtherCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyRepurchaseOfCapitalStock,quarterlyCurrentLiabilities,quarterlyOperatingCashFlow,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInCashSupplementalAsReported,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyOtherNonCashItems,quarterlyTaxProvision,quarterlyCommonStockIssuance,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyInvestmentsAndAdvances,quarterlyResearchAndDevelopment,quarterlyInventory,quarterlySaleOfInvestment,quarterlyOtherShortTermInvestments,quarterlyCashDividendsPaid,quarterlyChangeInInventory
2012-12-31,993397000.0,92973000.0,62714000.0,210321000,1777615000.0,904607000.0,1913632000.0,-6962000,64533873.0,4227000,4174000,28526000,16138000,1965626000.0,52388000.0,,34109000,-25059000,2036000.0,22056000.0,64533873.0,0,2167519000.0,146404000.0,-5177000.0,4174000,11262000.0,63105000,102650000.0,0.0,35161000,0.064679,-14739000.0,-253887000.0,0.064679,0.0,432580000.0,45057000,6000.0,6319000.0,-212000,34109000.0,34109000.0,39194000.0,-8816000.0,896000.0,34625000,-21295000,27944000,273426000,-212000,-125910000.0,933000.0,466286000.0,0.0,201893000.0,14333000,5934000,-3785000.0,136017000.0,12208000.0,-10948000,2868000.0,-17740000,-395165000.0,7958000.0,1707000,2115000,340376000.0,2490000.0,,,,,,,
2013-03-31,987779000.0,,57535000.0,214333000,1768397000.0,759987000.0,1975350000.0,30078000,55797534.0,-50781000,-50743000,43605000,16948000,966850000.0,52743000.0,,96735000,-22192000,7900000.0,13289000.0,55797534.0,1736000,1193140000.0,146277000.0,3498000.0,-50743000,9947000.0,65790000,118458000.0,-63682000.0,50353000,-0.91,5015000.0,782210000.0,-0.91,0.0,424627000.0,34109000,65000.0,,-974443000,96735000.0,96735000.0,52683000.0,-20638000.0,6620000.0,-31276000,-22192000,15437000,280123000,33269000,,,,0.0,226290000.0,52270000,-61513000,,206953000.0,3446000.0,62626000,-70000.0,13374000,-445908000.0,2497000.0,-10732000,234944000,346044000.0,13361000.0,,,,,,,
2013-06-30,1047049000.0,,56664000.0,235388000,1859541000.0,758766000.0,2032751000.0,28686000,66635484.0,24507000,24579000,32426000,18908000,974915000.0,56435000.0,,62999000,-81683000,7900000.0,8963000.0,64732730.0,1055000,1220260000.0,151820000.0,1715000.0,24579000,11292000.0,75425000,126379000.0,-63682000.0,40028000,0.38,2676000.0,812491000.0,0.37,-64213000.0,434398000.0,96735000,65000.0,,-1975000,62999000.0,62999000.0,53547000.0,-20658000.0,1685000.0,54305000,-17470000,35397000,310813000,2076000,,,,0.0,245345000.0,46156000,26473000,,173210000.0,4551000.0,-33736000,501000.0,396000,-421329000.0,159000.0,1966000,0,366802000.0,17474000.0,,,,,,,
2013-09-30,1097447000.0,,55418000.0,240158000,1940095000.0,757544000.0,2087767000.0,7542000,66831413.0,14942000,15044000,33017000,19466000,977386000.0,59317000.0,,35010000,-76673000,28500000.0,9211000.0,64916558.0,2054000,1237817000.0,152432000.0,-5766000.0,15044000,12209000.0,68505000,122897000.0,0.0,40716000,0.23,3286000.0,849950000.0,0.23,0.0,444841000.0,62999000,65000.0,,-1975000,35010000.0,35010000.0,57244000.0,-5191000.0,1223000.0,47255000,-15497000,27789000,308663000,24682000,,,,0.0,260431000.0,23039000,18594000,-61176000.0,147672000.0,4309000.0,-27989000,-64000.0,-12486000,-406285000.0,-42000.0,3652000,0,385598000.0,24882000.0,,,,,,,
2013-12-31,1096283000.0,100935000.0,78691000.0,247961000,1937500000.0,756323000.0,2102670000.0,24053000,,23676000,23743000,32779000,17486000,958445000.0,62234000.0,,29585000,-20584000,7900000.0,9163000.0,,-3061000,1213533000.0,139888000.0,918000.0,23743000,15263000.0,71216000,139562000.0,0.0,40805000,,-22435000.0,889137000.0,,-2000000.0,435060000.0,35010000,65000.0,6691000.0,-1975000,29585000.0,29585000.0,56894000.0,1416000.0,1164000.0,47897000,-14161000,30411000,319177000,-23267000,-163739000.0,0.0,554633000.0,0.0,255088000.0,38214000,21257000,-4423000.0,165170000.0,14446000.0,-5425000,-13777000.0,6660000,-382542000.0,3005000.0,-2419000,0,390894000.0,2674000.0,,,,,,,
2014-03-31,1096567000.0,,59361000.0,255006000,1932511000.0,755101000.0,2121512000.0,37210000,67209378.0,16048000,16048000,35404000,19615000,965064000.0,70070000.0,,75734000,-14116000,7900000.0,8742000.0,65407851.0,1858000,1206574000.0,139893000.0,-3301000.0,16048000,15121000.0,77149000,128924000.0,0.0,43138000,0.24,19353000.0,914938000.0,0.24,175000.0,427356000.0,29585000,66000.0,,-1975000,75734000.0,75734000.0,53906000.0,2941000.0,2385000.0,53626000,-14431000,34011000,332155000,8577000,,,,,241510000.0,51641000,25284000,,189001000.0,8692000.0,46149000,-88000.0,11867000,-366494000.0,1814000.0,9236000,4709000,393467000.0,11814000.0,,,,,,,
2014-06-30,1104406000.0,,58084000.0,264986000,1941801000.0,753879000.0,2166482000.0,36458000,67456880.0,21714000,21714000,33204000,19335000,964699000.0,22351000.0,,112283000,-22077000,7900000.0,8625000.0,65772698.0,3586000,1214754000.0,139995000.0,7471000.0,21629000,14555000.0,83114000,113504000.0,0.0,40579000,0.33,1362000.0,951728000.0,0.32,0.0,421877000.0,75734000,66000.0,,-1975000,112283000.0,112283000.0,0.0,8430000.0,2038000.0,61881000,-16270000,42535000,348100000,5574000,,,,,250055000.0,52728000,33921000,,224681000.0,8196000.0,36549000,-71000.0,8523000,-344780000.0,753000.0,12207000,0,400724000.0,16236000.0,,,,,,,
2014-09-30,1096840000.0,,64660000.0,262115000,1923401000.0,752657000.0,2153838000.0,-310000,67635657.0,15379000,15379000,32856000,19382000,963589000.0,70969000.0,,109008000,-17252000,7900000.0,8443000.0,66087184.0,1412000,1201366000.0,139963000.0,-7787000.0,15379000,14441000.0,72861000,126038000.0,0.0,39815000,0.23,-6777000.0,952472000.0,0.23,0.0,413485000.0,112283000,66000.0,,-1975000,109008000.0,109008000.0,56769000.0,-8132000.0,2039000.0,40005000,-17252000,33046000,334976000,-2088000,,,,-4154000.0,237777000.0,16942000,24651000,0.0,230437000.0,7467000.0,-3275000,100000.0,-21553000,-329401000.0,753000.0,9272000,0,398635000.0,13411000.0,,,,,,,
2014-12-31,1095738000.0,103641000.0,83066000.0,257290000,1917338000.0,911627000.0,2142670000.0,35130000,66674772.0,18894000,18894000,36219000,19115000,1112288000.0,72031000.0,,87886000,-24556000,9550000.0,8899000.0,65182552.0,2267000,1391711000.0,128630000.0,13206000.0,18894000,16404000.0,80478000,153448000.0,0.0,43150000,0.29,-18542000.0,750959000.0,0.28,1030000.0,406249000.0,109008000,62000.0,12784000.0,-1975000,87886000.0,87886000.0,54380000.0,-21687000.0,1460000.0,56443000,-17856000,37328000,337768000,-48483000,-199221000.0,4802000.0,598168000.0,-214344000.0,279423000.0,52986000,28458000,-6700000.0,225332000.0,14724000.0,-21122000,-11244000.0,22491000,-310507000.0,2270000.0,9564000,0,398947000.0,2274000.0,,,,,,,
2015-03-31,1087479000.0,,74709000.0,263832000,1899365000.0,910089000.0,2153514000.0,30351000,63189367.0,22532000,22532000,36845000,19386000,1115587000.0,75025000.0,,123661000,-17983000,9550000.0,10069000.0,61682964.0,3072000,1388063000.0,130473000.0,-6912000.0,22532000,16998000.0,86608000,150689000.0,0.0,43767000,0.36,8180000.0,765451000.0,0.35,14000.0,398262000.0,87886000,62000.0,,-2388000,123661000.0,123661000.0,55779000.0,-38570000.0,2300000.0,62227000,-16911000,42841000,350440000,8020000,,,,-738000.0,272476000.0,47262000,32810000,-1086000.0,254149000.0,5204000.0,35775000,4395000.0,-3385000,-287975000.0,2034000.0,10278000,3864000,396626000.0,18334000.0,,,,,,,
2015-06-30,1111454000.0,,67740000.0,274605000,1943657000.0,908613000.0,2148670000.0,42868000,62858237.0,26919000,26919000,36890000,19279000,1117969000.0,78700000.0,,76920000,-46227000,9550000.0,10400000.0,61362983.0,1873000,1406432000.0,130656000.0,22544000.0,26919000,17633000.0,95860000,142523000.0,0.0,43722000,0.44,7775000.0,742238000.0,0.43,0.0,398418000.0,123661000,61000.0,,-2387000,76920000.0,76920000.0,60353000.0,-22959000.0,2300000.0,71417000,-24889000,52138000,370465000,-70431000,,,,-71906000.0,288463000.0,67757000,41785000,-21338000.0,205013000.0,5065000.0,-46741000,-222000.0,17956000,-261056000.0,1525000.0,14866000,0,416152000.0,18561000.0,,,,,,,
2015-09-30,1141285000.0,,73331000.0,280560000,1986800000.0,907137000.0,2153941000.0,7629000,61846725.0,20558000,20558000,36419000,19874000,1123506000.0,84806000.0,,21393000,-63841000,36050000.0,10362000.0,60290842.0,1434000,1439118000.0,131563000.0,748000.0,20558000,20590000.0,85384000,140106000.0,0.0,43643000,0.34,-4567000.0,714823000.0,0.33,9000.0,394545000.0,76920000,60000.0,,-2388000,21393000.0,21393000.0,72417000.0,-31024000.0,2300000.0,61615000,-19615000,41741000,365944000,-18095000,,,,-44894000.0,315612000.0,27244000,31411000,-44235000.0,167141000.0,4909000.0,-55527000,1090000.0,-18411000,-240498000.0,1833000.0,10853000,0,430380000.0,18995000.0,,,,,,,
2015-12-31,1147809000.0,87832000.0,97295000.0,281693000,1995443000.0,905661000.0,2150370000.0,12497000,,23918000,23918000,38010000,20127000,1115204000.0,96443000.0,,11539000,-28341000,33550000.0,10778000.0,,3018000,1422762000.0,113100000.0,-22828000.0,23918000,28567000.0,89903000,157017000.0,0.0,45021000,,-25048000.0,727608000.0,,0.0,389331000.0,21393000,60000.0,26944000.0,-2387000,11539000.0,11539000.0,46093000.0,-39270000.0,2300000.0,65009000,-16320000,44882000,371596000,-10075000,-241776000.0,1916000.0,671512000.0,-10565000.0,307558000.0,28817000,34150000,-12021000.0,154927000.0,16679000.0,-9854000,-6021000.0,-13017000,-216580000.0,1510000.0,10232000,0,429736000.0,1985000.0,,,,,,,
2016-03-31,1147236000.0,,84312000.0,289546000,1984332000.0,903215000.0,2143991000.0,75160000,61300409.0,24727000,24727000,40031000,20525000,1114242000.0,99741000.0,,40152000,-13570000,9550000.0,10703000.0,59832168.0,918000,1415923000.0,111286000.0,5238000.0,24727000,29999000.0,95776000,173454000.0,0.0,47179000,0.41,12905000.0,728068000.0,0.4,0.0,382111000.0,11539000,60000.0,,-2388000,40152000.0,40152000.0,35195000.0,-44210000.0,2597000.0,69122000,-10637000,48597000,385322000,-43822000,,,,-23385000.0,301681000.0,85797000,37913000,-2933000.0,159659000.0,5341000.0,28613000,-1766000.0,38663000,-191853000.0,1051000.0,13186000,3351000,424986000.0,26715000.0,,,,,,,
2016-06-30,1135748000.0,,71898000.0,297670000,1957272000.0,901787000.0,2107835000.0,44429000,60635241.0,30403000,30403000,40756000,20566000,1109516000.0,97978000.0,,45026000,-16082000,39150000.0,10329000.0,59219142.0,2433000,1429850000.0,109751000.0,109000.0,30403000,27707000.0,104383000,163272000.0,0.0,47805000,0.51,12226000.0,677985000.0,0.5,0.0,373376000.0,40152000,59000.0,,-2387000,45026000.0,45026000.0,33639000.0,-64110000.0,3049000.0,77144000,-16656000,56578000,402053000,-38738000,,,,-71511000.0,320334000.0,61085000,46274000,574000.0,150563000.0,5310000.0,4874000,-1312000.0,7191000,-161450000.0,1188000.0,15871000,331000,420441000.0,26127000.0,,,,,,,
2016-09-30,1150717000.0,,83175000.0,292457000,1982551000.0,900358000.0,2128697000.0,-5102000,60275902.0,22510000,22510000,39616000,20999000,1121611000.0,110190000.0,,19484000,-43121000,39550000.0,10522000.0,58928264.0,-2366000,1430736000.0,111063000.0,-7161000.0,22510000,29479000.0,91472000,156439000.0,0.0,46757000,0.38,-11168000.0,697961000.0,0.37,0.0,372095000.0,45026000,59000.0,,-2388000,19484000.0,19484000.0,43487000.0,-71164000.0,2830000.0,65714000,-23173000,44715000,383929000,-465000,,,,-781000.0,309125000.0,18071000,34213000,-19948000.0,146146000.0,5549000.0,-25542000,-1651000.0,-28689000,-138940000.0,2072000.0,11703000,0,430260000.0,24202000.0,,,,,,,
2016-12-31,1271366000.0,104025000.0,97212000.0,299321000,2208279000.0,1054009000.0,2368332000.0,22933000,,17120000,17120000,43564000,23194000,1283570000.0,117850000.0,,12856000,-230064000,86750000.0,11451000.0,,2243000,1680465000.0,111711000.0,-5044000.0,17120000,32915000.0,99216000,182861000.0,-11117000.0,51868000,,-14041000.0,687867000.0,,0.0,374566000.0,19484000,59000.0,26171000.0,-922488000,12856000.0,12856000.0,6101000.0,-89448000.0,3170000.0,70542000,-23634000,47348000,398537000,176780000,-281981000.0,3081000.0,811413000.0,-17115000.0,396895000.0,46567000,24797000,-206430000.0,160053000.0,20637000.0,-6628000,-7392000.0,-2267000,-121820000.0,1625000.0,7677000,0,529432000.0,6173000.0,,,,,,,
2017-03-31,1273674000.0,,98104000.0,317230000,2209993000.0,1051761000.0,2376458000.0,86779000,60903277.0,41374000,41374000,46146000,23414000,1294295000.0,127757000.0,,21494000,-22873000,25650000.0,10791000.0,59255105.0,-23272000,1650407000.0,114777000.0,8735000.0,41374000,31500000.0,104934000,195150000.0,0.0,53530000,0.69,-847000.0,726051000.0,0.68,-99000.0,367743000.0,14633000,59000.0,,-63788000,21494000.0,21494000.0,46867000.0,-82107000.0,2377000.0,74818000,-19894000,51404000,422164000,-77054000,,,,-6470000.0,356112000.0,106673000,40630000,-2979000.0,166465000.0,7349000.0,6861000,2785000.0,34481000,-80446000.0,2242000.0,-744000,4305000,537076000.0,25797000.0,,,,,,,
2017-06-30,1298676000.0,,81805000.0,331205000,2250466000.0,1050889000.0,2418372000.0,38623000,60379657.0,33040000,33040000,48869000,23190000,1299209000.0,130881000.0,,34337000,-36348000,77750000.0,,59053200.0,-1351000,1696335000.0,117439000.0,-13362000.0,33040000,31858000.0,114341000,196101000.0,0.0,57535000,0.56,17279000.0,722037000.0,0.54,0.0,363523000.0,21494000,59000.0,,61100000,34337000.0,34337000.0,0.0,-59402000.0,3137000.0,79996000,-22301000,56806000,445546000,-12824000,,,,-66753000.0,397126000.0,60924000,46152000,-14047000.0,167906000.0,7981000.0,12843000,1407000.0,-1748000,-47406000.0,1898000.0,13112000,0,556409000.0,28204000.0,,,,,,,
2017-09-30,1302549000.0,,96105000.0,330122000,2267364000.0,1048643000.0,2463150000.0,12739000,60088078.0,31105000,31105000,46369000,23685000,1290196000.0,130465000.0,,42265000,-21375000,76250000.0,,58811488.0,-2706000,1688637000.0,111088000.0,22442000.0,31105000,40599000.0,103194000,178412000.0,-3671000.0,58231000,0.53,-14108000.0,774513000.0,0.51,0.0,356469000.0,34337000,59000.0,,-2687000,42265000.0,42265000.0,0.0,-40419000.0,3263000.0,68648000,-20875000,44963000,433316000,-5189000,,,,-1712000.0,398441000.0,33614000,34139000,-500000.0,195786000.0,8043000.0,7928000,-3154000.0,-26005000,-16301000.0,4720000.0,3034000,58000,567747000.0,27129000.0,,,,,,,
2017-12-31,1306792000.0,106767000.0,117138000.0,331738000,2276183000.0,1046011000.0,2468644000.0,14294000,,51444000,51444000,47555000,24487000,1258929000.0,138849000.0,,23227000,-24725000,137850000.0,,,-4365000,1719584000.0,74069000.0,-11903000.0,51444000,45666000.0,108141000,189908000.0,0.0,55875000,,-21013000.0,749060000.0,,0.0,348540000.0,42265000,58000.0,31719000.0,-2688000,23227000.0,23227000.0,4186000.0,-33296000.0,3295000.0,76753000,-20767000,52266000,439879000,-28797000,-340981000.0,4680000.0,916166000.0,-87260000.0,460655000.0,35061000,40479000,-3958000.0,192461000.0,24629000.0,-19038000,-38600000.0,-7367000,35143000.0,1802000.0,-10965000,0,575185000.0,6649000.0,,,,,,,
2018-03-31,1335297000.0,,107272000.0,350113000,2318134000.0,1043788000.0,2514480000.0,92983000,59448031.0,37298000,37298000,50212000,24683000,1265580000.0,145615000.0,,20324000,-29483000,140150000.0,,58190819.0,-5791000,1777303000.0,76177000.0,25037000.0,37298000,55377000.0,113544000,218203000.0,,58260000,0.64,10009000.0,737177000.0,0.62,,342525000.0,23227000,58000.0,,-2688000,20324000.0,20324000.0,,-7800000.0,2891000.0,79967000,-12767000,55284000,463657000,-79601000,,,,-85725000.0,511723000.0,105750000,43781000,-16716000.0,196346000.0,5751000.0,-2903000,-490000.0,40644000,72441000.0,724000.0,6483000,4457000,584935000.0,36789000.0,,,,,,,
2018-06-30,1342158000.0,,90975000.0,363662000,2321497000.0,1041280000.0,2481754000.0,56559000,58761229.0,40426000,40426000,53137000,25250000,1263508000.0,146640000.0,,22912000,-60296000,123050000.0,,57613596.0,-4190000,1732732000.0,75588000.0,-13328000.0,40426000,58097000.0,126037000,199998000.0,,61413000,0.7,16149000.0,749022000.0,0.68,,337993000.0,20324000,58000.0,,-2687000,22912000.0,22912000.0,,-39996000.0,3698000.0,89874000,-26388000,64624000,489699000,-20162000,,,,0.0,469224000.0,82947000,52463000,-33908000.0,160257000.0,5322000.0,2588000,-1857000.0,14400000,112867000.0,1030000.0,12037000,0,583249000.0,31331000.0,,,,,,,
2018-09-30,1339450000.0,,104965000.0,358545000,2322956000.0,1039074000.0,2497414000.0,27605000,58924423.0,33600000,33600000,49427000,25213000,1264684000.0,151188000.0,,43455000,-24514000,104750000.0,,57719730.0,-728000,1717201000.0,74422000.0,13442000.0,33600000,67776000.0,113040000,187737000.0,,57580000,0.58,-14486000.0,780213000.0,0.57,,329319000.0,22912000,58000.0,,-2688000,21304000.0,21304000.0,,-48975000.0,3715000.0,80673000,-23394000,55460000,471585000,-18484000,,,,0.0,452517000.0,50999000,43665000,-1120000.0,174458000.0,6143000.0,7200000,-1372000.0,-11689000,146467000.0,1532000.0,10065000,0,586411000.0,31258000.0,,,,,,,
2018-12-31,1347611000.0,118258000.0,131178000.0,357607000,2330415000.0,1036870000.0,2524306000.0,26168000,,46657000,46657000,48815000,25797000,1261044000.0,152868000.0,,38478000,-44250000,128950000.0,,,-88000,1744829000.0,71306000.0,-9239000.0,46657000,62628000.0,120634000,200640000.0,,56907000,,-26170000.0,779477000.0,,,323035000.0,43455000,57000.0,35937000.0,-2687000,15450000.0,15450000.0,8043000.0,-62355000.0,3507000.0,89524000,-28883000,63727000,478241000,-15946000,-395718000.0,835000.0,992859000.0,-40954000.0,483785000.0,55051000,51678000,-15367000.0,193891000.0,5683000.0,-4977000,-1750000.0,-19696000,193124000.0,536000.0,5021000,0,597141000.0,6859000.0,,,,,,,
2019-03-31,1381044000.0,,130298000.0,374811000,3008901000.0,1034664000.0,3196536000.0,85952000,58752384.0,42042000,42042000,55875000,26462000,1845268000.0,98287000.0,-20011000.0,23214000,-60562000,60900000.0,,57679041.0,-2779000,2359524000.0,75486000.0,-589000.0,42042000,50872000.0,126947000,220411000.0,,64037000,0.73,2587000.0,837012000.0,0.71,,322388000.0,38478000,58000.0,,-2688000,20129000.0,20129000.0,,-58244000.0,3106000.0,89372000,-21061000,62910000,501758000,-62263000,,,1254597000.0,-60000.0,514256000.0,107013000,50962000,-19490000.0,187635000.0,5673000.0,-15264000,3796000.0,30147000,235166000.0,1460000.0,8920000,3605000,1254597000.0,24778000.0,,,,,,,
2019-06-30,1380211000.0,,111529000.0,388439000,3006339000.0,1032459000.0,3193479000.0,59644000,58939763.0,49327000,49327000,56491000,26885000,1861792000.0,101544000.0,-13000.0,26226000,-30337000,10750000.0,,57847630.0,-2761000,2315117000.0,73818000.0,552000.0,49327000,44107000.0,139621000,206816000.0,,64788000,0.85,18788000.0,878362000.0,0.83,,314351000.0,23214000,58000.0,,-2687000,22656000.0,22656000.0,,-73343000.0,4512000.0,101718000,-23954000,74833000,528060000,-50115000,,,1267670000.0,-630000.0,453325000.0,83598000,63110000,-6370000.0,187140000.0,5536000.0,3012000,-155000.0,4783000,284493000.0,-1754000.0,13783000,0,1267670000.0,22261000.0,,,,,,,
2019-09-30,1371905000.0,,117573000.0,386364000,2983097000.0,1030254000.0,3211226000.0,56673000,59132689.0,41254000,41254000,53964000,27080000,1846740000.0,99566000.0,-66000.0,56909000,-35965000,10750000.0,,57935118.0,-5191000,2316731000.0,73831000.0,,41254000,45972000.0,125220000,197759000.0,,62591000,0.71,-6586000.0,894495000.0,0.69,,305918000.0,26226000,58000.0,,-2688000,48529000.0,48529000.0,,-94537000.0,4721000.0,89709000,-25146000,62629000,511584000,-14791000,,,1259302000.0,-11333000.0,469991000.0,81819000,51674000,-10753000.0,228129000.0,5258000.0,30683000,444000.0,7960000,325747000.0,360000.0,10420000,294000,1259302000.0,22596000.0,,,,,,,
