date,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyRepaymentOfDebt,quarterlyOtherIntangibleAssets,quarterlyNetPPE,quarterlyTaxProvision,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyChangesInAccountReceivables,quarterlyNetOtherFinancingCharges,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlySaleOfInvestment,quarterlyOperatingCashFlow,quarterlyGrossPPE,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyCashDividendsPaid,quarterlyCurrentAssets,quarterlyDepreciationAndAmortization,quarterlyRetainedEarnings,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyFreeCashFlow,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,quarterlyTotalNonCurrentAssets,quarterlyOperatingIncome,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeContinuousOperations,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyStockholdersEquity,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyEndCashPosition,quarterlyCostOfRevenue,quarterlyInvestingCashFlow,quarterlyChangeInAccountPayable,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyGrossProfit,quarterlyInventory,quarterlyNetIncome,quarterlyLongTermDebt,quarterlyCurrentDeferredRevenue,quarterlyIncomeTaxPayable,quarterlyResearchAndDevelopment,quarterlyBasicAverageShares,quarterlyDilutedEPS,quarterlyBasicEPS,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherShortTermInvestments,quarterlyDilutedAverageShares,quarterlyChangeInInventory
2011-06-30,,,,-35047000.0,48174000.0,2024944000.0,,15164000,167000.0,15740000,15740000,79000.0,-296000.0,90000000.0,17287000.0,2836000.0,-315000,-316899000.0,-43456000,,,57326000,2341843000.0,,,25904000.0,0.0,576000,,5181000.0,,-40173000,,12073000,-220535000.0,,1474000.0,652000.0,57030000,57151000,2746000.0,,-1765000,10055000.0,9332000,2729716000,-7549000,1148371000,-984000,,,1553324000,,-7296000.0,,49982000.0,34983000.0,15740000,,-13395000,,,255237000.0,,,2000,1048122000,,,,,,,,,,
2011-09-30,,,-461000.0,-34076000.0,4670000.0,1998479000.0,,15740000,615000.0,14302000,14302000,50000.0,-7503000.0,,17911000.0,-548000.0,-68000,-322736000.0,-20872000,,,43121000,2321215000.0,,,22699000.0,-80030000.0,-1438000,,4703000.0,,-41213000,,11752000,-227493000.0,,1370000.0,872000.0,35618000,58084000,-23680000.0,,34756000,13599000.0,-7410000,2725897000,25749000,1229176000,35432000,,,1468689000,,-5472000.0,,38029000.0,34389000.0,14302000,,-22900000,,,278011000.0,,,35552000,1138839000,,,,,,,,,,
2011-12-31,,,-725000.0,-46431000.0,3792000.0,2026394000.0,,14302000,615000.0,14625000,14625000,58000.0,-6748000.0,,17691000.0,-242000.0,-2729000,-335116000.0,-28782000,,0.0,60348000,2361510000.0,,,23463000.0,0.0,323000,,5279000.0,,-38680000,,12040000,-228261000.0,,1399000.0,672000.0,53600000,59949000,-15809000.0,,36006000,6850000.0,4689000,2733995000,31940000,1235892000,36622000,,,1470049000,693000.0,-8180000.0,,36036000.0,35005000.0,14625000,,-31462000,,,258672000.0,,,37942000,1154295000,,,,,,,,,,
2012-03-31,,21890000.0,,-251328000.0,4247000.0,2050806000.0,,14625000,617000.0,11474000,11474000,56000.0,-31507000.0,,18141000.0,-403000.0,-1852000,-347586000.0,24506000,,,41959000,2398392000.0,,,23761000.0,-3209000.0,-3151000,,6625000.0,,-38681000,,12457000,-248007000.0,52488000.0,1464000.0,354000.0,10452000,59730000,-442000.0,,21890000,16388000.0,-7494000,2790845000,15371000,1312950000,21937000,,,1449823000,,-24451000.0,,30603000.0,35602000.0,11474000,,-69790000,,,244987000.0,,,21372000,1224840000,,,,,,,,,,
2012-06-30,,,,-28335000.0,46462000.0,2062908000.0,,11474000,617000.0,12739000,12739000,77000.0,-8917000.0,112000000.0,18459000.0,860000.0,-249000,-355945000.0,6410000,,,61481000,2418853000.0,,,20680000.0,0.0,1265000,,5852000.0,,-41083000,,12616000,-252338000.0,,1534000.0,284000.0,52564000,60480000,-29483000.0,,36439000,11982000.0,7576000,2833667000,30797000,1361157000,36439000,,,1472204000,,-40771000.0,,37485000.0,33138000.0,12739000,,-66484000,,,246734000.0,,,36799000,1270560000,,,,,,,,,,
2012-09-30,,,-470000.0,-336737000.0,3667000.0,2114118000.0,,12739000,617000.0,25007000,25007000,46000.0,-1670000.0,,19994000.0,-2277000.0,-3696000,-369854000.0,20493000,,,41963000,2483972000.0,,,20629000.0,-23000.0,12268000,,5670000.0,,-41092000,,13276000,-259318000.0,,1418000.0,189000.0,40293000,62842000,-45368000.0,,33868000,14181000.0,-11176000,2915372000,28149000,1448518000,34210000,,,1466524000,,-7347000.0,,54086000.0,35704000.0,25007000,,-50361000,,,244254000.0,,,34151000,1339118000,,,,,,,,,,
2012-12-31,,,-669000.0,-42171000.0,3321000.0,2110646000.0,,25007000,623000.0,10664000,10664000,52000.0,-31094000.0,,20062000.0,-4528000.0,-3000,-375684000.0,-6989000,,0.0,61852000,2486330000.0,,65481000.0,20622000.0,-115013000.0,-14343000,,5023000.0,106667000.0,-41919000,567024000.0,11905000,-275643000.0,,1417000.0,3831000.0,103946000,138755000,-24634000.0,2379706000.0,36864000,11333000.0,5707000,2946730000,18843000,1486832000,37223000,,,1459521000,,-41915000.0,1380165000.0,65481000.0,40270000.0,10664000,,-69148000,,,246060000.0,,2788000.0,29234000,1368832000,,,,,,,,,,
2013-03-31,19623000.0,40876000.0,-433000.0,-48950000.0,,2097101000.0,,10664000,1775792000.0,11763000,11763000,84000.0,-8174000.0,59000000.0,19989000.0,-1309000.0,-67000,-383651000.0,-24016000,55922000.0,,40172000,2480752000.0,,47798000.0,20114000.0,-3245000.0,1099000,,6652000.0,90911000.0,-41146000,551180000.0,12822000,-277551000.0,69115000.0,1548000.0,999000.0,40172000,82951000,-12769000.0,2400612000.0,56293000,19984000.0,-13067000,2951792000,35254000,1494287000,40876000,,,1457128000,,-12769000.0,1403376000.0,47798000.0,38246000.0,11763000,7035000.0,-14949000,-10460000.0,4572000.0,247589000.0,75916000.0,,41206000,1383392000,,,,,,,,,,
2013-06-30,20070000.0,31796000.0,-189000.0,-272430000.0,2590000.0,2137163000.0,,11763000,627000.0,20030000,20030000,5055000.0,-10719000.0,,20000000.0,-1689000.0,-9465000,-394872000.0,19366000,64893000.0,,72554000,2532035000.0,,51722000.0,20392000.0,-1000.0,8267000,,6051000.0,70092000.0,-67823000,602580000.0,14392000,-288225000.0,71889000.0,1618000.0,6931000.0,72554000,83557000,-18631000.0,2413705000.0,57497000,16821000.0,18491000,3016285000,26524000,1561648000,31796000,,,1454260000,,-15369000.0,1491556000.0,51722000.0,41825000.0,20030000,5990000.0,-83352000,10218000.0,242000.0,252765000.0,77567000.0,2788000.0,32476000,1474735000,,,,,,,,,,
2013-09-30,20109000.0,40529000.0,-399000.0,-63451000.0,2704000.0,2220155000.0,,20030000,636000.0,24141000,24141000,38520000.0,-8306000.0,,20435000.0,-1544000.0,-4364000,-398037000.0,44088000,,-796000.0,45649000,2618192000.0,,58273000.0,17536000.0,0.0,4111000,,6764000.0,76860000.0,-43226000,633423000.0,11926000,-288204000.0,74294000.0,1659000.0,1233000.0,45649000,87841000,-30004000.0,2501850000.0,61153000,18979000.0,-10574000,3135273000,37551000,1641812000,40529000,,,1493084000,,-27143000.0,1564952000.0,58273000.0,42162000.0,24141000,6579000.0,-85701000,-9085000.0,34000.0,254673000.0,81262000.0,2788000.0,43502000,1545973000,,,,,,,,,,
2013-12-31,21101000.0,48209000.0,-586000.0,-167637000.0,6811000.0,2394966000.0,-14176000.0,24141000,673000.0,7958000,7958000,177126000.0,-96298000.0,0.0,20632000.0,-2621000.0,-27000,-409643000.0,60733000,83276000.0,66000.0,75745000,2804609000.0,,72327000.0,17193000.0,0.0,-16183000,,6145000.0,91880000.0,-45729000,599668000.0,14806000,-271915000.0,78312000.0,1691000.0,-1925000.0,75745000,89350000,-3704000.0,2672608000.0,61837000,17046000.0,17844000,3272276000,57092000,1584262000,62385000,,,1687637000,,-3638000.0,1492382000.0,72327000.0,44413000.0,7958000,6412000.0,-152456000,17143000.0,7004000.0,247487000.0,82938000.0,,63043000,1475336000,,,,,,,,,,
2014-03-31,22887000.0,41067000.0,,-39728000.0,6336000.0,2431071000.0,925000.0,7958000,691000.0,20406000,20406000,79579000.0,-62885000.0,,19899000.0,371000.0,-449000,-422463000.0,33851000,87121000.0,5801000.0,41530000,2853534000.0,,47526000.0,15129000.0,-2892000.0,12448000,,7462000.0,68710000.0,-49638000,630437000.0,15327000,-279694000.0,75848000.0,2328000.0,1063000.0,41530000,89857000,-6679000.0,2708676000.0,60521000,27281000.0,-16813000,3339113000,37581000,1578599000,40142000,,,1760137000,,-6603000.0,1509889000.0,47526000.0,44206000.0,20406000,6449000.0,-62848000,-14712000.0,445000.0,248491000.0,83408000.0,,43533000,1482608000,,,,,,,,,,
2014-06-30,23300000.0,42124000.0,,-3248000.0,9345000.0,2659809000.0,1360000.0,20406000,691000.0,13589000,13589000,90000.0,18545000.0,79000000.0,20555000.0,-904000.0,-185000,-439242000.0,24043000,86496000.0,46192000.0,72824000,3099051000.0,,70383000.0,14225000.0,0.0,-6817000,,7079000.0,91574000.0,-51611000,637923000.0,16002000,-290597000.0,78950000.0,2343000.0,1109000.0,72824000,91787000,-19571000.0,2894929000.0,62948000,29507000.0,13098000,3532852000,34808000,1780882000,40764000,,,1751593000,,-19471000.0,1689308000.0,70383000.0,45642000.0,13589000,5539000.0,-103799000,14710000.0,-269000.0,203873000.0,86248000.0,,40760000,1659801000,,,,,,,,,,
2014-09-30,28165000.0,43755000.0,0.0,-177590000.0,8915000.0,2763890000.0,1047000.0,13589000,728000.0,8386000,8386000,184339000.0,-12045000.0,,20801000.0,-2052000.0,-174000,-453284000.0,93947000,85516000.0,141000.0,53854000,3217174000.0,,71511000.0,13557000.0,0.0,-5203000,,6719000.0,93751000.0,-51625000,681538000.0,17421000,-300611000.0,82046000.0,2313000.0,1130000.0,53854000,98738000,-36059000.0,2997693000.0,64625000,36551000.0,-13994000,3679231000,36753000,1751513000,42708000,,,1927341000,,-35918000.0,1657762000.0,71511000.0,45133000.0,8386000,5948000.0,-152794000,-8093000.0,-69000.0,203894000.0,92790000.0,,42705000,1621211000,,,,,,,,,,
2014-12-31,24500000.0,53035000.0,0.0,-89687000.0,8506000.0,2839333000.0,896000.0,8386000,728000.0,3336000,3336000,150000.0,-28820000.0,,,-2629000.0,-31000,-465660000.0,-30254000,86000000.0,77689000.0,82087000,3304993000.0,,82180000.0,12566000.0,0.0,-5050000,,6306000.0,104413000.0,-54763000,629230000.0,17989000,-302776000.0,86926000.0,1918000.0,230000.0,82087000,104670000,-35955000.0,3072818000.0,73209000,25623000.0,8046000,3702048000,46685000,1775559000,52139000,,,1926112000,,41734000.0,1671146000.0,82180000.0,48234000.0,3336000,6961000.0,-56785000,12681000.0,143000.0,205070000.0,97709000.0,,52636000,1645523000,,,,,,,,,,
2015-03-31,45717000.0,51257000.0,,-251100000.0,8385000.0,2891673000.0,8426000.0,3336000,730000.0,102206000,102206000,123000.0,-118402000.0,0.0,,-2330000.0,-2878000,-471057000.0,135008000,97300000.0,148000.0,57518000,3362730000.0,6888000.0,78499000.0,8711000.0,-8222000.0,98870000,,26260000.0,101747000.0,-56796000,774299000.0,19355000,-317814000.0,66717000.0,8349000.0,1144000.0,57518000,99436000,-18698000.0,3129003000.0,47362000,42628000.0,2584000,3903302000,36869000,1993799000,42831000,,,1909126000,,-18550000.0,1892052000.0,78499000.0,49131000.0,102206000,6357000.0,-93162000,2529000.0,22482000.0,206168000.0,93079000.0,,42821000,1849424000,,,,,,,,,,
2015-06-30,29815000.0,41192000.0,,-8559000.0,8957000.0,3061100000.0,-7506000.0,102206000,731000.0,6146000,6146000,117000.0,-181774000.0,100000000.0,,-6984000.0,-3976000,-492602000.0,34775000,102815000.0,4901000.0,62889000,3553702000.0,-6711000.0,80855000.0,8290000.0,-1000.0,-96060000,,7756000.0,104115000.0,-57804000,700694000.0,21849000,-326914000.0,87522000.0,2085000.0,1465000.0,62889000,101258000,-16891000.0,3290698000.0,65673000,39270000.0,-4370000,3991392000,42814000,2089249000,48698000,,,1901766000,,-16731000.0,1985134000.0,80855000.0,53817000.0,6146000,5770000.0,-193764000,3506000.0,-4231000.0,195304000.0,95488000.0,,48766000,1945864000,,,,,,,,,,
2015-09-30,31201000.0,50552000.0,,-153410000.0,9043000.0,3343913000.0,498000.0,6146000,754000.0,14614000,14614000,99520000.0,164147000.0,196000000.0,,988000.0,-98000,-511949000.0,129530000,112825000.0,667000.0,64415000,3855862000.0,52000.0,98736000.0,5410000.0,1000.0,8468000,,7482000.0,122583000.0,-58326000,627420000.0,23498000,-335690000.0,95136000.0,2161000.0,1222000.0,64415000,108335000,-27347000.0,3573685000.0,71638000,51996000.0,-12316000,4201105000,44244000,2212034000,50054000,,,1988694000,,-26680000.0,2089451000.0,98736000.0,59150000.0,14614000,5496000.0,-185190000,-8729000.0,-539000.0,196468000.0,102839000.0,,50195000,2037455000,,,,,,,,,,
2015-12-31,33131000.0,51814000.0,,-90245000.0,8636000.0,3427729000.0,-936000.0,14614000,771000.0,4283000,4283000,90398000.0,-43791000.0,196000000.0,,-3297000.0,-95000,-534303000.0,-7291000,94751000.0,39981000.0,93638000,3962032000.0,-1365000.0,92178000.0,5622000.0,0.0,-10331000,,8101000.0,116530000.0,-60147000,578963000.0,24915000,-343642000.0,110409000.0,2290000.0,1219000.0,93638000,111988000,-9762000.0,3638307000.0,73047000,44952000.0,13563000,4217270000,46799000,2143402000,52750000,,,2073868000,693000.0,30219000.0,2026872000.0,92178000.0,62335000.0,4283000,5810000.0,-96423000,8405000.0,-432000.0,197048000.0,106178000.0,,52750000,1981920000,,,,,,,,,,
2016-03-31,35178000.0,54036000.0,,-148586000.0,8269000.0,3503451000.0,-144000.0,4283000,797000.0,10980000,10980000,125199000.0,-98672000.0,,,-2968000.0,-508000,-562195000.0,68439000,,19496000.0,69077000,4065646000.0,-602000.0,77523000.0,3708000.0,-4208000.0,6697000,,9218000.0,103744000.0,-64823000,634231000.0,25955000,-356208000.0,104064000.0,2765000.0,1772000.0,69077000,118768000,-53659000.0,3709309000.0,78109000,56627000.0,-15292000,4343540000,48228000,2156502000,54180000,,,2187038000,,-34163000.0,2052758000.0,77523000.0,65597000.0,10980000,5481000.0,-130915000,-6878000.0,-232000.0,197589000.0,113287000.0,,54180000,1996131000,,,,,,,,,,
2016-06-30,34666000.0,55558000.0,,-54530000.0,14681000.0,3655916000.0,423000.0,10980000,801000.0,8462000,8462000,17080000.0,,,,-1359000.0,-133000,-583848000.0,51457000,,47225000.0,83455000,4239764000.0,-18000.0,91130000.0,3485000.0,0.0,-2518000,,9000000.0,117442000.0,-66878000,595286000.0,25666000,-368097000.0,103453000.0,2739000.0,1550000.0,83455000,118033000,-11849000.0,3864938000.0,77787000,49798000.0,2751000,4460224000,49183000,2265505000,55135000,,,2194719000,,78013000.0,2148063000.0,91130000.0,62516000.0,8462000,5580000.0,-137285000,5947000.0,866000.0,194341000.0,112453000.0,,55135000,2098265000,,,,,,,,,,
2016-09-30,36692000.0,57884000.0,,-383993000.0,15253000.0,3776554000.0,358000.0,8462000,801000.0,7311000,7311000,173000.0,,,,-14739000.0,-2888000,-609103000.0,82672000,,1016000.0,63241000,4385657000.0,-44000.0,101019000.0,4698000.0,-3000.0,-1151000,,9091000.0,127331000.0,-66977000,633852000.0,27601000,-377604000.0,110893000.0,2778000.0,1243000.0,63241000,125610000,-15344000.0,3987118000.0,83292000,55636000.0,-22220000,4620970000,51575000,2431543000,57526000,,,2189427000,,-14328000.0,2304212000.0,101019000.0,67692000.0,7311000,5626000.0,-147051000,-4329000.0,-1129000.0,195311000.0,119984000.0,,57526000,2248576000,,,,,,,,,,
2016-12-31,38585000.0,58057000.0,,-278157000.0,14779000.0,3915402000.0,-84000.0,7311000,802000.0,19335000,19335000,176000.0,,,,-18561000.0,-11338000,-635535000.0,168566000,,29896000.0,90429000,4550937000.0,-401000.0,119758000.0,7734000.0,0.0,12024000,,10234000.0,146076000.0,-66984000,826171000.0,28351000,-386509000.0,107055000.0,2882000.0,-278000.0,90429000,130831000,-113233000.0,4038851000.0,86331000,47420000.0,3824000,4865022000,52190000,2679121000,58141000,,,2185901000,,-103463000.0,2533045000.0,119758000.0,75182000.0,19335000,5915000.0,-246896000,22285000.0,-1440000.0,108670000.0,124916000.0,,58141000,2485625000,,,,,,,,,,
2017-03-31,39134000.0,54870000.0,,-45331000.0,14404000.0,4027594000.0,954000.0,19335000,814000.0,14446000,14446000,68141000.0,,150000000.0,,2720000.0,-34000,-661029000.0,121053000,,9739000.0,74771000,4688623000.0,634000.0,101438000.0,8606000.0,-6729000.0,-4889000,,11057000.0,129412000.0,-69856000,896167000.0,28077000,-404164000.0,111705000.0,3458000.0,1506000.0,74771000,129112000,-67611000.0,4150615000.0,83628000,61579000.0,-11266000,5046782000,47964000,2807373000,53916000,,,2239409000,,-57872000.0,2677961000.0,101438000.0,80140000.0,14446000,6350000.0,-200715000,-12492000.0,1939000.0,108617000.0,122762000.0,,53916000,2616382000,,,,,,,,,,
2017-06-30,43808000.0,81010000.0,,-556631000.0,22025000.0,4594249000.0,475000.0,14446000,903000.0,70872000,70872000,211000.0,,0.0,32967000.0,786000.0,-7014000,-676364000.0,98715000,,7470000.0,105499000,5270613000.0,50000.0,142526000.0,9698000.0,0.0,56426000,,10660000.0,173522000.0,-77989000,1223724000.0,33148000,-404708000.0,131050000.0,3503000.0,1503000.0,105499000,147782000,-35497000.0,4715162000.0,97902000,71098000.0,3668000,5938886000,74583000,3037540000,80535000,,,2901346000,,-28027000.0,2864018000.0,142526000.0,87747000.0,70872000,6072000.0,-147909000,212000.0,16084000.0,98888000.0,141710000.0,,80535000,2792920000,,,,,,,,,,
2017-09-30,46764000.0,63541000.0,,-65129000.0,29530000.0,4853879000.0,587000.0,70872000,902000.0,11412000,11412000,200000.0,,,34194000.0,6714000.0,-7166000,-711384000.0,106889000,,1577000.0,120038000,5565263000.0,227000.0,140582000.0,10919000.0,0.0,-59460000,,12070000.0,171579000.0,-81016000,1186287000.0,34694000,-422841000.0,132987000.0,3605000.0,3020000.0,120038000,151397000,-28836000.0,4946723000.0,98293000,85198000.0,16570000,6133010000,57003000,3244702000,62954000,,,2888308000,,-27259000.0,3073123000.0,140582000.0,89634000.0,11412000,6340000.0,-286428000,-1689000.0,919000.0,63314000.0,145057000.0,,62954000,2987925000,,,,,,,,,,
2017-12-31,46865000.0,65946000.0,,-156197000.0,28869000.0,4895552000.0,383000.0,11412000,917000.0,41917000,41917000,30517000.0,,210000000.0,27291000.0,-1354000.0,-111000,-741334000.0,6809000,109008000.0,5203000.0,90792000,5636886000.0,-99000.0,136929000.0,12483000.0,-125025000.0,30505000,240185000.0,9596000.0,167114000.0,-82860000,1203567000.0,37027000,-443470000.0,149720000.0,3576000.0,1580000.0,90792000,147700000,-3681000.0,4987926000.0,87944000,68227000.0,-3389000,6191493000,54668000,3264168000,65563000,0.0,35375000.0,2927325000,,1522000.0,3097054000.0,,82528000.0,41917000,12891000.0,-67161000,9049000.0,13331000.0,63505000.0,134809000.0,291321000.0,65563000,3028827000,,,,,,,,,,
2018-03-31,50008000.0,30558000.0,,-281684000.0,28655000.0,,1020000.0,58986000,920000.0,24514000,24514000,303000.0,,,,3597000.0,-28688000,,-20798000,,11555000.0,108964000,,428000.0,117583000.0,16481000.0,-7116000.0,-18832000,,12324000.0,150374000.0,-83613000,1047811000.0,37684000,-500230000.0,135080000.0,3791000.0,32924000.0,108964000,154968000,-23900000.0,5191055000.0,97396000,81461000.0,4534000,6238866000,23502000,3363272000,29538000,,,2875594000,,-12345000.0,3212898000.0,,81845000.0,40154000,7564000.0,-106916000,-9118000.0,-558000.0,63639000.0,147404000.0,283624000.0,29538000,3131437000,,,,,,,,,,
2018-06-30,50558000.0,92223000.0,,-600000000.0,38946000.0,,642000.0,40154000,920000.0,3017000,3017000,227000.0,,,,-9222000.0,-8519000,,-234550000,,191983000.0,140784000,,235000.0,122359000.0,17497000.0,-40000.0,-25854000,,12976000.0,155160000.0,-86218000,849620000.0,37582000,-494962000.0,182557000.0,3817000.0,1399000.0,140784000,202867000,-4918000.0,5254604000.0,144975000,79121000.0,-10444000,6104224000,85545000,3218256000,91581000,,,2885968000,,187065000.0,3063096000.0,,85669000.0,14300000,7334000.0,67920000,2360000.0,-18658000.0,63304000.0,195533000.0,299166000.0,91581000,2983975000,,,,,,,,,,
2018-09-30,50165000.0,92348000.0,,-60000000.0,38177000.0,,515000.0,14300000,920000.0,74153000,74153000,204000.0,,,,-7995000.0,-86000,,-116130000,,150209000.0,151134000,,92000.0,138829000.0,19246000.0,,81884000,,11424000.0,171626000.0,-86243000,838121000.0,38623000,-489453000.0,157899000.0,3687000.0,1415000.0,151134000,176409000,-6702000.0,5275949000.0,119276000,90287000.0,23233000,6114070000,85797000,3216875000,91833000,,,2897195000,,,3045249000.0,,88556000.0,96184000,6968000.0,46868000,,6648000.0,25513000.0,169441000.0,,91833000,2954962000,,,,,,,,,,
2018-12-31,52031000.0,54139000.0,,-8000000.0,42491000.0,,108000.0,96184000,920000.0,5872000,5872000,222000.0,,,,-8680000.0,1000,,-56075000,,63164000.0,83446000,,-182000.0,168463000.0,12085000.0,,-77677000,,12165000.0,201262000.0,-86241000,688075000.0,39541000,-521748000.0,77239000.0,7034000.0,1436000.0,83446000,166487000,-8448000.0,5443315000.0,105566000,79051000.0,-28805000,6131390000,47997000,3266367000,54031000,,,2865023000,,,3065105000.0,,88389000.0,18507000,8890000.0,-104684000,,-17912000.0,55044000.0,157597000.0,,54031000,2986054000,,,,,,,,,,
2019-03-31,51873000.0,64744000.0,-325000.0,-66150000.0,41487000.0,211299000.0,-605000.0,18507000,934000.0,11116000,11116000,74323000.0,,,,14669000.0,-40000,,9154000,211299000.0,973000.0,122384000,211299000.0,-609000.0,117746000.0,8397000.0,,3775000,,12130000.0,152086000.0,-88748000,707026000.0,39743000,-546776000.0,136619000.0,3280000.0,1443000.0,122384000,164542000,-11059000.0,5724205000.0,96876000,85012000.0,19883000,6431231000,59315000,3518452000,65349000,,235612000.0,2912779000,,,3366366000.0,,105151000.0,22282000,15793000.0,-127833000,,1694000.0,55804000.0,148749000.0,,65349000,3045742000,,,,,,,,,,
2019-06-30,62676000.0,65294000.0,0.0,-152000000.0,42000000.0,220758000.0,-1300000.0,22282000,955000.0,6927000,6927000,157084000.0,,,,-2234000.0,-236000,,235607000,220758000.0,4555000.0,87372000,220758000.0,-1675000.0,126015000.0,5174000.0,,-10345000,,12230000.0,161133000.0,-91241000,720543000.0,42355000,-572313000.0,140606000.0,3283000.0,1459000.0,87372000,175698000,-31083000.0,6026112000.0,98251000,78629000.0,-14400000,6746655000,60560000,3701757000,66594000,,245372000.0,3044898000,,,3540624000.0,,102050000.0,11937000,14771000.0,-333363000,,3321000.0,56333000.0,160927000.0,,66594000,3216623000,,,,,,,,,,
2019-09-30,68137000.0,33403000.0,0.0,-648585000.0,41116000.0,219459000.0,-600000.0,11937000,961000.0,115839000,115839000,53862000.0,,,,500000.0,-45985000,,-194098000,,205234000.0,127506000,219459000.0,-984000.0,121351000.0,4659000.0,,109831000,,11600000.0,156725000.0,-93198000,687551000.0,45134000,-631851000.0,147196000.0,3790000.0,39852000.0,127506000,184862000,-66568000.0,5945739000.0,102062000,89797000.0,19579000,6633290000,27969000,3592491000,34003000,,,3040799000,,,3435766000.0,,93884000.0,121768000,14663000.0,176446000,,6388000.0,55949000.0,170199000.0,,34003000,3101611000,,,,,,,,,,
