date,quarterlyEbitda,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyGrossProfit,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyChangeInAccountPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,quarterlyDilutedEPS,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyStockBasedCompensation,quarterlyStockholdersEquity,quarterlyCostOfRevenue,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyChangeInInventory,quarterlyOperatingExpense,quarterlyLongTermDebt,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyBasicEPS,quarterlyCommonStockIssuance,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyNetOtherFinancingCharges,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyBasicAverageShares,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyChangesInAccountReceivables,quarterlyTotalAssets,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyFreeCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlySaleOfInvestment,quarterlyDepreciationAndAmortization,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyBeginningCashPosition,quarterlyDilutedAverageShares,quarterlyCapitalStock,quarterlyPurchaseOfInvestment,quarterlyResearchAndDevelopment,quarterlyInvestmentsAndAdvances,quarterlyCashDividendsPaid,quarterlyCurrentDeferredRevenue,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
2015-06-30,108234000,3984361000,53160000,489983000,34250000,9200000,-34380000,17312000.0,2897900000.0,2946000,,1277000000.0,1900300000.0,990700000.0,,-97500000.0,,-3493000.0,36098000.0,350000.0,493000000.0,3494378000,664000000.0,51000.0,964600000.0,234100000.0,-1204000.0,436823000,1395800000.0,,89700000.0,34250000,34250000,-16505000.0,0.0,1620900000.0,9400000.0,-34870000,,,-62177000,21147000,25456000.0,882600000.0,53000,-396000000.0,45000000.0,100300000.0,99009000,2452000,,-48000.0,23219000,57469000,594700000.0,134100000.0,-11199000.0,3390900000.0,186900000.0,1490600000.0,64139000,9200000.0,9200000.0,,29618000,-4500000.0,895900000.0,6758000,,900000.0,,,,,,,
2015-09-30,70000000,3928900000,44000000,481100000,12200000,11500000,-26400000,-40800000.0,2899200000.0,2600000,0.14,1223000000.0,1918400000.0,,,-85300000.0,,-1700000.0,-72400000.0,1100000.0,505500000.0,3447800000,668300000.0,0.0,942600000.0,206900000.0,-32700000.0,437100000,1451600000.0,,90700000.0,12200000,12200000,-3000000.0,0.0,1676200000.0,9400000.0,-17700000,0.14,,54600000,21000000,-2200000.0,916300000.0,-1100000,,44900000.0,97700000.0,-25900000,2300000,86885548.0,-8900000.0,8600000,20800000,593300000.0,147800000.0,20300000.0,3404700000.0,179800000.0,1486300000.0,-43600000,11500000.0,11500000.0,,28200000,-5400000.0,855900000.0,9200000,87653160.0,900000.0,,,,,,,
2015-12-31,52800000,3893900000,53800000,486800000,17500000,9000000,-25100000,-26600000.0,2656200000.0,8800000,0.17,1213600000.0,1935700000.0,,,-67800000.0,,-4300000.0,-25200000.0,7700000.0,756100000.0,3407100000,668600000.0,0.0,963900000.0,217900000.0,4700000.0,433000000,1212700000.0,,96400000.0,17500000,17500000,-226000000.0,0.0,1442600000.0,9400000.0,-25200000,0.18,,-14000000,23300000,-1000000.0,911600000.0,225700000,,46800000.0,100800000.0,36600000,-2500000,99107828.0,-300000.0,12000000,29500000,597700000.0,7800000.0,-24700000.0,3412300000.0,163500000.0,1476600000.0,11400000,9000000.0,9000000.0,,28600000,-3700000.0,975900000.0,11500000,100367528.0,1000000.0,,,,,,,
2016-03-31,66500000,3909100000,37600000,480800000,9400000,10700000,-56000000,97100000.0,2670300000.0,7600000,0.09,1270000000.0,1945100000.0,,,-58400000.0,,4600000.0,50200000.0,4800000.0,769800000.0,3428300000,676200000.0,0.0,979100000.0,216900000.0,19700000.0,443200000,1170200000.0,,97200000.0,9400000,9400000,-202400000.0,0.0,1400300000.0,9400000.0,-25100000,0.09,-400000.0,-49200000,21600000,-500000.0,899100000.0,-5500000,,47100000.0,98800000.0,106900000,1700000,99698267.0,-31000000.0,6100000,15500000,604300000.0,110300000.0,-7700000.0,3440100000.0,167400000.0,1495000000.0,81800000,10700000.0,10700000.0,,29400000,-4000000.0,931000000.0,9000000,101360286.0,1000000.0,,,,,,,
2016-06-30,66700000,4372900000,66800000,561300000,29200000,10900000,-50100000,-11900000.0,2652600000.0,3100000,0.29,1316700000.0,1938900000.0,1101800000.0,,-29200000.0,,1000000.0,45200000.0,3600000.0,802800000.0,3811600000,674000000.0,0.0,968200000.0,231400000.0,-21300000.0,494500000,1111600000.0,,111700000.0,29200000,29200000,-308900000.0,0.0,1335900000.0,0.0,-51700000,0.29,0.0,-67000000,18000000,-100000.0,919700000.0,-7400000,-464800000.0,56200000.0,81100000.0,117300000,200000,99833658.0,,19500000,48700000,637000000.0,5300000.0,10900000.0,3455400000.0,149300000.0,1516500000.0,65600000,10900000.0,10900000.0,,32400000,-5800000.0,1077600000.0,10700000,101839515.0,1000000.0,,,,,,,
2016-09-30,61900000,4046100000,31600000,511300000,12200000,8900000,-49500000,7400000.0,2707500000.0,1400000,0.12,1252600000.0,2002100000.0,,,-17500000.0,,-1800000.0,-123200000.0,4200000.0,820600000.0,3534800000,675300000.0,0.0,1005800000.0,214700000.0,-29600000.0,479700000,1236500000.0,,108000000.0,12200000,12200000,-1600000.0,0.0,1454900000.0,,-34800000,0.12,,122700000,12900000,800000.0,952800000.0,-700000,,59100000.0,79900000.0,-75200000,-2000000,99950484.0,,7300000,19500000,643900000.0,112600000.0,-37300000.0,3528100000.0,147700000.0,1526000000.0,-110000000,8900000.0,8900000.0,,29500000,-4000000.0,922900000.0,10900000,102841812.0,1000000.0,,,,,,,
2016-12-31,51800000,4051800000,51300000,517200000,22900000,11700000,-112300000,-75600000.0,2779300000.0,1900000,0.22,1250700000.0,2019700000.0,,,5400000.0,,-2200000.0,-9800000.0,3900000.0,853600000.0,3534600000,687500000.0,0.0,990100000.0,197600000.0,-24800000.0,465900000,1299300000.0,,105500000.0,22900000,22900000,-1800000.0,0.0,1528600000.0,5600000.0,-45100000,0.23,,65400000,13600000,500000.0,985100000.0,-1400000,,57600000.0,81400000.0,49700000,2800000,100112604.0,,15300000,38200000,699800000.0,2200000.0,22200000.0,3632900000.0,168300000.0,1613200000.0,4600000,11700000.0,11700000.0,,30400000,1700000.0,1039800000.0,8900000,102650384.0,1000000.0,,,,,,,
2017-03-31,79600000,4235000000,46700000,521400000,20800000,7600000,-89000000,64900000.0,2865600000.0,-700000,0.2,1375100000.0,2080500000.0,,,26200000.0,,600000.0,68400000.0,4000000.0,880700000.0,3713600000,704100000.0,0.0,1038000000.0,227900000.0,-3300000.0,474700000,1257700000.0,474700000.0,105200000.0,20800000,20800000,-1500000.0,0.0,1490500000.0,5700000.0,-26700000,0.21,0.0,-42600000,14000000,200000.0,1000200000.0,-600000,,55700000.0,82800000.0,127500000,-4100000,100277231.0,,12100000,32900000,721600000.0,214700000.0,-38700000.0,3746300000.0,184400000.0,1665800000.0,100800000,7600000.0,7600000.0,,32700000,2800000.0,920700000.0,11700000,102805722.0,1000000.0,,,,,,,
2017-06-30,81500000,4428900000,81400000,574900000,40400000,8100000,-81200000,-19900000.0,2878600000.0,800000,0.39,1383300000.0,2084900000.0,1286200000.0,,66600000.0,,9700000.0,12600000.0,5200000.0,925500000.0,3854000000,718600000.0,0.0,1028500000.0,246000000.0,-6100000.0,493500000,1241900000.0,493500000.0,106400000.0,40400000,40400000,-1500000.0,0.0,1495300000.0,5800000.0,-33600000,0.4,0.0,-18000000,14400000,100000.0,1013300000.0,-2300000,-545500000.0,58800000.0,103000000.0,99700000,500000,100605626.0,,26700000,67100000,740700000.0,300000.0,18100000.0,3804100000.0,201100000.0,1719200000.0,66100000,8100000.0,8100000.0,,33500000,2400000.0,1125300000.0,7600000,103695327.0,1000000.0,,,,,,,
2017-09-30,82200000,4364900000,50500000,554700000,22600000,19800000,-79600000,-7600000.0,2933900000.0,400000,0.22,1375200000.0,2132800000.0,,,89200000.0,,-2700000.0,-41800000.0,3400000.0,949400000.0,3810200000,738700000.0,0.0,1058600000.0,249400000.0,-5000000.0,504200000,1308700000.0,,106500000.0,22600000,22600000,,0.0,1558700000.0,5900000.0,-16500000,0.22,,62400000,14600000,300000.0,1034000000.0,-4200000,,58600000.0,100400000.0,16000000,-1200000,100900000.0,,13600000,36200000,737600000.0,205100000.0,-20100000.0,3883300000.0,215600000.0,1750500000.0,-500000,6900000.0,6900000.0,,31400000,2400000.0,908700000.0,21000000,103900000.0,1000000.0,,,,,,,
2017-12-31,81500000,4311100000,49100000,567600000,78000000,23000000,-21800000,-21800000.0,2867100000.0,9300000,0.75,1280100000.0,2140000000.0,,,167200000.0,,-35100000.0,-83600000.0,11100000.0,1015500000.0,3743500000,740100000.0,0.0,1034900000.0,204800000.0,-9300000.0,518500000,1358700000.0,518500000.0,114900000.0,78000000,78000000,,0.0,1587000000.0,0.0,-22000000,0.77,,8400000,15100000,100000.0,1043400000.0,-35400000,,60800000.0,66000000.0,16600000,3200000,101400000.0,,-43900000,34100000,734900000.0,181400000.0,18900000.0,3882600000.0,206800000.0,1742600000.0,-5400000,10100000.0,10100000.0,,32300000,4400000.0,886900000.0,19800000,104500000.0,1000000.0,,,,,,,
2018-03-31,92100000,4349200000,60100000,558700000,33700000,20500000,-42100000,135900000.0,2871100000.0,2100000,0.32,1447100000.0,2183600000.0,,,200900000.0,,-600000.0,121600000.0,3500000.0,1061400000.0,3790500000,740400000.0,,1070300000.0,223700000.0,-9900000.0,498600000,1199100000.0,,111400000.0,33700000,33700000,-43500000.0,,1424000000.0,,-34700000,0.33,,-157400000,15200000,-100000.0,1054400000.0,2500000,,61700000.0,66300000.0,197000000,-2500000,102700000.0,,11100000,44800000,744300000.0,193300000.0,-37500000.0,3932500000.0,202500000.0,1748900000.0,162300000,7500000.0,7500000.0,,32100000,7000000.0,1022500000.0,23000000,104500000.0,1000000.0,,,,,,,
2018-06-30,94000000,4594700000,93800000,611800000,64400000,17800000,-65900000,-49400000.0,2865600000.0,1300000,0.61,1470000000.0,2203500000.0,1414800000.0,,264800000.0,,39800000.0,-6000000.0,3600000.0,1135300000.0,3982900000,740500000.0,,1065600000.0,227800000.0,2400000.0,518000000,1123000000.0,,113500000.0,64400000,64400000,-85100000.0,,1395600000.0,,-66900000,0.62,,-74200000,15500000,200000.0,1051900000.0,-1400000,-619300000.0,67600000.0,106300000.0,137400000,-2700000,103100000.0,,14100000,78500000,795500000.0,260800000.0,4800000.0,4000900000.0,193800000.0,1797400000.0,70500000,7500000.0,7500000.0,,34300000,8300000.0,1233800000.0,20500000,104900000.0,1000000.0,,,,,,,
2018-09-30,86300000,4539700000,50600000,593600000,28200000,19100000,-56300000,66400000.0,2921600000.0,600000,0.27,1474700000.0,2263100000.0,,,292100000.0,,-2900000.0,-36500000.0,3800000.0,1165300000.0,3946100000,746600000.0,,1068800000.0,238400000.0,-54000000.0,543000000,1159800000.0,,119400000.0,28200000,28200000,-5800000.0,,1446900000.0,,-25000000,0.27,,25300000,15600000,200000.0,1115500000.0,-8000000,,70000000.0,103500000.0,32300000,1300000,103500000.0,,7000000,35200000,809400000.0,184400000.0,1700000.0,4086900000.0,197800000.0,1823800000.0,7300000,8600000.0,8600000.0,,35500000,9500000.0,1042300000.0,17800000,105100000.0,1000000.0,,,,,,,
2018-12-31,109400000,4615700000,73000000,614600000,43100000,18100000,-60100000,-103800000.0,2961400000.0,700000,0.41,1458200000.0,2293500000.0,,,335200000.0,,-1800000.0,-51300000.0,4200000.0,1205100000.0,4001100000,747400000.0,,1093200000.0,222600000.0,-19800000.0,541600000,1188400000.0,,117900000.0,43100000,43100000,-4400000.0,,1503200000.0,,-35100000,0.41,,21400000,16000000,-700000.0,1140900000.0,-1200000,,59000000.0,100700000.0,37700000,-1000000,103900000.0,,13200000,56300000,855600000.0,281500000.0,-26000000.0,4166500000.0,211000000.0,1873000000.0,2600000,7500000.0,7500000.0,,37100000,5700000.0,940600000.0,19100000,104900000.0,1000000.0,,,,,,,
2019-03-31,99900000,4689000000,59200000,604700000,32300000,18400000,-33400000,104800000.0,2988600000.0,1900000,0.31,1598800000.0,2325200000.0,,,367500000.0,-4700000.0,7200000.0,102400000.0,3800000.0,1234200000.0,4084300000,747500000.0,,1128500000.0,260900000.0,12500000.0,545500000,1042100000.0,,114700000.0,32300000,32300000,-85800000.0,,1389800000.0,,-33000000,0.31,,-156800000,16500000,1000000.0,1128300000.0,-1800000,,54500000.0,107100000.0,190500000,300000,103800000.0,,11400000,43700000,895900000.0,276000000.0,-39300000.0,4222800000.0,199700000.0,1897600000.0,157500000,7700000.0,7700000.0,,39700000,3300000.0,1045000000.0,18100000,105100000.0,1000000.0,,,,,,,
2019-06-30,143100000,5899100000,100500000,700100000,63200000,25400000,-199600000,-55900000.0,3355300000.0,13100000,0.6,1699300000.0,2670600000.0,1658800000.0,,430700000.0,0.0,9100000.0,-62100000.0,3900000.0,1298200000.0,5199000000,765800000.0,300000.0,1227300000.0,343300000.0,-37100000.0,599600000,1202900000.0,,216200000.0,63200000,63200000,-3900000.0,,1656000000.0,,-46000000,0.61,,149700000,17300000,-100000.0,1356900000.0,-7000000,-708300000.0,72300000.0,108000000.0,56900000,7000000,103800000.0,,19900000,83100000,950500000.0,206900000.0,13400000.0,4653500000.0,194300000.0,1982900000.0,10900000,14700000.0,14700000.0,,42700000,-200000.0,1337700000.0,18400000,105400000.0,1000000.0,,,,,,,
2019-09-30,106200000,6243000000,63500000,711400000,36100000,1087400000,-22500000,57400000.0,4829900000.0,4400000,0.34,1823000000.0,3769700000.0,1376300000.0,,466800000.0,,-5600000.0,-1900000.0,4400000.0,1333100000.0,5531600000,765800000.0,,1226900000.0,344100000.0,-54300000.0,647900000,2212100000.0,,214800000.0,36100000,36100000,-5000000.0,,3006900000.0,,-22800000,0.35,,1000300000,17300000,,1411200000.0,-7100000,,71600000.0,102000000.0,84200000,1062000000,104000000.0,,10100000,46200000,1376300000.0,187900000.0,-3700000.0,6163000000.0,179600000.0,2393300000.0,61400000,16000000.0,16000000.0,,42700000,-1300000.0,1188700000.0,25400000,105600000.0,1000000.0,,,,,,,
