date,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyInterestExpense,quarterlyOtherIncomeExpense,quarterlyNetOtherFinancingCharges,quarterlyInventory,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyBasicEPS,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyBasicAverageShares,quarterlyCurrentDeferredRevenue,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,quarterlyOperatingExpense,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyResearchAndDevelopment,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,quarterlyDilutedAverageShares,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlyCashAndCashEquivalents,quarterlySaleOfInvestment,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyBeginningCashPosition,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,quarterlyEbitda,quarterlyOperatingIncome,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,quarterlyDilutedEPS,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyOtherShortTermInvestments,quarterlyStockholdersEquity,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyChangeInInventory,quarterlyLongTermDebt,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyStockBasedCompensation
2007-12-31,4700000,-47100000,15000000,-31500000,-600000,303500000,26900000,-1545000000,,,612400000,32700000.0,,,-54500000,22400000,146900000,,-37400000,9200000,706100000,24600000,74500000,19900000.0,,2290500000,,3869000000,-24700000,480500000,25600000.0,82200000.0,29900000,-350100000.0,191300000,535000000,581400000,800000.0,803700000,-99700000.0,70300000,40400000,480500000,-106400000,38300000,,187300000,4184800000,71800000.0,,2251100000,,1578500000,,521100000,-4900000,,,-405100000.0,,100900000.0,-386600000,498100000.0,122300000.0,14800000,241800000.0,616400000,,300000.0,205800000,38300000,38300000,,3663700000,157800000,3630700000,
2008-03-31,3200000,-25900000,15100000,-8400000,-700000,371900000,6700000,-1615800000,0.19,,637300000,34000000.0,72500000.0,,-19700000,-47700000,178800000,,15600000,31100000,722900000,21700000,64500000,8900000.0,,2339200000,73200000.0,3927300000,-73600000,460800000,33100000.0,82800000.0,30200000,-342700000.0,203600000,480500000,524800000,800000.0,759200000,-3000000.0,83400000,53200000,460800000,6700000,13600000,,232000000,4212200000,-58900000.0,0.19,2338700000,,1588100000,,497300000,-20800000,,,-391500000.0,,64000000.0,-356700000,488100000.0,128100000.0,0,216400000.0,527200000,,300000.0,157100000,13600000,13600000,,3714900000,168600000,3680600000,
2008-06-30,3800000,-32800000,14500000,5800000,-600000,368700000,700000,-1625500000,0.35,,616800000,35000000.0,72100000.0,,-65400000,-51500000,208100000,,21500000,50600000,724400000,21200000,208100000,700000.0,,2255700000,72900000.0,3858800000,-84300000,395400000,13600000.0,80600000.0,30700000,-347800000.0,228900000,460800000,445900000,800000.0,900000000,0.0,87300000,56600000,395400000,-10900000,25000000,,264700000,4132200000,111500000.0,0.34,2349900000,,1603100000,,669600000,-223500000,,,-366500000.0,,50500000.0,-336100000,534900000.0,126700000.0,8200000,219200000.0,635300000,,300000.0,186900000,25000000,25000000,,3462600000,156600000,3427300000,
2008-09-30,6100000,-34400000,13100000,-27400000,-300000,431400000,42100000,-1519400000,0.39,,635700000,33300000.0,72200000.0,,-70200000,-82800000,188300000,,-4200000,28100000,710100000,20500000,58100000,0.0,,2267000000,72800000.0,3754200000,-117200000,325200000,14800000.0,75600000.0,29900000,-336900000.0,219400000,395400000,360300000,800000.0,889400000,0.0,97600000,67700000,325200000,-19700000,28300000,,256000000,3933100000,-333400000.0,0.39,2229500000,,1487200000,,517100000,168500000,,,-290000000.0,,35100000.0,-248600000,531100000.0,122000000.0,-300000,224600000.0,633400000,,300000.0,167800000,28300000,28300000,,3416000000,115700000,3382400000,
2008-12-31,11200000,-39100000,11400000,75500000,1600000,354800000,-35500000,-1545300000,,,697900000,7100000.0,,,134900000,183600000,253100000,,-34600000,12800000,710600000,19300000,291500000,,,2377300000,,3875500000,144500000,460100000,21900000.0,,27900000,-560300000.0,230400000,325200000,481700000,800000.0,768400000,-1100000.0,13700000,-46200000,460100000,-7200000,43400000,,206900000,4302400000,347800000.0,,2255900000,,1498200000,,533100000,103200000,,,-246600000.0,,21600000.0,-426900000,462600000.0,117100000.0,-140100000,,561500000,,600000.0,233800000,43400000,43400000,,3769300000,153300000,2946400000,
2009-03-31,12500000,-16600000,9200000,-19100000,0,288600000,-12900000,-1523300000,-0.54,,651800000,4700000.0,72200000.0,,93600000,54700000,202700000,,-23400000,-62200000,680500000,18600000,267200000,,,2339500000,72200000.0,3726700000,38100000,553700000,75000000.0,,27500000,-529800000.0,215300000,460100000,569300000,800000.0,682100000,-1000000.0,-25500000,-33900000,553700000,59800000,-38900000,,168800000,4101600000,25400000.0,-0.54,2203800000,,1387200000,-13700000.0,495000000,58700000,-300000.0,,-285500000.0,,15600000.0,-434000000,407400000.0,113500000.0,2400000,,513300000,,500000.0,182300000,-38800000,-38900000,-400000.0,3606600000,77200000,2855700000,
2009-06-30,6300000,-19900000,9600000,-6000000,0,275400000,-6700000,-1578000000,0.27,,672400000,6700000.0,72200000.0,,54000000,63900000,185500000,,16800000,39500000,688500000,17600000,261400000,,,2356800000,72900000.0,3815100000,44000000,607700000,2100000.0,,28800000,-531700000.0,213400000,553700000,621900000,800000.0,711000000,-400000.0,49100000,55100000,607700000,-15200000,19300000,,240600000,4166800000,6600000.0,0.26,2266500000,,1458300000,0.0,481100000,-22200000,700000.0,,-266100000.0,,14200000.0,-351700000,452200000.0,118100000.0,3000000,,470400000,,500000.0,159900000,26100000,22700000,-5500000.0,3685700000,65700000,3128600000,
2009-09-30,6600000,-17100000,9700000,3200000,0,261200000,-300000,-1611700000,0.61,,658300000,5800000.0,72200000.0,,157700000,126900000,171400000,,23600000,74400000,686600000,16600000,312000000,,,2345500000,72900000.0,3936800000,109800000,765400000,9400000.0,,28200000,-544500000.0,177600000,607700000,770200000,800000.0,753600000,-700000.0,84100000,91100000,765400000,20900000,44400000,,262500000,4249100000,44300000.0,0.61,2298300000,,1591300000,-600000.0,496200000,33900000,-8500000.0,,-221800000.0,,4800000.0,-312300000,442100000.0,120200000.0,2600000,,491100000,,400000.0,158200000,50800000,44400000,-300000.0,3752900000,75300000,3168000000,
2009-12-31,12600000,-40200000,9800000,-6500000,0,220600000,-21400000,-1611300000,,45700000.0,641700000,34200000.0,,,127600000,187900000,190900000,,-5500000,41000000,690100000,17300000,307900000,,,2339500000,,3968200000,147700000,893000000,4800000.0,,28500000,-514500000.0,174200000,765400000,893000000,800000.0,678300000,-1000000.0,79300000,57300000,893000000,-39400000,46400000,,248200000,4258700000,-19100000.0,,2301400000,,1628700000,-26100000.0,494700000,100200000,,,-175400000.0,,0.0,-299200000,383700000.0,118600000.0,-16900000,,430100000,,10900000.0,129200000,46500000,46400000,3900000.0,3764000000,69900000,3017300000,
2010-03-31,4700000,-17900000,9900000,-2200000,3500000,237000000,-3700000,-1605500000,0.78,50600000.0,642400000,31700000.0,72400000.0,,-110100000,-5600000,161400000,,-16500000,40200000,668200000,15300000,249300000,,-19600000.0,2330100000,74400000.0,3957900000,-23500000,782900000,,,29500000,-520600000.0,196300000,893000000,782900000,800000.0,614900000,,79600000,52300000,782900000,-94900000,56300000,26100000.0,213700000,4192300000,-6900000.0,0.76,2273700000,,1627800000,0.0,450300000,-71600000,,,-119100000.0,,,-243800000,385500000.0,114400000.0,-77000000,,401200000,-20600000.0,11200000.0,147300000,56700000,56300000,-7200000.0,3742000000,88700000,3010100000,
2010-06-30,5400000,-24300000,15300000,-1200000,-2400000,244500000,6400000,-1590500000,0.7,56800000.0,649200000,30400000.0,72700000.0,,58700000,88900000,156700000,,20300000,71300000,650100000,14800000,246500000,,-29600000.0,2341800000,74400000.0,4053300000,64600000,841600000,,,30200000,-571600000.0,200000000,782900000,841600000,800000.0,685000000,,116800000,87800000,841600000,-28300000,51000000,9500000.0,244500000,4282800000,-6700000.0,0.69,2240600000,,1711500000,0.0,453800000,28000000,,,-68200000.0,,,-238800000,400700000.0,110000000.0,-4000000,,440500000,-13100000.0,12500000.0,148200000,51000000,51000000,2000000.0,3829000000,85300000,2883200000,
2010-09-30,9200000,-26800000,10200000,-5700000,200000,267400000,6100000,-1665100000,0.75,58400000.0,638400000,34000000.0,72800000.0,,77700000,82800000,157600000,,17100000,72000000,673800000,14800000,274600000,,1200000.0,2374400000,74300000.0,4209600000,56000000,919300000,,,27200000,-575700000.0,217700000,841600000,919300000,800000.0,682100000,,109400000,87900000,919300000,-26400000,54900000,4600000.0,245500000,4384700000,12700000.0,0.74,2338900000,,1835200000,0.0,501500000,-34600000,,,-13200000.0,,,-183800000,420600000.0,116600000.0,400000,,436600000,-13800000.0,15400000.0,146600000,54900000,54900000,4800000.0,3883200000,88100000,2612900000,
2010-12-31,37000000,-43900000,10200000,-7500000,900000,259300000,32700000,-1675200000,,56400000.0,602500000,34600000.0,,,96400000,161600000,168600000,,11600000,56400000,702500000,15400000,278000000,,32200000.0,2367500000,,4271700000,117700000,1015700000,,,28700000,-518100000.0,215600000,919300000,1015700000,700000.0,693000000,,95300000,73100000,1015700000,-95300000,44900000,-2900000.0,241700000,4340500000,6700000.0,,2377700000,,1904200000,,532900000,24900000,,,31700000.0,,,-75700000,386100000.0,125500000.0,-16700000,,451300000,10400000.0,914300000.0,140400000,44800000,44900000,,3807600000,90600000,2031400000,
2011-03-31,36400000,-23400000,10400000,-500000,1600000,303600000,300000,-1737700000,0.74,59400000.0,596000000,35100000.0,73200000.0,,-196300000,-180400000,161400000,,25500000,79500000,713000000,15600000,273800000,,-37800000.0,2369400000,75100000.0,4187900000,-203800000,819400000,,,29200000,-502400000.0,264200000,1015700000,819400000,700000.0,695700000,,119100000,90400000,819400000,-24100000,54200000,45400000.0,251800000,4183700000,55600000.0,0.72,2450700000,,1818500000,,574400000,-70900000,,,85900000.0,,,-2500000,446300000.0,129200000.0,-700000,,443900000,-38500000.0,935700000.0,145800000,54000000,54200000,-3200000.0,3609300000,97100000,1884300000,
2011-06-30,39300000,-34300000,11000000,-700000,1300000,313200000,6900000,-1764000000,1.03,63600000.0,590700000,35300000.0,73400000.0,,75300000,108100000,180100000,,36600000,112100000,719700000,16700000,300100000,,-55600000.0,2367400000,75600000.0,4314800000,73800000,894700000,,,29700000,-481300000.0,262900000,819400000,894700000,700000.0,826400000,,152800000,123800000,894700000,-42100000,75800000,1200000.0,303900000,4205000000,-27700000.0,1.0,2483700000,44900000.0,1947400000,,602300000,-29500000,,,161700000.0,,,103000000,501000000.0,130200000.0,-7800000,164200000.0,522500000,-8200000.0,944500000.0,167500000,75500000,75800000,2100000.0,3602700000,77600000,1882800000,
2011-09-30,49200000,-39400000,11100000,5400000,1800000,355100000,17800000,-1765400000,1.1,69300000.0,616800000,36800000.0,73700000.0,,29100000,127000000,185500000,,40400000,121600000,719100000,16800000,352700000,,6600000.0,2437600000,75700000.0,4501400000,87600000,923800000,,,31000000,-605100000.0,270700000,894700000,923800000,700000.0,864200000,,163700000,130000000,923800000,-107600000,81300000,8200000.0,315500000,4425700000,74600000.0,1.07,2484500000,,2063800000,,672600000,16000000,,,243000000.0,,,69200000,480200000.0,149000000.0,-12400000,,548700000,-42600000.0,954700000.0,168700000,81200000,81300000,11100000.0,3753100000,107100000,1884000000,
2011-12-31,57900000,-44500000,10800000,-34800000,1300000,329100000,14700000,-1722700000,,70800000.0,509400000,19800000.0,,,124500000,162300000,172600000,0.0,12200000,70300000,723500000,19400000,4300000,,6200000.0,2347600000,,4496700000,117800000,1048300000,,70600000.0,30100000,-578500000.0,257600000,923800000,1048300000,700000.0,825600000,,111200000,114700000,1048300000,-44700000,58100000,-4600000.0,287300000,4329200000,-76200000.0,,2446200000,51000000.0,2149100000,,635600000,4100000,,,301100000.0,,,159400000,473000000.0,148200000.0,-10200000,152700000.0,538300000,22400000.0,945100000.0,140800000,58100000,58100000,,3693600000,95700000,2048500000,
2012-03-31,62600000,-25000000,11300000,2700000,1700000,358500000,14600000,-1758200000,0.82,76400000.0,604900000,19100000.0,74300000.0,,-40100000,-31700000,176400000,,30800000,92100000,726800000,16500000,291100000,,11100000.0,2326800000,76400000.0,4460000000,-56700000,1008200000,,68900000.0,29400000,-562300000.0,263600000,1048300000,1008200000,700000.0,754400000,,132800000,100700000,1008200000,-28000000,60900000,-1200000.0,277100000,4200600000,43400000.0,0.8,2485000000,59000000.0,2133200000,,617300000,-58000000,-8000000.0,,362000000.0,,,250800000,471700000.0,150400000.0,-3000000,157700000.0,477300000,-26100000.0,971900000.0,160500000,61300000,60900000,900000.0,3583300000,86500000,1891900000,
2012-06-30,61100000,-36800000,11300000,-2300000,2100000,317000000,6000000,-1742400000,0.93,76800000.0,539000000,19000000.0,74700000.0,,103200000,146800000,185000000,,35800000,105500000,720300000,16000000,297000000,,-53700000.0,2320500000,76600000.0,4555200000,110000000,1111400000,,64700000.0,29800000,-613700000.0,259900000,1008200000,1111400000,700000.0,826700000,,146600000,119100000,1111400000,-37300000,69300000,7900000.0,304100000,4266600000,35300000.0,0.9,2462700000,,2234700000,,618000000,2300000,,,431300000.0,,,279400000,510500000.0,145400000.0,-500000,,522600000,32600000.0,980700000.0,154900000,69700000,69300000,-1900000.0,3648600000,94300000,1888700000,
2012-09-30,75900000,-32200000,11500000,2100000,24300000,309000000,57800000,-1780100000,1.01,81200000.0,538000000,24100000.0,75000000.0,,139800000,167700000,168900000,,35400000,111400000,735400000,15400000,305100000,,38900000.0,2398400000,76400000.0,4756500000,135500000,1251200000,,84500000.0,29700000,-610700000.0,253200000,1111400000,1251200000,800000.0,776600000,,152600000,115900000,1251200000,-92800000,75500000,-12700000.0,284800000,4354300000,48900000.0,0.99,2515500000,53500000.0,2358100000,,634200000,62700000,,,506800000.0,,,392800000,483400000.0,170000000.0,-20100000,154100000.0,491800000,14100000.0,1000600000.0,153500000,76000000,75500000,25600000.0,3720100000,95100000,1886900000,
2012-12-31,87000000,-44500000,12400000,-1400000,14100000,278600000,31900000,-1785100000,-1.48,85500000.0,524500000,27100000.0,75400000.0,,85700000,170800000,537600000,-39500000.0,-139300000,-251100000,770500000,16600000,344900000,,700000.0,2687600000,75400000.0,5127800000,126300000,1336900000,,82700000.0,30100000,-607300000.0,252000000,1251200000,1336900000,800000.0,797800000,,-208600000,-237300000,1336900000,-122200000,-111600000,-5700000.0,300300000,4809500000,-223800000.0,-1.48,2555600000,44800000.0,2440200000,,683900000,61400000,4300000.0,,395200000.0,,,308400000,490400000.0,196700000.0,-38200000,122400000.0,497500000,33300000.0,1009100000.0,154200000,-111800000,-111600000,,4125600000,78400000,2500700000,
2013-03-31,72000000,-39300000,10500000,-6600000,800000,317800000,-10600000,-1783700000,0.7,90500000.0,529900000,26900000.0,75700000.0,,-17100000,51100000,165400000,,28100000,81300000,762500000,16900000,238900000,,39600000.0,2619800000,77200000.0,5049400000,11800000,1319800000,,78900000.0,31100000,-577200000.0,286200000,1336900000,1319800000,800000.0,709900000,,122900000,98400000,1319800000,-43300000,52900000,49300000.0,263800000,4637800000,-45300000.0,0.69,2546200000,41300000.0,2429600000,,597100000,-20700000,28100000.0,,448100000.0,,,401200000,443400000.0,194300000.0,-4000000,100800000.0,446100000,-42800000.0,1014500000.0,147500000,53200000,52900000,-17700000.0,4040700000,94400000,2505100000,
2013-06-30,75200000,-34400000,10900000,3300000,1000000,313400000,20600000,-1807200000,1.09,99500000.0,534300000,24300000.0,76300000.0,,-377400000,119200000,173600000,,38800000,122100000,772600000,16600000,274500000,,-42900000.0,2615700000,77600000.0,5165500000,84800000,942400000,,78900000.0,30700000,-561500000.0,282700000,1319800000,1442400000,800000.0,802800000,,163700000,129700000,942400000,-514800000,82800000,-12200000.0,303300000,4631400000,5500000.0,1.07,2579800000,57800000.0,2549800000,,632400000,-32700000,38800000.0,,530900000.0,,500000000.0,523600000,481500000.0,201200000.0,35400000,103700000.0,499500000,3300000.0,1021100000.0,155700000,83300000,82800000,700000.0,3999000000,91400000,2503000000,
2013-09-30,90700000,-44200000,10700000,-4400000,22200000,314800000,41900000,-1830200000,0.9,90800000.0,536100000,23900000.0,76700000.0,,112300000,120700000,160100000,0.0,39800000,109500000,787800000,15000000,303200000,,8500000.0,2540400000,77900000.0,5295500000,76500000,1054700000,,76900000.0,30000000,-527700000.0,260300000,942400000,1554700000,800000.0,771300000,0.0,150200000,124600000,1054700000,-57200000,69400000,-30300000.0,284700000,4632000000,1800000.0,0.89,2618000000,29000000.0,2755100000,,654200000,20600000,39800000.0,,600300000.0,,500000000.0,653400000,483900000.0,204000000.0,-14800000,121200000.0,486600000,1800000.0,1029000000.0,143400000,69700000,69400000,14000000.0,3977800000,154300000,2499300000,
2013-12-31,81100000,-38300000,140700000,-26100000,-52600000,295300000,-60300000,-1876900000,0.39,96200000.0,540000000,18200000.0,77000000.0,14300000.0,-89900000,224900000,117300000,-510400000.0,-14500000,15700000,829500000,16700000,313900000,,8300000.0,3125100000,78100000.0,5419500000,186600000,964800000,,314300000.0,31300000,10600000.0,262500000,1054700000,964800000,800000.0,776700000,,187700000,182500000,964800000,-265400000,29700000,-2600000.0,299800000,4848300000,145000000.0,0.38,2706400000,32000000.0,2294400000,,657500000,6200000,-3800000.0,,15800000.0,,,560600000,481800000.0,461400000.0,-216700000,123500000.0,476900000,46300000.0,1167400000.0,100600000,30200000,29700000,-63900000.0,4190800000,99000000,2529300000,
2014-03-31,149000000,-40100000,19400000,-12400000,-22400000,324800000,360800000,-1313700000,0.65,99700000.0,63200000,18200000.0,77000000.0,15800000.0,-541900000,-1253300000,157300000,,29800000,80100000,832700000,20500000,824100000,,-21100000.0,2441100000,78100000.0,4038700000,-1293400000,422900000,,310100000.0,34000000,9200000.0,305400000,964800000,422900000,800000.0,744500000,,133500000,111900000,422900000,352700000,50100000,13500000.0,269200000,3467300000,-1303700000.0,0.64,2146400000,30600000.0,1597600000,,1278500000,-47400000,29800000.0,,65900000.0,-60500000.0,,560500000,504700000.0,455700000.0,392800000,161500000.0,475300000,-30200000.0,921500000.0,136800000,50300000,50100000,-543200000.0,2188800000,113900000,254400000,
2014-06-30,157400000,-41400000,24700000,-10800000,1400000,334600000,-164100000,-1921700000,1.79,102700000.0,61400000,18100000.0,75900000.0,15800000.0,-139000000,65200000,156400000,,-7700000,129000000,835200000,20300000,810500000,,-36300000.0,2434400000,76800000.0,3906700000,23800000,283900000,,305200000.0,34000000,35400000.0,311500000,422900000,283900000,800000.0,838000000,,187700000,164500000,283900000,-40400000,136200000,6800000.0,320900000,3335900000,-84000000.0,1.77,2756900000,32600000.0,1472300000,,1279400000,-29600000,-7700000.0,,202100000.0,-173200000.0,,559400000,539900000.0,467700000.0,1000000,145300000.0,517100000,-9600000.0,916000000.0,136100000,136700000,136200000,-119000000.0,2056500000,92300000,163000000,
2014-09-30,97700000,-40200000,58400000,-5300000,-648700000,337300000,181200000,-1897400000,1.0,108800000.0,57000000,16800000.0,74700000.0,15800000.0,324100000,183700000,144500000,0.0,44600000,119600000,826400000,20500000,834100000,,6000000.0,2380500000,75600000.0,4180400000,143500000,608000000,,296200000.0,34300000,6000000.0,298500000,283900000,608000000,700000.0,856400000,0.0,212300000,183300000,608000000,-32900000,74500000,-1700000.0,327800000,3656000000,31900000.0,0.99,2723800000,43200000.0,1799900000,,1230300000,2300000,44600000.0,,276600000.0,-100700000.0,,511800000,527300000.0,460200000.0,7300000,139400000.0,528600000,-10100000.0,1929300000.0,124000000,75000000,74500000,-87800000.0,2425700000,100000000,150700000,
2014-12-31,96800000,-49500000,24700000,1600000,612600000,332800000,472000000,-1818400000,0.21,113100000.0,60700000,19300000.0,73600000.0,19400000.0,-50500000,-466300000,245800000,0.0,-9700000,5600000,833500000,18200000,828000000,,25600000.0,2404300000,74400000.0,4093200000,-515800000,557500000,,288000000.0,34800000,-26400000.0,255300000,608000000,557500000,700000.0,804100000,,65100000,28700000,557500000,-45500000,15500000,-34400000.0,274500000,3724200000,-629600000.0,0.21,2651900000,34100000.0,1688900000,,1180100000,41800000,-9700000.0,,292100000.0,-135100000.0,,363300000,481100000.0,452900000.0,4000000,133100000.0,529600000,-2200000.0,1919000000.0,227600000,15300000,15500000,-29700000.0,2544100000,82100000,148300000,
2015-03-31,88800000,-40700000,25000000,3300000,-200000,325100000,198800000,-1770100000,0.72,106600000.0,62300000,17800000.0,72800000.0,19300000.0,-230700000,-373600000,155100000,,28700000,81500000,813100000,17900000,303400000,,11300000.0,2429300000,73500000.0,3755600000,-414300000,326800000,,278300000.0,33500000,-36900000.0,258200000,557500000,326800000,700000.0,720600000,,140000000,103200000,326800000,-40600000,52700000,19200000.0,258300000,3387400000,-513500000.0,0.72,2583200000,34800000.0,1326300000,,650400000,45700000,28700000.0,,344800000.0,-55600000.0,,364900000,447900000.0,443200000.0,100000,138800000.0,462300000,-2500000.0,2143800000.0,137200000,52800000,52700000,-24100000.0,2737000000,82800000,146500000,
2015-06-30,76800000,-33200000,25000000,-20700000,100000,322800000,-60000000,-1771000000,0.79,108700000.0,60200000,18500000.0,72600000.0,18900000.0,40100000,129500000,153800000,,53600000,111100000,825400000,17900000,339000000,,-31600000.0,2310500000,73200000.0,3814000000,96300000,366900000,,273600000.0,33300000,-36800000.0,273000000,326800000,366900000,700000.0,782100000,,169400000,156800000,366900000,-33300000,57400000,16500000.0,310600000,3428700000,-17600000.0,0.78,2596400000,43500000.0,1503500000,,688800000,29500000,53600000.0,,402200000.0,-53100000.0,,381300000,480900000.0,444800000.0,-100000,135900000.0,471500000,3800000.0,2146500000.0,135900000,57500000,57400000,-38400000.0,2739900000,88900000,136300000,
2015-09-30,72000000,-38500000,25500000,-83000000,-300000,323100000,-113800000,-1747100000,0.19,112100000.0,59300000,17700000.0,72100000.0,21400000.0,-35800000,163300000,149200000,,40100000,54200000,813900000,17400000,380800000,,-15100000.0,2281200000,72700000.0,3707500000,124800000,331100000,,265700000.0,32700000,-73600000.0,262300000,366900000,331100000,800000.0,790100000,,112400000,162700000,331100000,-40200000,13800000,4300000.0,311900000,3450100000,-19700000.0,0.19,2561000000,56600000.0,1426300000,,715100000,42300000,40100000.0,,416000000.0,-111400000.0,,253000000,455200000.0,439900000.0,-1700000,151300000.0,478200000,-17700000.0,2143800000.0,131800000,14100000,13800000,-23200000.0,2735000000,77300000,133500000,
2015-12-31,84600000,-42400000,25400000,-17300000,-300000,304100000,-63200000,-1746500000,0.29,103200000.0,73700000,9900000.0,70700000.0,16900000.0,-1200000,94200000,181200000,,42300000,62800000,842400000,16400000,356100000,,-3500000.0,2491500000,71200000.0,3676000000,51800000,329900000,,260800000.0,32000000,-66800000.0,266700000,331100000,329900000,700000.0,758700000,,120200000,105500000,329900000,-30400000,20300000,-4100000.0,286700000,3463500000,131900000.0,0.29,2588900000,49100000.0,1184500000,,707400000,-113700000,42300000.0,,436300000.0,-81400000.0,,207800000,458100000.0,439000000.0,12000000,135600000.0,472000000,15000000.0,2144300000.0,164800000,20500000,20300000,-20800000.0,2756100000,83000000,145400000,
2016-03-31,78900000,-34400000,22000000,-19600000,752300000,211800000,145100000,-1306300000,-0.04,110600000.0,38900000,3900000.0,70600000.0,17000000.0,228000000,93500000,79700000,,24400000,31400000,627400000,11700000,226100000,,44300000.0,1995800000,70600000.0,2889700000,59100000,414500000,,224200000.0,23200000,60100000.0,159800000,329900000,414500000,700000.0,362800000,,76600000,73000000,414500000,-43600000,-2700000,37300000.0,152700000,2493600000,-39700000.0,-0.04,1933700000,35300000.0,893900000,,464800000,75400000,24400000.0,,491900000.0,-15000000.0,,392700000,209100000.0,336600000.0,300000,105600000.0,210100000,-10600000.0,1507700000.0,68000000,7000000,-2700000,-605100000.0,2028800000,49100000,135300000,
2016-06-30,80200000,-22900000,19800000,-15200000,-5000000,233800000,-29100000,-1313700000,0.55,99000000.0,35800000,2600000.0,70500000.0,26600000.0,-220200000,67200000,78800000,,21500000,59400000,729000000,12400000,211100000,,-7100000.0,2271500000,70900000.0,2981600000,44300000,194300000,,267600000.0,23600000,60400000.0,163800000,414500000,194300000,700000.0,390500000,,102800000,94400000,194300000,-257600000,38700000,-30300000.0,173200000,2492600000,15000000.0,0.55,2042700000,31400000.0,710100000,,455100000,-10100000,18300000.0,,595700000.0,-20100000.0,,485800000,216500000.0,403700000.0,-900000,76500000.0,217300000,2900000.0,1508800000.0,66400000,37900000,38700000,-4300000.0,2037500000,55800000,148000000,
2016-09-30,77100000,-32100000,19800000,3400000,300000,236100000,-28600000,-1337100000,0.56,107500000.0,37500000,2400000.0,70300000.0,24400000.0,10100000,70800000,91100000,0.0,19400000,60700000,731700000,12100000,233900000,,-27500000.0,2257900000,70700000.0,3006200000,38700000,204400000,,270300000.0,27000000,58400000.0,162200000,194300000,204400000,700000.0,404500000,,107500000,77100000,204400000,-32900000,39600000,4000000.0,168200000,2512900000,-18300000.0,0.56,2068800000,31600000.0,748300000,-12100000.0,473200000,19500000,19400000.0,,614800000.0,-20000000.0,,490000000,252700000.0,395200000.0,-800000,85000000.0,236300000,1900000.0,1513100000.0,67100000,41300000,39600000,-5500000.0,2039700000,45300000,145200000,
2016-12-31,76500000,-27500000,19900000,1800000,-100000,228000000,-147600000,-1327500000,0.16,117600000.0,37100000,2800000.0,69100000.0,27200000.0,-113800000,59900000,129200000,-1400000.0,1400000,14500000,729600000,12600000,208900000,,-25400000.0,2252500000,69400000.0,2907300000,32400000,90600000,,269100000.0,26500000,66400000.0,195400000,204400000,90600000,700000.0,440800000,,60900000,32600000,90600000,-20400000,10800000,21000000.0,161800000,2539400000,127700000.0,0.16,2057100000,5700000.0,654800000,-11900000.0,480800000,-92300000,1400000.0,,614800000.0,-140000000.0,,364300000,273900000.0,394200000.0,6100000,79500000.0,279000000,5200000.0,1507600000.0,107300000,13100000,10800000,-18100000.0,2058600000,52300000,123900000,
2017-03-31,44700000,-31000000,19500000,6900000,-300000,234100000,-21400000,-1358800000,0.63,124900000.0,33300000,2900000.0,68300000.0,20400000.0,-14200000,35900000,79700000,,18000000,60900000,740200000,13200000,189600000,,19800000.0,2262000000,68500000.0,2890800000,4900000,76400000,,265600000.0,27100000,65400000.0,199700000,90600000,76400000,700000.0,398000000,,107500000,73500000,76400000,-30900000,42900000,5800000.0,153200000,2495100000,-22900000.0,0.63,2099000000,5600000.0,628800000,-14300000.0,434000000,-7700000,18000000.0,,647800000.0,-10000000.0,,392100000,244500000.0,394900000.0,100000,86600000.0,244800000,-4400000.0,1511000000.0,66500000,42900000,42900000,-41700000.0,2061100000,63800000,119600000,
