date,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedEPS,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyOperatingExpense,quarterlyOtherIntangibleAssets,quarterlyCashDividendsPaid,quarterlyDepreciationAndAmortization,quarterlyBasicAverageShares,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBeginningCashPosition,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyTotalNonCurrentAssets,quarterlyChangesInAccountReceivables,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyTotalAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,quarterlyOtherCurrentAssets,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyBasicEPS,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyStockBasedCompensation,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyEbitda,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyOtherNonCashItems,quarterlyPretaxIncome,quarterlySellingGeneralAndAdministration,quarterlyCurrentAssets,quarterlyPurchaseOfBusiness,quarterlyCurrentLiabilities,quarterlyRepaymentOfDebt,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetPPE,quarterlyOtherShortTermInvestments,quarterlyTotalRevenue,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyDilutedAverageShares,quarterlyInventory,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyChangeInInventory,quarterlyIncomeTaxPayable,quarterlyGoodwill
2009-03-31,49284000,-17890000,-17890000,10928000,-0.15,81999000,2785000,1365000.0,44538000,27014000.0,14080000.0,,2951000,,45936000.0,2348069000,75728000,1405389000,,,117984000.0,89948000,78856000,89784000,1187000,6000000.0,,35671000,3011285000,1384000.0,-17890000,96356000,787000,3172020000,2521871000,41722000,0.0,,2295609000,11200000,-3824000,0.0,10068000,-0.15,-1799000.0,1626000.0,650149000,6200000,81676000,89784000,-5471000,,90512000,9210000.0,-17648000,12075000,160735000,-4119000.0,91803000,-43544000.0,242000,-1452921000,2430068000,1482953000,164000.0,135050000,-7562000.0,14784000,-812656000,-32885000,117984000.0,,,,,,
2009-06-30,58162000,-29428000,-29360000,84445000,-0.25,87826000,51194000,444000.0,43872000,9186000.0,13642000.0,,-1785000,,48113000.0,2383587000,77415000,1399967000,,,117079000.0,177999000,89784000,174229000,1166000,6000000.0,,42616000,3008588000,1814000.0,-29360000,99240000,-474000,3255511000,2568384000,44091000,0.0,,2327383000,18520000,8065000,-24000.0,30591000,-0.25,-1945000.0,2325000.0,687127000,-116000,77668000,174229000,-43247000,,92323000,12425000.0,-29199000,13164000,246923000,-25470000.0,96971000,-467180000.0,229000,-1532263000,2471413000,1478308000,3770000.0,136195000,-14071000.0,14908000,-849075000,69530000,117079000.0,,,,,,
2009-09-30,62355000,-50189000,-50109000,111614000,-0.43,90980000,52722000,1159000.0,45288000,26796000.0,15630000.0,,-15900000,,49804000.0,2508419000,78150000,1385200000,,,116686000.0,292175000,174229000,285843000,1167000,0.0,-2560000.0,50456000,2996857000,-2354000.0,-50109000,142590000,-512876000,3351603000,2713653000,49882000,0.0,0.0,2355014000,20407000,16713000,-76000.0,34736000,-0.43,-3777000.0,1922000.0,637950000,-11000,65231000,285843000,-39580000,,94001000,14027000.0,-50171000,13204000,354746000,-25030000.0,114254000,-128107000.0,18000,-1582372000,2599399000,1469067000,6332000.0,139289000,-12473000.0,15851000,-885947000,88839000,116686000.0,,,,,,
2009-12-31,52757000,-43610000,-43510000,-124526000,,94570000,3184000,4077000.0,46844000,63661000.0,19644000.0,,-9911000,,54013000.0,2460402000,80032000,1435591000,,,,166669000,285843000,161317000,1171000,28648000.0,-3000000.0,52007000,3076808000,-4341000.0,-43510000,106377000,512179000,3313646000,2713697000,40120000,980000.0,-1720000.0,2411612000,10392000,5803000,-165000.0,9219000,,-2803000.0,2327000.0,599034000,-31000,74086000,161317000,-140777000,,98136000,14700000.0,-43608000,14345000,236838000,-126179000.0,158725000,-557316000.0,2000,-1627602000,2554972000,1496938000,5352000.0,144980000,-12637000.0,18104000,-914674000,-36506000,,,,,,,
2010-03-31,37418000,-37411000,-37326000,-43043000,-0.32,96861000,52316000,4825000.0,47072000,24362000.0,14825000.0,,-4340000,,49200000.0,2472235000,81952000,1420547000,,67446000.0,117118000.0,121834000,161317000,118274000,1171000,29116000.0,-32300000.0,51985000,3086127000,4184000.0,-37326000,192912000,3185000,3270641000,2708334000,25257000,2017000.0,-8681000.0,2424052000,20755000,-1170000,-114000.0,33444000,-0.32,-1805000.0,2572000.0,562307000,24000,82129000,118274000,-72752000,,100893000,8441000.0,-37302000,14506000,184514000,-30345000.0,139238000,-7038000.0,109000,-1673606000,2569096000,1472668000,3560000.0,147965000,-12161000.0,18941000,-951384000,-7709000,117118000.0,,,,,,
2010-06-30,60717000,-83854000,-83699000,109665000,-0.72,101209000,59906000,1928000.0,49958000,31980000.0,17065000.0,,-52985000,,56554000.0,2777839000,83128000,1433110000,,,115666000.0,232161000,118274000,227939000,1146000,29591000.0,-2170000.0,52491000,3130590000,-4847000.0,-83699000,206938000,1206031000,3433689000,3035865000,45380000,1510000.0,-88400000.0,2480207000,25789000,6874000,-134000.0,35340000,-0.72,1305000.0,2780000.0,397824000,-691000,37450000,227939000,-98291000,,104557000,15074000.0,-83872000,14297000,303099000,-81625000.0,156817000,-972320000.0,-18000,-1845679000,2879048000,1490542000,4222000.0,154515000,-15337000.0,21429000,-989665000,147239000,115666000.0,,,,,,
2010-09-30,44221000,-34575000,-34488000,-30703000,-0.3,104413000,60870000,5733000.0,50601000,24671000.0,19007000.0,,-5208000,,57373000.0,2792443000,84144000,1437615000,,,114748000.0,200796000,227939000,197236000,1149000,30076000.0,-1456000.0,52657000,3145761000,-3664000.0,-34488000,209981000,2899000,3423936000,3052009000,23751000,2920000.0,0.0,2526946000,28254000,-10636000,-80000.0,39536000,-0.3,1735000.0,2453000.0,371927000,0,88528000,197236000,-78448000,,108041000,15136000.0,-33856000,14417000,278175000,-59445000.0,155153000,-5108000.0,719000,-1880167000,2896856000,1498165000,3560000.0,158642000,-20470000.0,23897000,-1028781000,3524000,114748000.0,,,,,,
2010-12-31,58799000,-38581000,-39161000,-132982000,,112008000,3877000,3647000.0,51811000,53722000.0,18784000.0,,-11576000,,61138000.0,2827450000,87701000,1500012000,,,,68270000,197236000,64254000,1148000,0.0,-940000.0,52858000,3253448000,-1592000.0,-39161000,174008000,-1216944000,3400175000,3070042000,40149000,660000.0,-10345000.0,2599796000,17775000,-1048000,-409000.0,11847000,,2175000.0,2696000.0,317110000,0,87195000,64254000,-175548000,,113686000,15343000.0,-38386000,14978000,146727000,-156630000.0,130584000,-25311000.0,195000,-1929670000,2939458000,1534318000,4016000.0,165497000,-18650000.0,25985000,-1065478000,-16233000,,,,,,,
2011-03-31,53197000,-34376000,-34251000,30850000,-0.3,115559000,63268000,4919000.0,50704000,24661000.0,19347000.0,,-6813000,,59766000.0,3004999000,90773000,1530599000,,74878000.0,114416000.0,97436000,64254000,95104000,1133000,,0.0,53174000,3292871000,1260000.0,-34251000,223979000,-18482000,3466258000,3240805000,33042000,1686000.0,-75036000.0,2642089000,26495000,-9666000,-298000.0,32318000,-0.3,2359000.0,,213078000,0,94367000,95104000,-108748000,,117045000,-13711000.0,-33685000,15895000,173387000,-90297000.0,120247000,0.0,691000,-2038939000,3120558000,1538293000,2332000.0,167749000,-20155000.0,26272000,-1103796000,86401000,114416000.0,,,,,,
2011-06-30,69787000,-29910000,-29819000,182645000,-0.27,119211000,55832000,,50107000,32316000.0,18272000.0,,-3630000,,52533000.0,3319362000,92412000,1551428000,,76691000.0,112324000.0,280578000,95104000,277749000,1114000,5000000.0,-980000.0,54141000,3340202000,1347000.0,-29819000,234832000,-10658000,3693009000,3567804000,34205000,485000.0,-75035000.0,2697309000,30001000,1941000,-226000.0,36083000,-0.27,2424000.0,,112921000,0,101624000,277749000,-111833000,,120946000,62586000.0,-29208000,15721000,352807000,-75747000.0,129231000,-270000000.0,702000,-2143774000,3438573000,1553942000,2829000.0,171053000,-35582000.0,28534000,-1143367000,224691000,112324000.0,,,,,,
2011-09-30,63443000,-33437000,-33305000,-98444000,-0.3,123592000,58201000,,51847000,29093000.0,17842000.0,,-4839000,,54966000.0,3334201000,93551000,1550003000,,78136000.0,110232000.0,184591000,277749000,179305000,1094000,5000000.0,-4170000.0,58396000,3348585000,-1121000.0,-33305000,237753000,-6367000,3609138000,3590687000,22474000,1715000.0,-75000000.0,2744549000,33393000,-3028000,-511000.0,40600000,-0.3,-617000.0,2773000.0,6299000,0,103486000,179305000,-86669000,,123702000,16078000.0,-33046000,15415000,260553000,-43311000.0,132894000,-1861000.0,391000,-2252057000,3457793000,1560829000,5286000.0,175549000,-40969000.0,30151000,-1183720000,-75019000,110232000.0,,,,,,
2011-12-31,62631000,-29169000,-29081000,-131989000,,129282000,3250000,7551000.0,50263000,50665000.0,22100000.0,,-8383000,,49779000.0,3349485000,95238000,1639784000,,79441000.0,,53089000,179305000,47316000,1097000,5000000.0,-1180000.0,58814000,3477043000,-5195000.0,-29081000,211802000,17013000,3606399000,3605648000,32399000,695000.0,-1000.0,2809672000,17655000,-12979000,-651000.0,12755000,,485000.0,2774000.0,-11313000,0,109415000,47316000,-200638000,,133556000,16668000.0,-28840000,15797000,129356000,-169965000.0,126881000,-18573000.0,329000,-2281139000,3478767000,1583393000,5773000.0,183819000,-30232000.0,38318000,-1226279000,5974000,,,,,,,
2012-03-31,66040000,-22651000,-22631000,478238000,-0.2,135854000,51428000,289665000.0,52193000,24670000.0,23916000.0,,-2765000,,47809000.0,3565226000,99664000,1644434000,,82100000.0,111431000.0,531303000,47316000,525554000,1160000,5000000.0,-1198000.0,59239000,3482009000,-1259000.0,-22631000,262313000,-33000,4086629000,3815013000,41188000,1225000.0,0.0,2845040000,31925000,-16322000,17000.0,32835000,-0.2,1227000.0,3057000.0,259572000,29000,120364000,525554000,-75890000,,140297000,16908000.0,-21324000,17215000,604620000,-51148000.0,113933000,-1541000.0,1327000,-2303770000,3701080000,1575262000,5749000.0,192490000,-24852000.0,40633000,-1269778000,488091000,111431000.0,,,,,,
2012-06-30,82729000,-54834000,-53472000,-438815000,-0.44,159189000,59814000,-5786000.0,66205000,24708000.0,26249000.0,,-42300000,,54515000.0,3091382000,111742000,2121389000,,93998000.0,121318000.0,91755000,525554000,86739000,1215000,918006000.0,,61318000,4490496000,-2605000.0,-53472000,302342000,3448000,4793660000,4301403000,59294000,,0.0,3386751000,43250000,-5918000,1375000.0,48304000,-0.44,248000.0,3850000.0,480195000,-1205000,102935000,86739000,-924964000,,162942000,12802000.0,-52381000,17744000,303164000,-900243000.0,1050832000,-201607000.0,2453000,-2357242000,3250571000,2066765000,5016000.0,229147000,-23435000.0,51200000,-1319986000,402141000,121318000.0,,,,,,
2012-09-30,88754000,-53668000,-52445000,1354306000,-0.43,165760000,64647000,20945000.0,71683000,35007000.0,35075000.0,,-32868000,,58581000.0,4776438000,118577000,2100614000,,101012000.0,121689000.0,1446550000,86739000,1441045000,1218000,529595000.0,,68452000,4526410000,-10356000.0,-52445000,373727000,-4173000,6083290000,5630948000,62580000,,0.0,3425355000,46859000,-7685000,64000.0,59501000,-0.43,1934000.0,3679000.0,440534000,-867000,116825000,1441045000,35661000,,166923000,17950000.0,-52639000,17565000,1556880000,-31598000.0,688750000,-687102000.0,1029000,-2409687000,4942198000,2052069000,5505000.0,238606000,-26174000.0,48346000,-1373286000,1228873000,121689000.0,,,,,,
2012-12-31,103338000,-52533000,-52489000,-1207946000,-0.41,186475000,272358000,-20952000.0,89426000,46233000.0,39099000.0,,-23972000,52939000.0,76668000.0,4880752000,150981000,3134133000,,131357000.0,126598000.0,238570000,1441045000,233099000,1269000,475351000.0,,77342000,6227054000,-4584000.0,-52489000,355280000,-1276000,6595617000,5942626000,64534000,,0.0,4109522000,63186000,-5108000,-95000.0,69746000,-0.41,2791000.0,3382000.0,641183000,-1088000,157951000,233099000,-1309858000,1121000.0,204415000,20553000.0,-50748000,19624000,368563000,-1275666000.0,863688000,-111624000.0,1785000,-2462176000,5078938000,2671317000,5471000.0,293841000,-38804000.0,53434000,-1438205000,-2693000,126598000.0,,,,,,
2013-03-31,93452000,-22376000,-22376000,-110869000,-0.18,192763000,90417000,0.0,100695000,44140000.0,49463000.0,,-9534000,,72148000.0,4885339000,146067000,3085459000,,125636000.0,127068000.0,126396000,233099000,122230000,1273000,478454000.0,,76829000,6179941000,-11384000.0,-22376000,439073000,38371000,6449885000,5753240000,57831000,,,4153966000,67205000,-36232000,-1820000.0,62127000,-0.18,4345000.0,3874000.0,684837000,1308000,179448000,122230000,-243880000,-3033000.0,212376000,20338000.0,-23017000,20431000,269944000,-209567000.0,675138000,-4895000.0,-641000,-2484552000,5078102000,2655409000,4166000.0,313071000,-35621000.0,66309000,-1498557000,37800000,127068000.0,,,,,,
2013-06-30,133931000,-35899000,-35899000,67212000,-0.28,204662000,19640000,0.0,103725000,86418000.0,47783000.0,,-13521000,,72739000.0,5631209000,162596000,3088296000,,141089000.0,127713000.0,194830000,122230000,189442000,1278000,10000000.0,,75261000,6132422000,-6588000.0,-35899000,393920000,137746000,6484506000,6048769000,100152000,,-23648000.0,4129872000,73093000,-2054000,406000.0,24101000,-0.28,-14173000.0,4930000.0,435737000,-1095000,182326000,189442000,-82051000,2203000.0,220580000,15108000.0,-34024000,21507000,352084000,-47177000.0,212898000,-1405306000.0,1875000,-2520451000,5835871000,2570407000,5388000.0,324305000,-33779000.0,57984000,-1559465000,16507000,127713000.0,,,,,,
2013-09-30,114889000,21531000,21531000,-33000,0.16,246063000,21291000,0.0,103295000,109230000.0,65115000.0,,24383000,,84919000.0,5637078000,155108000,3122339000,,133281000.0,127885000.0,194282000,189442000,189409000,1281000,11250000.0,,72629000,6193994000,-14255000.0,21531000,416042000,25726000,6584428000,6135999000,81718000,,-18776000.0,4197438000,34090000,-28061000,-1274000.0,26168000,0.17,-12564000.0,4207000.0,448429000,747000,227648000,189409000,-124070000,2485000.0,228799000,13754000.0,21738000,21827000,390434000,-91646000.0,252858000,-2500000.0,207000,-2498923000,5883141000,2578639000,4873000.0,332094000,-33171000.0,73691000,-1618799000,8512000,136912000.0,,,,,,
2013-12-31,154539000,-19164000,-19164000,-67297000,-0.15,283828000,14007000,0.0,100537000,132820000.0,71339000.0,,-24448000,52801000.0,94658000.0,5394721000,155038000,3387198000,,133328000.0,128406000.0,127558000,189409000,122112000,1284000,481886000.0,,73416000,6439536000,5434000.0,-19164000,400852000,291000,6783188000,6426222000,89019000,26000000.0,-55488000.0,4250861000,27864000,14950000,-3972000.0,24302000,-0.15,-33679000.0,4195000.0,356966000,2114000,184830000,122112000,-375744000,-3371000.0,234859000,14144000.0,-21914000,21710000,343652000,-338338000.0,747673000,-2500000.0,-2750000,-2518085000,5678549000,2578444000,5446000.0,335396000,-65520000.0,79821000,-1672417000,157341000,128406000.0,,,,,,
2014-03-31,178965000,1407000,1407000,200802000,0.01,272393000,14934000,89000.0,97167000,121844000.0,68102000.0,,4310000,52812000.0,89915000.0,6365982000,169118000,4081286000,,144442000.0,128560000.0,327968000,122112000,322914000,1288000,503776000.0,,76331000,7275214000,8644000.0,1407000,420335000,-1004000,7791342000,7395154000,146727000,,,4431284000,22114000,8616000,474000.0,26310000,0.01,-672000.0,4618000.0,396188000,444000,223866000,322914000,-964904000,657000.0,248383000,14244000.0,3093000,24676000,516128000,-933110000.0,756779000,-514538000.0,1686000,-2516678000,6638375000,2693015000,5054000.0,345550000,-32238000.0,79265000,-1738269000,968760000,138356000.0,,,,,,
2014-06-30,168994000,-9467000,-9467000,-215262000,-0.07,286394000,10836000,5535000.0,107438000,130452000.0,72782000.0,,-13071000,52824000.0,91020000.0,5778891000,186446000,4041190000,,161005000.0,128950000.0,113480000,322914000,107652000,1291000,1080200000.0,,79791000,7250565000,-9300000.0,-9467000,442832000,-10283000,7564583000,7405295000,129081000,,-276227000.0,4500219000,25704000,-11755000,-437000.0,27502000,-0.07,34316000.0,6196000.0,159288000,-687000,233372000,107652000,-79761000,-567000.0,275982000,12660000.0,-7424000,25441000,314018000,-39161000.0,1340010000,-123789000.0,2043000,-2526146000,6065285000,2691302000,5828000.0,383420000,-39913000.0,89536000,-1808917000,-304764000,128950000.0,,,,,,
2014-09-30,150343000,-16624000,-16624000,342605000,-0.13,288612000,11375000,,111876000,117155000.0,77435000.0,,-20216000,52716000.0,108054000.0,6471770000,185999000,3910755000,,159410000.0,129046000.0,455798000,107652000,450257000,1291000,1078318000.0,,86406000,7134606000,-9993000.0,-16624000,457121000,-2546000,7808992000,8106609000,91147000,,-326607000.0,4564289000,29105000,-30449000,-1080000.0,31325000,-0.13,-94145000.0,6416000.0,-297617000,3134000,230174000,450257000,-137336000,-7706000.0,281417000,13131000.0,-15642000,26589000,674386000,-81274000.0,1346227000,-272608000.0,982000,-2542770000,6760382000,2687827000,5541000.0,393293000,-59196000.0,95418000,-1876462000,331368000,129046000.0,,,,,,
2014-12-31,186355000,388000,388000,-410814000,0.003005,342576000,16921000,,112003000,118731000.0,104268000.0,,-18199000,44095000.0,120047000.0,7828299000,188824000,4189540000,,162214000.0,129113000.0,44992000,450257000,39443000,1291000,32500000.0,,77186000,7514237000,-25596000.0,388000,467043000,-12474000,7841125000,8501925000,106451000,20889000.0,-282151000.0,4709036000,30078000,1611000,1573000.0,42851000,0.003005,-182486000.0,5440000.0,-660800000,-652000,243713000,39443000,-596141000,1219000.0,292731000,17991000.0,4313000,26610000,326888000,-536474000.0,331050000,-1222129000.0,3925000,-2542380000,8170875000,2762417000,5549000.0,404734000,-79904000.0,103907000,-1946619000,1475000,129113000.0,,,,,,
2015-03-31,178408000,-79030000,-79030000,22928000,-0.61,347781000,16706000,,111110000,93585000.0,91468000.0,,-91129000,44105000.0,108630000.0,7929829000,201737000,3925992000,,171853000.0,129235000.0,67187000,39443000,62371000,1294000,33750000.0,,77934000,7202287000,4445000.0,-79030000,480678000,1207000,7527300000,8564086000,110308000,0.0,-135236000.0,4717098000,29209000,-17242000,557000.0,33805000,-0.61,-356935000.0,6988000.0,-1036786000,-175000,173720000,62371000,-121554000,670000.0,298984000,90452000.0,-76067000,29884000,325013000,-53279000.0,286476000,-7500000.0,2963000,-2621410000,8277610000,2702188000,4816000.0,410094000,-68100000.0,97247000,-2014910000,-31529000,129235000.0,,,,,,
2015-06-30,197124000,28305000,28305000,7475000,0.22,354641000,12972000,,112112000,117978000.0,93374000.0,,5717000,44114000.0,113295000.0,8216400000,190639000,4031524000,,162377000.0,128809000.0,70545000,62371000,69846000,1282000,40000000.0,,79230000,7407381000,2016000.0,28305000,494413000,3575000,7751863000,8885095000,146832000,0.0,-150023000.0,4867111000,24271000,6014000,-365000.0,29809000,0.22,-330403000.0,8213000.0,-1133232000,5039000,272136000,69846000,-315056000,-784000.0,298592000,-10295000.0,30529000,28262000,344482000,-269803000.0,314054000,-202500000.0,2224000,-2743115000,8571041000,2787464000,699000.0,410704000,-50292000.0,107953000,-2079647000,125313000,129948000.0,,,,,,
2015-09-30,159205000,-155946000,-155946000,3425000,-1.23,359296000,19002000,,111733000,104826000.0,73383000.0,,-174967000,51919000.0,92242000.0,8446850000,192202000,3737105000,,164330000.0,127170000.0,73973000,69846000,73271000,1261000,40000000.0,,82326000,7061886000,17781000.0,-155946000,514722000,4770000,7396757000,9094413000,115286000,0.0,-250041000.0,4856908000,25800000,-32395000,3000.0,32197000,-1.23,-501492000.0,6702000.0,-1697656000,-573000,92636000,73271000,-130121000,6781000.0,299002000,114518000.0,-154020000,27872000,334871000,-85629000.0,288267000,-10000000.0,1926000,-3149082000,8806146000,2720874000,702000.0,410735000,-43919000.0,106800000,-2136034000,-15271000,127170000.0,,,,,,
2015-12-31,202436000,31019000,31019000,44768000,0.24,313683000,12063000,,109440000,117120000.0,83326000.0,,13811000,8140000.0,97083000.0,8522305000,190394000,3735413000,,161461000.0,126005000.0,118745000,73271000,118039000,1257000,20000000.0,,84380000,7109255000,-8267000.0,31019000,497337000,3147000,7403215000,9109359000,156040000,81933000.0,-50009000.0,4976259000,16934000,17718000,-200000.0,27105000,0.25,-502045000.0,6845000.0,-1706144000,-2508000,278808000,118039000,-167790000,-3950000.0,297501000,4408000.0,32967000,28933000,293960000,-200819000.0,273371000,-445000000.0,1948000,-3168069000,8835988000,2782353000,706000.0,406941000,-46396000.0,107107000,-2193906000,10424000,126964000.0,,,,,,
2016-03-31,144877000,53639000,53639000,-14773000,0.43,316865000,9600000,,102595000,95470000.0,87580000.0,,36535000,8095000.0,87283000.0,8452270000,190207000,3764036000,,159801000.0,125398000.0,103974000,118039000,103266000,1255000,20000000.0,,84259000,7089092000,90000.0,53639000,522394000,1689000,7371644000,9002204000,108817000,,-50012000.0,5061922000,12683000,-40926000,-264000.0,20716000,0.43,-441352000.0,7785000.0,-1630560000,-4447000,299904000,103266000,-132352000,-8277000.0,297174000,-39354000.0,55844000,30406000,282552000,-91845000.0,233069000,-5000000.0,2205000,-3164437000,8769135000,2802662000,708000.0,399769000,-36060000.0,106967000,-2259260000,-33323000,126124000.0,,,,,,
2016-06-30,209783000,32711000,32711000,30690000,0.26,325114000,9248000,,106567000,111558000.0,66117000.0,,29864000,8055000.0,89652000.0,7912803000,207387000,3788754000,,159723000.0,125125000.0,134175000,103266000,133956000,1246000,570000000.0,,84142000,7145065000,8679000.0,32711000,550951000,4040000,7436322000,9043899000,175182000,,-100018000.0,5125484000,11673000,19974000,-350000.0,25524000,0.26,-364861000.0,8893000.0,-1607577000,-5615000,278577000,133956000,-97088000,2967000.0,298965000,-41629000.0,34712000,47664000,291257000,-56872000.0,805982000,-5000000.0,2001000,-3231735000,8237917000,2805360000,219000.0,405532000,-34601000.0,91578000,-2320124000,-90978000,125783000.0,,,,,,
2016-09-30,159072000,-15370000,-15370000,31269000,-0.12,330626000,8469000,,105468000,96015000.0,74637000.0,,-40926000,7953000.0,94502000.0,8515392000,192366000,3710817000,,160111000.0,124604000.0,165446000,133956000,165225000,1243000,515876000.0,,84011000,7057523000,-12413000.0,-15370000,566594000,1978000,7915722000,9584784000,125413000,,-52320000.0,5158563000,12011000,-39486000,-637000.0,23904000,-0.12,-370386000.0,8076000.0,-1669062000,5571000,230326000,165225000,-70786000,-552000.0,305851000,10568000.0,-13796000,32255000,858199000,-42698000.0,738766000,-1894860000.0,1574000,-3299422000,8846018000,2780112000,221000.0,411319000,-33659000.0,113485000,-2378451000,-56231000,124604000.0,,,,,,
2016-12-31,215294000,5256000,5256000,-534961000,0.04,334993000,11240000,,106267000,105632000.0,78344000.0,,-27280000,7884000.0,101098000.0,8148426000,191578000,3656924000,,158554000.0,122682000.0,146332000,720931000,146109000,1210000,627157000.0,,78961000,7036374000,-3626000.0,5256000,587374000,314000,7360945000,9356866000,179632000,222000.0,-343340000.0,5232033000,11127000,10260000,2673000.0,28320000,0.04,-370184000.0,8163000.0,-1995921000,-7149000,248056000,185970000,-128022000,2609000.0,310238000,5556000.0,10541000,33024000,324571000,-85433000.0,873447000,-519065000.0,5285000,-3637467000,8483419000,2792076000,223000.0,416505000,-35662000.0,118660000,-2439957000,-622091000,123307000.0,,,,,,
2017-03-31,172306000,37598000,37598000,-20499000,0.31,339177000,9756000,,110970000,73170000.0,74214000.0,,3628000,8379000.0,96039000.0,8646174000,193254000,3605548000,,159031000.0,121049000.0,132222000,185970000,132222000,1213000,20000000.0,,78307000,6996183000,1444000.0,37598000,604691000,7147000,7297450000,9213944000,136559000,,-4419000.0,5285787000,13108000,-33721000,,29628000,0.31,-342899000.0,9277000.0,-1916494000,-5879000,278334000,165471000,-84277000,-3899000.0,312393000,-6926000.0,40996000,34223000,301267000,-42651000.0,228593000,-115000000.0,3398000,-3604288000,8985351000,2785944000,,423363000,-35747000.0,119139000,-2499843000,-112272000,121734000.0,,,,,,
2017-06-30,231893000,9233000,9233000,31722000,0.08,341927000,7719000,,109344000,138235000.0,75739000.0,,-31200000,8632000.0,98793000.0,7906188000,192914000,3569045000,,159520000.0,121455000.0,164521000,165471000,164521000,1210000,772517000.0,,79173000,6972389000,-2523000.0,9233000,628946000,18028000,7308853000,9294534000,198205000,,-140019000.0,5331458000,12304000,19434000,,29155000,0.08,-378922000.0,10194000.0,-1985681000,-11146000,251316000,197193000,-84364000,4480000.0,317950000,26352000.0,12623000,33394000,336464000,-39530000.0,1046419000,-740000000.0,3390000,-3735062000,8248115000,2774398000,,427294000,-33688000.0,125036000,-2557060000,-111838000,122437000.0,,,,,,
2017-09-30,187273000,49161000,49161000,-24731000,0.41,350041000,11109000,,111468000,104720000.0,87417000.0,,9062000,,101168000.0,8185512000,194466000,3550710000,,161907000.0,119746000.0,139711000,197193000,139711000,1184000,773289000.0,,82082000,6976404000,-10871000.0,49161000,648355000,5440000,7300470000,9558268000,150398000,,-378932000.0,5397109000,23330000,-27834000,,32429000,0.41,-342450000.0,9423000.0,-2257798000,-6573000,296528000,172462000,-122274000,4265000.0,322477000,-14467000.0,52539000,32559000,324066000,-78826000.0,1022715000,0.0,3378000,-4064805000,8535553000,2777339000,,433945000,-36875000.0,128011000,-2619770000,-93492000,121026000.0,,,,,,
2017-12-31,228134000,7660000,7660000,-68167000,0.06,349728000,8841000,,114530000,118761000.0,90673000.0,,-34935000,,97969000.0,9290686000,193163000,3598131000,,162643000.0,117231000.0,68783000,172462000,68783000,1164000,20000000.0,,87067000,7060672000,-8943000.0,7660000,650195000,3084000,7320205000,9919319000,186264000,,-331164000.0,5491126000,17211000,13589000,,33334000,0.07,-379460000.0,9355000.0,-2599114000,7082000,260441000,104295000,-315328000,-4550000.0,328543000,23369000.0,10731000,30520000,259533000,-280540000.0,278905000,-390000000.0,3071000,-4388288000,9640414000,2812346000,,443073000,-41870000.0,135380000,-2678780000,23028000,118931000.0,,,,,,
2018-03-31,178577000,31545000,31545000,60525000,0.27,378709000,13882000,,115337000,94085000.0,101103000.0,,-7642000,,93407000.0,9363686000,201447000,3600640000,,165398000.0,116494000.0,109350000,104295000,109350000,1165000,20000000.0,,89656000,7102302000,,31545000,698184000,5746000,7405082000,9993323000,147481000,,-38545000.0,5544464000,19659000,-42283000,,29554000,0.27,-379109000.0,10410000.0,-2588241000,-2879000,295181000,164820000,-151597000,-14336000.0,342965000,5061000.0,40127000,36049000,302780000,-117622000.0,250928000,-760000000.0,8582000,-4395286000,9742395000,2803478000,,458302000,-31096000.0,141518000,-2740986000,34049000,118293000.0,,,,,,
