date,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyBasicEPS,quarterlyFreeCashFlow,quarterlyGoodwill,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyTotalNonCurrentAssets,quarterlyDepreciationAndAmortization,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyDilutedAverageShares,quarterlyGrossProfit,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyChangeInInventory,quarterlyOtherIncomeExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyCostOfRevenue,quarterlyOperatingExpense,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyPretaxIncome,quarterlyStockholdersEquity,quarterlyPurchaseOfBusiness,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlySaleOfInvestment,quarterlyDilutedEPS,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyOtherIntangibleAssets,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCommonStockIssuance,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyChangeInCashSupplementalAsReported,quarterlyNetPPE,quarterlyOtherNonCashItems,quarterlyTaxProvision,quarterlyBasicAverageShares,quarterlyOtherCurrentLiabilities,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,quarterlyIncomeTaxPayable,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,quarterlyStockBasedCompensation
1998-12-31,4999071207.0,407585139.0,,,-581962096.0,,1093962848.0,198566305.0,1286687307.0,8347213622.0,-7794183.0,116253870.0,,7253250774.0,81434334.0,6285758514.0,,889009288.0,-154798.0,,494835027.0,-7794183,-7794183.0,-131229910.0,-168978423.0,380495356.0,357739938.0,,4502321981.0,67463835.0,280000640.0,124767802.0,-555251788.0,-44624326.0,,,125077399.0,0.0,-38069363.0,2061455108.0,,37531890.0,,-1.0,-1706965944.0,124922601.0,124922601.0,,,400464396.0,84080126.0,,-20482589.0,540866873.0,,609543397.0,,333833182.0,562298862,10821582.0,-592783678.0,8071207430.0,214834387,65113192.0,6364241486.0,-61762928.0,-30275180.0,,345356038.0,296268721,,,,,,,
1999-03-31,5244830189.0,467169811.0,,0.02931,-187471698.0,,1147622642.0,174188679.0,1370415094.0,8703245283.0,69886792.0,0.0,,7555622642.0,82716981.0,6615245283.0,,1006339623.0,-150943.0,1206400000.0,378566037.0,71547170,71547170.0,,53886792.0,488603774.0,311245283.0,,4756226415.0,209811321.0,256905660.0,0.0,-381735849.0,-46490566.0,,,121962264.0,124830189.0,82867925.0,2088000000.0,,-117735849.0,,1.0,-1664452830.0,70641509.0,70641509.0,,0.02931,441962264.0,92830189.0,,,673056604.0,,250867925.0,,2566038.0,588377358,76528302.0,-264000000.0,8213735849.0,121660377,-54188679.0,6549283019.0,-49509434.0,11320755.0,1206400000.0,255396226.0,204377358,,,,,,,
1999-06-30,5460398944.0,563801701.0,,0.148005,156524206.0,,961718979.0,210618950.0,963479026.0,8637723673.0,178351423.0,491786448.0,,7676004693.0,87567560.0,6423877970.0,,1036374303.0,4273.0,1205036472.0,581842182.0,180111470,180111470.0,,72455265.0,,80082136.0,,4968612496.0,468025814.0,298181285.0,0.0,-206119827.0,-48845310.0,,,118509827.0,0.0,265473746.0,2213845703.0,,-27028011.0,,146670.0,-1617336462.0,57054855.0,57054855.0,,0.148005,385596949.0,90642417.0,,,577882077.0,,-143065050.0,,1980750.0,1049867996,335616022.0,-179091816.0,8256966852.0,283660897,-13719799.0,6639630390.0,105977607.0,85362276.0,1205036472.0,0.0,371228457,,,,,,,
1999-09-30,5526045488.0,671019809.0,,0.02939,65723721.0,,919148936.0,191636097.0,945414527.0,8851504035.0,36537051.0,424798239.0,,7932355099.0,96186479.0,6471460015.0,,1248275862.0,146670.0,1243179687.0,392956713.0,39911959,39911959.0,,46808511.0,,199266324.0,,5101247249.0,159207630.0,287894351.0,80557594.0,-371058484.0,-50665591.0,,,118561996.0,0.0,57079971.0,2380044021.0,,-237481188.0,,146735.0,-1618048423.0,80557594.0,80557594.0,,0.02939,159941306.0,94937638.0,,,584152605.0,,195351931.0,,180632963.0,552164343,199301017.0,-133577296.0,8302127660.0,105062362,23594465.0,6684079237.0,,17168012.0,1243179687.0,201320616.0,201320616,,,,,,,
1999-12-31,5697193287.0,503038194.0,,,-340042432.0,,1107204861.0,244945471.0,910445602.0,9208188657.0,3092180.0,157841435.0,,8100983796.0,117354211.0,6607638889.0,,1330295139.0,144676.0,,431092586.0,8205790,8205790.0,,15509938.0,254484954.0,375144676.0,,5284866898.0,66089874.0,362299683.0,53530093.0,-246815007.0,-52349227.0,,,466145833.0,80557594.0,-17985011.0,2500578704.0,,-23136897.0,,-1.0,-1941406250.0,53530093.0,53530093.0,,,155381944.0,102285795.0,,-287485756.0,494646991.0,,336168111.0,-145833333.0,263604971.0,497182460,-116364322.0,-223678110.0,8712094907.0,68792903,-27011218.0,6770688657.0,,-26190801.0,,260416667.0,186147114,,,,,,,
2000-03-31,6223500072.0,426399884.0,,0.068963,-89399739.0,,1370300130.0,202199507.0,1283800203.0,10035699580.0,86401334.0,114400463.0,,8665399449.0,109199652.0,7507300275.0,,1520598811.0,0.0,1211200000.0,476900101.0,88100623,88100623.0,,43400029.0,833199942.0,335000725.0,,5275899667.0,223199942.0,311399159.0,47400319.0,-183600116.0,-52799768.0,,,467159635.0,53600116.0,105500942.0,2428399304.0,,-131500652.0,,-1450.0,-1945628534.0,47400319.0,47400319.0,,0.068963,404700594.0,103400029.0,,-188100623.0,677300275.0,,214700594.0,,3400029.0,700100043,-37300275.0,-52099464.0,9090429172.0,165500942,-6199797.0,7144800638.0,1.0,17400319.0,1211200000.0,201799334.0,274700594,,,,,,,
2000-06-30,5887201421.0,571000444.0,,0.15928,417099902.0,,1095699275.0,220500222.0,1151099600.0,9888200385.0,197599526.0,106501406.0,,8792501110.0,123001029.0,7038301021.0,,1670600858.0,18099748.0,1217600000.0,643500074.0,199299985,199299985.0,,74900104.0,795200533.0,128599970.0,,4985499482.0,457000148.0,343500074.0,22999852.0,-206999262.0,-54700602.0,,,476838834.0,47400319.0,272400473.0,2729899364.0,,-117398267.0,,1.0,-1985940506.0,22999852.0,22999852.0,,0.15928,40300429.0,102499630.0,,236700593.0,707300577.0,,-324101216.0,,159400030.0,1100500222,506700897.0,-89600995.0,9107840758.0,300000000,-24399581.0,7121900252.0,,73100488.0,1217600000.0,403498594.0,423001029,,,,,,,
2000-09-30,6212400060.0,825000000.0,,0.035735,-33600373.0,,1134600240.0,224299669.0,1138800721.0,10211499850.0,45799519.0,87999699.0,,9076899609.0,101999800.0,7351200782.0,,1958999098.0,-1198636.0,1228800000.0,450700331.0,51299970,51299970.0,,46800421.0,797400060.0,280000000.0,,5327000301.0,187599940.0,326299970.0,51400661.0,-322600201.0,-59100171.0,,,466100090.0,22999852.0,62200180.0,2739699429.0,,-238200570.0,,0.0,-2016681695.0,51400661.0,51400661.0,,0.035735,449099790.0,109000601.0,,-66799549.0,689699429.0,,300200141.0,,5500212.0,638300271,50799258.0,-84399631.0,9134582206.0,124400361,28399198.0,7117900511.0,,10900210.0,1228800000.0,1502.0,226400662,,,,,,,
2000-12-31,6418500300.0,581300240.0,,,-394399730.0,,1334299640.0,223299639.0,1259899520.0,10568200360.0,70201051.0,69200660.0,,9233900720.0,119299819.0,7678399820.0,,2073900720.0,4298648.0,,407400210.0,75800570,75800570.0,,20499189.0,756600180.0,519800540.0,,5592699460.0,98699880.0,342599459.0,67000600.0,-236600961.0,-57699099.0,,,465400420.0,51400661.0,-27500211.0,2763399820.0,,-81901711.0,,-1500.0,-229211158.0,67000600.0,67000600.0,,,261300240.0,112800151.0,,-378201141.0,420700360.0,,508401141.0,-135899820.0,7100149.0,506100090,-256200180.0,-138199550.0,7389211158.0,64800751,15600000.0,7160000000.0,3.0,-103300781.0,,577898920.0,184100570,,,,,,,
2001-03-31,6612098376.0,608100268.0,,0.06814,-44501025.0,,1734400126.0,225199432.0,1498300489.0,11052399496.0,83499921.0,89597982.0,,9317999369.0,107499606.0,8110398865.0,,2149199117.0,-1201324.0,1255200000.0,509099795.0,89399338,89399338.0,,44800568.0,749900678.0,472399496.0,,5772599716.0,364199905.0,332699038.0,89000473.0,-149300016.0,-62599716.0,,1173000158.0,465300331.0,66999842.0,112699038.0,2815700773.0,,-53099480.0,,-1.0,-240955384.0,89000473.0,89000473.0,,0.06814,705100110.0,108500709.0,,-137999369.0,699000473.0,9700457.0,119599559.0,-114899890.0,4600347.0,873299700,51699511.0,-96200536.0,7409755636.0,176400757,22000631.0,7168800252.0,-1.0,23299700.0,1255200000.0,94199906.0,283900363,,,,,,,
2001-06-30,7456000000.0,821600605.0,,0.21567,50299815.0,,2122800303.0,246900151.0,1792199697.0,12389000000.0,270400908.0,42900151.0,,10266199697.0,117799940.0,9248199697.0,,2203099848.0,-597465.0,1258400000.0,723400907.0,276600605,276600605.0,,78700454.0,672399395.0,340399395.0,,6740700454.0,997099849.0,364700454.0,130800303.0,-703999530.0,-54400284.0,,1651600605.0,465099849.0,89000473.0,325800302.0,3013700454.0,,-18899007.0,,0.0,-231222390.0,130800303.0,130800303.0,,0.211915,784000000.0,111600605.0,269800303.0,-123601236.0,899199697.0,-64600608.0,572200744.0,-142900151.0,12699199.0,1720500756,173600035.0,-123300220.0,8024521936.0,358700453,41799672.0,7793299546.0,1513.0,49199697.0,1258400000.0,109000000.0,476500756,,,,,,,
2001-09-30,7562199779.0,829499763.0,,0.0513,137601873.0,,1870299826.0,259300931.0,1579900584.0,12310099416.0,64800379.0,42299195.0,,10439799590.0,118200533.0,9142100363.0,,2272398612.0,-1201054.0,1259200000.0,521200884.0,71099890,71099890.0,,57299984.0,664800379.0,644000316.0,,6855100205.0,562799432.0,377500395.0,51000473.0,-163500202.0,-71900110.0,,1175300615.0,464899795.0,130800303.0,79100521.0,3040599653.0,,42099481.0,,-1578.0,-241183525.0,51000473.0,51000473.0,,0.0513,311999369.0,121899953.0,282900426.0,154600447.0,947699227.0,-50200054.0,-223100603.0,-126099101.0,2400628.0,1084000316,306800817.0,-169198944.0,8125684077.0,143700489,-79799987.0,7884500552.0,66.0,8000631.0,1259200000.0,320201988.0,261901022,,,,,,,
2001-12-31,6764199300.0,812300223.0,,,-692800535.0,,2281700096.0,7700889.0,3200299268.0,13127699777.0,41798549.0,118599172.0,-5399877.0,10845999682.0,49000717.0,9964498567.0,,2826800383.0,-1097578.0,,93599734.0,499917,45799184.0,,44900351.0,722800064.0,665600127.0,,5922800064.0,278700332.0,56700014.0,74000318.0,-324300220.0,-63000559.0,,1419100605.0,464700732.0,51000473.0,-13300225.0,3032101242.0,,12999929.0,,122999046.0,-2325999682.0,74000318.0,74000318.0,,,2221099968.0,95100281.0,330399554.0,-496700893.0,805200573.0,51099887.0,746001032.0,-120799109.0,3599730.0,372300066,-398200331.0,-294600204.0,9872800064.0,36899720,23500480.0,7546800382.0,-1579.0,-13800141.0,,173998727.0,85900437,,,,,,,
2002-03-31,7173398662.0,854099745.0,,0.088863,193699809.0,,1987799554.0,210100382.0,3086300191.0,13677399618.0,113100701.0,117598789.0,-428199490.0,11689600064.0,105600701.0,10259698853.0,,3307399618.0,192799554.0,1303200000.0,464799235.0,112399618,120500319.0,,98999363.0,756899299.0,524499681.0,,6298900574.0,616800510.0,315699490.0,58500637.0,-779099745.0,-69399299.0,,1282100064.0,659600064.0,73999363.0,137299235.0,3286000637.0,,-23400255.0,,122699172.0,-2326000637.0,58500637.0,58500637.0,110500319.0,0.087608,2134399299.0,110799873.0,378400255.0,154700446.0,793199490.0,4300510.0,421199809.0,-119399299.0,15799873.0,1081599745,342399618.0,-148699809.0,10160701083.0,149099745,-15500319.0,7834700446.0,-1593.0,24899618.0,1303200000.0,158701402.0,254700446,,,,,,,
2002-06-30,6879699954.0,1224900743.0,,0.343748,290900888.0,,1608499773.0,227899682.0,1913700561.0,12558399758.0,433300500.0,44000605.0,-20600328.0,10949899985.0,104299284.0,8793400515.0,,3929299894.0,-195099904.0,1266400000.0,668701318.0,207799667,442000303.0,,51000152.0,657299591.0,163500530.0,,6178399758.0,985299288.0,332201849.0,155599333.0,747699533.0,-70900746.0,,1092000303.0,659299894.0,58500637.0,284200636.0,3634599182.0,,11998527.0,,197399607.0,-2325999394.0,155599333.0,155599333.0,-243.0,0.339985,1141300197.0,103300500.0,,244699463.0,479299894.0,3099096.0,-1178499400.0,-156899530.0,209100870.0,1654000606,527900427.0,-236999539.0,9203399000.0,336499469,97100561.0,6877399606.0,,76399454.0,1266400000.0,293100470.0,440800121,,,,,,,
2002-09-30,6853400000.0,1158700000.0,,-0.003748,-111900697.0,,1647800000.0,245700000.0,1977800000.0,12826400000.0,-3900000.0,0.0,-14700182.0,11178600000.0,98000015.0,8831200000.0,,4038800000.0,-1399650.0,1271200000.0,491800000.0,4700000,4700000.0,,-47800000.0,777400000.0,253700000.0,,6076000000.0,683800000.0,461100000.0,246000000.0,66400212.0,-70899955.0,,961500000.0,659000000.0,155599333.0,-6500000.0,3865300000.0,,237401728.0,,186600000.0,-2326000000.0,246000000.0,246000000.0,-76.0,-0.003748,1111900000.0,106800000.0,,-206199909.0,664100000.0,41000394.0,-20400409.0,-118000000.0,258199257.0,1175600000,44399955.0,-156300652.0,9266800000.0,30700000,90399758.0,6940800000.0,,-11200000.0,1271200000.0,201800000.0,128700015,,,,,,,
2002-12-31,6877700661.0,1128100409.0,,,-191999654.0,,1442000315.0,150399780.0,1716499843.0,12987400063.0,33999843.0,0.0,-819200661.0,11545399748.0,95999906.0,8594200504.0,,4388799181.0,425797891.0,,344201102.0,42899811,42899150.0,,58199748.0,837400063.0,583800755.0,,6040300598.0,292099685.0,251700346.0,40700346.0,-286699717.0,-73499402.0,,817500787.0,658700031.0,246000000.0,54899276.0,3832400063.0,,191099465.0,,-1573.0,-2600999370.0,40700346.0,40700346.0,472.0,,899800126.0,101100315.0,,-41601007.0,714099780.0,-113099402.0,85499811.0,-123401007.0,3500567.0,636300787,-4100378.0,-187899276.0,9548599307.0,92500756,-205300283.0,6947599937.0,,11999465.0,,102599937.0,188500662,,,,,,,
2003-03-31,6831200235.0,1161200235.0,,0.07885,-53800499.0,,1744299985.0,183499339.0,1916199501.0,13081400029.0,103800499.0,0.0,-23900397.0,11337100044.0,98000588.0,8747399736.0,,4220900544.0,-198325.0,1316800000.0,438699868.0,112500367,112500367.0,,59600411.0,789600411.0,404899368.0,,6041599824.0,607100044.0,281499927.0,42400470.0,-111400029.0,-79400617.0,,1297000147.0,658400176.0,40699280.0,115700015.0,3797900690.0,,-2099309.0,,0.0,-2061000441.0,42400470.0,42400470.0,,0.07885,960699280.0,101100338.0,,-179099456.0,868400176.0,8000588.0,81499927.0,-194899368.0,4100191.0,1045799912,31599824.0,-85400323.0,8994100191.0,157199941,1699721.0,6933099750.0,-2939.0,3199647.0,1316800000.0,87100045.0,255200529,,,,,,,
2003-06-30,7131699312.0,1535900311.0,,0.339485,326600715.0,,2301499392.0,212700257.0,1966100230.0,13713599892.0,445400513.0,1.0,-21799995.0,11412100500.0,128599439.0,9097799541.0,,3298000811.0,-1702255.0,1318400000.0,790599756.0,453499932,453499932.0,,285800351.0,703899770.0,277499662.0,,6427799541.0,1096500068.0,341299473.0,227399703.0,650500394.0,-78798762.0,,1796600027.0,125000675.0,42400470.0,607599622.0,4105500473.0,,762500498.0,,0.0,-2600999595.0,227399703.0,227399703.0,,0.33697,571700662.0,127499662.0,,4400010.0,1220299878.0,115499344.0,-882299603.0,246500068.0,24900214.0,1887099824,416800824.0,-90200109.0,10581699311.0,449300283,185000265.0,7980699716.0,,154099689.0,1318400000.0,99099015.0,577900850,,,,,,,
2003-09-30,7019800108.0,1555399784.0,,0.067443,52199784.0,,1556700432.0,180899514.0,1315699622.0,13110499730.0,90700972.0,0.0,-2099446.0,11553799298.0,107400513.0,8335499730.0,,3360299838.0,-1299042.0,1372294160.0,470999460.0,99100486,99100486.0,,49000540.0,711900324.0,516199352.0,,6307899784.0,597100216.0,288299568.0,84600216.0,-154500149.0,-79600459.0,,955899514.0,657699892.0,227399703.0,132200162.0,4245199892.0,,-309000595.0,,1350.0,-2600999460.0,84600216.0,84600216.0,,0.06619,610099946.0,108499460.0,,-60600392.0,574500270.0,4599744.0,-136800270.0,-191499190.0,25499865.0,1068099676,148499676.0,-96299892.0,10671099406.0,182699892,-142799392.0,8070099946.0,,24100486.0,1372294160.0,76699082.0,290100405,,,,,,,
2003-12-31,6824499549.0,1511400232.0,,,-321099446.0,,2052699987.0,223699732.0,2349800335.0,13823300271.0,27299482.0,-1288.0,-2699969.0,11770600283.0,108999589.0,9174299884.0,,3047199536.0,-27501138.0,,434899183.0,35700002,35700002.0,,53699637.0,829000386.0,809800335.0,,5995500451.0,419400855.0,332699383.0,104100219.0,-125100023.0,-53000110.0,,1138799433.0,657400490.0,84600216.0,41699898.0,4126000258.0,,-3001780.0,,0.0,-2950600283.0,104100219.0,104100219.0,,,1358700245.0,114199539.0,,-334499209.0,894100219.0,-42299083.0,346300191.0,-282699987.0,16400155.0,854300038,-201700015.0,-119399431.0,11481500708.0,102199800,19498865.0,8530900425.0,,5999896.0,,96999871.0,211199389,,,,,,,
2004-03-31,6769800629.0,1545099685.0,,0.083918,127800367.0,,2211100472.0,202300630.0,2507599685.0,13996500525.0,112400315.0,-1.0,-16200157.0,11785400052.0,110499738.0,9277400314.0,,3137299318.0,-600734.0,1375200000.0,598300105.0,121100472,121100472.0,,76200157.0,814100210.0,652999738.0,,5955700420.0,854900315.0,312800367.0,108600472.0,-96399528.0,-87400315.0,,1449500262.0,657099948.0,104100210.0,247999738.0,4187000262.0,,-5199371.0,,0.0,-2950599423.0,108600472.0,108600472.0,,0.083918,1346500525.0,113700157.0,,-47599685.0,1084599948.0,49000525.0,-98200420.0,-271998951.0,19500262.0,1453200420,199100210.0,-71299843.0,11472599685.0,285499738,4500262.0,8522000262.0,-1312.0,126900577.0,1375200000.0,76499212.0,395999476,,,,,,,
2004-06-30,6708800534.0,1714600400.0,,0.187163,623899433.0,,1518100067.0,237499666.0,1760300200.0,13402800534.0,248400267.0,1.0,24.0,11884700467.0,114999928.0,8469100734.0,,3214900600.0,-15199133.0,1375200000.0,750200133.0,257000667,257000667.0,,95199466.0,847899933.0,220800534.0,,5860900600.0,1093699800.0,352500334.0,104400267.0,-94501072.0,-73600352.0,,1192900600.0,656700467.0,108600472.0,380200133.0,4388400267.0,,2098637.0,,-1334.0,-2950600400.0,104400267.0,104400267.0,,0.18465,946000000.0,112700467.0,,331699752.0,717599733.0,32999475.0,-616500047.0,-243499666.0,4799938.0,1843899933,706799723.0,-82900290.0,11500300200.0,397699799,-4200062.0,8549699800.0,,123199466.0,1375200000.0,96700467.0,512700466,,,,,,,
2004-09-30,6472099030.0,1815300491.0,,0.134348,327800011.0,,1615600353.0,217599849.0,1628900088.0,13118499433.0,179698879.0,0.0,-700459.0,11502899080.0,115100057.0,8100999118.0,,2964499181.0,15500006.0,1375200000.0,501500567.0,188499433,188499433.0,,173200202.0,820399395.0,450299861.0,,5651699635.0,781899962.0,332700013.0,170599723.0,154200335.0,-101699346.0,,994699509.0,656400403.0,104400267.0,232600479.0,4486900592.0,,252300683.0,,1260.0,-2950599723.0,170599723.0,170599723.0,,0.133093,634399647.0,109400277.0,,229799391.0,921699635.0,-7300491.0,-513199243.0,-254499181.0,7399435.0,1283400529,425199979.0,-97399968.0,11386399143.0,168800554,66199737.0,8435799420.0,,44099786.0,1375200000.0,72800806.0,283900718,,,,,,,
2004-12-31,7667598992.0,1840899928.0,,,-689199835.0,,2349000480.0,357600479.0,2744400048.0,14905099592.0,78100783.0,151798656.0,301120.0,12556099112.0,184400277.0,10411999040.0,,3179199664.0,-2099947.0,,773500120.0,85599953,85599953.0,,38600169.0,797300216.0,791599472.0,,6718500120.0,1186500051.0,541999496.0,105500360.0,-962999759.0,-59999771.0,,1451899448.0,125000000.0,170599723.0,80600238.0,3978200144.0,,97999475.0,,1200.0,-3361199904.0,105500360.0,105500360.0,,,1384700024.0,189500556.0,165399568.0,-654999770.0,1275899928.0,-61999725.0,1342299758.0,-270099592.0,12700413.0,1960000171,-444399648.0,-244800187.0,12427699784.0,231500624,-65099649.0,9066499880.0,-60.0,-5000916.0,,83800096.0,415900901,,,,,,,
2005-03-31,9313000000.0,1974599758.0,,0.32768,586499395.0,,1957100363.0,259400242.0,1766899637.0,15919100363.0,220599758.0,146099153.0,-61000000.0,13962000000.0,143299879.0,11079899637.0,,2882899637.0,-4500605.0,1385027460.0,786000000.0,222299879,222299879.0,,82199516.0,937100363.0,503199516.0,,8229800484.0,1395700121.0,402700121.0,160500605.0,-172800484.0,-88599758.0,,1293400242.0,125000000.0,105500605.0,330199516.0,4145400242.0,,14000000.0,,0.0,-3361199516.0,160500605.0,160500605.0,,0.325178,583299879.0,135299879.0,609899637.0,300700121.0,1099299879.0,37100363.0,-441800484.0,-264000000.0,27400242.0,2181700121,669599758.0,-83100363.0,13679000000.0,383299879,55000000.0,10317800484.0,,107899637.0,1384800000.0,84299879.0,526599758,,,,,,,
2005-06-30,8887899841.0,2037899840.0,,0.13471,235200617.0,,1971499939.0,255199460.0,2112199583.0,15923800172.0,93600098.0,95799681.0,-799435.0,13952300233.0,143000600.0,11000099423.0,,2893899595.0,-7398254.0,692400000.0,629199705.0,95300110,95300110.0,,40600221.0,951299865.0,602300233.0,,7840800295.0,577600344.0,398199337.0,136399902.0,-147499013.0,-88600438.0,,1232799804.0,125000614.0,160500605.0,137499693.0,4240800295.0,,-14899718.0,,0.0,-3361200442.0,136399902.0,136399902.0,,0.13471,867000123.0,134099669.0,609700503.0,55699781.0,1166899472.0,47900251.0,-228199516.0,-243899595.0,11999537.0,1206800049,351600684.0,-116400067.0,13689200933.0,231000368,-24100282.0,10328000491.0,,42199583.0,692400000.0,78299988.0,374000968,,,,,,,
2005-09-30,8671399535.0,2021500581.0,,0.09993,-240400360.0,,2498299652.0,267399535.0,2840500581.0,16346800232.0,67800232.0,93599303.0,-300449.0,13848500581.0,141200102.0,11511900116.0,,2839700348.0,7399440.0,692400000.0,580199768.0,69500581,69500581.0,,21099884.0,944800232.0,1042500581.0,,7633000000.0,1076900116.0,408599303.0,160399535.0,-171700503.0,-88600036.0,,1295399535.0,125000000.0,136399902.0,59700348.0,4162600465.0,,-1600863.0,,1.0,-3361199768.0,160399535.0,160399535.0,,0.09993,1360099884.0,133000000.0,596600465.0,-350200134.0,1408700348.0,-44500033.0,294600465.0,-313199768.0,7500337.0,1657099884,-98900790.0,-141499570.0,13626399536.0,171600465,24000398.0,10265199768.0,66.0,-9800232.0,692400000.0,71700349.0,312800567,,,,,,,
2005-12-31,8999698802.0,2098199791.0,,,-358399315.0,,3075599488.0,275599721.0,3250700081.0,17210900105.0,174000698.0,91699034.0,-27800104.0,14135300616.0,147798872.0,12250398884.0,,2914000464.0,5898419.0,,729301011.0,175800453,175800453.0,,87700070.0,1008999884.0,1021400163.0,,7898999884.0,1938499698.0,423400918.0,153900454.0,-341000349.0,-102199535.0,,1900300035.0,125000581.0,160399535.0,256800953.0,4269501105.0,,28600127.0,,-1164.0,-3899499942.0,153900454.0,153900454.0,,,1544200488.0,136800372.0,619799977.0,-403599466.0,1624800558.0,67599198.0,353299291.0,-297499709.0,6800314.0,2667800709,-18799245.0,-339600070.0,14366099547.0,305900093,-6500302.0,10466599605.0,1163.0,81000499.0,,81699035.0,453698965,,,,,,,
2006-03-31,9069100887.0,2191599720.0,,0.27974,561000701.0,391599720.0,2839399813.0,254399813.0,3055499766.0,17220600187.0,190900280.0,76401214.0,-54699907.0,14381200374.0,145999533.0,12124600654.0,,3000000000.0,-6101120.0,697800000.0,754699906.0,192600420,192600420.0,,68900047.0,1037399580.0,630699440.0,,7955300093.0,2592000234.0,400399346.0,181400047.0,-330499766.0,-102300327.0,,2027300327.0,2491200374.0,153900047.0,284899580.0,4397500000.0,,-20900279.0,,-1.0,-3899500234.0,181400047.0,181400047.0,,0.27974,1222099486.0,138299860.0,250000000.0,390900280.0,1748799626.0,1599720.0,-356500467.0,-296398879.0,20100420.0,3346700140,714500234.0,-153499533.0,14481000701.0,354300560,27500000.0,10581500467.0,1.0,92300327.0,697800000.0,84600654.0,500300093,,,,,,,
2006-06-30,9393899609.0,2251699944.0,,0.234295,238099131.0,391500279.0,2455899610.0,248900167.0,2296199665.0,16794300056.0,157899610.0,81299497.0,-200260.0,14338400446.0,146200132.0,11690099275.0,,2954700502.0,-13798490.0,697800000.0,631600669.0,159599554,159599554.0,,43299498.0,991000558.0,597399888.0,,8321599554.0,1695599554.0,395100948.0,148600112.0,-204700457.0,-102499450.0,,1709899610.0,125000558.0,181400047.0,145899610.0,4416400446.0,,34600223.0,,0.0,-3899500279.0,148600112.0,148600112.0,,0.22931,581299498.0,136799777.0,241399888.0,223299385.0,1630600112.0,-49700110.0,-305299868.0,-360900167.0,18399301.0,2327200223,477199710.0,-239100579.0,14489500279.0,236499721,-32799498.0,10590000000.0,1115.0,-13699944.0,697800000.0,84300055.0,382699853,,,,,,,
2006-09-30,9721700012.0,2249599866.0,,0.139745,-309199307.0,391799486.0,2704000224.0,256599978.0,2737600313.0,17590000000.0,95500168.0,83600091.0,-291899878.0,14885999776.0,145400648.0,12459300324.0,,3334599306.0,-5499966.0,697800000.0,622500279.0,97200179,97200179.0,,55700235.0,1023400022.0,910099475.0,,8614699899.0,1562399687.0,402000671.0,198000447.0,-560900146.0,-102299809.0,,1595900302.0,125000559.0,148600112.0,134000224.0,4435100034.0,,799888.0,,0.0,-3899500391.0,198000447.0,198000447.0,,0.139745,1031600536.0,142199620.0,238700123.0,-264199665.0,1620299542.0,-4599956.0,649700190.0,-353199955.0,10499944.0,2184899966,-39399732.0,-269799575.0,14622600872.0,220499608,49399196.0,10723100481.0,-1117.0,36800045.0,697800000.0,85700235.0,365900256,,,,,,,
2006-12-31,9829599254.0,2322700373.0,,,-377500711.0,394899814.0,3054199674.0,324299149.0,3223900280.0,18379299860.0,171099816.0,91099720.0,-15499582.0,15325100186.0,149799501.0,13053499534.0,,3223900279.0,-5900517.0,,811100216.0,172899828,172899828.0,,117300850.0,1062500000.0,868900280.0,,8675999534.0,1974600419.0,474099766.0,139699441.0,-483899631.0,-102900414.0,,2045599953.0,125000000.0,198000447.0,249799927.0,4610599953.0,,54500634.0,,0.0,-3899500233.0,139699441.0,139699441.0,,,1405000000.0,149800765.0,241500466.0,-223300326.0,1723800093.0,31700812.0,280200098.0,-271500466.0,14100288.0,2785700635,145400161.0,-522900872.0,15164199674.0,337000450,-58299372.0,11264699441.0,1166.0,76900052.0,,95100187.0,486799951,,,,,,,
