date,quarterlyAccountsReceivable,quarterlyDilutedEPS,quarterlyGoodwill,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBasicAverageShares,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInvestmentsAndAdvances,quarterlyOperatingExpense,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDilutedAverageShares,quarterlyOtherIntangibleAssets,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyStockholdersEquity,quarterlyCashAndCashEquivalents,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyBasicEPS,quarterlyTaxProvision,quarterlyNetPPE,quarterlyEbitda,quarterlyAccumulatedDepreciation,quarterlyCurrentAssets,quarterlyRetainedEarnings,quarterlyGrossPPE,quarterlyOtherShortTermInvestments,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyTotalRevenue,quarterlyIncomeTaxPayable,quarterlyNonCurrentDeferredRevenue,quarterlyCurrentLiabilities,quarterlyPretaxIncome,quarterlyCapitalExpenditure,quarterlyDepreciationAndAmortization,quarterlyRepaymentOfDebt,quarterlyPurchaseOfInvestment,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables,quarterlyDeferredIncomeTax,quarterlyChangeInAccountPayable,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyNetOtherInvestingChanges,quarterlyChangeInWorkingCapital,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyCashFlowFromContinuingFinancingActivities,quarterlySaleOfInvestment,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyBeginningCashPosition,quarterlyPurchaseOfBusiness,quarterlyCashDividendsPaid,quarterlyFreeCashFlow,quarterlyStockBasedCompensation,quarterlyNetOtherFinancingCharges,quarterlyChangeInInventory
2014-06-30,16072000000.0,0.0,36894000000.0,0.0,4991000000.0,155606000000.0,,1244166000000.0,738181000000.0,,,,5772000000.0,,,8660000000.0,,,67524000000.0,106000000.0,56276000000.0,,,7767000000.0,416070000000.0,,819000000.0,,429774000000.0,0.0,455371000000.0,826108000000.0,73907000000.0,176474000000.0,0.0,0.0,,614038000000.0,,,505985000000.0,488917000000.0,614038000000.0,381464000000.0,,0.0,,,675000000.0,410298000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,16340000000.0,,35300000000.0,0.0,4992000000.0,52727000000.0,,1296449000000.0,818866000000.0,,,,5930000000.0,,,9130000000.0,,,127615000000.0,98000000.0,70571000000.0,,,8731000000.0,437806000000.0,,766000000.0,,455839000000.0,0.0,420862000000.0,856576000000.0,66744000000.0,223503000000.0,352118000000.0,,,682991000000.0,,-670260000000.0,477583000000.0,492602000000.0,1353251000000.0,354118000000.0,,0.0,,,840000000.0,431876000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,18374000000.0,0.0,35300000000.0,0.0,4993000000.0,162754000000.0,,1342808000000.0,829261000000.0,,,,6001000000.0,,,6657000000.0,,,58554000000.0,158000000.0,71543000000.0,,,5384000000.0,447962000000.0,,736000000.0,,490622000000.0,0.0,457499000000.0,892735000000.0,100833000000.0,204050000000.0,350179000000.0,0.0,,688381000000.0,,,513547000000.0,527584000000.0,688381000000.0,356666000000.0,,0.0,,,850000000.0,441961000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,17743000000.0,,35343000000.0,0.0,4995000000.0,67575000000.0,,1427895000000.0,939198000000.0,,,,6489000000.0,,,9994000000.0,,,152140000000.0,203000000.0,115936000000.0,,,4575000000.0,507527000000.0,,768000000.0,,515206000000.0,0.0,422339000000.0,917336000000.0,79842000000.0,243579000000.0,323330000000.0,,,700416000000.0,,-741416000000.0,488697000000.0,500104000000.0,1441832000000.0,342497000000.0,,0.0,,,1291000000.0,501038000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,22146000000.0,0.0,35343000000.0,0.0,4996000000.0,203242000000.0,,1490827000000.0,965547000000.0,,,,6476000000.0,,,6947000000.0,,,72735000000.0,192000000.0,120554000000.0,,,3691000000.0,530821000000.0,,768000000.0,,554798000000.0,0.0,465619000000.0,956928000000.0,95800000000.0,233490000000.0,337359000000.0,0.0,,713431000000.0,,,525280000000.0,539912000000.0,713431000000.0,369819000000.0,,0.0,,,1288000000.0,524345000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,19045000000.0,,35343000000.0,0.0,0.0,80608000000.0,,1520994000000.0,934349000000.0,,,,2467000000.0,,,8832000000.0,4998000000.0,,160108000000.0,292000000.0,124074000000.0,,,4528000000.0,538856000000.0,,1708000000.0,,576891000000.0,0.0,457607000000.0,979021000000.0,90413000000.0,250838000000.0,335297000000.0,,,738929000000.0,,-823825000000.0,586645000000.0,536313000000.0,1562754000000.0,367194000000.0,,0.0,,,2175000000.0,536389000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,26268000000.0,0.0,35343000000.0,0.0,,215930000000.0,,1574896000000.0,959037000000.0,,,,2652000000.0,,,7307000000.0,5000000000.0,,75509000000.0,305000000.0,127855000000.0,,,5824000000.0,553368000000.0,,1621000000.0,,616231000000.0,0.0,478069000000.0,1018361000000.0,83008000000.0,238674000000.0,316924000000.0,0.0,,751922000000.0,,,615859000000.0,576784000000.0,751922000000.0,395061000000.0,,0.0,,,2347000000.0,550716000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,24153000000.0,,35343000000.0,0.0,,90640000000.0,,1522113000000.0,963917000000.0,,,,3250000000.0,,,10222000000.0,,,158865000000.0,362000000.0,132543000000.0,,,6504000000.0,533232000000.0,,1721000000.0,,583506000000.0,0.0,465637000000.0,985636000000.0,120636000000.0,233169000000.0,279371000000.0,,,754463000000.0,,-945502000000.0,558196000000.0,,1699965000000.0,345001000000.0,,0.0,,,2888000000.0,529982000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,34482000000.0,0.0,35343000000.0,,,225909000000.0,,1565120000000.0,990507000000.0,,,,3889000000.0,,,10641000000.0,,,65471000000.0,364000000.0,136782000000.0,,,19901000000.0,530093000000.0,,2307000000.0,,629551000000.0,0.0,468770000000.0,1031681000000.0,82751000000.0,209224000000.0,4594000000.0,0.0,,758663000000.0,,,574613000000.0,,758663000000.0,386019000000.0,,,,,3525000000.0,526204000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,26540000000.0,,35343000000.0,,,93953000000.0,,1535910000000.0,1000794000000.0,,,,5703000000.0,,,8857000000.0,,,132814000000.0,822000000.0,145912000000.0,,,12369000000.0,480101000000.0,,2620000000.0,,650275000000.0,0.0,425614000000.0,1052405000000.0,57302000000.0,190847000000.0,5022000000.0,,,766454000000.0,,-1063107000000.0,535116000000.0,,1829561000000.0,368312000000.0,,,,10553000000.0,4881000000.0,474398000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,40921000000.0,0.0,35343000000.0,,,241394000000.0,,1648129000000.0,1089517000000.0,,,,62766000000.0,,,9753000000.0,,,49024000000.0,976000000.0,148999000000.0,,,20560000000.0,564527000000.0,,2121000000.0,,678012000000.0,0.0,425061000000.0,1080142000000.0,71191000000.0,161472000000.0,,0.0,,843211000000.0,,,558612000000.0,,843211000000.0,353870000000.0,,,,12629000000.0,5067000000.0,501761000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
