,annualNonCurrentDeferredTaxesLiabilities,annualSaleOfInvestment,quarterlyNetOtherFinancingCharges,trailingPurchaseOfBusiness,annualStockholdersEquity,quarterlyResearchAndDevelopment,annualPurchaseOfBusiness,quarterlyCapitalExpenditure,annualAccountsReceivable,annualDepreciationAndAmortization,quarterlyDilutedEPS,annualPurchaseOfInvestment,quarterlyLongTermDebt,annualInvestingCashFlow,quarterlyOtherNonCurrentAssets,quarterlyOperatingCashFlow,trailingPretaxIncome,trailingSaleOfInvestment,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,annualGoodwill,quarterlyTaxProvision,trailingNetIncome,annualChangeInInventory,trailingCashDividendsPaid,quarterlyInventory,quarterlyNetPPE,trailingNetOtherInvestingChanges,quarterlyOtherCurrentLiabilities,annualOperatingCashFlow,quarterlyCommonStockIssuance,quarterlyCostOfRevenue,quarterlyOtherShortTermInvestments,annualChangeInWorkingCapital,annualDilutedAverageShares,annualCurrentLiabilities,annualNetPPE,quarterlyAccountsReceivable,annualOtherIntangibleAssets,quarterlyChangeInCashSupplementalAsReported,annualGrossProfit,annualInventory,annualCashCashEquivalentsAndMarketableSecurities,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyCapitalStock,quarterlyBeginningCashPosition,trailingRepaymentOfDebt,quarterlyBasicAverageShares,annualOtherNonCurrentLiabilities,annualOperatingIncome,quarterlyBasicEPS,quarterlyFreeCashFlow,annualCapitalStock,annualTotalRevenue,trailingResearchAndDevelopment,annualRepaymentOfDebt,trailingGrossProfit,annualNetOtherInvestingChanges,annualChangeInCashSupplementalAsReported,annualOtherCurrentLiabilities,trailingEndCashPosition,annualBasicAverageShares,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,annualEndCashPosition,trailingInterestExpense,annualPretaxIncome,trailingPurchaseOfInvestment,trailingTotalRevenue,quarterlyTotalNonCurrentAssets,quarterlyCurrentDebt,quarterlyCashAndCashEquivalents,trailingOperatingIncome,annualAccountsPayable,trailingInvestingCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingCapitalExpenditure,trailingChangeInCashSupplementalAsReported,quarterlySaleOfInvestment,annualGrossPPE,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyGrossProfit,annualSellingGeneralAndAdministration,quarterlyTotalLiabilitiesNetMinorityInterest,annualOtherNonCurrentAssets,trailingSellingGeneralAndAdministration,annualOperatingExpense,trailingOperatingExpense,trailingNetIncomeContinuousOperations,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,annualNetIncomeContinuousOperations,annualBasicEPS,annualCashAndCashEquivalents,quarterlyOperatingIncome,quarterlyGrossPPE,annualCapitalExpenditure,quarterlyTotalRevenue,trailingNetOtherFinancingCharges,quarterlyInvestingCashFlow,annualNetOtherFinancingCharges,quarterlyEndCashPosition,trailingBeginningCashPosition,annualInterestExpense,trailingCostOfRevenue,quarterlyChangeInInventory,quarterlyOtherNonCashItems,annualDilutedEPS,annualCurrentAssets,annualResearchAndDevelopment,annualEbitda,quarterlyCashDividendsPaid,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyEbitda,annualNetIncomeCommonStockholders,quarterlyRetainedEarnings,annualFreeCashFlow,annualTotalLiabilitiesNetMinorityInterest,quarterlyCurrentAssets,quarterlyPurchaseOfBusiness,annualCommonStockIssuance,annualOtherShortTermInvestments,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPretaxIncome,quarterlyOperatingExpense,trailingNetIncomeCommonStockholders,annualCostOfRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyGoodwill,trailingFreeCashFlow,quarterlySellingGeneralAndAdministration,annualRetainedEarnings,quarterlyStockholdersEquity,annualTotalAssets,quarterlyNetOtherInvestingChanges,annualTaxProvision,annualCurrentDebt,annualCashDividendsPaid,quarterlyRepaymentOfDebt,annualBeginningCashPosition,annualLongTermDebt,quarterlyOtherCurrentAssets,annualNetIncome,annualOtherCurrentAssets,annualOtherNonCashItems,quarterlyDilutedAverageShares,annualTotalNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,trailingTaxProvision,trailingRepurchaseOfCapitalStock,quarterlyIncomeTaxPayable,trailingDeferredIncomeTax,annualDeferredIncomeTax,trailingChangeInAccountPayable,annualStockBasedCompensation,quarterlyOtherIncomeExpense,trailingOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,annualCashFlowFromContinuingFinancingActivities,annualCurrentAccruedExpenses,quarterlyRepurchaseOfCapitalStock,annualChangesInAccountReceivables,trailingOperatingCashFlow,annualInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,trailingBasicEPS,trailingBasicAverageShares,annualNonCurrentDeferredRevenue,trailingStockBasedCompensation,quarterlyDeferredIncomeTax,annualCurrentDeferredRevenue,trailingChangeInWorkingCapital,trailingChangesInAccountReceivables,annualRepurchaseOfCapitalStock,annualAccumulatedDepreciation,annualGainsLossesNotAffectingRetainedEarnings,trailingCommonStockIssuance,trailingCashFlowFromContinuingFinancingActivities,trailingChangeInInventory,quarterlyCurrentDeferredRevenue,annualOtherIncomeExpense,annualChangeInAccountPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,annualIncomeTaxPayable,trailingDepreciationAndAmortization,trailingOtherIncomeExpense,trailingDilutedAverageShares,quarterlyAccumulatedDepreciation
1009756800,,460281495.54,,,3124089960.15,,,,355887200.87,49987860.91,,-86948563.22,261000000.0,228206968.86,0.0,,,,,,,,,-1300034617.25,,4708616789.08,309933493.24,,560838732.29,-1204549247.74,,,0.0,-1595847839.07,,3045488393.35,309933493.24,355887200.87,,,1019560493.82,4708616789.08,805381417.19,,,630971941.0,,,,50340947.36,293290723.76,,,630971941.0,4454000246.08,,-2194000000.0,,-121946823.03,-190363742.86,560838732.29,,,,6482911630.82,805381417.19,,501852215.83,,,418980347.36,1353000000.0,805381417.19,,489986266.81,,805381417.19,,,,309933493.24,,,,546758564.55,3356829340.71,0.0,,726269770.06,,,,489986266.81,381969284.35,0.066488,805381417.19,,309933493.24,-30162811.65,,,,1706902.38,,,6072116.95,,,,0.066488,6063931283.46,,343278584.67,,311340947.36,,373747217.73,4617138.0,-1234712059.39,3356829340.71,6063931283.46,,2000000.0,0.0,3045488393.35,311340947.36,,,,3434439752.26,,,,,4617138.0,3124089960.15,6482911630.82,,119882931.48,1353000000.0,-183733249.45,,995745160.05,261000000.0,0.0,373747217.73,0.0,122927424.76,,418980347.36,50340947.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017532800,,,,,,,,,,,0.005436,,160000000.0,,0.0,,,,30554811.6,30555992.96,,11973875.75,,,,4943459395.08,308055149.14,,422372280.39,,,383431057.53,0.0,,,,,444673312.39,,,,,,29516130.5,,630971941.0,,,,,,0.005436,,,,,,,,,,,,30555992.96,6598379522.74,,,,,,417875794.93,1501000000.0,540421551.66,,,,540421551.66,,,,,667636.79,,166918805.67,,3441314009.26,,,,,,,584331668.67,,,,41090138.2,308055149.14,,550349863.2,,,,,,,,,,,,,,,,43196324.14,,35173130.96,,,6180503727.81,,,,3227448959.97,213865049.29,42528687.35,125828667.47,,,,,,97522041.6,,3155074364.88,,,,,,,,,0.0,,,,,,53865049.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025395200,,,,,,,,,,,,,1660000000.0,,0.0,,,,111602108.65,111600927.29,,20530212.45,,,,5387605145.25,321405383.6,,533541378.52,,,688587194.68,0.0,,,,,402890135.46,,,,,,,,630971941.0,,,,,,,,,,,,,,,,,,111600927.29,8223610699.93,,,,,,432234417.15,1118000000.0,1663890917.89,,,,1663890917.89,,,,,1849838.7,,263973252.27,,4956943956.14,,,,,,,659058296.07,,,,135013055.06,321405383.6,,952560446.95,,,,,,,,,,,,,,,,132906869.12,,146774058.25,,,7791376282.78,,,,3265418991.48,1691524964.66,132132321.1,128960197.21,,,,,,81026960.74,,3266666743.79,,,,,,,,,0.0,,,,,,31524964.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033344000,,,,,,,,,,,,,1666750000.0,,0.0,,,,44922584.45,44922584.45,,12804173.38,,,,5911263699.17,316333940.65,,639880955.42,,,646955479.69,0.0,,,,,293611631.01,,,,,,,,630971941.0,,,,,,,,,,,,,,,,,,44922584.45,8205488780.08,,,,,,425137927.22,760300000.0,1166858479.7,,,,1166858479.7,,,,,1407952.33,,206326141.18,,4883301255.43,,,,,,,575143500.66,,,,60203368.89,316333940.65,,853281620.87,,,,,,,,,,,,,,,,60210000.84,,191696642.7,,,7780350852.86,,,,3182832977.6,1700468277.83,57726757.83,146122772.29,,,,,,101539269.19,,3311612526.89,,,,,,,,,0.0,,,,,,33718277.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041292800,,1135227.2,,,3380769043.31,,,,302297113.93,40041482.1,,-8600000.0,1672341727.75,-33695294.4,0.0,,,,210968802.94,195341769.36,,76654562.84,,-1237389805.3,,5976170097.26,348658465.04,,779223819.0,128843264.54,,1753912077.08,0.0,-337470541.6,,3055543102.46,348658465.04,302297113.93,,,1118199818.69,5976170097.26,1187405566.3,,,630974713.0,,,,61478603.18,523043833.31,,,630974713.0,4591085627.67,,-3657300000.0,,10821820.55,382024149.11,779223819.0,,,195341769.36,8215822308.3,1187405566.3,,520011132.06,,,476723582.25,460000000.0,1187405566.3,,857115786.25,,1187405566.3,,,,348658465.04,-3019031.21,,480981619.57,379621242.61,4789363433.39,0.0,,595155985.38,,,,857115786.25,398048307.64,0.06803,1187405566.3,286737271.16,348658465.04,-51807188.43,2234893696.65,,,-21680353.16,,,906396.61,,,,0.06803,7739098726.05,,560959010.77,,1733820330.93,284604334.57,382421274.06,12269641.32,77036076.11,4789363433.39,7739098726.05,,10000000.0,0.0,3055543102.46,1733820330.93,287623365.78,194244348.41,,3472885808.98,,,,99532971.08,12269641.32,3380769043.31,8215822308.3,,121962824.42,460000000.0,-197096026.27,,805381417.19,1672341727.75,0.0,382421274.06,0.0,14351819.34,,476723582.25,61478603.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049068800,,,0.0,,,,,-7037683.03,,,0.00728,,1677649848.0,,0.0,-556011264.79,,,39616409.04,40928049.02,,20688709.15,,,,6591749781.25,338484435.06,,834065421.14,,0.0,567773541.23,0.0,,,,,263150351.09,,-509034533.03,,,,,13551579.86,631001006.0,1187405566.3,,,,,0.00728,-563048947.82,,,,,,,,,,,40928049.02,8319567285.54,,,,,,465800144.11,520000000.0,678371033.27,,,,678371033.27,,,300000.0,,1930799.13,,214714206.36,,4853187031.1,,,,,,-605332590.63,799173531.22,,,,60327400.3,338484435.06,,782487747.59,,-4490462.75,,678371033.27,,,,-599249554.9,-5057138.09,,,,,-8485473.0,,75787497.18,,53192431.74,,,7853767141.43,,,,3118212186.0,1734974845.1,60305118.19,154386806.06,,,,,,113589232.78,,3422002062.81,,2149533.48,,,,-505000000.0,,,0.0,,,,,,57324997.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1056931200,,,0.0,,,,,-13516250.18,,,,,940951274.5,,0.0,346009305.56,,,169599305.35,165887239.06,,54362290.66,,,,7058135501.43,333402157.98,,838029951.05,,,1008420549.91,0.0,,,,,202853877.71,,732498161.55,,,,,9786042.27,1383386596.0,678371033.27,,,,,,332493055.38,,,,,,,,,,,165887239.06,9473215236.16,,,,,,452092163.29,1042000000.0,1410869194.82,,,,1410869194.82,,,171974.4,,2700111.64,,400805873.66,,5150902407.71,,,,,,157465384.34,897891221.12,,,,223227573.53,333402157.98,,1409226423.57,,3586100.25,,1410869194.82,,,,-462346050.92,10085181.61,,,,,-139103643.3,,231105098.78,,209899878.0,,,9021123072.87,,,,4152364316.21,998538091.5,223961596.01,177578300.13,,,,,,111820362.54,,4284531068.04,,1811644.67,,,,-259000000.0,,,0.0,,,,,,57586817.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1064880000,,,100000.0,,,,,-20852371.57,,,0.010232,,876832294.5,,60805410.77,-1090202748.02,,,65800697.09,66104245.91,,27218775.55,,,,8491801407.5,304030467.65,,629535864.04,,,802409059.42,0.0,,,,,181113050.33,,-611292225.17,,,,,9885437.5,1394795949.0,1410869194.82,,,,,0.010232,-1111055119.59,,,,,,,,,,,66104245.91,10240488308.41,,,,,,429998303.77,1555000000.0,799576969.65,,,,799576969.65,,,440000.0,,2325019.78,0.0,275979668.29,,5787033963.59,,,,,,-1164084189.34,677324124.94,,,,89346205.32,304030467.65,,1078388727.71,,-17586611.52,,799576969.65,,,,-1410047396.6,2757612.52,,,,,-17217210.8,,105229929.92,,276004123.9,,,9810490004.64,,,,4860495223.26,926538740.33,93019472.64,186633462.97,,,,,,129451412.38,,4415876133.23,,2575545.29,,,,-468000000.0,,,0.0,,,,,,49706445.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072828800,,1214374.4,-8846800.0,,4701359103.82,,,-91939.59,269464752.24,58249889.43,,,973494528.5,-7165073.12,57078249.53,-178179063.04,,,290874203.32,269351124.18,,162206355.04,,-2664456556.71,,8670928242.49,268024928.59,,160000000.0,-1478383770.29,0.0,2261274527.29,0.0,-2216257998.03,,4776800395.84,268024928.59,269464752.24,,169207751.27,1744794955.61,8670928242.49,968784720.92,,25026829.8,1395849444.0,799576969.65,,,50284776.81,822599649.41,,-178271002.63,1395849444.0,6384672633.46,,-1622000000.0,,9028049.42,-218620845.38,160000000.0,,,269351124.18,10561040095.7,968784720.92,,830366745.19,,,350015613.4,1680000000.0,968784720.92,,2103180916.65,,968784720.92,,,302400.0,268024928.59,-205529.48,,853295207.3,573015030.06,5800579701.15,57078249.53,,922195306.2,,,-604306602.4,2103180916.65,565890614.8,0.083863,968784720.92,449698470.26,268024928.59,-41498244.37,3114569734.59,,11325900.9,-8746800.0,968784720.92,,5762374.74,,-192813554.29,60950567.64,0.083863,10211024482.3,,894379009.36,-40317356.78,1023779305.31,477901858.68,542270658.17,247106386.08,-1519882014.66,5800579701.15,10211024482.3,,100000.0,0.0,4776800395.84,1023779305.31,453080558.36,403596737.04,,4639877677.85,,,,218154022.36,247106386.08,4701359103.82,10561040095.7,2491325.98,264476130.39,1680000000.0,-205123683.88,-390000000.0,1187405566.3,973494528.5,0.0,542270658.17,0.0,68736223.68,,350015613.4,50284776.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080691200,,,4670000.0,,,,,-4151352.06,,,0.014915,,501955408.8,,0.0,-1375094395.49,,,110005143.63,104934487.02,,55346729.58,,,,9509622544.4,261002627.0,,160000000.0,,7500000.0,673700410.65,0.0,,,,,263915548.56,,216010827.84,,,,,8737985.42,1501283209.0,968784720.92,,,,,0.014915,-1379245747.55,,,,,,,,,,,104934487.02,11790932666.92,,,,,,331951126.21,3150000000.0,1184795548.76,,,,1184795548.76,,,31900.0,,652186.84,,358398262.5,,6298225548.88,,,,,,-1497320870.29,1751443214.25,,,,164675143.94,261002627.0,,1032098673.15,,-2247786.67,,1184795548.76,,,,-798288011.34,1534509.62,,,,,-31059408.53,,174742045.47,,352040873.1,,,11458981540.71,,,,5745487508.0,552738040.88,165351873.21,193723118.56,,,,,,139195200.46,,5421035170.7,,1582502.39,,,,-802000000.0,,,0.0,,,,,,50782632.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1088553600,,,-8136306.32,,,,,-7377569.73,,,,,1049285000.0,,0.0,92446664.95,,,223565860.11,209815003.2,,83745641.25,,,,10123366314.21,255614262.58,,160000000.0,,0.0,889980799.79,0.0,,,,,261459806.83,,657690738.6,,,,,9050157.29,2273627871.0,1184795548.76,,,,,,85069095.22,,,,,,,,,,,209815003.2,13228829977.31,,,,,,335285084.8,3239000000.0,1842486287.36,,,,1842486287.36,,,18977901.4,,5011850.66,,550453330.4,,7503779199.96,,,,,,-170643407.51,1756902685.04,,,,323688716.5,255614262.58,,1440434130.19,,-19534639.63,,1842486287.36,,,,-651693095.51,22826541.88,,,,,-128979115.27,,331409957.68,,334493087.6,,,12893544892.51,,,,6412383383.79,1091395816.17,307311501.36,226764613.9,,,,,,142711420.21,,5639627973.1,,-15864424.66,,,,-199926698.71,,,0.0,,,,,,42110816.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096502400,,,-26840321.4,,,,,-8399804.14,,,0.009723,,2965701944.44,,64193405.37,77959196.94,,,65030571.92,70352627.24,,45689387.68,,,,11013097092.33,252169949.64,,60000000.0,,1500000.0,670375114.01,0.0,,,,,187619707.09,,1369486230.54,,,,,9777077.76,2273627871.0,1842486287.36,,,,,0.009723,69559392.8,,,,,,,,,,,70352627.24,15849790589.33,,,,,,354213947.63,2806000000.0,3211972517.9,,,,3211972517.9,,,3736065.43,,1990714.71,-3900000.05,345555555.33,,10058256058.31,,,,,,-4709262.36,1732259510.37,,,,106930191.0,252169949.64,,1015930669.34,,-3726160.04,,3211972517.9,,,,-889138227.96,286325.56,,,,,-61224137.52,,122487752.07,,404845714.84,,,15495576641.7,,,,7062985514.8,2995270543.51,110719959.6,238625364.33,,,,,,182401227.74,,5709933782.08,,4747282.72,,,,-852807656.22,,,0.0,,,,,,29568599.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104451200,,21909624.84,-17129488.09,,6202198786.7,,,-14095342.77,375047445.81,37530869.95,,-449217807.64,2895091009.41,-458870205.43,0.0,2253278875.57,,,514052144.07,492904137.62,,162893767.59,,-1576469460.58,,10545591392.27,231425594.55,,320200000.0,1048590341.97,-8000000.0,3063313220.02,0.0,44109063.31,,6283755633.29,231425594.55,375047445.81,,-79972996.27,2395780282.36,10545591392.27,3131999521.63,,9965649.48,2273627871.0,3211972517.9,,,51128344.99,1267267624.68,,2239183532.8,2273627871.0,7693149826.83,,-3635599774.24,,15909624.84,2163214800.71,320200000.0,,,492904137.62,15534422529.76,3131999521.63,,1260329245.83,,,368107527.41,795000000.0,3131999521.63,,2424131909.75,,3131999521.63,,,-836241.99,231425594.55,-692309.0,-429317517.91,1141373134.13,692773148.84,9229974987.69,0.0,,1128512657.68,,,1716782603.47,2424131909.75,912653719.73,0.121349,3131999521.63,671973573.24,231425594.55,-34024068.7,4204686354.15,,-433361619.09,-47436115.81,3131999521.63,,6968851.53,,762649874.23,530015.32,0.121349,15166315002.35,,1304828967.31,-55989105.38,2946219354.4,686219252.14,878006255.08,414846412.17,1014566273.27,9229974987.69,15166315002.35,,1000000.0,0.0,6283755633.29,2946219354.4,676945911.66,469399560.89,,5297369544.47,,,,228465300.43,414846412.17,6202198786.7,15534422529.76,24911702.39,347675526.1,795000000.0,-277251766.7,-1780865419.31,968784720.92,2895091009.41,0.0,878006255.08,0.0,25177392.38,,368107527.41,51128344.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112227200,,,3786227.37,,,,,-3618322.18,,,0.034815,,3254705050.42,,0.0,-928059063.71,,,248901014.43,251914627.73,,120215113.44,,,,11521818524.81,229265841.3,,320200000.0,,4000000.0,1210684372.5,0.0,,,,,296659346.9,,-970506335.26,,,,,11621294.3,2273749453.0,3131999521.62,,,,,0.034815,-931677385.89,,,,,,,,,,,251914627.73,18099562461.14,,,,,,2061942475.69,1216000000.0,2161493186.36,,,,2161493186.36,,,5227699.74,,894281.91,-558369369.64,679964602.44,,11438241338.23,,,,,,-1206773820.14,2126558165.11,,,,374912927.54,229265841.3,,1890648974.94,,-482509286.67,,2161493186.36,,,,-976227132.54,427271.83,,,,,-54497396.45,,381631704.08,,666761039.9,,,16037619985.45,,,,7772033053.41,3666208284.82,369116127.87,305051674.9,,,,,,205204425.61,,6455235482.91,,74022444.0,,,,-365000000.0,,,0.0,,,,,,39933234.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120089600,,,16570228.16,,,,,-12150836.17,,,,,3453142140.8,,0.0,-26457578.07,,,564291430.33,543137931.48,,171609756.72,,,,13199306565.2,236054201.77,,519150000.0,,16356455.53,1368864106.29,0.0,,,,,252575582.94,,-212947430.32,,,,,7053737.93,3410971780.0,2161493186.36,,,,,,-38608414.24,,,,,,,,,,,543137931.48,18878575570.48,,,,,,2083502819.33,1176000000.0,1948545756.05,,,,1948545756.05,,,,,4607080.31,43081041.74,1085062442.68,,11981506045.75,,,,,,-627503789.77,2209822482.21,,,,764563976.21,236054201.77,,2453926548.97,,-35328411.89,,1948545756.05,,,,-1674480969.68,9919015.06,,,,,-340432268.96,,747562005.29,,868801900.43,,,16795072751.15,,,,8116669125.42,3864836920.33,735901187.05,320498466.47,,,,,,181694999.46,,6657719739.15,,-61014330.9,,,,-567000000.0,,,0.0,,,,,,40124779.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1128038400,,,9939297.47,,,,,-13670741.07,,,0.010343,,3443255060.46,,0.0,482614570.61,,,75901353.46,76740567.68,,71457224.96,,,,14842914142.5,242150457.3,,612450000.0,,9939297.47,702043773.85,0.0,,,,,198125954.74,,675594174.02,,,,,9147720.09,3411020331.0,1948545756.05,,,,,0.010343,468943829.54,,,,,,,,,,,76740567.68,21198362006.55,,,,,,2076594349.69,1325000000.0,2624139930.07,,,,2624139930.07,,,,,17703178.87,33151604.61,522346834.0,,14189525659.61,,,,,,342173391.76,2148584528.09,,,,208075284.1,242150457.3,,1224390607.85,,27145215.38,,2624139930.07,,,,-1646614648.01,17718203.58,,,,,-95814280.64,,174209477.38,,945542468.11,,,19121767656.86,,,,10267279550.34,3922246109.27,147358578.42,314271549.9,,,,,,246666369.22,,6738773513.11,,3465909.84,,,,-597250000.0,,,0.0,,,,,,20412684.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135987200,,183101725.25,-21295753.0,,8309602557.04,,,-17999652.78,377307701.04,38351773.11,,-523604081.0,2079651829.44,-377757218.51,0.0,1315341205.82,,,544331913.62,478569689.89,,179473854.02,,-2414224908.84,,14849481106.68,236403799.71,,662980000.0,843439134.65,-21295753.0,3603328403.41,0.0,-749345990.17,,10859763002.48,236403799.71,377307701.04,,624894780.32,3686501910.56,14849481106.68,3249034710.39,,10529020.79,3722687670.0,2624139930.07,,,43180137.39,2058996619.32,,1297341553.04,3722687670.0,10571422566.61,,-2313450000.0,,84384154.25,117035188.76,662980000.0,,,478569689.89,21992392061.3,3249034710.39,,1976181660.98,,,2107465973.06,900000000.0,3249034710.39,,3322616992.0,,3249034710.39,,,180201725.25,236403799.71,46484213.5,-41467357.71,1399128031.44,986158549.67,13411168833.23,0.0,,1627505291.24,,,742758227.98,3322616992.0,1433425711.84,0.165336,3249034710.39,711444431.47,236403799.71,-47439552.2,5002456434.85,,112935264.67,9000000.0,3249034710.39,,69688754.59,,1883097841.39,-11224083.3,0.165336,19884926088.24,,2084222188.68,-109553697.9,2551405830.75,780819001.93,1350362816.78,613894467.92,795999582.45,13411168833.23,19884926088.24,,9000000.0,0.0,10859763002.48,2551405830.75,723805767.64,687683599.97,,6884920656.05,,,,352592755.38,613894467.92,8309602557.04,21992392061.3,67910131.31,542755949.14,900000000.0,-600297643.95,-784200000.0,3131999521.63,2079651829.44,0.0,1350362816.78,0.0,16840407.17,,2107465973.06,43180137.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1143763200,,,106249300.69,,,,,-9682269.83,,,0.044713,,1126969537.36,,0.0,-1722876262.04,,,389056646.94,388179405.16,,180479964.05,,,,16633484314.59,343575799.98,,911105000.0,,106249300.69,1405011401.0,1009053.86,,,,,276864252.4,,-369201976.92,,,,,10274102.14,3936964741.0,3249034710.39,,,,,0.044713,-1732558531.87,,,,,,,,,,,388179405.16,24272615067.47,,,,,,2190891045.51,3030000000.0,2879832733.47,,,,2880841787.33,,,227281271.7,,11878093.16,-713204317.84,881920124.95,,14060682309.87,,,,,,-2107834785.18,2973502375.24,,,,539254869.66,343575799.98,,2286931525.95,,-495431633.34,,2879832733.47,,,,-1784003207.91,11450728.41,,,,,-41545841.59,,591688806.29,,1002073873.08,,,22081724021.96,,,,12833694414.73,1226987895.14,569536610.99,342665255.29,,,,,,206377789.62,,9451569345.94,,7515527.46,,,,-751326434.71,,,0.0,,,,,,43014493.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1151625600,,,430046932.0,,,,,-34756315.83,,,,,3466928051.12,,0.0,-1475862494.03,,,837906382.73,832616483.19,,364916625.53,,,,20283042598.73,419568374.62,,1597540000.0,,430046932.0,2558526343.49,1009053.86,,,,,294116567.0,,547040618.56,,,,,14375249.9,3969898751.0,2879832733.47,,,,,,-1510618809.86,,,,,,,,,,,832616483.19,28727821155.28,,,,,,2192860408.98,1992756000.0,3426873352.03,,,,3427882405.89,,,75265246.02,,7909077.85,-43172038.81,1783722368.29,,17110819170.25,,,,,,-2294793419.74,3836619054.56,,,,1211229385.81,419568374.62,,4342248711.78,,18246131.68,,3426873352.03,,,,-3649558284.14,-33113368.75,,,,,-143454665.63,,1225107336.01,,1834690356.27,,,26534960746.3,,,,13536173726.73,3574645443.52,1202823008.26,572492982.48,,,,,,318363792.47,,10402888162.81,,12822486.21,,,,-1078833125.29,,,0.0,,,,,,50713528.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159574400,,,413913190.0,,,,,-45471402.5,,,0.015777,,5660258603.24,,0.0,-1104530092.94,,,136772850.12,138218691.62,,58177131.98,,,,29828830859.92,459356522.02,,2001370000.0,,,1161856235.81,1009053.86,,,,,254405741.97,,2033115825.57,,,,0.0,4715741.63,3969898751.0,3426873352.03,,,,,0.015777,-1150001495.44,,,,,,,,,,,138218691.62,42245109714.16,,,,,,3601143603.51,5541696000.0,5459989177.6,,,,5460998231.46,,,334921.68,,38094944.33,-454891334.63,682603000.07,,30469722339.52,,,,,,-1275440980.68,4170907883.05,,,,249639838.16,459356522.02,,1844459235.88,,-485493057.65,,5459989177.6,,,,-9545788261.19,13647868.6,,,,,-580767653.45,,237760668.06,,1377424235.24,,,38643966110.65,,,,24709113071.51,5760609268.01,194949982.1,432963161.91,,,0.0,,,322945200.41,,9948029805.13,,14458664.03,,,,-819518689.24,,,0.0,,,,,,43346800.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
