date,annualChangesInAccountReceivables,annualInterestExpense,trailingBeginningCashPosition,trailingInterestExpense,trailingChangesInAccountReceivables,quarterlyDilutedEPS,annualBeginningCashPosition,quarterlyChangesInAccountReceivables,trailingChangeInCashSupplementalAsReported,annualSellingGeneralAndAdministration,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,annualNetIncomeCommonStockholders,annualDeferredIncomeTax,quarterlyBeginningCashPosition,quarterlyCapitalStock,annualRepaymentOfDebt,trailingRepurchaseOfCapitalStock,quarterlyChangeInAccountPayable,annualDilutedAverageShares,quarterlyAccountsPayable,trailingRepaymentOfDebt,quarterlyGainsLossesNotAffectingRetainedEarnings,annualChangeInCashSupplementalAsReported,quarterlyNetOtherInvestingChanges,quarterlyBasicAverageShares,trailingNetIncomeCommonStockholders,trailingDeferredIncomeTax,annualTaxProvision,quarterlyStockholdersEquity,trailingNetOtherFinancingCharges,annualCurrentDebt,quarterlyRepaymentOfDebt,annualTotalRevenue,annualCapitalStock,quarterlyTaxProvision,annualNetOtherFinancingCharges,annualFreeCashFlow,quarterlyOtherNonCashItems,trailingDepreciationAndAmortization,trailingTaxProvision,trailingOtherNonCashItems,trailingNetIncomeContinuousOperations,quarterlyCashFlowFromContinuingFinancingActivities,trailingPurchaseOfBusiness,quarterlyOperatingIncome,quarterlyChangeInWorkingCapital,quarterlyOtherShortTermInvestments,annualBasicAverageShares,annualChangeInWorkingCapital,annualNonCurrentDeferredTaxesLiabilities,annualNetIncomeContinuousOperations,quarterlyCommonStockIssuance,quarterlyDeferredIncomeTax,annualPurchaseOfBusiness,quarterlyRetainedEarnings,trailingFreeCashFlow,trailingSellingGeneralAndAdministration,quarterlyIncomeTaxPayable,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,trailingNetIncome,annualTotalLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyLongTermDebt,trailingPurchaseOfInvestment,annualCashDividendsPaid,trailingCashDividendsPaid,annualPurchaseOfInvestment,annualPretaxIncome,quarterlyTotalAssets,annualAccountsReceivable,annualLongTermDebt,annualNetIncome,quarterlyAccountsReceivable,annualBasicEPS,quarterlyDilutedAverageShares,trailingInvestingCashFlow,annualGoodwill,annualSaleOfInvestment,annualIncomeTaxPayable,quarterlyChangeInCashSupplementalAsReported,quarterlyInvestmentsAndAdvances,annualStockholdersEquity,annualOtherNonCashItems,trailingChangeInWorkingCapital,quarterlyNetIncome,quarterlyGoodwill,quarterlyBasicEPS,annualTotalAssets,annualCashFlowFromContinuingFinancingActivities,annualDepreciationAndAmortization,trailingSaleOfInvestment,annualRetainedEarnings,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,annualInvestingCashFlow,annualEndCashPosition,trailingChangeInAccountPayable,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyNetIncomeCommonStockholders,quarterlyOtherIncomeExpense,trailingOperatingCashFlow,trailingTotalRevenue,annualOperatingIncome,quarterlyCashDividendsPaid,annualOtherIncomeExpense,quarterlyEndCashPosition,annualAccountsPayable,annualOtherShortTermInvestments,quarterlyOtherIntangibleAssets,quarterlyInvestingCashFlow,annualOperatingCashFlow,annualCommonStockIssuance,quarterlyDepreciationAndAmortization,trailingEndCashPosition,quarterlyCurrentDebt,annualChangeInAccountPayable,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,annualOtherIntangibleAssets,trailingCashFlowFromContinuingFinancingActivities,annualDilutedEPS,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,annualInvestmentsAndAdvances,trailingNetOtherInvestingChanges,quarterlyFreeCashFlow,annualRepurchaseOfCapitalStock,annualGainsLossesNotAffectingRetainedEarnings,annualCashAndCashEquivalents,annualCashCashEquivalentsAndMarketableSecurities,annualNetOtherInvestingChanges,trailingPretaxIncome,annualResearchAndDevelopment,trailingBasicAverageShares,annualCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,trailingStockBasedCompensation,annualTotalNonCurrentAssets,quarterlyChangeInInventory,quarterlyGrossPPE,annualOtherNonCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInventory,quarterlyStockBasedCompensation,annualNetPPE,annualCostOfRevenue,annualOtherCurrentLiabilities,trailingCapitalExpenditure,annualOtherCurrentAssets,annualCurrentAccruedExpenses,quarterlyCurrentLiabilities,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualInventory,trailingCostOfRevenue,annualCurrentAssets,trailingChangeInInventory,quarterlyEbitda,annualCurrentLiabilities,quarterlyOtherNonCurrentLiabilities,trailingDilutedEPS,quarterlyCurrentAssets,quarterlyCapitalExpenditure,annualEbitda,annualOperatingExpense,annualGrossProfit,annualOtherNonCurrentLiabilities,annualStockBasedCompensation,trailingBasicEPS,quarterlyCostOfRevenue,trailingResearchAndDevelopment,quarterlyNetPPE,quarterlyOtherCurrentAssets,trailingGrossProfit,trailingCommonStockIssuance,quarterlyOtherCurrentLiabilities,quarterlyGrossProfit,quarterlyOperatingExpense,annualChangeInInventory,quarterlyTotalNonCurrentAssets,quarterlyOtherNonCurrentAssets,annualNonCurrentDeferredRevenue,annualAccumulatedDepreciation,annualCapitalExpenditure,trailingOtherIncomeExpense,quarterlyCurrentAccruedExpenses,trailingOperatingIncome,quarterlyCurrentDeferredRevenue,trailingOperatingExpense,annualGrossPPE,quarterlyAccumulatedDepreciation,quarterlyResearchAndDevelopment,trailingDilutedAverageShares
1997-03-31,,,,,,0.45,,-27400000.0,,,1480400000.0,-74700000.0,,,93500000.0,7100000.0,,,-6100000.0,,,,1200000.0,,-8500000.0,174511828.0,,,,2272000000.0,,,,,,,,,114800000.0,,,,,-79800000.0,,,-62000000.0,,,,,,5400000.0,,,1144100000.0,,,,,0.0,,,214400000,129900000.0,,,,,,,4713300000.0,,,,98000000.0,,174511828.0,,,,,-5900000.0,,,,,77900000,,0.46,,,,,,19300000.0,77900000,,,,,,,77900000,55800000.0,,,,-10400000.0,,87600000.0,,,199200000.0,-56100000.0,,,900000.0,,,,,-1528000000.0,,,,-69400000.0,2441300000.0,,,129900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-06-30,,,,,,0.77,,-66600000.0,,,1654700000.0,-93200000.0,,,87600000.0,6900000.0,,,-14600000.0,,,,700000.0,,16800000.0,16972925.0,,,,2441200000.0,,,,,,,,,72400000.0,,,,,-103100000.0,,,-159900000.0,,,,,,400000.0,,,1198900000.0,,,,,0.0,,,268900000,40700000.0,,,,,,,4895500000.0,,,,164300000.0,,16972925.0,,,,,9400000.0,,,,,130000000,,0.77,,,,,,16800000.0,130000000,,,,,,,130000000,105300000.0,,,,-10300000.0,,97000000.0,,,197900000.0,71800000.0,,,1800000.0,,,,,-1599700000.0,,,,0.0,2454300000.0,,,40700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-09-30,-50800000.0,,,,,,53374000.0,20100000.0,,66391000.0,1775097000.0,-48000.0,461354000.0,,97000000.0,6911000.0,,,2100000.0,173607705.0,63014000.0,,197049000.0,52962000.0,31076000.0,,,,,2619194000.0,,,,1010643000.0,6911000.0,,0.0,282123000.0,-217911000.0,,,,,-11929000.0,,,116784000.0,364432000.0,172481013.0,-87216000.0,,461354000.0,147000.0,,-27098000.0,1314403000.0,,,,,3302000.0,,2382352000.0,261443000,24723000.0,,,-43028000.0,,-7070607000.0,,5001546000.0,135800000.0,,461354000.0,135800000.0,2.673333,,,196667000.0,7030797000.0,,9362000.0,4289738000.0,2619194000.0,-85911000.0,,127654000,196667000.0,,5001546000.0,-219329000.0,6104000.0,,1314403000.0,14491000.0,127654000,-9832000.0,106336000.0,,,470768000.0,106336000.0,127654000,,,,461354000.0,-12128000.0,,106336000.0,63014000.0,364432000.0,,-3332000.0,282123000.0,6347000.0,1804000.0,,,-23300000.0,,-1812807000.0,,,2.673333,199000.0,2382352000.0,4289738000.0,,24723000.0,-182648000.0,197049000.0,106336000.0,470768000.0,57076000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-12-31,,,,,,0.67,,20300000.0,,,1438200000.0,-76500000.0,,,106300000.0,6800000.0,,,23200000.0,,,,700000.0,,4200000.0,164816294.0,,,,2618600000.0,,,,,,,,,-131800000.0,,,,,-88200000.0,,,71600000.0,,,,,,400000.0,,,1354200000.0,,,,,,,,253700000,51700000.0,,,,,,,4998900000.0,,,,133800000.0,,168849309.0,,,,,17200000.0,,,,,112800000,,0.72,,,,,,17500000.0,112800000,,,,,,,112800000,85900000.0,,,,-12200000.0,,123600000.0,,,195400000.0,53800000.0,,,900000.0,,,,,-1388600000.0,,,,100000.0,2380300000.0,,,51700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-03-31,,,,,,1.41,,-40900000.0,,,2050300000.0,-31100000.0,,,123600000.0,6800000.0,,,-30200000.0,,,,800000.0,,55000000.0,162860328.0,,,,2780900000.0,,,,,,3800000.0,,,-12300000.0,,,,,208000000.0,,,-156400000.0,,,,,,2300000.0,,,1552900000.0,,,,0.0,,,,403500000,63100000.0,250000000.0,,,,,,6993400000.0,,,,189000000.0,,166984716.0,,,,,70600000.0,,,,,236200000,,1.48,,,,,,26600000.0,236200000,,,,,,,236200000,218800000.0,,,,-13000000.0,,194200000.0,,,194100000.0,-200500000.0,,,4400000.0,,,,3900000.0,-1967800000.0,,,,-200000.0,4212500000.0,,,63100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-06-30,,,,,,0.95,,2300000.0,,,2347600000.0,0.0,,,194200000.0,7500000.0,,,-91800000.0,,,,800000.0,,4500000.0,176425058.0,,,,3507600000.0,,,,,,5000000.0,,,76800000.0,,,,,594200000.0,,,-177200000.0,,,,,,607200000.0,,,1708300000.0,,,,0.0,-629800000.0,,,370100000,73100000.0,250000000.0,,,,,,7971500000.0,,,,256600000.0,,181005150.0,,,,,51000000.0,,,,,171500000,,0.96,,,,,,30600000.0,171500000,,,,,,,171500000,157000000.0,,,,-13100000.0,,245100000.0,,,497500000.0,-616400000.0,,,-2000000.0,,,,5000000.0,-2338700000.0,,,,607300000.0,4463900000.0,,,73100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-09-30,-116900000.0,25459000.0,,,,,216191000.0,-98600000.0,,165912000.0,2625115000.0,-44000.0,560151000.0,52240000.0,245100000.0,8066000.0,-385000000.0,,-81300000.0,189240203.0,241425000.0,,-275000.0,101523000.0,-72987000.0,,,,20040000.0,3714270000.0,,,0.0,1406942000.0,8066000.0,12040000.0,0.0,66770000.0,21139000.0,,,,,-14936000.0,,,-227764000.0,480190000.0,184868317.0,-489764000.0,0.0,560151000.0,1197000.0,,-967758000.0,1819554000.0,,,,580191000.0,42000.0,,5074483000.0,379642000,-121130000.0,250000000.0,,-54389000.0,,-8148481000.0,580191000.0,8788753000.0,377300000.0,250000000.0,560151000.0,377300000.0,3.03,,,540355000.0,8461215000.0,,-37277000.0,5726714000.0,3714270000.0,-46161000.0,,39651000,540355000.0,,8788753000.0,699064000.0,9696000.0,,1819554000.0,93512000.0,39651000,-664311000.0,317714000.0,,0.0,797904000.0,317714000.0,39651000,-487059000.0,,,605650000.0,-16089000.0,-25459000.0,317714000.0,241425000.0,480190000.0,,98789000.0,66770000.0,611097000.0,6396000.0,,,-180100000.0,16659000.0,-2453381000.0,,,2.96,1153000.0,5074483000.0,5726714000.0,,-121130000.0,-107644000.0,-275000.0,317714000.0,797904000.0,-9287000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-31,,,,,,1.21,,-128200000.0,,,3062100000.0,,,,317700000.0,8100000.0,,,-31000000.0,,,,,,147700000.0,193642270.0,,,,3909600000.0,,,-250000000.0,,,5300000.0,,,-318500000.0,,,,,-17400000.0,,,23700000.0,,,,,,,-17500000.0,,2040700000.0,,,,0.0,,,,433300000,-71400000.0,250000000.0,,,,,,8834300000.0,,,,347800000.0,,197349356.0,,,,,-77200000.0,,,,,238500000,,1.23,,,,,,41200000.0,238500000,,,,,,,238500000,215300000.0,,,,-17400000.0,,240600000.0,,,535900000.0,11700000.0,,,2400000.0,,,,4700000.0,-3198100000.0,,,,0.0,4924700000.0,,,-71400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-31,,,,,,0.65,,79700000.0,,,4764300000.0,,,,240600000.0,8100000.0,,,25300000.0,,,,,,-22600000.0,193758050.0,,,,3956200000.0,,,0.0,,,5100000.0,,,-127000000.0,,,,,-12500000.0,,,-76600000.0,,,,,,,-900000.0,,2152200000.0,,,,0.0,,,,389000000,-76800000.0,250000000.0,,,,,,8876400000.0,,,,425900000.0,,197180787.0,,,,,25500000.0,,,,,129000000,,0.67,,,,,,54700000.0,129000000,,,,,,,129000000,103700000.0,,,,-17500000.0,,266000000.0,,,538200000.0,114700000.0,,,-1400000.0,,,,4500000.0,-4618000000.0,,,,5000000.0,4920200000.0,,,-76800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-06-30,,,,,,0.35,,-21200000.0,,,6370100000.0,,,,266000000.0,8100000.0,,,91300000.0,,,,,,-115100000.0,193784573.0,,,,3937500000.0,,,0.0,,,4500000.0,,,1000000.0,,,,,386100000.0,,,51300000.0,,,,,,3400000.0,21800000.0,,2200000000.0,,,,0.0,900000.0,,,410400000,147900000.0,650000000.0,,,,,,9667800000.0,,,,459500000.0,,197175514.0,,,,,538400000.0,,,,,69200000,,0.36,,,,,,41100000.0,69200000,,,,,,,69200000,110100000.0,,,,-17400000.0,,804400000.0,,,533600000.0,4500000.0,,,4700000.0,,,,4100000.0,-6251400000.0,,,,403500000.0,5730300000.0,,,147900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-30,,,,,,0.08,,,,,,,,,,8100000.0,,,,,,,,,,194061171.0,,,,3864400000.0,,,,,,6300000.0,,,,,,,,,,,,,,,,,,,,2193500000.0,,,,0.0,,,,1057500000,,1049300000.0,,,,,,29344200000.0,,,,2318800000.0,,196072652.0,,,,,,,,,,14800000,,0.08,,,,,,201300000.0,14800000,,,,,,,14800000,104500000.0,,,,,,,,,2664900000.0,,,,,,1449300000.0,,44100000.0,,,,,,25079800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-31,-33500000.0,105138000.0,,,,,240556000.0,445400000.0,,495236000.0,3503423000.0,,364963000.0,-46853000.0,735800000.0,9061000.0,-198816000.0,,-942600000.0,197277297.0,3420681000.0,,-66152000.0,358676000.0,84911000.0,,,,28684000.0,4450560000.0,,1074585000.0,-16000.0,3016990000.0,9061000.0,12684000.0,0.0,-460852000.0,330156000.0,,,,,-51310000.0,,,-617556000.0,1192875000.0,194129255.0,-441256000.0,,364963000.0,123000.0,-56353000.0,-2679216000.0,2321570000.0,,,,393647000.0,-86616000.0,,25672328000.0,1160090000,-175452000.0,1424228000.0,,-77836000.0,,-18361280000.0,393647000.0,30122888000.0,2018800000.0,1424228000.0,364963000.0,2018800000.0,1.88,,,2822718000.0,19412623000.0,,-136524000.0,11975992000.0,4450560000.0,-374344000.0,,152063000,2822718000.0,,30122888000.0,2379090000.0,45350000.0,,2321570000.0,198136000.0,152063000,-1559562000.0,599232000.0,,,1792107000.0,599232000.0,152063000,-423538000.0,,,498785000.0,-21636000.0,-105138000.0,599232000.0,3420681000.0,1192875000.0,,90238000.0,-460852000.0,6823000.0,24950000.0,,1074585000.0,-751200000.0,52438000.0,-3411480000.0,,,1.85,-699677000.0,25672328000.0,11975992000.0,,-175452000.0,0.0,-66152000.0,599232000.0,1792107000.0,68311000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-31,,,,,,0.8,,39710000.0,,,3296790000.0,,,,599232000.0,9038000.0,,,-750328000.0,,2727272000.0,,-81841000.0,,8877000.0,218141250.0,,,,4568394000.0,,,-605530000.0,,,33000000.0,,,1252147000.0,,,,,-39880000.0,,264702000.0,-1526613000.0,937539000.0,,,,,559000.0,-4094000.0,,2472224000.0,,,,207513000.0,0.0,,,1344481000,-84008000.0,1424228000.0,,,,,,30245298000.0,,,,2321072000.0,,218141250.0,,,,,208689000.0,11592182000.0,,,,174513000,2806044000.0,0.8,,,,,,194008000.0,174513000,,,,,1745460000.0,807921000.0,174513000,-57189000.0,,,,-23917000.0,,807921000.0,,,,332577000.0,,,19646000.0,,758063000.0,,57189000.0,-2973090000.0,,,,0.0,25676904000.0,,,-84008000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-06-30,,,,,,0.49,,137062000.0,,,2846975000.0,,,,807921000.0,9069000.0,,,17319000.0,,2709392000.0,,-145221000.0,,-16723000.0,227856000.0,,,,4589051000.0,,,-406212000.0,,,16919000.0,,,-553829000.0,,,,,-125273000.0,,184794000.0,271177000.0,1098952000.0,,,,,6053000.0,31978000.0,,2552532000.0,,,,130847000.0,0.0,,,1318821000,-119869000.0,1424228000.0,,,,,,30204848000.0,,,,2249002000.0,,232506122.0,,,,,-123344000.0,11344098000.0,,,,113928000,2877449000.0,0.5,,,,,,182864000.0,113928000,,,,,1783529000.0,684577000.0,113928000,-53947000.0,,,,-26286000.0,,684577000.0,,,,121798000.0,,,19324000.0,,351851000.0,,53947000.0,-2708454000.0,,,,301172000.0,25615797000.0,,,-119869000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-30,,,,,,0.58,,-703762000.0,,,2745831000.0,,,,684577000.0,9660000.0,,,-181848000.0,,2532233000.0,,-23159000.0,,-905000.0,234588333.0,,,,5240505000.0,,,0.0,,,24432000.0,,,542755000.0,,,,,400770000.0,,220593000.0,-865916000.0,1362712000.0,,,,,409872000.0,-4822000.0,,2656608000.0,,,,165185000.0,0.0,,,1359569000,-170641000.0,1424228000.0,,,,,,31532100000.0,,,,2159443000.0,,242677586.0,,,,,-67606000.0,12662080000.0,,,,140753000,2857528000.0,0.6,,,,,,177912000.0,140753000,,,,,1979683000.0,616971000.0,140753000,-55408000.0,,,,-34711000.0,,616971000.0,,,,-297735000.0,,,19919000.0,,377466000.0,,55408000.0,-3042661000.0,,,,-6000.0,26291595000.0,,,-170641000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-31,141298000.0,221450000.0,,,,,599232000.0,668288000.0,,742691000.0,3494450000.0,,542982000.0,33827000.0,616971000.0,9681000.0,-1024699000.0,,125814000.0,235057143.0,2635540000.0,,69454000.0,8837000.0,-39476000.0,,,,93908000.0,5420211000.0,,364509000.0,-12957000.0,5266657000.0,9681000.0,19557000.0,301166000.0,-427172000.0,-1096200000.0,,,,,-33351000.0,,188251000.0,901055000.0,1369784000.0,229106329.0,-1220297000.0,,542982000.0,16405000.0,10765000.0,0.0,2733633000.0,,,,133345000.0,0.0,,26269315000.0,1243786000,-52654000.0,1424228000.0,,-121713000.0,,-12102076000.0,636890000.0,31689526000.0,11479509000.0,1424228000.0,542982000.0,11479509000.0,2.37,,,2846709000.0,12384046000.0,,-8902000.0,12623139000.0,5420211000.0,144873000.0,,113788000,2846709000.0,,31689526000.0,202266000.0,78820000.0,,2733633000.0,187907000.0,113788000,233743000.0,608069000.0,,,1977853000.0,608069000.0,113788000,-54906000.0,,,858340000.0,-36799000.0,-221450000.0,608069000.0,2635540000.0,1369784000.0,,77103000.0,-427172000.0,432889000.0,19931000.0,,364509000.0,-789043000.0,54906000.0,-3377871000.0,,,2.31,0.0,26269315000.0,12623139000.0,,-52654000.0,0.0,69454000.0,608069000.0,1977853000.0,-48227000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-03-31,,,,,,0.46,,112024000.0,,,4144500000.0,-35280000.0,,,608069000.0,9641000.0,,,1535000.0,,2623832000.0,,125287000.0,,-28220000.0,246654167.0,,,,5506816000.0,,,,,,26974000.0,,,142457000.0,,,,,-54832000.0,,222362000.0,119324000.0,1068918000.0,,,,,9755000.0,-7750000.0,,2792451000.0,,,,168038000.0,,,,1554171000,388679000.0,1424383000.0,,,,,,32889473000.0,,,,12035175000.0,,257378261.0,,,,,75003000.0,12885413000.0,,,,118394000,2827039000.0,0.48,,,,,,193293000.0,141064000,,,,,1751990000.0,683072000.0,118394000,-54324000.0,,,,-36410000.0,,683072000.0,,,,-258844000.0,,,19880000.0,,371612000.0,,54324000.0,-4375124000.0,,,,0.0,27382657000.0,,,388679000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-30,,,,,,0.52,,16848000.0,,,3376182000.0,-14400000.0,,,683072000.0,9643000.0,,,-20850000.0,,2600203000.0,,56896000.0,,10525000.0,243550000.0,,,,5524838000.0,,,,,,18250000.0,,,-9716000.0,,,,,-9689000.0,,199407000.0,-80956000.0,1015211000.0,,,,,9529000.0,23857000.0,,2873562000.0,,,,149767000.0,,,,1597018000,84666000.0,1424407000.0,,,,,,33007716000.0,,,,12131363000.0,,252917308.0,,,,,-5753000.0,12892168000.0,,,,131517000,2807205000.0,0.54,,,,,,207106000.0,131517000,,,,,1692530000.0,677319000.0,131517000,-49640000.0,,,,-36495000.0,,677319000.0,,,,-80730000.0,,,19872000.0,,403265000.0,,49640000.0,-3467437000.0,,,,0.0,27482878000.0,,,84666000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-30,,,,,,-1.95,,-886253000.0,,,3044013000.0,-129766000.0,,,677319000.0,9433000.0,,,355901000.0,,2965902000.0,,152692000.0,,-26365000.0,226969231.0,,,,5017780000.0,,,,,,-76345000.0,,,979816000.0,,,,,-114661000.0,,-469805000.0,18182000.0,1439235000.0,,,,,7549000.0,-85711000.0,,2320704000.0,,,,-518935000.0,,,,1533495000,487977000.0,1424429000.0,,,,,,34909275000.0,,,,13401045000.0,,226969231.0,,,,,77269000.0,13242877000.0,,,,-442590000,2790986000.0,-1.95,,,,,,207389000.0,-442590000,,,,,2193823000.0,754588000.0,-442590000,-49130000.0,,,,-40625000.0,,754588000.0,,,,-296047000.0,,,19912000.0,,451470000.0,,49130000.0,-3313695000.0,,,,0.0,29891495000.0,,,487977000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-31,-449585000.0,199182000.0,,,,,608069000.0,307796000.0,,830003000.0,4418654000.0,0.0,-146414000.0,-118058000.0,754588000.0,10828000.0,0.0,,-175940000.0,197856757.0,2884128000.0,,101599000.0,63312000.0,22084000.0,,,,-78674000.0,6106707000.0,,495408000.0,,6644687000.0,10828000.0,-47553000.0,0.0,1353005000.0,264291000.0,,,,,1076087000.0,,44800000.0,106527000.0,1796801000.0,197856757.0,163077000.0,,-123744000.0,1147785000.0,-48454000.0,0.0,2321576000.0,,,,-1288000.0,,,31080057000.0,1960003000,391683000.0,1349473000.0,,-154411000.0,,-17147971000.0,-202418000.0,37186764000.0,14162732000.0,1349473000.0,-146414000.0,14162732000.0,-0.74,,,2772094000.0,14983349000.0,,-83207000.0,15264532000.0,6106707000.0,1376848000.0,,46265000,2772094000.0,,37186764000.0,896905000.0,79571000.0,,2321576000.0,222215000.0,46265000,-2186598000.0,671381000.0,,,2468182000.0,671381000.0,46265000,-46088000.0,,,-3236000.0,-40881000.0,-199182000.0,671381000.0,2884128000.0,1796801000.0,,-1550977000.0,1353005000.0,1174618000.0,19907000.0,,495408000.0,160646000.0,46088000.0,-5991715000.0,,,-0.74,0.0,31080057000.0,15264532000.0,,391683000.0,-179446000.0,101599000.0,671381000.0,2468182000.0,-21976000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-31,,,,,,0.7,,-80946000.0,,,3786643000.0,0.0,,,671381000.0,10912000.0,,,179226000.0,,3070273000.0,,16546000.0,,40225000.0,267304054.0,,,,6203925000.0,,,,,,23916000.0,,,375789000.0,,,,,391582000.0,,267723000.0,-461964000.0,1401308000.0,,,,,33900000.0,24429000.0,,2473681000.0,,,,221721000.0,,,,1537863000,143857000.0,1848641000.0,,,,,,38487288000.0,,,,14767456000.0,,282578571.0,,,,,148628000.0,14951524000.0,,,,197805000,2772276000.0,0.74,,,,,,196204000.0,197805000,,,,,2221317000.0,820009000.0,197805000,-46002000.0,,,,-45394000.0,,820009000.0,,,,-386811000.0,,,0.0,,399329000.0,,46002000.0,-4213679000.0,,,,0.0,32283363000.0,,,143857000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-06-30,,,,,,0.36,,331131000.0,,,4811295000.0,0.0,,,820009000.0,10927000.0,,,99699000.0,,3327941000.0,,123506000.0,,-34819000.0,280810811.0,,,,6383807000.0,,,,,,20676000.0,,,-1028642000.0,,,,,-463106000.0,,176528000.0,1326909000.0,1774437000.0,,,,,7384000.0,15306000.0,,2526584000.0,,,,124576000.0,,,,1624722000,427238000.0,1798803000.0,,,,,,39323216000.0,,,,15066805000.0,,288611111.0,,,,,57770000.0,15070081000.0,,,,103900000,2716513000.0,0.37,,,,,,229726000.0,103900000,,,,,2652216000.0,877779000.0,103900000,-12068000.0,,,,-45700000.0,,877779000.0,,,,93638000.0,,,0.0,,224364000.0,,51952000.0,-4628110000.0,,,,-200000000.0,32939409000.0,,,427238000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-09-30,,,,,,-0.24,,282763000.0,,,3230437000.0,0.0,,,877779000.0,10937000.0,,,44647000.0,,3309367000.0,,284805000.0,,-116637000.0,235458333.0,,,,6447518000.0,,,,,,-7334000.0,,,508035000.0,,,,,-298346000.0,,-15165000.0,589132000.0,2649308000.0,,,,,6911000.0,-30646000.0,,2419034000.0,,,,-63844000.0,348000.0,,,1876005000,1020812000.0,1748869000.0,,,,,,40829785000.0,,,,15337521000.0,,235458333.0,,,,,-228005000.0,16554908000.0,,,,-56510000,2716860000.0,-0.24,,,,,,250668000.0,-56510000,,,,,3299082000.0,649774000.0,-56510000,-14032000.0,,,,-50998000.0,,649774000.0,,,,-950471000.0,,,0.0,,220280000.0,,48679000.0,-4064619000.0,,,,-200000000.0,34382267000.0,,,1020812000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
