,trailingCapitalExpenditure,quarterlySaleOfInvestment,trailingOperatingExpense,annualCurrentAssets,quarterlyGrossPPE,annualOtherNonCurrentAssets,trailingSellingGeneralAndAdministration,annualOperatingExpense,annualSellingGeneralAndAdministration,annualCapitalExpenditure,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,trailingInterestExpense,quarterlyNetOtherInvestingChanges,trailingNetIncomeContinuousOperations,trailingBeginningCashPosition,quarterlyNonCurrentDeferredRevenue,trailingNetIncomeCommonStockholders,trailingNetOtherFinancingCharges,annualOtherCurrentLiabilities,annualNetIncomeCommonStockholders,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,annualEbitda,quarterlyEbitda,quarterlyStockholdersEquity,quarterlyGrossProfit,annualNetOtherFinancingCharges,quarterlyEndCashPosition,quarterlyOperatingExpense,quarterlyBasicEPS,quarterlyInvestingCashFlow,annualInterestExpense,quarterlyBasicAverageShares,annualResearchAndDevelopment,annualOtherCurrentAssets,annualCostOfRevenue,trailingFreeCashFlow,annualGrossProfit,annualTotalNonCurrentAssets,quarterlySellingGeneralAndAdministration,annualBasicAverageShares,quarterlyNonCurrentDeferredTaxesLiabilities,annualTaxProvision,quarterlyTaxProvision,quarterlyRetainedEarnings,annualChangeInInventory,annualTotalLiabilitiesNetMinorityInterest,quarterlyPretaxIncome,quarterlyCurrentAssets,quarterlyNetPPE,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPurchaseOfBusiness,quarterlyRepaymentOfDebt,trailingCostOfRevenue,annualNetIncomeContinuousOperations,annualOtherNonCashItems,annualPurchaseOfBusiness,quarterlyOperatingIncome,quarterlyTotalRevenue,trailingTaxProvision,quarterlyCapitalExpenditure,annualNetIncome,annualBeginningCashPosition,annualFreeCashFlow,annualCurrentDebt,annualCashDividendsPaid,quarterlyOperatingCashFlow,quarterlyOtherCurrentLiabilities,annualAccountsReceivable,quarterlyLongTermDebt,annualInvestingCashFlow,annualPurchaseOfInvestment,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,trailingInvestingCashFlow,annualNonCurrentDeferredRevenue,trailingPretaxIncome,trailingCashDividendsPaid,annualTotalAssets,annualNonCurrentDeferredTaxesLiabilities,trailingSaleOfInvestment,quarterlyResearchAndDevelopment,quarterlyDilutedEPS,annualLongTermDebt,annualStockholdersEquity,trailingPurchaseOfInvestment,trailingNetIncome,trailingNetOtherInvestingChanges,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyCostOfRevenue,quarterlyAccountsReceivable,annualDepreciationAndAmortization,quarterlyGoodwill,annualChangeInWorkingCapital,annualCurrentLiabilities,annualRetainedEarnings,annualDilutedAverageShares,annualInventory,annualGoodwill,annualSaleOfInvestment,annualOtherShortTermInvestments,quarterlyInventory,annualCommonStockIssuance,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOperatingCashFlow,trailingOperatingIncome,annualAccountsPayable,quarterlyCashAndCashEquivalents,annualOperatingIncome,trailingGrossProfit,annualCapitalStock,quarterlyCashDividendsPaid,trailingResearchAndDevelopment,annualTotalRevenue,annualOtherIntangibleAssets,annualNetPPE,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingRepaymentOfDebt,annualCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyBeginningCashPosition,annualDilutedEPS,trailingTotalRevenue,annualEndCashPosition,annualBasicEPS,quarterlyDilutedAverageShares,annualNetOtherInvestingChanges,quarterlyFreeCashFlow,trailingChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentAssets,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,annualGrossPPE,annualCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyNetIncomeCommonStockholders,quarterlyTotalLiabilitiesNetMinorityInterest,trailingEndCashPosition,annualOtherNonCurrentLiabilities,annualPretaxIncome,quarterlyOtherIntangibleAssets,quarterlyNetOtherFinancingCharges,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,trailingRepurchaseOfCapitalStock,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,trailingDeferredIncomeTax,annualDeferredIncomeTax,quarterlyChangeInWorkingCapital,trailingChangeInAccountPayable,annualStockBasedCompensation,quarterlyOtherIncomeExpense,trailingOtherNonCashItems,quarterlyOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,annualCashFlowFromContinuingFinancingActivities,annualCurrentAccruedExpenses,quarterlyRepurchaseOfCapitalStock,annualChangesInAccountReceivables,trailingOperatingCashFlow,annualInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,trailingBasicEPS,trailingBasicAverageShares,trailingStockBasedCompensation,quarterlyDeferredIncomeTax,annualCurrentDeferredRevenue,trailingChangeInWorkingCapital,trailingChangesInAccountReceivables,annualRepurchaseOfCapitalStock,annualAccumulatedDepreciation,annualGainsLossesNotAffectingRetainedEarnings,trailingCommonStockIssuance,trailingCashFlowFromContinuingFinancingActivities,trailingChangeInInventory,trailingPurchaseOfBusiness,quarterlyCurrentDeferredRevenue,annualOtherIncomeExpense,annualChangeInAccountPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,annualIncomeTaxPayable,trailingDepreciationAndAmortization,trailingOtherIncomeExpense,quarterlyChangeInInventory,trailingDilutedAverageShares,quarterlyAccumulatedDepreciation
1341014400,,132108750.0,,,15637706267.15,,,,,,1116059178.14,17449986835.28,,34938525.59,,,,,,,,,,,1120998312.43,24584290058.55,2534558157.62,,10288159465.46,1533620277.03,,-275753398.7,,,,,,,,,1480735950.81,,57649950.35,,188856621.28,19544310125.73,,,1123569573.6,41032098947.8,15637706267.15,27066000943.5,3112411954.23,,-823686034.47,,,,,1000937880.59,13523858835.92,,-672174382.01,,,,,,,1886195143.72,,2910809458.24,,,872175788.51,934712952.32,95452545.64,847685018.81,,,,,,,,,,,,,,,0.0,,10989300678.3,5572766817.95,,537908504.02,,,,,,,,,8538571012.83,,,,,,13007409424.51,,,,-33780649.59,,,,,13007409424.51,,,1666091366.0,9440474446.65,,,,,,,1074937090.32,,100388.88,-2571261.17,-65999492.11,,,1172660032.06,872175788.51,30178412897.73,,,,1168661181.92,-1265000.0,60908502523.59,19876403575.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1348963200,,134433213.04,,,15901344507.27,,,,,,420644872.09,15405724997.85,,0.0,,,,,,,,,,,684737713.11,24867932562.67,1738349482.45,,10597659019.85,1204052958.24,0.065,-266148148.15,,7869481428.0,,,,,,,1172636287.58,,51036034.34,,147309134.61,19522677181.68,,,669778266.38,37993411084.63,15901344507.27,24221514214.62,2950431320.61,,-693896502.27,,,,,534296524.21,9208182614.96,,-351164639.01,,,,,,,1434416465.99,,2712479223.13,,,511516292.85,522469131.77,106667663.14,309499554.39,,,,,,,,,0.065,,,,,,0.0,,7469833132.51,6109934602.1,,537908504.02,,,,,,,,,8000747091.02,,,,,,13281874263.73,,,,-324275973.7,,,,,13281874263.73,,,1999309639.0,10288159465.46,,,,,7869481428.0,,535973569.28,,100644.42,14959446.73,17485524.88,,,1562644835.02,511516292.85,27171945535.23,,,,1156362760.79,94000.0,58110049849.68,20116638765.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1356912000,,67629226.61,,39160133935.98,16705082285.14,100706.28,,5853373626.29,5666144888.07,-2218844620.94,487991597.21,15206731080.24,,36504630.9,,,,,,1205465125.92,2990996934.91,-2550992146.65,781791157.68,5755903913.02,1084401660.95,24869351223.95,2462503786.3,96653931.01,14099151353.22,1856458415.52,,-6539384985.39,316953088.08,,,487991597.21,38775044121.79,,9390350727.84,27160228914.71,1814350822.05,7975991826.0,168154335.44,725547240.05,158981662.0,19737619540.81,2691794937.53,34921127073.19,781936427.8,39160133935.98,16705082285.14,23923775261.96,10997351811.23,,-602574208.12,,3234266548.68,418100911.83,-2070093559.73,606045370.78,11897536614.8,,-550800484.25,2990996934.91,13317360195.54,537323969.14,2742091634.05,-614537678.91,,1205465125.92,4168525397.14,9035739231.96,-7991801397.17,-4454745018.48,582228033.86,622954765.8,1744958243.83,3501492333.37,,,,,66320362850.69,168154335.44,,,,9035739231.96,24869351223.95,,,,52249354.59,137050693.51,9435032828.5,4168525397.14,1479137036.21,1443114787.31,-3055673327.01,23923775261.96,19737619540.81,,7509902216.33,1443114787.31,348396309.65,137050693.51,7509902216.33,79972299.59,10997351811.23,2756168590.08,,15206731080.24,16726970096.0,3536977101.55,,1999309639.0,-214959412.47,,48165394849.63,2591949553.14,16705082285.14,16864020789.51,,16864020789.51,1999309639.0,10597659019.85,0.375,,14099151353.22,0.375,,39334406.49,2422896626.53,,100706.28,302465233.15,-4105908051.25,16705082285.14,16726970096.0,2742091634.05,582228033.86,34921127073.19,,1744958243.83,3959813788.73,2591949553.14,52249354.59,66320362850.69,27160228914.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1364688000,,114067880.0,,,16831345566.91,,,,,,441307749.41,18217128366.12,,74459338.87,,,,,,,,,,,1022839909.53,25580402250.06,2770202828.03,,12356505706.12,1564048186.38,0.1025,-501518820.4,,7935323560.0,,,,,,,1493095814.51,,141700839.81,,143960799.03,20550990205.7,,,1011177358.02,44066646571.87,16831345566.91,27778194357.09,11369171591.45,,-842146208.0,,,,,1206154641.65,13156331910.03,,-422065161.46,,,,,,,1198948349.65,,9371713592.39,,,813370664.89,867216558.99,1807257159.25,-1742645647.1,,,,,,,,,0.1025,,,,,,,132448613.74,10386129082.0,8339346368.88,,1389036364.34,,,,,,,,,8580747492.19,,,,,,14776880673.12,,,,-40230256.37,,,,,14909329286.86,,,1999309639.0,14099151353.22,,,,,7935323560.0,,-1688224116.02,,23947.26,11662551.51,-268238450.0,,,2453003448.95,813370664.89,39147365948.54,,,,2649599722.48,-69938.67,71306316019.54,27239669447.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1372550400,,59211060.0,,,16533425949.27,,,,,,608676362.09,21531429943.23,,43318778.2,,,,,,,,,,,1967983445.84,26427879621.8,3511429136.62,,12824988817.4,1862098372.52,,-3179254296.71,,,,,,,,,1791735857.57,,188799495.73,,320085712.69,21362745738.87,,,1742330691.41,48171830156.99,16533425949.27,30581292686.61,14135553368.49,,-1318047281.31,,,,,1649330764.1,17765287123.92,,-386056697.36,,,,,,,1226129130.01,,12111255941.05,,,1271596750.14,1422244978.72,1776997931.71,468483111.28,,,,,,,,,,,,,,,,267379520.0,14253857987.3,6132041642.75,,1392104692.5,,,,,,,,,8087758275.29,,,,,,14818038689.14,,,,-74361469.69,,,,,15085418209.14,,,1999309639.0,12356505706.12,,,,,,,1614792078.88,,23602.7,225652754.43,-2896637328.0,,,1450500846.69,1271596750.14,44716846055.1,,,,2701138667.59,529438.67,77881122247.51,29709292090.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1380499200,,266964660.73,,,16468469182.0,,,,,,309786008.02,20464057083.42,,21683.42,,,,,,,,,,,825873644.67,27111565359.73,2467687204.09,,12328558151.63,1629001488.28,0.0775,-58703652.87,,7998816958.0,,,,,,,1575631919.63,,154428641.27,,94903543.67,21982654053.03,,,741061934.03,48466380913.36,16468469182.0,29735469287.29,14721739577.07,,-468018641.44,,,,,838685715.81,12411050920.93,,-276904137.02,,,,,,,940516441.47,,12625861894.68,,,619908314.23,646158390.36,1882949041.12,-496430665.77,,,,,,,,,0.0775,,,,,,,275503560.0,9943363716.84,7753509327.48,,1418058527.72,,,,,,,,,8201962128.74,,,,,,14197993846.12,,,,-669571655.42,,,,,14473497406.12,,,1999309639.0,12824988817.4,,,,,7998816958.0,,-302219853.42,,23485.42,84811710.64,-50413492.9,,,1607609810.19,619908314.23,44457208864.36,,,,2719613743.37,45027999.9,78387918134.93,29921537221.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1388448000,,25220000.0,,48050208285.03,16434550520.65,259807862.57,,7281526926.15,7009082902.48,-1468379714.85,471818015.98,20159827150.66,,173532834.16,,,,,,1380681561.53,3570791384.62,-3267424782.3,2497789942.98,7080921217.63,1477513872.89,27723173631.62,3274617194.67,56455541.97,16596941296.2,2226378878.97,,-250331544.73,511999794.4,,,471818015.98,46287777066.9,,12023936363.41,30471600447.18,2148619310.77,7979422089.0,146119914.93,791109685.09,232159629.7,22264536818.92,-1204037748.13,44194497360.82,1114175777.13,48050208285.03,16434550520.65,29298324424.11,14896172936.71,,-639212651.55,,3817636075.5,623188097.8,,1048238315.7,14979043475.43,,-383353719.01,3570791384.62,14099151353.22,4300031047.08,1245568357.29,-1077079984.41,,1380681561.53,4440534339.82,12639898431.28,-3989808314.71,-3282213467.01,865915655.36,882016147.43,2048307110.16,4268383144.57,,,,,78521808732.21,146119914.93,,,,12639898431.28,27723173631.62,,,,22881888.1,51077466.3,11704426280.76,4440534339.82,1960175662.64,1430849833.51,-977512584.07,29298324424.11,22264536818.92,7979422089.0,8573263068.43,1430849833.51,465463600.73,51077466.3,8573263068.43,67909888.0,14896172936.71,5768410761.93,,20159827150.66,19580127632.91,4742409437.26,,1999309639.0,-292916602.93,,58311713430.31,2770850171.83,16434550520.65,19631205099.21,,19631205099.21,1999309639.0,12328558151.63,0.4475,,16596941296.2,0.4475,,291332634.65,4675682937.64,,259807862.57,363338095.76,-66924196.11,16434550520.65,19580127632.91,1245568357.29,865915655.36,44194497360.82,,2048307110.16,4608745760.59,2770850171.83,10968042.07,78521808732.21,30471600447.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1396224000,,1987500.0,,,16333992619.97,,,,,,1044964433.51,23414881787.18,,27316682.14,,,,,,,,,,,1403218258.41,28798797597.01,3561345343.33,,13823185074.66,2025515829.62,0.1325,-1896435422.85,,7961934606.0,,,,,,,1938583319.14,,66794734.03,,211172450.76,23319493154.26,,,1367753514.42,53827369752.75,16333992619.97,34282907266.39,15145178689.77,,-162000000.0,,,,,1535829513.71,16637647029.33,,-341347452.32,,,,,,,1298410155.74,,12898430708.68,,,1054956335.34,1156581063.66,2121453247.06,-2773756221.54,,,,,,,,,0.1325,,,,,,490000000.0,,13076301686.0,9399790220.22,,1435283304.34,,,,,,,,,10218294050.64,,,,,,16861497300.8,,,,-46985775.05,,,,,16861497300.8,,,1999309639.0,16596941296.2,,,,,7961934606.0,,-1757188446.62,,412941950.72,35464743.99,-1584597361.26,,,1425603106.39,1054956335.34,49428085956.16,,,,2810188422.52,488869784.1,85425711361.0,31598341608.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1404086400,,146986272.65,,,26691365303.57,,,,,,2906343722.29,27462264035.0,,1190145438.73,,,,,,,,,,,3351670110.96,31574764581.75,3406289495.19,,17089786867.45,1743016732.93,,1448964465.66,,,,,,,,,1683158622.41,,3965073414.5,,270523463.31,25729476604.93,,,3108398710.55,68606821781.99,26691365303.57,48245103550.29,39583726222.71,,-293092455.38,,,,,1663272762.26,17473787538.99,,-376051732.03,,,,,,,5894469663.58,,21222560007.47,,,2709879896.52,2837875247.24,8871717637.94,3266601792.79,,,,,,,,,,,,,,,5732886.0,16814383.8,14067498043.8,12455618495.54,,9308350005.23,,,,,,,,,14177146738.46,,,,,,19841947842.96,,,,-159234445.96,,,,,19858762226.76,,,1999309639.0,13823185074.66,,,,,,,1727992397.23,,184152340.2,243271400.41,487459415.94,,,3303332520.65,2709879896.52,87828829773.0,,,,14952185388.7,-8921600.26,128435494796.69,59828673014.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1412035200,,98429353.69,,,25922654693.16,,,,,,2628432532.02,27072512988.22,,19093567.81,,,,,,,,,,,1294105130.65,31065670482.77,4786559298.09,,17457794222.32,3396598358.88,0.085,-725309295.28,,8006988789.0,,,,,,,3352646290.04,,3655046989.85,,316927145.77,26210139688.07,,,1278375964.87,66075417470.17,25922654693.16,46597754446.01,35937558308.49,,-3793866311.45,,,,,1389960939.21,22034948362.46,,-913220467.01,,,,,,,5557398867.18,,18850858851.07,,,680594047.04,961448819.1,8242251836.56,368007354.87,,,,,,,,,0.085,,,,,,0.0,15603862.9,17248389064.37,13219220487.81,,8693809228.87,,,,,,,,,13451654992.77,,,,,,20680358865.45,,,,-233549133.45,,,,,20695962728.35,,,1999309639.0,17089786867.45,,,,,,,2462966278.29,,184039605.6,15729165.78,35899841.96,,,2951634240.42,680594047.04,82535312754.5,,,,13893437355.86,99440453.18,122916441366.04,56841023895.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1419984000,,342581645.9,,64371795304.63,25642568365.78,172564779.0,,11759424561.63,11493339066.07,-3309695720.5,2282048422.25,26789764070.29,,51362687.57,,,1983761896.93,,,8116489914.33,5024502354.07,-8302541040.65,3897676822.22,11575267903.2,1942129980.82,32467729524.56,5335191874.64,518601771.3,20494618118.42,4594293640.2,,-956979763.09,851439009.23,,,2282048422.25,62547775525.88,,17089386011.25,56039956381.44,4518950834.48,8007175066.0,3628608697.29,1181199964.08,382576904.24,26419607056.45,672051963.79,79557339005.47,1211167453.03,64371795304.63,25642568365.78,48060016995.49,31497322009.98,,-4053582273.82,,5784495678.79,788920927.73,,740898234.44,23490778606.35,,-1679076069.14,5024502354.07,16596941296.2,7862032560.52,2765864402.35,-1276297627.8,,8116489914.33,9660031602.65,13106462836.52,-2129760015.56,-1153788708.38,579072075.17,828590548.79,475898521.64,3036823896.1,,1983761896.93,,,120411751686.07,3628608697.29,,,,13106462836.52,32467729524.56,,,,77351300.0,66996021.6,18155586731.71,9660031602.65,3758133251.1,8347260453.97,2280020514.94,48060016995.49,26419607056.45,8007175066.0,12614740002.08,8347260453.97,589984772.24,66996021.6,12614740002.08,573084186.0,31497322009.98,11171728281.02,,26789764070.29,24434414214.89,5329961449.62,,1999309639.0,-836528273.34,,79637161537.13,13249184178.23,25642568365.78,24501410236.49,,24501410236.49,1999309639.0,17457794222.32,0.6275,,20494618118.42,0.6275,,1287918376.25,5428262331.62,,172564779.0,730962527.79,-92550605.02,25642568365.78,24434414214.89,2765864402.35,579072075.17,79557339005.47,,475898521.64,6965695642.87,13249184178.23,-60786865.72,120411751686.07,56039956381.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1427760000,,12601137.1,,,24473263990.98,,,,,,2030879117.84,23792315400.76,,-84722400.0,,,1857321584.8,,,,,,,,1078380855.75,31589396566.86,4093208136.41,,17106415297.9,3102084363.72,0.075,-2244801347.53,,8002512645.0,,,,,,,3057506635.52,,3215308784.99,,205742548.92,27019795504.8,,,966469717.17,61322560280.63,24473263990.98,44233693191.2,30669811817.73,,-2718024212.81,,,,,991123772.69,17538925459.18,,-872726254.49,,,,,,,7069976592.64,,12009346280.35,,,600188448.35,760727168.25,616395265.63,-3388202820.52,,,,,,,,,0.075,,,,,,14597658.36,113101656.0,13445717322.77,12838265686.15,,7519205311.7,,,,,,,,,14107552155.58,,,,,,19813675236.03,,,,-34451598.03,,,,,19926776892.03,,,1999309639.0,20494618118.42,,,,,8002512645.0,,-3200390683.88,,146609842.89,111911138.58,-1451586952.36,,,4049801658.35,600188448.35,74903505008.93,,,,11986472054.98,17093955.13,114355030189.34,53032469908.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1435622400,,67324147.73,,,25760208880.26,,,,,,2263131162.98,21817567076.94,,134585042.6,,,2060907177.01,,,,,,,,1249761066.21,31942217622.21,4333106947.61,,19756065767.81,3420527500.23,,611238799.07,,,,,,,,,3369052594.54,,3971397724.12,,230438894.49,27066784607.55,,,775848012.83,59726001472.07,25760208880.26,43357649925.65,30278228838.24,,-2935397090.59,,,,,912579447.38,18916334409.5,,-1178900965.46,,,,,,,7502505995.52,,11443333052.67,,,368960690.02,545409118.34,507459828.32,2649650469.91,,,,,,,,,,,,,,,4160770.39,22389004.1,14583227461.89,10395709850.28,,7234097649.29,,,,,,,,,13160511649.97,,,,,,22120837738.85,,,,-256203582.51,,,,,22143226742.95,,,1999309639.0,17106415297.9,,,,,,,2676522410.23,,204191911.35,473913053.38,1348260082.37,,,4161707790.15,368960690.02,73635878763.89,,,,13124037265.61,-1300425477.39,115170821514.44,55444820042.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1443571200,,249006302.27,,,26019719150.56,,,,,,1956788071.88,20956671257.03,,214642.8,,,2107905739.3,,,,,,,,601461168.64,31436599056.51,4181430905.95,,21429129738.33,3556761243.17,0.01,-1720539224.97,,7306964584.0,,,,,,,3519223101.43,,4058449199.15,,266556639.86,26739992325.59,,,526216117.22,62424928588.66,26019719150.56,43917331807.14,34687174984.85,,-2440163248.0,,,,,624669662.78,18116453904.64,,-1003042309.84,,,,,,,7674434309.28,,14756858144.48,,,73069645.84,259659477.36,569229175.22,1673063970.52,,,,,,,,,0.01,,,,,,34478238.52,8951000.0,13935022998.69,11880334533.33,,7898340756.37,,,,,,,,,13570806172.96,,,,,,23920259572.8,,,,-721391318.32,,,,,23929210572.8,,,3998619278.0,19756065767.81,,,,,7306964584.0,,-276533113.23,,224032159.85,75245051.42,-1074519884.31,,,4349208871.55,73069645.84,78604506791.99,,,,13532305702.55,-25821465.37,119774032036.26,57349103447.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1451520000,,25346372.6,,57752843904.23,26257021155.93,248554796.59,,13604063313.13,13419990825.16,-4345336993.62,2259661295.45,19548668525.92,,-35981897.67,,,2279402483.75,,,7264665164.77,1390576941.23,-13095797782.0,519647887.07,9559957882.91,1752983417.25,31729455671.11,4352053705.57,-1169962208.77,21014266005.49,3524690206.01,,-760878425.35,1196376512.85,,,2259661295.45,56760116064.47,,16959799695.54,57120543902.72,3474208493.67,7946153950.0,3825631719.5,920745741.27,218007658.0,26918633619.95,600066493.02,73146904220.38,814886024.25,57752843904.23,26257021155.93,39869806941.67,33277097278.71,-458311406.91,-5002213230.6,,2162674130.2,1299484860.93,-476585898.0,827363499.56,19148201986.69,,-1290667463.83,1390576941.23,20494618118.42,2428564999.04,2961108213.46,-1470410013.03,,7264665164.77,8976615257.47,13269272541.05,-4114980198.78,-383290684.0,348358157.02,596878366.25,327515472.69,-414863732.84,,2279402483.75,,,114873387806.95,3825631719.5,,,,13269272541.05,31729455671.11,,,,99484917.19,37867082.4,14796148281.12,8976615257.47,5280161498.59,7786251491.45,-1811996259.75,39869806941.67,26918633619.95,7946153950.0,11841614673.51,7786251491.45,354277959.7,37867082.4,11841614673.51,152721584.46,33277097278.71,6773901992.66,,19548668525.92,24601345959.52,3355736382.41,,3998619278.0,-458363514.17,,73719915760.01,13326448729.31,26257021155.93,24639213041.92,,24639213041.92,3998619278.0,21429129738.33,0.175,,21014266005.49,0.175,,14095387.73,3228966385.92,,248554796.59,938097393.0,794556070.3,26257021155.93,24601345959.52,2961108213.46,348358157.02,73146904220.38,,327515472.69,3083419871.47,13326448729.31,139190778.86,114873387806.95,57120543902.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1459382400,,114028506.64,,,26377488163.2,,,,,,2933786734.25,21545763087.58,,-24567667.69,,,2327262548.15,,,,,,,,967114081.79,31980880730.68,4322691565.08,,19558816270.55,3326071810.45,0.055,-1553426511.38,,8046614433.0,,,,,,,3252815695.61,,3832769716.82,,157710963.75,27361197413.75,,,852862636.27,61597225340.75,26377488163.2,42757543595.72,34960453214.64,-187543200.0,-7341341690.07,,,,,996619754.63,18879310046.73,,-887064403.18,,,,,,,7064057592.59,,13820776656.26,,,442563793.8,695151672.52,315283718.29,-1455449734.94,,,,,,,,,0.055,,,,,,1889711.51,46992992.0,14556618481.65,12132195278.56,,8246442037.6,,,,,,,,,13581492012.25,,,,,,22376774310.11,,,,-181080529.99,,,,,22423767302.11,,,3998619278.0,21014266005.49,,,,,8046614433.0,,-707884926.03,,146648827.04,114251445.52,-727223294.0,,,3395110206.4,442563793.8,77717996810.36,,,,13673385032.72,-183645663.76,119739666131.6,58142440790.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1467244800,,270395229.74,,,26393091128.61,,,,,,2952543090.16,23279532455.16,,38561729.67,,,2468960107.77,,,,,,,,1861720151.6,31955022520.91,5338717720.35,,22121213395.15,4033089976.83,,-1063951569.97,,,,,,,,,3963528970.69,,3832490377.02,,319405657.52,27570287708.2,,,1225768159.91,66659500156.26,26393091128.61,47310029857.44,36563727821.45,-10708989.6,-2236777168.59,,,,,1305627743.52,23407201162.45,,-1247760159.74,,,,,,,6747022841.31,,14126684551.6,,,608952222.25,906362502.39,306926239.21,2562397124.6,,,,,,,,,,,,,,,3955706.87,103611375.0,18068483442.1,10549283716.88,,8284725153.76,,,,,,,,,13138886596.58,,,,,,25554740578.75,,,,-439334693.52,,,,,25658351953.75,,,3998619278.0,19558816270.55,,,,,,,596664632.83,,131746316.45,635951991.69,-325800000.0,,,6142494637.4,608952222.25,83873757678.89,,,,13798448092.56,218752597.46,125328831583.99,58669331427.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1475193600,,128898088.06,,,26196762679.97,,,,,,2390270731.64,23470564436.56,,-789561293.26,,,2484030283.56,,,,,,,,1030960592.17,31166892914.66,4903991035.49,,17715407773.28,3610370844.37,0.06,-814999411.96,,7543574134.0,,,,,,,3545344785.27,,3785060729.2,,258479761.49,27623040228.47,,,891254740.97,65605126809.99,26196762679.97,44590790062.68,37349142891.19,-939739.2,-5330169248.21,,,,,1293620191.12,20605364444.92,,-933619005.54,,,,,,,5820359186.92,,13980235855.87,,,452614448.07,632774979.48,316838314.21,-4405805621.87,,,,,,,,,0.06,,,,,,1364719227.66,101537280.0,15701373409.43,12977876391.55,,8403082822.39,,,,,,,,,12748454384.1,,,,,,21915179514.3,,,,-687537557.38,,,,,22016716794.3,,,3998619278.0,22121213395.15,,,,,7543574134.0,,-1375666058.71,,132904037.56,139705851.2,783651600.0,,,4031289920.0,452614448.07,81939932953.87,,,,13829442459.3,1414277087.35,124635520969.09,59030394159.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
