,quarterlyInventory,annualChangeInInventory,annualDilutedAverageShares,annualStockBasedCompensation,quarterlyOtherIncomeExpense,annualDepreciationAndAmortization,annualCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyCurrentDebt,annualCurrentLiabilities,trailingCashFlowFromContinuingFinancingActivities,trailingDepreciationAndAmortization,annualInventory,quarterlyInterestExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashFlowFromContinuingFinancingActivities,trailingOperatingCashFlow,annualPurchaseOfBusiness,quarterlyOperatingExpense,annualCapitalStock,trailingOtherNonCashItems,trailingOtherIncomeExpense,quarterlyNetOtherFinancingCharges,annualOtherIntangibleAssets,quarterlyPretaxIncome,annualGrossProfit,quarterlyPurchaseOfBusiness,annualNetPPE,annualNonCurrentDeferredTaxesLiabilities,annualCashCashEquivalentsAndMarketableSecurities,annualSaleOfInvestment,quarterlyDilutedEPS,quarterlyOperatingCashFlow,annualOperatingCashFlow,quarterlyOtherNonCurrentAssets,annualEbitda,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,trailingCashDividendsPaid,annualDilutedEPS,quarterlyTaxProvision,quarterlyNetPPE,annualChangeInCashSupplementalAsReported,quarterlyTotalNonCurrentAssets,annualGoodwill,quarterlyChangesInAccountReceivables,trailingChangeInCashSupplementalAsReported,annualBasicAverageShares,trailingInterestExpense,trailingPretaxIncome,annualGrossPPE,annualOtherCurrentLiabilities,annualNetOtherInvestingChanges,annualRepaymentOfDebt,annualInterestExpense,annualPretaxIncome,quarterlyFreeCashFlow,annualPurchaseOfInvestment,trailingChangeInWorkingCapital,quarterlyTotalAssets,annualOtherNonCurrentLiabilities,quarterlyBasicAverageShares,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherIntangibleAssets,annualOtherIncomeExpense,trailingGrossProfit,trailingInvestingCashFlow,quarterlyDepreciationAndAmortization,quarterlySaleOfInvestment,annualAccountsPayable,annualCapitalExpenditure,annualInvestingCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingPurchaseOfInvestment,quarterlyBeginningCashPosition,quarterlyCashAndCashEquivalents,trailingCapitalExpenditure,quarterlyCapitalStock,quarterlyAccountsPayable,trailingRepaymentOfDebt,annualEndCashPosition,annualOperatingIncome,annualNonCurrentDeferredRevenue,trailingTotalRevenue,quarterlyEndCashPosition,trailingEndCashPosition,quarterlyInvestingCashFlow,annualNetOtherFinancingCharges,quarterlyTotalRevenue,annualTaxProvision,annualCashAndCashEquivalents,annualCurrentAccruedExpenses,quarterlyEbitda,trailingNetOtherFinancingCharges,trailingTaxProvision,quarterlyPurchaseOfInvestment,annualTotalRevenue,trailingChangeInAccountPayable,annualNetIncomeContinuousOperations,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,annualCurrentDebt,quarterlyBasicEPS,quarterlyNetIncomeCommonStockholders,annualCostOfRevenue,trailingOperatingIncome,trailingRepurchaseOfCapitalStock,quarterlyGrossProfit,quarterlyCurrentAssets,annualOperatingExpense,annualOtherNonCurrentAssets,annualCommonStockIssuance,quarterlyGrossPPE,trailingFreeCashFlow,trailingSellingGeneralAndAdministration,quarterlyCurrentLiabilities,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,annualChangeInAccountPayable,annualTotalLiabilitiesNetMinorityInterest,annualDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualAccumulatedDepreciation,trailingCostOfRevenue,annualCurrentAssets,annualChangeInWorkingCapital,quarterlyOperatingIncome,trailingNetIncomeContinuousOperations,quarterlyOtherNonCashItems,annualRepurchaseOfCapitalStock,quarterlyDeferredIncomeTax,trailingBeginningCashPosition,quarterlyChangeInWorkingCapital,trailingOperatingExpense,quarterlyRetainedEarnings,quarterlyNonCurrentDeferredRevenue,annualChangesInAccountReceivables,quarterlyNetOtherInvestingChanges,annualRetainedEarnings,trailingNetIncome,annualTotalAssets,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,trailingNetIncomeCommonStockholders,quarterlyGoodwill,annualNetIncomeCommonStockholders,quarterlyStockholdersEquity,annualBeginningCashPosition,annualAccountsReceivable,quarterlyLongTermDebt,annualNetIncome,annualCashDividendsPaid,quarterlyChangeInInventory,annualSellingGeneralAndAdministration,annualFreeCashFlow,trailingSaleOfInvestment,annualTotalNonCurrentAssets,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,annualLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyDilutedAverageShares,annualStockholdersEquity,annualOtherCurrentAssets,annualOtherNonCashItems,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherCurrentAssets,annualBasicEPS,annualResearchAndDevelopment,trailingBasicAverageShares,annualCurrentDeferredRevenue,trailingStockBasedCompensation,trailingDeferredIncomeTax,annualInvestmentsAndAdvances,quarterlyStockBasedCompensation,quarterlyOtherShortTermInvestments,trailingChangeInInventory,trailingChangesInAccountReceivables,quarterlyInvestmentsAndAdvances,trailingPurchaseOfBusiness,trailingDilutedEPS,trailingNetOtherInvestingChanges,trailingBasicEPS,trailingResearchAndDevelopment,quarterlyIncomeTaxPayable,trailingCommonStockIssuance,annualOtherShortTermInvestments,annualIncomeTaxPayable,quarterlyCurrentDeferredRevenue,quarterlyResearchAndDevelopment,trailingDilutedAverageShares
670377600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22857143.0,,,,,,,,,,,,,,,,,,,,,,,,,,,24800000.0,,,,24800000.0,,,,,,,,,,0.07,1600000.0,,,,,,,,,,,,,,,,,,,,,,,,24800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600000.0,1600000.0,,,,22857143.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678240000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23333333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,29400000.0,,,,29400000.0,,,,,,,,,,0.09,2100000.0,,,,,,,,,,,,,,,,,,,,,,,,29400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100000.0,2100000.0,,,,23333333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686188800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23448276.0,,,,,,,,,,,,,,,,,,,,,,,,,,,35300000.0,,,,35300000.0,,,,,,,,,,0.145,3400000.0,,,,,,,,,,,,,,,,,,,,,,,,35300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3400000.0,3400000.0,,,,23448276.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
694137600,,,22644628.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127200000.0,,,,,0.605,,,,,,,,22644628.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127200000.0,,,,,,,37800000.0,,,,37800000.0,,,,127200000.0,,13900000.0,,,,,6700000.0,,,,,,,,,,,,,,,,,,,,,,,,37800000.0,,,,,,,,,,,,,,,,,,,,13700000.0,,,,,13900000.0,,,,,,,6800000.0,6800000.0,,,,,,,,,,,0.605,,,,,,,,,,,,,,,,,,,,,,,
702000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,26900000.0,,,,26900000.0,,,,,,,,,,0.08,1800000.0,,,,,,,,,,,,,,,,,,,,,,,,26900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800000.0,1800000.0,,,,22500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709862400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,37000000.0,,,,37000000.0,,,,,,,,,,0.16,3600000.0,,,,,,,,,,,,,,,,,,,,,,,,37000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600000.0,3600000.0,,,,22500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717811200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22702703.0,,,,,,,,,,,,,,,,,,,,,,,,,,,42800000.0,,,,42800000.0,,,,,,,,,,0.185,4200000.0,,,,,,,,,,,,,,,,,,,,,,,,42800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4200000.0,4200000.0,,,,22702703.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
725760000,,,22568807.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139800000.0,,,,,0.545,,,,,,,,22568807.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139800000.0,,,,,,,33200000.0,,,,33200000.0,,,,139800000.0,,12500000.0,,,,,2700000.0,,,,,,,,,,,,,,,,,,,,,,,,33200000.0,,,,,,,,,,,,,,,,,,,,12300000.0,,,,,12500000.0,,,,,,,2800000.0,2800000.0,,,,,,,,,,,0.545,,,,,,,,,,,,,,,,,,,,,,,
733536000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22222222.0,,,,,,,,,,,,,,,,,,,,,,,,,,,27800000.0,,,,27800000.0,,,,,,,,,,0.045,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,27800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,1000000.0,,,,22222222.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741398400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22926829.0,,,,,,,,,,,,,,,,,,,,,,,,,,,40500000.0,,,,40500000.0,,,,,,,,,,0.205,4700000.0,,,,,,,,,,,,,,,,,,,,,,,,40500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4700000.0,4700000.0,,,,22926829.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749347200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22545455.0,,,,,,,,,,,,,,,,,,,,,,,,,,,47400000.0,,,,47400000.0,,,,,,,,,,0.275,6200000.0,,,,,,,,,,,,,,,,,,,,,,,,47400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6200000.0,6200000.0,,,,22545455.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757296000,,,22666667.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151700000.0,,,,,0.675,,,,,,,,22666667.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151700000.0,,,,,,,35900000.0,,,,35900000.0,,,,151700000.0,,15500000.0,,,,,3500000.0,,,,,,,,,,,,,,,,,,,,,,,,35900000.0,,,,,,,,,,,,,,,,,,,,15300000.0,,,,,15500000.0,,,,,,,3600000.0,3600000.0,,,,,,,,,,,0.675,,,,,,,,,,,,,,,,,,,,,,,
765072000,2900000.0,,,,-100000.0,,,-144400000.0,-6100000.0,13500000.0,,,,,2700000.0,14800000.0,-3200000.0,,,25500000.0,,,,900000.0,,2400000.0,,,,,,,0.06,8500000.0,,0.0,,-800000.0,13500000.0,300000.0,,,1000000.0,394600000.0,,423100000.0,,,,,,,,,,,,,2400000.0,,,446500000.0,,23333333.0,,,,,,,,,,,700000.0,,1500000.0,700000.0,,28900000.0,12000000.0,,,,,,700000.0,,-6100000.0,,30600000.0,,,,7800000.0,,,,,,,320200000.0,,,0.06,1400000.0,,,,30600000.0,23400000.0,,,,539000000.0,,,37900000.0,,-2900000.0,,,,,,,,,,5100000.0,,2700000.0,,400000.0,,4100000.0,,97500000.0,,,0.0,,,,10100000.0,12400000.0,,,,,126300000.0,,,129600000.0,,,,,,,,1400000.0,1400000.0,,,267500000.0,23333333.0,,,,,,3300000.0,,,,,,,,,,,,,,,,,,,,,,,,
772934400,3000000.0,,,,-2800000.0,,,-147200000.0,-6800000.0,18800000.0,,,,,,14600000.0,4200000.0,,,30500000.0,,,,1700000.0,,6900000.0,,,,,,,0.18,3300000.0,,0.0,,600000.0,18800000.0,0.0,,,2800000.0,398400000.0,,426900000.0,,,,,,,,,,,,,-3500000.0,,,454900000.0,,22777778.0,,,,,,,,,,,1300000.0,,700000.0,1300000.0,,28900000.0,13900000.0,,,,,,1300000.0,,-6800000.0,,40100000.0,,,,12300000.0,,,,,,,327300000.0,,,0.18,4100000.0,,,,40100000.0,28000000.0,,,,545600000.0,,,43800000.0,,-2800000.0,,,,,,,,,,9600000.0,,2800000.0,,-200000.0,,-3400000.0,,98700000.0,,,0.0,,,,13400000.0,11100000.0,,,,,127600000.0,,,129600000.0,,,,,,,,4100000.0,4100000.0,,,268700000.0,22777778.0,,,,,,2600000.0,,,,,,,,,,,,,,,,,,,,,,,,
780883200,3000000.0,,,,-2900000.0,,,-149800000.0,-7900000.0,,,,,,,14700000.0,-3600000.0,,,37400000.0,,,,500000.0,,9900000.0,,,,,,,0.255,12000000.0,,0.0,,600000.0,0.0,17600000.0,,,4000000.0,403200000.0,,431600000.0,,,,,,,,,,,,,4100000.0,,,464400000.0,,23137255.0,,,,,,,,,,,1800000.0,,1300000.0,1800000.0,,46400000.0,14800000.0,,,,,,1800000.0,,-7900000.0,,50300000.0,,,,15600000.0,,,,,,,316300000.0,,,0.255,5900000.0,,,,50300000.0,32800000.0,,,,553000000.0,,,32300000.0,,-2900000.0,,,,,,,,,,12900000.0,,2800000.0,,100000.0,,3300000.0,,101700000.0,,,0.0,,,,14800000.0,17500000.0,,,,,148100000.0,,,129600000.0,,,-100000.0,,,,,5900000.0,5900000.0,,,269200000.0,23137255.0,,,,,,5100000.0,,,,,,,,,,,,,,,,,,,,,,,,
788832000,3000000.0,,23278689.0,,8800000.0,,2600000.0,-151300000.0,-7500000.0,7000000.0,30100000.0,,,3000000.0,,15700000.0,5200000.0,,,16100000.0,46300000.0,,,2200000.0,,4900000.0,144700000.0,,407900000.0,15700000.0,1300000.0,,,1700000.0,25500000.0,4800000.0,46100000.0,-600000.0,7000000.0,-200000.0,,0.61,1800000.0,407900000.0,-200000.0,436800000.0,,,,23278689.0,,,559200000.0,7000000.0,0.0,,11400000.0,24000000.0,-5800000.0,,,464200000.0,271400000.0,,,,300000.0,,,,,12200000.0,-28300000.0,-28300000.0,1300000.0,,1800000.0,1300000.0,,46300000.0,12200000.0,,1300000.0,35100000.0,,,1300000.0,,-7500000.0,5300000.0,36300000.0,9600000.0,1300000.0,10900000.0,10400000.0,,,,157300000.0,,14400000.0,316300000.0,,7000000.0,,3000000.0,12600000.0,,,23700000.0,27400000.0,109600000.0,4800000.0,17700000.0,559200000.0,,,30100000.0,,-3100000.0,,316300000.0,1300000.0,,,-151300000.0,,27400000.0,-500000.0,7600000.0,,2700000.0,,1000000.0,,-4500000.0,,101600000.0,,,0.0,101600000.0,,464200000.0,13200000.0,10900000.0,,,,14200000.0,147900000.0,1500000.0,13200000.0,128900000.0,14400000.0,-11700000.0,,18200000.0,-2800000.0,,436800000.0,3100000.0,3100000.0,,128900000.0,271400000.0,,147900000.0,3900000.0,11000000.0,,,3900000.0,0.61,,,,,,,,,,,,,,,,,,,,,,,
796608000,3100000.0,,,,0.0,,,-154400000.0,-6200000.0,6800000.0,,,,,2600000.0,16000000.0,-2600000.0,,,26100000.0,,,,900000.0,,1700000.0,,,,,,,0.04,8400000.0,,0.0,,-400000.0,-100000.0,,,,700000.0,410800000.0,,439700000.0,,,,,,,,,,,,,2200000.0,,,463200000.0,,25000000.0,,,,,,,,,,,900000.0,,1300000.0,900000.0,,46300000.0,12200000.0,,,,,,900000.0,,-6200000.0,,30400000.0,,,,7200000.0,,,,,,,317400000.0,,,0.04,1000000.0,,,,30400000.0,23500000.0,,,,565200000.0,,,30400000.0,,-3200000.0,,,,,,,,,,4300000.0,,2800000.0,,300000.0,,4300000.0,,99500000.0,,,0.0,,,,11000000.0,11500000.0,,,,,145800000.0,,,128900000.0,,,-100000.0,,,,,1000000.0,1000000.0,,,272200000.0,25000000.0,,,,,,3700000.0,,,,,,,,,,,,,,,,,,,,,,,,
804470400,3000000.0,,,,-100000.0,,,-157000000.0,-6300000.0,10000000.0,,,,,2600000.0,16000000.0,1100000.0,,,31800000.0,,,,1000000.0,,5900000.0,,,,,,,0.14,5500000.0,,0.0,,300000.0,-100000.0,,,,2400000.0,414000000.0,,442900000.0,,,,,,,,,,,,,-800000.0,,,469800000.0,,25000000.0,,,,,,,,,,,1200000.0,,900000.0,1200000.0,,46300000.0,14400000.0,,,,,,1200000.0,,-6300000.0,,40400000.0,,,,11500000.0,,,,,,,323800000.0,,,0.14,3500000.0,,,,40400000.0,26900000.0,,,,571000000.0,,,35900000.0,,-3200000.0,,,,,,,,,,8600000.0,,3000000.0,,-100000.0,,-800000.0,,99700000.0,,,0.0,,,,13600000.0,11600000.0,,,,,146000000.0,,,128900000.0,,,,,,,,3500000.0,3500000.0,,,273100000.0,25000000.0,,,,,,2900000.0,,,,,,,,,,,,,,,,,,,,,,,,
812419200,2700000.0,,,,200000.0,,,-159800000.0,-6200000.0,,,,,,2800000.0,15800000.0,7400000.0,,,39700000.0,,,,700000.0,,11000000.0,,,,,,,0.26,13400000.0,,0.0,,14500000.0,0.0,,,,4500000.0,416900000.0,,445800000.0,,,,,,,,,,,,,7200000.0,,,494300000.0,,25000000.0,,,,,,,,,,,15700000.0,,1200000.0,15700000.0,,46700000.0,17400000.0,,,,,,15700000.0,,-6200000.0,,53300000.0,,,,16500000.0,,,,,,,344700000.0,,,0.26,6500000.0,,,,53300000.0,48500000.0,,,,576700000.0,,,36600000.0,,-3300000.0,,,,,,,,,,13600000.0,,2800000.0,,-100000.0,,4200000.0,,103000000.0,,,0.0,,,,16000000.0,19200000.0,,,,,149600000.0,,,148900000.0,,,,,,,,6500000.0,6500000.0,,,293300000.0,25000000.0,,,,,,5700000.0,,,,,,,,,,,,,,,,,,,,,,,,
820368000,2500000.0,,24786325.0,,700000.0,,2400000.0,-162200000.0,-8600000.0,,25800000.0,,,2500000.0,3400000.0,17500000.0,-3500000.0,,,19600000.0,47000000.0,,,2400000.0,,6100000.0,152400000.0,,422200000.0,17500000.0,6300000.0,,,2500000.0,29800000.0,4700000.0,46600000.0,-9400000.0,0.0,,,0.585,2400000.0,422200000.0,5000000.0,452200000.0,,,,24786325.0,,,584400000.0,0.0,0.0,,11500000.0,24600000.0,-6100000.0,,,484900000.0,293800000.0,,,,800000.0,,,,,14800000.0,-27300000.0,-27300000.0,6300000.0,,15700000.0,6300000.0,,47000000.0,14800000.0,,6300000.0,35200000.0,,,6300000.0,,-8600000.0,5000000.0,41000000.0,9900000.0,6300000.0,11000000.0,11500000.0,,,,165100000.0,,14700000.0,334500000.0,,,,3600000.0,12700000.0,,,28300000.0,32700000.0,117200000.0,4700000.0,700000.0,584400000.0,,,25800000.0,,-3200000.0,,334500000.0,1700000.0,,,-162200000.0,,32700000.0,3200000.0,8700000.0,,2800000.0,,1600000.0,,-4500000.0,,103400000.0,,,0.0,103400000.0,,484900000.0,13700000.0,11000000.0,,,,14500000.0,150400000.0,1300000.0,13700000.0,145500000.0,14700000.0,-12900000.0,,20000000.0,2500000.0,,452200000.0,3700000.0,3700000.0,,145500000.0,293800000.0,,150400000.0,3900000.0,11400000.0,,,3900000.0,0.585,,,,,,,,,,,,,,,,,,,,,,,
828230400,2600000.0,,,,100000.0,,,-165500000.0,-11700000.0,1000000.0,,,,,3000000.0,17400000.0,-900000.0,,,27400000.0,,,,1000000.0,,2000000.0,,,,,,,0.045,8200000.0,,0.0,,-4400000.0,-100000.0,400000.0,,,800000.0,430400000.0,,460400000.0,,,,,,,,,,,,,-3500000.0,,,484900000.0,,26666667.0,,,,,,,,,,,1800000.0,,6300000.0,1800000.0,,47400000.0,13800000.0,,,,,,1800000.0,,-11700000.0,,32300000.0,,,,7900000.0,,,,,,,336200000.0,,,0.045,1200000.0,,,,32300000.0,24500000.0,,,,595900000.0,,,26900000.0,,-3300000.0,,,,,,,,,,4900000.0,,3000000.0,,-100000.0,,4200000.0,,101300000.0,,,0.0,,,,11200000.0,12200000.0,,,,,148700000.0,,,145500000.0,,,-100000.0,,,,,1200000.0,1200000.0,,,294600000.0,26666667.0,,,,,,3800000.0,,,,,,,,,,,,,,,,,,,,,,,,
836092800,2500000.0,,,,-100000.0,,,-168900000.0,-6800000.0,2000000.0,,,,,3000000.0,17100000.0,-700000.0,,,36100000.0,,,,1300000.0,,9800000.0,,,,,,,0.23,6500000.0,,0.0,,-1000000.0,2000000.0,300000.0,,,4000000.0,433600000.0,,463600000.0,,,,,,,,,,,,,-300000.0,,,495000000.0,,25217391.0,,,,,,,,,,,900000.0,,1800000.0,900000.0,,47700000.0,18300000.0,,,,,,900000.0,,-6800000.0,,49000000.0,,,,16000000.0,,,,,,,343400000.0,,,0.23,5800000.0,,,,49000000.0,31400000.0,,,,602500000.0,,,33400000.0,,-3300000.0,,,,,,,,,,12900000.0,,3100000.0,,-200000.0,,-2200000.0,,103900000.0,,,0.0,,,,16600000.0,13100000.0,,,,,151600000.0,,,145500000.0,,,600000.0,,,,,5800000.0,5800000.0,,,295400000.0,25217391.0,,,,,,3700000.0,,,,,,,,,,,,,,,,,,,,,,,,
844041600,2400000.0,,,,100000.0,,,-172300000.0,-8800000.0,,,,,,3000000.0,18000000.0,-3500000.0,,,41800000.0,,,,1400000.0,,14700000.0,,,,,,,0.34,17400000.0,,0.0,,5100000.0,0.0,400000.0,,,6000000.0,438700000.0,,468700000.0,,,,,,,,,,,,,8600000.0,,,508400000.0,,25588235.0,,,,,,,,,,,6000000.0,,900000.0,6000000.0,,48100000.0,18800000.0,,,,,,6000000.0,,-8800000.0,,59200000.0,,,,20700000.0,,,,,,,351100000.0,,,0.34,8700000.0,,,,59200000.0,39700000.0,,,,611000000.0,,,39000000.0,,-3300000.0,,,,,,,,,,17400000.0,,3300000.0,,900000.0,,4600000.0,,109200000.0,,,0.0,,,,16700000.0,20200000.0,,,,,157300000.0,,,145500000.0,,,-300000.0,,,,,8700000.0,8700000.0,,,297400000.0,25588235.0,,,,,,6200000.0,,,,,,,,,,,,,,,,,,,,,,,,
851990400,2300000.0,,25200000.0,,300000.0,,-2400000.0,-174800000.0,-8400000.0,7500000.0,34800000.0,,,2300000.0,3000000.0,26800000.0,2700000.0,,,22600000.0,48400000.0,,,1600000.0,,4800000.0,170700000.0,,443600000.0,26800000.0,1400000.0,,,1100000.0,33200000.0,4400000.0,55200000.0,-4600000.0,7500000.0,300000.0,,0.75,1400000.0,443600000.0,-4900000.0,485600000.0,,,,25200000.0,,,618400000.0,7500000.0,0.0,,11900000.0,31300000.0,-7300000.0,,,512400000.0,304200000.0,,,,600000.0,,,,,14700000.0,-35700000.0,-35700000.0,1400000.0,,6000000.0,1400000.0,,48400000.0,14700000.0,,1400000.0,42500000.0,,,1400000.0,,-8400000.0,5300000.0,42200000.0,12200000.0,1400000.0,12600000.0,10800000.0,,,,182800000.0,,19100000.0,354700000.0,,7500000.0,,3300000.0,12100000.0,,,30100000.0,26800000.0,128200000.0,4400000.0,1400000.0,618400000.0,,,34800000.0,,-3300000.0,,354700000.0,-2200000.0,,,-174800000.0,,26800000.0,3100000.0,7500000.0,,3300000.0,,-2800000.0,,-3500000.0,,109300000.0,,,0.0,109300000.0,,512400000.0,13000000.0,12600000.0,,,,18900000.0,157700000.0,6300000.0,13000000.0,142200000.0,19100000.0,-13200000.0,,21700000.0,-2500000.0,,485600000.0,3400000.0,3400000.0,,142200000.0,304200000.0,,157700000.0,4500000.0,12700000.0,,,4500000.0,0.75,,,,,,,,,,,,,,,,,,,,,,,
859766400,2200000.0,,,,100000.0,,,-178800000.0,-5500000.0,4000000.0,,,,,2900000.0,27200000.0,-6700000.0,,,30200000.0,,,,200000.0,,4500000.0,,,,,,,0.115,11700000.0,,0.0,,-400000.0,4000000.0,,,,1600000.0,444900000.0,,487000000.0,,,,,,,,,,,,,6200000.0,,,513000000.0,,25217391.0,,,,,,,,,,,1000000.0,,1400000.0,1000000.0,,48400000.0,17300000.0,,,,,,1000000.0,,-5500000.0,,37600000.0,,,,10800000.0,,,,,,,355700000.0,,,0.115,2900000.0,,,,37600000.0,26000000.0,,,,623700000.0,,,35700000.0,,-3400000.0,,,,,,,,,,7400000.0,,3300000.0,,400000.0,,5200000.0,,108800000.0,,,0.0,,,,12700000.0,14400000.0,,,,,157300000.0,,,142200000.0,,,100000.0,,,,,2900000.0,2900000.0,,,304400000.0,25217391.0,,,,,,4500000.0,,,,,,,,,,,,,,,,,,,,,,,,
867628800,2200000.0,,,,-100000.0,,,-181400000.0,-7000000.0,3500000.0,,,,,2900000.0,27100000.0,-3700000.0,,,37500000.0,,,,100000.0,,14600000.0,,,,,,,0.35,11400000.0,,0.0,,600000.0,3500000.0,,,,5700000.0,448100000.0,,489700000.0,,,,,,,,,,,,,4400000.0,,,521700000.0,,25428571.0,,,,,,,,,,,1600000.0,,1000000.0,1600000.0,,48400000.0,20600000.0,,,,,,1600000.0,,-7000000.0,,55100000.0,,,,21000000.0,,,,,,,358900000.0,,,0.35,8900000.0,,,,55100000.0,32000000.0,,,,629500000.0,,,39200000.0,,-3300000.0,,,,,,,,,,17600000.0,,3500000.0,,-100000.0,,-1200000.0,,114400000.0,,,0.0,,,,16100000.0,15100000.0,,,,,162800000.0,,,142200000.0,,,0.0,,,,,8900000.0,8900000.0,,,304200000.0,25428571.0,,,,,,4200000.0,,,,,,,,,,,,,,,,,,,,,,,,
875577600,2100000.0,,,,200000.0,,,-185000000.0,-9300000.0,2000000.0,,,,,2900000.0,27500000.0,-3100000.0,,,43900000.0,,,,1800000.0,,12900000.0,,,,,,,0.31,11700000.0,,0.0,,-600000.0,2000000.0,,,,5000000.0,453200000.0,,495100000.0,,,,,,,,,,,,,2400000.0,,,529000000.0,,25483871.0,,,,,,,,,,,900000.0,,1600000.0,900000.0,,48400000.0,19000000.0,,,,,,900000.0,,-9300000.0,,59600000.0,,,,19100000.0,,,,,,,361700000.0,,,0.31,7900000.0,,,,59600000.0,33900000.0,,,,638200000.0,,,40500000.0,,-3400000.0,,,,,,,,,,15700000.0,,3500000.0,,400000.0,,300000.0,,118800000.0,,,0.0,,,,16400000.0,19500000.0,,,,,167300000.0,,,142200000.0,,,100000.0,,,,,7900000.0,7900000.0,,,305700000.0,25483871.0,,,,,,6500000.0,,,,,,,,,,,,,,,,,,,,,,,,
