,quarterlyOperatingCashFlow,annualInvestingCashFlow,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,trailingInvestingCashFlow,trailingSaleOfInvestment,annualSaleOfInvestment,annualNonCurrentDeferredTaxesLiabilities,trailingCashDividendsPaid,annualStockholdersEquity,trailingPurchaseOfBusiness,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,annualOtherNonCashItems,quarterlyCommonStockIssuance,annualLongTermDebt,trailingPurchaseOfInvestment,quarterlyOtherCurrentLiabilities,quarterlyCostOfRevenue,trailingChangeInInventory,quarterlyGoodwill,annualRetainedEarnings,annualCurrentLiabilities,annualStockBasedCompensation,annualGoodwill,annualInventory,annualTotalAssets,annualCashFlowFromContinuingFinancingActivities,trailingStockBasedCompensation,quarterlyAccountsReceivable,annualDepreciationAndAmortization,quarterlyInvestmentsAndAdvances,trailingChangeInWorkingCapital,quarterlyOtherIncomeExpense,annualCapitalStock,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,annualPurchaseOfInvestment,quarterlyLongTermDebt,annualAccountsReceivable,trailingOperatingCashFlow,annualOperatingIncome,trailingGrossProfit,quarterlyOperatingExpense,annualNetPPE,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,trailingOtherIncomeExpense,annualOperatingCashFlow,trailingOperatingIncome,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualAccountsPayable,annualCashCashEquivalentsAndMarketableSecurities,quarterlyOtherIntangibleAssets,annualOtherShortTermInvestments,quarterlyDilutedEPS,annualCommonStockIssuance,annualOtherIntangibleAssets,quarterlyDepreciationAndAmortization,trailingRepaymentOfDebt,quarterlyCapitalStock,annualEndCashPosition,quarterlyDilutedAverageShares,quarterlyCashCashEquivalentsAndMarketableSecurities,annualBasicEPS,trailingTotalRevenue,trailingNetOtherInvestingChanges,quarterlyCashAndCashEquivalents,annualEbitda,quarterlyBeginningCashPosition,annualOtherIncomeExpense,trailingChangeInCashSupplementalAsReported,quarterlyPurchaseOfInvestment,annualNetOtherInvestingChanges,quarterlyCurrentDebt,quarterlyTotalNonCurrentAssets,annualGrossPPE,annualCashAndCashEquivalents,quarterlyInterestExpense,trailingCashFlowFromContinuingFinancingActivities,trailingPretaxIncome,quarterlyChangesInAccountReceivables,trailingEndCashPosition,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetOtherFinancingCharges,annualPretaxIncome,quarterlyNetIncomeCommonStockholders,annualInvestmentsAndAdvances,quarterlyTotalAssets,quarterlyFreeCashFlow,annualOtherNonCurrentLiabilities,quarterlySaleOfInvestment,trailingOperatingExpense,trailingSellingGeneralAndAdministration,annualDeferredIncomeTax,annualOtherNonCurrentAssets,trailingDeferredIncomeTax,annualCapitalExpenditure,annualSellingGeneralAndAdministration,annualAccumulatedDepreciation,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,quarterlyAccountsPayable,annualRepurchaseOfCapitalStock,quarterlyOtherCurrentAssets,quarterlyDeferredIncomeTax,annualChangesInAccountReceivables,quarterlyChangeInWorkingCapital,trailingBeginningCashPosition,quarterlyGainsLossesNotAffectingRetainedEarnings,annualDilutedEPS,trailingCapitalExpenditure,trailingNetIncomeContinuousOperations,annualCurrentAssets,annualNetIncomeCommonStockholders,trailingNetOtherFinancingCharges,quarterlyEbitda,annualOtherCurrentLiabilities,trailingNetIncomeCommonStockholders,annualChangeInCashSupplementalAsReported,quarterlyStockBasedCompensation,annualBasicAverageShares,quarterlyStockholdersEquity,quarterlyInvestingCashFlow,quarterlyEndCashPosition,annualTaxProvision,annualNetOtherFinancingCharges,quarterlyNetOtherInvestingChanges,trailingInterestExpense,quarterlyChangeInInventory,annualRepaymentOfDebt,quarterlyChangeInAccountPayable,annualInterestExpense,trailingRepurchaseOfCapitalStock,quarterlyGrossProfit,trailingChangeInAccountPayable,annualTotalRevenue,quarterlyCurrentLiabilities,annualGrossProfit,quarterlyPretaxIncome,annualTotalNonCurrentAssets,quarterlyOtherNonCashItems,annualFreeCashFlow,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,trailingCommonStockIssuance,annualTotalLiabilitiesNetMinorityInterest,trailingFreeCashFlow,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingCostOfRevenue,annualOtherCurrentAssets,quarterlyTaxProvision,quarterlyNetPPE,annualChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,annualDilutedAverageShares,quarterlyCapitalExpenditure,trailingTaxProvision,trailingNetIncome,trailingDepreciationAndAmortization,quarterlyOperatingIncome,annualChangeInInventory,quarterlyTotalRevenue,annualNetIncome,annualCashDividendsPaid,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,annualCurrentDebt,annualPurchaseOfBusiness,annualNetIncomeContinuousOperations,annualOperatingExpense,quarterlyBasicAverageShares,trailingOtherNonCashItems,annualBeginningCashPosition,annualCostOfRevenue,quarterlyBasicEPS,annualCurrentAccruedExpenses,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyIncomeTaxPayable,trailingBasicAverageShares,quarterlyResearchAndDevelopment,annualNonCurrentDeferredRevenue,annualIncomeTaxPayable,trailingResearchAndDevelopment,trailingDilutedEPS,trailingChangesInAccountReceivables,annualResearchAndDevelopment,trailingDilutedAverageShares,annualCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,trailingBasicEPS
628387200,600000.0,-26800000.0,8900000.0,8900000.0,,,4700000.0,,,259100000.0,,173200000.0,400000.0,-22500000.0,0.0,435900000.0,,,,,,188100000.0,0.0,,,,868200000.0,23600000.0,,,,,,-1500000.0,,,,-26900000.0,435900000.0,,,42500000.0,,377800000.0,,,-600000.0,,2500000.0,,609100000.0,,,,,,,1300000.0,,,,,0.0,,,0.455882,,,,42500000.0,0.0,100000.0,,,-4600000.0,,868200000.0,,,,,,,,,609100000.0,-3600000.0,42600000.0,8900000.0,,868200000.0,5800000.0,173200000.0,,,,-4600000.0,,,,,,,,,,,-1400000.0,,19500000.0,,,0.455882,,,0.0,28100000.0,,16200000.0,,,-700000.0,,61200000.0,259100000.0,-2200000.0,0.0,14500000.0,-3800000.0,17200000.0,,,,,,,394000000.0,,440300000.0,0.0,440300000.0,14700000.0,868200000.0,,2500000.0,,0.0,,,609100000.0,,,609100000.0,,,5800000.0,,1500000.0,188100000.0,,61200000.0,,,,,16200000.0,,174400000.0,28100000.0,-2300000.0,2000000.0,,,,28100000.0,397800000.0,,,2700000.0,,,,,,,,,,,,,,,,,,
636163200,14300000.0,,3300000.0,3300000.0,,,,,,,,300700000.0,0.0,,800000.0,,,12700000.0,70400000.0,,,,,,,,,,,,,,,200000.0,,78600000.0,293200000.0,,146700000.0,,,,,6100000.0,,,-600000.0,,,,,,,,,,0.053922,,,1300000.0,,,,61200000.0,2000000.0,,,,2000000.0,,2000000.0,,,,,,506800000.0,,,,,,,,426200000.0,583700000.0,200000.0,,3300000.0,,846000000.0,12800000.0,,,,,,,,,,,-200000.0,,45000000.0,,0.0,-1000000.0,,-6700000.0,,,,,,,,,6200000.0,,,,,,262300000.0,-6000000.0,0.0,,,-4500000.0,,-2700000.0,,,,,11000000.0,,,57700000.0,,5100000.0,,-200000.0,,,339200000.0,4800000.0,,,,,526000000.0,,,1800000.0,80600000.0,,190800000.0,,,-1500000.0,,,,4900000.0,,81400000.0,,,-8300000.0,,,,,,61200000.0,,,,0.053922,,,,,,,,,,,,,,,,
644112000,10300000.0,,3700000.0,3700000.0,,,,,,,,293400000.0,-300000.0,,-100000.0,,,11200000.0,74400000.0,,,,,,,,,,,,,,,100000.0,,74900000.0,40500000.0,,137800000.0,,,,,6500000.0,,,-500000.0,,,,,,,,,,0.063725,,,1400000.0,,,,58061538.0,1700000.0,,,,1700000.0,,0.0,,,,,,496300000.0,,,,,,,,415300000.0,565600000.0,300000.0,,3700000.0,,831000000.0,8700000.0,,,,,,,,,,,0.0,,48300000.0,,292500000.0,-3700000.0,,4900000.0,,,,,,,,,7000000.0,,,,,,265400000.0,-700000.0,0.0,,,900000.0,,-800000.0,,,,,12100000.0,,,59500000.0,,5700000.0,,100000.0,,,334700000.0,5100000.0,,,,,506100000.0,,,2000000.0,81000000.0,,193900000.0,,,-1600000.0,,,,5600000.0,,86500000.0,,,-9900000.0,,,,,,58061538.0,,,,0.063725,,,,,,,,,,,,,,,,
652060800,500000.0,,3300000.0,3300000.0,,,,,,,,288000000.0,-300000.0,,0.0,,,10700000.0,75900000.0,,,,,,,,,,,,,,,0.0,,73200000.0,289800000.0,,140100000.0,,,,,6600000.0,,,-600000.0,,,,,,,,,,0.053922,,,2100000.0,,,,61200000.0,1400000.0,,,,1400000.0,,0.0,,,,,,500300000.0,,,,,,,,420100000.0,563200000.0,0.0,,3300000.0,,830500000.0,200000.0,,,,,,,,,,,-700000.0,,51200000.0,,0.0,-1700000.0,,8900000.0,,,,,,,,,7200000.0,,,,,,267300000.0,-4200000.0,0.0,,,-3900000.0,,4000000.0,,,,,11700000.0,,,61900000.0,,5100000.0,,,,,330200000.0,4800000.0,,,,,501300000.0,,,1800000.0,80200000.0,,196600000.0,,,-300000.0,,,,5100000.0,,87600000.0,,,3300000.0,,,,,,61200000.0,,,,0.053922,,,,,,,,,,,,,,,,
659923200,12900000.0,-20000000.0,3400000.0,3400000.0,,,,72200000.0,,269700000.0,,296500000.0,100000.0,-100000.0,0.0,133900000.0,,8800000.0,82400000.0,,,199500000.0,62900000.0,,,274600000.0,835200000.0,-18500000.0,,,6500000.0,,,-100000.0,,72200000.0,274600000.0,,133900000.0,,,21200000.0,,7500000.0,79900000.0,,-600000.0,,38000000.0,,502600000.0,,54100000.0,1500000.0,,,,700000.0,,1700000.0,,,0.0,,1500000.0,0.220588,,,1500000.0,27700000.0,0.0,-100000.0,,,-16000000.0,,519300000.0,,1500000.0,,,,,,439400000.0,565500000.0,-2300000.0,21100000.0,3400000.0,,835200000.0,12300000.0,296500000.0,,,,-7400000.0,439400000.0,,-4000000.0,20500000.0,,-500000.0,,54100000.0,-1400000.0,0.0,-1000000.0,,24700000.0,,,0.220588,,,315900000.0,13700000.0,,7100000.0,8800000.0,,-500000.0,,62106667.0,269700000.0,-9100000.0,0.0,7400000.0,-1800000.0,-8500000.0,,14300000.0,,,,,12900000.0,,350900000.0,62900000.0,48200000.0,5300000.0,519300000.0,,34000000.0,,315900000.0,5800000.0,,565500000.0,,,502600000.0,,0.0,1900000.0,79900000.0,31800000.0,199500000.0,,62106667.0,-600000.0,,,,5400000.0,14800000.0,95300000.0,13700000.0,-2300000.0,-3600000.0,,,,13700000.0,27000000.0,,,2000000.0,302700000.0,,,,,,,,,,,,,,,,,
667699200,8500000.0,,5200000.0,5200000.0,,,,,,,,270300000.0,0.0,,100000.0,,,8700000.0,58600000.0,,,,,,,,,,,,,,,100000.0,,71400000.0,270000000.0,,136700000.0,,,,,5800000.0,,,-600000.0,,,,,,,,,,0.083333,,,1500000.0,,,,62400000.0,1500000.0,,,,1500000.0,,1500000.0,,,,,,497200000.0,,,,,,,,417800000.0,535000000.0,-1400000.0,,5200000.0,,809100000.0,7600000.0,,,,,,,,,,,-300000.0,,47900000.0,,0.0,-800000.0,,-9700000.0,,,,,,,,,9400000.0,,,,,,274100000.0,1800000.0,0.0,,,-200000.0,,3600000.0,,,,,13700000.0,,,56600000.0,,8000000.0,,,,,311900000.0,4300000.0,,,,,478400000.0,,,2800000.0,79400000.0,,204100000.0,,,-900000.0,,,,7900000.0,,72300000.0,,,-10300000.0,,,,,,62400000.0,,,,0.083333,,,,,,,,,,,,,,,,
675648000,4700000.0,,5000000.0,5000000.0,,,,,,,,275600000.0,200000.0,,1200000.0,,,8400000.0,59200000.0,,,,,,,,,,,,,,,0.0,,70800000.0,266100000.0,,128000000.0,,,,,6400000.0,,,-500000.0,,,,,,,,,,0.083333,,,2200000.0,,,,60000000.0,1700000.0,,,,1700000.0,,0.0,,,,,,504600000.0,,,,,,,,425500000.0,532600000.0,1300000.0,,5000000.0,,812400000.0,4100000.0,,,,,,,,,,,0.0,,49800000.0,,0.0,-600000.0,,7800000.0,,,,,,,,,10100000.0,,,,,,279800000.0,-6000000.0,0.0,,,-5400000.0,,3800000.0,,,,,14300000.0,,,58200000.0,,7900000.0,,,,,307800000.0,4200000.0,,,,,474400000.0,,,2900000.0,79100000.0,,208500000.0,,,-600000.0,,,,7900000.0,,73500000.0,,,1600000.0,,,,,,60000000.0,,,,0.083333,,,,,,,,,,,,,,,,
683596800,-38000000.0,,5200000.0,5200000.0,,,,,,,,293700000.0,100000.0,,500000.0,,,9100000.0,66200000.0,,,,,,,,,,,,,,,-100000.0,,70900000.0,268700000.0,,139100000.0,,,,,6100000.0,,,-600000.0,,,,,,,,,,0.083333,,,1600000.0,,,,62400000.0,1800000.0,,,,1800000.0,,0.0,,,,,,557800000.0,,,,,,,,456000000.0,562000000.0,1600000.0,,5200000.0,,846900000.0,-40400000.0,,,,,,,,,,,0.0,,49200000.0,,0.0,100000.0,,-3500000.0,,,,,,,,,9800000.0,,,,,,284900000.0,-3800000.0,0.0,,,-1400000.0,,-1600000.0,,,,,14300000.0,,,58300000.0,,8100000.0,,,,,289100000.0,4500000.0,,,,,503700000.0,,,2900000.0,101800000.0,,213200000.0,,,-2400000.0,,,,8200000.0,,80500000.0,,,41900000.0,,,,,,62400000.0,,,,0.083333,,,,,,,,,,,,,,,,
691459200,-1900000.0,-11800000.0,5700000.0,5700000.0,,,,67200000.0,,291200000.0,,308700000.0,1500000.0,-100000.0,1200000.0,129900000.0,,9700000.0,84200000.0,,,218300000.0,65300000.0,,,261200000.0,862300000.0,40300000.0,,,7300000.0,,,100000.0,,67200000.0,261200000.0,,129900000.0,,,33000000.0,,6300000.0,100400000.0,,-600000.0,,-26700000.0,,505800000.0,,55600000.0,3200000.0,,,,3000000.0,,2000000.0,,,0.0,,3200000.0,0.343137,,,3200000.0,40300000.0,0.0,0.0,,,-11200000.0,,572700000.0,,3200000.0,,,,,,472300000.0,571100000.0,-1000000.0,33000000.0,5700000.0,,862300000.0,-2500000.0,308700000.0,,,,-5000000.0,472300000.0,,-4500000.0,17300000.0,,0.0,,55600000.0,-300000.0,0.0,-3700000.0,,12700000.0,,,0.343137,,,289600000.0,21100000.0,,10800000.0,9700000.0,,1800000.0,,61491429.0,291200000.0,-3800000.0,0.0,11900000.0,500000.0,-4200000.0,,7400000.0,,,,,15100000.0,,325700000.0,65300000.0,57600000.0,8900000.0,572700000.0,,-31200000.0,,289600000.0,4300000.0,,571100000.0,,,505800000.0,,0.0,3200000.0,100400000.0,7300000.0,218300000.0,,61491429.0,-600000.0,,,,8800000.0,13200000.0,99300000.0,21100000.0,-2300000.0,7100000.0,,,,21100000.0,24600000.0,,,1500000.0,268100000.0,,,,,,,,,,,,,,,,,
699321600,-13800000.0,,8100000.0,8100000.0,,,,,,,,298300000.0,4300000.0,,700000.0,,,12300000.0,66000000.0,,,,,,,,,,,,,,,-100000.0,,68300000.0,276700000.0,,158500000.0,,,,,6000000.0,,,-600000.0,,,,,,,,,,0.132353,,,2100000.0,,,,61200000.0,7600000.0,,,,7600000.0,,3300000.0,,,,,,580100000.0,,,,,,,,481600000.0,584900000.0,600000.0,,8100000.0,,884400000.0,-14700000.0,,,,,,,,,,,,,47500000.0,,0.0,1100000.0,,-10900000.0,,,,,,,,,15000000.0,,,,,,299500000.0,-7300000.0,0.0,,,-11000000.0,,-14300000.0,,,,,18900000.0,,,59800000.0,,12800000.0,,-100000.0,,,304300000.0,3900000.0,,,,,525100000.0,,,4700000.0,98500000.0,,225800000.0,,,-900000.0,,,,12900000.0,,84900000.0,,,25300000.0,,,,,,61200000.0,,,,0.132353,,,,,,,,,,,,,,,,
707270400,-21600000.0,,7600000.0,7600000.0,,,,,,,,298900000.0,-3200000.0,,200000.0,,,10300000.0,75700000.0,,,,,,,,,,,,,,,-100000.0,,67700000.0,293900000.0,,166000000.0,,,,,6600000.0,,,-500000.0,,,,,,,,,,0.122549,,,2100000.0,,,,62016000.0,4400000.0,,,,4400000.0,,0.0,,,,,,579400000.0,,,,,,,,472600000.0,597200000.0,2700000.0,,7600000.0,,903900000.0,-31000000.0,,,,,,,,,,,,,54300000.0,,0.0,-600000.0,,-22900000.0,,,,,,,,,14300000.0,,,,,,306700000.0,-12900000.0,0.0,,,-3500000.0,,-17100000.0,,,,,18800000.0,,,64600000.0,,12100000.0,,200000.0,,,324500000.0,4500000.0,,,,,532600000.0,,,4500000.0,106800000.0,,232900000.0,,,-9400000.0,,,,12200000.0,,94500000.0,,,31300000.0,,,,,,62016000.0,,,,0.122549,,,,,,,,,,,,,,,,
715219200,400000.0,,3200000.0,3200000.0,,,,,,,,316200000.0,400000.0,,300000.0,,,11200000.0,103500000.0,,,,,,,,,,,,,,,-7600000.0,,65000000.0,295800000.0,,167700000.0,,,,,8800000.0,,,-600000.0,,,,,,,,,,0.04902,,,3400000.0,,,,65280000.0,4800000.0,,,,4800000.0,,0.0,,,,,,605800000.0,,,,,,,,499100000.0,621400000.0,700000.0,,3200000.0,,930900000.0,-600000.0,,,,,,,,,,,,,61300000.0,,0.0,-2700000.0,,6600000.0,,,,,,,,,16100000.0,,,,,,309500000.0,-31100000.0,0.0,,,-30100000.0,,-2700000.0,,,,,21500000.0,,,72500000.0,,5100000.0,,,,,325100000.0,5400000.0,,,,,548900000.0,,,1900000.0,106700000.0,,235500000.0,,,-1000000.0,,,,12700000.0,,125000000.0,,,31300000.0,,,,,,65280000.0,,,,0.04902,,,,,,,,,,,,,,,,
723081600,-37300000.0,-48700000.0,10200000.0,10200000.0,,,,61900000.0,,319300000.0,,342400000.0,100000.0,100000.0,0.0,177700000.0,,18000000.0,100000000.0,,,245200000.0,79000000.0,,,317900000.0,980300000.0,122600000.0,,,10600000.0,,,0.0,,61900000.0,317900000.0,,177700000.0,,,53000000.0,,9500000.0,105500000.0,,-600000.0,,-72300000.0,,582000000.0,,61000000.0,4900000.0,,,,1200000.0,,3000000.0,,,0.0,,4900000.0,0.465686,,,4900000.0,63600000.0,0.0,-7600000.0,,,-41600000.0,,630400000.0,,4900000.0,,,,,,524900000.0,661000000.0,-4000000.0,45300000.0,10200000.0,,980300000.0,-37700000.0,342400000.0,,,,-5200000.0,524900000.0,,-11700000.0,20400000.0,,,,61000000.0,,0.0,-3000000.0,,-15400000.0,,,0.465686,,,349900000.0,29100000.0,,18500000.0,18000000.0,,1600000.0,,62488421.0,319300000.0,2600000.0,0.0,16200000.0,0.0,3000000.0,,-20400000.0,,,,,25000000.0,,429400000.0,79000000.0,84000000.0,15300000.0,630400000.0,,-84000000.0,,349900000.0,6500000.0,,661000000.0,,,582000000.0,,0.0,5100000.0,105500000.0,-42600000.0,245200000.0,,62488421.0,-400000.0,,,,15500000.0,-54500000.0,125000000.0,29100000.0,-2300000.0,34700000.0,,,,29100000.0,31000000.0,,,3300000.0,345400000.0,,,,,,,,,,,,,,,,,
730857600,14100000.0,,9000000.0,9000000.0,,,,,,,,283600000.0,1400000.0,,600000.0,,,23900000.0,94500000.0,,,,,,,,,,,,,,,-100000.0,,61500000.0,379000000.0,,265400000.0,,,,,8800000.0,,,-600000.0,,,,,,,,,,0.142157,,,2600000.0,,,,63310345.0,6300000.0,,,,6300000.0,,4900000.0,,,,,,577700000.0,,,,,,,,451400000.0,690700000.0,0.0,,9000000.0,,1019100000.0,10200000.0,,,,,,,,,,,,,56300000.0,,0.0,-400000.0,,-41200000.0,,,,,,,,,16800000.0,,,,,,328400000.0,-9400000.0,0.0,,,-5500000.0,,-31000000.0,,,,,23000000.0,,,80200000.0,,14100000.0,,100000.0,,,441400000.0,6200000.0,,,,,610500000.0,,,5100000.0,126300000.0,,253600000.0,,,-3900000.0,,,,14200000.0,,117500000.0,,,-3200000.0,,,,,,63310345.0,,,,0.142157,,,,,,,,,,,,,,,,
738806400,-102800000.0,,10700000.0,10700000.0,,,,,,,,335800000.0,3700000.0,,97500000.0,,,24700000.0,116400000.0,,,,,,,,,,,,,,,-100000.0,,60300000.0,399100000.0,,213600000.0,,,,,8700000.0,,,-700000.0,,,,,,,,,,0.147059,,,2100000.0,,,,72760000.0,10000000.0,,,,10000000.0,,0.0,,,,,,672500000.0,,,,,,,,541200000.0,693200000.0,0.0,,10700000.0,,1129000000.0,-103800000.0,,,,,,,,,,,,,58800000.0,,0.0,-1200000.0,,-7400000.0,,,,,,,,,19000000.0,,,,,,435800000.0,-4200000.0,0.0,,,-3200000.0,,-19300000.0,,,,,25600000.0,,,83500000.0,,16800000.0,,,,,456500000.0,6600000.0,,,,,609700000.0,,,6100000.0,131300000.0,,263600000.0,,,-1000000.0,,,,16900000.0,,142000000.0,,,110600000.0,,,,,,72760000.0,,,,0.147059,,,,,,,,,,,,,,,,
746755200,19400000.0,,12000000.0,12000000.0,,,,,,,,299900000.0,1600000.0,,100000.0,,,27300000.0,138400000.0,,,,,,,,,,,,,,,100000.0,,61100000.0,450900000.0,,248600000.0,,,,,9400000.0,,,-600000.0,,,,,,,,,,0.161765,,,2800000.0,,,,74181818.0,11600000.0,,,,11600000.0,,0.0,,,,,,645700000.0,,,,,,,,508300000.0,709700000.0,0.0,,12000000.0,,1157000000.0,17000000.0,,,,,,,,,,,,,72800000.0,,0.0,700000.0,,-35800000.0,,,,,,,,,22200000.0,,,,,,447300000.0,-28500000.0,0.0,,,-26100000.0,,-44000000.0,,,,,28700000.0,,,100100000.0,,19400000.0,,,,,511300000.0,6500000.0,,,,,609600000.0,,,7400000.0,137400000.0,,274900000.0,,,-2400000.0,,,,19300000.0,,167100000.0,,,10700000.0,,,,,,74181818.0,,,,0.161765,,,,,,,,,,,,,,,,
754617600,800000.0,-58300000.0,20800000.0,20800000.0,,,,59600000.0,,467400000.0,,321600000.0,-1000000.0,-200000.0,100000.0,242200000.0,,25000000.0,197500000.0,,,295100000.0,104700000.0,,,444500000.0,1195500000.0,132400000.0,,,10000000.0,,,0.0,,59600000.0,444500000.0,,242200000.0,,,82000000.0,,11300000.0,156200000.0,,-700000.0,,-68500000.0,,623400000.0,,79700000.0,10600000.0,,,,98300000.0,,2500000.0,,,0.0,,10600000.0,0.740196,,,10600000.0,92000000.0,0.0,0.0,,,-36900000.0,,687300000.0,,10600000.0,,,,,,531100000.0,728100000.0,-100000.0,82000000.0,20800000.0,,1195500000.0,-13300000.0,321600000.0,,,,-2300000.0,531100000.0,,-21400000.0,28100000.0,,,,79700000.0,,0.0,-1400000.0,,13100000.0,,,0.740196,,,508200000.0,52500000.0,,34100000.0,25000000.0,,5700000.0,,70927152.0,467400000.0,-16200000.0,0.0,29500000.0,-100000.0,-2100000.0,,6900000.0,,,,,42900000.0,,666900000.0,104700000.0,120100000.0,31600000.0,687300000.0,,-89900000.0,,508200000.0,8800000.0,,728100000.0,,,623400000.0,,0.0,10800000.0,156200000.0,-71300000.0,295100000.0,,70927152.0,-14100000.0,,,,31600000.0,-87400000.0,240400000.0,52500000.0,-2600000.0,14300000.0,,,,52500000.0,38100000.0,,,4900000.0,546800000.0,,,,,,,,,,,,,,,,,
762393600,10300000.0,,15700000.0,14800000.0,,,,,,,,250800000.0,1300000.0,,700000.0,,,26900000.0,157900000.0,,,,,,,,,,,,,,,900000.0,,57500000.0,464500000.0,,302100000.0,,,,,10200000.0,,,-700000.0,,,,,,,,,,0.215686,,,2100000.0,,,,72790909.0,11900000.0,,,,11900000.0,,10600000.0,,,,,,664000000.0,,,,,,,,510000000.0,721200000.0,0.0,,15700000.0,,1204400000.0,6100000.0,,,,,,,,,,,,,83900000.0,,0.0,-1500000.0,,-56700000.0,,,,,,,,,26300000.0,,,,,,483200000.0,-26900000.0,0.0,,,-22700000.0,,-20400000.0,,,,,34400000.0,,,110800000.0,,24200000.0,,-200000.0,,,540400000.0,8100000.0,,,,,610400000.0,,,9400000.0,154000000.0,,310100000.0,,,-4200000.0,,,,24200000.0,,192300000.0,,,17800000.0,,,,,,72790909.0,,,,0.215686,,,,,,,,,,,,,,,,
770342400,47800000.0,,18000000.0,18000000.0,,,,,,,,194000000.0,-1000000.0,,0.0,,,20100000.0,168000000.0,,,,,,,,,,,,,,,0.0,,55800000.0,483000000.0,,295800000.0,,,,,10500000.0,,,-900000.0,,,,,,,,,,0.245098,,,2200000.0,,,,73440000.0,10900000.0,,,,10900000.0,,0.0,,,,,,632000000.0,,,,,,,,473200000.0,649900000.0,100000.0,,18000000.0,,1150300000.0,43700000.0,,,,,,,,,,,,,84200000.0,,0.0,-1600000.0,,1100000.0,,,,,,,,,31700000.0,,,,,,500400000.0,-200000.0,0.0,,,3900000.0,,-20200000.0,,,,,40000000.0,,,104300000.0,,29500000.0,,300000.0,,,518300000.0,8300000.0,,,,,545600000.0,,,11500000.0,158800000.0,,372300000.0,,,-4100000.0,,,,29500000.0,,208000000.0,,,-48400000.0,,,,,,73440000.0,,,,0.245098,,,,,,,,,,,,,,,,
778291200,18500000.0,,18500000.0,18500000.0,,,,,,,,197400000.0,-700000.0,,0.0,,,18700000.0,159700000.0,,,,,,,,,,,,,,,100000.0,,58000000.0,499400000.0,,294600000.0,,,,,10400000.0,,,-800000.0,,,,,,,,,,0.25,,,2600000.0,,,,74000000.0,10200000.0,,,,10200000.0,,0.0,,,,,,646000000.0,,,,,,,,496200000.0,657100000.0,-100000.0,,18500000.0,,1175100000.0,17200000.0,,,,,,,,,,,,,88400000.0,,0.0,1000000.0,,-14600000.0,,,,,,,,,32800000.0,,,,,,518000000.0,2100000.0,0.0,,,-14900000.0,,-18800000.0,,,,,40600000.0,,,107100000.0,,30300000.0,,,,,529100000.0,7800000.0,,,,,550000000.0,,,11800000.0,149800000.0,,344800000.0,,,-1300000.0,,,,30200000.0,,200300000.0,,,-21400000.0,,,,,,74000000.0,,,,0.25,,,,,,,,,,,,,,,,
786153600,25200000.0,-124200000.0,17100000.0,17000000.0,,,,50800000.0,,534100000.0,,198300000.0,4100000.0,-200000.0,100000.0,381900000.0,,25500000.0,186500000.0,,,360900000.0,128100000.0,,,476000000.0,1293200000.0,26100000.0,,,8400000.0,,,-15300000.0,,50800000.0,476000000.0,-42900000.0,381900000.0,,,127200000.0,,-12400000.0,193600000.0,,-900000.0,,101800000.0,,631000000.0,,102600000.0,17900000.0,,,,800000.0,,1500000.0,,,0.0,,17900000.0,0.941176,,,17900000.0,135600000.0,0.0,1000000.0,,-41200000.0,-46200000.0,,751100000.0,225600000.0,17900000.0,,,,,,557500000.0,759100000.0,-100000.0,111800000.0,17100000.0,,1293200000.0,-20300000.0,198300000.0,,,,-9300000.0,557500000.0,,-55100000.0,10300000.0,-32000000.0,,225600000.0,102600000.0,,0.0,-7200000.0,,18400000.0,,,0.941176,,,542100000.0,69200000.0,,44700000.0,25500000.0,,3700000.0,,73525000.0,534100000.0,-99200000.0,0.0,43600000.0,-100000.0,-12500000.0,,25100000.0,,,15400000.0,,30800000.0,,817900000.0,128100000.0,145900000.0,27800000.0,751100000.0,,46700000.0,,542100000.0,-13900000.0,,759100000.0,,,631000000.0,,0.0,10800000.0,193600000.0,-51800000.0,360900000.0,,73525000.0,-45500000.0,,,,43200000.0,-34300000.0,217300000.0,69200000.0,-3300000.0,78100000.0,-32000000.0,,,68200000.0,18700000.0,,,14200000.0,672000000.0,,,,,,,,,,,,,,,,,
