,quarterlyInventory,quarterlyOtherIncomeExpense,annualChangeInInventory,trailingStockBasedCompensation,annualDepreciationAndAmortization,annualInventory,trailingCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,trailingChangeInInventory,quarterlyInterestExpense,trailingDepreciationAndAmortization,quarterlyAccumulatedDepreciation,annualCurrentLiabilities,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,trailingOtherNonCashItems,quarterlyNetOtherFinancingCharges,quarterlyNonCurrentDeferredTaxesLiabilities,trailingOperatingCashFlow,annualPurchaseOfBusiness,quarterlyBasicAverageShares,quarterlyInvestmentsAndAdvances,annualIncomeTaxPayable,annualSaleOfInvestment,trailingOtherIncomeExpense,annualCapitalStock,annualStockBasedCompensation,annualNetPPE,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,annualOperatingCashFlow,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentAssets,annualGrossProfit,annualEbitda,quarterlyOtherCurrentLiabilities,quarterlyTaxProvision,annualNonCurrentDeferredTaxesLiabilities,quarterlyNetPPE,trailingNetIncome,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyChangesInAccountReceivables,trailingChangeInCashSupplementalAsReported,annualOtherCurrentLiabilities,trailingPretaxIncome,quarterlyOtherShortTermInvestments,annualGrossPPE,annualNetOtherInvestingChanges,annualChangeInCashSupplementalAsReported,annualInterestExpense,annualRepaymentOfDebt,annualPretaxIncome,trailingChangeInWorkingCapital,quarterlyFreeCashFlow,annualGoodwill,annualOtherNonCurrentLiabilities,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,trailingGrossProfit,annualInvestingCashFlow,quarterlyGainsLossesNotAffectingRetainedEarnings,annualOperatingIncome,quarterlySaleOfInvestment,annualOtherIncomeExpense,quarterlyDepreciationAndAmortization,trailingCapitalExpenditure,quarterlyCashAndCashEquivalents,annualPurchaseOfInvestment,quarterlyDilutedEPS,quarterlyCashCashEquivalentsAndMarketableSecurities,annualAccountsPayable,trailingDeferredIncomeTax,trailingInvestingCashFlow,annualCapitalExpenditure,trailingRepaymentOfDebt,quarterlyCapitalStock,trailingInterestExpense,annualCashFlowFromContinuingFinancingActivities,quarterlyBeginningCashPosition,quarterlyAccountsPayable,trailingTotalRevenue,annualEndCashPosition,annualCurrentAccruedExpenses,annualBasicAverageShares,annualNetOtherFinancingCharges,quarterlyPurchaseOfInvestment,quarterlyEbitda,trailingEndCashPosition,quarterlyTotalRevenue,annualNetIncomeContinuousOperations,trailingTaxProvision,quarterlyStockBasedCompensation,annualCashAndCashEquivalents,quarterlyTotalLiabilitiesNetMinorityInterest,annualTotalRevenue,trailingOperatingIncome,annualCostOfRevenue,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,annualInvestmentsAndAdvances,quarterlyGrossProfit,annualCurrentDebt,quarterlyEndCashPosition,trailingRepurchaseOfCapitalStock,quarterlyChangeInAccountPayable,trailingSellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyGrossPPE,annualGainsLossesNotAffectingRetainedEarnings,trailingOperatingExpense,annualDeferredIncomeTax,quarterlyCurrentAssets,annualOtherNonCurrentAssets,annualOperatingExpense,quarterlyRepurchaseOfCapitalStock,annualOtherShortTermInvestments,quarterlyIncomeTaxPayable,trailingFreeCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,annualChangeInAccountPayable,annualAccumulatedDepreciation,annualChangesInAccountReceivables,annualChangeInWorkingCapital,annualRepurchaseOfCapitalStock,trailingNetIncomeContinuousOperations,annualCurrentAssets,quarterlyOperatingIncome,annualBasicEPS,annualTotalLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyChangeInWorkingCapital,quarterlyDilutedAverageShares,trailingCostOfRevenue,quarterlyDeferredIncomeTax,trailingBeginningCashPosition,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyCostOfRevenue,annualNetIncomeCommonStockholders,quarterlyCurrentAccruedExpenses,quarterlyNetOtherInvestingChanges,trailingNetIncomeCommonStockholders,annualDilutedAverageShares,quarterlyStockholdersEquity,annualRetainedEarnings,quarterlyLongTermDebt,quarterlyBasicEPS,annualBeginningCashPosition,quarterlyChangeInInventory,annualAccountsReceivable,annualNetIncome,annualCommonStockIssuance,annualFreeCashFlow,quarterlyNetIncome,annualTotalNonCurrentAssets,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,trailingChangeInAccountPayable,annualSellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,annualDilutedEPS,quarterlySellingGeneralAndAdministration,annualLongTermDebt,annualOtherNonCashItems,annualOtherCurrentAssets,annualTaxProvision,quarterlyOtherCurrentAssets,annualTotalAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRepaymentOfDebt,annualStockholdersEquity,quarterlyCurrentDeferredRevenue,trailingPurchaseOfBusiness,annualResearchAndDevelopment,annualCurrentDeferredRevenue,trailingCashDividendsPaid,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,annualNonCurrentDeferredRevenue,trailingBasicAverageShares,trailingSaleOfInvestment,trailingBasicEPS,trailingNetOtherInvestingChanges,trailingChangesInAccountReceivables,trailingPurchaseOfInvestment,trailingNetOtherFinancingCharges,trailingDilutedEPS,annualCashDividendsPaid,quarterlyCashDividendsPaid,trailingDilutedAverageShares,trailingResearchAndDevelopment,trailingCommonStockIssuance
612576000,,,,,,,,,,,,,,,,,,,,,,32120000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,23300000.0,,23300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23300000.0,,,,,32120000.0,,,,,,,,,,,,,,,0.06,,,,,,,,,,1900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620524800,,,,,,,,,,,,,,,,,,,,,,31424000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,32000000.0,,32000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32000000.0,,,,,31424000.0,,,,,,,,,,,,,,,0.11,,,,,,,,,,3400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628387200,,,,,,,,,,,,,,,,,,,,,,31444000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,41700000.0,,41700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41700000.0,,,,,31444000.0,,,,,,,,,,,,,,,0.13,,,,,,,,,,4100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636163200,45300000.0,,,,,45300000.0,,,,,,-1800000.0,36700000.0,25000000.0,,,,,,,,,,,,,,,5900000.0,12800000.0,2700000.0,0.0,,,7000000.0,52000000.0,16100000.0,11700000.0,,,5900000.0,,,,,,11700000.0,,,7700000.0,,,1600000.0,,13200000.0,,,,0.0,2700000.0,15600000.0,99400000.0,,0.0,,14500000.0,,200000.0,,,12800000.0,,,12800000.0,,,,,,,,,,,,0.0,,33030303.0,,,-82500000.0,,21800000.0,10900000.0,,,12800000.0,37600000.0,118800000.0,,66800000.0,,,,,25000000.0,,,,,36700000.0,7700000.0,,,,83800000.0,7000000.0,37500000.0,,,,,900000.0,,,-1800000.0,,,,,83800000.0,-82500000.0,0.33,37600000.0,30200000.0,,,,,,,,,10900000.0,,,,33030303.0,61800000.0,30200000.0,900000.0,,0.0,,,10900000.0,,0.0,,15600000.0,,1400000.0,,35900000.0,0.0,0.33,,900000.0,,3400000.0,2300000.0,3400000.0,99400000.0,900000.0,,61800000.0,,,,,,,,,,,,,,,,,,,,,
644112000,,,,,,,,,,,,,,,,,,,,,,31448000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,24700000.0,,24700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24700000.0,,,,,31448000.0,,,,,,,,,,,,,,,0.03,,,,,,,,,,800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652060800,,,,,,,,,,,,,,,,,,,,,,31472000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,31000000.0,,31000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31000000.0,,,,,31472000.0,,,,,,,,,,,,,,,0.05,,,,,,,,,,1600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659923200,,,,,,,,,,,,,,,,,,,,,,27916000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,40200000.0,,40200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40200000.0,,,,,27916000.0,,,,,,,,,,,,,,,0.06,,,,,,,,,,1700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667699200,61600000.0,,,,,61600000.0,,,,,,-2500000.0,57700000.0,45000000.0,,,,,,,,,,,,,,,7000000.0,17100000.0,2400000.0,0.0,,,7400000.0,48500000.0,10900000.0,12700000.0,,,7000000.0,,,,,,12700000.0,,,9500000.0,,,3100000.0,,6100000.0,,,,0.0,2400000.0,16800000.0,116700000.0,,0.0,,8600000.0,,600000.0,,,17100000.0,,,17100000.0,,,,,,,,,,,,0.0,,28750000.0,,,-87100000.0,,21200000.0,4600000.0,,,17100000.0,57900000.0,116900000.0,,68400000.0,,,,,45000000.0,,,,,57700000.0,9500000.0,,,,99900000.0,7400000.0,39900000.0,,,,,200000.0,,,-2500000.0,,,,,99900000.0,-87100000.0,0.16,57900000.0,34800000.0,,,,,,,,,4600000.0,,,,28750000.0,58800000.0,34800000.0,200000.0,,0.0,,,4600000.0,,0.0,,16800000.0,,500000.0,,37600000.0,0.0,0.16,,200000.0,,3200000.0,1500000.0,3200000.0,116700000.0,200000.0,,58800000.0,,,,,,,,,,,,,,,,,,,,,
675648000,55100000.0,100000.0,,,,,,,,700000.0,,-2600000.0,,36400000.0,-200000.0,-8600000.0,,0.0,,,,26666667.0,,,,,,,,,,,8300000.0,-800000.0,7600000.0,,,11500000.0,300000.0,,7000000.0,,1100000.0,,,,,,,,,,,,,,8100000.0,,,2300000.0,16900000.0,109700000.0,,,,,,,500000.0,,16300000.0,,0.03,16300000.0,,,,,,,,,17100000.0,2000000.0,,,,,,,2200000.0,,24400000.0,,,,,50100000.0,,,,800000.0,-400000.0,,10400000.0,,0.0,,,,49900000.0,9600000.0,,,,92800000.0,,,,,,,,,,,,,,,,1700000.0,,,35600000.0,6800000.0,26666667.0,,100000.0,,,,14000000.0,,,-200000.0,,,59600000.0,,200000.0,0.03,,6600000.0,,,,,800000.0,,8700000.0,800000.0,,,0.0,,8200000.0,,,,,2900000.0,,200000.0,,,,,,,,,,,,,,,,,,,,,,,
683596800,48800000.0,300000.0,,,,,,,,900000.0,,-2700000.0,,36600000.0,0.0,200000.0,,0.0,,,,27142857.0,,,,,,,,,,,2100000.0,2600000.0,7600000.0,,,13300000.0,600000.0,,6900000.0,,2500000.0,,,,,,,,,,,,,,2100000.0,,,2200000.0,16700000.0,114000000.0,,,,,,,400000.0,,18900000.0,,0.07,18900000.0,,,,,,,,,0.0,2500000.0,,,,,,,3500000.0,,31300000.0,,,,,52500000.0,,,,1900000.0,200000.0,,12600000.0,,0.0,,,,52400000.0,9600000.0,,,,97300000.0,,,,,,,,,,,,,,,,3100000.0,,,37500000.0,-300000.0,27142857.0,,100000.0,,,,18700000.0,,,200000.0,,,61500000.0,,200000.0,0.07,,6200000.0,,,,,1900000.0,,9500000.0,1900000.0,,,-100000.0,,9100000.0,,,,,3100000.0,,100000.0,,,,,,,,,,,,,,,,,,,,,,,
691459200,,,,,,,,,,,,,,,,,,,,,,27000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,42400000.0,,42400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42400000.0,,,,,27000000.0,,,,,,,,,,,,,,,0.12,,,,,,,,,,3300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699321600,49000000.0,,12600000.0,,2000000.0,49000000.0,,,,,,-3000000.0,45700000.0,30700000.0,,,,,,,,,,,,,,,6800000.0,25800000.0,2000000.0,24400000.0,,,7600000.0,49500000.0,13200000.0,11900000.0,,,6800000.0,,,,,,11900000.0,,,9800000.0,-1100000.0,8700000.0,2600000.0,,9500000.0,,,,0.0,2000000.0,16400000.0,111900000.0,,-1500000.0,,11200000.0,,900000.0,,,25800000.0,,,25800000.0,3100000.0,,,-400000.0,,,,-14200000.0,,3100000.0,,0.0,,27692308.0,0.0,,-86900000.0,,22100000.0,7200000.0,,,25800000.0,45900000.0,120200000.0,,70700000.0,,,,,30700000.0,,,,,45700000.0,9800000.0,,,,95500000.0,7600000.0,38300000.0,,,,,200000.0,,,-3000000.0,,13700000.0,,,95500000.0,-86900000.0,0.26,45900000.0,41900000.0,,,,,,,,,7200000.0,,,,27692308.0,66000000.0,41900000.0,200000.0,,17100000.0,,,7200000.0,100000.0,24000000.0,,16400000.0,,1200000.0,,36300000.0,0.0,0.26,,200000.0,,2300000.0,2300000.0,2300000.0,111900000.0,200000.0,,66000000.0,,,,,,,,,,,,,,,,,,,,,
707270400,51500000.0,100000.0,,,,,,,,200000.0,,-2700000.0,,10000000.0,-100000.0,-20000000.0,,800000.0,,,,18160000.0,,,,,,,,,,,300000.0,-19800000.0,7400000.0,,,12800000.0,600000.0,,6700000.0,,2300000.0,,,,,,,,,,,,,,200000.0,,,2000000.0,16100000.0,95000000.0,,,,,,,400000.0,,6100000.0,,0.06,6100000.0,,,,,,,,,25800000.0,3600000.0,,,,,,,2800000.0,,29000000.0,,,,,26400000.0,,,,1700000.0,-100000.0,,11800000.0,,0.0,,,,26400000.0,9400000.0,,,,78900000.0,,,,,,,,200000.0,,,,,,,,2400000.0,,,43700000.0,-2300000.0,18160000.0,,100000.0,,,,17200000.0,,,0.0,,,68600000.0,,,0.06,,-2500000.0,,,,,1700000.0,,9400000.0,1700000.0,,,,,9000000.0,,,,,2000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
715219200,49200000.0,200000.0,,,,,,,,300000.0,,-2900000.0,,23500000.0,-6700000.0,13500000.0,,-700000.0,,,,30000000.0,,,,,,,,,,,-300000.0,6400000.0,7000000.0,,,14400000.0,800000.0,,13200000.0,,3500000.0,,,,,,,,,,,,,,-7000000.0,,,1900000.0,22100000.0,112200000.0,,,,,,,700000.0,,12500000.0,,0.09,12500000.0,,,,,,,,,0.0,3100000.0,,,,,,,4300000.0,,36300000.0,,,,,40900000.0,,,,2700000.0,-6700000.0,,14600000.0,,0.0,,,,41000000.0,16100000.0,,,,90100000.0,,,,,,,,,,,,,,,,3600000.0,,,46300000.0,-3300000.0,30000000.0,,-400000.0,,,,21700000.0,,,0.0,,,71300000.0,,,0.09,,2400000.0,,,,,2700000.0,,11000000.0,2700000.0,,,,,10500000.0,,,,,2300000.0,,-100000.0,,,,,,,,,,,,,,,,,,,,,,,
723081600,45500000.0,100000.0,,,,,,0.0,,300000.0,,-3100000.0,,16400000.0,-8400000.0,-7100000.0,,-100000.0,,,,29285714.0,,,,,,,,,,,4500000.0,-10700000.0,5700000.0,,,14900000.0,1300000.0,,14000000.0,,5400000.0,,,,,,,,,,,,,,-3900000.0,,,9200000.0,28900000.0,109200000.0,,,,,,,400000.0,,1700000.0,,0.14,1700000.0,,,,,,,,,0.0,2500000.0,,,,,,,6100000.0,,39100000.0,,,,,33800000.0,,,,4100000.0,-8200000.0,,15500000.0,,0.0,,,,33800000.0,17100000.0,,,,80300000.0,,,,,,,,,,,,,,,,5600000.0,,,50400000.0,1700000.0,29285714.0,,-100000.0,,,,23600000.0,,,200000.0,,,75400000.0,,,0.14,,3600000.0,,,,,4100000.0,,9900000.0,4100000.0,,,,,9400000.0,,,,,2500000.0,,,,,,,,,,,,,,,,,,,,,,,,,
730857600,41000000.0,2700000.0,8100000.0,,1900000.0,41000000.0,,500000.0,,200000.0,,-3100000.0,42500000.0,34100000.0,-1000000.0,12000000.0,,0.0,,,,,,,200000.0,,,,13100000.0,29700000.0,9200000.0,17300000.0,12800000.0,28000000.0,5600000.0,52900000.0,16100000.0,5100000.0,600000.0,,13100000.0,,5000000.0,,,,5100000.0,,,16200000.0,4200000.0,3900000.0,1000000.0,,16200000.0,,11800000.0,,,9200000.0,27900000.0,122700000.0,,-11800000.0,,14200000.0,,3000000.0,400000.0,,29700000.0,,,29700000.0,3300000.0,,,-16200000.0,,,,-1600000.0,0.0,3300000.0,,0.0,,28666667.0,0.0,,2900000.0,,27500000.0,12900000.0,,,29700000.0,42500000.0,132000000.0,,79100000.0,4400000.0,3200000.0,,10800000.0,34100000.0,0.0,,,,42500000.0,16200000.0,,,-100000.0,94800000.0,5600000.0,38700000.0,,,,,,,,-3100000.0,,4700000.0,,,94800000.0,2500000.0,0.45,42500000.0,54800000.0,8600000.0,,,300000.0,,,,16700000.0,12900000.0,,4000000.0,,28666667.0,80200000.0,54800000.0,,,25800000.0,4600000.0,,12900000.0,1300000.0,1100000.0,4400000.0,27900000.0,8300000.0,4400000.0,,36800000.0,,0.45,7900000.0,,,1700000.0,3300000.0,1700000.0,122700000.0,,,80200000.0,,,,,,,,,,,,,,,,,,,,,
738806400,37500000.0,400000.0,,,,,,,,,,-3200000.0,,23300000.0,-1300000.0,-4800000.0,,0.0,300000.0,,,27540000.0,,,,,,,,,,,6800000.0,2600000.0,5500000.0,,,9900000.0,400000.0,,11900000.0,,1900000.0,,,,,,,,,,,,,,5500000.0,,,10200000.0,27600000.0,117900000.0,,,,,,,300000.0,,32300000.0,,0.03,32300000.0,,,,,,,,,29700000.0,3100000.0,,,,,,,1800000.0,,26800000.0,,,,,36600000.0,,,,1100000.0,500000.0,,9600000.0,,0.0,,,,36300000.0,15100000.0,,,,90300000.0,,,,,,,,,,,,,,,,1500000.0,,,56000000.0,5200000.0,27540000.0,,600000.0,,,,17200000.0,,,1600000.0,,,81300000.0,,,0.03,,3500000.0,,,,,1100000.0,,8100000.0,1500000.0,,,0.0,,7800000.0,,,,,1500000.0,,300000.0,,,,,,,,,,,,,,,,,,,,,,,
746755200,38900000.0,100000.0,,,,,,,,,,-3400000.0,,,-200000.0,-23200000.0,,0.0,300000.0,,,30000000.0,,,,,,,,,,,-5000000.0,-28700000.0,5600000.0,,,13100000.0,700000.0,,11900000.0,,2800000.0,,,,,,,,,,,,,,-5200000.0,,,10100000.0,27600000.0,101900000.0,,,,,,,400000.0,,3500000.0,,0.05,3500000.0,,,,,,,,,0.0,5800000.0,,,,,,,3100000.0,,32800000.0,,,,,19200000.0,,,,1500000.0,-400000.0,,12400000.0,,0.0,,,,18900000.0,15300000.0,,,,74300000.0,,,,,,,,,,,,,,,,2700000.0,,,57300000.0,-7400000.0,30000000.0,,,,,,20400000.0,,,-1700000.0,,,82700000.0,,,0.05,,-1500000.0,,,,,1500000.0,,9700000.0,2100000.0,,,0.0,,9500000.0,,,,,2600000.0,,300000.0,,,,,,,,,,,,,,,,,,,,,,,
754617600,34300000.0,200000.0,,,,,,,,200000.0,,-2700000.0,,,-500000.0,19100000.0,,-2200000.0,300000.0,,,29333333.0,,,,,,,,,,,2700000.0,21700000.0,5100000.0,,,36300000.0,1400000.0,,11700000.0,,5800000.0,,,,,,,,,,,,,,2200000.0,,,9900000.0,26700000.0,124900000.0,,,,,,,400000.0,,25300000.0,,0.15,25300000.0,,,,,,,,,0.0,3200000.0,,,,,,,6100000.0,,40700000.0,,,,,39900000.0,,,,4400000.0,0.0,,15700000.0,,0.0,,,,39500000.0,14400000.0,,,,98200000.0,,,,,,,,,,,,,,,,5700000.0,,,61900000.0,-3100000.0,29333333.0,,,,,,25000000.0,,,500000.0,,,85000000.0,,,0.15,,4700000.0,,,,,4400000.0,,10000000.0,4400000.0,,,100000.0,,9600000.0,,,,,1500000.0,,400000.0,,,,,,,,,,,,,,,,,,,,,,,
762393600,39500000.0,-700000.0,1500000.0,,1600000.0,39500000.0,,,,-400000.0,,-2700000.0,37400000.0,22500000.0,100000.0,1400000.0,,-2700000.0,,,,,,,,,,,11600000.0,35200000.0,9700000.0,13800000.0,9300000.0,9900000.0,6900000.0,46900000.0,11400000.0,11800000.0,-700000.0,,11600000.0,,-200000.0,,,,11800000.0,,,14300000.0,-900000.0,5500000.0,800000.0,,9400000.0,,9400000.0,,,9700000.0,28200000.0,123100000.0,,-700000.0,,9800000.0,,300000.0,500000.0,,35200000.0,,,35200000.0,3100000.0,,,-1900000.0,,,,-7500000.0,0.0,3100000.0,,0.0,,26785714.0,-2700000.0,,500000.0,,20700000.0,7900000.0,,,35200000.0,37400000.0,123200000.0,,76300000.0,500000.0,-800000.0,,8000000.0,22500000.0,0.0,,,,37400000.0,14300000.0,,,,94900000.0,6900000.0,37100000.0,,,,,,,,-2700000.0,,3400000.0,,,94900000.0,0.0,0.28,37400000.0,57700000.0,8700000.0,,,,,,,12700000.0,7500000.0,,-1300000.0,,28846154.0,85700000.0,57700000.0,,,29700000.0,-5200000.0,,7500000.0,700000.0,11900000.0,500000.0,28200000.0,8000000.0,500000.0,,35500000.0,,0.26,7500000.0,,-200000.0,1300000.0,1500000.0,1300000.0,123100000.0,,,85700000.0,,,,,,,,,,,,,,,,,,,,,
770342400,39200000.0,100000.0,,,,,,,,,,-2900000.0,,23100000.0,-100000.0,-2900000.0,,0.0,300000.0,,,26000000.0,,,,,,,,,,,-1400000.0,-4900000.0,7300000.0,,,12200000.0,400000.0,,11500000.0,,1700000.0,,,,,,,,,,,,,,-1500000.0,,,9500000.0,28300000.0,121600000.0,,,,,,,500000.0,,30300000.0,,0.05,30300000.0,,,,,,,,,35200000.0,2500000.0,,,,,,,2100000.0,,26800000.0,,,,,38100000.0,,,,1300000.0,-600000.0,,10300000.0,,0.0,,,,37800000.0,14400000.0,,,,93300000.0,,,-3500000.0,,,,,200000.0,,,,,,,,1600000.0,,,56600000.0,-3500000.0,26000000.0,,,,,,16500000.0,,,-500000.0,,,83500000.0,,,0.05,,200000.0,,,,,1300000.0,,8700000.0,1300000.0,,,0.0,,8200000.0,,,,,1800000.0,,300000.0,,,,,,,,,,,,,,,,,,,,,,,
778291200,41500000.0,100000.0,,,,,,,,100000.0,,-3000000.0,,24400000.0,-200000.0,-2500000.0,,0.0,300000.0,,,25454545.0,,,,,,,,,,,-5700000.0,-8900000.0,7800000.0,,,14900000.0,900000.0,,11400000.0,,3700000.0,,,,,,,,,,,,,,-5900000.0,,,9300000.0,28500000.0,125100000.0,,,,,,,400000.0,,21400000.0,,0.11,21400000.0,,,,,,,,,0.0,2900000.0,,,,,,,4200000.0,,37000000.0,,,,,42500000.0,,,,2800000.0,-800000.0,,14100000.0,,0.0,,,,42200000.0,14400000.0,,,,96600000.0,,,-3800000.0,,,,,-100000.0,,,,,,,,3700000.0,,,56700000.0,-8900000.0,25454545.0,,,,,,22900000.0,,,-600000.0,,,82600000.0,,,0.11,,-2300000.0,,,,,2800000.0,,10400000.0,2800000.0,,,0.0,,9900000.0,,,,,1700000.0,,300000.0,,,,,,,,,,,,,,,,,,,,,,,
786153600,42500000.0,300000.0,,,,,,,,300000.0,,-3200000.0,,25600000.0,-200000.0,-700000.0,,0.0,300000.0,,,26500000.0,,,,,,,,,,,-700000.0,-2100000.0,7800000.0,,,17300000.0,1500000.0,,11700000.0,,6800000.0,,,,,,,,,,,,,,-900000.0,,,9100000.0,28600000.0,131900000.0,,,,,,,600000.0,,19300000.0,,0.2,19300000.0,,,,,,,,,0.0,2700000.0,,,,,,,7500000.0,,47000000.0,,,,,45900000.0,,,,5300000.0,-600000.0,,18200000.0,,0.0,,,,45600000.0,14900000.0,,,,103300000.0,,,-2000000.0,,,,,-200000.0,,,,,,,,6900000.0,,,60600000.0,-6700000.0,26500000.0,,,,,,28800000.0,,,-400000.0,,,86000000.0,,,0.2,,-900000.0,,,,,5300000.0,,11300000.0,5300000.0,,,0.0,,10800000.0,,,,,1100000.0,,300000.0,,,,,,,,,,,,,,,,,,,,,,,
793929600,46100000.0,-600000.0,-7500000.0,,2000000.0,46100000.0,,900000.0,,-400000.0,,-3300000.0,44600000.0,30000000.0,-100000.0,5300000.0,,0.0,,,,,,,,,,,11600000.0,31900000.0,8900000.0,-100000.0,7700000.0,12600000.0,9000000.0,53700000.0,16600000.0,12200000.0,500000.0,,11600000.0,,2200000.0,,,,12200000.0,,,14900000.0,-1800000.0,-3300000.0,200000.0,,14500000.0,,7600000.0,,,8900000.0,29500000.0,133200000.0,,-2400000.0,,14600000.0,,100000.0,500000.0,,31900000.0,,,31900000.0,2400000.0,,,-600000.0,,,,-800000.0,0.0,2400000.0,,0.0,,25454545.0,0.0,,2900000.0,,27300000.0,11200000.0,,,31900000.0,44600000.0,138100000.0,,84400000.0,1700000.0,-400000.0,,11100000.0,30000000.0,0.0,,,,44600000.0,14900000.0,,,300000.0,103700000.0,9000000.0,39100000.0,0.0,,,,,,,-3300000.0,,-13900000.0,-9300000.0,,103700000.0,2400000.0,0.44,44600000.0,62300000.0,5200000.0,,,100000.0,,,,16200000.0,11200000.0,,-300000.0,,27317073.0,88600000.0,62300000.0,,,35200000.0,-4500000.0,,11200000.0,1000000.0,-700000.0,1700000.0,29500000.0,8700000.0,1700000.0,,37100000.0,,0.41,8200000.0,,,500000.0,3300000.0,500000.0,133200000.0,,,88600000.0,,,,,,,,,,,,,,,,,,,,,
801878400,53100000.0,-100000.0,,,,,,100000.0,,,,-3400000.0,,23500000.0,-1200000.0,-6400000.0,,0.0,,,,24285714.0,,,,,,,,,,,-4000000.0,-11300000.0,8400000.0,,,13400000.0,500000.0,,12600000.0,,2200000.0,,,,,,,,,,,,,,-5200000.0,,,8800000.0,29800000.0,131100000.0,,,,,,,600000.0,,20700000.0,,0.07,20700000.0,,,,,,,,,31900000.0,3800000.0,,,,,,,2800000.0,,33500000.0,,,,,40700000.0,,,,1700000.0,-800000.0,,13000000.0,,0.0,,,,40700000.0,16000000.0,,,,101300000.0,,,,,,,,,,,,,,,,2200000.0,,,64000000.0,-6300000.0,24285714.0,,,,,,20500000.0,,,400000.0,,,90400000.0,,,0.07,,-7000000.0,,,,,1700000.0,,10800000.0,1700000.0,,,,,10200000.0,,,,,1200000.0,,,,,,,,,,,,,,,,,,,,,,,,,
