date,trailingNetIncomeContinuousOperations,quarterlyOperatingIncome,quarterlyNonCurrentDeferredRevenue,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInWorkingCapital,annualInvestmentsAndAdvances,annualNetIncomeContinuousOperations,quarterlyDeferredIncomeTax,trailingRepurchaseOfCapitalStock,quarterlyAccountsPayable,annualRepurchaseOfCapitalStock,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,annualCurrentAccruedExpenses,trailingSellingGeneralAndAdministration,annualCapitalExpenditure,quarterlyIncomeTaxPayable,quarterlyGrossPPE,annualOperatingExpense,annualCashAndCashEquivalents,trailingDeferredIncomeTax,annualTaxProvision,quarterlyTotalRevenue,annualDilutedEPS,annualChangesInAccountReceivables,annualInterestExpense,trailingBeginningCashPosition,trailingCostOfRevenue,annualBasicAverageShares,quarterlyOtherNonCashItems,annualTotalRevenue,trailingResearchAndDevelopment,annualCurrentAssets,trailingOperatingExpense,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,annualNetOtherFinancingCharges,quarterlyStockBasedCompensation,annualOtherShortTermInvestments,annualCommonStockIssuance,quarterlyEndCashPosition,quarterlyInvestingCashFlow,annualResearchAndDevelopment,annualOtherNonCurrentAssets,annualAccumulatedDepreciation,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualNetIncomeCommonStockholders,annualDeferredIncomeTax,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,quarterlyCurrentLiabilities,trailingFreeCashFlow,quarterlyPretaxIncome,quarterlyNetOtherInvestingChanges,annualRetainedEarnings,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,trailingNetIncome,trailingNetIncomeCommonStockholders,annualTotalAssets,annualTotalLiabilitiesNetMinorityInterest,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyGoodwill,annualCurrentDeferredRevenue,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,annualCostOfRevenue,annualOtherCurrentAssets,annualDilutedAverageShares,quarterlyOtherCurrentAssets,annualNetIncome,annualBeginningCashPosition,quarterlyBasicEPS,annualSellingGeneralAndAdministration,annualFreeCashFlow,annualTotalNonCurrentAssets,quarterlyBasicAverageShares,trailingDepreciationAndAmortization,trailingTaxProvision,quarterlyResearchAndDevelopment,annualStockholdersEquity,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,annualOtherNonCashItems,quarterlyOtherNonCurrentAssets,quarterlyCommonStockIssuance,annualPurchaseOfBusiness,quarterlyInvestmentsAndAdvances,quarterlyNetIncome,trailingStockBasedCompensation,annualNonCurrentDeferredTaxesLiabilities,annualCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,annualDepreciationAndAmortization,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,annualInvestingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,annualPurchaseOfInvestment,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyOtherIncomeExpense,quarterlyNetPPE,trailingOperatingCashFlow,annualAccountsReceivable,annualCapitalStock,quarterlyInventory,quarterlyTaxProvision,quarterlyOperatingExpense,annualGrossProfit,annualCurrentLiabilities,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,annualStockBasedCompensation,quarterlyCostOfRevenue,annualNetPPE,annualGoodwill,annualOperatingCashFlow,annualSaleOfInvestment,annualOtherIntangibleAssets,quarterlyBeginningCashPosition,quarterlyCapitalStock,annualEbitda,quarterlyDilutedEPS,quarterlyFreeCashFlow,annualOtherNonCurrentLiabilities,trailingChangeInWorkingCapital,annualGainsLossesNotAffectingRetainedEarnings,quarterlyDilutedAverageShares,annualChangeInCashSupplementalAsReported,annualBasicEPS,trailingGrossProfit,annualCashCashEquivalentsAndMarketableSecurities,annualOtherCurrentLiabilities,annualNetOtherInvestingChanges,trailingPretaxIncome,annualEndCashPosition,annualPretaxIncome,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingOperatingIncome,trailingCapitalExpenditure,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,annualNonCurrentDeferredRevenue,annualOperatingIncome,trailingTotalRevenue,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,annualOtherIncomeExpense,trailingChangeInCashSupplementalAsReported,quarterlyOtherIntangibleAssets,annualGrossPPE,trailingInvestingCashFlow,annualAccountsPayable,annualIncomeTaxPayable,quarterlyDepreciationAndAmortization,trailingEndCashPosition,trailingCashFlowFromContinuingFinancingActivities,trailingChangeInInventory,trailingPurchaseOfBusiness,annualInventory,quarterlyRepaymentOfDebt,trailingCashDividendsPaid,annualRepaymentOfDebt,quarterlyCurrentDebt,annualLongTermDebt,trailingRepaymentOfDebt,trailingBasicAverageShares,quarterlyPurchaseOfInvestment,trailingOtherIncomeExpense,quarterlyLongTermDebt,trailingSaleOfInvestment,quarterlySaleOfInvestment,quarterlyChangeInAccountPayable,trailingBasicEPS,trailingNetOtherInvestingChanges,quarterlyChangeInInventory,trailingChangesInAccountReceivables,trailingOtherNonCashItems,quarterlyInterestExpense,trailingPurchaseOfInvestment,annualChangeInInventory,trailingNetOtherFinancingCharges,trailingDilutedEPS,annualCashDividendsPaid,quarterlyCashDividendsPaid,annualCurrentDebt,trailingDilutedAverageShares,trailingInterestExpense,trailingCommonStockIssuance,trailingChangeInAccountPayable
,,88692000,,243531000.0,,,,,,120156000.0,,134932000.0,20752000.0,,,,,26985000.0,,,,,145010000,,,,,,,,,,,,88692000,,,,,,0.0,0.0,,,,,,,,,,,529935000.0,243531000.0,,98793000.0,,,,595271000.0,,,,,650493000.0,36920000.0,,,-14431000.0,,,,,0.0,,,0.35,,,,236357000.0,,,9320000.0,,,,,280581000.0,,,,83678000,,,,,,0.0,83678000,,,0.0,,,123375000.0,0.0,12554000.0,,,,,15115000.0,46240000.0,,,86597000.0,,,10078000.0,,,,,,0.0,727000.0,,0.32,0.0,,,,261779000.0,,,,,,,,,,486318000.0,486318000.0,,,83678000,894024000.0,,,,,298753000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,91699000,,242144000.0,,,,,,130520000.0,,135607000.0,20600000.0,,,,,27310000.0,,,,,142071000,,,,,,,,,,,,91699000,,,,,,0.0,0.0,,,,,,,,1977000.0,,,616736000.0,240167000.0,,103273000.0,,,,971520000.0,,,,,750016000.0,34859000.0,,,-14431000.0,,,,,0.0,,,0.36,,,,239202000.0,,,9049000.0,,,,,2059000.0,,,,86801000,,,,,,0.0,86801000,,,0.0,,,109647000.0,0.0,12879000.0,,,,,16472000.0,43908000.0,,,86889000.0,,,6464000.0,,,,,,0.0,731000.0,,0.33,0.0,,,,260440000.0,,,,,,,,,,866023000.0,866023000.0,,,86801000,992160000.0,,,,,20640000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,76776000,,228237000.0,,,,,,127921000.0,,112664000.0,,,,,,27713000.0,,,,,118032000,,,,,,,,,,,,76776000,,,,,,0.0,0.0,,,,,,,,,,,691041000.0,228237000.0,,88216000.0,,,,1038845000.0,,,,,829615000.0,28377000.0,,,-14431000.0,,,,,0.0,,,0.31,,,,241397000.0,,,7511000.0,,,,,0.0,,,,74305000,,,,,,0.0,74305000,,,0.0,,,100316000.0,0.0,13282000.0,,,,,13911000.0,35888000.0,,,77101000.0,,,5368000.0,,,,,,0.0,732000.0,,0.29,0.0,,,,259124000.0,,,,,,,,,,944248000.0,944248000.0,,,74305000,1057852000.0,,,,,19007000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,79596000,,227180000.0,,,321920000.0,,,4945000.0,,117869000.0,2909000.0,124736000.0,,-9678000.0,,33104000.0,164309000.0,219068000.0,,59603000.0,122530000,1.25,,300000.0,,,222930000.0,,527643000.0,,580416000.0,,79596000,,-1465000.0,,267889000.0,37736000.0,219068000.0,-321581000.0,33221000.0,549244000.0,-19856000.0,1796000.0,,321920000.0,-240000.0,1796000.0,15141000.0,267889000.0,768177000.0,225384000.0,,91241000.0,,768177000.0,,580416000.0,,,1142908000.0,227180000.0,915728000.0,30932000.0,,95703000.0,-19856000.0,,26571000.0,0.0,246456000.0,0.0,321920000.0,157203000.0,,131088000.0,337497000.0,562492000.0,,,,7341000.0,915728000.0,,,,549244000.0,,,,77136000,,,36271000.0,,10354000.0,347175000.0,77136000,-321581000.0,,0.0,-706868000.0,,95703000.0,3671000.0,13248000.0,,74294000.0,735000.0,,14105000.0,38273000.0,501072000.0,225384000.0,74294000.0,124736000.0,,4661000.0,13248000.0,,347175000.0,403600000.0,,0.0,735000.0,347117000.0,,337497000.0,,,2909000.0,,61865000.0,1.34,,486957000.0,0.0,-8635000.0,,219068000.0,381523000.0,219068000.0,486957000.0,,,77136000,1142908000.0,,336763000.0,,,562492000.0,3671000.0,,,33104000.0,,4945000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,62699000,,225347000.0,,,,,,130598000.0,,99968000.0,,,,,,32453000.0,,,,,104583000,,,,,,,,,,,,62699000,,,,,,0.0,0.0,,,,,,,,,,,831713000.0,225347000.0,,74926000.0,,,,1191578000.0,,,,,984626000.0,29870000.0,,,-19856000.0,,,,,0.0,,,0.26,,,,243179000.0,,,7399000.0,,,,,0.0,,,,63536000,,,,,,0.0,63536000,,,0.0,,,94749000.0,0.0,12597000.0,,,,,11390000.0,37269000.0,,,62699000.0,,,4615000.0,,,,,,0.0,737000.0,,0.25,0.0,,,,259042000.0,,,,,,,,,,1106729000.0,1106729000.0,,,63536000,1209973000.0,,,,,18395000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64086000,,229180000.0,,,,,,134556000.0,,103698000.0,,,,,,32019000.0,,,,,108587000,,,,,,,,,,,,64086000,,,,,,0.0,0.0,,,,,,,,,,,896447000.0,229180000.0,,76418000.0,,,,1262705000.0,,,,,1051562000.0,32229000.0,,,-19856000.0,,,,,0.0,,,0.27,,,,243740000.0,,,7383000.0,,,,,0.0,,,,64734000,,,,,,0.0,64734000,,,0.0,,,94624000.0,0.0,12163000.0,,,,,11684000.0,39612000.0,,,59315000.0,,,4889000.0,,,,,,0.0,737000.0,,0.26,0.0,,,,253559000.0,,,,,,,,,,1182361000.0,1182361000.0,,,64734000,1280742000.0,,,,,18037000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,62055000,,228036000.0,,,,,,133420000.0,,97883000.0,,,,,,31206000.0,,,,,103559000,,,,,,,,,,,,62055000,,,,,,0.0,0.0,,,,,,,,,,,958763000.0,228036000.0,,74331000.0,,,,1331927000.0,,,,,1121087000.0,28840000.0,,,-19856000.0,,,,,0.0,,,0.25,,,,244739000.0,,,6988000.0,,,,,0.0,,,,62316000,,,,,,0.0,62316000,,,0.0,,,94616000.0,0.0,11350000.0,,,,,12015000.0,35828000.0,,,65155000.0,,,5676000.0,,,,,,0.0,737000.0,,0.25,0.0,,,,253336000.0,,,,,,,,,,1240794000.0,1240794000.0,,,62316000,1349123000.0,,,,,17196000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66172000,,238569000.0,,,255080000.0,,,4921000.0,,104747000.0,-190000.0,128641000.0,,-4596000.0,,37682000.0,151284000.0,444449000.0,,49246000.0,110260000,1.0,,,,,244097000.0,,426989000.0,,876107000.0,,66172000,,0.0,,341448000.0,14736000.0,444449000.0,-73282000.0,28709000.0,539051000.0,-27229000.0,5780000.0,,255080000.0,796000.0,5780000.0,13096000.0,341448000.0,1023257000.0,232789000.0,,78651000.0,,1023257000.0,,876107000.0,,,1425611000.0,238569000.0,1187042000.0,31636000.0,,99227000.0,-27229000.0,,20693000.0,0.0,254772000.0,0.0,255080000.0,219068000.0,,122575000.0,279331000.0,549504000.0,,,,6939000.0,1187042000.0,,,,539051000.0,,,,64494000,,,14736000.0,,14955000.0,283927000.0,64494000,-73282000.0,,0.0,-976085000.0,,99227000.0,0.0,10453000.0,,73165000.0,740000.0,,14157000.0,38575000.0,406296000.0,232789000.0,73165000.0,128641000.0,,5513000.0,10453000.0,,283927000.0,929787000.0,,0.0,740000.0,269967000.0,,279331000.0,,,-190000.0,,225381000.0,1.04,,785897000.0,0.0,-22388000.0,,444449000.0,304326000.0,444449000.0,785897000.0,,,64494000,1425611000.0,,255012000.0,,,549504000.0,0.0,,,37682000.0,,4921000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61844000,,230795000.0,15275000.0,,,,,129078000.0,,99734000.0,,,,,,36723000.0,,,,,104847000,,,,,,,,,,,,63441000,,,,,,1394232000.0,-637000.0,,,,,,,,,,,1083336000.0,230795000.0,,73187000.0,0.0,,,1473169000.0,,,,,1256893000.0,31032000.0,,,-27229000.0,,,,,0.0,,,0.24,,,,246255000.0,,,6858000.0,,0.0,3166000.0,,0.0,3166000.0,,,60079000,,,,-637000.0,,76951000.0,60079000,,79480000.0,0.0,,,101717000.0,0.0,9494000.0,,,,,13108000.0,37890000.0,,,59083000.0,,,5113000.0,,,,,,1314752000.0,741000.0,,0.24,76314000.0,,,,253195000.0,,,,,,,,,,1394232000.0,1394232000.0,,,60079000,1487688000.0,,,,,14519000.0,,,,,,,,1597000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,62870000,,236847000.0,6073000.0,,,,,133533000.0,,101482000.0,,,,,,35878000.0,,,,,106103000,,,,,,,,,,,,64270000,,,,,,1467333000.0,-997000.0,,,,,,,,,,,1143514000.0,236847000.0,,73367000.0,0.0,,,1548863000.0,,,,,1325718000.0,31349000.0,,,-27229000.0,,,,,0.0,,,0.24,,,,247221000.0,,,7263000.0,,0.0,6447000.0,,0.0,6447000.0,,,60178000,,,,-997000.0,,67651000.0,60178000,,73101000.0,0.0,,,103314000.0,0.0,8649000.0,,,,,13189000.0,38612000.0,,,61287000.0,,,4621000.0,,,,,,1394232000.0,744000.0,,0.24,66654000.0,,,,255119000.0,,,,,,,,,,1467333000.0,1467333000.0,,,60178000,1562565000.0,,,,,13702000.0,,,,,,,,1400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,62088000,,234291000.0,-1304000.0,,,,,135154000.0,,101725000.0,,,,,,35248000.0,,,,,106322000,,,,,,,,,,,,63431000,,,,,,1530128000.0,-713000.0,,,,,,,,,,,1201880000.0,234291000.0,,73009000.0,0.0,,,1613117000.0,,,,,1391889000.0,31967000.0,,,-27229000.0,,,,,0.0,,,0.24,,,,248172000.0,,,7670000.0,,0.0,5103000.0,,0.0,5103000.0,,,58366000,,,,-713000.0,,58405000.0,58366000,,62795000.0,0.0,,,99137000.0,0.0,8019000.0,,,,,14643000.0,39637000.0,,,57541000.0,,,4597000.0,,,,,,1467333000.0,745000.0,,0.23,57692000.0,,,,256106000.0,,,,,,,,,,1530128000.0,1530128000.0,,,58366000,1626180000.0,,,,,13063000.0,,,,,,,,1343000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,68882000,,252120000.0,3836000.0,,243879000.0,,,4556000.0,,110708000.0,158000.0,134789000.0,,-2971000.0,,36616000.0,157965000.0,327188000.0,,55311000.0,115300000,0.96,,,,,247691000.0,,432572000.0,,1228767000.0,,88224000,,0.0,,809158000.0,17710000.0,327188000.0,-423509000.0,29314000.0,477504000.0,-29222000.0,6886000.0,,243879000.0,-556000.0,6886000.0,23880000.0,809158000.0,1267136000.0,245234000.0,,79627000.0,-422885000.0,1267136000.0,,1228767000.0,,,1713665000.0,252120000.0,1461545000.0,34303000.0,,105889000.0,-29222000.0,,18923000.0,0.0,255083000.0,0.0,243879000.0,444449000.0,,128651000.0,287914000.0,484898000.0,,,,7523000.0,1461545000.0,0.0,2994000.0,,477504000.0,2994000.0,,,65256000,,,17710000.0,-624000.0,23682000.0,87878000.0,65256000,-425856000.0,-332637000.0,0.0,-1183323000.0,,105889000.0,0.0,7394000.0,,72754000.0,747000.0,,14371000.0,41826000.0,413649000.0,245234000.0,72754000.0,134789000.0,,4592000.0,7394000.0,,290885000.0,760438000.0,,1530128000.0,747000.0,279366000.0,,87254000.0,,,158000.0,,-117261000.0,0.98,,1136346000.0,0.0,0.0,,327188000.0,299190000.0,327188000.0,1136346000.0,,,65256000,1713665000.0,,255684000.0,,,484898000.0,0.0,,,36616000.0,,4556000.0,,19342000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,69018000,,277338000.0,21489000.0,,,,,141403000.0,,111128000.0,-19499000.0,,,,,38909000.0,,,,,116062000,,,,,,,,,,,,70275000,,,,,,1581946000.0,-96704000.0,,,,,,,,11564000.0,,691092000.0,1309064000.0,265774000.0,,56689000.0,0.0,,,1146716000.0,,,,,1639271000.0,33448000.0,,,-29222000.0,2536000.0,,,,0.0,,,0.17,,,,250189000.0,,,8662000.0,,0.0,11252000.0,,540038000.0,11252000.0,,,41928000,,,,-1361000.0,,64674000.0,41928000,,-20778000.0,0.0,,9028000.0,124371000.0,-23098000.0,9687000.0,,,,,14761000.0,42110000.0,,,80645000.0,,,4934000.0,,,,,,1602724000.0,751000.0,,0.16,63313000.0,,,,259829000.0,,,,,,,,,,352057000.0,1043149000.0,,,41928000,1916609000.0,,,,,769893000.0,,,198602000.0,,,,,1257000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65597000,,281436000.0,-9038000.0,,,,,140450000.0,,120476000.0,-14401000.0,,,,,37899000.0,,,,,126919000,,,,,,,,,,,,70165000,,,,,,1592767000.0,-966000.0,,,,,,,,11015000.0,,850463000.0,1372327000.0,270421000.0,,76176000.0,0.0,,,1176072000.0,,,,,1637484000.0,40891000.0,,,-29222000.0,2587000.0,,,,0.0,,,0.25,,,,254778000.0,,,10844000.0,,0.0,-70104000.0,,512439000.0,8545000.0,,,63263000,,,,-966000.0,,81891000.0,63263000,,10821000.0,0.0,,8428000.0,129971000.0,0.0,8677000.0,,,,,12913000.0,54879000.0,,,71192000.0,,,6443000.0,,,,,,1581946000.0,755000.0,,0.24,80925000.0,,,,266800000.0,,,,,,,,,,231077000.0,1081540000.0,,,63263000,1918920000.0,,,,,742848000.0,,,201206000.0,,,,,4568000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,68976000,,274831000.0,-6718000.0,,,,,139618000.0,,123143000.0,-12490000.0,,,,,37447000.0,,,,,129330000,,,,,,,,,,,,73357000,-121588000.0,,,,,1538288000.0,-1004000.0,,,,,,,,10434000.0,,887903000.0,1439085000.0,264397000.0,,80435000.0,0.0,,,1099287000.0,,,,,1585880000.0,39577000.0,,,-29222000.0,2568000.0,,,,0.0,,,0.27,,,,251423000.0,,,11665000.0,,0.0,-117896000.0,,533736000.0,3692000.0,,,66758000,,,,-1004000.0,,64421000.0,66758000,,-54479000.0,0.0,,7866000.0,124779000.0,0.0,8225000.0,,,,,13677000.0,54167000.0,,,68171000.0,,,6187000.0,,,,,,1592767000.0,758000.0,,0.26,63417000.0,,,,258341000.0,,,,,,,,,,117643000.0,1005546000.0,,,66758000,1860711000.0,,,,,761424000.0,,,199796000.0,,,,,4381000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,79726000,,287067000.0,-7340000.0,,248393000.0,,,6046000.0,-244586000.0,132829000.0,-10136000.0,131886000.0,,-4500000.0,,41966000.0,204259000.0,157655000.0,,56603000.0,143049000,0.95,,,,,250902020.0,,515360000.0,,1070766000.0,,96799000,-44349000.0,0.0,,796588000.0,34481000.0,157655000.0,-162794000.0,43186000.0,629149000.0,-33822000.0,8021000.0,,248393000.0,257000.0,8021000.0,-1607000.0,796588000.0,1515529000.0,279046000.0,,91696000.0,-161625000.0,1515529000.0,,1070766000.0,,,1917891000.0,287067000.0,1630824000.0,47157000.0,,141114000.0,-33822000.0,,27784000.0,0.0,261466316.0,0.0,248393000.0,327188000.0,,161073000.0,297540000.0,847125000.0,,,,12015000.0,1630824000.0,0.0,-33357000.0,,629149000.0,10992000.0,,,76444000,,,-210105000.0,-1169000.0,27279000.0,91054000.0,76444000,-261468000.0,-105097000.0,0.0,-1082890000.0,,141114000.0,0.0,8144000.0,,96006000.0,771000.0,,15252000.0,53103000.0,487576000.0,279046000.0,96006000.0,131886000.0,,10220000.0,8144000.0,,302040000.0,921265000.0,201393000.0,1538288000.0,771000.0,310596000.0,,89885000.0,,,-10136000.0,,-169533000.0,0.99,,954243000.0,0.0,0.0,,157655000.0,304996000.0,157655000.0,954243000.0,,,76444000,1917891000.0,,283317000.0,,,847125000.0,-23098000.0,,201393000.0,41966000.0,,6046000.0,,17073000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,76399000,,286426000.0,19424000.0,,,,,132946000.0,,132109000.0,-6570000.0,,,,,41803000.0,,,,,137661000,,,,,,,,,,,,80329000,-49706000.0,,,,,1630245000.0,-1142000.0,,,,,,,,3316000.0,,864667000.0,1589235000.0,283110000.0,,88800000.0,0.0,,,1156842000.0,,,,,1664285000.0,40309000.0,,,-33822000.0,,,,,0.0,,,0.3,,,,247894000.0,,,12776000.0,,0.0,-42964000.0,,577308000.0,6742000.0,,,73706000,,,,-1142000.0,,97060000.0,73706000,,52954000.0,0.0,,,150164000.0,0.0,7981000.0,,,,,15094000.0,55710000.0,,,79333000.0,,,5552000.0,,,,,,1577291000.0,774000.0,,0.298,95918000.0,,,,256150000.0,,,,,,,,,,189134000.0,1053801000.0,,,73706000,1950711000.0,,,,,793869000.0,,,199983000.0,,,,,3930000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,80907000,,295086000.0,3232000.0,,,,,137640000.0,,138058000.0,-4944000.0,,,,,41521000.0,,,,,144563000,,,,,,,,,,,,84580000,-102565000.0,,,,,1624899000.0,-1038000.0,,,,,,,,3242000.0,,898420000.0,1650048000.0,291844000.0,,94375000.0,0.0,,,1138812000.0,,,,,1656916000.0,42918000.0,,,-33822000.0,,,,,0.0,,,0.32,,,,245398000.0,,,11880000.0,,0.0,-89210000.0,,599811000.0,13355000.0,,,77997000,,,,-1038000.0,,84902000.0,77997000,,-5346000.0,0.0,,,154204000.0,0.0,7699000.0,,,,,16378000.0,57151000.0,,,89289000.0,,,6505000.0,,,,,,1630245000.0,774000.0,,0.31,83864000.0,,,,252179000.0,,,,,,,,,,127532000.0,1025952000.0,,,77997000,1952002000.0,,,,,813190000.0,,,198572000.0,,,,,3673000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,81065000,,281674000.0,1129000.0,,,,,134108000.0,,134751000.0,-3876000.0,,,,,41466000.0,,,,,141068000,,,,,,,,,,,,84669000,-57192000.0,,,,,1672791000.0,-1301000.0,,,,,,,,3233000.0,,917698000.0,1701013000.0,278441000.0,,95386000.0,0.0,,,1164441000.0,,,,,1703856000.0,38997000.0,,,-33822000.0,,,,,0.0,,,0.32,,,,244261000.0,,,12441000.0,,0.0,-34284000.0,,612662000.0,22908000.0,,,78744000,,,,-1301000.0,,83477000.0,78744000,,47892000.0,0.0,,,144333000.0,0.0,7644000.0,,,,,16642000.0,53686000.0,,,78839000.0,,,6317000.0,,,,,,1624899000.0,774000.0,,0.31,82176000.0,,,,250075000.0,,,,,,,,,,143295000.0,1060993000.0,,,78744000,1985530000.0,,,,,821089000.0,,,195921000.0,,,,,3604000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,93317000,,316774000.0,-14071000.0,,319684000.0,,,5726000.0,-236929000.0,143892000.0,-11783000.0,133135000.0,,-4873000.0,,45561000.0,217122000.0,298531000.0,,66181000.0,156058000,1.27,,,,,245910769.0,,579350000.0,,1493978000.0,,104170000,-27466000.0,0.0,,1044312000.0,54942000.0,298531000.0,-36437000.0,50542000.0,389019000.0,-37896000.0,8915000.0,,319684000.0,2789000.0,8915000.0,9714000.0,1044312000.0,1781035000.0,307859000.0,,107304000.0,-35045000.0,1781035000.0,,1493978000.0,,,2092495000.0,316774000.0,1775721000.0,44356000.0,,168998000.0,-37896000.0,,30540000.0,24006000.0,251719685.0,24006000.0,319684000.0,162444000.0,,166580000.0,353119000.0,598517000.0,,,,13445000.0,1775721000.0,0.0,-15529000.0,,389019000.0,11937000.0,,,89237000,,,-181987000.0,-1392000.0,22060000.0,92553000.0,89237000,-39918000.0,40587000.0,0.0,-809928000.0,,168998000.0,0.0,7665000.0,,127129000.0,774000.0,,18067000.0,50575000.0,548810000.0,307859000.0,127129000.0,133135000.0,,12166000.0,7665000.0,,357992000.0,774883000.0,194510000.0,1672791000.0,774000.0,353748000.0,,91161000.0,,,-11783000.0,,136087000.0,1.3,,1342843000.0,0.0,0.0,,298531000.0,385865000.0,298531000.0,1342843000.0,,,89237000,2092495000.0,,331688000.0,,,598517000.0,0.0,,194510000.0,45561000.0,,5726000.0,,10853000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60718000,,318197000.0,47476000.0,,,,,135553000.0,,126879000.0,-16230000.0,,,,,45323000.0,,,,,133592000,,,,,,,,,,,,63633000,-63925000.0,,,,,1790927000.0,-1173000.0,,,,,,,,3789000.0,,1048500000.0,1829677000.0,314408000.0,,76226000.0,0.0,,,1521491000.0,,,,,1799100000.0,47446000.0,,,-37896000.0,,,,,0.0,,,0.25,,,,243740000.0,,,16283000.0,,0.0,-45267000.0,,388720000.0,18658000.0,,,61633000,,,,-1173000.0,,112024000.0,61633000,,65584000.0,0.0,,,178855000.0,0.0,7427000.0,,,,,14593000.0,66161000.0,,,97543000.0,,,6713000.0,,,,,,1725343000.0,774000.0,,0.25,110851000.0,,,,245698000.0,,,,,,,,,,354625000.0,1403125000.0,,,61633000,2117297000.0,,,,,595806000.0,,,193006000.0,,,,,2915000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64028000,,315274000.0,1541000.0,,,,,134868000.0,,131402000.0,-13506000.0,,,,,82826000.0,,,,,138936000,,,,,,,,,,,,66868000,-138433000.0,,,,,1726067000.0,-38837000.0,,,,,,,,3864000.0,,953732000.0,1874750000.0,311410000.0,,80246000.0,0.0,,,1281654000.0,,,,,1760972000.0,49958000.0,174295000.0,,-37896000.0,,,,,0.0,,,0.27,,,,240982000.0,,,15911000.0,,3450000.0,-113193000.0,,550204000.0,21790000.0,,,65716000,,,,-38837000.0,,87170000.0,65716000,,-64860000.0,0.0,,,176542000.0,0.0,44930000.0,,,,,14530000.0,67374000.0,,,83979000.0,,,7534000.0,,,,,,1790927000.0,774000.0,,0.27,48333000.0,,,,240982000.0,,,,,,,,,,223055000.0,1176787000.0,,,65716000,2076246000.0,,,,,794592000.0,,,17206000.0,,,,,2840000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
