date,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,annualRepaymentOfDebt,quarterlyPurchaseOfBusiness,annualOtherNonCurrentLiabilities,annualEbitda,quarterlyPretaxIncome,annualOtherIncomeExpense,quarterlyOperatingExpense,quarterlyBeginningCashPosition,trailingRepaymentOfDebt,trailingGrossProfit,quarterlyCurrentDeferredRevenue,trailingNetIncomeCommonStockholders,quarterlyNetOtherInvestingChanges,annualCashCashEquivalentsAndMarketableSecurities,quarterlyStockholdersEquity,quarterlyBasicAverageShares,annualChangeInCashSupplementalAsReported,annualOtherCurrentLiabilities,quarterlyOtherCurrentAssets,annualCashFlowFromContinuingFinancingActivities,trailingInterestExpense,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,annualBeginningCashPosition,trailingOtherIncomeExpense,annualGrossPPE,trailingCapitalExpenditure,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,trailingChangeInCashSupplementalAsReported,quarterlyCashCashEquivalentsAndMarketableSecurities,annualTotalNonCurrentAssets,annualSellingGeneralAndAdministration,quarterlyInterestExpense,trailingDepreciationAndAmortization,quarterlyChangesInAccountReceivables,trailingCashFlowFromContinuingFinancingActivities,quarterlySaleOfInvestment,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyNonCurrentDeferredRevenue,trailingPurchaseOfBusiness,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingNetIncomeContinuousOperations,annualOperatingExpense,trailingOperatingExpense,trailingOtherNonCashItems,annualPurchaseOfBusiness,quarterlyOperatingCashFlow,quarterlyTotalRevenue,annualNetIncomeContinuousOperations,trailingSellingGeneralAndAdministration,annualCapitalExpenditure,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingIncome,quarterlyGrossPPE,annualInvestingCashFlow,trailingNetOtherFinancingCharges,trailingCashDividendsPaid,annualInterestExpense,trailingBeginningCashPosition,trailingNetIncome,quarterlyDilutedEPS,trailingCostOfRevenue,quarterlyOtherCurrentLiabilities,annualPurchaseOfInvestment,quarterlyNetPPE,annualChangesInAccountReceivables,quarterlyTaxProvision,annualTotalRevenue,annualCapitalStock,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,annualAccumulatedDepreciation,annualNetOtherFinancingCharges,quarterlyChangeInCashSupplementalAsReported,annualGrossProfit,annualDeferredIncomeTax,quarterlyEbitda,annualTotalLiabilitiesNetMinorityInterest,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualBasicAverageShares,annualCommonStockIssuance,annualFreeCashFlow,annualChangeInWorkingCapital,quarterlyFreeCashFlow,quarterlyRetainedEarnings,annualOperatingIncome,trailingChangeInWorkingCapital,annualNetOtherInvestingChanges,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,annualRetainedEarnings,trailingCommonStockIssuance,trailingFreeCashFlow,trailingPretaxIncome,annualNetIncome,annualTaxProvision,annualNonCurrentDeferredRevenue,annualPretaxIncome,annualTotalAssets,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,annualEndCashPosition,trailingTotalRevenue,annualLongTermDebt,quarterlyTotalNonCurrentAssets,annualCashDividendsPaid,annualCurrentDeferredRevenue,annualOtherCurrentAssets,annualCostOfRevenue,trailingInvestingCashFlow,annualAccountsPayable,quarterlyDilutedAverageShares,quarterlyPurchaseOfInvestment,annualBasicEPS,trailingOperatingIncome,quarterlyOtherNonCurrentLiabilities,trailingEndCashPosition,quarterlyDepreciationAndAmortization,trailingTaxProvision,quarterlyChangeInAccountPayable,quarterlyTotalLiabilitiesNetMinorityInterest,annualSaleOfInvestment,quarterlyOtherNonCurrentAssets,annualInvestmentsAndAdvances,annualStockholdersEquity,annualOtherNonCashItems,quarterlyNetOtherFinancingCharges,quarterlyGrossProfit,quarterlyInvestmentsAndAdvances,annualDilutedAverageShares,annualRepurchaseOfCapitalStock,annualDepreciationAndAmortization,quarterlyBasicEPS,annualCashAndCashEquivalents,annualCurrentAccruedExpenses,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyEndCashPosition,quarterlyInvestingCashFlow,annualCurrentAssets,annualAccountsReceivable,trailingOperatingCashFlow,quarterlyLongTermDebt,quarterlyOtherIncomeExpense,annualChangeInAccountPayable,quarterlyCurrentAccruedExpenses,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualNetPPE,trailingNetOtherInvestingChanges,annualCurrentLiabilities,quarterlyCashDividendsPaid,quarterlyCostOfRevenue,annualOperatingCashFlow,annualOtherNonCurrentAssets,quarterlyAccountsReceivable,annualDilutedEPS,annualNetIncomeCommonStockholders,annualOtherIntangibleAssets,annualChangeInInventory,annualGoodwill,trailingDilutedAverageShares,annualResearchAndDevelopment,annualStockBasedCompensation,quarterlyStockBasedCompensation,trailingBasicEPS,quarterlyDeferredIncomeTax,annualIncomeTaxPayable,trailingChangeInAccountPayable,trailingDeferredIncomeTax,quarterlyGoodwill,quarterlyChangeInInventory,trailingStockBasedCompensation,quarterlyResearchAndDevelopment,trailingBasicAverageShares,trailingChangeInInventory,trailingResearchAndDevelopment,annualOtherShortTermInvestments,annualCurrentDebt,quarterlyNonCurrentDeferredTaxesLiabilities,trailingSaleOfInvestment,quarterlyIncomeTaxPayable,trailingRepurchaseOfCapitalStock,annualInventory,trailingChangesInAccountReceivables,quarterlyInventory,annualNonCurrentDeferredTaxesLiabilities,trailingPurchaseOfInvestment,trailingDilutedEPS
1998-03-31,,,,,,,,,-39300000.0,10400000.0,,,,,-15600000.0,,1277200000.0,76896552.0,,,,,,,-24000000.0,,,,,,,,,,,12900000.0,,,,,,,,,,,,,,,39100000.0,85400000,,,,-93400000.0,88800000.0,124700000,2161800000.0,,,,,,,0.29,,,,2161800000.0,,,,,42600000.0,,-2500000.0,,,,18800000.0,,,139300000,,,,,,,-54300000.0,-56300000.0,,,,,,,2900000.0,,,,,,,,,,2298900000.0,22300000,,,,,,,,,,,76896552.0,,,,,,14600000.0,,,913900000.0,,,,,,-2200000.0,,,,,,0.29,,,27000000,27000000,,-109000000.0,,,,803900000.0,,,4400000.0,,,,,-27600000.0,,,,5600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-06-30,,,,,,,,,-42900000.0,,,,,,-20400000.0,,1340900000.0,81111111.0,,,,,,,18300000.0,,,,,,,,,,,14300000.0,,,,,,,,,,,,,,,61200000.0,90800000,,,,-222100000.0,174400000.0,133700000,2389800000.0,,,,,,,0.27,,,,2389800000.0,,,,,60300000.0,,17900000.0,,,,-6800000.0,,,150500000,,,,,,,-160900000.0,-58600000.0,,,,,,,3800000.0,,,,,,,,,,2530800000.0,21900000,,,,,,,,,,,81111111.0,,,,,,16800000.0,,,1080700000.0,,,,,,-5300000.0,,,,,,0.27,,,26600000,26600000,,-242500000.0,,,,953600000.0,,,9200000.0,,,,,-28900000.0,,,,6900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-09-30,,,,,,,,,-44200000.0,,,,,,-178300000.0,,1370700000.0,81034483.0,,,,,,,-42600000.0,,,,,,,,,,,16700000.0,,,,,,,,,,,,,,,48800000.0,98800000,,,,59000000.0,70200000.0,143000000,2480900000.0,,,,,,,0.29,,,,2480900000.0,,,,,33800000.0,,2500000.0,,,,-300000.0,,,161100000,,,,,,,107800000.0,-62700000.0,,,,,,,6000000.0,,,,,,,,,,2651000000.0,23500000,,,,,,,,,,,81034483.0,,,,,,18100000.0,,,1171600000.0,,,,,,-4700000.0,,,,,,0.29,,,28200000,28200000,,-119300000.0,,,,1027000000.0,,,7900000.0,,,,,-32300000.0,,,,6800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-31,1638111000.0,,-50000000.0,,,190355000.0,,1046000.0,372852000.0,,,,,,-136724000.0,6950000.0,1570112000.0,,-3403000.0,,,479223000.0,,-179887000.0,-1700000.0,10353000.0,,2862386000.0,,6950000.0,,,6950000.0,,11573000.0,16317000.0,,,,,,4836000.0,,,,,251752000.0,,,,72088000.0,98241000,90871000.0,,-53736000.0,202764000.0,145823000.0,-274611000,2862386000.0,-703814000.0,,,60217000.0,,,,,,-308125000.0,2682499000.0,,,373341000.0,1638111000.0,74800000.0,,29812000.0,,-179887000.0,-51641000.0,-15103000.0,,,-262697000,1176812000.0,,80704000.0,211500000.0,167452000.0,,274852000.0,-67999000.0,121589000.0,,-351024000.0,,,,-6527000.0,-67999000.0,,,,110704000.0,,,,2853653000.0,2853653000.0,23271000,6950000.0,,1007317000.0,,-138074000.0,,,,,4836000.0,,,1.13,,,,11914000.0,,,1176812000.0,,,,1570112000.0,47712000.0,-39441000.0,,,92468000.0,-22000.0,61414000.0,,6950000.0,10300000.0,9171000,29004000,,-233014000.0,,9641000.0,,1007317000.0,,,10300000.0,,2682499000.0,,,-49274000.0,,221188000.0,,9641000.0,1.12,90871000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-31,,,,,,,,,-53600000.0,7000000.0,,,,,2200000.0,,1679800000.0,85625000.0,,,,,,,-27900000.0,,,,,,,,,,,16000000.0,,,,,,,,,,,,,,,32300000.0,117200000,,,,-169800000.0,163400000.0,170800000,2833100000.0,,,,,,,0.32,,,,2833100000.0,,,,,13900000.0,,-24700000.0,,,,28000000.0,,,191600000,,,,,,,-137500000.0,-70000000.0,,,,,,,7300000.0,,,,,,,,,,3068900000.0,27400000,,,,,,,,,,,85625000.0,,,,,,20800000.0,,,1281700000.0,,,,,,-6000000.0,,,,,,0.32,,,36200000,36200000,,-167600000.0,,,,1113600000.0,,,9400000.0,,,,,-38100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-06-30,,,,,,,,,-52200000.0,,,,,,-10000000.0,,1749000000.0,89696970.0,,,,,,,24000000.0,,,,,,,,,,,17100000.0,,,,,,,,,,,,,,,50200000.0,118500000,,,,-140800000.0,238300000.0,170700000,3015700000.0,,,,,,,0.33,,,,3015700000.0,,,,,24000000.0,,-9900000.0,,,,137800000.0,,,191900000,,,,,,,-90600000.0,-70500000.0,,,,,,,6800000.0,,,,,,,,,,3427700000.0,29600000,,,,,,,,,,,89696970.0,,,,,,21200000.0,,,1569500000.0,,,,,,-6200000.0,,,,,,0.33,,,38900000,38900000,,-150800000.0,,,,1390600000.0,,,14200000.0,,,,,-39500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-30,2152800000.0,,,,,,,,-79900000.0,172700000.0,,,,,-354400000.0,,2664800000.0,118285714.0,,,,,,,-260800000.0,,,,,,,,,,,26000000.0,,,,,,,,,,,,,,,175200000.0,179500000,,,,102600000.0,-50900000.0,259400000,5053400000.0,,,,,,,0.35,,,,5053400000.0,,,,,165500000.0,,88100000.0,,,,-127500000.0,,,292800000,,,,,,,277800000.0,-74800000.0,,,,,,,10500000.0,,,,,,,,,,5334700000.0,41400000,,,,,,,,,,,118285714.0,,,,,,33400000.0,,,2237800000.0,,,,,,-10600000.0,,,,,,0.35,,,53700000,53700000,45300000.0,-251800000.0,,,,1964900000.0,,,14600000.0,,,,,-58000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-31,611256000.0,,-259900000.0,,,307473000.0,,8922000.0,578685000.0,45300000.0,,,,,257966000.0,18765000.0,2668596000.0,,11815000.0,,,436449000.0,,-254574000.0,4800000.0,6950000.0,,5446970000.0,,18765000.0,,,18765000.0,,16556000.0,27657000.0,,,,,,3179000.0,,,,,392885000.0,,,,84980000.0,174394000,139636000.0,,-232794000.0,-24794000.0,85649000.0,-404291000,5446970000.0,-767314000.0,,,86757000.0,,,,,,-506687000.0,5192396000.0,,,589594000.0,611256000.0,11400000.0,,5038000.0,,-254574000.0,-267514000.0,-26485000.0,,,-379628000,2383897000.0,,104884000.0,214800000.0,109886000.0,,60186000.0,-82432000.0,196709000.0,,-104234000.0,,,,-8144000.0,-82432000.0,,,,182240000.0,,,,5486238000.0,5486238000.0,41236000,18765000.0,,2113476000.0,,-224334000.0,,,,,3179000.0,,,1.33,,,,24663000.0,,,2383897000.0,,,,2668596000.0,58538000.0,-244714000.0,,,120511000.0,-22000.0,100063000.0,,18765000.0,20700000.0,10836000,53440000,18765000.0,-197114000.0,,26844000.0,,2113476000.0,,,20700000.0,,5192396000.0,,,-88734000.0,,342680000.0,,26844000.0,1.32,139636000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-31,611148000.0,,,-21082000.0,,,,,133675000.0,18765000.0,,,,,-113869000.0,,2679988000.0,126070000.0,,,,,,-278164000.0,-5383000.0,,,,,37913000.0,,,37913000.0,,,32681000.0,,,,,,2608000.0,,,,,,,,,77535000.0,188799000,,,,-21082000.0,102274000.0,55124000,5521972000.0,,,,,,,0.39,,,,5243808000.0,,,,,10547000.0,,-19968000.0,-115000.0,,,19148000.0,,,94903000,,,,,,,56453000.0,-82666000.0,,,,,,,5164000.0,,,,,,,,,,5646440000.0,48859000,,,,,,,,,,,146326000.0,-168411000.0,,,,,35714000.0,,,2528497000.0,,,,,,144248000.0,,,,,,0.39,,,48859000,61111000,37913000.0,-160661000.0,,,,2276447000.0,14564000.0,,105470000.0,,,,,-71032000.0,,,,17393000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-06-30,610989000.0,,,-285378000.0,,,,,141945000.0,37913000.0,,,,,301469000.0,,2681859000.0,126597000.0,,,,,,-308841000.0,-2847000.0,,,,,41717000.0,,,41717000.0,,,36253000.0,,,,,,5005000.0,,,,,,,,,96607000.0,203449000,,,,-47299000.0,4518000.0,61504000,5611007000.0,,,,,,,0.36,,,,5302166000.0,,,,,3596000.0,,2294000.0,-162000.0,,,3804000.0,,,101270000,,,,,,,49308000.0,-86515000.0,,,,,,,4510000.0,,,,,,,,,,5729836000.0,45525000,,,,,,,,,,,147181000.0,-116629000.0,,,,,35664000.0,,,2612426000.0,,,,,,-145146000.0,,,,,,0.36,,,45525000,57774000,41717000.0,-97321000.0,,,,2349696000.0,3277000.0,,121037000.0,,,,,-71864000.0,,,,17662000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-30,610392000.0,,,227334000.0,,,,,146650000.0,41717000.0,,,,,-227839000.0,,2686168000.0,127010000.0,,,,,,-340950000.0,-65580000.0,,,,,41287000.0,,,41287000.0,,,36376000.0,,,,,,3378000.0,,,,,,,,,126913000.0,207663000,,,,33440000.0,-141764000.0,61013000,5612985000.0,,,,,,,0.35,,,,5272035000.0,,,,,8580000.0,,31844000.0,,,,-430000.0,,,102897000,,,,,,,160353000.0,-95961000.0,,,,,,,5825000.0,,,,,,,,,,5625895000.0,45149000,,,,,,,,,,,147916000.0,-149279000.0,,,,,36528000.0,,,2501634000.0,,,,,,-241528000.0,,,,,,0.36,,,45149000,57392000,41287000.0,14421000.0,,,,2200765000.0,4348000.0,,142922000.0,,,,,-77734000.0,,,,17377000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-31,610153000.0,,-75689000.0,,,400491000.0,,57094000.0,131752000.0,41287000.0,,,,,75034000.0,39191000.0,2712890000.0,,20426000.0,,,-330952000.0,,-338426000.0,-1879000.0,18765000.0,,5412861000.0,,39191000.0,,,39191000.0,,21144000.0,28638000.0,,,,,,4312000.0,,,,,554022000.0,,,,148075000.0,194714000,212958000.0,,-105402000.0,-70461000.0,-295980000.0,62962000,5412861000.0,-97752000.0,,,133948000.0,,,,,,-440897000.0,5074435000.0,,,794625000.0,610153000.0,9491000.0,,27505000.0,,-338426000.0,-77049000.0,-2096000.0,,,101421000,2311829000.0,,126836000.0,32214000.0,343728000.0,,77614000.0,-77383000.0,240603000.0,,34795000.0,,,,5645000.0,-77383000.0,,,,261939000.0,,,,5460036000.0,5460036000.0,73425000,39191000.0,,1973215000.0,,-298527000.0,,,,,4312000.0,,-6578000.0,1.68,,,,34083000.0,,,2311829000.0,,,,2712890000.0,41675000.0,165377000.0,,,147441000.0,-1124000.0,141989000.0,,39191000.0,28780000.0,73425000,85662000,39191000.0,145809000.0,,19454000.0,,1973215000.0,34905000.0,,28780000.0,,5074435000.0,,,-77897000.0,,449130000.0,,19454000.0,1.66,212958000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-03-31,685041000.0,,,-31465000.0,,,,,135613000.0,39191000.0,,,,,34544000.0,,2806863000.0,128399000.0,,,,,,-363555000.0,-228125000.0,,,,,38891000.0,,,38891000.0,,,29613000.0,,,,,,3208000.0,,,-638000.0,,,,,,93341000.0,206290000,,,,-31465000.0,-50192000.0,70677000,5473695000.0,,,,,,,0.45,,,,5110140000.0,,,,,13883000.0,,-16126000.0,,,,-300000.0,,,110991000,,,,,,,61876000.0,-73772000.0,,,,,,,4027000.0,,,,,,,,,,5479442000.0,58770000,,,,,,,,,,,151031000.0,-108581000.0,,,,,35860000.0,,,2238130000.0,,,,,,-232375000.0,,,,,,0.46,,,58770000,72042000,38891000.0,-43449000.0,,,,1926189000.0,11578000.0,,121359000.0,,,,,-78966000.0,,,,17712000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-30,685051000.0,,,-5415000.0,,,,,133556000.0,38891000.0,,,,,54875000.0,,2821528000.0,129131000.0,,,,,,-390624000.0,-22141000.0,,,,,103027000.0,,,103027000.0,,,28671000.0,,,,,,2358000.0,,,-836000.0,,,,,,126273000.0,205395000,,,,-5415000.0,-85940000.0,71839000,5438266000.0,,,,,,,0.38,,,,5047642000.0,,,,,16765000.0,,28376000.0,,,,64136000.0,,,109834000,,,,,,,120858000.0,-79572000.0,,,,,,,4688000.0,,,,,,,,,,10980972000.0,49675000,,,,,,,,,,,149572000.0,-114329000.0,,,,,33363000.0,,,7727922000.0,,,,,,-22439000.0,,,,,,0.39,,,49675000,63490000,103027000.0,23803000.0,,,,1903770000.0,-282000.0,,128861000.0,,,,,-80265000.0,,,,18908000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-30,609991000.0,,,,,,,,126965000.0,103027000.0,,,,,-92068000.0,,2772851000.0,130104000.0,,,,,,-396186000.0,-139539000.0,,,,,9504000.0,,,9504000.0,,,28042000.0,,,,,,3287000.0,,,-240000.0,,,,,,147958000.0,199875000,,,,-46234000.0,-296626000.0,72910000,5354340000.0,,,,,,,0.58,,,,4958154000.0,,,,,78304000.0,,22886000.0,,,,-93523000.0,,,111192000,,,,,,,101724000.0,-61604000.0,,,,,,,1437000.0,,,,,,,,,,5304002000.0,77102000,,,,,,,,,,,158594000.0,-59611000.0,,,,,33721000.0,,,2115662000.0,,,,,,-140140000.0,,,,,,0.59,,,77102000,90349000,9504000.0,55145000.0,,,,1763950000.0,29597000.0,,128589000.0,,,,,-84732000.0,,,,16873000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-31,609978000.0,,-348645000.0,,,436971000.0,,43126000.0,130417000.0,9504000.0,,,,,36677000.0,9483000.0,2785009000.0,,-29708000.0,,,-470915000.0,,-425721000.0,41160000.0,39191000.0,,5453149000.0,,9483000.0,,,9483000.0,,15559000.0,27504000.0,,,,,,2274000.0,,,-192000.0,,526551000.0,,,,66084000.0,192248000,229967000.0,,-106130000.0,-23016000.0,-38157000.0,61831000,5453149000.0,7551000.0,,,113830000.0,,,,,,-356460000.0,5027428000.0,,,803808000.0,609978000.0,2549000.0,,-27201000.0,-8000.0,-425721000.0,-228845000.0,-21000.0,,,104954000,2149834000.0,,129660000.0,111501000.0,327526000.0,,43068000.0,-76023000.0,277257000.0,,34028000.0,-192000.0,,,5407000.0,-76023000.0,,,,282409000.0,,,,5330033000.0,5330033000.0,44420000,9483000.0,,1814856000.0,,-325678000.0,,,,,2274000.0,,-73939000.0,1.77,,,,35779000.0,,,2149834000.0,,,,2785009000.0,7935000.0,166109000.0,,,151710000.0,-150036000.0,138723000.0,,9483000.0,24313000.0,44420000,56528000,9483000.0,-27948000.0,,23142000.0,,1814856000.0,2233000.0,,24313000.0,,5027428000.0,,,-81715000.0,,433656000.0,,23142000.0,1.75,229967000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-31,609995000.0,,,,,,,,141676000.0,9483000.0,,,,,-20961000.0,,2811080000.0,131932000.0,,,,,,-458568000.0,-84585000.0,,,,,13510000.0,,,13510000.0,,,27720000.0,,,,,,2388000.0,,,-144000.0,,,,,,208402000.0,204197000,,,,-13056000.0,-159020000.0,62521000,5407715000.0,,,,,,,0.34,,,,4949147000.0,,,,,7023000.0,,112865000.0,,,,4027000.0,,,104918000,,,,,,,195346000.0,-90043000.0,,,,,,,7237000.0,,,,,,,,,,5243468000.0,45278000,,,,,,,,,,,150270000.0,-36733000.0,,,,,37186000.0,,,2060035000.0,,,,,,-84739000.0,,,,,,0.34,,,56186000,57386000,13510000.0,-45355000.0,,,,1737787000.0,1323000.0,,122964000.0,,,,,-81304000.0,,,,14644000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-06-30,610011000.0,,,,,,,,135312000.0,13510000.0,,,,,-50406000.0,,2835689000.0,134196000.0,,,,,,-488871000.0,-1641000.0,,,,,2505000.0,,,2505000.0,,,27918000.0,,,,,,2133000.0,,,-96000.0,,,,,,165793000.0,195758000,,,,-36558000.0,-72281000.0,60446000,5408637000.0,,,,,,,0.36,,,,4919766000.0,,,,,11178000.0,,65802000.0,,,,-11005000.0,,,103437000,,,,,,,129235000.0,-101956000.0,,,,,,,7224000.0,,,,,,,,,,5235891000.0,48528000,,,,,,,,,,,151092000.0,-27181000.0,,,,,38398000.0,,,2048239000.0,,,,,,-1664000.0,,,,,,0.36,,,57318000,60635000,2505000.0,-104517000.0,,,,1735217000.0,3001000.0,,134655000.0,,,,,-81795000.0,,,,17535000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-09-30,592238000.0,,,,,,,,142180000.0,2505000.0,,,,,-23201000.0,,2799494000.0,134818000.0,,,,,,-521215000.0,23283000.0,,,,,43037000.0,,,43037000.0,,,29797000.0,,,,,,160000.0,,,-48000.0,,,,,,103623000.0,193977000,,,,-2905000.0,-4831000.0,51797000,5451647000.0,,,,,,,0.29,,,,4930432000.0,,,,,3706000.0,,12821000.0,,,,40532000.0,,,96871000,,,,,,,100718000.0,-124132000.0,,,,,,,6804000.0,,,,,,,,,,5299464000.0,39172000,,,,,,,,,,,151256000.0,-98057000.0,,,,,38985000.0,,,2186108000.0,,,,,,-14580000.0,,,,,,0.29,,,50925000,50925000,43037000.0,-58260000.0,,,,1864109000.0,4702000.0,,136648000.0,,,,,-81880000.0,,,,17381000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-12-31,442239000.0,,-71953000.0,,,398895000.0,,182000.0,137091000.0,43037000.0,,,,,-11930000.0,17414000.0,2616180000.0,,7931000.0,,,-223693000.0,,-555858000.0,-9010000.0,9483000.0,,5574235000.0,,17414000.0,,,17414000.0,,25353000.0,32316000.0,,,,1723000.0,,548000.0,,,-2111000.0,,556078000.0,,,,91778000.0,184946000,201006000.0,,-125529000.0,-73010000.0,12439000.0,47855000,5574235000.0,-337972000.0,,,117073000.0,,,,,,-210317000.0,5018377000.0,,,780071000.0,442239000.0,203880000.0,,13493000.0,-352953000.0,-555858000.0,-110216000.0,-25623000.0,,,92193000,2424002000.0,,133981000.0,225787000.0,444067000.0,,18768000.0,-159226000.0,223993000.0,,-106498000.0,-2111000.0,,,4087000.0,-159226000.0,,,,206325000.0,,,,5348823000.0,5348823000.0,28294000,17414000.0,,2106285000.0,,-325663000.0,,,,,548000.0,,-48346000.0,1.2,,,,39996000.0,,,2424002000.0,52186000.0,,,2616180000.0,204981000.0,-9233000.0,,,150839000.0,-370906000.0,154565000.0,,17414000.0,27374000.0,35341000,37379000,17414000.0,-129840000.0,,15415000.0,,2106285000.0,-8844000.0,,27374000.0,,5018377000.0,,,-80684000.0,,569596000.0,,15415000.0,1.19,161272000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-03-31,442222000.0,,,-41722000.0,,,,,155053000.0,17414000.0,,,,,-255000.0,,2596867000.0,135170000.0,,,,,,-588629000.0,-136801000.0,,,,,12509000.0,,,12509000.0,,,32713000.0,,,,,,1241000.0,,,-3271000.0,,,,,,58882000.0,194433000,,,,-41722000.0,-2461000.0,39380000,5615272000.0,,,,,,,0.28,,,,5026643000.0,,,,,2850000.0,,-30117000.0,-40000.0,,,-4905000.0,,,87034000,,,,,,,17160000.0,-183251000.0,,,,,,,6272000.0,,,,,,,,,,5381023000.0,37477000,,,,,,,,,,,150627000.0,-28995000.0,,,,,41771000.0,,,2480761000.0,,,,,,-139502000.0,,,,,,0.28,,,43925000,46229000,12509000.0,-61326000.0,,,,2181635000.0,8852000.0,,23204000.0,,,,,-79109000.0,,,,14501000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-06-30,442184000.0,,,,,,,,148137000.0,12509000.0,,,,,-60922000.0,,2565595000.0,135386000.0,,,,,,-623631000.0,-38199000.0,,,,,11671000.0,,,11671000.0,,,34767000.0,,,,,,1315000.0,,,-9852000.0,,,,,,103156000.0,194063000,,,,-28358000.0,-28604000.0,45926000,5681073000.0,,,,,,,0.25,,,,5057442000.0,,,,,3852000.0,,17761000.0,20000.0,,,-838000.0,,,92471000,,,,,,,74798000.0,-210309000.0,,,,,,,5081000.0,,,,,,,,,,5430926000.0,34538000,,,,,,,,,,,151019000.0,-39719000.0,,,,,41144000.0,,,2566817000.0,,,,,,71304000.0,,,,,,0.26,,,42967000,43290000,11671000.0,-75390000.0,,,,2234877000.0,1735000.0,,32297000.0,,,,,-78780000.0,,,,16777000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-09-30,542161000.0,,,,,,,,147293000.0,11671000.0,,,,,85460000.0,,2659147000.0,135706000.0,,,,,,-657311000.0,0.0,,,,,931000.0,,,931000.0,,,31469000.0,,,,,,1850000.0,,,0.0,,,,,,72735000.0,196815000,,,,-66061000.0,42909000.0,49522000,5810219000.0,,,,,,,0.3,,,,5152908000.0,,,,,7875000.0,,-19937000.0,-4672000.0,,,-10740000.0,,,97681000,,,,,,,6674000.0,-242059000.0,,,,,,,4892000.0,,,,,,,,,,5554955000.0,40185000,,,,,,,,,,,151244000.0,-32096000.0,,,,,42276000.0,,,2601421000.0,,,,,,22605000.0,,,,,,0.3,,,46429000,49600000,931000.0,-126384000.0,,,,2256552000.0,1814000.0,,22473000.0,,,,,-79599000.0,,,,17727000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
